according to,"根据, 按照；取决于；据…所说"
advertising,"n. 广告业, 广告
a. 广告的
"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aeronautics,"n. 航空学, 飞行术
"
aeroplane,"n. 飞机
"
aesthetics,n. 美学
affirmative,"a. 肯定的, 赞成的, 积极的
n. 肯定语"
affix,"vt. 使附于, 署名, 粘贴, 盖印于
n. 附加物, 词缀"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
affordable,[计] 普及型
after-effect,[机] 事后效应
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
aggressor,"n. 侵略者, 挑畔者
"
agony,"n. 极大的痛苦, 挣扎
"
agreeable,"a. 令人愉快的, 同意的
"
aimless,"a. 无目的的, 没有目标的"
airbase,n. 空军基地；航空基地
aircraft,"n. 航空器, 飞机
"
airfield,n. 飞机场
airforce,n. 空军
airhostess,n. 空中小姐
airliner,"n. 班机, 大型客机"
airmail,n. 航空邮件
airtight,"a. 气密的, 不透气的, 无懈可击的
"
airway,"n. 空中航线, 风道
"
aisle,"n. 走廊, 侧廊, 过道
"
alas,interj. 唉
album,"n. 粘贴簿, 唱片套
"
alcohol,"n. 酒精, 酒
"
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
ale,"n. 麦芽酒
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
alga,"n. 藻类, 海藻
"
algebra,n. 代数学
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
alienate,"vt. 使疏远, 离间, 转让
"
allege,"vt. 宣称, 主张, 提出, 断言
"
allegedly,adv. 依其申述
alley,"n. 小路, 巷"
alligator,"n. 短吻鳄
"
allocate,"vt. 分派, 分配
"
allocation,"n. 配置, 分配, 拨给
"
allot,"vt. 分配, 分摊指定
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
almanac,"n. 年历, 历书
"
almighty,"a. 万能的, 全能的"
almond,"n. 杏仁
"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
alphabet,"n. 字母
"
alphabetical,"a. 依字母顺序的, 字母的"
altar,"n. 圣坛, 祭坛"
alteration,"n. 变更, 改动
"
altitude,"n. 高度, 海拔, 高处
"
altogether,"adv. 完全地, 总而言之"
aluminium,"n. 铝
a. 铝的"
alumna,"n. 女毕业生, 女校友"
alumnus,"n. 男毕业生, 男校友"
amateur,"n. 业余爱好者, 外行, 爱好者
"
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
ambiguous,"a. 不明确的, 模棱两可的
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
amendable,a. 可修正的
amendment,"n. 修订, 改善, 改良, 改正
"
amid,"prep. 在其间, 在其中
"
amiss,"a. 有毛病的, 出差错的
adv. 错误地, 不顺当, 有缺陷地"
ammeter,"n. 安培计
"
ammonia,"n. 氨水, 阿摩尼亚
"
ammunition,"n. 军火, 弹药
"
ampere,"n. 安培
"
ample,"a. 大量的, 充足的, 丰富的"
amplifier,"n. 扩大的人(物), 放大器, 扩音器
"
amuse,"vt. 消遣, 娱乐, 使发笑"
amusement,"n. 兴味, 娱乐, 消遣
"
analytic,"a. 分析的, 善于分析的, 解析的
"
analytical,"a. 分析的, 善于分析的, 解析的
"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
ancestral,"a. 祖先的, 祖传的
"
ancestry,"n. 祖先, 世系, 名门出身"
anchorage,"n. 下锚, 锚地, 停泊税
"
anchorman,"n. 末棒运动员, 成绩倒数第一名, 新闻节目主持人"
anchorwoman,n. 广播新闻的女主持人
anecdote,"n. 轶事, 奇闻"
angular,"a. 有角的, 消瘦的, 有尖角的, 生硬的
"
ankle,"n. 踝
"
annals,"n. 编年史, 活动年报, 历史"
annexe,"n. 附加物, 附属建筑"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
anniversary,n. 周年纪念
announcement,"n. 公告, 发表, 告知
"
announcer,"n. 节目报告员, 宣告者"
annoyance,"n. 烦恼, 打扰, 可厌之事
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
anode,"n. 阳极
"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
antagonism,"n. 对立, 敌对, 敌意
"
antagonist,"n. 敌手, 对手
"
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
antenna,"n. 天线, 触须, 触角
"
anthem,"n. 圣歌, 赞美诗"
antic,"n. 滑稽动作
a. 古怪的"
anticipation,"n. 预期, 预料
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
antiquity,"n. 古老, 古代, 古代人, 古物"
antiseptic,"n. 抗菌剂, 防腐剂
a. 抗菌的, 防腐的"
antonym,n. 反义词
ape,"n. 无尾猿
"
aperture,"n. 孔, 缝隙, 孔径
"
apologetic,"a. 道歉的, 急于认错的, 辩护的
"
apostrophe,"n. 撇号, 呼语法"
appalling,"a. 骇人的, 令人震惊的"
apparatus,"n. 装置, 器具, 器官
"
appealing,"a. 有感染力的, 动人的, 恳求的"
appetite,"n. 食欲, 欲望, 爱好
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
applause,"n. 鼓掌, 喝彩, 赞许"
appliance,"n. 器械, 用具, 应用
"
applicant,"n. 申请者
"
applicable,"a. 合适的, 可应用的
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
appointee,"n. 被任命者
"
appreciable,"a. 可感知的, 可评估的"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appropriate,"a. 适当的
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
apricot,"n. 杏子, 杏树, 杏黄色
a. 杏黄色的"
apron,"n. 围裙
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
arc,"n. 弧, 弧形, 弓形, 弧光
"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
archeology,n. 考古学
archaeology,n. 考古学
archbishop,n. 大主教
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
archway,"n. 拱门, 拱道"
arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
arena,"n. 角斗场, 舞台, 场地
"
argumentative,"a. 好辩的, 引起争论的, 论证式的
"
arid,"a. 干燥的, 不毛的"
aristocracy,"n. 贵族, 上层社会, 知识界杰出分子
"
aristocrat,n. 贵族
aristocratic,"a. 贵族的, 主张贵族统绐的, 有贵族气派的"
arithmetic,"n. 算术, 算术知识
"
armament,"n. 军备, 军队, 武器
"
armor,"n. 盔甲, 潜水服, 装甲
vt. 为...装甲"
armour,"n. 甲胄, 装甲, 潜水服"
armpit,"n. 腋窝
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
arrogance,"n. 傲慢态度, 自大"
arrow,"n. 箭, 箭状物, 箭头记号"
artery,"n. 动脉, 干道, 要道
"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
ascent,"n. 上升, 提高, 攀登, 上坡路"
ashamed,"a. 惭愧的, 羞耻的"
ashtray,n. 烟灰缸
asphalt,"n. 柏油
a. 用柏油铺成的
vt. 以柏油铺"
aspirin,"n. 阿斯匹林
"
ass,"n. 驴, 傻瓜, 笨蛋, 屁股
"
assassin,"n. 暗杀者, 刺客
"
assassinate,"vt. 暗杀, 行刺
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
assert,"vt. 主张, 坚称, 断言
"
assertion,"n. 断言, 主张
"
asset,"n. 资产, 有益的东西"
assumption,"n. 假定, 自负, 担任, 假装
"
assuredly,"adv. 确实地, 无疑地, 确信地"
astonish,vt. 使惊讶
astonishment,"n. 惊异, 惊愕, 使人惊异的事物"
astound,"vt. 使惊骇, 使大惊"
astronaut,"n. 太空旅行者, 宇航员
"
athletic,a. 运动的
atlas,"n. 地图集, 图表集
"
atmospheric,"a. 大气的
"
atom,"n. 原子, 核能, 微粒, 微量
"
atomic,"a. 原子的, 原子能的
"
attaché,无
attentive,"a. 注意的, 留心的"
attic,"n. 阁楼, 顶楼
"
auction,"n. 拍卖
vt. 拍卖"
audiovisual,"a. 视听的, 视听教学的
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditor,"n. 审计员, 听者, 旁听生
"
auditorium,"n. 听众席, 礼堂
"
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的
"
authentic,"a. 可靠的, 可信的, 真正的
"
authoritative,"a. 权威性的, 官方的, 命令式的
"
autobiographical,"a. 自传的, 自传体的"
autobiography,n. 自传
automation,"n. 自动化, 自动操作
"
autonomous,"a. 自治的
"
autonomy,"n. 自治, 自治权
"
availability,"n. 有效性, 可利用性, 可利用的人
"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
avenge,"vt. 为...报复, 报仇"
avenue,"n. 大街, 途径, 林荫路"
aviation,"n. 航空, 航空学, 飞行术
"
awe,"n. 敬畏
vt. 使敬畏"
awfully,"adv. 恶劣地, 非常地, 极端地"
awkward,"a. 笨拙的, 棘手的"
awkwardly,adv. 笨拙地；无技巧地
axiom,"n. 自明之理, 公理, 原理, 格言
"
axis,"n. 轴
"
axle,"n. 轴, 车轴
"
babysit,vi. (代人临时)照看婴孩
bachelor,"n. 单身汉, 学士
"
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
backup,"n. 倒车, 后退, 后援, 支持, 阻塞
vt. 做备份
a. 候补的, 支持的
"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
bacon,"n. 熏猪肉
"
bacteria,"pl. 细菌
"
badge,"n. 徽章, 标记
"
badminton,n. 羽毛球运动
baggy,"a. 袋状的, 松垂的"
bail,"n. 保释, 拎环, 杓, 栅栏
vt. 保释, 舀水"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
balcony,"n. 阳台, 戏院楼厅"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
bale,"n. 包, 捆, 货物, 灾难
vt. 打包, 捆包"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
ban,"n. 禁令
vt. 禁止, 取缔"
bandit,n. 强盗
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
banner,"n. 旗帜
a. 显著的, 特别好的"
banquet,n. 宴会
baptism,"n. 浸礼, 洗礼"
baptize,"vt. 施洗礼, 使经受考验, 命名"
baptise,"vt. 给...施洗礼, 命名, 使纯化, 洗炼"
barbarian,"n. 野蛮人
a. 野蛮的"
barbaric,"a. 野蛮的, 粗野的"
barbarous,"a. 野蛮的, 残暴的, 粗野的"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
barber,n. 理发师
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
barley,"n. 大麦
"
barn,"n. 谷仓
"
baron,"n. 男爵
"
barracks,"n. 兵营, 营房；简陋的房子；警察所（barrack的复数）"
barrel,"n. 桶
vt. 装入桶内"
barren,"a. 不育的, 贫瘠的
n. 荒地"
bass,"n. 低沉的声音, 男低音, 椴树
a. 低音的"
bastard,"n. 私生子, 劣货
a. 私生的, 杂种的, 不合标准的"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
battlefield,"n. 战场, 沙场"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
beacon,"n. 烽火, 灯塔
v. 照亮"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
beak,"n. 鸟嘴, 喙
"
beaker,"n. 大口酒杯, 烧杯
"
bean sprouts,n. 豆芽( bean sprout的名词复数 ); 豆芽菜
beast,"n. 畜生, 动物, 野兽, 兽性"
beet,"n. 甜菜(根)
"
beetle,"n. 甲虫, 大槌
vi. 快速移动
vt. 捶"
bellow,v. 怒吼
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
beneath,"prep. 在...下方
adv. 在...下方"
berth,"n. 船岸之间的水区, 锚地, 卧铺
vi. 停泊
vt. 使停泊"
besiege,"vt. 围攻, 包围"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
beverage,"n. 饮料
"
beware,"v. 小心, 谨防"
bewilder,"vt. 使迷惑, 使不知所措"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
bibliography,"n. 参考书目
"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
bikini,"n. 大爆炸, 比基尼泳装"
bin,"n. (贮存谷物等的)容器, 箱子
"
binary,"a. 由两部分组成的, 二进位的, 二元的
"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
binder,"n. 捆缚者, 用以绑缚之物, 活页夹
"
binding,"n. 装订
"
binoculars,"n. 双目镜, 双筒镜
"
biochemistry,"n. 生物化学
"
biographic,"a. 传记的, 传记体的"
biographical,a. 传记的
biography,n. 传记
biotechnology,n. 生物工艺学；生物技术
birch,"n. 桦树, 桦木, 桦条
"
birthrate,n. 出生率
bishop,"n. 主教, (国际象棋中的)象, 热果子酒"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
bitterly,"adv. 怨恨地, 悲痛地, 残酷地"
blacken,"vt. 使变黑, 诽谤
vi. 变黑"
blacksmith,"n. 铁匠
"
bladder,"n. 膀胱, 囊
"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
bland,"a. 温和的, 乏味的, 冷漠的
"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
bleach,"vt. 漂白
vi. 变白
n. 漂白, 漂白剂"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
bleat,"n. 羊的叫声
vi. 咩咩叫
vt. 以颤抖的声音说"
blessed,"a. 神圣的, 受祝福的
bless的过去式和过去分词"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
blister,"n. 水疱
"
blockade,"n. 阻塞
vt. 封锁"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
blot,"n. 污点, 墨水渍
vt. 乱涂, 使模糊, 吸干
vi. 弄上墨渍, 吸墨水"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
blunt,"a. 钝的, 坦率的, 麻痹的"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
boardroom,"n. 会议室, 证券交换场所"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
bodyguard,"n. 保镖, 护卫"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
bondage,"n. 奴役, 束缚
"
bonus,"n. 奖金, 红利
"
bony,"a. 如骨的, 多骨的, 瘦骨嶙峋的"
bookish,"a. 好读书的, 书呆子的"
bookkeeping,"n. 簿记
"
bookstall,n. 书报摊
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
booth,"n. 亭, 摊棚
"
borderline,"n. 边界, 界线
a. 边界的"
borough,"n. 自治的市镇, 区"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
bossy,"a. 专横的, 浮雕装饰的"
botanical,"a. 植物学的
n. 植物性药材"
botanist,n. 植物学家
botany,"n. 植物学
"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
bottleneck,"n. 瓶颈
"
bough,n. 大树枝
boulevard,n. 林荫大道
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
boundless,"a. 无限的, 无边无际的
"
bouquet,"n. 花束
"
bourgeois,"n. 中产阶级分子, 商人, 资产阶级
a. 中产阶级的, 平庸的
n. 九点活字"
bourgeoisie,"n. 中产阶级, 资产阶级"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
bowels,"pl. 肠, 内脏, 内部"
bowler,"n. 玩滚球的人, 玩球戏的人, 投球手"
bowling,n. 保龄球戏
boycott,"n. 联合抵制
vt. 联合抵制"
bra,"n. 奶罩
"
bracelet,"n. 手镯
"
brag,"n. 吹牛
v. 吹牛"
brainless,"a. 无头脑的, 愚笨的"
brandy,"n. 白兰地酒
"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
bravery,n. 勇敢
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
breakthrough,"n. 突破
"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
breathless,"a. 喘不过气来的, 屏气的, 气喘吁吁的, 无风的, 死的"
breathtaking,"a. 惊人的, 惊险的"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
brewery,"n. 啤酒厂, 酿酒厂
"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
bribery,"n. 贿赂行为, 行贿, 受贿
"
bride,n. 新娘
bridegroom,n. 新郎
briefing,"n. 简报
"
brigade,"n. 旅, 队
"
brighten,"vi. 变亮, 活跃
vt. 使生辉, 使快活"
brilliance,"n. 卓越, 光辉
"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
brink,"n. 边缘, 陡岸"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
brochure,"n. 小册子, 小册"
bronze,"n. 青铜, 铜像
a. 青铜色的"
brooch,"n. 胸针, 领针"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
brook,"n. 小溪
vt. 容忍"
broom,"n. 扫帚, 金雀花
vt. 扫除"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
brunch,n. 早午餐
brutal,"a. 残忍的, 野蛮的, 不讲理的"
brute,"n. 畜生, 残忍或好色之人
a. 残忍的, 无理性的, 畜生的"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
bucket,"n. 桶
"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
Buddha,n. 佛陀
Buddhism,n. 佛教
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
buffalo,"n. 水牛
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
bugle,"n. 喇叭, 号角
v. 吹号"
bulb,"n. 球茎, 电灯泡
"
bulldozer,"n. 推土机
"
bullet,"n. 子弹
"
bulletin,"n. 公告, 布告, 公报
"
bullish,"a. 似公牛的, 看涨的, 上扬的
"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
bun,"n. 小面包
"
bunch,"n. 串, 束
"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
bungalow,n. 平房
buoy,"n. 浮标, 航标, 救生圈
vt. 使浮起, 鼓励"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
bureau,"n. 局, 办公处
"
bureaucracy,"n. 官僚, 官吏
"
bureaucrat,"n. 官僚作风的人, 官僚, 官僚主义者
"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
bushel,"n. 蒲式耳(容量单位)
v. 修整(衣物)"
bushy,"a. 灌木一样的, 灌木茂密的, 浓密的"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
butler,"n. 男管家, 司膳总管"
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
by-product, 副产品，副产物
byte,"n. 字节, 位组
"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
cactus,"n. 仙人掌
"
cadet,"n. 军官学校学生
"
cadre,"n. 框架, 干部
"
cafeteria,"n. 自助餐厅
"
calcium,"n. 钙
"
calculation,"n. 计算, 考虑, 计算的结果
"
calculator,"n. 计算者, 计算器
"
calculus,n. 结石；微积分学
canary,"n. 金丝雀, 淡黄色"
canine,"n. 犬齿, 犬
a. 犬的, 似犬的, 犬科的"
cannery,"n. 罐头厂
"
cannon,"n. 大炮, 加农炮
v. 炮轰"
Cantonese,"n. 广东人, 广东话"
canvas,"n. 帆布, 画布, 油画
"
canyon,"n. 峡谷, 海底悬崖"
capitalism,"n. 资本主义
"
capitalist,"n. 资本家, 资本主义者
a. 资本主义的"
capitalize,"vt. 以大写字母写, 使资本化, 估计...的价值
"
capitalise,"vt. 用大写字母写, 用大写字母印, 投资于, 使变为资本, 提供资本给
vi. 利用"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
carbon,"n. 碳, 副本, 复写纸
"
carcass,"n. 尸体
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
cardboard,"n. 薄纸板
"
cardigan,n. 卡迪根式开襟羊毛衫
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
carefree,"a. 无忧无虑的, 不负责的"
caretaker,"n. 照顾者, 看管者, 看守人
"
cargo,"n. 货物
"
carol,"n. 颂歌, 欢乐的歌
v. 歌颂, 欢唱"
carton,"n. 硬纸盒, 纸板箱
"
casino,"n. 卡西诺赌场, 卡西诺牌戏"
cask,"n. 桶, 木桶
vt. 装入桶内"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
casualty,"n. 意外事故, 伤亡, 受害者
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
"
catastrophe,"n. 大灾难, 大祸
"
categorize,"vt. 分类, 归类"
categorise,"vt. 分类, 归类"
category,"n. 种类, 类项
"
cater,"v. 提供饮食及服务, 投合, 迎合"
caterpillar,"n. 毛虫
"
cathedral,n. 大教堂
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
cauliflower,"n. 花椰菜
"
cavalry,n. 骑兵
celebrated,"a. 驰名的, 有名的"
celery,"n. 芹菜
"
cellar,"n. 地窖, 地下室, 藏酒"
cello,n. 大提琴
cellular,"a. 细胞的
"
celluloid,"n. 赛璐珞
"
Celsius,a. 摄氏的
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
cemetery,"n. 墓地, 公墓
"
census,"n. 户口普查
vt. 实施统计调查"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
championship,"n. 冠军身份, 冠军称号, 捍卫"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
changeable,a. 可改变的
chaos,"n. 大混乱, 混沌
"
chaotic,"a. 混乱的, 无秩序的
"
chap,"n. 小伙子, 颌, 龟裂
v. 皲裂"
chapel,"n. 小教堂, 礼拜式"
characterize,"vt. 描绘...的特性, 刻划...的性格"
characterise,"vt. 表示...的特性, 成为/是...的特性, 刻划/描述...的性格
vi. 在文艺作品中塑造人物, 描绘性格"
charcoal,"n. 木炭
"
chargeable,"a. 应支付的
"
chariot,n. 二轮战车
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
chartered,a. 特许的
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
chasm,"n. 陷窟, 裂口"
chatter,"n. 饶舌, 啁啾, 喋喋不休
vi. 喋喋不休地谈, (鸟)啭鸣"
chatterbox,n. 喋喋不休者
chauffeur,n. 司机
checklist,"n. 清单, (美)选举人名单, 名册, 目录册"
checkout,"n. 结帐台
"
checkpoint,"n. 检查站
"
chemist,"n. 化学家, 药剂师
"
cherish,"vt. 珍爱, 怀有, 爱护"
chestnut,"n. 栗子, 栗树, 栗色
a. 栗色的"
chick,"n. 小鸡, 小鸟, 竹帘"
chiefly,adv. 主要地
childish,"a. 天真的, 孩子气的"
chili,"n. 干辣椒, 辣椒粉"
chilli,n. 红辣椒
