amongst,"prep. 在...当中, 在...之间, 在...之中"
psychosocial,社会心理的(指社会环境影响下的个人心理变化)
response,"n. 反应, 回答, 响应
"
rewarding,"a. 有益的, 有报酬的, 报答的"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
transferable,"a. 可转移的
"
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
voucher,"n. 证人, 保证人, 证明者, 凭证, 凭单
vt. 证实...的可靠性"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
webinar,[网络] 网络研讨会；在线研讨会；网路研讨会
a range of, 一系列; 一些; 一套
a variety of,"各种各样的..., 种种..."
base on,"v. 根据
"
be relevant to,与...有关
be supposed to,"应该, 被期望"
be tucked,无
be tucked away,无
by no means,决不
even if,即使
fresh out of,"刚卖完, 刚用完"
in return for ...,作为…的回报
loads of,"大量, 许多"
look on,"观看, 旁观, 看待"
on call,"随叫随到的, 待命的, 即期支付的
"
on top of sth.,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
tuck away,"na. 藏起
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
cite,"vt. 引用, 引证, 表彰
"
collectively,"adv. 集合, 聚合性, 共同, 集体主义, 集团, 集体"
correlation,"n. 相互关系, 相关, 关联
"
crucial,"a. 决定性的, 重要的, 严厉的
"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
exposure,"n. 暴露, 揭发, 揭露
"
findings,"n. 发现, 调查结果；检验发现的情况（finding复数）"
flyer,"n. 飞鸟, 飞行物, 飞行员, 快车, 传单, 飞跳
"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
generate,"vt. 产生, 发生, 导致
"
habitual,"a. 习惯的, 惯常的, 平常的
"
independently,"adv. 独立地, 自立地"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
insightful,"a. 有深刻见解的, 富有洞察力的"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
pamphlet,"n. 小册子, 活页文选"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
pique,"n. 赌气, 愤怒, 不快, 凹凸织物
vt. 伤害...自尊心, 激怒, 刺激, 引起兴趣, 使兴奋"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
solution,"n. 解决, 解答, 溶液
"
subsequent,"a. 后来的, 接下去的
"
tortuous,"a. 扭曲的, 弯曲的, 转弯抹角的, 欺骗的
"
uncontrollable,"a. 无法控制的
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
volition,"n. 行使意志, 意志力, 决定"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
whereas,"conj. 然而, 鉴于
"
a small amount of,无
be aware of,知道
benefit from,从…获利
blog about,无
doses of,无
in that,"既然, 因为"
keep a record of,"记录,记载,把…记下来"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pick up,"v. 拾起；探出；重新开始
"
put an effort into,无
rather than,与其...不如...
regardless of,"不注意, 不关心"
rise to, 上升到
seek out,"搜出, 挑出"
analytical,"a. 分析的, 善于分析的, 解析的
"
barnyard,n. 谷仓前的场地
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
concentration,"n. 集中, 专心
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
creative,"a. 有创造力的, 创作的, 产生的"
creativity,"n. 创造力, 创造性"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
envision,"vt. 想象, 预想"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
expendable,"a. 可消费的, 消耗性的, 可牺牲的, 值得消耗的, 可消耗的
n. 消耗物, 可牺牲的人, 可牺牲的物"
fictional,"a. 虚构的, 编造的, 小说式的
"
GPA,abbr. 通用放大器（General Purpose Amplifier）；客运总经纪人（General Procurement Agent）；平均分数（Grade-Point Average）
imagination,"n. 想像, 听觉, 想像力
"
increasingly,"adv. 逐渐地, 渐增地"
indulgence,"n. 沉溺, 放纵, 嗜好
"
informative,"a. 提供消息的, 见闻广博的"
intuitively,[计] 直觉地
involvement,"n. 卷入, 牵连, 包含, 困窘
"
knowledgeable,"a. 聪明的, 有知识的"
muscle,"n. 肌肉, 臂力
"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
sake,"n. 目的, 缘故, 理由"
significantly,adv. 值得注目地；意味深长地
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
technological,"a. 技术的
"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
at a rate,无
be willing to,愿意(做)...
due to,"由于, 应归于"
in close interaction with,无
in the past,在过去
take an active involvement in,无
acquaintance,"n. 认识, 相识者"
attorney,"n. 代理人, 律师
"
balcony,"n. 阳台, 戏院楼厅"
barely,adv. 几乎不
cherish,"vt. 珍爱, 怀有, 爱护"
definition,"n. 定义, 精确度, 清晰度
"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
frisbee,n. 飞蝶
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
irreplaceable,"a. 不能调换的, 不能代替的
"
lawn,"n. 草地, 草坪, 上等细麻布
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
mythical,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
occasionally,"adv. 有时候, 偶而"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
replace,"vt. 代替, 替换, 放回, 归还
"
reunion,"n. 团圆, 重聚
"
semester,n. 学期
sibling,"n. 兄弟, 同胞
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
summarize,"v. 概述, 总结"
talent,"n. 天才, 才能, 有才干的人, 天资"
technician,"n. 技师
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
a shoulder to cry on,患难时可以依赖的人或安慰
compare ... to, 把…比作， 喻为; 与…相比
drift apart," （两者）漂移, 疏远"
ever after, 自从
far from,"远离, 远非"
join hands,"会战,合作,联合行动"
join hands with,"同...联合, 合伙"
make it back to,无
no matter how,不管如何
on a tour of,无
succeed in,在...方面成功
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
astonishment,"n. 惊异, 惊愕, 使人惊异的事物"
blankly,"adv. 茫然地, 毫无表情地"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
deadline,"n. 最后期限, 截止期限
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
fate,"n. 命运, 运气
vt. 注定"
florist,"n. 花匠, 花商, 花卉研究者"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
haltingly,adv. 迟疑不决地；犹豫地
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
identical,"a. 同一的, 恒等的, 完全相同的
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
promptly,"adv. 敏捷地, 迅速地"
provoke,"vt. 激怒, 惹起, 诱导
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
solitude,"n. 孤独, 单独, 孤寂"
standing,"n. 起立, 持续, 身分
a. 立着的, 不动的, 经常的, 持续的"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
symbolically,adv. 象征性地
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
unexpectedly,"adv. 想不到的, 突然的, 意外的, 出乎意料的"
cheer sb. up,"v. 鼓舞；振作一点
"
go by,"走过, 依照, 顺便走访"
in advance,"预先
"
in case,万一
once again,再一次
pass away,"去世, 停止, 离去, 消逝"
work out,"v. 作出；拟定；制定；计划一下
"
