primarily,"adv. 主要地, 首先地"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
outrageous,"a. 暴虐的, 极无礼的, 可恶的"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
solicitor,"n. (英)律师, 初级律师, (美)法务官, (美)掮客, 游说者, (美)募捐者
"
commentary,"n. 注释, 评论, 说明
"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
sturdy,"a. 强健的, 健全的
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
tide,"n. 潮, 潮汐, 趋势, 潮流, 涨潮, 高潮
vt. 使随潮漂流
vi. 顺潮行驶"
gracious,"a. 亲切的, 慈善的"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
elite,"n. 精华, 精锐, 中坚分子"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
ambition,"n. 野心, 志向"
bureaucracy,"n. 官僚, 官吏
"
reassure,"vt. 使...安心, 向...再保证
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
differentiate,"v. 区别, 区分"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
cork,"n. 软木塞, 软木树, 软木
"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
describe,"vt. 描述, 描绘, 画"
hostage,"n. 人质, 抵押品
"
insane,"a. 患精神病的, 极愚蠢的
"
dilemma,"n. 困境, (进退两难的)窘境"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
flank,"n. 侧面, 侧腹, 胁, 腰窝肉
vt. 攻击侧面, 守侧面
vi. 侧面与...相接"
incredible,a. 难以置信的
skull,"n. 头盖骨, 头脑, 好学生
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
reflexion,"[医] 反射[作用], 反折"
inertia,"n. 惯性, 惰性, 迟钝
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
imply,"vt. 暗示, 意味
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
diligent,"a. 勤勉的, 用功的"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
adapt,"vt. 使适应, 改编
vi. 适应"
erroneous,"a. 错误的, 不正确的
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
elegant,"a. 优雅的, 端庄的, 高雅的"
edible,"n. 食品, 食物
a. 可食用的"
subsidy,"n. 补助金, 津贴
"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
collaboration,"n. 合作, 勾结
"
administration,"n. 行政, 管理, 政府机关
"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
economy,"n. 经济, 理财, 节约
"
appraisal,"n. 评价, 估价
"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
environment,"n. 环境, 外界, 围绕
"
environmental,"a. 周围的, 环境的
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
devote,"vt. 投入于, 献身"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
depict,"vt. 描述, 描写"
orchestra,"n. 管弦乐队, 乐队演奏处"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
latitude,"n. 纬度, 范围
"
contempt,"n. 轻视, 轻蔑
"
slick,"a. 光滑的, 熟练的, 聪明的, 华而不实的, 老套的, 陈腐的
adv. 灵活地, 聪明地
vt. 使光滑, 使漂亮
vi. 打扮整洁
n. 光滑平面, 平滑器, 修光工具"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
suffice,"vi. 足够, 有能力
vt. 满足"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
prolong,"vt. 延长, 拖延, 拖长
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
donate,v. 捐赠
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
banquet,n. 宴会
climate,"n. 气候, 社会趋势, 气候区
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
destruction,"n. 破坏, 毁灭
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
sulfur,"n. 硫, 硫磺
vt. 用硫磺处理"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
annoy,"vt. 使恼怒, 骚扰"
gorgeous,"a. 华丽的, 灿烂的"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
paperback,"n. 平装本, 纸面本"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
accustomed,"a. 惯常的, 习惯了的"
prefer,"vt. 宁可, 较喜欢, 提出
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
orthodox,"a. 正统的, 传统的, 惯常的"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
miserable,a. 悲惨的；痛苦的；卑鄙的
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
superintendent,"n. 监督人, 主管人, 主日学校校长
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
supersonic,"a. 超声波的
"
superiority,"n. 优越, 高傲
"
smuggle,"vt. 偷运, 走私, 私运
vi. 走私"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
cape,"n. 岬, 海角, 披肩, 斗蓬"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
addition,"n. 加法, 增加的人(或物)
"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
bandage,"n. 绷带
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
surgery,"n. 外科, 手术, 手术室, 换球术"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
dine,"vi. 用正餐, 进餐
vt. 宴请"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
monster,"n. 怪物, 恶人, 巨物
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
deteriorate,v. (使)恶化
conjunction,"n. 连接词, 联合, 结合
"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
athlete,"n. 运动员, 运动选手
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
surpass,"vt. 超越, 凌驾, 胜过"
console,"vt. 安慰, 藉慰
n. 控制台
"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
species,"n. 种, 类, 外形
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
dart,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
breakdown,"n. 崩溃, 故障
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
autonomous,"a. 自治的
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
grin,"n. 露齿笑
v. 露齿而笑"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
innovation,"n. 改革, 创新
"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
medieval,"a. 中古的, 中世纪的"
majority,"n. 多数, 大半
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
preside,"vi. 统辖, 当主人, 主持
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
napkin,"n. 餐巾, 餐巾纸, 尿布"
adequate,"a. 适当的, 足够的
"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
cozy,"a. 舒适的, 安逸的, 惬意的
n. (茶壶等的)保暖罩, 舒适的座位
vt. 以假话使安心"
leaflet,"n. 小叶, 传单
"
nil,"n. 无, 全无, 零
"
coward,"n. 懦弱的人, 胆小的人"
destination,"n. 目的地, 目标, 目的
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
symmetry,"n. 对称, 匀称
"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
colleague,"n. 同事, 同僚"
chapel,"n. 小教堂, 礼拜式"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
product,"n. 产品, 结果, 乘积
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
intervene,"vi. 插入, 调停, 干涉
"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
agony,"n. 极大的痛苦, 挣扎
"
momentum,"n. 动力, 动量
"
clone,"n. 无性系
"
gland,"n. 腺, 密封套
"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
denote,"vt. 指示, 表示"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
installation,"n. 安装, 装置, 就职
"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
diagnose,v. 诊断
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
toxic,"a. 有毒的, 中毒的
"
domestic,"a. 家庭的, 国内的, 驯养的
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
envisage,"vt. 面对, 正视, 想象"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
handbook,"n. 手册
"
calcium,"n. 钙
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
alcohol,"n. 酒精, 酒
"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
questionnaire,"n. 调查表, 问卷
"
symphony,"n. 交响乐, 交响曲"
compute,"v. 计算, 估算
n. 计算, 估算"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
olive,"n. 橄榄, 橄榄树, 橄榄色, 橄榄枝
a. 黄绿色的, 黄褐色的, 橄榄色的"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
cliff,"n. 悬崖, 绝壁"
reunion,"n. 团圆, 重聚
"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
colony,"n. 殖民地, 移民队
"
constitute,"vt. 构成, 组成, 任命
"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
tack,"n. 平头钉, 大头钉, 粗缝针脚, 行动方针, 食物
vt. 以大头针钉住, 附加"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
drainage,"n. 排水
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
humidity,"n. 湿气, 潮湿, 湿度
"
atmosphere,"n. 大气, 空气, 气氛
"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
historian,"n. 历史学家, 记事者"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
prototype,"n. 原型
"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
electrician,"n. 电学家, 电气技师, 电工
"
blunt,"a. 钝的, 坦率的, 麻痹的"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
foresee,"vt. 预见, 预知"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
analogy,"n. 相似, 类似
"
cater,"v. 提供饮食及服务, 投合, 迎合"
tanker,"n. 坦克手, 油船, 空中加油飞机, 运油飞机, 油槽/水槽汽车
"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
provided,"conj. 倘若, 以...为条件"
pastime,"n. 消遣, 娱乐, 游戏"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
capable,"a. 有能力的, 能的, 能干的"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
hint,"n. 暗示, 提示
v. 暗示, 示意"
linear,"a. 线的, 直线的, 线状的
"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
module,"n. 组件, 模数
"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
faith,"n. 信心, 信任, 忠实, 保证
"
pudding,n. 布丁
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
tedious,"a. 沉闷的, 冗长乏味的"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
"
indicate,"vt. 显示, 象征, 指示, 指出
"
qualitative,"a. 性质的, 质的, 定性的"
attain,"vt. 达到, 获得
vi. 达到"
occur,"vi. 发生, 被想到, 存在"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
telecommunication,"n. 电讯, 远距离通讯, 无线电通讯
"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
henceforth,"adv. 自此以后, 今后"
allege,"vt. 宣称, 主张, 提出, 断言
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
coincidence,"n. 巧合, 同时发生
"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
decisive,"a. 决定性的, 坚定的, 果断的"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
arena,"n. 角斗场, 舞台, 场地
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
shutter,"n. 百叶窗, 关闭物, 照相机快门, 关闭者
vt. 为...装百叶窗, 以百叶窗遮闭"
paralyze,"vt. 使瘫痪, 使麻痹
"
temptation,"n. 诱惑, 诱惑物
"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
machinery,"n. 机器, 机械装置, 机构
"
immerse,"vt. 沉浸, 使陷入
"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
lace,"n. 饰带, 花边, 缎带, 鞋带
vt. 结带子, 饰以花边
vi. 系带子
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
sociology,"n. 社会学
"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
pistol,"n. 手枪, 信号枪
vt. 以手枪杀死(或伤害)"
mansion,"n. 大厦, 宅邸"
purity,"n. 纯净, 纯正, 纯粹
"
boycott,"n. 联合抵制
vt. 联合抵制"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
overhear,"vt. 无意中听到, 偷听"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
