irrational,"n. 无理数
a. 无理性的, 不合理的"
assert,"vt. 主张, 坚称, 断言
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
assertive,"a. 武断的, 过分自信的
"
stimulant,"a. 兴奋性的, 激励的, 鼓舞的
n. 兴奋剂, 酒精饮料"
placate,"vt. 抚慰, 平息, 使和解, 怀柔"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
implacable,"a. 不能安抚的, 难和解的, 不变的"
unyielding,"a. 不易弯曲的, 不屈的"
facet,"n. (多面体的)面, 方面, 琢面
"
purveyor,"n. 承办伙食者, 承办商人, 征发官员"
cumbersome,"a. 笨重的, 麻烦的, 累赘的"
unwieldy,"a. 难处理的, 笨大难使用的, 笨拙的"
encumber,"vt. 妨害, 阻塞, 拖累
"
unencumbered,"a. 没有阻碍的, 不受妨碍的, 没有负担的, 没有家累的, 没有子女的"
unobservable,a. 难以察觉的；注意不到的；不可见的
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
crass,"a. 粗俗的, 愚钝的, 粗糙的, 非常的"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
easygoing,"a. 脾气随和的, 逍遥自在的, 悠闲的, 懒散的"
occasional,"a. 偶然的, 临时的
"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
aggravate,"vt. 使恶化, 使更严重, 加重"
recession,"n. 后退, 凹处, 衰退, 归还
"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
entice,"vt. 诱骗, 引诱, 怂恿"
tonic,"n. 补药, (音乐)主调音或基音
a. 滋补的, 声调的, 使精神振作的"
restorative,"a. 恢复健康的, 滋补的
n. 兴奋药, 补药"
disband,"vt. 解散, 遣散
vi. 被解散"
sweeping,"n. 扫除, 垃圾
a. 扫荡的, 彻底的, 广泛的"
replete,"a. 装满的, 充满的, 充实的, 吃饱的"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
germane,"a. 关系密切的, 有关的, 同样的, 恰当的, 贴切的
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
equate,"vt. 使相等, 视为平等
vi. 等同"
dogmatic,"a. 教条的, 武断的"
multifarious,"a. 多种的, 各种各样的, 许多的"
multifaceted,a. 多层面的
eternal,"a. 永恒的, 永远的, 不灭的"
reciprocity,"n. 相互性, 相互作用, 互惠主义
"
offish,"a. 不亲热的, 冷漠的, 疏远的, 健康较差的"
solitary,"n. 独居者
a. 孤独的, 独居的"
exculpation,"n. 使无罪
"
vindication,"n. 辩护, 证明无辜, 辩明
"
exculpatory,"a. 辩解的, 辩明无罪的
"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
sanity,"n. 神智健全, 头脑清楚, 通情达理
"
counterweight,"n. 平衡物, 平衡力, 秤锤
"
synthesis,"n. 综合, 组织, 综合体
"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
constrain,"vt. 强迫, 限制, 关押"
deter,"vt. 制止, 吓住, 威慑"
beset,"vt. 围绕, 使苦恼, 镶嵌"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
ideological,"a. 意识形态的, 空想的
"
grandstand,"n. 正面看台, 观众"
inexplicable,"a. 不能说明的, 不能解释的, 费解的"
incomprehensible,"a. 不能理解的, 费解的, 无限的"
consequential,"a. 作为结果的, 随之发生的, 推论的, 间接的, 重大的, 自大的, 傲慢的, 自傲的
"
inconsequential,"a. 不合逻辑的, 不合理的, 不重要的"
immaterial,"a. 非物质的, 无形的, 精神的
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
impregnable,"a. 无法攻取的, 坚强不屈的, 驳不倒的"
enchanting,"a. 迷人的, 妩媚的, 迷惑人的"
tropic,n. 回归线
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
arguably,adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地
argument,"n. 争论, 论证, 论据, 自变量
"
argumentative,"a. 好辩的, 引起争论的, 论证式的
"
heedless,"a. 不注意的, 不留心的, 不谨慎的"
noisome,"a. 有害的, 恶臭的, 有毒的, 可厌的, 令人不快的"
malodorous,a. 有恶臭的
disorient,"vt. 使失去方向, 使迷惑"
slapdash,"n. 草率
a. 猛烈的, 粗心的"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
picky,"a. 吹毛求疵的, 挑剔的, 找麻烦的"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
fine-tune, 微调，调整
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
accede,"vi. 同意, 正式加入, 就任, 继任"
deference,"n. 顺从, 尊重"
deferential,"a. 恭敬的
"
interplay,"n. 互相作用, 互相影响
vi. 互相作用"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
decry,"vt. 反对, 责难, 诽谤, 诋毁"
quibble,"n. 遁词, 双关语
vi. 吹毛求疵, 争吵, 说模棱两可的话
vt. 对...诡辩"
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
rectitude,"n. 正直, 纯正, 正确
"
probity,"n. 诚实, 正直"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
deliberation,"n. 熟虑, 熟思, 审议
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
enterprising,"a. 有魄力的, 有进取心的, 有事业心的"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
criticism,"n. 批评, 评论, 非难
"
criticism,"n. 批评, 评论, 非难
"
critique,"n. 评论文章, 评论"
evaluation,"n. 评估, 估价, 求值
"
paltry,"a. 不足取的, 琐碎的, 可鄙的"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
forebear,"n. 祖先, 祖宗"
spurn,"n. 踢开, 拒斥
vt. 踢开, 冷落, 践踏, 唾弃
vi. 藐视, 摒弃"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
brevity,"n. 短暂, 简短"
bumbling,a. 妄自尊大的
conversant,"a. 熟悉的, 亲近的, 有交情的"
anew,"adv. 重新, 再"
ramification,"n. 分枝, 分叉, 枝状物, 支脉, 支流, 衍生物
"
innocuous,"a. 无害的, 无伤大雅的
"
harmless,"a. 无害处的, 未受损害的, 无辜的, 无恶意的
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
augur,"n. 占卜官, 预言者
v. 预示, 预言"
hone,"n. 磨刀石, 抱怨, 想念
vt. 用磨刀石磨, 磨练"
enhance,"vt. 提高, 加强, 增加"
thesis,"n. 论题, 论文"
constrain,"vt. 强迫, 限制, 关押"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
deter,"vt. 制止, 吓住, 威慑"
constraint,"n. 强制, 约束
"
spore,"n. 孢子
vi. 长孢子"
sovereignty,"n. 主权, 独立国
"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
atypical,"a. 非典型的
"
tranquil,a. 安静的
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
improbable,"a. 不大可能的, 不象发生的, 荒谬可笑的
"
unlikely,a. 不太可能的
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
folly,"n. 愚蠢, 荒唐事, 讽刺剧"
lurid,"a. 火烧似的, 苍白的, 华丽的, 可怕的"
bland,"a. 温和的, 乏味的, 冷漠的
"
self-serving,"adj. 为个人利益服务的；图私利的
"
sordid,"a. 肮脏的, 贪婪的, 卑鄙的, 恶劣的, 暗淡的
"
sleazy,"a. 质地薄的, 没有内容的, 低级庸俗的"
avow,"vt. 坦率承认, 断言
"
asset,"n. 资产, 有益的东西"
collaborate,"vi. 合作, 勾结
"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
border on,接壤
antiquarian,"n. 古文物收藏家, 古董商
a. 古文物的, 古文物研究的"
purport,"n. 意义, 要旨, 目的
vt. 意味着, 声称, 打算"
accretion,"n. 自然增大, 添加, 添加物, 连生
"
sensuality,"n. 耽于声色, 淫荡, 好色"
sensuous,"a. 感觉上的, 使感官以快感的, 敏感的"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
tortuous,"a. 扭曲的, 弯曲的, 转弯抹角的, 欺骗的
"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
impenetrable,"a. 不能通过的, 不可理喻的, 费解的, 顽固的"
penetrating,"a. 敏锐的, 尖锐的, 伸入很深的, 了解透彻的
"
elicit,"vt. 引出, 推导出, 引起"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
sleazy,"a. 质地薄的, 没有内容的, 低级庸俗的"
sordid,"a. 肮脏的, 贪婪的, 卑鄙的, 恶劣的, 暗淡的
"
outlandish,"a. 外国气派的, 偏僻的, 古怪的"
received,"a. 被一般承认的, 公认的"
reception,"n. 接待, 接受, 招待会
"
redundancy,"n. 过多, 冗长, 累赘, 多余, 冗余位, 冗余度, 冗余码, 多余信息
"
redundant,"a. 多余的, 过多的, 冗长的
"
corollary,"n. 必然的结果, 系, 推论"
paraphernalia,n. 随身用具
instability,"n. 不安定, 不稳定
"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
razor-sharp,"a. 锋利的, 犀利的"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
defend,"vt. 防护, 辩护, 防卫
"
iconoclastic,"a. 反对偶象崇拜的, 打破旧习的"
naive,"a. 天真的, 纯真的, 幼稚的"
unsophisticated,"a. 不懂世故的, 单纯的, 不精细的, 纯洁的"
naiveté,无
ingenuousness,n. 率直; 正直; 老实
exemplar,"n. 模范, 榜样, 原型, 标本"
deem,"v. 认为, 相信"
extremist,[经] 偏激份子
zealot,"n. 热心者, 狂热者, 犹太教狂热信徒
"
predilection,"n. 嗜好, 偏爱"
proclivity,"n. 倾向, 癖性"
ample,"a. 大量的, 充足的, 丰富的"
inexorable,"a. 无情的, 冷酷的"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
genre,"n. 类型, 流派"
datable,a. 可确定年代的
awry,"a. 歪的, 错误的
adv. 歪斜地, 错地"
intervention,"n. 插入, 介入, 调停
"
decision-making,
pertinacity,"n. 执拗, 顽固, 顽强, (疾病的)难治"
steadfastness,"n. 坚定, 稳当"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confrontation,n. 对抗；对质；面对
exhilarating,"a. 令人喜欢的, 使人愉快的, 爽快的"
heretofore,"adv. 直到此时, 此时以前, 迄今"
conducive,"a. 有益于...的, 有助于...的, 助长的"
instinctive,"a. 本能的, 天生的, 直觉的
"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
convulsion,"n. 震动, 震撼, 动乱, 惊厥, 痉挛
"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
annihilate,"vt. 消灭, 废止"
destroy,"vt. 破坏, 毁坏, 消灭"
discern,"v. 辨别, 看清楚, 了解"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
detect,"vt. 发现, 察觉, 探测
"
discernment,"[法] 认识, 识别, 洞察力"
perspicacity,"n. 聪颖, 聪明, 睿智, 洞察力"
transparent,"a. 透明的, 显然的, 清晰的
"
trifling,"a. 没什么价值的, 微不足道的, 轻浮的"
minimal,"a. 最小的, 极微的, 最小限度的
"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
naysay,"n. 拒绝, 否认
vt. 拒绝, 否认"
budding,"a. 萌芽的, 发育期的, 初露头角的
n. 发芽"
wild-eyed,"a. 怒目而视的, 过激的"
boorish,"a. 粗野的, 粗鄙的"
enviable,"a. 令人羡慕的, 可羡慕的"
coveted,"a. 令人垂涎的; 垂涎的, 梦寐以求的
v. 贪求, 觊觎(covet的过去分词); 垂涎; 贪图"
removed,"a. 离开的, 间隔的, 远离的
"
comic strips,"na. 连环漫画
"
comical,"a. 好笑的, 滑稽的"
astringent,"n. 收敛剂
a. 收敛性的, 严厉的, 涩的"
punctuate,"vt.vi. 给文章加标点, 加标点符号
vt. 强调, 加强, (常用被动)不时打断
n. 标点, 标点法, 标点符号"
misinterpret,vt. 曲解
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
pertain,"vi. 从属于, 关于, 涉及, 附属, 适合, 相称
"
pertinent,"a. 相关的, 中肯的, 切题的
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
impertinent,"a. 不切题的, 鲁莽的, 无礼的, 粗鲁的, 不恰当的"
panache,"n. 羽饰, 夸示, 假威风, 炫耀"
expedient,"n. 权宜之计
a. 权宜的, 方便的, 有用的"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
insightful,"a. 有深刻见解的, 富有洞察力的"
infectious,"a. 有传染性的, 易传染的
"
forsake,"vt. 放弃, 断念, 抛弃
"
hindsight,"n. 枪的表尺, 事后聪明"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
pitiful,"a. 慈悲的, 可怜的, 令人同情的, 可鄙的"
insuperable,"a. 不能制胜的, 不能克服的"
egalitarian,"a. 平等主义的
n. 平等主义"
medieval,"a. 中古的, 中世纪的"
indicator,"n. 指示器, 指示剂, 指标
"
indicative,"a. 指示的, 象征的, 表示...的
"
unimpeachable,"a. 无懈可击的, 无可指责的, 无过失的"
blameless,"a. 无可责难的, 无过失的, 清白的"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
unassuming,"a. 谦逊的, 不装腔作势的"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
heartfelt,"a. 衷心的, 真心真意的"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
bemuse,vt. 使发呆
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
pedigree,"n. 血统, 家谱, 名门世系
"
delude,"vt. 迷惑, 蛊惑"
delusive,"a. 困惑的, 迷惑的, 欺瞒的"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
unassuming,"a. 谦逊的, 不装腔作势的"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
unostentatious,"a. 不虚饰的, 朴素的"
modesty,"n. 谦逊, 质朴, 羞怯"
humility,"n. 谦逊, 谦虚, 谦卑"
analogue,"n. 类似物, 相似情况
"
analogous,"a. 类似的, 相似的
"
comparable,"a. 可比较的, 比得上的"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
feminist,n. 男女平等主义者
reconstruct,"vt. 重建, 改造
"
lingering,a. 拖延的
downplay,vt. 不予重视
de-emphasize,"v. 降低…重要性；不再加以强调
"
falsehood,"n. 谎言, 虚假(性)
"
anthology,"n. 选集, 诗选"
outright,"a. 率直的, 完全的, 总共的, 直率的
adv. 完全地, 率直地, 立刻地, 一直向前"
redouble,"vi.vt. (使)加倍, (使)增强, 倍增, 加强, (使)大量增加
vt. 重复, 再做, 再说
vi. 重折, 重迭
"
frenzy,"n. 疯狂, 狂暴, 狂怒
"
forbidding,"a. 严峻的, 可怕的, 令人难亲近的"
daunting,a. 使人畏缩的
countermand,"vt. 取消, 撤回, 下命令召回
n. 收回命令, 取消命令"
placebo,"n. (为死者所诵的)晚祷歌, 安慰剂, 安慰的话, 使人宽慰的事
"
introspective,"a. 内省的
"
reflective,"a. 反射的, 反映的, 沉思的"
idiosyncrasy,"n. 气质, 特性, 风格
"
idiosyncratic,"a. 特质的, 异质的, 特殊的
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
hasty,"a. 匆匆的, 轻率的, 性怠的"
capricious,"a. 反复无常的, 多变的, 任性的"
precarious,"a. 不稳定的, 不安的, 危险的"
perilous,"a. 危险的, 濒临毁灭的"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
dangerous,"a. 危险的
"
salutary,"a. 有益的, 有用的, 有益健康的
"
putative,"a. 推定的, 被公认的
"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
inertia,"n. 惯性, 惰性, 迟钝
"
inertial,a. 惯性的
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
childbearing,"n. 分娩
"
mendacity,"n. 虚伪, 谎话, 说谎癖
"
disinformation,n. 假情报
inductive,"a. 归纳的, 感应的
"
generic,"a. 属类的, 一般的
"
inclusive,"a. 包含的, 包括的"
senescence,"n. 老朽, 衰老
"
decrepitude,"n. 衰老, 老朽"
grandiose,"a. 宏伟的, 壮丽的, 夸张的
"
grandiosity,"n. 宏伟, 夸张
"
grandeur,"n. 庄严, 伟大, 壮丽"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
exigent,"a. 紧急的, 迫切的, 苛求的
"
specious,"a. 徒有其表的, 似是而非的, 外表美观的"
spurious,"a. 假造的, 伪造的, 欺骗的
"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
decrepitude,"n. 衰老, 老朽"
senescence,"n. 老朽, 衰老
"
elation,"n. 得意洋洋, 兴高采烈
"
tedious,"a. 沉闷的, 冗长乏味的"
tedium,"n. 单调乏味, 沉闷"
prophetic,"a. 预言的, 先知的, 预示的"
oracular,"a. 神谕的, 神谕似的, 谜似的, 玄妙深奥的"
obfuscate,"vt. 弄暗, 使模糊, 使迷惑"
mystify,"vt. 使神秘化, 使难解, 迷惑
"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
prohibition,"n. 禁令, 禁止"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
animus,"n. 基本态度, 敌意, 意向
"
hostility,"n. 敌意, 敌对, 反对"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
glean,"v. 拾落穗, 收集"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
upsurge,"vi. 高涨, 涌起
n. 增长, 高潮"
spike,"n. 长钉, 鞋钉, 钉状物, 尖峰状物, 穗
vt. 以大钉钉牢, 用尖物刺穿, 阻止, 弃置不用
"
tribute,"n. 贡物, 礼物, 颂辞"
encomium,"n. 赞辞, 称赞, 赞美"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
adduce,"vt. 引证, 举出
"
spiteful,"a. 怀恨的, 怀有恶意的, 恶意的"
hold sb. at bay,"na. 使走投无路；遏制
"
hold sth. at bay,"na. 使走投无路；遏制
"
keep sb. at bay,"na. 围住；不使…接近
"
keep sth. at bay,"na. 围住；不使…接近
"
provincialism,"n. 乡下习气, 方言, 地方风俗"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
enormous,"a. 巨大的, 庞大的"
enormity,"n. 暴行, 极恶, 巨大
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
upshot,"n. 结果, 结局, (论证的)要点"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
clever,"a. 聪明的, 精明的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
diplomatic,"a. 外交的, 老练的
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
resentment,"n. 怨恨, 愤恨"
subvert,"vt. 推翻, 颠覆, 毁灭
"
subversive,"a. 从事颠覆的, 破坏性的
n. 破坏分子, 颠覆分子"
subversion,"n. 颠覆, 打倒, 破坏
"
strive,"vi. 努力, 奋斗, 斗争"
insufferable,"a. 不可忍受的, 忍耐不住的"
incendiary,"a. 放火的, 煽动的, 燃烧的
n. 纵火犯人, 煽动者, 燃烧弹"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
corroborate,"vt. 巩固, 确证
"
succinct,"a. 简洁的, 紧缩的"
concise,"a. 简洁的, 简明的"
coddle,"vt. 娇养, 溺爱, 用文火煮(蛋)"
aver,"vt. 断言, 坚称
"
auspicious,"a. 吉兆的, 幸运的"
favorable,"a. 有利的, 赞许的, 良好的"
inauspicious,"a. 不吉的, 凶兆的, 恶运的"
redesign,[化] 重新设计
drastic,"a. 激烈的
"
natter,"vi. 抱怨, 唠叨, 瞎扯"
dishearten,"vt. 使...气馁, 使...沮丧"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
sycophancy,"n. 追随, 奉承, 谄媚"
sycophantic,"a. 说奉承话的, 阿谀的"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
flit,"n. 掠过, 迁徙
vi. 掠过, 迁徙"
shrill,"n. 尖声
a. 尖锐的, 刺耳的
vt. 尖声说出
vi. 发出刺耳声"
attune,"vt. 为乐器调音, 使协调, 使合拍"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
acquired,"a. 获得的, 后天的
"
acquisition,"n. 获得, 获得物
"
runoff,"n. 径流(量), 决赛, 决定性竞选"
per capita,"每人, 按人口, 按人口计算
"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
fad,"n. 时尚
"
affirm,"v. 断言, 确认"
affirmative,"a. 肯定的, 赞成的, 积极的
n. 肯定语"
positive,"a. 肯定的, 积极的, 有把握的
"
pathological,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
loath,"a. 不情愿的, 厌恶的"
populist,n. 民粹派的成员
privation,"n. 缺乏, 穷困"
synonym,n. 同义词
synonymous,"a. 同义词的, 同义的"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
cast-iron,"铸铁
"
accumulation,"n. 积聚, 累积, 积聚物
"
chivalrous,"a. 骑士的, 勇敢的"
bootless,"a. 无用的, 无益的
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
engaging,"a. 动人的, 迷人的, 有魅力的"
intriguing,"a. 吸引人的, 有趣的"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
flawed,a. 有缺陷的；有裂纹的；有瑕疵的
flawless,"a. 无瑕疵的, 无缺点的
"
impeccable,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
devious,"a. 偏僻的, 迂回的"
prefigure,"vt. 预示, 预见, 预想"
foresee,"vt. 预见, 预知"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
foretell,"vt. 预言, 预告, 预示"
predict,"v. 预知, 预言, 预报"
commiserate,"v. 怜悯, 同情"
intrude,"vi. 闯入, 侵入
vt. 强加于"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
inevitable,"a. 不可避免的, 必然的
"
preordained,"v. 预先规定, 注定( preordain的过去式和过去分词 ); 天定"
await,"vt. 等候
vi. 等待着"
palliative,"a. 缓和的, 减轻的, 掩饰的
n. 辩解, 缓和物"
nomadic,"a. 游牧的, 游牧生活的, 流浪的
"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
untrammeled,"a. 不受限制的, 自由自在的, 不受妨碍的"
off-kilter,
malleable,"a. 有延展性的, 可锻的
"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
debilitate,vt. 使衰弱
paucity,"n. 少数, 少量, 缺乏"
dearth,"n. 缺乏, 粮食不足, 饥馑"
skullduggery,"n. 欺骗, 诡计, 诈骗"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
evanescent,"a. 逐渐消失的, 容易消散的, 短暂的
"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
momentary,"a. 瞬间的, 刹那间的"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
tactical,"a. 战术的, 用兵上的, 策略的"
overt,"a. 明显的, 公然的, 蓄意的
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
virtually,adv. 事实上
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
ineffectual,"a. 无效的, 无益的"
activist,n. 激进主义分子
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
innovative,"a. 革新的, 创新的, 富有革新精神的"
