wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
quickness,"n. 急速, 迅速, 速度"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
coincidence,"n. 巧合, 同时发生
"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
utilize,vt. 利用
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
endowment,"n. 捐助, 天赋, 才能
"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
play a role, 起作用
depend on,"依靠, 依赖"
throne,"n. 王座, 君主"
combination,"n. 组合, 合并, 联合
"
in addition to,"另外, 加之, 除…之外还"
capitalize,"vt. 以大写字母写, 使资本化, 估计...的价值
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
wide-eyed,"adj. 睁大眼睛的
"
glorious,a. 光荣的
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
unrealistic,"a. 不切实际的, 幻想的"
jingle,"n. 叮当声
v. (使)作叮当声, (使)押韵"
obviously,"adv. 显而易见地, 明显地"
scurry,"vi. 急赶, 急跑, 急转
n. 急赶, 急跑, 急转, 阵雪, 阵雨"
encouraging,"a. 鼓励的, 促进的"
beetle,"n. 甲虫, 大槌
vi. 快速移动
vt. 捶"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
childlike,"a. 孩子似的, 天真烂漫的"
endow,"vt. 捐赠, 捐助, 赋予
"
youthful,"a. 年轻的, 青年的
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
celebrity,"n. 名声, 名人"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
cherish,"vt. 珍爱, 怀有, 爱护"
lilt,"v. 唱轻快的调子, 轻快地动
n. 轻快活泼的调子, 轻快的动作"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
enhance environmental awareness,无
environmental protection,
keep ecological balance,无
ecosystem,"n. 生态系统
"
nature reserve,n. 自然保护区
sustainable development strategy,无
wind and sand breaks,无
pleasant living environment,无
save energy,节能
reduce the emission of greenhouse gases,无
slow down the rate of resource degradation,无
environment-friendly products,无
global warming,n. 全球变暖
low carbon economy,[网络] 低碳经济；低碳经济体；经济社会
clean renewable energy,无
nuclear energy,
solar energy,[医] 太阳能
high-power electrical appliance,无
carbon dioxide,"二氧化碳
"
climate change, 气候变化
environmental deterioration,环境恶化
deforestation,"n. 采伐森林, 森林开伐
"
protect forests from overexploitation,无
water and soil erosion,水土流失
desertification,"n. （土壤）荒漠化, 沙漠化"
population growth,[经] 人口的增长
wildlife protection,无
endangered species,[法] 会造成危害的物件
wild species,野生种
commercial fishing,"商业性捕鱼,经济鱼类捕获"
overfishing,v. 对（鱼、渔场）捕捞过度( overfish的现在分词 ); 渔捞过度
reckless exploitation,无
natural disasters,天灾
catastrophe,"n. 大灾难, 大祸
"
destructive and disastrous earthquake,无
sandstorm,n. (沙漠地带的)沙暴
drought,"n. 干旱, 缺乏"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
snowstorm,"n. 暴风雪
"
"""the-polluters-pay"" policy",无
law enforcement inspection,无
undertake treatment within a prescribed limit of time,无
white pollution,[网络] 白色污染；噪音污染；净化
limit the use of disposable plastic bags,无
ban the use of disposable plastic bags,无
prohibit the use of disposable plastic bags,无
throwaway biodegradable plastic bags,无
disposable chopsticks,n. 一次性筷子
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
garbage classification,无
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
trash,"n. 垃圾, 废物
vt. 丢弃"
rubbish,"n. 废物, 垃圾, 胡说"
garbage,"n. 垃圾, 废物
"
decontamination of urban refuse,无
refuse landfill,无
three types of wastes,无
waste water,
waste gas,[化] 工业废气
solid waste,固体废料;固体垃圾
industrial waste,
toxic waste, 有毒废物
multipurpose use,综合利用
water resource conservation zone,无
sewage treatment,[医] 污水处理法
centralized treatment plant,无
recycled water,循环水
air pollution concentration,大气污染浓度
motor vehicle exhaust,无
exhaust purifier,排气净化器
lead-free gasoline,无铅汽油
gas-fueled vehicles,无
electric vehicles,[网络] 电动车；电动汽车；电动车辆
small-engine vehicles,无
industrial dust discharge,无
soot emission,无
fossil fuels,n. 化石燃料( fossil fuel的名词复数 )
coal,"n. 煤, 木炭
v. 加煤"
oil and natural gas,无
bachelor's degree,学士学位
master's degree,硕士学位
doctor's degree,博士学位
acquire degree,无
arts,n. 文科
science,"n. 科学, 学科, 学问, 自然科学
"
Master of Arts,"文学硕士, 文科硕士"
M.A.,瘤
Master of Science,理科硕士
M.S.,"abbr. 多发性硬化
n. “M”的复数
"
Master of Business Administration,[网络] 工商管理硕士；工商管理学硕士；企业管理硕士
MBA,[网络] 工商管理硕士；工商管理硕士研究生；工商管理硕士学位
Master of Public Administration,无
MPA,[计] MPEG相关文件，MIME“mpeg类型”
Master of Engineering, 工学硕士；工程硕士
ME,[网络] -我-
Master of Professional Accounting,无
MPAcc,无
Master of Science in Finance,无
MSF,[计] 大容量存储装置; 海量存储装置
nursery,"n. 托儿所, 苗圃, 温床
"
kindergarten,n. 幼稚园
primary school,"n. 小学, 初等学校; 参见：elementary school"
elementary school,小学
middle school,"n. 中等学校, 中学"
university,n. 大学
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
higher education,na. 高等教育
college students,[网络] 大学生；在什么都没听清的情况下；大专学生
university students,[网络] 大学生；大学学生；高校学生
college graduates,[网络] 大学毕业生；大学生；高校毕业生
university graduates,[网络] 大学毕业生；高校毕业生；本科毕业生
business school,[经] 商业学校
law school,"[法] 法学院, 法律学校, 法律学校"
graduate school,研究生院
professor,n. 教授
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
department,"n. 部门, 系, 机关
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
teaching facilities,无
dining hall, 大餐厅，食堂; 饭厅; 大食堂
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
dormitory,n. 宿舍
elective course, 选修课
optional course,选修课
tuition fees and other expenses,无
life-long education,终身教育
education for all-round development,无
compulsory education,[法] 义务教育
exam-oriented education,[网络] 应试教育
adult education,成人教育
theoretical knowledge,"un. 理论知识
"
practical skills,[网络] 实用技能；实用技巧；实践技能
information era, 信息时代
era of knowledge explosion,无
affect school achievements,无
skip classes,n. 逃课
academic performance,学业成绩;学术成就
academic atmosphere, 学业风气
broaden one's horizon, 开阔眼界
stimulate one's interest,无
tap one's potential,无
reduce study load,无
separation between liberal arts and science,无
relaxing college life,无
recruitment,"n. 新兵征召
"
enrollment,"n. 登记, 注册, 入伍
"
apply for admission to ...,无
apply for admission into ...,无
College Entrance Examination,n. 高考
National Entrance Test for M.A. Candidates,无
National Entrance Test for M.S. Candidates,无
job market,工作市场
employer,"n. 雇主, 老板
"
employee,"n. 职员, 员工, 受雇人员
"
vocational training,[经] 职业训练
cultural exchange,文化交流
cultural blending,无
cultural integration,文化整合
traditional Chinese culture, 中国传统文化
Confucianism,"n. 孔子思想, 儒家思想"
Buddhism,n. 佛教
Daoism,n. 道教
Taoism,n. 道教
Peking Opera, 京剧
Chinese calligraphy,[网络] 中国书法；名人书法；书法班
western culture,[网络] 西方文化；欧美文化；西方的文化
Enlightenment,"n. 启迪, 教化"
humanism,"n. 人本主义, 人文主义, 人道主义
"
post-modernism,n. 后现代主义; 后现代派
multi-culture,多元文化
pluralistic culture,无
cultural diversity,文化多样性
preserve and cherish,无
absorb its essence and discard its dross,无
promote cultural development positively,无
splendid and glorious cultural heritage,无
splendid and glorious cultural legacy,无
splendid and glorious cultural relics,无
keep pace with times,无
cross-cultural communication,[网络] 跨文化交流；跨文化交际；跨文化沟通
cultural difference,文化差异
cultural tradition,文化传统
human civilization,[网络] 人类文明；人类文明史；文明历史上
spiritual civilization, [法]精神文明
mainstream culture, [医]主流文化
interpretation of classics,无
popular culture,通俗文化
the pervasive advertisements on TV,无
idol worship,[网络] 偶像崇拜；偶像崇拜话题；拜偶像
web addiction,无
Internet addiction,网络成瘾
virtual life,"虚拟人生
虚拟生活"
making friends online,无
chatting on the Internet,无
online gossip,无
online shopping,线上购物
group buying,[网络] 团购；团购模式；团购揪团
group purchase,组合购买
the Internet supervision,无
the Internet violence,无
irresponsible remarks,无
buy lottery tickets,无
online games,[网络] 网络游戏；线上游戏；在线游戏
digital products,[网络] 数码产品；数字产品；数码云计算平台
text message, 正文消息
mobile phone subscription,无
self-dependence,n. 自力更生
dote,"vi. 昏聩, 溺爱"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
only child, 独生子
fierce competition, 竞争激烈
boomerang kids,[网络] 归巢族；归巢小孩；归巢族或回力棒世代
NEET,"n. 啃老族（=Not in Education, Employment or Training）"
Not currently engaged in Education,无
Employment or Training,无
reap without sowing,无
make constant efforts,无
never give up, [体]不服输精神
never stop making progress,无
achieve success, 获得成功
innovation,"n. 改革, 创新
"
diligence,n. 勤奋
striving spirit,[网络] 奋斗精神
outlook on life,人生观
world outlook,世界观
world view,n. 世界观
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
patience,"n. 耐性, 忍耐"
prudence,"n. 审慎, 慎重, 精明, 节俭"
self-confidence,自信
modesty,"n. 谦逊, 质朴, 羞怯"
lack of confidence,"缺乏自信
缺乏信心"
exaggerate difficulties,无
overestimate difficulties,无
underestimate one's abilities,无
teamwork,"n. 协同作业, 协力
"
team spirit,"n. 合作精神, 团队精神"
cooperate with others,无
joint efforts, 共同的努力
cooperative efforts,无
help each other, 互相帮助；互助
keep optimistic,无
pessimism,"n. 悲观, 悲观情绪, 悲观主义
"
be pessimistic,无
positive attitude,正向态度、积极态度
benevolence,"n. 善意, 慈悲, 善行
"
physical health, [医]体格健康，机体保健
mental health, 心理健康
psychological health, [医]心理卫生，心理保健
mental fitness,无
psychological fitness,无
health concern,无
sub-health,不完全健康的状况
public health,[医] 公共卫生
public hygiene, 公共卫生
state of mind," 心境, 心情, 思想状态; 神思; 心神; 心气"
physical exercises,n. 体操
well-balanced diet,"un. 匀衡饮食
"
junk food,"n. 垃圾食品, 无营养食品"
go on a diet,"用规定食谱, 节食"
provide medical services,无
sacrifice health,无
short-term economic benefits,无
total tobacco ban,无
illness,"n. 疾病, 恶意
"
disease,"n. 疾病, 弊病
"
chronic disease,[医] 慢性病
infectious disease,[医] 传染病
alcoholism,"n. 酗酒, 酒精中毒
"
cancer,"n. 癌, 恶性肿瘤
"
reform of medical system,无
generation gap,n. 代沟
bridge the gap,"弥合分歧,消除差距"
mutual understanding,[法] 互相谅解
misunderstanding,"n. 误会, 误解
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
take care of,"照顾
"
look after,"目送, 照顾, 关心"
mistreat,"vt. 虐待
"
maltreat,"vt. 虐待, 滥用
"
ill-treat,v. 虐待
aging society,"老人社会；高龄化社会, 高龄化社会　"
population aging,无
old people,[网络] 老人；老年人；旧人
aged people, [医]老年人
the old, 老人
the aged,"年老者,老人"
the elders,[网络] 长者会；长老；元老集团
the elderly,"老年人, 长者"
senior citizens,老人(尤指退休者)
practice filial piety,无
public morality,风纪
traditional virtues, 传统美德
duty,"n. 责任, 关税, 职务, 尊敬
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
sense of responsibility, 责任感
shoulder one's duties,无
assume one's duties,无
undertake one's duties,无
shoulder one's responsibilities,无
assume one's responsibilities,无
undertake one's responsibilities,无
avoid one's duties,无
shirk one's duties,无
shun one's duties,无
avoid one's responsibilities,无
shirk one's responsibilities,无
shun one's responsibilities,无
devote,"vt. 投入于, 献身"
devotion,"n. 热爱, 投入"
dedicate,"vt. 献出, 贡献"
dedication,"n. 奉献, 献身, 献辞
"
selfless devotion,无
the crisis of trust,无
the corruption of public morality,无
the lack of moral sense,无
immoral behaviors,无
Project Hope,n. 希望工程
China Red Cross Foundation,无
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
donate,v. 捐赠
donation,"n. 捐赠物, 捐款, 捐赠
"
poor rural areas,无
start schooling,无
drop out of school,n. 退学; 停学
finish school,完成学业
to respect the old and care for the young,无
spit everywhere,无
make noise, 噪
talk loudly,[网络] 大声说话；大声谈话；大声讲话
empty promise,[网络] 口惠；空洞的承诺；假意的允诺
false promise,无
fake commodities, 假冒伪劣
dishonest behavior,无
honesty,"n. 诚实, 公正, 正直"
academic corruption,无
plagiarism,"n. 剽窃, 抄袭, 剽窃物
"
food safety,食品安全
construction quality,[化] 工程质量
drainage oil,无
poisonous milk powder,无
infant formula,[网络] 婴儿配方奶粉；婴儿奶粉；婴儿配方食品
food additives,[化] 食品添加剂
unaffordable prices of medicines,无
excessive growth, [法]过度增长; 徒长
illegal ads,无
unfair competition,[经] 不公平竞争
compete for benefits,无
address symptoms but not root causes,无
administration department, 行政部
supervision department,无
merchant,"n. 商人, 店主
a. 商业的, 商人的"
manufacturer,"n. 制造业者, 厂商
"
enterprise operator,无
authorities concerned,无
take bribes,受贿
disregard of laws,无
shift the blame onto ...,无
consumers' rights and interests,无
unqualified expert,无
perform one's tasks fairly and effectively,无
provide polite and hospitable services,无
corruption phenomenon,无
bus lane,n. （街道上的）公共汽车专用车道
odd-and-even license plate rule,无
morning and evening peak,无
traffic jam,"塞车, 交通阻塞"
traffic congestion,"[计] 通信量拥挤, 信息量拥挤, 交通拥塞"
heavy traffic,"[计] 通信业务拥挤, 通信业务繁忙"
rush hour,"n. （上, 下班的）高峰期"
public transport network,[交] 公共交通线路网
traffic restrictions based on the last digit of license plate numbers,无
traffic control,交通管理
car-free day,无
traffic accident,[医] 交通事故
private car,私人汽车
develop public transport,无
drunk drive,无
drive under the influence of alcohol,无
driver,"n. 驾驶员, 驱动器, 驱动程序
"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
economic crisis,[经] 经济危机
financial crisis,"[经] 财政危机, 金融危机"
financial turmoil,金融动荡
financial meltdown,[网络] 金融风暴；金融危机；金融崩盘
recession,"n. 后退, 凹处, 衰退, 归还
"
bleeding economy,无
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
sluggish economy,萧条的经济
lose one's job, 失业; 丢饭碗
be unemployed,无
be redundant,无
job losses mount,无
unemployment climb,无
unemployment,"n. 失业, 失业人数
"
seek employment,[法] 找职业
job seeker,n. 求职者
a tough job market,无
confidence slump,无
economic recovery,"[经] 经济采收率, 经济恢复, 复生"
the crisis's fallout,无
face the crisis,无
meet the crisis,无
fight the crisis,无
confidence reconstruction,无
contain declines,无
slow down declines,无
affordable housing project,无
comfortable housing project,无
cost-cutting, 成本削减
generate new employment,无
stimulate consumer spending,无
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
turnaround,"n. 转向, 回车道, 转变
"
proactive fiscal policy,n. 积极财政政策
refrain from laying off employees,无
cut the salaried work force,无
structural adjustment,结构调整
stimulus package,[网络] 经济刺激方案；经济刺激一揽子计划；刺激计划
stimulus plan,无
career guidance,生计辅导，生涯辅导
propel domestic demand,无
drive domestic demand,无
expand domestic demand,无
infrastructure construction, 基础设施
tax relief,n. 税收减除; 免税
practice economy,实行节约
moderately loose monetary policy,无
government bailout,[网络] 政府救援；政府打救；政府救助
government's vow to do sth.,无
the market economy system,无
economic globalization, 经济全球化
international economic organization,无
advancements in science and technology,无
multinational,"a. 多国的, 跨国公司的
n. 跨国公司"
private enterprise,"n. 私人企业, 民营企业"
automobile industry, 汽车工业
real estate industry,[网络] 房地产业；地产行业；房地产产业
telecommunication industry,[网络] 电信业；电信产业；通信产业
domestic brand,本国商标
national brand,(产品等)全国性商标厂牌
Chinese brand,[网络] 中国品牌；国产品牌；中国名牌
market share, 市场占有率
market portion,无
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
corporation,"n. 公司, 合作, 法人团体
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
personnel,"n. 人员, 人事部门, 人事科(处)
"
job satisfaction," 工作满意度; 工作满足感, 工作乐趣"
work pressure, 工作压力
working pressure,工作压力;使用压力
improve welfare and treatment,无
attract foreign investment, 对外招商
legal protection,[计] 合法保护
profound social and economic impact,无
the reform and opening-up,[网络] 改革开放
social security system,社会安全体系
unemployment,"n. 失业, 失业人数
"
housing problem,住房问题
public infrastructure,[网络] 公共基础设施；公共建设；公共基础建设
skyscraper,"n. 摩天楼, 三角形天帆"
sustainable urban development,无
urbanization,"n. 都市化
"
