barren,"a. 不育的, 贫瘠的
n. 荒地"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
sly,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
vanquish,"vt. 打败, 征服, 克服
"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
conservative,"a. 保守的, 守旧的, 有保存力的
"
exhale,"v. 呼气, 发出, 散发"
homely,"a. 家常的, 平凡的, 朴实无华的"
indefinite,"a. 模糊的, 不确定的, 无限的
"
obedient,"a. 服从的, 顺从的, 孝顺的
"
precise,"a. 精确的, 严谨的, 明确的
"
rational,"a. 理性的, 合理的
n. 有理数"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
timid,"a. 胆小的, 羞怯的"
vertical,"a. 垂直的, 直立的
"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
barbarian,"n. 野蛮人
a. 野蛮的"
essence,"n. 实质, 本质, 香精
"
harmony,"n. 协调, 和睦, 调和
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
intrude,"vi. 闯入, 侵入
vt. 强加于"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
oppress,"vt. 压迫, 压抑, 使烦恼"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
vacancy,"n. 空, 空白, 空缺, 空虚, 空闲
"
alley,"n. 小路, 巷"
apologize,"vi. 道歉, 辩解"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
discern,"v. 辨别, 看清楚, 了解"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
pillar,"n. 柱子, 栋梁, 台柱, 重要的支持者
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
refrigerator,"n. 电冰箱, 冷藏库
"
skull,"n. 头盖骨, 头脑, 好学生
"
strategy,"n. 战略, 策略
"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
blend,"vt. 混合
n. 混合"
breadth,"n. 宽度
"
commend,"vt. 嘉奖, 委托给, 推荐"
conspicuous,"a. 显著的, 显眼的, 出众的"
delusion,"n. 迷惑, 欺瞒, 错觉
"
impatient,"a. 不耐烦的, 着急的, 急切的"
miracle,"n. 奇迹, 奇事"
provisional,"a. 暂时的, 暂定的, 临时的
"
restrain,"vt. 抑制, 阻止, 束缚
"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
deny,"v. 否认, 拒绝"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
endanger,"vt. 危及
"
fiction,"n. 小说, 虚构故事
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
selfish,"a. 自私的, 利己主义的, 自我中心的"
thrifty,"a. 节俭的, 兴旺的, 繁茂的"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
erroneous,"a. 错误的, 不正确的
"
expend,"vt. 花费, 消耗, 用光"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
liberate,"vt. 解放, 释放, 使自由
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
bout,"n. 一回, 回合, 较量
"
category,"n. 种类, 类项
"
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
emigrate,"v. (使)移居, (使)移民"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
pane,"n. 窗玻璃, 方框, 方格, 窗格
vt. 嵌窗玻璃于
"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
abode,"n. 住所, 住处
abide的过去式和过去分词"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
colleague,"n. 同事, 同僚"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
gingerly,"adv. 小心翼翼地, 慎重地
a. 慎重的, 谨慎的"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
recapture,"n. 取回, 夺回
vt. 再捕获, 夺回, 重温"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
attic,"n. 阁楼, 顶楼
"
diminish,"v. (使)减少, (使)变小"
dishonest,"a. 不诚实的
"
drunken,a. 酒醉的
foe,"n. 仇敌, 反对者, 敌人, 对手"
foresee,"vt. 预见, 预知"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
mistress,"n. 主妇, 女主人, 情妇"
prefix,"前缀, 称谓
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
allege,"vt. 宣称, 主张, 提出, 断言
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
industrialize,"vt. 使工业化
vi. 实现工业化"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
statistics,"n. 统计学, 统计资料
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
armor,"n. 盔甲, 潜水服, 装甲
vt. 为...装甲"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
cancer,"n. 癌, 恶性肿瘤
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
infantry,"n. 步兵, 步兵团"
monk,"n. 修道士, 僧侣, 和尚"
orchard,"n. 果园, 果树林"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
sullen,"a. 愠怒的, 沉闷的, 阴沉的"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
appropriate,"a. 适当的
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
legend,"n. 传说, 传奇文学, 图例
"
mischief,"n. 损害, 伤害, 灾祸, 恶作剧, 淘气
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
simultaneous,"a. 同时的, 同时发生的
"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
symptom,"n. 症状, 征候, 征兆
"
trait,"n. 特征, 特性, 一笔, 少许"
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
"
adequate,"a. 适当的, 足够的
"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
chaos,"n. 大混乱, 混沌
"
eminent,"a. 显赫的, 杰出的, 有名的"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
futile,"a. 无用的, 琐细的, 不重要的"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
impolite,"a. 无礼的, 粗鲁的"
vague,"a. 含糊的, 不清楚的, 茫然的"
astronomy,n. 天文学
controversy,"n. 论争, 辩论, 论战, 争论
"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
nominate,"vt. 提名, 任命, 命名
"
provoke,"vt. 激怒, 惹起, 诱导
"
recite,"v. 背诵, 朗读, 叙述"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
tyrant,"n. 暴君
"
vigor,"n. 精力, 活力"
blot,"n. 污点, 墨水渍
vt. 乱涂, 使模糊, 吸干
vi. 弄上墨渍, 吸墨水"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
chuckle,"n. 咯咯的笑声, 轻笑
vi. 咯咯的笑, 咕咕叫"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
dainty,a. 秀丽的；美味的；讲究的；挑剔的
hermit,"n. 隐士, 隐居者"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
spectator,"n. 观众, 目击者, 旁观者"
thrash,"vt. 打, 使逆行, 胜过, 推敲, 鞭打
vi. 打谷, 痛打, 剧烈扭动, 逆行
n. 打谷, (划水)鞭状动作"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
bustle,"n. 喧闹, 裙撑
vi. 奔忙, 喧闹
vt. 使忙碌, 催促"
crave,"v. 渴望, 热望, 恳求"
discord,"n. 不调和, 不和
vi. 不一致, (声音)刺耳"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
eventually,"adv. 最后, 终于"
futile,"a. 无用的, 琐细的, 不重要的"
ingredient,"n. 成分, 因素
"
predict,"v. 预知, 预言, 预报"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
tolerate,"vt. 宽容, 容许, 有耐力"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
inevitable,"a. 不可避免的, 必然的
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
optimism,"n. 乐观主义, 乐观, 乐天
"
serene,"a. 宁静的, 沉着的, 安详的, 晴朗的
n. 晴朗, 平静"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
unique,"a. 独一无二的, 独特的, 稀罕的"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
allegiance,"n. 忠贞, 效忠"
analyze,"vt. 分析, 细察, 分解
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
fluent,"a. 流利的, 流畅的"
friction,"n. 摩擦, 摩擦治疗, 不和
"
miser,"n. 守财奴, 吝啬鬼, (石油工程上用的)锥钻头"
monarch,"n. 帝王, 统治者, 元首
"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
tribute,"n. 贡物, 礼物, 颂辞"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
grunt,"vi. 作呼噜声
vt. 咕哝
n. 呼噜声, 咕哝"
junction,"n. 连接, 会合处, 交叉点
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
prairie,"n. 大草原, 草甸"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
stammer,"v. 口吃, 结结巴巴地说
n. 口吃, 结巴"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
tint,"n. 色彩, 浅色
vt. 染色于"
amaze,vt. 使吃惊
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
belongings,"n. 财产, 所有物, 相关事物
"
besiege,"vt. 围攻, 包围"
fowl,"n. 鸟, 飞禽, 家禽
vi. 打鸟"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
rapture,"n. 兴高采烈, 着迷, 欢天喜地, 狂喜
vt. 使狂喜"
renowned,"a. 有名的, 有声誉的"
stool,"n. 凳子, 大便, 粪便, 厕所
vi. 长新枝
vt. 引诱, 诱捕"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abundance,"n. 丰富, 充足, 大量
"
apprentice,"n. 学徒, 生手
vt. 使做学徒"
bearable,"a. 可忍受的, 支承得住的"
immortal,"n. 不朽人物, 神仙
a. 永远的, 不死的, 长久的"
innumerable,"a. 无数的, 数不清的"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
repose,"n. 休息, 睡眠, 静止
vt. 使休息, 寄托于
vi. 休息, 长眠, 静卧, 座落, 依靠, 信赖"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
comprehend,"vt. 理解, 包括"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
glorify,"vt. 赞美, 美化, 赞扬, 使辉煌"
priority,"n. 优先权, 优先
"
reliable,"a. 可靠的, 可信赖的
"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
behalf,"n. 利益, 方面"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
domain,"n. 领域, 领土, 产业, 范围
"
morsel,"n. 一口, 少量, 小片"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
warily,"adv. 谨慎地, 留心地, 小心地"
allot,"vt. 分配, 分摊指定
"
banner,"n. 旗帜
a. 显著的, 特别好的"
cliff,"n. 悬崖, 绝壁"
crook,"n. 钩, 弯曲部分, 坏蛋
vt. 使弯曲, 诈骗
vi. 弯曲"
ensue,"vi. 跟着发生, 继起
vt. 追求"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
hoard,"n. 贮藏物, 密藏的金钱
v. 囤积, 贮藏"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
sermon,"n. 说教, 启示, 布道"
site,"n. 位置, 场所, 地点
vt. 给...择址"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
agony,"n. 极大的痛苦, 挣扎
"
desolate,a. 荒凉的
everlasting,"a. 永恒的, 持久的
n. 上帝, 神"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
idiot,"n. 白痴, 极蠢之人
"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
miscellaneous,"a. 各种的, 多方面的
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
trifling,"a. 没什么价值的, 微不足道的, 轻浮的"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
architecture,"n. 建筑学, 建筑式样
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
concept,"n. 观念, 概念
"
dominant,"a. 占优势的, 支配的
"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
transparent,"a. 透明的, 显然的, 清晰的
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
bullet,"n. 子弹
"
congressman,"n. 国会议员, 众议院议员
"
flake,"n. 小薄片, 扁薄的一层, 火星, 晒鱼架子
vt. 使成薄片
vi. 剥落"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
zinc,"n. 锌
vt. 镀锌于"
attain,"vt. 达到, 获得
vi. 达到"
awe,"n. 敬畏
vt. 使敬畏"
commence,"v. (使)开始, 得学位"
conceit,"n. 自负, 空想, 狂妄"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
hearty,"a. 诚恳的, 健壮的, 热烈的, 丰盛的"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
realm,"n. 王国, 领土, 领域
"
accurate,"a. 正确的, 精确的
"
ancestor,"n. 祖先, 祖宗"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
illusion,"n. 幻影, 错觉, 幻想
"
injustice,"n. 不公平, 非正义的行为
"
multitude,"n. 多数, 群众"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
facilitate,"vt. 使容易, 促进, 帮助
"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
prohibit,"vt. 禁止, 阻止
"
repent,"vi. 后悔, 懊悔, 忏悔
vt. 后悔
a. 匍匐生根的"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
hearth,"n. 炉床, 灶台, 炉边
"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
prevalent,"a. 普遍的, 流行的"
rumor,"n. 谣言, 传闻
vt. 谣传"
scold,"n. 好骂街的人, 责骂
v. 责骂"
shrug,"n. 耸肩
v. 耸肩"
streak,"n. 条理, 斑纹, 倾向
vt. 加条纹
vi. 变成条纹, 飞跑"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
brink,"n. 边缘, 陡岸"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
convention,"n. 大会, 协定, 惯例, 约定
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
throng,"n. 群, 人群, 群集, 众多
a. 拥挤的
vi. 群集, 蜂拥
vt. 在...群集, 使拥塞"
waver,"n. 动摇, 踌躇, 挥动者
vi. 摇摆, 颤抖, 摆动, 摇曳, 犹豫"
affirmative,"a. 肯定的, 赞成的, 积极的
n. 肯定语"
amid,"prep. 在其间, 在其中
"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
eternal,"a. 永恒的, 永远的, 不灭的"
gallant,"a. 英勇的, 壮丽的, 华丽的"
gratify,vt. 使满足
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
sturdy,"a. 强健的, 健全的
"
tropical,"a. 热带的, 热情的
"
zoology,"n. 动物学, 动物区系
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
deprive,"vt. 剥夺, 使丧失
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
