crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
language,"n. 语言, 文字, 措辞
"
around the world,"全世界,遍及全世界,世界各地"
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
Pacific,"n. 太平洋
a. 太平洋的, 太平洋沿岸的, 爱好和平的, 安静的, 平息的"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
arrive,"vi. 到达, 抵达"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
world-famous,"adj. 世界闻名的
"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
till,"prep. 直到, 在...以前, 迄
conj. 直到...为止
vt. 耕种
n. 放钱的抽屉, 备用现金, 冰碛"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
palace,"n. 宫, 宫殿, 华丽大厦"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
kiss,"n. 吻
vt. 吻
vi. 接吻"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
shake hands, 握手; 搹
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
British,"a. 英国的
n. 英国人, 英国英语"
German,"n. 德国人, 德语
a. 德国的, 德国人的, 德国语的, 同父母的"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
Russian,"adj. 俄国的；俄语的
n. 俄语；俄国人"
visitor,"n. 参观者, 游客, 访客
"
Russia,"n. 俄国, 俄罗斯
"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
each other,彼此
India,n. 印度
together,"adv. 一起, 共同, 彼此"
Maori,"n. 毛利人, 毛利语
a. 毛利人的, 毛利语的"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
North American," 北美洲的; 北美洲人的; 北美洲人(尤指美国、加拿大人), 住在北美洲的人"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
arm in arm,臂挽臂
South American,"a. 南美的, 南美人的"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
Britain,n. 英国
not at all,一点也不
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
somewhere,"adv. 到某处, 在某处"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
in fact,"事实上
"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
lively,"a. 活泼的, 鲜明的, 生动的"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
noisy,"a. 嘈杂的, 喧闹的
"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
violin,n. 小提琴
Western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
hmm,abbr. 隐马尔可夫模型（Hidden Markov Model）；Hardware Maintenance Manual；Hyundai Merchant Marine
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
both,"a. 两者的
adv. 两者都
pron. 两者"
opera,n. 歌剧
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
believe,v. 相信
musician,"n. 音乐家, 乐师, 作曲家"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
European,"n. 欧洲人
a. 欧洲的, 欧洲人的"
classical,"a. 古典的, 正统派的, 经典的
"
century,"n. 世纪, 百年"
composer,"n. 作曲家, 作家, 调停者"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
waltz,"n. 华尔兹舞, 圆舞曲
a. 华尔兹舞的, 圆舞曲的
vi. 跳华尔兹舞, 轻快地走动
vt. 与...跳华尔兹舞, 硬拖"
dance music, 舞曲
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
sad,"a. 忧愁的, 悲哀的"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
