actual,"a. 真实的, 实际的, 现行的
"
atmosphere,"n. 大气, 空气, 气氛
"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
holiday,"n. 假日, 假期, 节日
vi. 度假"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
alcohol,"n. 酒精, 酒
"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
wholly,"adv. 完全地, 整个, 统统, 全部
"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
holder,"n. 持有人, 所有人, 支持物
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
threshold,"n. 门槛, 入口, 开端, 阈
"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
adjective,"n. 形容词
a. 形容词的, 从属的"
eject,"vt. 逐放, 放逐, 喷射
"
inject,"vt. 注射, 注入, 使入轨
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
subjective,"a. 主观的, 个人的
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
collective,"a. 集体的, 聚集的, 共同的
"
college,"n. 学院, 大学, 学会"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
dialect,"n. 方言, 同源语"
diligent,"a. 勤勉的, 用功的"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
elegant,"a. 优雅的, 端庄的, 高雅的"
intellect,"n. 智力, 出众的才华, 知识分子
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intelligent,"a. 聪明的, 智能的, 了解的"
intelligence,"n. 智力, 情报, 信息
"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
selection,"n. 选择, 选文, 精选品
"
alleviate,"vt. 减轻, 使缓和"
elevate,"vt. 举起, 提拔, 鼓舞"
elevator,"n. 电梯, 升降机
"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
liberate,"vt. 解放, 释放, 使自由
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
liberty,"n. 自由, 特权, 许可, 冒失
"
librarian,"n. 图书馆员, 图书管理员
"
library,"n. 图书馆, 藏书, 库
"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
literacy,"n. 读写能力, 识字, 精通文学"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
literary,"a. 文学的, 文艺的, 精通文学的
"
literature,"n. 文学, 文艺, 著作
"
elite,"n. 精华, 精锐, 中坚分子"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
delicious,a. 美味的
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
linguistic,"a. 语言的, 语言学的
"
language,"n. 语言, 文字, 措辞
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illusion,"n. 幻影, 错觉, 幻想
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustration,"n. 例证, 插图
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
locality,"n. 地方, 所在, 位置
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
location,"n. 位置, 场所, 特定区域
"
allocate,"vt. 分派, 分配
"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
logical,"a. 合乎逻辑的, 合理的
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
analogy,"n. 相似, 类似
"
analogue,"n. 类似物, 相似情况
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
dialog,"n. 会话, 对话
"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
biology,"n. 生物学
"
ecology,"n. 生态学, 社会生态学
"
geology,"n. 地质学, 地质情况"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
physiology,"n. 生理学, 生理机能
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
psychology,"n. 心理学, 心理状态
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
sociology,"n. 社会学
"
legal,"a. 法律的, 法定的, 合法的
"
legacy,"n. 祖先传下来之物, 遗赠物
"
legend,"n. 传说, 传奇文学, 图例
"
legislation,"n. 立法, 法律
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
religion,"n. 宗教, 信仰
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
lawyer,"n. 律师
"
slogan,"n. 呐喊声, 标语, 口号"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
belief,"n. 信念, 相信, 信仰"
believe,v. 相信
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
underlie,"vt. 位于...之下, 成为...的基础"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
liability,"n. 责任, 债务, 倾向
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
alliance,"n. 联盟, 联合
"
analyse,"vt. 分析, 细察, 分解
"
analysis,"n. 分析
"
analytic,"a. 分析的, 善于分析的, 解析的
"
rely,"vi. 信赖, 依赖, 信任"
reliable,"a. 可靠的, 可信赖的
"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
layman,"n. 俗人, 门外汉, 凡人
"
layoff,"n. 临时解雇, 操作停止, 活动停止期间"
layout,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
clay,"n. 泥土, 肉体, 黏土
"
airline,"n. 航线, 航线的设备, 航空公司"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
deadline,"n. 最后期限, 截止期限
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
gasoline,"n. 汽油
"
guideline,"n. 指导路线, 方针, 指标
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
linear,"a. 线的, 直线的, 线状的
"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
liner,"n. 班机, 划线者, 定期船, 衬里
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
violin,n. 小提琴
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
limitation,"n. 限制, 缺陷, 限额
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
below,"prep. 在下面
adv. 在下面"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
lower,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
yellow,"n. 黄色
a. 黄色的"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
magistrate,"n. 长官, 法官, 推事
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majority,"n. 多数, 大半
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
massive,"a. 大而重的, 宽大的, 宏伟的
"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
masterpiece,"n. 杰作, 名著"
headmaster,"n. (中小学)校长, 监工"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
Christmas,[网络] 圣诞；基督的弥撒
mainland,"n. 大陆, 本土
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
remain,"vi. 保持, 逗留, 剩余
"
remains,"n. 剩余物, 废墟, 残余
"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
chairman,"n. 主席, 会长
"
gentleman,"n. 绅士, 先生"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
humanity,"n. 人性, 人类, 博爱"
layman,"n. 俗人, 门外汉, 凡人
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
management,"n. 经营, 支配, 管理
"
manager,"n. 经理, 管理员, 管理器
"
mankind,"n. 人类, 男性"
manner,"n. 样子, 礼貌, 风格
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
policeman,"n. 警察
"
postman,"n. 邮递员
"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
salesman,"n. 售货员, 推销员
"
spokesman,"n. 发言人, 代言者"
sportsman,"n. 运动员, 冒险家"
statesman,n. 政治家
woman,"n. 女人, 妇女, 女仆
a. 女用的, 女性的, 妇女的
vt. 贬称...为女人, 使成女人腔"
fireman,"n. 救火队员, 消防队员
"
fisherman,"n. 渔夫, 钓鱼者, 渔船"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
abdomen,"n. 腹部
"
specimen,"n. 样品, 标本, 试料
"
commence,"v. (使)开始, 得学位"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
communication,"n. 交流, 交通, 通讯
"
communism,n. 共产主义
community,"n. 社区, 公众, 共有, 共同体
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
municipal,"a. 市政的, 自治区的, 内政的
"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
machinery,"n. 机器, 机械装置, 机构
"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
madame,"n. 夫人, 小姐, 太太, 女士, 主妇, (非正式)喜欢差使/指使别人的女子, 鸨母"
maid,"n. 少女, 未婚女子, 女仆"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
supermarket,"n. 超级市场
"
trademark,"n. 商标
"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
March,abbr. Master of Architecture 建筑学硕士
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
married,"a. 已婚的, 婚姻的
"
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
grammar,"n. 语法学, 入门书
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
summarize,"v. 概述, 总结"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
miracle,"n. 奇迹, 奇事"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
commerce,"n. 商业, 商务, 贸易
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
immerse,"vt. 沉浸, 使陷入
"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
mercury,"n. 水银, 汞, 使者
"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
merely,adv. 只
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
emigrate,"v. (使)移居, (使)移民"
immigrant,"n. 移民
a. 移入的, 移民的"
amateur,"n. 业余爱好者, 外行, 爱好者
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automation,"n. 自动化, 自动操作
"
classmate,n. 同班同学
climate,"n. 气候, 社会趋势, 气候区
"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
means,"n. 方法, 手段, 工具, 财产, 收入
"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
meantime,"n. 间隔时间, 其时
adv. 其间"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
commemorate,vt. 纪念
member,"n. 成员, 会员
"
membership,"n. 会员的资格, 全体会员, 会员数目
"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
metric,"a. 公尺的, 公制的, 计量的
"
centimetre,"n. 厘米, 公分"
millimeter,"n. 毫米
"
kilometre,"n. 公里, 千米"
arithmetic,"n. 算术, 算术知识
"
diameter,"n. 直径
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
symmetry,"n. 对称, 匀称
"
thermometer,"n. 温度计, 体温计
"
cemetery,"n. 墓地, 公墓
"
geometry,"n. 几何学
"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
metaphor,n. 隐喻
method,"n. 方法, 办法, 条理, 秩序
"
metropolis,"n. 大都市, 重要中心, 首府
"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
immense,"a. 极广大的, 无边的, 非常好的"
amid,"prep. 在其间, 在其中
"
humid,"a. 潮湿的, 湿润的, 多湿气的"
humidity,"n. 湿气, 潮湿, 湿度
"
midst,"n. 中间
prep. 在...中间"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
comedy,"n. 喜剧, 有趣的事情"
immediate,"a. 立即的, 直接的, 接近的
"
medal,"n. 奖牌, 勋章
vt. 授勋予"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
medieval,"a. 中古的, 中世纪的"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
meditation,"n. 沉思, 冥想"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minimum,"a. 最小的, 最低的
n. 最小值
"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
ministry,"n. 部, 内阁, 服务
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
administration,"n. 行政, 管理, 政府机关
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
mingle,v. (使)混合
badminton,n. 羽毛球运动
diminish,"v. (使)减少, (使)变小"
eminent,"a. 显赫的, 杰出的, 有名的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
mixture,"n. 混合, 混淆, 混合物
"
remind,"vt. 提醒, 使想起"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
commend,"vt. 嘉奖, 委托给, 推荐"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
tremendous,"a. 巨大的, 非常的, 可怕的"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
missing,"a. 不见的, 缺少的
"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
admission,"n. 准许进入, 入场费, 录用, 承认
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
committee,"n. 委员会
"
transmission,"n. 传输, 传送, 变速器
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
permission,"n. 许可, 允许
"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
promising,"a. 有希望的, 前途有望的
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
intermittent,"a. 间歇的, 断断续续的
"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
module,"n. 组件, 模数
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
modernization,n. 现代化
commodity,"n. 农产品, 商品, 有用的物品
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
