similar,"a. 相似的, 类似的
n. 相似的东西"
stupid,"a. 愚蠢的, 麻木的"
silly,"a. 愚蠢的, 糊涂的"
competence,"n. 胜任, 职称, 能力
"
intelligent,"a. 聪明的, 智能的, 了解的"
intelligence,"n. 智力, 情报, 信息
"
update,"vt. 更新, 使现代化
n. 更新
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
statistic,"n. 统计量
a. 统计的, 统计学的"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
reliable,"a. 可靠的, 可信赖的
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
convince,"vt. 说服, 使相信
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
argument,"n. 争论, 论证, 论据, 自变量
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
birthplace,n. 诞生地
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
within,"n. 内部, 里头
adv. 在内部, 在内心里
prep. 在...之内"
arrival,"n. 到达, 抵达, 到达者
"
kingdom,"n. 王国, 领域
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
ministry,"n. 部, 内阁, 服务
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
crime,"n. 犯罪, 罪行, 罪恶
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
anyhow,"adv. 无论如何, 至少"
somehow,adv. 不知何故
nowhere,"adv. 无处, 到处都无"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
believe,v. 相信
belief,"n. 信念, 相信, 信仰"
unbelievable,a. 难以置信的
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
differ,"vi. 不一致, 不同
"
difference,"n. 不同, 差异
"
science,"n. 科学, 学科, 学问, 自然科学
"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
appear,"vi. 出现, 显得, 来到
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
disappear,"vi. 消失, 不见"
damage,"n. 损害, 伤害
v. 损害"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
absence,"n. 缺席, 缺乏, 没有
"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
wildlife,n. 野生动植物
vast,"a. 巨大的, 广大的, 非常的, 大量的"
environment,"n. 环境, 外界, 围绕
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
surroundings,"n. 环境, 周围的事物
"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
harmful,"a. 有害的, 伤害的"
injure,"vt. 伤害, 损害, 使受冤屈
"
injury,"n. 伤害, 侮辱
"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impressive,"a. 给人深刻印象的, 威严的"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
eyesight,"n. 视力, 目力"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
expression,"n. 表达, 表现, 词语, 措辞
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
attention,"n. 注意, 注意力
"
unique,"a. 独一无二的, 独特的, 稀罕的"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
awful,"a. 可怕的, 庄严的, 虔敬的"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
victory,"n. 胜利, 战胜, 克服"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
personnel,"n. 人员, 人事部门, 人事科(处)
"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
reservation,"n. 保留, 预定, 保留品, 保留地
"
prefer,"vt. 宁可, 较喜欢, 提出
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
knowledge,"n. 知识, 学问, 认识, 知道"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
controversial,"a. 争论的, 论争的, 被议论的"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
conventional,"a. 传统的, 习惯的, 约定的
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
revision,"n. 校订, 修正, 修订本, 修订版
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
cruel,"a. 残酷的, 令人极痛苦的
"
symptom,"n. 症状, 征候, 征兆
"
example,"n. 例子, 样本, 实例
"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
ending,"n. 终止, 终了, 收场
"
endless,"a. 不停的, 无穷尽的, 无尽的
"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
deadline,"n. 最后期限, 截止期限
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
include,"vt. 包括, 把...算入, 包住
"
regulation,"n. 规则, 管理, 调整
"
agenda,"pl. 议程, 日常工作事项
"
timetable,n. 时间表
method,"n. 方法, 办法, 条理, 秩序
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
manner,"n. 样子, 礼貌, 风格
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
communication,"n. 交流, 交通, 通讯
"
conversation,"n. 会话, 说话, 交谈
"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
celebrate,"v. 庆祝, 祝贺, 举行"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
spoken,"a. 口头讲的, 口语的
speak的过去分词"
decision,"n. 决定, 决心, 决断
"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
"
skilful,"a. 灵巧的, 熟练的, 制作精巧的"
skillful,"a. 熟练的, 巧妙的
"
technique,"n. 技巧, 技术, 方法
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
technology,"n. 技术, 工业技术, 术语
"
talent,"n. 天才, 才能, 有才干的人, 天资"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
"
weakness,"n. 虚弱, 薄弱, 弱点
"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
forgive,"vt. 原谅, 宽恕, 免除
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
attitude,"n. 态度, 看法, 姿势
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
benefit,"n. 利益
vt. 有益于
vi. 受益"
beneficial,"a. 有益的, 受益的
"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
motivation,"n. 动机, 刺激, 推动
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
qualification,"n. 资格, 条件, 限制
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
identification,"n. 识别, 身份证明, 认同
"
symbol,"n. 符号, 象征, 代号, 信条
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
theme,"n. 主题, 话题, 题目"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
statue,"vt. 以雕像装饰
n. 雕像"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
complain,"v. 抱怨, 抗议, 控诉"
declare,"v. 宣布, 声明, 申报, 断言"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
explain,"v. 解释, 说明"
explanation,"n. 解释, 说明, 辩解, 表明
"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
replace,"vt. 代替, 替换, 放回, 归还
"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
sensible,"a. 有感觉的, 敏感的, 明智的
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
means,"n. 方法, 手段, 工具, 财产, 收入
"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
relationship,"n. 关系, 关联
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
connect,"v. 连接, 联合, 联系"
connection,"n. 连接, 关系, 前后关系
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
mixture,"n. 混合, 混淆, 混合物
"
unite,"vi. 联合, 接合, 混合
vt. 使联合, 统一, 使粘合, 使结合"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
hobby,"n. 嗜好, 癖好, 爱好"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
tradition,"n. 传说, 传统, 交付
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
apply,"vt. 涂, 应用
vi. 申请, 适用"
applicant,"n. 申请者
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
candidate,"n. 候选人, 投考者
"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
barrier,"n. 障碍, 栅栏
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
selfish,"a. 自私的, 利己主义的, 自我中心的"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
congratulate,"vt. 祝贺, 庆贺"
congratulation,"n. 祝贺, 恭喜"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
patience,"n. 耐性, 忍耐"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
consideration,"n. 考虑, 原因
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
curious,"a. 好奇的, 求知的, 古怪的"
excite,"vt. 刺激, 使兴奋, 激励"
anxious,"a. 忧虑的, 发愁的, 渴望的"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
nervous,"a. 神经紧张的, 不安的, 神经的
"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
ashamed,"a. 惭愧的, 羞耻的"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
neighbourhood,"n. 邻接, 周围, 附近一带, 邻近, 邻居关系, 地区, 街道, 街坊, 四邻
"
neighborhood,"n. 附近, 邻近"
countryside,"n. 乡下地方, 乡下居民"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
systematic,"a. 有系统的, 分类上的, 体系的
"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
drunk,"a. 喝醉了的
drink的过去式"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
energy,"n. 精力, 精神, 活力, 能量
"
energetic,"a. 精力充沛的, 积极的"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
powerful,"a. 有力的, 有权力的, 强大的
"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
product,"n. 产品, 结果, 乘积
"
output,"n. 输出, 产品, 产量
"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
effort,"n. 努力, 成就"
breath,"n. 呼吸, 气息, 瞬间
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
possibility,"n. 可能性, 可能的事
"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
goods,"n. 货物
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
procedure,"n. 程序, 过程, 手续
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
quantity,"n. 量, 数量, 总量
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
amount,"n. 总数, 总额
vi. 总计, 等同"
dozen,"n. 打, 十二个
a. 一打的"
