abandon oneself to,沉溺于
on the rise,"在上涨, 在增长"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
on the stage, 在舞台上；现阶段
on the tip of one's tongue,"na. (想说的话)已到舌尖；险些讲出
"
on the way out,即将灭亡
on the whole,"大体上, 基本上"
on time,"准时
"
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
once again,再一次
once in a blue moon,千载难逢地
once in a while,偶尔
once more,再一次
once upon a time,从前
one after another,"接连地
"
one by one,一个接一个
one day,有一天
only if,只要...就
only to do sth.,[网络] 结果；表示出乎意料的结果；结果却
open up,"na. (打)开；割开；开发(资源)；揭示
"
operate on,对...施手术
or else,否则
or rather,"更确切地说,说得更确切点"
or so,"大约, 或许, ...左右"
other than,"不同于, 除了"
ought to,应该
out of breath,上气不接下气
out of control,"不受控制, 失去控制
"
out of date,"过时的, 废弃的
"
out of order,"次序颠倒, 不整齐
"
out of place,"不在合适位置, 不合适"
out of respect,无
out of sight,"在看不见的地方, 极度"
out of the question,"不知底细
"
out of work,"失业, 机器有毛病
"
over and over,"反复, 再三"
over and over again,反复地; 再三地
owe ... to ...,"v. 由于；把…归功于
"
owing to,"由于..., 因为..."
pack up,"打包, 整理, 收工, 结束"
participate in,"参加, 参与, 分享"
pass away,"去世, 停止, 离去, 消逝"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass down,"un. 过；一闪即逝；下达
"
pass on,"na. “pass away”的变体；递；传达；通过
"
pass out,"v. 昏倒；分发；主要用于英式英语
"
pass through,"通过..., 透过..., 穿过..., 流过..."
pass up,"na. 绝交；放过；不理；上
"
pay a visit to,"访问,拜访,出诊"
pay attention to,注意
pay back,"na. 偿还；报答；向…报复；付还
"
pay for,付...款
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pay up,"全部付清, 按时付款, (在勒索下)出钱
"
persist in,"坚持, 固执于"
persuade sb. to do sth.,无
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
pile up,"堆积, 积累, 搁浅, 撞毁"
play a joke on,戏弄某人；对…恶作剧；开…的玩笑
play jokes on,v. 戏弄
play a part in,"在…中扮演角色,在…中起作用"
play a role in,在...起作用
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
plenty of,许多的
point at, （把…）对准，指向; 针对; 指画
polish up,"na. 完成；〔口语〕改善；同“polish”
"
pour in,"大量流入,源源而来"
pour out,"v. 倾吐；诉说
"
prefer to do sth.,[网络] 更喜欢做某事；宁愿做某事；宁可做某事
prefer to do rather than do,无
prepare for,[网络] 准备；为…作准备；为…做准备
prevent sb. from doing sth.,无
protect ... against, 保护，保卫
protect ... from ...,保护
provide sth. for sb.,"v. 为…作准备
"
provide sth. to sb.,[网络] 提供给
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
pull over,"靠岸, 开到路边"
pull round,复原
pull through,"(使)渡过难关, (使)恢复健康"
pull up,"v. 拔起；使…停下
"
push ahead with,"推动, 推进"
push for,奋力争取
push on,"na. 费力地前进；赶快完成任务等
"
push on with,"坚决进行(下去),继续(进行)"
push one's way through,无
push over,把...推倒
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
put an end to,"结束, 终止"
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put back,"v. 放回；推迟
"
put by,"na. 积蓄；避开(人,质问等)；搁在一边；同“put aside ”
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forth,"放出, 发表, 颁布, 提出, 发挥, 起航"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put ... in prison, [法]收监; 囚禁; 关押
put ... into ...,"na. 插入；注入；(船)入港
"
put sth. into action,"na. 实行；开动
"
put sth. into effect,"使生效, 执行...
"
put sth. into practice,"na. 实行
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put one's finger on,发现...
put one's foot in one's mouth,v. 做错
put one's hand in one's pocket,付款，支付，认捐，慷慨解囊
put out,"v. 扑灭；熄灭；放出；伸出
"
put pressure on,对…施加压力
put pressure upon,无
put through,"na. 经受；测试；试验；使…通过
"
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
put up,"adj. 预先商定的
"
put up with,"忍受, 容忍
"
puzzle over, 苦苦思考
quantities of,"大量的,许多…"
quarrel with sb. about sth.,无
quarrel with sb. over sth.,无
queue up,排队等候
quite a few,相当多的
rain cats and dogs,下倾盆大雨
raise money,"筹钱
"
raise one's eyebrows,表示惊讶或轻蔑
range from ... to ...,"从...到...(不等), 范围从...到..."
rather than,与其...不如...
rather too,稍微...一点
reach out, （使）伸出
reach out to,[网络] 接触；把手伸向；联系
react against,反抗
react to,作出反应
read out,"na. 大声读；【自动化】读出
"
reckon on,"指望, 依赖"
recognize ... as ...,[网络] 认出是；承认是；认为是
recommend doing sth.,[网络] 建议做某事；推荐做某事；建议干
recover from,"恢复知觉, 恢复"
refer to,"v. 查阅；提到
"
refer to ... as ...,"v. 提交；归类；称谓
"
reflect on,"深思, 反省, 导致, 招致非议"
refuse to do sth.,[网络] 拒绝做某事；拒绝去做某事；拒绝干某事
regard ... as ...,把...认作
regardless of,"不注意, 不关心"
regret doing sth., 对做过的事表示遗憾、后悔
relate to,"na. 有关联；与…有关；理解
"
relieve sb. of,"v. 解除
"
rely on,"依赖, 依靠"
remark on,"评论, 议论"
remark upon,"v. 评论；批评
"
remember doing sth., 记着已经做过的事
remind sb. of sth.,"v. 提醒
"
remind sb. to do sth.,无
remind sb. not to do sth.,无
replace ... with ...,"取代, 以...代替, 替换为
"
remove ... from ...,从...除去
resign from,辞职
resign oneself to,使听从于
respond to,"答复,响应,对…作出反应"
result from,"由...产生
"
result in,"导致
"
retire from,从…隐退
return to,回复到...
rid ... of ...,"除去, 摆脱"
ride on,"乘, 骑, 依靠"
right away,立刻
right now,就在此时
ring back," 回电话, 再打电话"
ring off,挂断电话
ring out,"鸣钟送别, 打卡下班"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
"
rise to one's feet,站起来
rise up against,无
risk one's life,拼死
rob sb. of sth.,"v. 抢走
"
roll in,"蜂拥而来
"
roll over,"na. 滚动；使滚；〔美棒球〕得分；同“roll”
"
roll up,"na. 卷起(袖子)；包卷；积贮；缩成圆球
"
round up,"na. 弄成圆球；使数目恰好；使成一个整数；赶在一块儿
"
rule out,"na. 排除
"
run across,"偶遇, 跑着穿过"
run after,"追捕, 追求, 照顾"
run away,"潜逃
"
run for,竞选
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,用完
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
"
run through,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
see sb. off,"na. 送行；送别；告别；赶走
"
send for,na. 派人去叫
set in,"na. 固定；停当；涨潮；进来
"
set about,"开始, 散布
"
set an example to,"做…榜样,树立(好)榜样"
set aside,"na. 搁置；拨出；驳回
"
set down,"na. 记入；登记；定；设
"
set fire to,点燃
set foot on,踏上
set foot in,进入
set off,"na. 分；分割；划开；区划
"
set out,"n. 开始；出发；动身；准备
"
set up,"na. 建立；创立；发起；开办
"
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
show off,"炫耀, 卖弄, 使显眼"
show up,"na. 显眼；揭发；嘲笑；露面
"
shut up,"关闭, 监禁, 住口, 保藏"
side by side,"并排, 并肩"
so as to,"使得, 以致"
so far,迄今为止
so long as,只要
speed up,"加速
"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand out,"突出, 坚持抵抗"
stare at,"凝视, 盯住"
stay away,外出
stay in touch with,[网络] 与……保持联系；与……保持联络；和……保持联系
stay up,不睡觉
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
"
stick to,粘住
succeed in doing sth.,[网络] 成功做某事；做……成功；成功作某事
such as,"例如..., 像这种的"
suffer from,"忍受, 遭受
"
sum up,"na. 〈口〉概括；总结
"
switch on,"v. 打开；接通；参见
"
take a breath, 深深地吸一口气
take a chance,冒险
take chances,"冒险, 投机"
take a day off,请一天假
take a look at,看一看…
take a walk,散步
take action,"采取行动, 提出诉讼"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take after,"像, 学样
"
take aim at, 瞄准，盯着; 以…为目标
take an interest in,对...感兴趣
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take ... by surprise,"v. 突然惊吓
"
take care," 当心, 小心; 坚持到底"
take care of,"照顾
"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
take command of,开始控制
take control of,"控制,掌管"
take down,"na. 扯下；卷起；记下；卸下
"
take effect,"见效, 生效
"
take exercise,"做体操,做健身活动"
take ... for example,以...为例
take ... for granted, 信以为然
take hold of,握住
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take it easy,"从容, 不紧张"
take measures,採用措施
take notice of, 注意到; 在意; 睬; 理睬
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take office,就职
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take one's seat,就座
take one's time,从容不迫
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take pains,"尽力, 耐心"
take part in,"参与, 参加
"
take place,"na. 发生；举行
"
take possession of,"占有, 占领"
take pride in,以...为傲
take risks,"冒险,担风险"
take sb. in one's arms,无
take sb.'s advice,无
take sb.'s place,[网络] 解构发生；就位
take sides with,偏袒;拥护(某方面)
take the lead,"为首, 带头"
take the place of,"代替
"
take turns,"轮流, 依次"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk of,"[法] 谈到, 说到, 说及"
talk about," 讨论, 谈论; 考虑（做…）; 唠; 话"
talk to, 同（某人）谈话; 责骂
teach oneself, 自学
tear down,"na. 拆毁；扯下；猛冲
"
tear off,"na. 扯下来；扯掉；飞跑；〔美俚〕急急忙忙做成某事
"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell a joke,[网络] 讲笑话；说笑话；讲个笑话
tell jokes, 讲笑话
tell a lie,说谎话
tell lies, 说谎，撒谎; 妄语; 妄言
tell apart,分辨
tell by,"v. 依据
"
tell sb. about sth.,告诉(某人)有关…的情况; 谈及
tell the truth,说实话
test out,"na. 同“test”
"
thanks to,由于
that is to say,"就是, 即, 换句话说"
the day after tomorrow,后天
the other day,不久前某一天
think about,"考虑, 回想"
think aloud,"自言自语, 边想边说出"
think back to,回想，回忆；重新思考(往事)
think highly of,"认为…很了不起,对…评价很高,非常看重"
think well of,"非常看重,尊重,钦佩"
think nothing of,把...看得很平常
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think of ... as ...,把...看作
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think up,"na. 想出；〔口语〕发明
"
thousands of,"成千上万,数千,许许多多"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw light on,"照亮,阐明,使理解,启迪"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw oneself on,依赖
throw up,"na. 呕吐；抛上；急造；丢弃
"
tidy up,整理
time and again,反复地
till now,直到目前
tire out,"na. 使疲倦到极度
"
to be honest,"老实说,说实在的"
to one's credit,"入某人帐户的贷方, 为某人带来荣誉"
to sb.'s delight,无
to sb.'s surprise,无
to the contrary,相反地
to the point,"中肯, 扼要"
together with,"和, 加之"
too much,"太多, 太高"
too ... to ...,[网络] 太……而不能；太……以致不能；用法
trade with,"与…交换,和…贸易"
translate ... into ...,"翻译成, 转化为"
treat ... as ...,[网络] 对待；当作；当做
treat ... to ...,[网络] 款待；招待；请客
trick sb. into doing sth.,无
trip over,在…跌
try for,"争取, 谋求"
try one's best,尽力
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try to do sth., 试着做某事; 尽力做某事
turn a blind eye to,熟视无睹
turn against,"na. 背叛；使对抗；厌恶
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn away,"v. 转变方向
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,[网络] 了解
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn one's back on,"背弃, 抛弃"
turn out,"v. 证明；原来；到场
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
turn up,"v. 朝上翻；出现
"
under age,未到法定年龄
under any circumstances,"在任何情况下,无论如何"
under all circumstances,无论如何
under construction, （正在）修建中
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under pressure,在压力强制下
under repair,在修理中
under sb.'s direction,无
under the charge of,在...看管下
under the name of,名叫...
under way,"进行中, 在行进"
up and down,"上下地, 到处"
up in the air,悬而未决
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
up to date,"最近的, 最新的
"
up to now,到目前为止
up until,[网络] 一直到…为止；不多于
upside down,[网络] 机腹朝上；颠倒；上的姿势
use up,"na. 用完；耗尽
"
used to do sth., 过去常常做某事
vary from ... to ...,无
view ... as ...,"把...看作..., 认为...是..."
vote against,[法] 投票反对
vote for,"[法] 赞成, 投票赞成, 选举"
wait for,"na. 等；等待
"
wait on,"服侍, 招待, 拜访, 焦急地等待"
wait upon, 侍候; 伏侍
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
walk along, 沿着…走
walk of life," 行业, …类的人"
wander about,"漫步, 徘徊"
wander around,"徘徊, 转来转去"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
warn ... of ...,"na. 警告(某人)有危险
"
warn ... about ...,v. 就…提出警告
warn against sth.,警告不要…
warn sb. against doing sth.,无
wash away,"v. 清洗
"
wash down,"na. 洗掉；冲下
"
wash out,"v. 洗掉
"
wash up,"洗手洗脸, 洗餐具"
waste ... doing sth.,无
waste ... on sth.,在(某方面)浪费时间，浪费钱财
waste ... in doing sth.,无
waste one's breath,白费口舌
watch for,"守候, 注意, 监视"
watch out,"密切注意, 当心, 戒备, 提防"
watch over,"监督, 保护, 照管
"
wear off,"逐渐减弱, 消失, 磨损, 耗损"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
what about ...,adv. 怎么样，以为如何（提出建议或用以引出话题）
what for,"un. …怎样；为何；处罚；为什么
"
what if ...,如果…那又怎么样?即使…那又有什么关系?
what's more,[网络] 而且；另外；更重要的是
what's up,[网络] 这是怎么回事
what's wrong with ...,[网络] 怎么了；怎么啦；有什麽不对
whether ... or ...,是…还是
win back," 重新获得, 夺回"
wind up,"na. 解散(公司等)；终止；卷紧；绕紧
"
wipe off,"v. 揩揩
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
wish for,"盼望, 企求"
with an average of,无
with pleasure,"愉快地, 愿意"
with respect to,"关于..., 至于...
"
with the help of,"借助于…,在…的帮助下"
with the purpose of,为了...
within limits,"na. 适当地
"
within reach of,"在…附近,在…够得着的地方"
without delay,"毫不迟延地, 立即
"
without doubt,毫无疑问地
wonder at,对...感到惊讶/诧异
work as,"担任,从事"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work out,"v. 作出；拟定；制定；计划一下
"
worry about,"焦虑..., 为...而操心/担心"
would like to do sth.,[网络] 愿意做某事；想要做；想做
would love to do sth.,无
would rather,"倒愿意…,宁愿…"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
year after year,"年复一年地, 年年, 每年"
year by year,"年年, 每年"
"year in, year out","年复一年地, 始终, 不断地"
yield to,"让步于,屈服于,向…投降"
