define,"vt. 定义, 规定, 使明确
"
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
exploitation,"n. 开发, 开采, 剥削
"
practitioner,"n. 从业者, 开业者
"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
demonstrate,"vt. 示范, 证明
vi. 示威"
demonstration,"n. 示范, 实证
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
symptom,"n. 症状, 征候, 征兆
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
depict,"vt. 描述, 描写"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
stuck,stick的过去式和过去分词
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
examine,"v. 检查, 调查, 考试"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
investigation,"n. 调查, 审查
"
investigate,"v. 调查, 审查"
inquiry,"n. 质询, 探索, 调查, 询盘
"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
inspection,"n. 检验, 检查, 视察
"
excavation,"n. 挖掘, 发掘, 挖掘的洞
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
reminder,"n. 提醒的人, 暗示
"
memorize,"vt. 记住, 熟记, 背熟"
recite,"v. 背诵, 朗读, 叙述"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
disposable,"a. 可任意处理的
"
cooperate,"vi. 合作, 协力, 配合
"
cooperation,"n. 合作, 协力, 配合
"
collective,"a. 集体的, 聚集的, 共同的
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
collaborative,"a. 合作的, 协作的"
mutual,"a. 相互的, 共有的
"
alliance,"n. 联盟, 联合
"
defend,"vt. 防护, 辩护, 防卫
"
defendant,"n. 被告
"
defense,"n. 防卫, 防卫物
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confrontation,n. 对抗；对质；面对
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
withstand,"vt. 抵住, 顶住, 经得起"
destroy,"vt. 破坏, 毁坏, 消灭"
destruction,"n. 破坏, 毁灭
"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
disruptive,"a. 分裂的, 破坏(性)的
"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
imprison,"vt. 使下狱, 关闭, 拘禁, 限制
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
privacy,"n. 隐私, 隐居, 秘密
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integrity,"n. 正直, 廉正, 完整
"
integration,"n. 综合, 与环境协调的行为, 集成
"
integrated,"a. 综合的, 完整的, 互相协调的
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
assimilation,"n. 同化, 同化作用, 吸收
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
enrollment,"n. 登记, 注册, 入伍
"
inject,"vt. 注射, 注入, 使入轨
"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
duplication,"n. 副本, 复制
"
clone,"n. 无性系
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
predator,"n. 食肉动物, 掠夺者
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
recession,"n. 后退, 凹处, 衰退, 归还
"
downgrade,"vt. 降低, 贬低
n. 下坡
a. 下坡
adv. 下坡"
soak,"n. 浸, 湿透, 大雨
vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉
vi. 浸泡, 渗透"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
irrigation,"n. 灌溉, 冲洗
"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
intervention,"n. 插入, 介入, 调停
"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
interference,"n. 冲突, 干涉
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
barrier,"n. 障碍, 栅栏
"
hinder,"a. 后面的
v. 阻碍, 打扰"
obstacle,"n. 障碍, 妨害物, 阻碍"
restrain,"vt. 抑制, 阻止, 束缚
"
boycott,"n. 联合抵制
vt. 联合抵制"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
carve,"v. 雕刻, 切开"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
juggle,"vi. 玩戏法, 行骗, 篡改
vt. 耍弄, 歪曲, 篡改
n. 玩戏法, 魔术, 欺骗"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
dedicate,"vt. 献出, 贡献"
dedicated,"a. 专注的, 献身的"
reception,"n. 接待, 接受, 招待会
"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
receptor,"n. 受体, 感觉器官
"
donate,v. 捐赠
cultivate,"vt. 培养, 耕作"
cultivation,"n. 教化, 培养, 耕作
"
nutrition,"n. 营养, 营养学
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
hijack,"vt. 抢劫, 劫持, 敲诈
"
corruption,"n. 腐败, 堕落, 贪污
"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
bribery,"n. 贿赂行为, 行贿, 受贿
"
gambler,"n. 赌博者, 赌徒
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
entertaining,"a. 使人愉快的, 有趣的"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
alleviate,"vt. 减轻, 使缓和"
alleviation,"n. 减轻, 缓和, 镇痛物
"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
addiction,"n. 入迷, 瘾
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
means,"n. 方法, 手段, 工具, 财产, 收入
"
meaningless,a. 无意义的
indicate,"vt. 显示, 象征, 指示, 指出
"
indicator,"n. 指示器, 指示剂, 指标
"
indicative,"a. 指示的, 象征的, 表示...的
"
imply,"vt. 暗示, 意味
"
implication,"n. 牵连, 含义, 暗示
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
functional,"a. 功能的
"
available,"a. 可利用的, 可获得的, 有效的
"
availability,"n. 有效性, 可利用性, 可利用的人
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
necessarily,"adv. 必然地, 必须地, 必要地"
necessity,"n. 需要, 必需品, 必然
"
necessitate,"vt. 迫使, 使成为必需, 需要"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
unique,"a. 独一无二的, 独特的, 稀罕的"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
solely,"adv. 仅仅, 单独地"
probably,"adv. 大概, 或许"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
inevitable,"a. 不可避免的, 必然的
"
unlikely,a. 不太可能的
definitely,"adv. 明确无疑地, 清楚地"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
emphasize,"vt. 强调, 加强语气, 着重"
emphasis,"n. 强调, 加强, 重点, 强语气"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentration,"n. 集中, 专心
"
tendency,"n. 趋向, 倾向
"
popularity,"n. 名声, 受大众欢迎, 流行"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
biased,"a. 有偏见的
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
dense,"a. 密集的, 浓厚的"
density,"n. 密度
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
trait,"n. 特征, 特性, 一笔, 少许"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
difficult,a. 困难的
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complexity,"n. 复杂, 复杂性, 复杂的事物"
complicated,"a. 复杂的
"
intricacy,"n. 纷乱, 复杂, 错综"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
reduction,"n. 减少, 缩影, 变化
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
diminish,"v. (使)减少, (使)变小"
minimum,"a. 最小的, 最低的
n. 最小值
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
improvement,"n. 进步, 改善, 利用
"
enhance,"vt. 提高, 加强, 增加"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
elevate,"vt. 举起, 提拔, 鼓舞"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
humanity,"n. 人性, 人类, 博爱"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
conscience,"n. 良心
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
idealized, 理想化的
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
concept,"n. 观念, 概念
"
conception,"n. 观念, 概念
"
awareness,"n. 意识, 认识
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
significance,"n. 重要性, 意义, 意味
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majority,"n. 多数, 大半
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
essence,"n. 实质, 本质, 香精
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
crucial,"a. 决定性的, 重要的, 严厉的
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
primarily,"adv. 主要地, 首先地"
far-reaching,adj. 影响深远的; 有广泛影响的
primacy,"n. 第一, 首位, 卓越"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
influential,"a. 有影响的, 有势力的"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
foremost,"a. 最初的, 最重要的
adv. 在最前"
otherwise,"adv. 否则, 不同地, 别的方式"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
whereas,"conj. 然而, 鉴于
"
regardless,"a. 不管, 不注意, 不顾"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
logical,"a. 合乎逻辑的, 合理的
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
infrastructure,"n. 基础结构, 基础设施
"
restructuring,[计] 重构的
reasonable,"a. 合理的, 明理的, 适当的
"
reasoning,"n. 推论, 推理, 论证
"
systematic,"a. 有系统的, 分类上的, 体系的
"
methodology,"n. 方法学, 方法论
"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
strive,"vi. 努力, 奋斗, 斗争"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
improper,"a. 不合适的, 错误的, 不成体统的, 不道德的
"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
appropriate,"a. 适当的
"
inappropriate,"a. 不适当的, 不相称的"
sensible,"a. 有感觉的, 敏感的, 明智的
"
applicable,"a. 合适的, 可应用的
"
effectively,"adv. 有效地, 有力地, 实际上"
ineffective,"a. 无效的
"
efficiency,"n. 效率, 效能, 功效
"
efficient,"a. 有效率的, 能干的"
practical,"a. 实际的, 现实的, 实用性的
"
practically,"adv. 几乎, 差不多, 事实上"
validity,"n. 有效性, 正确性
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
invalidate,"vt. 使无效
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
critically,"adv. 批评性地, 审慎地, 精密地"
specifically,"adv. 特定地, 明确地, 按特性"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
diverse,"a. 不同的, 变化多的"
diversity,"n. 差异, 多样性
"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
comparison,"n. 比较, 对照, 比喻
"
comparative,"a. 比较的, 相对的
n. 对手"
distinction,n. 区别
distinctly,"adv. 显然地, 明显地, 清楚地"
distinguish,"v. 区别, 辨别"
distinguished,"a. 卓著的, 著名的"
discrimination,"n. 差别, 岐视, 辨别力
"
differentiate,"v. 区别, 区分"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
universality,"n. 普遍性, 一般性, 广泛性
"
wholly,"adv. 完全地, 整个, 统统, 全部
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
concerning,"prep. 关于
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
regarding,prep. 关于
duty,"n. 责任, 关税, 职务, 尊敬
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
ought,"aux. 应该, 大概
n. 责任"
liability,"n. 责任, 债务, 倾向
"
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
accuracy,"n. 精确, 正确
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extensive,"a. 广的, 广泛的, 多方面的
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
broadly,"adv. 宽广地, 明白地, 无礼貌地"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansion,"n. 扩充, 开展, 膨胀
"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
widen,"vt. 弄宽, 加宽, 扩大
vi. 变宽, 扩大"
spacious,"a. 广大的, 宽广的"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
materialistic,"a. 唯物论的, 唯物主义的"
indeed,"adv. 的确, 实在, 真正地, 甚至"
factual,"a. 事实的, 实际的
"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
livelihood,"n. 生计, 营生, 生活"
moreover,"adv. 而且, 此外"
furthermore,"adv. 此外, 而且"
additional,"a. 附加的, 另外的, 额外的
"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
gigantic,"a. 巨人般的, 巨大的"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
massive,"a. 大而重的, 宽大的, 宏伟的
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
enormous,"a. 巨大的, 庞大的"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
considerable,"a. 相当的, 可观的, 重要的"
sizable,"a. 相当大的, 大小相当的"
tremendous,"a. 巨大的, 非常的, 可怕的"
