off and on,断断续续地
extracurricular,"a. 课外的, 业余的"
monthly,"n. 月刊
a. 每月的, 每月一次的"
golf,"n. 高尔夫球
vi. 打高尔夫球"
salad,n. 色拉
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
survivor,"n. 生还者, 幸存者
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
marketable,"a. 可销售的, 销路好的, 市场的
"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
give up,"na. 放弃；断绝；投降；自首
"
compete,"vi. 竞争, 对抗"
compete against,与…竞争
compete with,与…竞争
care for,"喜欢, 照顾, 为...操心, 尊重"
dearly,"adv. 深深地, 昂贵地"
beloved,"a. 心爱的
n. 心爱的人"
eldest,"a. 最年长的, 排行中第一的
n. 最年长者, 排行中第一者"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
funeral,"n. 葬礼, 出殡"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
newly,"adv. 重新, 最近"
married,"a. 已婚的, 婚姻的
"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
grass,"n. 草, 草原, 牧场
"
grab at,"抓住,攫取,伸手去抓"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
stay up,不睡觉
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
deceased,"a. 已故的
n. 死者"
the deceased, 死者
replace,"vt. 代替, 替换, 放回, 归还
"
look sb. in the eye,[网络] 直视；正视
bitterness,"n. 苦味, 悲痛, 怨恨"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
straighten out,"na. 弄(得到)澄清；(得到)解决；同“straighten”
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
option,"n. 选择权, 挑选, 选项
"
stock option,[法] 股票特权
and all that,诸如此类
heart-attack,心脏病发作
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
pick out,"na. 挑选；掘出；闻出；领会
"
lineup,"n. 阵容, 阵形, 布阵, 一组人"
discreetly,"adv. 谨慎地, 小心地"
discreet,"a. 小心的, 慎重的"
inquiry,"n. 质询, 探索, 调查, 询盘
"
replacement,"n. 归还, 更换, 代替者
"
ask around, 到处打听
pop up,突然站起(或跳起)
enthusiastic,"a. 狂热的, 热心的, 热烈的"
among others,"其中包括,此外还有"
distract,"vt. 转移, 分心, 使发狂"
relationship,"n. 关系, 关联
"
socialize,"vt. 使社会化, 使社会主义化, 使适合社会需要
vi. (美)(非正式)参加社交活动, 发生社交往来"
delegate,"n. 代表
vt. 委派...为代表"
input,"n. 输入, 输入电路
vt. 输入
"
typically,adv. 代表性地；作为特色地
disarray,"vt. 弄乱, 使混乱, 使脱去衣服
n. 无秩序, 杂乱, 不整齐的衣着"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
divorce,"n. 离婚
vt. 与...离婚"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
in short,"简而言之
"
well-being,n. 健康; 幸福; 保持良好状态
solution,"n. 解决, 解答, 溶液
"
addiction,"n. 入迷, 瘾
"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
priority,"n. 优先权, 优先
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
oriented,"a. 导向的
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
fulfilling,a. 能实现个人抱负的；令人高兴的；令人满意的
reliable,"a. 可靠的, 可信赖的
"
diversion,"n. 转移
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
let go,"v. 放手；解雇；松手；忽视
"
valentine,"n. 情人, 情人节礼物"
make one's way,"前进, 行进, 成功, 发迹"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
thoughtful,"a. 深思的, 体贴的"
insightful,"a. 有深刻见解的, 富有洞察力的"
insight,"n. 察看, 洞察力, 见识
"
previous,"a. 早先的, 前面的, 过急的
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
correspond,"vi. 符合, 通信, 相当
"
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
take a chance,冒险
take a chance on sth.,"冒险,碰运气"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
whichever,"pron. 无论那一个, 任何一个"
lapel,n. 翻领
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
unfailingly,"adv. 无穷尽地, 经久不衰地; 可靠地"
unfailing,a. 可靠的；经久不衰的；无穷尽的
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
chin,"n. 下巴, 颏
"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
go sb.'s way,无
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
more than a little, 非常；十分
ankle,"n. 踝
"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
longing,"n. 渴望, 热望, 憧憬
a. 渴望的, 热望的"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
sensible,"a. 有感觉的, 敏感的, 明智的
"
kindly,"a. 和蔼的, 温和的, 爽快的
adv. 温和地, 亲切地"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
be grateful to sb. for sth.,[网络] 因对充满感激
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
lieutenant,"n. 中尉, 助理人员, 副官"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
in response to,"回答..., 响应..., 对...有反应
"
come across,偶遇
make out,"na. 理解；发现；起草；证明
"
hope for,"希望,期望"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
other than,"不同于, 除了"
call in,"na. 招；叫进；引入；调入
"
know of sb.,"知道,了解,听说过…"
know of sth.,"知道,了解,听说过…"
nursing home,私人疗养院
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
match up to,"与…相配,适合…"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
for sure,确实
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
goodness,"n. 仁慈, 善良"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
be in love with,与...恋爱
be in love with sb.,与...恋爱
come to an end,结束
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
darling,"n. 亲爱的, 可爱的人, 可爱的物
a. 可爱的, 亲爱的"
catch up on,补做(工作)
catch up on sth.,补做(工作)
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
tie the knot,[法] 结婚
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
extensive,"a. 广的, 广泛的, 多方面的
"
intelligence,"n. 智力, 情报, 信息
"
intelligent,"a. 聪明的, 智能的, 了解的"
controversy,"n. 论争, 辩论, 论战, 争论
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
consciousness,"n. 意识, 知觉, 自觉
"
explore,"v. 探险, 探测, 探究"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
vet,"n. 兽医
vi. 当兽医
vt. 诊断, 检审"
keeper,"n. 监护人, 管理人, 看守人
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
convince,"vt. 说服, 使相信
"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
captivity,"n. 囚禁, 被关
"
dominant,"a. 占优势的, 支配的
"
species,"n. 种, 类, 外形
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
make a deal, 成交；达成交易
conservationist,n. 自然资源保护论者
gorilla,"n. 大猩猩, 残暴的男人, 歹徒"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
peanut,"n. 花生, 小人物, 极小的数额
a. 渺小的, 微不足道的"
only to,"不料竟会…,没想到会…"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
pineapple,"n. 凤梨, 菠萝, 失业救济金
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
orangutan,"猩猩
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
anthropologist,n. 人类学家
figure out,"合计为, 计算出, 明白"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
dealing,"n. 经营行为, 行为, 交易
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
promptly,"adv. 敏捷地, 迅速地"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
cooperate,"vi. 合作, 协力, 配合
"
behaviorist,"n. 行为主义者
"
in sb.'s interest,无
in sb.'s interests,无
go far,"大有前途, 有成就, 成功, 满足(需要)"
consultant,"n. 顾问, 征询意见者
"
behavior,"n. 行为, 举止
"
assess,"vt. 估定, 对...征税, 评定
"
judgment,"n. 裁判, 宣告, 判决书
"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
at first,起先
stretcher,"n. 担架, 延伸器
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
go wrong,"走错路, 出毛病, 失败"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
apparently,"adv. 表面上, 清楚地, 显然地"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
size up,"估计, 合格"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
primate,"n. 大主教, 灵长目动物
"
evidence,"n. 根据, 证据, 迹象
"
deceive,"v. 欺骗, 行骗"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
colony,"n. 殖民地, 移民队
"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
give in,"na. 让步；屈服；投降；上交
"
underneath,"adv. 在下面
prep. 在...的下面"
pea-brained,adj. 笨的
turtle,n. 海龟
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
disaster,"n. 灾祸, 不幸, 彻底失败"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
dinosaur,n. 恐龙
horizon,"n. 地平线, 眼界, (天)视地平"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
cautious,"a. 谨慎的, 小心的"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
adequate,"a. 适当的, 足够的
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
not have the heart,[网络] 不忍心去
not have the heart to do sth.,无
status,"n. 状态, 情形, 地位, 要人身份
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
pull oneself together,振作起来
at first sight,乍一看
instinct,"n. 本能, 直觉
a. 充满着的"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
pair off,na. 使分成
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
take to,"na. 嗜好；开始；参加；逃入
"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
advanced age,老年
magnificent,"a. 华丽的, 高尚的, 宏伟的"
shed light on,"为...提供线索, 对...透露情况, 使...清楚地显出, 阐明..."
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
heap sth. on sb.,[网络] 对大加；堆积
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
field biologist,无
coyote,"n. 丛林狼, 讨厌的家伙"
indicate,"vt. 显示, 象征, 指示, 指出
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
tell of,讲述
otter,"n. 水獭, 水獭皮"
get around,"病后能够走动, (非正式)旅行, 传开来"
make a habit of,"经常做,坚持…;使…成为一种习惯"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
by any chance,万一
in the world,在世界上
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
teenager,n. 十三岁到十九岁的少年
run out of,用完
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
folder,"n. 文件夹, 折纸机, 折叠式书本, 卷宗
"
drugstore,"n. 药房, 杂货店"
handful,"n. 少数, 一把, 棘手事"
modestly,adv. 适当地；谨慎地
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
ignorance,"n. 无知, 愚味
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
calculation,"n. 计算, 考虑, 计算的结果
"
nonexistent,a. 不存在的
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
sum up,"na. 〈口〉概括；总结
"
financial,"a. 财政的, 金融的
"
accumulate,"v. 积聚, 堆积"
ancestor,"n. 祖先, 祖宗"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
break down,"v. 分解；抛锚；分析；划分
"
drive sth. home to sb., 使人理解到；向……讲明白
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
dramatize,"vt. 改编成戏剧, 编写剧本
vi. 戏剧化"
headphone,"n. 戴在头上的收话器, 耳机
"
portable,"a. 可携带的, 可搬运的, 可移动的
"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
peasant,"n. 农夫, 乡下人"
county,"n. 县, 郡"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
search for,搜查
poverty,"n. 贫穷, 贫困, 缺乏
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
subway,"n. 地铁, 地道
vi. 乘地铁"
better off, 比较富裕; 情况好转
foe,"n. 仇敌, 反对者, 敌人, 对手"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
foxhole,n. 散兵坑
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
slum,"n. 贫民窟
vi. 访问贫民区"
plumbing,"n. 测深, 管子工行业, 管道设备"
privacy,"n. 隐私, 隐居, 秘密
"
trash,"n. 垃圾, 废物
vt. 丢弃"
befriend,"vt. 待人如友, 扶助"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
make a living by,[网络] 靠……谋生；靠…维持生计；通过……谋生
miracle,"n. 奇迹, 奇事"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
contemptible,"a. 卑鄙的, 可轻蔑的, 不足挂齿的"
coward,"n. 懦弱的人, 胆小的人"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
multiplication,"n. 乘法, 增加, 乘法运算
"
off-limits,"[经] 限度外, 范围外"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
seminar,"n. 研究班, 专题讨论会
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
discourage,"vt. 使气馁, 阻碍"
in the first place,首先
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
concentrate on,"集中, 全神贯注于"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
appropriate,"a. 适当的
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
reflect on,"深思, 反省, 导致, 招致非议"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
what if,如果…那又怎么样?即使…那又有什么关系?
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
strategy,"n. 战略, 策略
"
at hand,"在手边, 在附近, 即将到来"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
circumference,"n. 圆周, 周缘, 胸围
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
quadratic,"a. 二次的
n. 二次方程式"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
