a collection of,"一批,一组"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
accuracy,"n. 精确, 正确
"
accurate,"a. 正确的, 精确的
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
administration,"n. 行政, 管理, 政府机关
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
appropriate,"a. 适当的
"
avenue,"n. 大街, 途径, 林荫路"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
behavior,"n. 行为, 举止
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
charming,"a. 迷人的, 有吸引力的"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
colleague,"n. 同事, 同僚"
combination,"n. 组合, 合并, 联合
"
commerce,"n. 商业, 商务, 贸易
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
competence,"n. 胜任, 职称, 能力
"
complicated,"a. 复杂的
"
confused,"a. 困惑的, 混乱的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
controversy,"n. 论争, 辩论, 论战, 争论
"
convenient,"a. 方便的, 合宜的
"
creature,"n. 人, 动物, 创造物, 生物"
decade,"n. 十年, 十"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
define,"vt. 定义, 规定, 使明确
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
detect,"vt. 发现, 察觉, 探测
"
disadvantaged,"a. 社会地位低下的, 生活条件差的, 被剥夺了基本权利的
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
discrimination,"n. 差别, 岐视, 辨别力
"
dissatisfaction,"n. 不满, 不平"
distinguish,"v. 区别, 辨别"
diverse,"a. 不同的, 变化多的"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
dropout,"n. 退学学生, 中途退学
"
dutifully,adv. 忠实地；忠贞地
efficient,"a. 有效率的, 能干的"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
experienced,"a. 富有经验的, 老练的, 熟练的"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
financial,"a. 财政的, 金融的
"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flavor,"n. 滋味, 调味品
vt. 加味于"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
foundation,"n. 基础, 根据, 建立
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
generation,"n. 一代, 一世, 产生
"
guilt,"n. 罪行, 内疚
"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
hinder,"a. 后面的
v. 阻碍, 打扰"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
immense,"a. 极广大的, 无边的, 非常好的"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
imperfect,"a. 不完美的, 不完整的, 减弱的, 未完成过去时的
n. 未完成体"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
incur,"vt. 招致, 蒙受, 遭遇
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
instinct,"n. 本能, 直觉
a. 充满着的"
instruction,"n. 指令, 教导, 命令
"
intelligent,"a. 聪明的, 智能的, 了解的"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
investigate,"v. 调查, 审查"
knowledgeable,"a. 聪明的, 有知识的"
largely,"adv. 大量地, 很多地, 大半地"
legislation,"n. 立法, 法律
"
literary,"a. 文学的, 文艺的, 精通文学的
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
migration,"n. 移民, 移往, 移动
"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
motivation,"n. 动机, 刺激, 推动
"
mystery,"n. 秘密, 神秘, 奥秘"
obstacle,"n. 障碍, 妨害物, 阻碍"
occasionally,"adv. 有时候, 偶而"
offender,"n. 罪犯, 无礼的人, 得罪人的人"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
operate,"v. 操作, 运转, 动手术, 活动"
outcome,"n. 结果, 出口"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
percentage,"n. 百分比, 比率, 部分, 可能性
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
potentially,"adv. 可能地, 潜在地"
poverty,"n. 贫穷, 贫困, 缺乏
"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
relaxed,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的"
reluctant,"a. 不情愿的, 勉强的
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
schooling,"n. 学校教育, 学费"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
squarely,"adv. 干脆地, 正好, 直角地"
strategy,"n. 战略, 策略
"
sufficiently,"adv. 足够, 充分"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
symbol,"n. 符号, 象征, 代号, 信条
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
tongue,"n. 舌, 语言能力, 讲话方式, 语言
vt. 舔, 斥责, 发...的音
vi. 使用舌头, 吹管乐器"
toxic,"a. 有毒的, 中毒的
"
tragic,"a. 悲惨的, 悲剧的"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
uninformed,"a. 没有得到通知的, 未被告知的, 无知的, 不学无术的, 未受教育的, 蒙昧的
"
unpredictable,a. 不可预知的
violation,"n. 违反, 违背, 妨碍
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
well-being,n. 健康; 幸福; 保持良好状态
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
witty,"a. 富于机智的, 诙谐的"
a body of, 一群，一队。后加单数谓语动词
a multitude of,"大批的,大量的,许许多多的…"
a variety of,"各种各样的..., 种种..."
apartment building, <美>公寓大楼
as ... as ...,[网络] 砷；用法；和……一样
at sb.'s disposal,无
deprive ... of,"un. 剥夺
"
be concerned with,"涉及..., 与...有关"
be entitled to,[法] 有资格或权利...
be linked to,与...连接
be supposed to,"应该, 被期望"
be capable of sth.,能够
be capable of doing sth.,无
blood vessel,"血管
"
compare ... to ..., 把…比作， 喻为; 与…相比
conform to,"符合, 遵照"
date back, 回溯至
date back to,"始于,可以追溯到…"
derive from,"得自, 由来, 衍生"
draw out,"na. 抽出；拔出；掏出；提出
"
end up,"竖着, 结束, 死"
for instance,"例如
"
go out of one's way to do,无
be in favor of,有利于； 支持
in short,"简而言之
"
in the wake of sth.,"尾随, 紧跟, 仿效"
be inferior to,"劣于..., 比...差"
interfere with,"干涉,干扰,妨碍"
scores of,大量的
seek out,"搜出, 挑出"
set ... apart,"使分离, 留出"
set the stage,[网络] 为舞台布景；设置；设置舞台
take sth. into consideration,"v. 顾及
"
tear ... apart,"v. 弄乱；撕破
"
turn out,"v. 证明；原来；到场
"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
acre,n. 英亩
adjective,"n. 形容词
a. 形容词的, 从属的"
adverb,n. 副词
advisory,"a. 顾问的, 咨询的, 劝告的
"
AIDS,"n. 爱滋病(获得性免疫缺陷综合征)
"
ale,"n. 麦芽酒
"
algebra,n. 代数学
alphabet,"n. 字母
"
alphabetical,"a. 依字母顺序的, 字母的"
amiable,"a. 亲切的, 和蔼可亲的
"
anew,"adv. 重新, 再"
ankle,"n. 踝
"
anonymity,"n. 匿名, 姓氏不明
"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
ant,n. 蚂蚁
antagonism,"n. 对立, 敌对, 敌意
"
antagonist,"n. 敌手, 对手
"
antagonistic,"a. 对抗的, 敌对的
"
antagonistically,"adv. 敌对地, 对抗性地"
antenna,"n. 天线, 触须, 触角
"
anti,"n. 反对者, 反对论者
a. 反对的"
antibiotic,"n. 抗生素
a. 抗生的"
antonym,n. 反义词
ape,"n. 无尾猿
"
apologetic,"a. 道歉的, 急于认错的, 辩护的
"
apologize,"vi. 道歉, 辩解"
apology,"n. 道歉, 辩护
"
appall,"vt. 使丧胆, 使惊骇"
appalling,"a. 骇人的, 令人震惊的"
apron,"n. 围裙
"
arbitrarily,"adv. 任意地, 武断地, 专横地, 反复无常地"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
arbitrate,"vt. 仲裁, 公断
vi. 进行仲裁"
arbitration,"n. 仲裁, 公断
"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
arithmetic,"n. 算术, 算术知识
"
armament,"n. 军备, 军队, 武器
"
armor,"n. 盔甲, 潜水服, 装甲
vt. 为...装甲"
artillery,"n. 火炮, 炮兵, 炮术
"
atlas,"n. 地图集, 图表集
"
attorney,"n. 代理人, 律师
"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
bacon,"n. 熏猪肉
"
badminton,n. 羽毛球运动
balcony,"n. 阳台, 戏院楼厅"
banquet,n. 宴会
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
barber,n. 理发师
barbershop,n. 理发店
barometer,"n. 气压计
"
barracks,"n. 兵营, 营房；简陋的房子；警察所（barrack的复数）"
baseball,"n. 棒球
"
bass,"n. 低沉的声音, 男低音, 椴树
a. 低音的"
bath,"n. 沐浴, 浴室
"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
battalion,"n. 营, 军队, 集团"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
beetle,"n. 甲虫, 大槌
vi. 快速移动
vt. 捶"
beg,"v. 乞求, 乞讨, 请求"
beggar,"n. 乞丐
vt. 使贫穷, 使成乞丐"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
biscuit,"n. 饼干
"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
blouse,n. 宽松的上衣
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
blunt,"a. 钝的, 坦率的, 麻痹的"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
bonus,"n. 奖金, 红利
"
bony,"a. 如骨的, 多骨的, 瘦骨嶙峋的"
botanical,"a. 植物学的
n. 植物性药材"
botany,"n. 植物学
"
bouquet,"n. 花束
"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
brandy,"n. 白兰地酒
"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
brigade,"n. 旅, 队
"
brochure,"n. 小册子, 小册"
broom,"n. 扫帚, 金雀花
vt. 扫除"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
bucket,"n. 桶
"
Buddhism,n. 佛教
buffalo,"n. 水牛
"
buffer,"n. 缓冲器, 缓冲区
vt. 缓冲
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
bulb,"n. 球茎, 电灯泡
"
bull,"n. 公牛
"
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
cabbage,"n. 卷心菜
"
café,无
cafeteria,"n. 自助餐厅
"
calcium,"n. 钙
"
calf,"n. 小牛, 小牛皮, 腓肠
"
calorie,n. 卡路里（热量单位）
camel,"n. 骆驼, 打捞浮筒"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
candle,"n. 蜡烛
vt. 对着光检查"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
cannon,"n. 大炮, 加农炮
v. 炮轰"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
canvas,"n. 帆布, 画布, 油画
"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
cape,"n. 岬, 海角, 披肩, 斗蓬"
caravan,"n. 旅行队, 有篷顶的大车
"
carrot,"n. 胡萝卜
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
cartoonist,n. 漫画家
casino,"n. 卡西诺赌场, 卡西诺牌戏"
cathedral,n. 大教堂
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
centigrade,"a. 百分度的, 摄氏的
"
centimeter,"n. 厘米
"
century,"n. 世纪, 百年"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
chapel,"n. 小教堂, 礼拜式"
cheek,"n. 颊, 厚颜, 脸蛋
"
chimney,"n. 烟囱, 灯罩
"
chocolate,"n. 巧克力
a. 巧克力制的"
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
cholesterol,"n. 胆固醇
"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
Christ,"n. 基督, 救世主"
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
Christianity,"n. 基督教, 基督教精神"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
cigar,n. 雪茄
cigarette,"n. 香烟, 纸烟"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
cliché,无
clothe,"vt. 给...穿衣, 盖上, 赋予"
cocaine,"n. 可卡因, 古柯碱
"
cockpit,"n. 驾驶员座舱, 战场"
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
coconut,"n. 椰子
"
colonel,"n. 陆军上校, 长官"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
Confucian,"a. 孔子的, 儒家学说的, 儒家的, 孔夫子的, 孔丘的
n. 孔子的门徒, 儒家"
Confucianism,"n. 孔子思想, 儒家思想"
copper,"n. 铜, 警察
"
cord,"n. 绳索, 束缚
"
cork,"n. 软木塞, 软木树, 软木
"
corporal,"n. 下士
a. 肉体的, 身体的, 个人的"
corps,"n. 军, 队, 部队, 兵种
"
corpse,"n. 尸体
"
corridor,"n. 走廊, 回廊, 人口密集地带"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
counterfeit,"n. 赝品, 伪造品
a. 假冒的, 假装的
v. 仿造, 伪装, 假装"
countryside,"n. 乡下地方, 乡下居民"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
cow,"n. 母牛, 母兽
vt. 威胁"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
cracker,"n. 饼干, 爆竹
"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
crocodile,n. 鳄鱼
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
crystallize,"vt. 使结晶, 使具体化
vi. 结晶, 具体化"
cub,"n. 幼兽, 年轻人"
cucumber,"n. 黄瓜
"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
darken,"vt. 弄暗, 使模糊
vi. 暗下来, 颜色变深"
darkness,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知"
deer,n. 鹿
diabetes,"n. 糖尿病, 多尿症
"
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
diameter,"n. 直径
"
diamond,"n. 钻石, 菱形
"
diary,"n. 日记
"
dime,n. 10分硬币(美、加)
dinosaur,n. 恐龙
dioxide,"n. 二氧化物
"
disco,"n. 夜总会, 迪斯科, 的士高"
dish,"n. 盘子, 碟, 菜肴
"
disk,"n. 圆盘, 磁盘
"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
dole,"n. 救济品, 失业救济金
vt. 发放救济"
doll,"n. 洋娃娃, 无头脑的美丽女人"
dolphin,n. 海豚
donkey,"n. 驴子, 笨蛋, 顽固者, 辅助发动机, 辅助泵"
dragon,"n. 龙, 凶暴的人
"
drawer,"n. 抽屉, 开票人
"
duke,n. 公爵
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
eagle,"n. 鹰, 鹰状标饰"
eggplant,n. 茄子
embroidery,"n. 刺绣品, 粉饰, 刺绣"
empire,"n. 帝国, 帝权"
etiquette,"n. 礼仪, 礼节, 成规
"
euro,n. 欧元（欧盟的统一货币单位）
fabulous,"a. 传说的, 寓言般的, 难以置信的"
farewell,"n. 辞别, 再见, 再会
interj. 再会"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
fever,"n. 发烧, 发热, 热病
"
feverish,"a. 发热的, 极度兴奋的, 不安的"
fisherman,"n. 渔夫, 钓鱼者, 渔船"
flank,"n. 侧面, 侧腹, 胁, 腰窝肉
vt. 攻击侧面, 守侧面
vi. 侧面与...相接"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
foe,"n. 仇敌, 反对者, 敌人, 对手"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
foggy,"a. 雾深的, 模糊的"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
frog,"n. 青蛙
"
gallon,"n. 加仑
"
garlic,"n. 大蒜
"
gasoline,"n. 汽油
"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
geometric,"a. 几何学的, 几何学上的, 几何学图形的"
geometrically,"adv. 用几何学, 几何学上"
geometry,"n. 几何学
"
ginger,"n. 姜, 精力, 姜黄色
a. 姜黄色的
vt. 用姜调味, 使活泼, 使有生气"
gland,"n. 腺, 密封套
"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
glossary,"n. 专业词典, 术语集, 词表
"
glove,"n. 手套
vt. 给...戴手套"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
golf,"n. 高尔夫球
vi. 打高尔夫球"
goose,"n. 鹅, 雌鹅, 鹅肉, 弯把熨斗
vt. 与...性交, 突然加大油门, 使生色, 喝倒彩"
grape,"n. 葡萄, 葡萄树
"
grassy,"a. 草绿色的, 象草的, 长满草的"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
grove,n. 小树林
hairy,"a. 多毛的, 毛状的, 长毛的"
hall,"n. 门厅, 走廊, 会堂"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
harmless,"a. 无害处的, 未受损害的, 无辜的, 无恶意的
"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
headache,"n. 头痛, 令人头痛之事
"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
hectare,"n. 公顷
"
hell,"n. 地狱, 邪恶势力, 苦境, 阴间, 毁坏, 训斥
vi. 狂饮, 飞驰"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
heroin,"n. 海洛因, 吗啡
"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
hive,"n. 蜂房, 闹区, 蜜蜂群
vi. 进入蜂房, 储藏蜜于蜂房, 如蜂般群居
vt. 使进蜂房, 储备
"
hockey,"n. 冰球, 曲棍球"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
homogeneous,"a. 同种的, 同质的, 齐性的
"
homosexual,"a. 同性恋的
n. 同性恋者"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
honeymoon,"n. 蜜月, 蜜月假期
vi. 渡蜜月"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
horsepower,"n. 马力
"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
hotdog,v. 卖弄
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
hurricane,"n. 飓风, 暴风, 暴风雨"
hydrogen,"n. 氢
"
hygiene,"n. 卫生保健, 卫生学, 保健法
"
hygienic,"a. 卫生学的, 卫生的, 促进健康的, 清洁的
"
hyphen,"n. 连字符
vt. 用连字符连接"
incandescent,"a. 白热的, 闪闪发光的, 辉耀的, 灿烂的
"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
inertia,"n. 惯性, 惰性, 迟钝
"
influenza,"n. 流行性感冒
"
