Abacavir,"n. 【药】阿巴卡韦
"
bullet,"n. 子弹
"
bullous,"a. [医]大疱的,大泡的"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
bunion,"n. 拇趾囊肿
"
bupleurum,n. 柴胡属
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
burdock,"n. 牛蒡
"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
burning,"a. 燃烧的, 象燃烧一样的
n. 烧, 燃烧"
bursa,"n. 囊, 黏液囊
"
bursitis,"n. 黏液囊炎
"
butazone,[化] 丁氮酮
buttock,"n. 半边臀部, 屁股, 船尾突出部
vt. 过背摔"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
by-product, 副产品，副产物
byssinosis,n. 绵纤维吸入性肺炎
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
cache,"n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器
vt. 隐藏, 窖藏
"
cachectin,[网络] 恶液质素；恶病质素；恶液素
cachexia,"n. 恶病质, 极瘦弱
"
cadaver,"n. 死尸, 尸体
"
cadence,"n. 韵律, 抑扬, 调子, 节奏
"
cadherin, 钙黏着蛋白
cadmium,"n. 镉
"
caffeine,"n. 咖啡因, 咖啡碱
"
calamine,
calamus,"n. 菖蒲, 白藤, 羽根
"
calcaneocuboid,[医] 跟骰的
calcaneum,[医] 跟骨
calcicosilicosis,[医] 钙硅沉着病
calcific,"a. 钙化的
"
calcification,"n. 钙化
"
calcify,"vi. 变成石灰质, 钙化
vt. 使钙化"
calcineurin,钙依赖磷酸酶
calcinosis,n. [医](普遍性) 钙质沉着
calcite,"n. 方解石
"
calcitonin,[化] 降钙素
calcitriol,[化] 骨化三醇
calcium,"n. 钙
"
calculate,"v. 计算, 预测, 计划, 打算"
calculous,"a. 结石的
"
calculus,n. 结石；微积分学
calf,"n. 小牛, 小牛皮, 腓肠
"
caliber,"n. 口径, 才干, 水准
"
calibrate,"vt. 测定口径, 校准, 使标准化, 调整
"
calibration,"n. 口径测定, 刻度, 校准
"
calibrator,"n. 校准器
"
Caliciviridae,n. 杯状病毒科
callosity,"n. 硬皮, 老茧皮, 无情
"
callostasis,无
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
callus,"n. 皮肤的硬皮, 胼胝, (植物伤口的)愈合组织, 老茧
"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
calmodulin,[化] 钙调蛋白; 钙结合调节剂蛋白
calnexin,[网络] 钙联蛋白；钙联结蛋白；钙连接蛋白
calomel,"n. 甘汞
"
calorie,n. 卡路里（热量单位）
calorimetry,"n. 量热学
"
calreticulin,[网络] 钙网蛋白；钙网织蛋白；钙网素
calsequestrin,[化] 肌集钙蛋白
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
camphor,"n. 樟脑
"
camphorwood,n. 樟木
camptodactyly,[医] 屈曲指
camptomelic,肢弯曲的
campylobacter,n. 弯曲菌
campylobacteriosis,弯曲菌病
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
canalicular,"a. [动][植]小管的,微管的, 似小管的,似微管的"
canaliculus,"n. 小管, 微管
"
cancer,"n. 癌, 恶性肿瘤
"
cancerous,"a. 癌的, 似癌的, 生癌的
"
cancrum,[拉](坏疽性)溃疡
Candida,[医] 念珠菌属
candidate,"n. 候选人, 投考者
"
candidiasis,[医] 念珠菌病
candidosis, 念珠菌病
candiduria,念珠菌尿
canid,n. [动]犬科动物(包括家犬、狼、狐等)
cannabinoid,"n. 大麻的化学成分（可指任何一种, 如四氢大麻醇、大麻醇等）"
cannabis,"n. 大麻
"
cannula,"n. 套管
"
cantharides,n. [药]干斑蝥(粉)
capability,"n. 能力, 性能, 约束力
"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
"
capillarisin,茵陈色原酮
capillarization,"n. 毛细血管化
"
capillary,"n. 毛细管
a. 毛状的, 毛细管的"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
capitellum,(骨的)小头
capping,"[医] 髓盖, 盖髓术, 盖髓物"
capsid,n. 衣壳
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
Caralluma,[网络] 水牛角属；水牛掌属；紫龙角
caramel,"n. 焦糖, 卡拉梅尔糖
"
carbachol,"n. [药]卡巴可,氯化氨甲酰胆碱,碳酰胆碱"
carbamazepine,[化] 卡马西平; 酰胺咪嗪
carbenicillin,n. [微]羧苄青霉素
carbide,"n. 碳化物
"
carbodiimide,
carbohydrase,n. [生化]糖酶
carbohydrate,"n. 碳水化合物, 糖类
"
carbomer,[网络] 卡波姆；卡波莫；卡波姆胶
carbon,"n. 碳, 副本, 复写纸
"
carbon dioxide,"二氧化碳
"
carbonic,"a. 碳的, 由碳得到的
"
carboplatin,n. 卡波铂
carbopol,聚羧乙烯; 聚羧乙烯
carboxyhaemoglobin,[化] 碳氧血红蛋白
carboxylase,n. [化]碳酸酵素
carboxylation,
carboxypolymethylene,[化] 羧聚乙烯
carbuncle,"n. 痈, 红玉, 红榴石
"
carcinoembryonic, [医]癌胚的
carcinofetal,无
carcinogen,"n. 致癌物质
"
carcinogenesis,"n. 致癌作用, 癌发生
"
carcinogenic,"a. 致癌作用, 癌发生
"
carcinogenicity,[医] 类癌瘤
carcinoid,"a. 良性肿瘤的
n. 良性肿瘤"
carcinoma,"n. 癌
"
carcinomatosis,n. [医]癌扩散
carcinomectomy,[医] 癌切除术
carcinosarcoma,n. 癌肉瘤
cardia,"n. 贲门
"
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
cardioaccelerator,"n. 【药理学】心脏搏动加速器；心动加速剂
adj. 心动加速的；加速心脏搏动的"
cardiogenic,"a. 心原性的, 心脏发生的
"
cardioinhibitory, [医]心动抑制的
cardiology,"n. 心脏病学
"
cardiomegaly,"n. 心脏肥大
"
cardiomyopathy,n. 心肌病
cardioneurosis,"[医] 心神经机能病, 心神经衰弱"
cardioplegia,"[医] 心麻痹, 心瘫痪"
cardiopulmonary,"a. 心肺的
"
cardioregulatory,心脏调节的
cardiorespiratory,"a. 心和肺的, 心脏呼吸的
"
cardiotonic,"a. 强心的, 强心剂
n. 强心的, 强心剂"
cardiotoxicity,[网络] 心脏毒性；心肌毒性；心脏中毒
cardiovascular,"a. 心血管的
"
cardioversion,"n. [医]心律转变法,复律法"
carditis,"n. 心脏炎
"
caries,"n. 龋, 骨疡
"
carina,"n. 隆线
"
carminative,"a. 排出胃肠气体的
n. 驱风止痛剂"
carnitine,
carotene,"n. 胡萝卜素
"
carotid,"n. 颈动脉
a. 颈动脉的"
carotin,n. (=carotene)[生化]胡罗卜素
carpus,"n. 腕, 腕骨
"
carrier,"n. 运送者, 邮递员, 带菌者
"
cartilage,"n. 软骨
"
carvedilol, [医]卡维地洛第三代β受体阻滞剂，具有非选择性扩张血管作用，用于心力衰竭治疗。
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
casein,"n. 酪蛋白
"
caseous,"a. 干酪的
"
caspase, [医]半胱天冬酶
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
castorbean,蓖麻子
castration,"n. 去雄蕊, 修正, 阉割
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
catabolism,"n. 异化作用, 分解代谢
"
catabolize,"v. (使)异化, (使)发生分解代谢"
catalase,"n. 过氧化氢酶
"
catalyse,"v. 催化, 促成"
catalysis,"n. 刺激(或促进)作用, 催化作用
"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
catalytic,"a. 催化的
"
cataplexy,"n. 猝倒
"
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
"
catarrh,"n. 黏膜炎, 卡他
"
catarrhal,"a. 卡他, 粘膜炎
"
catecholamine,"n. 儿茶酚胺, 邻苯二酚胺
"
catechu,"n. 儿茶
"
categorically,"adv. 无条件, 绝对, 明白, 断言, 明显, 明确, 范畴"
categorize,"vt. 分类, 归类"
category,"n. 种类, 类项
"
catenin,"联蛋白, 连环链蛋白"
cathartic,"n. 泻药, 通便药
a. 通便的, 导泻的"
cathepsin,"n. 组织蛋白酶
"
catheter,"n. 导管
"
catheterization,"n. 导管插入(术)
"
catheterize,"vt. 将导管插入
"
caudal,"a. 尾部的, 近尾部的
"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
causalgia,"n. 灼痛
"
causally,adv. 有原因地
causation,"n. 因果关系, 原因
"
causative,"a. 成为原因的
n. 使役动词"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
cauterization,"n. 烧灼, 腐蚀
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
cautiously,adv. 慎重地
caveolin,"窖蛋白, 小窝蛋白"
cavernitis,(阴茎)海绵体炎
cavernosogram,"尿道海绵体造影片,阴茎海绵体造影片"
cavernous,"a. 似巨穴的
"
cavitate,"v. 成穴,空化"
cavitation,"n. 成穴, 空化(作用)
"
cavity,"n. 洞, 空穴, 腔
"
cavus,"弓形足, 爪形足"
cease,"n. 停止
v. 停止, 终了"
cecum,"n. 盲肠, 盲端
"
cefazolin,[化] 头孢唑啉
cefotaxime,[化] 头孢噻肟
ceftazidime,[化] 头孢他啶; 头孢噻甲羧肟
cefuroxime,[化] 头孢呋辛
Celastrol,[建] 南蛇藤醇
cell,"n. 单元, 细胞, 电池
"
cellular,"a. 细胞的
"
cellularity,"n. 细胞性, 细胞结构
"
cellulitis,"n. 蜂窝织炎
"
cellulose,"n. 纤维素
"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
census,"n. 户口普查
vt. 实施统计调查"
Centella,积雪草
centenarian,"n. 百岁老人
a. 百岁老人的"
centenary,"n. 一百年
a. 一百年的"
centigrade,"a. 百分度的, 摄氏的
"
centimeter,"n. 厘米
"
centimorgan,[遗]厘摩(基因交换单位)
centrally,"adv. 在中心, 在中央"
centrifuge,"n. 离心机
vt. 使受离心作用, 用离心机分离"
centrilobular,a. [解]小叶中心的
centroblast,[网络] 中心母细胞；生发中心母细胞
centrocyte,"[医] 中心细胞, 利普许茨氏细胞(见于红色苔癣)"
centromere,"n. 着丝点, 着丝粒
"
centrosome,"n. 中心体
"
cephalad,adv. 向头部地
cephalic,"a. 头的
"
cephalohematoma,头血肿; 胎头血肿
cephalosporin,"n. 头孢菌素
"
ceramide,n. [生化]神经酰胺
cercaria,"n. 摇尾幼虫, 尾蚴
"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
cerebellum,"n. 小脑
"
cerebral,"a. 脑的, 大脑的
"
cerebritis,"n. 大脑炎
"
cerebroside,n. [生化]脑苷脂
cerebrospinal,"a. 脑脊髓的
"
cerebrovascular,[医] 脑血管的
cerebrum,"n. 大脑
"
ceresin,n. (纯)地蜡
certainty,"n. 确定, 确实的事情
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
certification,"n. 证明
"
certify,"v. 证明, 保证"
ceruloplasmin,n. [生化]血浆铜蓝蛋白
cervical,"a. 颈的, 子宫颈的
"
cervicitis,n. 子宫颈炎
cervix,"n. 器官的颈部, 颈
"
cesarean,"a. 凯撒的, 皇帝的"
cessation,"n. 停止
"
cetirizine,[网络] 西替利嗪；西替立嗪；盐酸西替利嗪
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
chalazion,[医]睑板腺囊肿
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
chamoishorn,无
chancre,"n. 下疳, 初疮
"
chancroid,"n. 软下疳
"
changeability,"n. 可变性
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
chapter,"n. 章, 篇, 重要章节
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
characteristically,adv. 表示特性地
characterize,"vt. 描绘...的特性, 刻划...的性格"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
checklist,"n. 清单, (美)选举人名单, 名册, 目录册"
checkpoint,"n. 检查站
"
chelation,[化] 螯合作用; 螯环化
chemerin,[网络] 趋化素；分泌异常水平的趋化素
chemobiodynamics,化学生物动力学
chemokine, 趋化因子
chemokinesis,(生物的)化学运动性
chemolysis,"n. 化学分解, 化学分析"
chemonucleolysis,[网络] 髓核化学溶解术；化学溶核术；化学核溶解术
chemoprophylaxis,"n. 传染病的化学预防法
"
chemosis,球结膜水肿
chemotactic,"a. 趋化性的, 趋药性的
"
chemotaxis,"n. 趋化性, 趋药性
"
chemotherapeutic,"a. 化学疗法, 化学治疗"
chemotherapy,"n. 化学疗法
"
Chernobyl,[经] 车诺比
chest,"n. 胸, 胸部, 衣柜, 箱子
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
chiasma,"n. 交叉
"
chicken-pox,水痘
childbearing,"n. 分娩
"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
chimera,"n. 客迈拉(狮头、羊身、蛇尾的吐火女怪), 假想的妖怪, 妄想
"
chimeric,"a. 妄想的, 荒诞不经的"
chimerism,"n. [生]嵌合现象,嵌合性"
Chinonin,"杧果素,芒果甙,知母宁"
chipping,"n. 碎屑, 破片
"
chitin,"n. 几丁质, 壳多糖
"
chitosan,"[药]壳聚糖, 脱乙酰壳多糖, 脱乙酰几丁质, 聚氨基葡萄糖"
chlamydia,n. [微]衣原体
chlamydial, [医]衣原体的
chlamydiosis,衣原体病
chloralose,"n. [化]氯醛糖, 氯醛缩葡萄糖( 用作安眠剂)"
chloramphenicol,"n. 氯霉素
"
chlordiazepoxide,"n. 甲氨二氮草, 利眠宁
"
chloride,"n. 氯化物
"
chlorinate,"vt. 使氯化, 用氯消毒"
chlorination,"n. 氯化, 用氯处理
"
chlorine,"n. 氯
"
chlorobutanol,
chlorocresol,氯化甲酚
chloroethylnitrosourea,无
chlorofluorocarbon,n. <化>含氯氟烃（即破坏臭氧层的CFC）
chloroform,"n. 氯仿
vt. 用氯仿麻醉"
chloroma,"绿色白血病, 绿色瘤"
chloromycetin,"n. 绿霉素
"
chlorophyll,"n. 叶绿素, 含有叶绿素的绿色蜡状物质
"
chloroplast,"n. 叶绿体
"
chloroquine,"n. 氯奎, 氯喹
"
chlorpromazine,"n. 氯丙嗪
"
chlortetracycline,"n. 氯四环素, 金霉素
"
chocolate,"n. 巧克力
a. 巧克力制的"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
cholangiocarcinoma," 肝胆管型肝癌, 肝外胆管癌, 肝小胆管癌"
cholangiography,"n. 胆管造影术
"
cholangiopancreatography, 胆管胰造影术
cholangitis,"n. 胆管炎
"
cholecalciferol,n. 维生素D3
cholecystectomy,"n. 胆囊切除术
"
cholecystis, [医]胆囊
cholecystitis,"n. 胆囊炎
"
cholecystography,n. [医]胆囊照相术
cholecystokinin,"n. [生化]缩胆囊素,缩胆囊肽, 肠促胰酶肽"
cholecystostomy,n. [医]胆囊造口术
cholecystotomy,[医] 胆囊切开术
choledocholithiasis,[医] 胆总管石病
cholelithiasis,n. [医]胆石病
cholera,"n. 霍乱
"
choleretic,利胆剂
cholestasis,"n. 胆汁郁积, 胆汁阻塞
"
cholesterol,"n. 胆固醇
"
cholesteryl,[医] 胆甾醇基
cholinergic,"a. 胆碱能的, 类似乙酰胆碱的, 被乙酰胆碱活化的, 释放出乙酰胆碱的
n. 胆碱能药, 拟副交感神经药"
cholinesterase,"n. 胆碱酯酶
"
chondral,a. 软骨的
chondroblastoma,[医] 成软骨细胞瘤
chondrocyte,[医] 软骨细胞
chondrodysplasia,"[医]软骨发育异常, 软骨发育不良"
chondrolysis,[医] 软骨溶解
chondroma,n. [医]软骨瘤
chondrosarcoma,[医] 软骨肉瘤
chordoma,"n. [医]脊索癌,脊索瘤"
chorea,"n. 舞蹈病
"
choreiform,a. [医]舞蹈病样的
choreoathetoid,舞蹈手足徐动症样的
chorioamnionitis,绒毛膜羊膜炎
choriocarcinoma,n. [医]绒(毛)膜癌
chorio-epithelioma,"[医] 绒[毛]膜上皮癌, 绒[毛]膜瘤"
chorion,"n. 绒毛膜, 浆膜, 卵壳
"
chorionic,[医] 绒[毛]膜的
chorioretinitis,[医]脉络视网膜炎
choroid,"a. 脉络膜的
n. 脉络膜"
chromatic,"a. 彩色的, 色品的, 易染色的
"
chromatid,"n. 染色单体
"
chromatin,"n. 核染质, 染色质
"
chromatogram,"n. 色层分离谱
"
chromatography,"n. 色谱法
"
chromatolysis,"n. 染色质溶解
"
chromium,"n. 铬
"
chromoblastomycosis,"[医] 着色真菌病, 黄色酿母菌病"
chromogenic,"a. 发色的, 发色体的"
chromomycin,色霉素
chromophore,"n. 发色团, 色基
"
chromophoric,"a. [生]发色团的, 载色体的"
chromoprotein,"n. [生化]色素蛋白, 色蛋白"
chromosomal,"a. 染色体
"
chromosome,"n. 染色体
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
chronically,"adv. 慢性地, 长期地, 习惯性地"
chronobiology,"n. [生]时间生物学, 生物钟学"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
chronopharmacokinetics,[网络] 时辰动力学；时辰药物动力学；药动学
chrysomonad, [医]金滴虫
chyle,"n. 乳糜
"
chylomicron,n. [生化]乳糜微滴
chylothorax,"n. [医]乳糜性水胸,乳糜胸"
chylous,[医] 乳糜的
chyluria,[医] 乳糜尿
chymotrypsin,"n. 胰凝乳蛋白酶, 糜蛋白酶
"
cicatricial,a. [医][植]瘢痕的
cigarette,"n. 香烟, 纸烟"
ciliary,"a. 眼睫毛的, 纤毛的, 纤毛状的
"
ciliate,"a. 有睫的, 有纤毛的
n. 纤毛纲的动物, 纤毛虫"
ciliated,"a. 有睫的, 有纤毛的
"
cilium,"n. cilia的单数
"
cimetidine,"n. 西米地丁
"
cinnamaldehyde,
cinnamicalcohol,无
cinnamon,"n. 肉桂, 肉桂树皮, 肉桂色
a. 肉桂色的, 浅黄褐色的"
ciprofloxacin," [医]环丙沙星：合成抗菌药, 对革兰氏阳性和阴性包括一些对青霉素类、头孢菌素灰和氨基糖苷类抗药的菌株, 亦可收效"
circadian,a. 24小时生理节奏的
circulate,"v. (使)流通, (使)循环, (使)传播"
circulation,"n. 流通, 循环, 发行量
"
circulatory,"a. 循环的
"
circumcise,"vt. 割除...的包皮, 对...进行环切术, 割除...的阴蒂, 净(心)"
circumcision,"n. 包皮环割术, 环切术, 犹太教的割礼, 净心, 犹太人
"
circumduction,环行(运动)
circumference,"n. 圆周, 周缘, 胸围
"
circumscribe,"vt. 在...周围画线, 限制"
circumstance,"n. 环境, 状况, 事件"
cirrhosis,"n. 肝硬化
"
cisplatin," [医]顺-二氯二氨络铂, 顺铂, 顺氯氨铂, 氯氨铂"
cis-platinum," [医][=cis-diamminedichloroplatinum]Ⅱ顺氯氨铂, 顺氯氨铂, 顺铂"
cisterna,"n. [解] 池, 内胞浆网槽"
cistron,"n. 顺反子, 作用子
"
cite,"vt. 引用, 引证, 表彰
"
citrate,"n. 柠檬酸盐
"
citrobacter, [医]柠檬酸细菌属
citrullinemia,瓜氨酸血
civilization,"n. 文明, 教化
"
cladothrix,[医] 分支丝菌属
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
clamp,"n. 夹钳
vt. 夹紧, 强加"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
clarithromycin, [医]克拉霉素：大环，内酯抗生素，对革兰氏阳性和阴性细菌的抗菌谱甚广，口服用于呼吸道以及皮肤和软组织感染的治疗
clarity,"n. 清楚, 明晰
"
classical,"a. 古典的, 正统派的, 经典的
"
classification,"n. 分类, 分级
"
classify,"vt. 分类, 归类, 分等
"
clastogen,断裂剂
clastogenesis,[网络] 诱裂发生；染色体异常诱发；断裂作用
claudication,"n. 跛行
"
claustrophobia,"n. 幽闭恐怖症
"
clavicle,"n. 锁骨
"
cleanse,"vt. 使清洁, 净化, 使纯净
"
cleanser,"n. 使清洁的东西, 清洁剂, 清洁工
"
clearance,"n. 清除, 间隙
"
cleavage,"n. 劈开, 裂片, 分裂
"
cleft,"n. 裂缝, 裂口
a. 劈开的
cleave的过去式和过去分词"
client,"n. 客户, 顾客, 委托人
"
climacteric,"n. 更年期, 绝经, 断经, 断经期, 危机, 转折点, 危机期
a. 更年期的, 危机的, 关键的"
climate,"n. 气候, 社会趋势, 气候区
"
clindamycin,[化] 克林霉素; 氯洁霉素; 氯林肯霉素
clinodactyly,"n. 手指弯曲变形, 手指弯斜"
clinical,"a. 临床的, 门诊部的
"
clinically,"adv. 临床, 临诊, 冷静, 不偏不倚, 分析"
clinician,"[医] 临床医师, 临证医师"
clinicopathologic,a. [医]临床病理(学)的
clitoris,"n. 阴核, 阴蒂
"
cloaca,"n. 泄殖腔, 阴沟
"
clofibrate,"n. [医]降固醇酸,安妥明"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
clomiphene,"n. 克罗米酚,舒经酚(一种合成的助生育药)"
clonal,"a. 无性系的, 克隆的
"
clone,"n. 无性系
"
clonidine,[化] 可乐定
cloning,
clonorchiasis,支睾吸虫病
clonotypic,adj. 克隆型的
clonus,"n. 阵挛
"
closed-circuit,
clostridial,"a. [生]梭菌的, 梭菌属的"
clostridium,[医] 梭状芽胞杆菌
clot,"n. 凝块, 一团
v. (使)凝结, (使)聚集"
clotrimazole,[化] 克霉唑
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
clubbing,"[医] 杵状变(指,趾)"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
clump,"n. 丛, 块, 笨重的脚步声
"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
coadministration,[网络] 作用程度分级为可以合用
coaggregation,[网络] 细菌共凝集；共聚；共凝集作用
coagulability,"n. 凝结力, 凝固性
"
coagulase,n. [生化]凝固酵素
coagulate,"v. (使)凝结
a. 凝结的"
coagulation,"n. 凝结, 凝结物
"
coagulative,"a. 凝结物的, 凝固物的
"
coagulin,"[医] 凝血致活酶, 凝血活素; 凝固素"
coagulopathy, 凝血病
coagulum,"n. 凝结物, 凝固物
"
coal,"n. 煤, 木炭
v. 加煤"
coalesce,"vi. 合并, 联合, 合生
"
coarctation,"密集, 收缩"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
coating,"n. 涂层, 上衣衣料
"
cobalamin,"n. 钴胺素, 维生素B12
"
cobalt,"n. 钴, 钴类颜料
"
cocaine,"n. 可卡因, 古柯碱
"
co-carcinogen,[医] 辅致癌物质
co-carcinogenesis,"协癌过程,合致癌作用"
coccobacillus,[生]球杆菌
coccus,"n. 分果爿, 球菌
"
coccyx,"n. 尾骨
"
cochlea,"n. 蜗
"
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
codeine,"n. 可卡因, 可待因
"
codominant,"a. [生]等显性的,共显性的"
codon,"n. 密码子
"
coefficient,"n. 系数
"
coenzyme,"n. 辅酶
"
coexist,vi. 共存
cofactor,"n. 余因子
"
coferment,辅酶
coffee,"n. 咖啡, 咖啡色
"
cognitive,"a. 认知的, 认识的"
cognizant,"a. 察知的, 认识到的, 有认识能力的
"
cohesion,"n. 结合, 黏聚, 内聚
"
cohesive,"a. 黏合在一起的
"
cohesiveness,[建] 粘结性
cohort,n. 一群；步兵大队；支持者；共同特点的一群人
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
coincide,"vi. 一致, 符合
"
coincidence,"n. 巧合, 同时发生
"
coincident,"a. 一致的, 符合的, 同时发生的"
coincidental,"a. 一致的, 符合的, 巧合的"
coitus,"n. 性交, 交媾
"
coke,"n. 可口可乐, 焦炭
v. (使)成焦炭"
cokeromyces,无
colchicine,"n. 秋水仙碱
"
colectomy,[医] 结肠切除术
colibacillosis,大肠杆菌病
colic,"n. 绞痛, 急腹痛
"
colicky,"a. 绞痛的, 急腹痛的"
coliform,"n. 大肠菌
a. 大肠菌状的"
colitis,"n. 结肠炎
"
collaborate,"vi. 合作, 勾结
"
collaboration,"n. 合作, 勾结
"
collaborative,"a. 合作的, 协作的"
collagen,"n. 胶原
"
collagenase,n. [生化]胶原酶
collagenous,[医] 胶原的; 产生胶原的
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
colleague,"n. 同事, 同僚"
collectin, 胶原凝集素
colletotrichum,刺盘孢（番茄等蔬菜炭疽病原菌）
collimator,"n. 准直仪
"
colliquative,"[医] 液化的, 溶化的"
colloid,"n. 胶体, 胶质, 胶态
a. 胶态的, 胶质的"
colloidal,"a. 胶态的, 胶质的
"
colon,"n. 冒号, 结肠
"
colonic,"a. 结肠的
"
colonization,"[医] 移生, 移地发育; 集中护理(精神病人)"
colonize,"vi. 开拓殖民地
vt. 殖民于, 移植于"
colonoscopy,"n. 结肠镜检查
"
colony,"n. 殖民地, 移民队
"
color,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
colorblindness,n. 色盲
colorectal,a. [解]结肠直肠的
coloring,"n. 着色, 色彩, 色调, 面色, 气色, 外貌, 伪装, 色素, 颜料, 染料, 着色剂, 特质
"
colostomy,"n. 结肠开口术
"
colostrum,"n. 初乳
"
colposcopy,[医] 阴道窥器检查
coltivirus,[网络] 科罗拉多壁虱热病毒；呼肠病毒科考蒂病毒；科州蜱传热病毒属
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
coma,"n. 昏迷, 麻木, 彗发
"
comatose,"a. 昏睡的, 昏睡状态的
"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
combination,"n. 组合, 合并, 联合
"
combustion,"n. 燃烧, 骚动
"
comedocarcinoma,[医]粉刺状癌
comet,n. 彗星
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
commence,"v. (使)开始, 得学位"
commencement,"n. 开始, 毕业典礼
"
commend,"vt. 嘉奖, 委托给, 推荐"
commensal,"a. 共餐的, 同桌的, 共生的
n. 共餐者, 共生体"
commensurate,"a. 同量的, 同等的, 相称的"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
commercially,adv. 商业上；通商上
comminuted,"v. 使成粉末, 粉碎, 分割( comminute的过去式和过去分词 )"
comminution,"n. 粉碎
"
