counteract,"vt. 抵消, 阻碍, 中和
"
abstinence,"n. 节制, 禁欲, 戒酒
"
unattainable,"a. 难到达的, 不可得到的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
tempestuous,"a. 有暴风雨的, 暴乱的"
attention,"n. 注意, 注意力
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extensive,"a. 广的, 广泛的, 多方面的
"
extent,"n. 范围, 程度, 区域
"
intend,"vt. 计划, 打算, 意思是
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
tendency,"n. 趋向, 倾向
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
intention,"n. 意图, 目的, 含义
"
pretend,"v. 假装, 伪称, 自命, 自称"
attentive,"a. 注意的, 留心的"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
thesis,"n. 论题, 论文"
hypothesis,"n. 假设
"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
photosynthesis,"n. 光合作用
"
photosynthetic,"a. 光合的
"
synthesis,"n. 综合, 组织, 综合体
"
attractive,"a. 吸引人的, 有魅力的
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
detract,"vi. 减去, 贬低
vt. 转移, 分散"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
distribute,"vt. 分配, 散布, 分发
"
tribute,"n. 贡物, 礼物, 颂辞"
entrust,"vt. 信托, 交托, 委托
"
truce,"n. 停战, 休战
vi. 停战, 休止
vt. 以休战结束"
trustworthy,"a. 可信赖的
"
trustee,"n. 受托人, 理事
"
prototype,"n. 原型
"
typical,"a. 典型的, 象征性的
"
atypical,"a. 非典型的
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
utilize,vt. 利用
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
utilization,"n. 利用
"
evacuate,"v. 疏散, 撤出, 排泄"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
vacation,"n. 假期, 休假
"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
invasive,"a. 侵入的, 侵略性的, 攻击性的"
invader,"n. 侵略者
"
invasion,"n. 侵犯, 侵入, 侵害
"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
prevail,"vi. 获胜, 流行, 盛行
"
prevalence,"n. 普遍, 流行, 广泛
"
available,"a. 可利用的, 可获得的, 有效的
"
evaluation,"n. 评估, 估价, 求值
"
invaluable,"a. 无价的, 价值无法衡量的"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
adventurous,"a. 喜欢冒险的, 有进取心的, 危险的"
advent,"n. 来到, 来临"
adventure,"n. 冒险, 冒险经历
v. 冒险"
convenience,"n. 方便, 便利的事物, 方便的时候"
convention,"n. 大会, 协定, 惯例, 约定
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
avenue,"n. 大街, 途径, 林荫路"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
preventive,"a. 预防的, 防止的
n. 防止物, 预防方法, 预防药"
ventilation,"n. 通风, 空气流通, 公开讨论
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
diverge,"vi. 分歧, 岔开
vt. 使岔开"
diversion,"n. 转移
"
diversity,"n. 差异, 多样性
"
version,"n. 一种描述, 版本, 译文
"
divert,"vt. 转移, 使欢娱
vi. 转移"
diverse,"a. 不同的, 变化多的"
extroverted,a. 外向性的；性格外向的；喜社交的
introverted,"a. 内向型性格的, 内倾的"
inversion,"n. 倒转, 倒置, 倒装
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
universe,"n. 宇宙, 星系, (思想等)范围"
versus,"prep. 对...
"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
perverse,"a. 乖张的, 故意作对的, 有悖常情的, 执迷不悟的, 歪曲的, 错误的, 不正当的
"
pervert,"vt. 使堕落, 使反常, 歪曲, 滥用, 使左右颠倒, 唆使...性变态
n. 堕落者, 行为反常者, 背教者, 性欲反常者"
convey,"vt. 传达, 运输, 转让
"
previous,"a. 早先的, 前面的, 过急的
"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
impervious,"a. 透不过的, 不易损坏的, 无动于衷的, 不受影响的
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
dividend,"n. 被除数, 股利
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
evidence,"n. 根据, 证据, 迹象
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
visual,"a. 视觉的
"
envisage,"vt. 面对, 正视, 想象"
provident,"a. 有先见之明的, 有远虑的, 节俭的"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
supervise,"v. 监督, 管理, 指导"
viewpoint,n. 观点
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
advisory,"a. 顾问的, 咨询的, 劝告的
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
viable,"a. 能养活的, 能生长发育的
"
reinvigorate,"vt. 使再振作, 使复兴"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
vivacious,"a. 活泼的, 快活的, 多年生的"
vivisect,"vi. 活体解剖
vt. 对...作活体解剖"
evoke,"vt. 唤起, 引起, 召(魂)
"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
equivocal,"a. 意义不明确的, 模棱两可的
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
astound,"vt. 使惊骇, 使大惊"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
avoid,"vt. 避免, 防止, 撤消
"
aware,"a. 知道的, 有觉悟的"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abase,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
amuse,"vt. 消遣, 娱乐, 使发笑"
amass,"vt. 积聚, 堆积"
apace,"adv. 快速地, 急速地"
astray,"adv. 迷途地, 入歧途地
"
avenge,"vt. 为...报复, 报仇"
alight,"vi. 落下, 偶然发现
a. 点着的"
afield,"adv. 离开着, 偏离着, 在战场上"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
atom,"n. 原子, 核能, 微粒, 微量
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
abduct,"vt. 诱拐, 绑架, 使外展
"
abjure,"vt. 发誓断绝, 公开放弃
"
abrade,"vt. 擦伤, 磨损, 磨
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
abrogate,"vt. 废除, 取消
"
abstruse,"a. 难解的, 深奥的"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
assert,"vt. 主张, 坚称, 断言
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
accustom,vt. 使习惯于
accustomed,"a. 惯常的, 习惯了的"
acquaint,"vt. 使认识, 介绍"
acquaintance,"n. 认识, 相识者"
appliance,"n. 器械, 用具, 应用
"
appoint,"vt. 任命, 指定, 下令
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
afflict,"vt. 使苦恼, 折磨"
accelerate,"v. 加速, 促进"
abound,"vi. 大量存在, 富于, 充满"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
accidentally,"adv. 偶然地, 意外地"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
aggravate,"vt. 使恶化, 使更严重, 加重"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
applaud,"v. 拍手喝彩, 称赞, 赞同"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
applause,"n. 鼓掌, 喝彩, 赞许"
allot,"vt. 分配, 分摊指定
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
arrogance,"n. 傲慢态度, 自大"
arrow,"n. 箭, 箭状物, 箭头记号"
ascertain,"vt. 确定, 查明
"
assiduous,"a. 勤勉的, 刻苦的"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
abhorrent,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的"
aborigine,"n. 土著, 土著居民, 土人"
accentuate,"vt. 以重音念, 强调, 重读"
acclimatise,v. <主英>=acclimatize
accordion,"n. 手风琴
a. 可折叠的"
affiliation,"n. 联系, 从属关系
"
acrobat,"n. 表演特技者, 杂技演员"
acrobatic,"a. 杂技演员的, 杂技的"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adjacent,"a. 毗连的, 邻近的, 连接的
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admission,"n. 准许进入, 入场费, 录用, 承认
"
adorn,"vt. 装饰, 使生色"
adumbrate,"vt. 画...的轮廓, 预示"
antibiotic,"n. 抗生素
a. 抗生的"
antibiotics,n. 抗生学；抗生素
antidote,"n. 解毒剂, 解毒药
"
antiseptic,"n. 抗菌剂, 防腐剂
a. 抗菌的, 防腐的"
antipathy,"n. 厌恶, 反感
"
automate,"vt.vi. (使)自动化
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automatically,"adv. 自动地, 机械地"
automobile,"n. 汽车
"
autocrat,n. 独裁者
autocratic,"a. 独裁的, 专制的"
autoimmune,a. 自体/自身免疫的
bewilder,"vt. 使迷惑, 使不知所措"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
behaviour,"n. 行为, 举止
"
belonging,[法] 附属物
beloved,"a. 心爱的
n. 心爱的人"
besiege,"vt. 围攻, 包围"
beware,"v. 小心, 谨防"
begrudge,"vt. 嫉妒, 羡慕, 勉强允给, 吝惜"
bereave,"vt. 使孤寂, 使丧失, 使失去"
bestir,"vt. 激励, 使忙碌"
beneficial,"a. 有益的, 受益的
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
benevolent,"a. 善意的, 慈善的"
benediction,n. 祝福
bilateral,"a. 有两边的, 双边的, 双方的
"
bilingual,a. 双语的
biannual,"a. 一年两次的
"
bicycle,n. 自行车
biennial,"n. 两年生植物, 两年一次的事
a. 两年生的, 两年一次的"
binocular,"a. 同时用两眼的, 两眼并用的
"
binoculars,"n. 双目镜, 双筒镜
"
biped,"n. 两足动物
a. 有两足的"
bisect,"v. 分成两部份, 对分"
collaborate,"vi. 合作, 勾结
"
connect,"v. 连接, 联合, 联系"
communal,"a. 公有的, 公社的
"
community,"n. 社区, 公众, 共有, 共同体
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
comparison,"n. 比较, 对照, 比喻
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
condemn,"vt. 判刑, 责备, 谴责
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
connection,"n. 连接, 关系, 前后关系
"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
compatible,"a. 能共处的, 可并立的, 适合的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
commerce,"n. 商业, 商务, 贸易
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
council,"n. 会议, 委员会
"
coeval,"a. 同时代的
n. 同时代的人"
coexist,vi. 共存
coexistence,"n. 共存, 和平共处, 并立"
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
coincidence,"n. 巧合, 同时发生
"
collaborative,"a. 合作的, 协作的"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
collate,"vt. 校对, 校勘
"
colleague,"n. 同事, 同僚"
committee,"n. 委员会
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
comparatively,"adv. 比较地, 相对地"
complicated,"a. 复杂的
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
concord,"n. 一致, 和睦, 协定"
concur,"vi. 同意, 一致, 同时发生
"
confer,"vt. 授予, 带来
vi. 协商"
confluence,"n. 合流, 合流点, 集合, 人群
"
congratulate,"vt. 祝贺, 庆贺"
consciousness,"n. 意识, 知觉, 自觉
"
consistency,"n. 坚硬性, 黏稠度, 一致性
"
consonant,"n. 辅音
a. 一致的, 调和的"
consortium,"n. 协会, 合伙, (国际性)财团
"
constraint,"n. 强制, 约束
"
consultation,"n. 请教, 咨询, 磋商会
"
cooperation,"n. 合作, 协力, 配合
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
correlation,"n. 相互关系, 相关, 关联
"
corresponding,"a. 相当的, 一致的, 通信的
"
colloquial,"a. 会话的, 口语的, 口语体的"
compatriot,"n. 同国人
a. 同国的, 同胞的"
compile,"vt. 编译, 编辑, 编纂, 收集
"
conjugal,"a. 婚姻的, 配偶的
"
conscientiousness, 责任心
compel,"vt. 强迫, 迫使"
combust,[建] 燃料
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
conviction,"n. 定罪, 信服, 坚信
"
convince,"vt. 说服, 使相信
"
consumption,"n. 消费, 消费量, 痨病
"
connote,"vt. 含蓄着, 内涵着, 意味着"
conduce,"vi. 有助于, 有益于, 有贡献于, 导致"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
concept,"n. 观念, 概念
"
comprise,"vt. 包含, 构成"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
compete,"vi. 竞争, 对抗"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
confidence,"n. 信心
"
complacent,"a. 满足的, 自满的, 得意的"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
comprehend,"vt. 理解, 包括"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
concede,"vt. 承认, 退让
vi. 让步"
conditionally,adv. 有条件地
confidant,"n. 心腹朋友, 知己"
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
consequent,"n. 随后发生的事情, 结果
a. 作为结果的, 合乎逻辑的"
conspicuous,"a. 显著的, 显眼的, 出众的"
contempt,"n. 轻视, 轻蔑
"
continuously,"adv. 不断地, 连续地
"
corrective,"a. 纠正的, 改正的, 矫正的
n. 改善法, 矫正物"
corroborate,"vt. 巩固, 确证
"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
corrosion,"n. 腐蚀, 侵蚀, 腐蚀产生的物质, 铁锈, 锈
"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
corruption,"n. 腐败, 堕落, 贪污
"
combustibility,"n. 燃烧性, 可燃性
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
controversy,"n. 论争, 辩论, 论战, 争论
"
controversial,"a. 争论的, 论争的, 被议论的"
contradiction,"n. 反驳, 矛盾
"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
detach,"vt. 使分离, 分遣
"
debris,"n. 碎片, 残骸
"
defense,"n. 防卫, 防卫物
"
deflect,"vt. 转移, 使偏斜
vi. 偏斜"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
detour,"n. 绕路, 迂回
v. (使)绕道"
deviance,[法] 越轨行为
deviation,"n. 背离
"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
department,"n. 部门, 系, 机关
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
debut,"n. 初次登台, 开张
v. 初次登台"
decelerate,v. (使)减速
decompression,
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
detect,"vt. 发现, 察觉, 探测
"
devastate,"vt. 毁坏
"
derelict,"a. 被抛弃了的, 无主的, 玩忽职守的
n. 遗弃物, 被遗弃的人, 玩忽职守者"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
detection,"n. 发现, 察觉, 探测
"
decipher,"vt. 译解, 解释
n. 密电译文"
defective,"a. 有缺陷的, 欠缺的
n. 有缺陷的人, 不完全变化词"
deformity,"n. 残缺, 畸形, 残缺者
"
dehydrate,"vt. (使)脱水
"
delude,"vt. 迷惑, 蛊惑"
deprivation,"n. 剥夺, 剥夺官职, 免职
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
dedicate,"vt. 献出, 贡献"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
determine,"v. 决定, 决心"
devote,"vt. 投入于, 献身"
devoid,"a. 全无的, 缺乏的"
derive,"vt. 得自
vi. 起源"
definite,"a. 明确的, 一定的
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
deliberately,adv. 故意地
dependence,"n. 依赖, 依存, 信赖
"
depict,"vt. 描述, 描写"
derision,n. 嘲笑
description,"n. 描述, 说明, 种类
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
despoil,"vt. 夺取, 掠夺"
deter,"vt. 制止, 吓住, 威慑"
determinative,"a. 决定的, 限定的
n. 决定物, 限定词"
devotion,"n. 热爱, 投入"
delimit,"vt. 定界限, 划界
"
decrepit,a. 衰老的
delinquent,"n. 行为不良的人, 违法者
a. 怠忽的, 有过失的"
deception,"n. 欺骗, 诡计
"
deficit,"n. 赤字, 不足额
"
decompose,"v. 分解, (使)腐烂"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
deplete,"vt. 耗尽, 使衰竭
"
decouple,"[计] 去耦, 退耦, 分离"
deregulate,[法] 解除管制
demerit,"n. 缺点, 短处, 过失"
decade,"n. 十年, 十"
decathlete,"n. 十项运动员, 十项全能选手"
decathlon,n. 十项运动
decibel,"n. 分贝
"
dioxide,"n. 二氧化物
"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
dilapidate,"v. (使)荒废, (使)毁坏"
dilemma,"n. 困境, (进退两难的)窘境"
divergent,"a. 有分歧的
"
distill,"vt. 蒸馏
vi. 滴下"
divest,"vt. 使摆脱, 使脱去, 夺去
"
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
diagnosis,"n. 诊断
"
diagnose,v. 诊断
diagram,n. 图表；图解
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
diagonal,"a. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
distract,"vt. 转移, 分心, 使发狂"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
distortion,"n. 扭曲, 变形, 曲解
"
differ,"vi. 不一致, 不同
"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
discrepancy,"n. 不符合, 差异, 不相符之处
"
difference,"n. 不同, 差异
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
discern,"v. 辨别, 看清楚, 了解"
discourage,"vt. 使气馁, 阻碍"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discrimination,"n. 差别, 岐视, 辨别力
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
distinction,n. 区别
distort,"vt. 扭曲, 歪曲
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
disintegrate,"vt. (使)分解, (使)碎裂
"
dispersal,"n. 散布, 传播, 分散"
distend,"v. (使)膨胀, (使)扩张"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
disagree,"vi. 不一致, 不适宜
"
dispute,"n. 争论
v. 争论"
disqualify,"vt. 使不适合, 取消...资格"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
diffident,"a. 无自信的, 谦虚谨慎的, 羞怯的"
disadvantage,"n. 缺点, 不利, 坏处"
disagreement,"n. 不合, 争论, 不一致
"
disappoint,vt. 使失望
disappointment,n. 失望
disbelief,"n. 不信, 怀疑"
discontinue,"vi. 中断, 终止, 停止
vt. 使中止"
disharmony,"n. 不调和, 不一致, 不和谐
"
disempower,vt.& vi. 使自信心降低
disillusion,"n. 觉醒, 幻灭
vt. 使醒悟, 使幻想破灭"
disobey,"v. 违反, 不服从"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
dissatisfaction,"n. 不满, 不平"
dissatisfied,"a. 不满的, 显出不满的"
dissimilar,"a. 不同的, 相异的"
dissonant,"a. 不和谐的, 刺耳的, 不一致的"
distrust,"n. 不信任
vt. 不信任"
disfigure,"vt. 毁损...的外形, 玷污, 损害, 毁损...的容貌
"
discerning,"a. 有眼力的, 敏锐的, 有辨别能力的, 有洞察力的"
evaluate,"vt. 评估, 评价, 赋值"
elicit,"vt. 引出, 推导出, 引起"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
expedition,"n. 远征, 探险队, 迅速"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
expense,"n. 费用, 代价, 开支, 损失
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessively,"adv. 过多, 极度, 过度, 过分"
emergent,"a. 紧急的, 浮现的, 出现的, 自然发生的
"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
