rocker,"n. 摇的人, 摇杆
"
wakeful,"a. 觉醒的, 警觉的, 戒备的, 不能入睡的, 失眠的, 不眠的"
enthusiastically,"adv. 热心地, 狂热地"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
leave sb. to one's own devices,[网络] 听任…自便；让…自行发展；让某人自已去想办法
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
injunction,"n. 命令, 禁令, 劝告
"
entomological,"a. 昆虫学的
"
subsequent,"a. 后来的, 接下去的
"
inestimable,"a. 无价的, 无法估计的"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
resemblance,"n. 相似处, 类似, 肖像"
legion,"n. 军团, 军队, 众多的人"
odor,"n. 气味, 香味, 名声, 意味
"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
dissection,"n. 解剖, 切开
"
internal,"a. 内在的, 国内的
"
bony,"a. 如骨的, 多骨的, 瘦骨嶙峋的"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
exhortation,"n. 劝告, 训词, 讲道词"
be content with,以...为满足
reluctance,"n. 不情愿, 勉强
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
investigation,"n. 调查, 审查
"
first-string,"第一靠得住的人, 得力助手"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
squad,"n. 班, 小队, 小集团
vt. 编成班"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
deprive,"vt. 剥夺, 使丧失
"
mediocrity,"n. 平常, 平庸之才"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
in every sense of the word,"从任何意义上来说
不折不扣的"
the best sense of the word,无
mess with,"胡乱摆弄,糟蹋,与…厮混;和…一道用膳"
make sense of,搞清...的意思
memorize,"vt. 记住, 熟记, 背熟"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
prod,"n. 刺针, 刺棒, 激励话, 提醒物
vt. 戳, 刺, 刺激
vi. 戳, 刺"
look out for,"当心…,留神…,提防…"
fret,"n. 烦躁, 磨损, 焦急, 网状饰物
vi. 烦恼, 不满, 磨损
vt. 使烦恼, 腐蚀, 使磨损, 使起波纹"
bonus,"n. 奖金, 红利
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
lean on,靠着
ghetto,n. 犹太人区
stimulation,"n. 刺激, 激励, 鼓舞
"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
simile,"n. 明喻, 明喻说法"
metaphor,n. 隐喻
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
put to shame,"na. 给丢脸!
"
outrageously,adv. 凶残地; 肆无忌惮地; 令人不能容忍地; 不寻常地
mop,"n. 拖把, 鬼脸
vt. 用拖把洗擦, 擦, 拭
vi. 做鬼脸
"
conscience,"n. 良心
"
smuggle,"vt. 偷运, 走私, 私运
vi. 走私"
store away,"储存某物, 收起某物; 把…记在心里"
store up,"na. 贮藏；记住
"
recite,"v. 背诵, 朗读, 叙述"
live by,靠…为生
infusion,"n. 注入, 泡制, 注入物
"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
pint,"n. 品脱(干量或液量的单位)
"
momentarily,"adv. 暂时地, 立刻, 随时地"
momentary,"a. 瞬间的, 刹那间的"
scandalous,"a. 不体面的, 可耻的, 诽谤性的, 爱传播丑闻的"
rumor,"n. 谣言, 传闻
vt. 谣传"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
ripple,"n. 涟波, 涟漪, 波纹, 粗钢梳
vt. 使起涟漪
vi. 起微波, 起潺潺声"
agenda,"pl. 议程, 日常工作事项
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
attribute sth. to sb.,"na. 认为(成功)是(努力)的结果
"
attribute sth. to sth.,"na. 认为(成功)是(努力)的结果
"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
Arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
skeptic,"n. 怀疑者, 怀疑论者, 不可知论者"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
hurricane,"n. 飓风, 暴风, 暴风雨"
beef up,"v. 加强
"
latitude,"n. 纬度, 范围
"
Inupiaq,伊努皮克人（居住在阿拉斯加北部的因纽特人的一支）
Eskimo,n. 爱斯基摩人
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
coastline,n. 海岸线
permafrost,n. [地]永久冻结带
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
wash away,"v. 清洗
"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
agonize,"vt. 使极度痛苦, 折磨
vi. 感到痛苦"
distressing,"a. 使痛苦的, 使烦恼的"
oogruk,无
bearded,"a. 有须的, 有胡子的"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
traumatize,"vt. 使受损伤, 使受精神创伤"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
meteorological,"a. 气象的, 气象学的"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
glacier,n. 冰川
Antarctica,n. 南极洲
devour,"vt. 吞食, 挥霍, 吞没"
swath,"n. 刈幅, 刈下的一行草, 刈下的一行麦, 行, 一条, 条, 一行"
pipeline,"n. 管道, 传递途径
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
canary,"n. 金丝雀, 淡黄色"
indicator,"n. 指示器, 指示剂, 指标
"
co-operative,"a. 合作的；有协作精神的；愿意配合的; 齐心协力的；合作进行的
n. 合作社；合作机构"
overwhelming,"a. 压倒性的, 无法抵抗的"
humanity,"n. 人性, 人类, 博爱"
in between,在中间
in perspective,"正确地, 显示在脑海中, 符合透视法地"
get sth. in perspective,无
keep sth. in perspective,无
put sth. in perspective,无
see sth. in perspective,无
Midwestern,[网络] 中西部
opine,"v. 想, 以为"
snowfall,"n. 降雪, 降雪量"
in the face of,面对
fluctuation,"n. 变动, 波动, 动摇
"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
at a stretch,一口气地
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
tropics,n. 热带地区
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
temperate zone,"温带
"
variation,"n. 变更, 变化, 变种, 变奏
"
in the works,"正在进行,正在准备"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
murky,"a. 黝暗的, 阴沉的, 朦胧的"
esteemed,a. 受人尊敬的
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
legendary,"a. 传说的, 传奇中说的, 传奇般的, 传说中的, 著名的"
mountaintop,n. 山顶
coral reef,n. 珊瑚礁
die off,"相继死去直至死光, 消亡, 逐个死亡"
drought,"n. 干旱, 缺乏"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
poleward,adv. 向极
altitude,"n. 高度, 海拔, 高处
"
migration,"n. 移民, 移往, 移动
"
diverse,"a. 不同的, 变化多的"
beluga,"n. 大白鳇, 白鲸"
carbon dioxide,"二氧化碳
"
preindustrial,"a. 未工业化的, 工业化前的"
percentage,"n. 百分比, 比率, 部分, 可能性
"
go up,"上升, 兴建"
disastrous,"a. 损失惨重的, 悲伤的"
densely,"adv. 浓密地, 浓厚地"
dense,"a. 密集的, 浓厚的"
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
coastal,"a. 海岸的, 沿海的, 沿岸的
"
uninhabitable,"a. 不可居住的, 不适宜居住的"
climatic,a. 气候的
throw ... into,投身于
turmoil,"n. 骚动, 混乱"
migrate,"vi. 移动, 移往, 随季节而移居
"
unlivable,"a. 不宜居住的, 不舒适的"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
respiratory,"a. 呼吸的
"
widen,"vt. 弄宽, 加宽, 扩大
vi. 变宽, 扩大"
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
mosquito,"n. 蚊子
"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
dengue,"n. 登革热
"
fever,"n. 发烧, 发热, 热病
"
malaria,"n. 疟疾, 瘴气
"
encephalitis,"n. 脑炎
"
Lyme disease,莱姆病（由扁虱叮咬而出现麻疹、发烧等症状的一种传染性疾病）
affliction,"n. 苦恼, 折磨, 苦恼的事由"
wildlife,n. 野生动植物
atmospheric,"a. 大气的
"
in favor of,"赞同, 有利于"
rainfall,"n. 降雨, 降雨量
"
meteorologist,n. 气象学者
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
geoscientist,地球学家
geological,"a. 地质学的, 地质的"
naysayer,"n. 拒绝者, 否认者, 老是唱反调的人
"
unnerve,"vt. 使失去勇气, 使胆怯, 使不能自制
"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
go away,走开
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
as much ... as,"尽...那样多, 差不多"
propulsion,"n. 推进, 推进力
"
buoy,"n. 浮标, 航标, 救生圈
vt. 使浮起, 鼓励"
floe,n. 大浮冰
shuffle,"n. 拖着脚走, 曳步, 混乱, 蒙混, 洗纸牌
v. 拖曳, 马虎地做, 笨手笨脚地穿(脱)衣, 推诿, 洗牌
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
simulation,"n. 模拟, 假冒物, 模仿
"
envision,"vt. 想象, 预想"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
ratchet up,[网络] 逐渐升高；增加；渐进
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
proponent,"n. 建议者, 支持者
"
propel,"vt. 推进, 驱使
"
calamity,"n. 灾难, 不幸事件"
credence,"n. 信任, 祭器台, 供桌, 凭证
"
add credence to,无
discern,"v. 辨别, 看清楚, 了解"
ascribe,"vt. 归因于, 归咎于
"
ascribe sth. to sb.,"v. 把…归于
"
ascribe sth. to sth.,"v. 把…归于
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
deficit,"n. 赤字, 不足额
"
naval,"a. 海军的, 军舰的, 有舰队的
"
seesaw,"n. 跷跷板, 跷跷板游戏, 起伏交替的动作
a. 上下或前后摇动的, 交互的
vi. 玩跷跷板, 上下或来回摇动
vt. 使上下或来回摇动"
container,"n. 容器, 集装箱
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn round,"转身, 转变, 改变意见, 采取新政策
"
counteract,"vt. 抵消, 阻碍, 中和
"
stabilize,"vt. 使安定, 使稳固
vi. 稳定, 安定"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
superimpose,"vt. 把(一物)放在另一物的上面, 添上, 附加, 加上, 添加
"
build on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
build upon,"堆积于......
建立在......"
durable,"a. 持久的, 耐用的"
exert,"vt. 发挥, 运用, 施以影响
"
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
a host of,"许多,一大群"
routinely,"adv. 日常, 乏味, 常规, 例行"
clot,"n. 凝块, 一团
v. (使)凝结, (使)聚集"
conceive,"vt. 构思, 认为
vi. 怀孕"
ace,"n. 幺点, 好手, 少许, 发球得分
a. 一流的, 杰出的
"
have sth. up one's sleeve,无
keep sth. up one's sleeve,无
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
parlor,"n. 客厅, 会客室, 小店
a. 客厅的"
chapter,"n. 章, 篇, 重要章节
"
to be sure,"诚然, 固然, 哎呀"
Confederate,"n. 同盟者, 同盟国
a. 同盟的, 联合的
v. (使)联盟, (使)联合"
in effect,"有效
"
write out,"写出
"
poignant,"a. 辛酸的, 尖锐的, 剧烈的"
collision,"n. 碰撞, 冲突, 抵触
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
aristocratic,"a. 贵族的, 主张贵族统绐的, 有贵族气派的"
tidewater,"n. 潮水, 有潮水域, 低洼海岸"
chivalry,"n. 骑士精神, 骑士制度"
embody,"vt. 具体表达, 使具体化
"
knighthood,"n. 骑士身分, 骑士气质, 骑士"
squire,"n. 乡绅, 大地主, 治安官
vt. 随侍, 护卫
vi. 当乡绅"
hazy,"a. 朦胧的, 模糊的, 烟雾弥漫的"
ownership,"n. 所有权, 物主身份
"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
bring forth,使产生
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
solemn,"a. 严肃的, 郑重的, 庄严的"
leadership,"n. 领导能力, 领导阶层"
deportment,"n. 行为, 举止"
nobility,"n. 贵族, 高尚, 贵族阶级"
pass into,进入
underfed,underfeed的过去式和过去分词
enthusiasm,"n. 巨大的热情, 热心"
sanctify,"vt. 使神圣, 奉献给神, 使成为神圣之物"
heroism,"n. 英勇, 勇敢事迹, 豪侠行为"
tanner,"n. 制革工人, 硝皮匠, 六便士"
the hard way,"na. 用笨法
"
eternal,"a. 永恒的, 永远的, 不灭的"
toughness,"n. 有粘性, 强硬, 强健
"
sinewy,"a. 强壮的, 结实的, 多腱的"
reverence,"n. 尊敬, 敬重, 敬礼, 尊严, 威望
vt. 崇敬, 敬畏, 尊敬"
obeisance,"n. 敬礼, 鞠躬, 敬重"
to a fault,"na. 过度
"
aristocrat,n. 贵族
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
dissatisfaction,"n. 不满, 不平"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
democracy,"n. 民主政治, 民主主义
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
set up shop,开店
in business,"在营业,在生产,在做生意"
trader,"n. 商人, 商船
"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
destiny,"n. 命运, 定数"
dollars-and-cents,值钱的东西
in relation to,"关于, 涉及"
with relation to,"关于, 涉及, 有关"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
instinctively,"adv. 本能地, 直觉地"
instinctive,"a. 本能的, 天生的, 直觉的
"
locality,"n. 地方, 所在, 位置
"
tenacity,"n. 固执, 不屈不挠, 顽固, 黏性, 韧性
"
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
unmoved,"a. 没有动过的, 不动摇的, 坚决的, 冷静的"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
cut the ground from under sb.,"先发制人地破坏某人的计划, 拆某人的台"
cut the ground from under sb.,"先发制人地破坏某人的计划, 拆某人的台"
cut the ground from under sb.'s feet,无
diametrically,"adv. 完全地, 直径方面, 正好相反地, 截然地"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
vitality,"n. 活力, 生命力
"
lance,"n. 长矛, 柳叶刀, 执矛战士
vt. 以长矛攻击, 冲进
vi. 急进"
silken,"a. 丝的, 绸制的, 柔软的, 圆滑的"
banner,"n. 旗帜
a. 显著的, 特别好的"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
underlying,"a. 在下面的
"
aspiration,"n. 热望, 志向, 渴望
"
in common,共有
to begin with,首先
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
discouragement,"n. 使泄气, 使气馁, 使沮丧, 使丧失信心, 使失去信心, 阻拦, 劝阻, 留难"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
hang on,"v. 坚守；守住；坚持；支撑着
"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
indomitable,"a. 不屈服的, 不屈不挠的"
refusal,"n. 拒绝, 推却, 优先决定权
"
resourcefulness,n. 足智多谋
lastly,"adv. 最后, 终于"
at the end, 在…的末尾
reconciliation,"n. 和解, 和好, 复交, 调解, 调停, 和谐, 一致, 甘愿, 顺从
"
wholly,"adv. 完全地, 整个, 统统, 全部
"
debt,"n. 债务, 罪过
"
in sb.'s debt,无
abolition,"n. 废除, 废奴运动
"
rebellion,"n. 谋反, 叛乱, 反抗
"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
abolitionism,"n. 废除主义, 废奴主义
"
candidate,"n. 候选人, 投考者
"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
secede,"vi. 正式脱离(或退出), 分离
"
secession,"n. 脱离, 分离"
federal,"a. 联邦的, 联合的, 同盟的
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
oust,"vt. 逐出, 罢黜, 剥夺, 驱逐
"
act on,"按...行动, 作用于
"
act upon," 对…起作用[有功效]; 奉行, 按照…而行动; 照办"
rout,"n. 溃败, 大败, 乌合之众, 盛大晚会
vt. 使溃败, 使败逃, 打垮, 用鼻拱, 挖起, 搜, 唤起
vi. 用鼻拱地, 搜"
fiasco,"n. 惨败, 大失败"
bring up,"na. 抚养；教导；教育；在…长大
"
peninsular,a. 半岛的
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
next to,几乎
victorious,"a. 胜利的, 得胜的, 战胜的"
resounding,"a. 响亮的, 轰动的"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
strategic,"a. 战略的, 战略上的
"
gallant,"a. 英勇的, 壮丽的, 华丽的"
bloody,"a. 血腥的, 嗜杀的, 有血的"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
morale,"n. 士气, 道德"
reconfirm,"vt. 再证实, 再确认
"
valiant,"a. 英勇的
n. 勇敢的人"
resort to,"诉诸于, 采取
"
conscription,"n. 征兵, 募兵, 征用(制度)
"
outnumber,"vt. 数目超过, 比...多"
tenacious,"a. 紧握的, 固执的, 不屈不挠的, 黏着力强的
"
wily,"a. 使用计谋的, 有诡计的, 狡猾的"
election,"n. 选举, 当选, 选择权
"
renominate,"vt. 再提名, 提名...连任"
reelect,"vt. 重选, 改选"
annihilate,"vt. 消灭, 废止"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
evacuate,"v. 疏散, 撤出, 排泄"
capitulation,"n. (有条件)投降, 投降书, 条约"
result in,"导致
"
mar,"vt. 损毁, 损伤, 糟蹋
n. 三月"
assassination,"n. 暗杀
"
readmit,vt. 重新接纳
untold,"a. 未说过的, 未透露的, 未加叙述的, 数不清的, 无限的, 不可计量的, 无数的
"
hatred,"n. 憎恨, 仇恨, 憎恶
"
intolerance,"n. 不宽容, 偏狭, 不容许相反的言论
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
commemorate,vt. 纪念
nationwide,"a. 全国性的
"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
go for broke,全力以赴
motel,n. 汽车旅馆
delusional,[医] 妄想的
jackpot,"n. 最大赌注, (彩票的)头奖, 最大成功, 意外的成功/奖赏, 困境"
wipe away,擦去...
not least of all,无
streak,"n. 条理, 斑纹, 倾向
vt. 加条纹
vi. 变成条纹, 飞跑"
scrounge,"vt. 乞讨, 搜寻
vi. 东张西望, 搜寻, 乞讨"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
existential,a. 有关存在的
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
tidbit,"n. 少量的美食, 珍馐, 珍品, 珍闻"
baseball,"n. 棒球
"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
resignation,"n. 辞职, 辞呈, 听从
"
mega-resort,特大型度假地
reservation,"n. 保留, 预定, 保留品, 保留地
"
riverboat,n. 江河中行驶的船
mini-mart,小型超市
lottery,"n. 奖券, 彩票, 运气
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
legalize,"vt. 法律上认为正当, 使合法化
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
bettor,"n. 打赌者
"
whopping,"a. 巨大的, 天大的
adv. 非常地"
theme,"n. 主题, 话题, 题目"
adrenaline,"n. 肾上腺素
"
intoxicate,"vt. 使陶醉, 使喝醉"
incandescent,"a. 白热的, 闪闪发光的, 辉耀的, 灿烂的
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
teeter,"vi. 步履不稳地走动, 踉跄, 摇晃, 摇摆不定, 摇摇欲坠, 玩跷跷板
n. 踉跄, 摇摆, 跷跷板"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
embezzlement,"n. 盗用, 挪用, 侵占
"
bogus,"a. 假的, 伪造的
"
bankruptcy,"n. 破产者
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
advent,"n. 来到, 来临"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
wager,"n. 赌注, 赌博, 赌物
vt. 下赌注, 向...保证
vi. 打赌"
egregious,"a. 异乎寻常的, 过分的, 惊人的"
make the headlines,作为重要新闻见报；被大肆宣传
hit the headlines,"成为报上的头条新闻,突然出名,轰动一时"
video,"n. 影像, 电视
a. 图像的, 电视的"
bankroll,"n. 一卷钞票, 资金
vt. 提供资金"
suffocate,"vt. 使窒息, 噎住, 闷熄
vi. 闷死, 窒息, 受阻"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
predisposition,"n. 爱好, 素质, 癖性, 天性, 倾向, 易感受性
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
receptor,"n. 受体, 感觉器官
"
pathway,"n. 路径, 途径
"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
addiction,"n. 入迷, 瘾
"
enlightenment,"n. 启迪, 教化"
confounding,n. 混杂；混淆
comprehension,"n. 理解, 包含"
normality,"n. 常态
"
deceit,"n. 欺骗, 谎言
"
vague,"a. 含糊的, 不清楚的, 茫然的"
nonsensical,"a. 无意义的, 荒谬的"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
spouse,n. 配偶
sleuth,"n. 警犬, 侦探
vi. 做侦探"
incriminate,"vt. 连累, 暗示...有罪, 控告
"
casino,"n. 卡西诺赌场, 卡西诺牌戏"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
council,"n. 会议, 委员会
"
resentment,"n. 怨恨, 愤恨"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
under-recognized,[网络] 不被承认
tear at,撕扯
sanity,"n. 神智健全, 头脑清楚, 通情达理
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
abuser,n. 滥用者
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
sober up,清醒起来
in itself,"本身,实质上"
purge,"n. 净化, 清除, 泻药
v. (使)净化, 清除, (使)通便
"
mecca,n. 麦加
expressionless,"a. 无表情的, 呆板的"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
emphysema,"n. 肺气肿
"
aorta,"n. 主动脉
"
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
at one point, 一度; 在某一刻
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
robbery,"n. 抢掠, 抢夺
"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
dresser,"n. 化妆台, (剧团)服装师, 碗柜
"
crisper,n. 新鲜蔬菜保存盒
stint,"vt. 节省, 限制, 停止
vi. 节约
n. 吝惜, 节约, 限额"
unstack,"vi. 退栈, 出栈"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
ace,"n. 幺点, 好手, 少许, 发球得分
a. 一流的, 杰出的
"
pile up,"堆积, 积累, 搁浅, 撞毁"
come one's way,同意
kismet,"n. 命运, 天命"
loiter,"v. 闲荡, 虚度, 徘徊"
discover ... to one's cost,无
find ... to one's cost,无
learn ... to one's cost,无
makeup,"n. 组成, 性格, 化妆品, 化装(术), 虚构, 补考"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
ignition,"n. 点火, 点燃
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
embezzle,"vt. 盗用, 挪用
"
