a bit,一点儿；有一点儿
ebb and flow,"潮起潮落,起伏,涨落,盛衰"
economic recession,[经] 经济衰退
effect on,对…有影响
elaborate on,详细说明
elbow sb. out of the way,无
eliminate from,从…排除
embark on,"从事, 着手"
embark upon,"开始,从事,着手"
emerge from,从…出现
end up doing,"结果是(做)..., 以(做)...而告终, 结果变成..., 最后发展为..."
end up with,〈非正〉以…结束
endow ... with,赋予
engage in,"使从事于, 参加"
enroll in,"登记,报名参加"
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
"
entitle sb. to,"un. 有资格
"
envision ... as,无
equip ... with, 装备，配备
err on the side of,[网络] 宁失之；在…做过了头；过分表现
even as,"正巧在...的时候, 正如"
even if,即使
even though,"虽然, 尽管"
even now,"尽管这样, 即使到现在"
even then,"尽管那样, 即使在那时"
even so,虽然如此
ever since,从那时到现在
ever so,非常
every bit,"从头至尾, 完全"
every now and then,"常常, 不时地"
every other,"每隔一, 所有其他的"
excel in,在...方面擅长
except for,"除...以外
"
exchange ... for,用…换取
exclude from,[网络] 把…排斥于…之外；把……排除在外；同上但是使用档案
exempt from,"v. 使…免除
"
exert oneself to do,无
exist in, 存在于…中
explain away,"na. 巧辩过去
"
expose ... to,"un. 暴露于
"
extend from ... to,无
extract from,从…中提取
face to face,面对面
face up to,勇敢地面对
fade away,逐渐消失
fail to, 未能…
fall back on,"求助于, 退到, 回头再说"
fall behind,"落在后面, 拖欠"
fall for," 上当, 听信; 爱上"
fall in love, 陷入爱河（歌名）; [电影]追爱总动员
fall in love with,爱上
fall in with,"偶遇, 同意"
fall into,"落入, 陷于, 开始, 分成, 属于, 注入"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
fall on,"落在…之上;攻击,袭击"
fall upon," 开始行动, 进攻"
fall out,"脱落, 离队, 争吵, 结果是
"
fall prey to,[网络] 成为……的牺牲品；深受…之害；受害
fall short, 缺乏; 不足; 达不到（目标）; 不符合
fall short of,"没有达到标准, 不够, 不足"
fall through,"失败, 失约"
feed back," 反作用, 反馈"
feed into,"送入,装进;流入,注入"
feedback on,[网络] 反馈
feel the pinch,"感到拮据, 手头紧"
fend off,"na. 挡开；避开(灾祸等)
"
fetch up,"使停止, 引起, 回想起, 弥补, 到达, 呕吐"
fight down,克服
fight for, 为…而战斗[竞争]; 争取; 争夺
fight off,"击退, 排斥, 避免"
figure out,"合计为, 计算出, 明白"
file for,"申请,报名参加"
fill in,"na. 填充；填写；同“fill”
"
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
fill up,"na. 同“fill”
"
find fault with,"挑剔,指责,对…吹毛求疵"
finish off,"na. 同“finish”；完成；用完；吃完
"
finish up,"结束, 完成, 用光"
first of all,首先
fish for,摸索寻找
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fix on,"确定, 决定"
flag up,[网络] 举旗
flare up,"突然起燃, 突然燃烧, 突然发作/加剧, 突然发怒"
flash back to,[网络] 闪回；倒叙
flatter oneself,"自信, 自想, 自以为"
flesh out,"na. 充实；使…具体化
"
flick through,"浏览,翻阅"
flush with,因…脸红〔激动〕
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
for purpose of,为…的目的
for the purpose of, 为了，因…起见; 借以
for an instant,"短时间,瞬时间,剎那间"
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
for good,"永久地, 永远地, 一劳永逸地"
for good and all,永久地
for instance,"例如
"
for example,例如
for long,长久
for one thing,首先
for short,"简称, 缩写"
for sure,确实
for the moment,"暂时, 目前"
for the most part,在极大程度上
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
for the time being,暂时
foul up,"弄脏, 污染, 搞糟"
free of charge,"免费
"
free ... from,"na. 无…的
"
frighten away," 吓跑, 吓走"
from now on,从现在开始
from then on,从那时起
from today on,[网络] 从今天开始；从今天起；从今日起
from scratch," <非正>从头做起, 从零开始"
from the bottom up,从下到上
from of spite,无
out of spite,出于恶意
fulfill one's pledge,无
function as,起…作用
furnish sth.,"vt. 供给, 提供, 装设
"
furnish sth. to sb.,[口语]向(某人)提供…，
gain ground,"前进, 发展, 普及"
gain momentum,[网络] 势头增大；深入发展；发展加快
gather momentum,[网络] 不断兴起
gain control over,无
get control over,无
have control over,能控制...
gain an advantage over,"胜过,优于"
have an advantage over,"胜过,比…优越"
gamble away,赌光
gang up,"聚集, 结成一伙"
gather up,"收集起, 蜷曲, 概括"
generate from,无
get about,"走动, 旅行, 传开, 积极参加社会活动"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get ahead,"领先, 走在前面, 进步, 获得成功"
get along,"生活, 融洽相处"
get around to, 设法找到足够的时间去做（某事）; 说服
get round to, 设法找到足够的时间去做（某事）; 说服
get around,"病后能够走动, (非正式)旅行, 传开来"
get round,"避免, 说服, 走动, 传开来"
get at, 得到; 找到; 责备; 暗示
get away,"离开, 逃脱, 起跑, 出发"
get by,"通过, 混过"
get cracking,"开始, 开始工作, 开始移动"
get down,"na. 开始认真对待；落下；下车；写下
"
get down to,开始认真考虑
get hold of,"抓住, 得到"
get in the way,"挡住去路,障碍,碍事"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get insight into,无
get into the habit of,养成...的习惯
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get sb. nowhere,无进展
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on one's nerves,令人不安
get on with, 继续（干某事）; 和…友好相处
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get rid of,"摆脱, 除去"
get stuck in,被卡在里面动弹不得
get the best of,"战胜,胜过,佔了…的上风;克服,克制"
get the better of,"战胜, 在...中占上风"
get the jump on,抢在...之前行动
get through,"做完, 通过, 度过"
get together,"聚集, 收集, 积累"
get up,"na. 起床；起身；站起来；叫…起床
"
get ... by heart,[网络] 记住；背诵
learn ... by heart,"na. 记住；熟记
"
give away,"na. 赠送；分发；放弃；露马脚
"
give back,"na. 归还；返回；往后站；凹陷
"
give birth to,产生
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give oneself away,"露马脚,现原形"
give oneself up,[法] 自首
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
give place to,"让位于, 被...所替代"
give priority to,"给…以优先权,优先考虑…"
give rein to,"对...放任, 使...自由发挥"
give rise to,"引起, 使发生"
give sb. access to,"准许进入,使得以进入"
give sb. an account of,"讲述,叙述,说明"
give shape to,"把…明确表达出来,使形成,使具体化,使有固定的形状"
give vent to,"发泄, 吐露"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
glare at,怒视
gleam with,表露某种情感
go about,"从事, 走动, 传开"
go after,"追逐, 追求"
go against,"反对, 违反, 不利于"
go ahead,前进
go all out,全力以赴
go along with,"陪...一起去, 赞同, 附和"
go along,"前进, 进行"
go around,"漫步,闲逛,绕圈子"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
"
go back on,"违约, 背弃"
go back to,回去
go by,"走过, 依照, 顺便走访"
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
go downhill,走下坡路
go for,"去找, 努力获取, 被认为, 主张, 拥护"
go in for,"参加, 追求, 从事, 赞成"
go in,"走进, 放得进, 参加"
go into action,"投入战斗, 行动起来"
go into detail,"详细叙述,详述"
go into details,详细叙述，详述，详细说明，逐一说明，深谈
go into,"进入, 加入, 探究, 变得, 进入...状态
"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
go on strike,"举行罢工
"
go over,"转变, 仔细检查, 润色, 复习"
go the round,传播
go the round of,"传遍,走遍"
go the rounds,=do one's (或the) round(s)；(消息、传闻、流言等) 传遍
go the rounds of,无
go through with,完成
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
go to extremes,走极端
go to pieces,"瓦解, 身体垮掉"
go to war with,无
go under,"死, 失败, 屈服, 破产"
go up,"上升, 兴建"
go with,"伴随, 与...相配"
go without,没有也行
go wrong,"走错路, 出毛病, 失败"
grab at,"抓住,攫取,伸手去抓"
grieve for,哀悼
grieve over,哀悼
grind away," 把…碾成粉末; 磨损, 用坏…; 苦干[学]; 反复不断地干"
grind at,无
grind out,"na. 碾成；单调地演奏手摇风琴；苦吟(诗句)
"
grope for,探索
grope around,= grope about
grow into,"长成,发展成为"
grow on,"引起...爱好, 加深影响"
grow out of,"长得与...不相称, 因长大而丢弃"
guard against,"预防,使提防"
hand down,"na. 宣布(判决等)；传下来
"
hand in hand,"手拉手, 联合"
hand in,"na. 交进
"
hand on,"把...传下去, 传递下去, 发放"
hand out,"na. 分；拿出来；施舍
"
hand over,交出；移交
hand round,传递; 分发给众人
hang about,闲荡
hang around,"闲荡, 闲逛, 转悠, 观望, 等待, 聚在...临近, 缠(人), 与...泡在一起"
hang back,"挂回, 却步, 犹豫"
hang on to,紧紧握住
hang on,"v. 坚守；守住；坚持；支撑着
"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
happen to,"碰巧,偶然;发生于"
harmonize with,无
hate one's guts,对one恨之入骨
have a bearing on,对…有影响;与…有关
have a knowledge of,无
have an acquaintance with sb.,无
have an advantage over,"胜过,比…优越"
have an effect on,(对…)有影响〔产生效果〕
have an impact on,对…有影响
have an influence on,对...有影响
have no effect on, 没有影响
have no impact on,无
have no influence on,无
have back,"un. 还给:
"
have confidence in,"信任,信赖 in confidence 秘密地,私下,暗中"
have faith in,"na. 相信
"
have in mind,"na. 记住；铭记不忘；注意
"
have influence on,[网络] 对某物施加影响；对……产生影响；有影响
have influence over,"有左右...的力量, 对...有影响"
have no business,无权〔不该〕(干某事)
have no idea, 不知道，不了解; 没谱儿
have nothing to do with,与...无关
have nothing to lose,[网络] 不会有任何情况；没什么好损失的；没什么可输的
have on,"v. 戏弄
"
have one's hands full,工作忙
have sympathy for,"对…同情,同情…"
have to do with,"na. 和…有关系
"
have trouble with,"与...有纠纷, 有...的病痛"
have access to,可以获得;进入
gain access to,可以获得;进入
have an insight into,"了解,熟悉;看透,识破"
give an insight into,无
head for,"出发, 动身, 前往"
heart and soul,全心全意地
help oneself,自用
help oneself to,自用
help out,"v. 帮助…摆脱困境；救出；协助
"
help sb. toward,无
here and there,"各处, 到处, 四处"
hinge on,"靠...转动, 以...为转移"
hinge upon,vi. 随……而定
hit on,"忽然想到,碰巧遇见,到达"
hit upon, 偶然发现
hold in check,"制止, 控制"
hold sth. in check,"制止, 控制"
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold down,"na. 压制；牵制；阻止；压低(物价等)
"
hold in contempt,"na. 蔑视
"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
"
hold on to,坚持
hold on,"继续, 不挂断, 停止"
hold one's breath,屏息
hold one's own,坚持住
hold out,"na. 伸出；提出；维持；制止
"
hold over,"na. 将…延迟；保存；期满后继续任职；期满后继续占有
"
hold sb. to ransom,无
hold to,"na. “Hold fast”的变体
"
hold true,"适用, 有效
"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hold with,"赞同, 容忍"
home and abroad, 国内外，海内外
hook up,以钩钩住
hope against hope,抱一线希望
huddle up against,无
huddle up to,无
hunger for,渴望
hunger after,渴望
hunt down,"穷追直至抓获
"
hush up,"na. 掩盖
"
idle around,虚度时光; 在…附近闲逛
idle away,"v. 虚度
"
immerse ... in,将…浸在(水中); 使(自己)专心于〔沉浸于〕…
impact on,影响，产生(不良)影响 [亦作 impact upon]
impinge on,"撞击, 侵犯, 紧密接触"
impose on,"v. 强迫；欺骗
"
impose upon,强加于
impress with,"v. 深深打动
"
impress sb. with,"v. 深深打动
"
in face of,"面对,在…面前;不顾,即使"
in the face of,面对
in future,[法] 将来
in the future,"未来, 将来, 往后"
in light of,"按照, 根据"
in the light of,"由于, 当作
"
in a rage,"勃然大怒,怒气冲冲;一怒之下"
in a row,"成一长行, 连续, 一连串"
in a sense,在某种意义上
in a way,"在某种程度上, 稍稍"
in abundance,"充足的, 很丰盛"
in accord with,与...一致
in accordance with,"与...一致, 依照"
in action,"在活动, 在运转"
in addition to,"另外, 加之, 除…之外还"
in addition,另外
in advance,"预先
"
in agreement with,"同意,与…一致"
in all probability,很可能
in all,"总共
"
in alliance with,与…结盟
in an instant,马上
in and out,"进进出出, 弯弯曲曲"
in any case,无论如何
in any event,"不论怎样, 无论如何"
in any way,以任何方式
in bad odor,声誉不佳
in bad odor with,名声不好
in black and white,用白纸黑字地写下来
in brief,"简言之, 以简洁的形式"
in bulk,"散装, 大批
"
in case of,"假设, 万一"
in character,"适合, 相称"
in character with,无
in charge,"主管, 看管, 在...看管下"
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
in chorus," 一齐, 一致, 共同; 齐声"
in cold blood,"残忍地
"
in collaboration with,与...合作
in common,共有
in comparison with,与...比较
in confidence,"na. 秘密地
"
in conjunction with,与...协力
in connection with,"与…有联系,与…有关,关于"
in connection to,[网络] 关于
in consequence of,"因此, 结果; 由于, 因为…的缘故"
in consequence,结果
in consideration of,"考虑到
"
in contact with,与...在接触中
in contrast with,"与...形成对照, 而..."
in contrast to,"与...形成对照, 而..."
in control,"控制, 管理, 负责"
in control of,控制住
in danger,在危险中
in danger of,有…的危险
in debt,"un. 背上了债；负债；欠款
"
in default of,"因缺少
"
in depth,"na. 广泛
"
in despair,绝望地
in detail,详细地
in dispute,在争论中
in earnest,"正经地, 诚心地"
in effect,"有效
"
in embryo,"在胎盘中,尚未成熟,在萌芽中"
in essence,"本质上, 实质上
"
in evidence,"明显
"
in excess of,"超过, 较...为多"
in excess,"过分地,过度地"
in existence,"存在, 现有"
in favor of,"赞同, 有利于"
in force,"大规模地, 有效的
"
in general,大多数
in good temper,无
in half,"分成两半,平分"
in hand,"na. 现有；(工作)正在进行；控制住
"
in harmony, 谐; 合拍; 和和睦睦
in harmony with,"与...协调, 与...一致"
in haste,匆忙
in high spirit,无
in honor of,"为向…表示敬意,为庆祝…为纪念…"
in hot pursuit,穷追
in hot water,"处于困境,遇着麻烦;处于水深火热"
in itself,"本身,实质上"
in keeping with,"与...一致
"
in kind,"以货代款
"
in line,"un. 把话说死；排队；循规蹈矩；一列的
"
in line with,符合
in memory of,纪念...
in nature,"na. 现在存在；事实上；究竟
"
in need of,"需要...时, 如果需要..."
in no case,决不
in no time,立刻
in no way,决不
in one's honor,无
in one's opinion,"na. 据某人意见
"
in one's presence,无
in one's shoes,穿着鞋子(量身高)
in one's spare time,无
in one's way,"挡道的, 妨碍人的, 使人不便的, (英)近在咫尺, 在场"
in the way,挡道
in operation,"运转着, 生效
"
in order that,"为了,以便"
in order to, 为了…
in order,"整齐, 状况良好, 适宜"
in other words,换句话说
in part,部分地
in particular,特别
in perspective,"正确地, 显示在脑海中, 符合透视法地"
in place of,"代替
"
in place,"na. 得其所；适当的
"
in practice,"在实践中, 实际上, 熟练"
in principle,"原则上, 大体上"
in private,"私下, 秘密地"
in proportion,"按实际重要性, 合乎情理地"
in proportion to,与...成比例
in prospect of,"有…希望,…在望"
in public,当众
in pursuit of, 追求，寻求
in quest of,为了追求...
in question,"正被讨论, 可怀疑
"
in reality,"实际上, 事实上"
in reply to,作为答复
in response to,"回答..., 响应..., 对...有反应
"
in retrospect,回顾
in return for,作为…的回报
in return,作为报答
in reverse order,倒序地
in ruins,成为一片废墟
in scale,"匀称的,恰如其分的,协调的"
in search of,寻找
in secret,秘密地
in sequence,"挨次,按顺序,一个接一个"
in short,"简而言之
"
in so far as,"至于, 就..."
in some cases, 在某些情况下; 有时候
in spite of,不管
in step,步调一致
in stock,"现有, 在贮存中
"
in store,"贮藏着, 保存着, 准备着, 将要发生
"
in succession,连续地
in sum,总言之
in summary,总之
in sympathy with,"赞同..., 与...一致"
in tears,流着泪
in terms of,"用...的话, 根据, 按照, 在...方面
"
in that,"既然, 因为"
in the air,"在空中, 悬而未决, 在流传中, 不设防
"
in the case of,在...的情况
in the course of,"在...期间
"
in the dark,"在黑暗中, 秘密地, 不知道
"
in the distance,在远处
in the end,"最后, 终于"
in the event of,"如果...发生
"
in the face of,面对
in the first place,首先
in the form of,以…形式
in the shape of,以...的形式
in the front of,在最前面; 在最重要的位置
in the grip of,在…的支配下；受…控制
in the habit of,"有…的习惯,习惯于…"
in the hand of,无
in the interest of,"为了, 为了...的利益"
in the last place,最后
in the least,丝毫
in the long run,"长远, 最后"
in the main,大体上
in the matter of,"就...而论
"
in the midst of,在...之中
in the neighborhood of,"在...附近, 大约"
in the past,在过去
in the presence of,在面前
in the process of,在...的过程中
in the red,"[经] 赤字, 亏损"
in the saddle,"在职,掌权,当政"
in the short term,短期内
in the long term,长远地
in the vicinity, 左近
in the vicinity of,"在邻近
"
in the wake of,"尾随, 紧跟, 仿效"
in the way of,在…方面;在…过程中;作为…;阻碍…
in the world,在世界上
in theory, 理论上
in this case,既然这样
in this way,这样
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in tow,"拖着, 在一起"
in transit,"在运输中
"
in truth,"事实上, 的确"
in tune,合调子
in tune with,和…合调
in turn,"na. 挨次
"
in use,"在使用着, 在应用"
in vain,"徒然
"
in view of,"考虑到, 由于
"
in view,"na. 看见；放在心里；考虑中的
"
in vogue,[经] 正在流行
in the circumstances,既然这样
under the circumstances,"在这些情况下, 在此情况下"
indulge in,沉湎于
infer from,从…中推导出
inflict ... on,"un. 遭受
"
inflict ... upon,使…受痛苦;给…以(打击、惩罚)
influence on,对…有影响
influence with,无
influence upon,无
inform sb. of sth.,"v. 通知关于
"
inform sb. about sth.,将…告知(某人)
inherent in,"adj. 固有
"
inquire into,调查...
insulate from,(使)与…隔绝
inspire sb. with sth.,[网络] 激励；以……激励
inspire sth. in sb.,激发; 激起; 唤起
instead of,代替
integrate into,与…成为一体
integrate with,使与...结合
intend to do,[网络] 打算做某事；想要做；打算去做
interfere in,"干预,干涉,介入"
interfere with,"干涉,干扰,妨碍"
interpret ... as,把…看做；把…理解为
invest in,"投资于, 买进"
involve sb. in, 使参与[陷入，牵扯到]; 婵媛
isolate ... from,使与…隔离；使与…分离；使孤立
join sb.,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
"
join sb. for,无
joke about,不严肃地对待
jump the queue,"插队, 获得优惠待遇"
jump a queue,无
just about,"几乎, 正是"
just as,正象
keep a hold on,无
keep a record of,"记录,记载,把…记下来"
keep an eye on,"照看, 密切注视"
keep away from,(使)远离，(使)不接近；(使)不在
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
keep company with,与...结交
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
keep from,"na. 避开；禁止；抑制；隐瞒
"
keep in mind,"na. 记在心里；记住；注意
"
keep in touch,保持联络
keep off,"让开, 不接近"
keep on,na. 继续；穿
keep one's distance,保持疏远
keep one's eyes open,"注意, 留心"
keep one's eyes and ears open,无
keep one's finger crossed,无
keep one's head,保持冷静
keep one's promise,遵守诺言
keep one's word,守信
keep out of,"v. 置身事外；把…挡在…外
"
keep to,"v. 坚持；固守
"
keep track of,了解
keep up to date,[网络] 使跟上时代；跟上潮流；与时并进
keep up with,"跟上
"
keep up,"na. 支持；保持；继续；停歇
"
keep abreast of,保持与...并列
keep abreast with,(使)保持与…并列; 了解…的最新情况
be abreast of,保持与...并列
be abreast with,(使)保持与…并列; 了解…的最新情况
keep one's temper,忍耐
hold one's temper,捺住性子，忍住气，不使脾气发作
keep pace with,"并驾齐驱, 齐头并进"
hold pace with,跟…齐步前进；和…并驾齐驱；跟上；适应
kick sth. around,na. 仗势欺人；到处流浪；经常改变行业；从各个角度考虑
kick around,na. 仗势欺人；到处流浪；经常改变行业；从各个角度考虑
kick off,"踢脱, 中线开球"
kick out,"na. 踢出；解雇；踢足球出界
"
kick up,"踢起
"
kill time,消磨时间
knock about,n. 武打戏的表演
knock around,"漫游; 四处走动; 殴打; 在肉体〔精神〕上虐待; 接连打击, 毁坏; 活着; 放着无人理睬"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
"
knock out,"na. 敲出；敲空；使屈服；使无用
"
know backward,"对…了如指掌, 熟知…"
know backwards,熟知; 精通
know better,"很懂得,很明白"
know better than,不至于蠢到…
know of,"知道,了解,听说过…"
know about,"知道,了解,听说过…"
lag behind,落后(于...)
lash out,"痛打, 痛骂"
lash out at,"痛打,狠揍;痛斥,攻击"
last hurrah,最后的努力
laugh off,"v. 对…一笑置之
"
launch into,"开始,着手,投入;大谈特谈,侈谈,大发"
lay aside,"na. 保存；放在一边；丢弃；留着
"
lay claim to,"要求, 坚持对...的所有权, 自以为"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay off,"na. 辞退；停止；暂停
"
lay out,"n. 布局；设计；规划；安排
"
lay over,"覆盖, 胜过, 使延期"
lay stress on,"把重点放在, 在...上用力"
lay the foundation for,"给…打下基础,为…奠定基础"
lead the way,"带路, 示范"
lead to,"导致, 通向"
lead up to,"带到, 导致, 作为...的准备"
leaf through,"翻书页, 翻阅"
lean on,靠着
learn about,"学习,听说,得悉,了解"
leave alone, 置于不顾
leave behind,"na. 遗留；留下；追过；留在后头
"
leave off,"停止, 不再穿"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
leave to one's own devices,[网络] 听任…自便；让…自行发展；让某人自已去想办法
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let down,"na. 使失望；放下；丢面子
"
let go,"v. 放手；解雇；松手；忽视
"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
let loose,"na. 释放；放任；放走
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let out,[网络] 阿尔都塞思想的全部整体
let rip,[网络] 让全速前进；自由自在地行动
let ... slide,"na. 不关心
"
level off,"平整, 变平, 稳定"
lie in,"在于..., 分娩, 睡懒觉"
life span,[化] 使用期限; 有效期限
light up,"开始吸烟, 发亮, 露喜色
"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
linger on,"停留,存留,逗留,拖延"
listen in,"收听, 监听, 偷听
"
little by little,渐渐
live by,靠…为生
live off,"以...为食料, 靠...生活"
live on,"继续生活, 以...为主食, 靠...生活"
live out,"活过(某一段时间), 住在外面"
live through,"度过, 经受过"
live up to,"实践, 做到"
live with, 与…一起生活; 与（异性）同居; 学会去适应; 接受并忍受
lock away,"na. 锁起来
"
log in,[计] 注册
log on,"[计] 注册, 登录, 登录入网"
log out,[计] 注销
long for,渴望
look back on,"回头看,回顾,追忆"
look down on,"轻视, 看不起"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look in on, 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
look into,"窥视, 浏览, 观察
"
look on,"观看, 旁观, 看待"
look out for,"当心…,留神…,提防…"
look over,"na. 浏览；检查；察看
"
look round,"环顾, 观光, (事先)进行全面考虑"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
look to,"照看, 注意, 指望"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
look up,"v. 查找；查阅；探望；看望
"
loosen up,"信口开河, 慷慨解囊, 松弛下来, 活动肌肉, 做准备动作"
lose control of,失控
lose heart,丧失勇气
lose one's head,"被砍头, 不知所措"
lose one's nerve,"不知所措, 慌张"
lose one's temper,发脾气
lose one's way,迷路
lose track of,失去线索
lump ... together,把…合在一起(考虑)
major in,"主修, 专攻"
make a bargain with,与…做交易；与…达成协议
make a boast of,自豪地说到，夸耀
make a compromise,[网络] 妥协；折衷；做出让步
make a contribution to,为…作出贡献
make a dash for,向…猛冲
make a face,做鬼脸
make a fool of,"使…成为笑柄,愚弄,欺骗"
make a fortune,"发财,致富"
make a fuss of,"使倍受注目,对…过分体贴"
make a living,"谋生, 挣钱度日, 维持生活"
make a mess of,搞糟
make a mistake,犯错误
make a profit,"获利,得益,赚钱"
make a raid on,无
make a recovery from,无
make a remark,批评；发表议论
make a splash,引起轰动
make a thing of,"认为…不得了,对…小题大作"
make a thing out of,对 ... 小题大做
make ... a top priority,无
make a difference,"有区别,有很大关系"
make the difference, 有影响；产生差别
make allowance for,"体谅, 估及, 为...留余地"
make allowances for,"[法] 体谅, 顾及"
make an abstract of,把…的要点摘录下来
make an appointment,与…约定
make an offer,"[经] 提供出售, 要价"
make an effort,作出努力
make every effort,尽一切努力
make certain,确定
make contact with,与...联系
make do with,设法应付
make ends meet,"量入为出,使收支相抵"
make for,"走向, 有利于, 倾向于"
make fun of,取笑
make haste,赶紧
make history,做出永垂史册的事情
make mention of,提到
make no bones about,"对...毫不犹豫
"
make no difference,没有影响
make no sense,毫无意义
make nothing of,"弄不懂, 不以...为意"
make of,"na. “make certain”的变体
"
make off,离开
make one's acquaintance of sb.,无
make one's hair stand on end, 令人发指
make one's way,"前进, 行进, 成功, 发迹"
make out,"na. 理解；发现；起草；证明
"
make over,"转让, 移交, 改造
"
make peace with,"v. 和…和好
"
make provision,预作安排;为未来作打算
make ready,准备好
make sense,有意义
make sure of,(把…)查明，(把…)弄清楚；一定要做到，务必要做到；确信，有把握
make sure that,"查明, 弄确实, 弄清楚, 保证, 设法一定做到, 务必, 如此安排"
make the best of,充分利用
make the grade,"成功, 爬上陡坡"
make the most of,尽量利用
make up for,"补偿,弥补"
make up one's mind,"下决心, 接受, 承认"
make up,"na. 弥补；起草；定；签订
"
make use of,使用
make way for,"v. 让路
"
make a pledge to do,无
give a pledge to do,无
make a stab at,= have a stab at
take a stab at,"na. 对某事有企图
"
have a stab at,"尝试一下,试试看"
many a,[地名] 马尼亚河 ( 俄 )
map out,"na. 规划
"
mark down,"记下, 标低价格
"
mark time,"踏步, 停顿不前"
mark up,"把...标出, 标高价格
"
mean to do, 打算做；有意做
measure up to,"符合, 达到"
mediate in,无
mediate between,在…之间调解〔调停〕
meet with,"偶遇, 遭受"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
"
mess with,"胡乱摆弄,糟蹋,与…厮混;和…一道用膳"
might as well,"还是...的好, 不妨"
millions of,"成千上万的..., 无数的..."
mind your own business,自管自吧
miss out,"省掉, 遗漏, 漏述"
mistake sb. for,错认
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
mix with,和...混合
model after,仿照…制作; 使仿效
mop up,na. 揩干；吸取(利润等)；痛击；〈口〉狼吞虎咽地吃
more often than not,"多半, 通常"
more than,"比...多, 超出预料, 很, 绰绰"
move around, 走来走去
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
move forward, 前进
move off,"离开, 死, 畅销"
move on,继续前进
move out,"搬出, 出发"
move up,"向前移动, 上升
"
mow down,"v. 杀死；扫杀
"
much as," 虽然, 尽管"
multitudes of,[网络] 众多
murmur against,小声抱怨
name after, 以…的名字起名
neither ... nor,[网络] 既不……也不；两者都不；均不
never mind,"没关系, 不用担心"
next to,几乎
night and day,夜以继日
no doubt,无疑地
no less than,正如
no longer,不再
no matter how,不管如何
no matter what, 无论如何，不管怎样
no matter when,无论何时；不管何时
no more than,na. 某乙也不
no more,不再
no sooner ... than,[网络] 一……就；不早于；刚…就
no wonder,不足为奇的
none other than,"不是别人而正是..., 不是他物而正是..."
not in the slightest,一点不
note down,"un. 记录
"
nothing but,只
nothing more than,不过是...
now and then,偶尔
now that,"既然..., 由于..."
nowhere near,离...很近
