apprentice,"n. 学徒, 生手
vt. 使做学徒"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
amateur,"n. 业余爱好者, 外行, 爱好者
"
amity,"n. 友好, 亲善关系"
amiable,"a. 亲切的, 和蔼可亲的
"
amicable,"a. 友善的, 友好的
"
amorous,"a. 多情的, 表示爱情的, 恋爱的"
enamored,"a. 倾心于...的, 被迷住的, 迷恋的"
animosity,"n. 仇恨, 憎恶, 敌意"
animus,"n. 基本态度, 敌意, 意向
"
equanimity,"n. 平静, 镇定, 沉着"
unanimity,"n. 无异议, 同意, (全体)一致
"
magnanimous,"a. 宽宏大量的, 有雅量的
"
unanimous,"a. 意见一致的, 无异议的"
affinity,"n. 吸引, 姻亲关系, 类同
"
finale,"n. 结局, 最后乐章, 终曲"
finis,"n. 终, 终结, 死"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
definitive,"n. 限定词
a. 限定的, 决定性的"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
flux,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
"
influx,"n. 流入, 河口, 汇集
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
fluent,"a. 流利的, 流畅的"
genre,"n. 类型, 流派"
progenitor,"n. 祖先, 先辈, 原本
"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
engender,"vt. 产生, 引起
vi. 发生, 形成"
regenerate,"vt. 使再生, 重建, 革新
vi. 新生, 再生
a. 新生的, 再生的
"
aggregation,"n. 集合, 聚合, 集合体
"
congregation,"n. 集合, 聚集
"
segregation,"n. 隔离, 偏析, 被隔离的部分, 种族隔离
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
gregarious,"a. 社交的, 群居的"
coherence,"n. 黏合(性), 连贯性, 一致性
"
cohesion,"n. 结合, 黏聚, 内聚
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
inherent,"a. 固有的, 与生俱来的
"
quadrilateral,"a. 四边形的
"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
equilateral,"n. 等边形
a. 等边的"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
multilateral,"a. 多边的, 多国的
"
unilateral,"a. 单方面的, 单边的, 片面的
"
alliteration,"n. 头韵
"
literacy,"n. 读写能力, 识字, 精通文学"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literary,"a. 文学的, 文艺的, 精通文学的
"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
luminary,"n. 发光体, 杰出人物"
elucidate,"vt. 阐明, 说明"
lucid,"a. 明晰的, 清澈的, 透明的, 透彻的
"
luminous,"a. 发光的, 明亮的
"
translucent,"a. 半透明的, 透明的"
manacle,"n. 手铐, 束缚
vt. 给...上手铐, 束缚"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
emancipate,"vt. 释放, 解放"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
appendix,"n. 附录, 附加物, 阑尾
"
pendant,"n. 垂饰, 下垂物, 补充的东西, 补编
"
suspense,"n. 悬疑, 焦虑, 悬念, 悬而不决
"
append,"vt. 附加, 增补, 盖章
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
impending,"a. 即将发生的, 迫切的, 悬空的
"
pending,"a. 未决定的, 待决的, 行将发生的, 向外伸出的
prep. 在等待...之际, 直到...时为止, 在...期间, 在...过程中"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
superimpose,"vt. 把(一物)放在另一物的上面, 添上, 附加, 加上, 添加
"
transpose,"vt. 调换, 颠倒顺序, 移项
vi. 互换位置
"
inscription,"n. 题字, 碑铭
"
scribe,"n. 文书, 抄写员, 划线器
vi. 担任抄写员
vt. 用划线器划"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
subscriber,"n. 签署者, 捐献者, 订户
"
conscript,"a. 被征入伍的, 被征召的
n. 征兵
vt. 征召"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
similarity,"n. 类似, 类似处
"
simile,"n. 明喻, 明喻说法"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
simulate,"vt. 模拟, 假装, 模仿
"
dissimilar,"a. 不同的, 相异的"
simultaneous,"a. 同时的, 同时发生的
"
soliloquy,"n. 自言自语, 独白"
solitude,"n. 孤独, 单独, 孤寂"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
desolate,a. 荒凉的
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
solitary,"n. 独居者
a. 孤独的, 独居的"
dissolution,"n. 分解, 溶解, 解散, 结束
"
dissolve,"v. 溶解, 解散"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
solvent,"n. 溶剂
a. 有偿付能力的, 有溶解力的"
abound,"vi. 大量存在, 富于, 充满"
inundate,"vt. 浸水, 泛滥, 淹没, 使充满"
redound,"vi. 被累加, 有助于, 报偿
"
abundant,"a. 丰富的, 充分的, 大量的"
redundant,"a. 多余的, 过多的, 冗长的
"
veracity,"n. 说话老实, 老实, 诚实"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
verity,"n. 真实, 真理, 忠诚
"
aver,"vt. 断言, 坚称
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
veritable,"a. 名副其实的, 真实的, 确实的, 真的"
visibility,"n. 可见性, 能见度, 能见距离
"
envision,"vt. 想象, 预想"
improvise,"vt. 即席创作, 临时做"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
invisible,"a. 看不见的, 无形的
"
video,"n. 影像, 电视
a. 图像的, 电视的"
visual,"a. 视觉的
"
forearm,"n. 前臂
vt. 预先武装, 准备"
forebear,"n. 祖先, 祖宗"
foreboding,"n. 预感, 先兆, 预兆"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
forefront,"n. 最前部, 最前线"
foresight,"n. 远见, 深谋远虑
"
foreword,"n. 前言, 序"
foreshadow,"vt. 成为前兆, 预示"
foregoing,"a. 前面的, 先前的, 前述的"
foremost,"a. 最初的, 最重要的
adv. 在最前"
misbelief,n. 错误的信仰
misdeed,"n. 罪行, 犯罪
"
misgiving,"n. 疑虑, 不安, 害怕, 担扰, 疑惧"
mishap,"n. 不幸之事, 灾祸, 恶运"
misstep,"n. 踏错, 错误, 失策
"
misfire,"vi. 不发火, 失败
n. 不发火, 失败"
mislay,"vt. 放错地方, 遗忘, 丢弃"
mislead,vt. 误导
outlook,"n. 观点, 景色, 前途, 了望
"
output,"n. 输出, 产品, 产量
"
outgrow,"vt. 过大而不适于, 长得比...高(或大、快), 成长得不再具有..."
outlast,"vt. 比...长久, 从...中逃生"
outrun,"vt. 超过, 逃脱"
outwit,"vt. 瞒骗, 以智取胜"
outlandish,"a. 外国气派的, 偏僻的, 古怪的"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
overdose,"n. 配药量过多
vt. 配药过量, 使过分沉溺"
oversupply,"vt. 过度供给
n. 过多的供应品"
overburden,"vt. 装载过多, 负担过多, 使过劳
"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
overconfident,"a. 过于自信的, 自负的
"
overgenerous," （施与某物时）过于慷慨的, 过分大方的"
unconcern,"n. 漫不经心, 不关心, 冷淡"
undeceive,"vt. 使不受欺骗, 使醒悟"
unnerve,"vt. 使失去勇气, 使胆怯, 使不能自制
"
unscramble,"vt. 使恢复原状, 整理, 译出密码"
unshackle,"vt. 除去...镣铐, 释放, 使获自由"
unabridged,"a. 未经删节的, 完整的"
unbiased,"a. 没有偏见的
"
unquenchable,"a. 不能熄灭的, 不能遏制的, 止不住的"
unwary,"a. 不谨慎的, 不注意的, 粗心的, 易上当的"
underbrush,n. 林下灌丛
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
underpayment,n. 缴付不足；不足工资
undersigned,a. 下面签过名的
understatement,"n. 软弱无力的陈述, 克制的说法
"
understudy,"n. 预备演员, 替角
vt. 通过观察掌握某工作, 通过实习掌握某工作
vt.vi. 练习当替角"
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
undersell,"vt. 以低于市价售出, 抛售
"
underdeveloped,"a. 开发不充分的, 不发达的, 发育不全的"
underprivileged,"a. 贫困的, 下层社会的, 被剥夺了正当权利的, 权益较他人为少的
"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
upkeep,"n. 维持, 维修费
"
upstart,"n. 新贵, 暴发户, 自命不凡者
a. 暴富的"
upturn,"n. 情况好转, 向上趋势
v. (使)向上, 转朝上, 翻转"
update,"vt. 更新, 使现代化
n. 更新
"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
uproot,"vt. 连根拔起, 根除"
upcoming,"a. 即将来临的, 即将出现的"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
withdrawn,withdraw的过去分词
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
withholding,n. 扣缴税款
withstand,"vt. 抵住, 顶住, 经得起"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
Adonis,"n. 阿多尼斯(希腊神话人物), 美少年, 花花公子
"
aegis,"n. 羊皮盾, 保护, 庇护, 赞助, 支持
"
amazon,"n. 亚马孙河
"
ambrosial,a. 特别美味的
atlas,"n. 地图集, 图表集
"
auroral,"a. 曙光的, 玫瑰红的, 极光的"
bacchanalian,"a. 酒神节的, 狂饮作乐的"
chimerical,a. 空想的
draconian,"a. 严厉的, 残酷的"
Elysian,"a. 乐土的, 象天堂的"
hector,"n. 威吓者, 虚张声势的人
vt.vi. 说大话, 吓唬, 折磨, 愚弄"
herculean,a. 魁梧有力的
hermetic,"a. 奥妙的, 密封的, 不透气的, 不漏气的, 与外界隔绝的
"
iridescent,"a. 彩虹色的, 闪光的
"
jovial,"a. 快活的, 高兴的, 愉快的
"
labyrinthine,[医] 迷路的
laconic,"a. 简洁的, 简明的"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
"
Lucullan,"a. 豪华的, 奢华的"
martial,"a. 战争的, 军事的, 尚武的, 威武的
"
mentor,"n. 指导者, 良师益友"
mercurial,"a. 水星的, 敏捷的, 活泼的, 水银的
n. 汞剂"
myrmidon,"n. 家仆, 部下, 跟班"
nemesis,"n. 复仇女神, 给与惩罚的人, 天罚, 报应"
odyssey,n. 奥德赛(古希腊史诗)
paean,"n. 凯歌, 欢乐歌, 赞美歌"
palladium,"n. 钯
"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
philippic,n. 激烈的抨击
plutocratic,"a. 富豪统治的, 财阀的, 富豪的"
procrustean,"a. 普罗克汝斯忒斯的, 强求一致的"
protean,"a. 千变万化的, 变化不定的, (海神)普罗透斯的
"
Pyrrhic,火的
saturnine,"a. 沉默寡言的, 阴沉的, 铅中毒的
"
siren,"n. 女海妖, 妖女, 警报器, 汽笛, 迷人的美女
a. 诱惑的
vi. 响着警报器前进"
solon,n. 贤人；议员
stentorian,a. 声音洪亮的
Stygian,"a. 冥河的, 阴森森的, 幽暗的, 不可侵犯的, 不可违背的"
tantalize,"vt. 逗弄, 使干着急"
terpsichorean,"a. 舞蹈的
n. (书面)(谑)舞蹈者, 舞蹈家"
thespian,"a. 悲剧的, 戏剧的, 悲剧性的
n. 演员, 悲剧演员"
titanic,"a. 四价钛的
"
au courant," 熟悉, 通晓(with)"
blasé,无
chic,"n. 漂亮, 别致的款式
a. 漂亮的, 别致的"
debonair,"a. 温文有礼的, 高兴的"
maladroit,"a. 笨拙的, 拙劣的, 愚钝的"
naive,"a. 天真的, 纯真的, 幼稚的"
nonchalant,"a. 不关心的, 冷淡的, 无动于衷的"
attaché,无
bourgeoisie,"n. 中产阶级, 资产阶级"
chargé d'affaires,无
connoisseur,"n. 鉴赏家, 鉴定家, 内行"
coterie,"n. 同人, 圈内人, 小集团"
debutante,"n. 初进社交界的少女/女子, 初次登台的女演员"
devotee,"n. 爱好者, 献身者, 虔诚的宗教信徒"
elite,"n. 精华, 精锐, 中坚分子"
émigré,无
entrepreneur,"n. 企业家, 主办人
"
envoy,"n. 外交使节, 特使
"
fiancé,无
gendarme,"n. 宪兵, 警官"
ingenue,"n. 天真无邪的姑娘, 扮演天真姑娘的女演员"
maitre d'hôtel,无
martinet,n. 严格执行纪律的人
nouveaux riches,"na. 〈外〉暴发户
"
protégé,无
raconteur,"n. 说书者, 擅长讲故事的人, 健谈者"
éclat,无
élan,无
ennui,"n. 倦怠, 厌倦
"
esprit de corps,"n. 团结精神, 集体精神"
finesse,"n. 策略, 手段, (桥牌中的)飞牌
v. 用计谋处理, 出小牌"
legerdemain,"n. 戏法, 骗术, 诡辩"
malaise,"n. 不舒服
"
noblesse oblige,"n. 地位高则责任重, 贵人应有的品德"
rapport,"n. 关系, 融洽, 一致
"
sangfroid,"n. 冷静, 泰然, 沉着"
savoir faire,"n. 才干, 急智, 手腕"
adieu,"interj. 再见, 再会
n. 告别, 辞别"
au revoir,"n. <法>再会, 再见"
billet-doux,n. 〈外〉情书；不愿收到的信[催账信等]
bon mot,"警语,妙语"
brochure,"n. 小册子, 小册"
canard,"n. 谣言, 误传"
cliché,无
entre nous,"<法语>只限于咱俩之间,你知我知,不能让外人知道地"
mot juste,"n. <法>十分恰当的话,非常贴切的字眼"
précis,无
repartee,"n. 机敏巧妙的回答, 妙语, 机智的反驳, 巧辩, 敏捷答辩的才能"
résumé,无
riposte,"n. (击剑中)还击, 机敏的回答
vi. 迅速还击, 机敏回答"
tête-à-tête,无
bête noire,无
carte blanche,"署名空白纸(任人填写条件等), 全权委托
"
cause célèbre,无
cul-de-sac, 独头巷道
debacle,"n. 崩溃, 大失败"
fait accompli,(pl.faits accomplis)[法]既成事实
faux pas,"n. 失礼, 失言"
impasse,"n. 难局, 僵局, 死路, 死胡同"
liaison,n. 联络
mélange,无
mirage,"n. 海市蜃楼, 幻景, 妄想"
coup d'état,无
démarche,无
détente,无
entente,"n. 协定, 协约
"
laissez-faire,"n. 放任, 自由主义"
lettre de cachet,"(pl. lettres de cachet)[法]密信, (尤指)(法国革命前国王不通过法律手续发出的)秘密逮捕令"
rapprochement,"n. 和解, 恢复邦交, 恢复友好关系, 重归于好"
régime,无
avant-garde,"n. 前卫; 先锋
adj. 前卫的"
bas-relief,"n. 半浮雕
"
baton,"n. 指挥棒, 接力棒, 警棍"
chef d'oeuvre,"n. 〈外〉杰作
"
dénouement,无
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
genre,"n. 类型, 流派"
musicale,n. 社交音乐会
palette,"n. 调色板, 颜料
"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
vignette,n. 装饰图案；小插图
a la carte,"a. 按菜单点菜的
adv. 按菜单点菜"
aperitif,n. 开胃酒
bonbon,"n. 夹心软糖, 糖果"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
demitasse,"n. 小型咖啡杯, 小杯清咖啡"
entree,"n. 入场许可, 主菜"
filet,"n. 头带, 轮廓线, 带状物, 带子, 束发带, 肉片, 鱼片, 襻, 嵌条, 丘带, (内)圆角
vt. 用带缚, 把(肉/鱼)切成片, 用饰带装饰"
hors d'oeuvres,[网络] 冷盘；开胃菜；小食
pièce de résistance,无
table d'hôte,无
bouffant,"a. 鼓胀的, 柔软而膨松的"
chemise,"n. 女式无袖宽内衣, 衬衫式外衣
"
coiffure,"n. 头发式样, 妇女的发式, 头饰
vt. 把(头发)做成某种式样"
corsage,"n. 女服胸部, 胸衣, 装饰花"
cravat,"n. 领带, 围巾, 三角绷带
"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
toupee,n. 男子假发
vogue,"n. 时尚, 时髦, 流行
a. 流行的, 时髦的"
avoirdupois,"n. 常衡, 体重, 肥胖
"
bagatelle,"n. 琐事, 小事, 弹球戏"
coup de grâce,无
facade,"n. 建筑物的正面, 外观, 表面"
fête,无
foyer,"n. 门厅, 入门大堂"
milieu,"n. 周围, 社会环境, 环境, 表达的手法
"
parasol,"n. 阳伞, 伞翼机"
par excellence,"adv. 最卓越, 超群"
pince-nez,"n. “pince”的复数
"
raison d'être,无
rendezvous,"n. 约会, 约会地点
v. 集合, 集结, 在约定场所会面
"
silhouette,"n. 黑色半身侧面影, 影子, 轮廓, 剪影
vt. 描绘...成侧面影, 使照出影子来, 使仅仅显出轮廓"
sobriquet,n. 绰号
souvenir,n. 纪念品
tour de force,n. 绝技
vis-à-vis,无
basso,"n. 最低声部, 男低音歌手"
baritone,"n. 男中音, 男中音歌手, 低音铜管乐器"
tenor,"n. 稳定的进程, 思路, 要旨, 大意, 誊本, 票据的限期, 男高音
a. 男高音的"
alto,"n. 女低音, 男声最高音, 女低音歌手"
contralto,"n. 女低音, 女低音手"
mezzo-soprano,次女高音
soprano,"n. 女高音, 最高音部, 女高音歌手
a. 女高音的"
coloratura,"n. 声乐的花腔, 花腔歌手"
falsetto,"n. 假音, 假声歌手"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
largo,"a. 缓慢的
adv. 缓慢地
n. 慢板"
adagio,"adv. 缓慢地
a. 缓慢的
n. 柔板"
lento,"a. [乐] 徐缓的, 柔和的"
andante,"n. 行板, 行板乐曲
a. 徐缓的
adv. 徐缓地"
moderato,adv. （意）中板地；中等速度地
allegro,"adv. 急速地
a. 快速的
n. 快板"
vivace,"adv. 活泼地
a. 活泼的"
presto,"adv. 赶快, 转眼间, 立刻
a. 变戏法似的"
prestissimo,"n. 最快速度
a. 最快的, 极快的"
crescendo,n. 声音渐强
decrescendo,"n. 渐弱, 乐节
a. 渐弱(声音)的"
dolce,"a. 温柔的, 甜美的；悦耳而柔和的"
forte,"n. 长处, 特长, 拿手, 优点"
fortissimo,"a. 非常嘹亮的, 最强音的
adv. 非常响亮地"
pianissimo,adv. 
piano,n. 钢琴
sforzando,n. 强调音符
a cappella, （音乐术语）无伴奏合唱
arpeggio,n. 琶音
legato,a. 连奏的
pizzicato,"n. 拨奏曲, 用指弹的乐曲
a. 指弹的"
staccato,"a. 断奏的, 断续的, 不连贯的
adv. 断奏地, 断续地, 不连贯地
n. 不连贯的东西"
tremolo,"n. 震音, 震音装置
"
vibrato,[电] 振音
aria,"n. 独唱特写镜头, 咏叹调"
bravura,n. 大胆的尝试；令人赞赏的演唱或演奏技巧
cantata,"n. 康塔塔, 大合唱"
concerto,n. 协奏曲
duet,n. 二重奏
finale,"n. 结局, 最后乐章, 终曲"
intermezzo,"n. 插曲, 幕间剧, 间奏曲"
libretto,"n. 歌词集, 剧本"
opera,n. 歌剧
oratorio,"n. 圣乐, 清唱剧, 神剧"
scherzo,n. [音]诙谐曲
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
sonata,n. 奏鸣曲
trio,n. 三重唱
cameo,n. 刻有浮雕的宝石或贝壳
campanile,n. 钟楼
canto,"n. 长诗的篇章, 曲调"
chiaroscuro,"n. 用明暗对照所作的素描, 明暗对照法"
cupola,"n. 圆屋顶, 圆顶篷, 圆顶的塔
"
fresco,"n. 湿壁画, 湿壁画技法
vt. 作湿壁画于"
intaglio,"n. 凹雕, 凹雕玉石
vt. 凹雕"
majolica,n. 意大利产锡釉陶器
mezzanine,n. 两层楼之间的夹层楼面
mezzotint,"n. 网线铜版, 网线铜版印刷品
vt. 用网线铜版雕刻法刻"
patina,"n. 绿锈, 光泽, 古色, 神态, 圣餐盘
"
portico,n. 门廊
rotunda,"n. 圆形建筑, 圆形大厅"
stucco,"n. 粉饰灰泥
vt. 涂以灰泥, 粉刷"
tempera,n. 蛋彩画；蛋彩画法
terra cotta,adj. 赤土陶器的，赤土色的
torso,"n. 躯干, 裸体躯干雕像
"
cognoscente,"n. (美术品)鉴赏家, 鉴别家"
dilettante,"n. 业余爱好者
a. 外行的, 浅薄的"
maestro,"n. 音乐大师, 大音乐家"
virtuoso,n. 艺术品鉴赏家
dolce far niente,n. <意>悠闲
fiasco,"n. 惨败, 大失败"
imbroglio,"n. 纷乱, 纠葛, 一团糟"
incognito,"adv. 微行地, 隐姓埋名地
n. 微行者, 匿名者
a. 微行的, 改名的, 匿名的"
vendetta,"n. 族间仇杀, 世仇, 宿怨
"
antipasto,n. 开胃食物
Chianti,n. 基安蒂红葡萄酒（产于意大利）
gusto,"n. 爱好, 嗜好, 由衷的高兴"
pizza,n. 比萨饼
gondola,"n. 狭长小船, 两头尖的平底船, 吊监, 吊舱, 无盖货车"
grotto,"n. 洞穴, 岩穴, 洞室"
piazza,"n. 广场, 阳台, 柱廊, 走廊, 露天市场"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
"
salvo,"n. 保留条款, 遁辞, 保护手段, 齐射, 齐鸣
"
sotto voce,"adv. 音调甚低地, 低声地"
aficionado,"n. 狂热爱好者, 迷"
caballero,"n. 西班牙绅士, 骑士, 骑手"
conquistador,"n. 西班牙征服者, 征服者"
desperado,"n. 亡命之徒
"
duenna,n. 少女的保姆
gaucho,n. 加骄牧人
grandee,"n. 大公, 显贵之人"
hidalgo,"n. 西班牙贵族, (西班牙语国家的)绅士"
junta,"n. 以武力政变上台的(军)政府, 私党, 阴谋小集团, 政务会"
junto,"n. 私党, 秘密结社, 阴谋团体"
matador,n. 斗牛士
mestizo,n. 混血儿
peon,"n. 劳工, 短工, 马夫, 劳役犯, (土著)警察, 勤杂工
"
picador,"n. 骑马斗牛士, 能言善辩者, 机灵的人"
picaro,"n. 流浪汉, 无赖
"
renegade,"n. 背教者, 变节者, 脱党者
a. 背弃的, 脱离的, 叛徒的
vi. 背叛, 背弃, 脱离"
señor,无
señora,无
señorita,无
toreador,n. 斗牛士
torero,n. 斗牛士
vaquero,"n. 牧者, 放牛者,牧童"
adobe,"n. 风干土坯
"
bolero,"n. 波列罗舞, 波列罗舞曲, 女用短上衣"
bonanza,"n. 富矿带, 带来好运的事物, 幸运"
bravado,n. 虚张声势
cabana,n. 小屋
castanets,n. 响板
fiesta,"n. 祭典日, 喜庆日, 假日"
flotilla,"n. 小舰队, 小型船队"
hacienda,n. 大庄园
incommunicado,"a. 不得与外界接触的, 不准与外界通信息的
"
mantilla,"n. 花边披肩头纱, (女用)披风"
olio,"n. 什锦菜, 混杂物, 杂烩"
peccadillo,"n. 轻罪, 小过, 小瑕疵"
poncho,"n. 南美披风, 雨披"
pueblo,"n. 普韦布洛印第安人, 印第安人村庄"
siesta,"n. 午睡, 午休"
tortilla,n. 玉米饼
arroyo,"n. 干涸沟壑, 旱谷, 小河"
bronco,n. 野马
burro,n. 小驴
canyon,"n. 峡谷, 海底悬崖"
indigo,"n. 靛青, 靛蓝色
a. 靛蓝色的"
mañana,无
mesa,"n. 台面, 岩滩, 平顶山"
mustang,"n. 野马, (海军行伍出身的)军官"
pampas,n. 蒲苇
sierra,n. 呈齿状起伏的山脉
