intellect,"n. 智力, 出众的才华, 知识分子
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
newsprint,"n. 新闻纸
"
operate,"v. 操作, 运转, 动手术, 活动"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
react,"vi. 起反应, 起作用, 反攻
"
science,"n. 科学, 学科, 学问, 自然科学
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
subtitle,n. 副标题
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
victory,"n. 胜利, 战胜, 克服"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
decision-making,
elude,"vt. 逃避, 规避, 把...难倒"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
learn,vt. 学习；认识到；得知
marketplace,n. 市场
newsstand,"n. 报摊, 报刊出售处"
opportunity,"n. 机会, 时机"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
supersystem,[计] 超级系统
supervise,"v. 监督, 管理, 指导"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
unemployment,"n. 失业, 失业人数
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
acquire,"vt. 获得, 学到
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
category,"n. 种类, 类项
"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
dedicate,"vt. 献出, 贡献"
eminent,"a. 显赫的, 杰出的, 有名的"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
pastime,"n. 消遣, 娱乐, 游戏"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
unexpected,"a. 料想不到的, 突然的, 意外的
"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
beneficial,"a. 有益的, 受益的
"
cate,"n. 佳肴, 美食"
cruel,"a. 残酷的, 令人极痛苦的
"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
deduce,"vt. 推论, 演绎出
"
emotion,"n. 情绪, 激动, 强烈的情感
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
improper,"a. 不合适的, 错误的, 不成体统的, 不道德的
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
noisy,"a. 嘈杂的, 喧闹的
"
orchestra,"n. 管弦乐队, 乐队演奏处"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
recession,"n. 后退, 凹处, 衰退, 归还
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
credible,"a. 可信的, 可靠的
"
ember,"n. 灰烬, 余烬"
fate,"n. 命运, 运气
vt. 注定"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
imply,"vt. 暗示, 意味
"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
superb,"a. 极度的, 华丽的, 极好的"
superhigh,a. 超高的
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
vigour,"n. 精力, 活力, 力量, 效力, 气势"
vigor,"n. 精力, 活力"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
"
cricket,"n. 蟋蟀, 板球"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
crisis,"n. 危机, 危险期, 紧要关头
"
decorate,v. 装饰
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
headlong,"a. 头向前的, 仓猝而用力的, 轻率的
adv. 头向前地, 猛然地, 用力地"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
legal,"a. 法律的, 法定的, 合法的
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
option,"n. 选择权, 挑选, 选项
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superstar,n. 超级明星
superstition,"n. 迷信
"
testify,"v. 证明, 作证, 声明, 表明"
undoubtedly,"adv. 无疑, 必定, 确实地"
well-meaning," 出于好心的, 好心好意的, 善意的（但常事与愿违）"
acquaint,"vt. 使认识, 介绍"
bench,"n. 长椅子
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
critique,"n. 评论文章, 评论"
decrease,"n. 减少, 减少量
v. 减少"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
healthcare,"n. 医疗保健；卫生保健；健康护理, 健康服务"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
legislation,"n. 立法, 法律
"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
unfavourable,"a. 不适宜的, 不适应的, 不顺利的, 不好的, 相反的, 不同意的, 令人不快的"
unfavorable,"a. 不宜的, 不顺利的, 反对的
"
virtuoso,n. 艺术品鉴赏家
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
adapt,"vt. 使适应, 改编
vi. 适应"
curious,"a. 好奇的, 求知的, 古怪的"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
deem,"v. 认为, 相信"
encode,"vt. 把(电文、情报等)译成密码
"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
herb,"n. 药草, 香草
"
inadequate,"a. 不充分的, 不适当的
"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
non-durable, 不耐用物品
organise,"vt. 组织, 有机化, 给予生机"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
theme,"n. 主题, 话题, 题目"
unfocused,a. 不聚成焦点的
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
celebrate,"v. 庆祝, 祝贺, 举行"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
feedback,"n. 反馈, 反应
"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
inborn,a. 天生的；先天的
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
pathway,"n. 路径, 途径
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
swab,"n. 拖把, 药签
vt. 擦洗, 拭抹"
theology,n. 神学
unfolding,[化] 解折叠; 开折; 伸展
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
customer,"n. 消费者
"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
cute,"a. 可爱的, 聪明的, 伶俐的
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
good-natured,"和善的,仁慈的,好性情的"
incentive,"n. 动机
a. 激励的"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
mathematics,"n. 数学
"
unfairness,"[法] 不公平, 不公正, 不正当"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
beside,prep. 在旁边
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
deduction,"n. 减除, 扣除, 减除额, 推论
"
emphasize,"vt. 强调, 加强语气, 着重"
federal,"a. 联邦的, 联合的, 同盟的
"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
height,"n. 高度, 海拔, 高地, 顶点
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
masterpiece,"n. 杰作, 名著"
nonconformist,"n. 不相信英国国教的人, 不符合通常准则的人, 不落俗套的人
a. 违反准则的, 不落俗套的, 违反规范的"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
patchwork,"n. 拼缝物, 拼凑物"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
surgeon,"n. 外科医生, 军医, 船医
"
surpass,"vt. 超越, 凌驾, 胜过"
unfashionable,"a. 不流行的, 不时髦的, 过时的"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
bestseller,n. 畅销书
caution,"n. 小心, 慎重, 警示
vt. 警告
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
feeble,"a. 微弱的, 衰弱的, 无效的
"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
inability,"n. 无能, 无力"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
mastery,"n. 征服, 统治权, 优势, 精通, 掌握
"
non-controversial,"adj. 不会引起争议的；一致的
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
seem,"vi. 象是, 似乎"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
thermostat,"n. 自动调温器, 温度自动启闭装置
"
unimaginable,"a. 不能想象的, 不可思议的"
unionist,"n. 工会会员, 工联主义者
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
adjoining,"a. 邻接的, 毗连的
"
certain,"a. 确定的, 某一个的, 必然的
"
definite,"a. 明确的, 一定的
"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
govern,"v. 统治, 支配, 管理"
hinder,"a. 后面的
v. 阻碍, 打扰"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
liberty,"n. 自由, 特权, 许可, 冒失
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
outcome,"n. 结果, 出口"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
seething,"a. 沸腾的, 火热的"
uninformed,"a. 没有得到通知的, 未被告知的, 无知的, 不学无术的, 未受教育的, 蒙昧的
"
wilful,"a. 任性的, 固执的, 故意的, 存心的
"
willful,"a. 任性的, 故意的, 有意的"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
certify,"v. 证明, 保证"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
fiction,"n. 小说, 虚构故事
"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
paycheck,"n. 付薪水的支票, 薪水"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
biography,n. 传记
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
degrade,"v. (使)降级, (使)退化"
energy,"n. 精力, 精神, 活力, 能量
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
noteworthy,"a. 值得注目的, 显著的"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
self-conscious,"adj. 自觉的；怕难为情的；害羞的
"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
origin,"n. 起源, 起因, 出身, 开端
"
reconsider,"v. 再考虑, 重新考虑"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
visual,"a. 视觉的
"
adequate,"a. 适当的, 足够的
"
bilingual,a. 双语的
census,"n. 户口普查
vt. 实施统计调查"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
defend,"vt. 防护, 辩护, 防卫
"
encourage,"vt. 鼓励, 支持, 激励
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
reconstruct,"vt. 重建, 改造
"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
therapy,"n. 治疗
"
unfortunately,"adv. 恐怕, 不幸的是"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
deference,"n. 顺从, 尊重"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
fever,"n. 发烧, 发热, 热病
"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
hijack,"vt. 抢劫, 劫持, 敲诈
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
meaningless,a. 无意义的
ought,"aux. 应该, 大概
n. 责任"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
redundant,"a. 多余的, 过多的, 冗长的
"
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
thoughtless,"a. 欠考虑的, 无深虑的, 轻率的"
unique,"a. 独一无二的, 独特的, 稀罕的"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
bipedal,[医] 两足的
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
