alter,v. 改变
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
calculate,"v. 计算, 预测, 计划, 打算"
definitely,"adv. 明确无疑地, 清楚地"
billion,"num. 十亿, 十亿个"
decade,"n. 十年, 十"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
judgement,"n. 审判, 判决, 判断
"
homeless,"a. 无家的, 无养主的"
criticize,"v. 批评, 吹毛求疵, 非难"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
define,"vt. 定义, 规定, 使明确
"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
disagree,"vi. 不一致, 不适宜
"
holding,"n. 把持, 支持, 保持
"
basically,"adv. 基本上, 主要地"
distinguish,"v. 区别, 辨别"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
suburb,"n. 市郊住宅区, 郊区, 边缘"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
driving,"n. 赶, 操纵, 驾驶
a. 推进的, 强劲的, 精力旺盛的"
circumstance,"n. 环境, 状况, 事件"
misunderstand,"vt. 误解, 误会"
acquaintance,"n. 认识, 相识者"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
briefcase,n. 公事包
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
debt,"n. 债务, 罪过
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
grocer,n. 食品商
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
magician,"n. 魔术家, 幻术家, 术士"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
ass,"n. 驴, 傻瓜, 笨蛋, 屁股
"
beaver,"n. 海狸(毛皮)
"
camel,"n. 骆驼, 打捞浮筒"
cock,"n. 公鸡, 雄禽, 龙头, 头目, 锥形小干草堆
vt. 使耸立, 使竖起, 堆成锥形小干草堆
vi. 大摇大摆地走, 翘起"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
horseback,"n. 马背
adv. 在马背上, 骑在马上"
owl,"n. 猫头鹰
"
ox,n. 牛
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
salmon,"n. 鲑鱼, 大麻哈鱼
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
northeast,"n. 东北
a. 东北的, 向东北的, 来自东北的
adv. 向东北, 来自东北"
northwest,"n. 西北, 西北方
a. 西北的, 在西北的, 来自西北的
adv. 向西北"
southeast,"n. 东南, 东南地区
a. 东南的, 向东南的, 来自东南的
adv. 往东南, 来自东南"
southwest,"n. 西南, 西南方, 西南地区
a. 西南的, 来自西南方的
adv. 往西南, 来自西南"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
dressing,"n. 调味品, 穿衣, 化妆
"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
turning,"n. 旋转, 转弯处, 车削工作
"
agriculture,"n. 农业
"
category,"n. 种类, 类项
"
chemistry,"n. 化学, 化学过程
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
essence,"n. 实质, 本质, 香精
"
existence,"n. 存在, 生存
"
humanity,"n. 人性, 人类, 博爱"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
origin,"n. 起源, 起因, 出身, 开端
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
pronunciation,"n. 发音, 读法"
species,"n. 种, 类, 外形
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
cancer,"n. 癌, 恶性肿瘤
"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
ambition,"n. 野心, 志向"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
appetite,"n. 食欲, 欲望, 爱好
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
concentration,"n. 集中, 专心
"
confession,"n. 承认, 坦白, 招供
"
conscience,"n. 良心
"
consciousness,"n. 意识, 知觉, 自觉
"
consideration,"n. 考虑, 原因
"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
enjoyment,"n. 享乐, 快乐, 享受
"
enthusiasm,"n. 巨大的热情, 热心"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
expectation,"n. 期待, 指望, 展望
"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
hatred,"n. 憎恨, 仇恨, 憎恶
"
ignorance,"n. 无知, 愚味
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
instinct,"n. 本能, 直觉
a. 充满着的"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
jealousy,"n. 妒忌, 猜忌, 羡慕
"
laughter,"n. 笑, 笑声
"
madness,"n. 疯狂, 愚蠢的行为
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
restraint,"n. 抑制, 克制, 束缚
"
sadness,"n. 悲哀, 悲伤"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
acting,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
comedy,"n. 喜剧, 有趣的事情"
edition,"n. 版本, 版, 翻版"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
exhibition,"n. 表现, 展览会, 展览品
"
fame,"n. 名望, 名声, 传说"
fiction,"n. 小说, 虚构故事
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
publication,"n. 出版物, 出版, 公布
"
recording,"a. 记录的, 记录用的
n. 录音"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
version,"n. 一种描述, 版本, 译文
"
apricot,"n. 杏子, 杏树, 杏黄色
a. 杏黄色的"
ash,"n. 灰, 灰烬
"
atmosphere,"n. 大气, 空气, 气氛
"
bamboo,"n. 竹子
"
berry,"n. 浆果
vi. 采集浆果"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
celery,"n. 芹菜
"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
oak,"n. 橡树, 橡木
a. 橡木制的"
oasis,"n. 绿洲, 舒适的地方
"
oxygen,"n. 氧
"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
sunflower,n. 向日葵
tide,"n. 潮, 潮汐, 趋势, 潮流, 涨潮, 高潮
vt. 使随潮漂流
vi. 顺潮行驶"
vanilla,"n. 香草, 香子兰"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸
vi. 结网, 形成网
vt. 织蜘蛛网于, 使落入圈套"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
anniversary,n. 周年纪念
apology,"n. 道歉, 辩护
"
asking,n. 请求
aspect,"n. 外观, 方面, 面貌, 方向
"
blessing,n. 祝福
breakdown,"n. 崩溃, 故障
"
convenience,"n. 方便, 便利的事物, 方便的时候"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
engagement,"n. 诺言, 约会, 婚约, 交战
"
eve,"n. 前夕, 前夜"
fate,"n. 命运, 运气
vt. 注定"
flavor,"n. 滋味, 调味品
vt. 加味于"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
goodness,"n. 仁慈, 善良"
guidance,"n. 指导, 领导
"
helping,"n. 帮助, 协助, 一份"
hunting,"n. 狩猎, 猎狐, 探求
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
miracle,"n. 奇迹, 奇事"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
privacy,"n. 隐私, 隐居, 秘密
"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
transportation,"n. 运输, 输送, 交通车辆
"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
adjustment,"n. 调整, 调节, 校正
"
admission,"n. 准许进入, 入场费, 录用, 承认
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
approval,"n. 赞成, 批准
"
banking,"n. 银行业务
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
commerce,"n. 商业, 商务, 贸易
"
conclusion,"n. 结论, 结尾, 推论
"
conference,"n. 会议
"
constitution,"n. 构成, 宪法, 体格
"
contribution,"n. 捐助, 捐助之物, 贡献
"
convention,"n. 大会, 协定, 惯例, 约定
"
corporation,"n. 公司, 合作, 法人团体
"
crisis,"n. 危机, 危险期, 紧要关头
"
destruction,"n. 破坏, 毁灭
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
disadvantage,"n. 缺点, 不利, 坏处"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
efficiency,"n. 效率, 效能, 功效
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
establishment,"n. 确立, 制定, 设施
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
farming,"n. 农业, 耕作"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
formation,"n. 形成, 构造, 编队
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
guilt,"n. 罪行, 内疚
"
hanging,"n. 绞死, 绞杀, 悬挂
"
independence,"n. 独立, 自立, 自主
"
journalism,"n. 新闻业, 报章杂志
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
making,"n. 制造, (手工)制造业, 制作, 形成, 发展, 要素, 内在因素, 赚头, 制造物"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
nationality,"n. 国籍, 国家, 民族性
"
output,"n. 输出, 产品, 产量
"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
pollution,"n. 污染, 玷污
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
procedure,"n. 程序, 过程, 手续
"
promotion,"n. 晋级, 创建, 增进
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prosperity,"n. 繁荣, 茂盛, 成功
"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
reduction,"n. 减少, 缩影, 变化
"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
replacement,"n. 归还, 更换, 代替者
"
republic,"n. 共和国, 共和政体, 团体, 界"
requirement,"n. 需求, 必要条件, 要求
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
ruling,"n. 判决, 裁定, 统治
a. 统治的, 支配的, 普遍的"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
searching,"a. 搜索的, 遍寻的, 彻底的, 敏锐的
n. 搜索, 检查"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
session,"n. 期间, 开庭期, 会议, 学期
"
sin,"n. 罪, 犯罪, 过失, 失礼
v. 犯"
solution,"n. 解决, 解答, 溶液
"
status,"n. 状态, 情形, 地位, 要人身份
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
surrounding,"n. 环境
a. 周围的"
treaty,"n. 条约, 谈判
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
acre,n. 英亩
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
circuit,"n. 电路, 环(行)道, 巡回
"
era,"n. 时代, 纪元, 时期"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extent,"n. 范围, 程度, 区域
"
handful,"n. 少数, 一把, 棘手事"
haste,"n. 匆忙, 急忙"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
minimum,"a. 最小的, 最低的
n. 最小值
"
priority,"n. 优先权, 优先
"
variation,"n. 变更, 变化, 变种, 变奏
"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
width,"n. 宽度, 宽广, 广博
"
bulldozer,"n. 推土机
"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
steamer,"n. 汽船, 蒸汽机
"
van,"n. 货车, 篷车, 先锋, 前驱, 前卫
vt. 用货车搬运
"
aquarium,"n. 水族馆, 养鱼池, 水草缸
"
bedside,"n. 床边
a. 床边的, 临床的"
boundary,"n. 边界, 分界线
"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
colony,"n. 殖民地, 移民队
"
cottage,"n. 小屋, 茅舍"
county,"n. 县, 郡"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
doorway,"n. 门口, 途径"
frontier,"n. 边界, 边境
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
hillside,"n. 山坡, 山腹"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
kindergarten,n. 幼稚园
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
province,"n. 省, 地方, 职权, 领域
"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
amateur,"n. 业余爱好者, 外行, 爱好者
"
ancestor,"n. 祖先, 祖宗"
beggar,"n. 乞丐
vt. 使贫穷, 使成乞丐"
bride,n. 新娘
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
buyer,"n. 买主, 买方
"
chef,n. 厨师
chemist,"n. 化学家, 药剂师
"
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
composer,"n. 作曲家, 作家, 调停者"
cop,"n. 警官
vt. 抓住"
countryman,"n. 同胞, 乡下人, 国民"
darling,"n. 亲爱的, 可爱的人, 可爱的物
a. 可爱的, 亲爱的"
diver,n. 潜水者
drinker,"n. 饮者, 酒徒"
electrician,"n. 电学家, 电气技师, 电工
"
emperor,"n. 皇帝, 君主"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
gangster,"n. 流氓, 歹徒
"
gardener,"n. 园丁, 花匠, 园艺家"
genius,"n. 天才, 天赋, 精神, 神魔
"
goddess,"n. 女神, 美女, 受崇拜的女性"
grandparent,n. 祖父母
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
jumper,"n. 跳跃者, 工作服
"
keeper,"n. 监护人, 管理人, 看守人
"
learner,"n. 学习者, 初学者"
peasant,"n. 农夫, 乡下人"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
planner,"n. 计划者, 设计者, 安排者
"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
saint,"n. 圣徒, 圣人
a. 神圣的
"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
skier,n. 滑雪的人
spokesman,"n. 发言人, 代言者"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
stylist,"n. 文体学家, 时装设计师"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
comparison,"n. 比较, 对照, 比喻
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
consequence,"n. 结果, 重要性
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
measurement,"n. 尺寸, 度量, 度量单位
"
outcome,"n. 结果, 出口"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
tendency,"n. 趋向, 倾向
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
ashtray,n. 烟灰缸
ax,"n. 斧头
vt. 用斧削或砍, 削减"
barrel,"n. 桶
vt. 装入桶内"
basin,"n. 盆, 盆地
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
boiler,"n. 煮器, 汽锅, 锅炉
"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
booklet,n. 小册子
brandy,"n. 白兰地酒
"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
cardigan,n. 卡迪根式开襟羊毛衫
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
chess,"n. 国际象棋
"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
container,"n. 容器, 集装箱
"
cord,"n. 绳索, 束缚
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
crossword,"n. 纵横填字游戏, 纵横填字字谜
"
dessert,n. 餐后甜点
doorbell,n. 门铃
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
guidebook,"n. 指南, 手册, 要览"
handbook,"n. 手册
"
heater,"n. 加热器, 灯丝, 加热工
"
heating,"n. 加热, 供热, 暖气设备, 供暖系统, 暖气装置
a. 加热的, 供暖的"
hood,"n. 头巾, 兜帽, 覆盖, 强盗
vt. 罩上, 覆盖"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
lipstick,"n. 口红, 唇膏
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
machinery,"n. 机器, 机械装置, 机构
"
mast,"n. 桅, 桅杆, 杆
vt. 装桅杆于"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
monument,"n. 纪念碑, 纪念物, 石碑"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
razor,"n. 剃刀
vt. 剃"
receiver,"n. 接收器；接受者；收信机；收款员, 接待者"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
software,"n. 软件
"
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
tablespoon,"n. 大汤匙
"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
vessel,"n. 船, 容器, 脉管
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
endless,"a. 不停的, 无穷尽的, 无尽的
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
farthest,"a. 最远的, 最久的
adv. 最远, far的最高级"
internal,"a. 内在的, 国内的
"
latter,"a. 后者的, 较后的, 近来的"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
mutual,"a. 相互的, 共有的
"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
