antenna,"n. 天线, 触须, 触角
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
percent,"n. 百分比, 百分数, 部分
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
performer,"n. 表演者, 执行者, 完成者
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
permissible,"a. 可允许的, 可容许程度的
"
permission,"n. 许可, 允许
"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
perpetuate,"vt. 使永存, 使不朽, 保持"
perpetuity,"n. 永久, 不朽, 终身职位, 终身任期, 永久使用权
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
persistently,adv. 坚持地; 固执地; 一个劲儿
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
predict,"v. 预知, 预言, 预报"
prediction,"n. 预言, 预报
"
predominance,"n. 主导地位, 优势"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
presidential,"a. 总统制的, 总统的, 首长的, 统辖的
"
prestige,"n. 声望, 威望, 威信
"
prevailing,"a. 盛行很广的, 优势的, 主要的, 普遍的
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
prevention,"n. 阻止, 妨碍, 预防
"
previous,"a. 早先的, 前面的, 过急的
"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
prototype,"n. 原型
"
procedure,"n. 程序, 过程, 手续
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
producer,"n. 生产者, 制作者, 制作人
"
product,"n. 产品, 结果, 乘积
"
production,"n. 制造, 生产, 产物
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
productivity,"n. 生产力
"
profession,"n. 职业, 表白, 声明
"
professional,"n. 专业人才
a. 专业的, 职业的"
professionalism,"n. 职业特性, 专业技巧, 职业行为, 职业作风, (褒)专业人员的特质, 职业化
"
professionalize,"vt.vi. 职业化, 专业化"
professor,n. 教授
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
prolong,"vt. 延长, 拖延, 拖长
"
promote,"vt. 促进, 晋升, 创办, 推销
"
proposal,"n. 提议, 计划, 求婚
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
prosecution,"n. 执行, 经营, 起诉"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prosperity,"n. 繁荣, 茂盛, 成功
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
province,"n. 省, 地方, 职权, 领域
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
reaction,"n. 反应, 反作用, 反动
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
receptor,"n. 受体, 感觉器官
"
recession,"n. 后退, 凹处, 衰退, 归还
"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
recording,"a. 记录的, 记录用的
n. 录音"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
reduction,"n. 减少, 缩影, 变化
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
regardless,"a. 不管, 不注意, 不顾"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
regrettable,"a. 可悲的, 可惜的, 抱歉的"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
"
relationship,"n. 关系, 关联
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
reliable,"a. 可靠的, 可信赖的
"
reliably,"adv. 可靠地, 可信赖地"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
religion,"n. 宗教, 信仰
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
reluctant,"a. 不情愿的, 勉强的
"
reluctantly,"adv. 不情愿地, 勉强地"
rely,"vi. 信赖, 依赖, 信任"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
replace,"vt. 代替, 替换, 放回, 归还
"
replacement,"n. 归还, 更换, 代替者
"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
reporter,"n. 记者, 报告者
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
reputation,"n. 名誉, 名声, 声望
"
require,"vt. 需要, 命令, 要求
"
requirement,"n. 需求, 必要条件, 要求
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
researcher,n. 研究人员
resemble,"vt. 相似, 类似"
resent,"vt. 愤恨, 憎恶, 怨恨"
resentment,"n. 怨恨, 愤恨"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
response,"n. 反应, 回答, 响应
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
restrict,"vt. 限制, 限定, 约束
"
restriction,"n. 限制, 限定, 约束
"
restrictive,"a. 限制的, 约束的, 限定的
n. 限制词"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
retailer,"n. 零售商人, 传播的人
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
retirement,"n. 退休, 隐居, 撤退
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
revenue,"n. 收入, 岁入, 税收, 税务局
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
secretary,"n. 秘书, 书记, 大臣
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subscriber,"n. 签署者, 捐献者, 订户
"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
subsequent,"a. 后来的, 接下去的
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
substantially,"adv. 实质上, 本质上, 大体上"
symptom,"n. 症状, 征候, 征兆
"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
synthesis,"n. 综合, 组织, 综合体
"
telegraph,"n. 电报, 电报机
vi. 打电报
vt. 打电报给, 电汇, 流露, 显示出要...的样子"
telephone,"n. 电话, 电话机
v. 打电话"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
television,"n. 电视
"
TV,"n. 电视；电视机
abbr. (=television)
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transportation,"n. 运输, 输送, 交通车辆
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
monotonous,"a. 单调的, 无变化的"
unilateral,"a. 单方面的, 单边的, 片面的
"
unique,"a. 独一无二的, 独特的, 稀罕的"
unity,"n. 一致, 联合, 单一(性), 个体
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
universality,"n. 普遍性, 一般性, 广泛性
"
universe,"n. 宇宙, 星系, (思想等)范围"
unacknowledged,"a. 未被承认的, 未被公认的, 未答复的"
unaffordable,"a. 买不起的, 负担不起的"
unattractive,"a. 无吸引力的, 无魅力的, 乏味的, 不美的"
unaware,"a. 未认识到的, 不知道的
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
unconsciously,"adv. 无意识地, 无意中, 不知不觉地"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
undoubtedly,"adv. 无疑, 必定, 确实地"
unexpected,"a. 料想不到的, 突然的, 意外的
"
unfairness,"[法] 不公平, 不公正, 不正当"
unfamiliar,a. 不熟悉的
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
unfortunately,"adv. 恐怕, 不幸的是"
unnecessary,a. 不必要的
unreasonable,"a. 不合理的, 过度的, 不切实际的
"
unrelated,[法] 无关的
unreliable,"a. 不可靠的
"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
upload,"[计] 上装, 加载, 储入"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
accelerate,"v. 加速, 促进"
accomplish,"vt. 完成, 达到, 实现, 使完美"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
aggravate,"vt. 使恶化, 使更严重, 加重"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appropriate,"a. 适当的
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
celebrate,"v. 庆祝, 祝贺, 举行"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
compensate,"v. 偿还, 补偿, 付报酬"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
cooperate,"vi. 合作, 协力, 配合
"
create,"vt. 创造, 建造, 引起, 任命"
cultivate,"vt. 培养, 耕作"
decorate,v. 装饰
dedicate,"vt. 献出, 贡献"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
demonstrate,"vt. 示范, 证明
vi. 示威"
diminish,"v. (使)减少, (使)变小"
distinguish,"v. 区别, 辨别"
dominate,"v. 支配, 占优势"
educate,"vt. 教育, 培养, 训练"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elevate,"vt. 举起, 提拔, 鼓舞"
eliminate,"vt. 除去, 排除, 剔除, 消除"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
evaluate,"vt. 评估, 评价, 赋值"
exaggerate,"v. 夸大, 夸张"
facilitate,"vt. 使容易, 促进, 帮助
"
exaggerate,"v. 夸大, 夸张"
facilitate,"vt. 使容易, 促进, 帮助
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
generate,"vt. 产生, 发生, 导致
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
indicate,"vt. 显示, 象征, 指示, 指出
"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
invalidate,"vt. 使无效
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
operate,"v. 操作, 运转, 动手术, 活动"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
outdate,vt. 使过时
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
perpetuate,"vt. 使永存, 使不朽, 保持"
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
speculate,"vi. 深思, 推测, 投机
"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
tolerate,"vt. 宽容, 容许, 有耐力"
vanish,"vi. 消失, 不见, 成为零"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
exemplify,"vt. 例证, 例示
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
authorize,"vt. 授权, 批准, 委托
"
awaken,"vt. 唤醒, 唤起, 使意识到
vi. 觉醒, 意识到"
characterize,"vt. 描绘...的特性, 刻划...的性格"
criticize,"v. 批评, 吹毛求疵, 非难"
disorganize,"vt. 破坏组织, 使混乱, 瓦解"
emphasize,"vt. 强调, 加强语气, 着重"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
memorize,"vt. 记住, 熟记, 背熟"
penalize,"vt. 处刑, 对...处罚(刑), 使不利
"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
professionalise,v. 使专业化；使职业化
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
standardize,"vt. 使标准化, 使合于标准, 用标准检验
"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
abundantly,"adv. 大量地, 丰富地"
accidentally,"adv. 偶然地, 意外地"
adequately,"adv. 足够地, 适当地"
alarmingly,adv. 让人担忧地
alphabetically,adv. 按字母顺序地
annually,"adv. 一年一次, 每年
"
apparently,"adv. 表面上, 清楚地, 显然地"
barely,adv. 几乎不
broadly,"adv. 宽广地, 明白地, 无礼貌地"
carefully,"adv. 小心地, 谨慎地"
casually,"adv. 偶然地, 临时地, 随便地"
cautiously,adv. 慎重地
comparatively,"adv. 比较地, 相对地"
consciously,adv. 自觉地；有意识地
consequently,adv. 所以
considerably,"adv. 非常地, 很, 颇"
consistently,"adv. 坚固, 坚实, 一致, 始终如一, 连贯
"
constantly,"adv. 不变地, 不断地, 时常地"
critically,"adv. 批评性地, 审慎地, 精密地"
currently,"adv. 现在, 当前, 一般, 普通
"
dazzlingly,adv. 耀眼地；灿烂地
definitely,"adv. 明确无疑地, 清楚地"
deliberately,adv. 故意地
disproportionately,"adv. 不匀称, 不相称"
distinctly,"adv. 显然地, 明显地, 清楚地"
effectively,"adv. 有效地, 有力地, 实际上"
enthusiastically,"adv. 热心地, 狂热地"
entirely,"adv. 完全, 全然, 一概"
environmentally,adv. 有关环境方面
equally,"adv. 相等地, 同样地, 平等地"
especially,"adv. 尤其, 特别, 格外"
essentially,"adv. 本质上, 本来"
ethically,adv. 伦理上
eventually,"adv. 最后, 终于"
excessively,"adv. 过多, 极度, 过度, 过分"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
explicitly,adv. 明确地；明白地
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
extraordinarily,"adv. 非凡, 破例, 特别, 非常, 离奇, 使人惊奇, 惊人, 特命, 特派"
extremely,"adv. 极端地, 非常地"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
financially,adv. 金融上；财政上
flexibly,"adv. 易曲地, 柔软地"
formally,"adv. 正式地, 形式上"
frankly,adv. 坦白地
freely,"adv. 自由地, 随意地, 无拘束地, 直率地, 坦白地, 慷慨地, 免费地, 大量地
"
fundamentally,"adv. 基础, 首要, 主要, 十分重要, 基本, 根本, 原始, 基频, 基音, 基谐波"
generally,"adv. 通常, 逐渐地, 普遍地"
genetically,"adv. 创始, 遗传学, 生殖, 基因, 遗传, 发生"
gradually,adv. 逐渐地
greatly,"adv. 很, 非常"
highly,"adv. 非常, 非常赞许地
"
ideally,"adv. 完美地, 理想地"
immediately,"adv. 直接地, 立刻, 立即"
importantly,adv. 重要地；大量地；有名望地；自命不凡地
incidentally,"adv. 伴随地, 偶然, 顺便"
incompetently,adv. 无能力地
increasingly,"adv. 逐渐地, 渐增地"
independently,"adv. 独立地, 自立地"
inevitably,adv. 不可避免地
initially,"adv. 最初, 开头"
instinctively,"adv. 本能地, 直觉地"
intentionally,"adv. 故意地, 有意地"
intimately,"adv. 亲切地, 亲密地, 个人性地"
legally,"adv. 法律上, 合法地
"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
markedly,"adv. 显著地, 醒目地, 明显地"
mentally,"adv. 心理上, 精神上, 智力上
"
mostly,"adv. 大概, 大部分, 主要
"
nationally,"adv. 作为整个民族, 举国一致地, 全国性地"
naturally,"adv. 自然地, 以自然力, 天生地"
necessarily,"adv. 必然地, 必须地, 必要地"
obviously,"adv. 显而易见地, 明显地"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
overwhelmingly,"adv. 压倒性地, 不可抵抗地"
partially,"adv. 部分地, 一部分地, 不公平地"
persistently,adv. 坚持地; 固执地; 一个劲儿
physically,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
politically,adv. 政治上
potentially,"adv. 可能地, 潜在地"
practically,"adv. 几乎, 差不多, 事实上"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
primarily,"adv. 主要地, 首先地"
properly,"adv. 适当地, 相当地"
publicly,"adv. 公然地, 以公众名义"
purely,"adv. 纯粹地, 清白地, 贞洁地"
radically,"adv. 根本地, 完全地"
rapidly,"adv. 飞快地, 迅速地, 赶紧地"
rarely,"adv. 很少地, 罕有地"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
reliably,"adv. 可靠地, 可信赖地"
reluctantly,"adv. 不情愿地, 勉强地"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
routinely,"adv. 日常, 乏味, 常规, 例行"
scientifically,"adv. 合乎科学地, 学问上, 系统地"
seemingly,"adv. 看来似乎, 表面上看来"
seriously,"adv. 严肃地, 认真地, 严重地"
significantly,adv. 值得注目地；意味深长地
similarly,"adv. 相像地, 类似于"
slightly,"adv. 些微地, 苗条地"
socially,"adv. 在社会上, 在社交上, 以社会生活方式"
solely,"adv. 仅仅, 单独地"
specifically,"adv. 特定地, 明确地, 按特性"
substantially,"adv. 实质上, 本质上, 大体上"
sufficiently,"adv. 足够, 充分"
thoroughly,"adv. 彻底地, 绝对地, 透彻地, 详尽地, 周到地, 完全地, 完善地, 全面地"
traditionally,adv. 传统上；传说上；习惯上
typically,adv. 代表性地；作为特色地
ultimately,"adv. 最后, 最终
"
unconsciously,"adv. 无意识地, 无意中, 不知不觉地"
undoubtedly,"adv. 无疑, 必定, 确实地"
unfortunately,"adv. 恐怕, 不幸的是"
virtually,adv. 事实上
wholly,"adv. 完全地, 整个, 统统, 全部
"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
likewise,"adv. 同样地, 也"
ability,"n. 能力, 才干
"
availability,"n. 有效性, 可利用性, 可利用的人
"
credibility,"n. 可信用, 确实性, 可靠
"
feasibility,"n. 可行性, 可能性
"
flexibility,"n. 弹性, 适应性
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
sustainability,"n. 持续性, 能维持性, 永续性"
accuracy,"n. 精确, 正确
"
agency,"n. 代理机构, 经销商, 中介
"
democracy,"n. 民主政治, 民主主义
"
dependency,"n. 属国, 保护地, 从属物
"
efficiency,"n. 效率, 效能, 功效
"
inadequacy,"n. 不适当, 不足之处, 不充分
"
infancy,"n. 幼年, 初期, 幼儿期
"
legacy,"n. 祖先传下来之物, 遗赠物
"
legitimacy,"n. 合法, 正统, 正当
"
literacy,"n. 读写能力, 识字, 精通文学"
tendency,"n. 趋向, 倾向
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
dosage,"n. 剂量, 用量, 配药
"
leakage,"n. 漏, 漏出物, 泄漏
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
approval,"n. 赞成, 批准
"
disapproval,n. 不赞成
