take inventory,[经] 实地清点盘存
bride,n. 新娘
college entrance exam,无
dictionary,"n. 字典, 词典
"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
interviewer,"n. 会见者, 面谈者, 进行面试者"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
movie star,n. 电影明星
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
puppy,"n. 小狗, 小动物, 自负的年轻人"
radiator,"n. 暖气装置, 散热器, 辐射体
"
robber,"n. 强盗, 盗贼"
school-bus driver,无
training,"n. 训练, 培养
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
apply,"vt. 涂, 应用
vi. 申请, 适用"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
depend,"vi. 靠, 视...而定, 信赖"
disturb,"vt. 扰乱, 妨碍, 使不安
"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
kiss,"n. 吻
vt. 吻
vi. 接吻"
leave on,[网络] 留住；让…留在原处；好聚好散
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
prevent,"v. 预防, 防止, 阻止, 妨碍"
annoyed,a. 恼怒的；烦闷的
confident,"a. 有信心的, 有把握的"
engaged,"a. 忙碌的, 使用中的"
prepared,"a. 准备好的, 特制的"
professional,"n. 专业人才
a. 专业的, 职业的"
qualified,"a. 有资格的
"
reassured,"a. 使消除疑虑的; 使放心的
v. 再保证, 恢复信心( reassure的过去式和过去分词)"
unaware,"a. 未认识到的, 不知道的
"
willing,"a. 乐意的, 自愿的, 甘愿的"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
dolphin,n. 海豚
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
memo,"n. 备忘录
"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
spare tire,n. 备用轮胎
toaster,"n. 烤面包器, 烤面包炉, 祝酒人"
wagon,"n. 四轮马车, 货车
"
engaged,"a. 忙碌的, 使用中的"
overcooked,a. 煮得过久的
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
allergic,"a. 对...过敏的, 极反感的
"
angry,"a. 生气的, 愤怒的"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
cooperative,a. 合作的；合作社的
dedicated,"a. 专注的, 献身的"
efficient,"a. 有效率的, 能干的"
engaged,"a. 忙碌的, 使用中的"
famous,"a. 出名的, 极好的"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
honest,"a. 诚实的, 坦直的, 可靠的"
industrious,"a. 勤勉的, 刻苦的"
nervous,"a. 神经紧张的, 不安的, 神经的
"
online,[计] 联机
overcooked,a. 煮得过久的
pleased,"a. 高兴的, 喜欢的, 满足的"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
promoted,a. 晋升的
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
shocked,a. 震撼的；震惊的
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
unfair,"a. 不公平的, 不正直的, 不正当的
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
accusation,"n. 控告, 指控, 指责
"
championship,"n. 冠军身份, 冠军称号, 捍卫"
common cold,[医] 感冒
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
dolphin,n. 海豚
engagement,"n. 诺言, 约会, 婚约, 交战
"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
memo,"n. 备忘录
"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
Olympics,n. 奥林匹克运动会
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
SAT test score,无
spare tire,n. 备用轮胎
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
toaster,"n. 烤面包器, 烤面包炉, 祝酒人"
vacation day,[网络] 带薪假期；假期日
wagon,"n. 四轮马车, 货车
"
wedding anniversary, 结婚纪念
White House,[经] 白宫
celebrate,"v. 庆祝, 祝贺, 举行"
complain,"v. 抱怨, 抗议, 控诉"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
move out,"搬出, 出发"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
play frisbee,无
skateboard,n. 溜冰板
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
tie my shoes,无
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
chicken pox,水痘
cockroach,"n. 蟑螂
"
diner,n. 用餐者
files,n. 文件；文档（file的复数）
hamster,"n. 仓鼠
"
income tax return,[经] 所得税申报表
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
passport,"n. 护照, 手段, 通行证
"
pet food, 玩尝动物食品，猫狗食（罐头）
satellite dish,n. 圆盘式卫星电视天线
scrap paper,n. 便条纸
wallpaper,"n. 壁纸, 墙纸
v. 贴墙纸
"
wisdom tooth,智齿
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
chicken pox,水痘
cockroach,"n. 蟑螂
"
diner,n. 用餐者
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
hamster,"n. 仓鼠
"
income tax return,[经] 所得税申报表
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
passport,"n. 护照, 手段, 通行证
"
pet food, 玩尝动物食品，猫狗食（罐头）
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
repairs,n. 备件；修理；修理费；修理工作（repair的复数形式）
satellite dish,n. 圆盘式卫星电视天线
scrap paper,n. 便条纸
ski instructor,[网络] 滑雪指导员；滑雪教练；胡子绅士
ski resort,[网络] 滑雪场；滑雪胜地；滑雪度假村
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
video,"n. 影像, 电视
a. 图像的, 电视的"
wallpaper,"n. 壁纸, 墙纸
v. 贴墙纸
"
wisdom tooth,智齿
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
delete,"vt. 删除
"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
"
erase,"vt. 抹去, 擦掉
"
lose my balance,无
misunderstand,"vt. 误解, 误会"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
put up,"adj. 预先商定的
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
replace,"vt. 代替, 替换, 放回, 归还
"
rewind,"vt. 重绕
n. 重绕
"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
set up,"na. 建立；创立；发起；开办
"
tip over,使翻倒
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
work out,"v. 作出；拟定；制定；计划一下
"
