enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
crossroads,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
anxious,"a. 忧虑的, 发愁的, 渴望的"
firmly,"adv. 坚固, 坚定, 断然"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
helper,"n. 帮忙者, 有益的东西
"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
lorry,"n. 卡车, 货车
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
analyse,"vt. 分析, 细察, 分解
"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
distance,"n. 距离, 远方, 遥远
"
thunder,"n. 雷, 雷声
vi. 打雷, 轰隆地响, 怒喝
vt. 大声喊出, 轰隆地发出"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
triangle,"n. 三角形, 三个一组, 三角关系
"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
disability,"n. 无力, 无能, 残疾
"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
bull,"n. 公牛
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
jewellery,"n. 宝石, 贵重饰物, 珠宝, 宝石饰物, 受珍视的人/物, 宝贝, 有价值的人/物"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
pigeon,"n. 鸽子, 易上当受骗的人, 年轻女子"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
be made up of,由...所组成
vocabulary,"n. 词汇(量), 词汇表
"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
Celtic,"a. 凯尔特族的, 凯尔特语的
n. 凯尔特语"
Germanic,"a. 德国的, 日耳曼语的, 日耳曼人的
n. 日耳曼语"
mainland,"n. 大陆, 本土
"
Angle,[网络] -角度
Saxon,n. 撒克逊人
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
consist,"vi. 组成, 存在于, 一致"
mixture,"n. 混合, 混淆, 混合物
"
name after, 以…的名字起名
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
Viking,n. 海盗
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
contribution,"n. 捐助, 捐助之物, 贡献
"
Norman,"adj. 诺曼第人的；诺曼第语的
n. 法国诺曼第人"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
take control of,"控制,掌管"
the Norman Conquest,[网络] 诺曼征服；诺曼底征服；诺曼征服时间
lead to,"导致, 通向"
replace,"vt. 代替, 替换, 放回, 归还
"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
therefore,"adv. 因此, 所以"
mutton,n. 羊肉
bacon,"n. 熏猪肉
"
plural,"n. 复数
a. 复数的, 两个以上的"
high-class,[经] 高级
mother tongue,"母语
"
the Renaissance,[网络] 文艺复兴；文艺复兴时期；文艺复兴运动
Latin,"n. 拉丁人, 拉丁语
a. 拉丁人的, 拉丁语的"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
distinction,n. 区别
spelling,"n. 拼, 拼字, 拼法
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
ban,"n. 禁令
vt. 禁止, 取缔"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
unique,"a. 独一无二的, 独特的, 稀罕的"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
racial,"a. 人种的, 种族的
"
gentle,"a. 温和的, 文雅的"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
backwards,adv. 向后
conclusion,"n. 结论, 结尾, 推论
"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
mistaken,"a. 犯错的, 错误的
mistake的过去分词"
ought to,应该
differ,"vi. 不一致, 不同
"
alphabet,"n. 字母
"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
writing,"n. 书写, 著作, 笔迹, 作品
"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
drawing,"n. 图画, 制图, 拉
"
simplify,"vt. 单一化, 简单化"
as a whole,总体上
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
distinguish,"v. 区别, 辨别"
indicate,"vt. 显示, 象征, 指示, 指出
"
shortcoming,"n. 缺点, 短处"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
eyesight,"n. 视力, 目力"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
convenient,"a. 方便的, 合宜的
"
battle,"n. 战役
v. 战斗"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
practical,"a. 实际的, 现实的, 实用性的
"
thus,"adv. 如此, 因此, 到如此程度
"
typewriter,n. 打字机
version,"n. 一种描述, 版本, 译文
"
civilization,"n. 文明, 教化
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
BC,abbr. 公元前（Before Christ）
Roman,"n. 罗马人
a. 罗马人的, 罗马的"
take over,"na. 接管；继承
"
volcano,n. 火山
AD,"n. 【网】打成平局后得分 = advantage. ad in (打成平局后)发球人得分
abbr. 〈外(=Anno Domini)公元
prep. 达；根据
"
erupt,"vi. 爆发
vt. 喷出"
lava,"n. 熔岩, 火山岩
"
ash,"n. 灰, 灰烬
"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
unfortunate,"a. 不幸的, 不合适的, 不吉利的"
mud,"n. 泥, 诽谤
vt. 弄脏"
decorate,v. 装饰
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
researcher,n. 研究人员
true-to-life,逼真的
disaster,"n. 灾祸, 不幸, 彻底失败"
destroy,"vt. 破坏, 毁坏, 消灭"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
wealthy,"a. 富有的, 丰裕的, 充分的"
gradually,adv. 逐渐地
sandstorm,n. (沙漠地带的)沙暴
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
cultural,"a. 文化的, 教养的, 修养的
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
remains,"n. 剩余物, 废墟, 残余
"
beneath,"prep. 在...下方
adv. 在...下方"
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
workshop,"n. 工场, 车间, 研讨会
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
complain,"v. 抱怨, 抗议, 控诉"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
wooden,"a. 木制的, 呆笨的, 木然的"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
historical,"a. 历史的, 史实的, 历史上的
"
solution,"n. 解决, 解答, 溶液
"
expression,"n. 表达, 表现, 词语, 措辞
"
audience,"n. 听众, 观众, 读者
"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
ceremony,"n. 典礼, 仪式, 礼节
"
republic,"n. 共和国, 共和政体, 团体, 界"
chairman,"n. 主席, 会长
"
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
powerful,"a. 有力的, 有权力的, 强大的
"
airfield,n. 飞机场
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
sailor,"n. 水手, 船员, 海员
"
fortunate,"a. 幸运的, 幸福的"
aircraft,"n. 航空器, 飞机
"
carrier,"n. 运送者, 邮递员, 带菌者
"
declare,"v. 宣布, 声明, 申报, 断言"
in memory of,纪念...
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
educate,"vt. 教育, 培养, 训练"
statue,"vt. 以雕像装饰
n. 雕像"
no doubt,无疑地
rise up against,无
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
stand in one's path,无
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
come down with,"被传染上,因…而病倒"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
salary,"n. 薪水
vt. 给...加薪"
aware,"a. 知道的, 有觉悟的"
basis,"n. 基础, 主要成分
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
god,"n. 上帝, 神像, 偶像
vt. 使神化"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
advertising,"n. 广告业, 广告
a. 广告的
"
airline,"n. 航线, 航线的设备, 航空公司"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
advertisement,"n. 广告, 启事, 广告宣传
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
be meant to,"有意要,打算"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
skilful,"a. 灵巧的, 熟练的, 制作精巧的"
even if,即使
even though,"虽然, 尽管"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
breath,"n. 呼吸, 气息, 瞬间
"
bad breath,[医] 口臭
fool,"n. 愚人, 受骗者, 奶油拌水果
vt. 愚弄, 欺骗, 浪费
vi. 干傻事, 开玩笑, 游荡
a. 傻的"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
grocery,"n. 食品杂货店, 食品杂货业"
pleased,"a. 高兴的, 喜欢的, 满足的"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
fall for," 上当, 听信; 爱上"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
nationwide,"a. 全国性的
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
deal with,"安排, 处理, 涉及, 做生意"
motto,"n. 箴言, 座右铭, 警句"
cigarette,"n. 香烟, 纸烟"
benefit,"n. 利益
vt. 有益于
vi. 受益"
promote,"vt. 促进, 晋升, 创办, 推销
"
intelligence,"n. 智力, 情报, 信息
"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
comprehension,"n. 理解, 包含"
latest,a. 最近的
best-seller,"畅销书, 畅销书作者
"
amazed,"a. 吃惊的, 惊奇的"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
publisher,"n. 出版者, 发行人
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
designer,"n. 设计者, 谋划者, 制图者
"
software,"n. 软件
"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
eye-catching,"adj. 〈美口〉引人注目的
"
logo,"n. 连合活字, 商标, 徽标
"
slogan,"n. 呐喊声, 标语, 口号"
corporation,"n. 公司, 合作, 法人团体
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
multiply,"v. 繁殖, 乘, 增加
"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
update,"vt. 更新, 使现代化
n. 更新
"
youth,"n. 年轻, 青年时代, 青年们, 青春
"
aspect,"n. 外观, 方面, 面貌, 方向
"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
recipe,"n. 食谱, 处方, 秘诀
"
yummy,"a. 美味的, 可口的, 赏心悦目的, 愉快的"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
bonus,"n. 奖金, 红利
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
figure out,"合计为, 计算出, 明白"
media,"n. 媒体
"
poster,"n. 海报, 招贴, 驿马"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
determine,"v. 决定, 决心"
analysis,"n. 分析
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
react,"vi. 起反应, 起作用, 反攻
"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
get something across, 把意思说清楚，使想法被理解
anti-smoking,"n. 反对吸烟；禁止吸烟
adj. 反对吸烟的
v. 反对吸烟（antismoke的现在分词）"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
lung,"n. 肺, 肺脏, 空地
"
cancer,"n. 癌, 恶性肿瘤
"
smoker,"n. 吸烟者, 吸烟的人, 吸烟车厢, (美)(非正式)蒸汽火车头"
fingernail,n. 手指甲
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
tobacco,"n. 烟草, 香烟
"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
die from,"[法] 由于...而死, 死于"
committee,"n. 委员会
"
delighted,"a. 高兴的, 快乐的"
significance,"n. 重要性, 意义, 意味
"
Olympia,n. 奥林匹亚
Greece,n. 希腊
wrestling,n. 摔跤
tradition,"n. 传说, 传统, 交付
"
compete,"vi. 竞争, 对抗"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
nation,"n. 国家, 民族
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
well-known, 众所周知的; 出名的
boxer,n. 拳师
medal,"n. 奖牌, 勋章
vt. 授勋予"
heavyweight,"n. 重量级拳击运动员, (非正式)有影响的要人
a. 最重量级的"
boxing,"n. 拳击
"
championship,"n. 冠军身份, 冠军称号, 捍卫"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
opening,"n. 开始, 口子, 穴, 揭幕
a. 开始的"
absence,"n. 缺席, 缺乏, 没有
"
excite,"vt. 刺激, 使兴奋, 激励"
hurdle,"n. 障碍, 跳栏, 临时活动篱笆
vt. 用篱笆围, 越过, 克服"
lead the way,"带路, 示范"
gymnastics,"n. 体操, 体育
"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
hang on,"v. 坚守；守住；坚持；支撑着
"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
boundary,"n. 边界, 分界线
"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
torch,"n. 火把, 启发之物
"
stadium,"n. 露天大型运动场
"
pass something on,无
pass something on to somebody,无
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
citizen,"n. 市民, 公民
"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
underwear,n. 内衣
kettle,"n. 茶壶, 罐
"
otherwise,"adv. 否则, 不同地, 别的方式"
per,"prep. 每一, 通过, 经, 按照
"
association,"n. 协会
"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
Coke,"n. 可口可乐, 焦炭
v. (使)成焦炭"
lemonade,"n. 柠檬水
"
ping-pong,苹婆
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
origin,"n. 起源, 起因, 出身, 开端
"
outdoors,"n. 户外, 野外活动
adv. 在户外, 在野外"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
technique,"n. 技巧, 技术, 方法
"
bowling,n. 保龄球戏
continent,"n. 大陆, 洲
a. 自制的"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
power boating,[网络] 汽艇；摩托艇；电动船
make way for,"v. 让路
"
tae kwon do,跆拳道
rugby,"n. 橄榄球, 橄榄球赛"
golf,"n. 高尔夫球
vi. 打高尔夫球"
eagle,"n. 鹰, 鹰状标饰"
teammate,n. 队友
kangaroo,"n. 袋鼠
"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
shot,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
reporter,"n. 记者, 报告者
"
unfair,"a. 不公平的, 不正直的, 不正当的
"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
reality,"n. 实在, 事实, 实体, 逼真
"
presentation,"n. 赠与, 描述, 介绍
"
amaze,vt. 使吃惊
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
user,"n. 使用者
"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
happiness,"n. 快乐, 幸运, 适当"
headset,"n. (一副)耳机
"
3-D,abbr. 三维的（three dimensional）
add to,"na. 增加
"
network,"n. 网络, 广播网, 网状物
"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
Brazilian,"n. 巴西人
a. 巴西的, 巴西人的"
winning,"n. 胜利, 获得, 成功, 赢得物
a. 得胜的, 胜利的"
confident,"a. 有信心的, 有把握的"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
disappointed,a. 失望的
disabled,"a. 残废的, 有缺陷的, 失效的
"
convenience,"n. 方便, 便利的事物, 方便的时候"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
firefighter,n. <美>消防队员
injure,"vt. 伤害, 损害, 使受冤屈
"
biology,"n. 生物学
"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
planning,"n. 计划的制订, 策划, 设计, 规划
"
neighbourhood,"n. 邻接, 周围, 附近一带, 邻近, 邻居关系, 地区, 街道, 街坊, 四邻
"
as to,"根据,按照,依照;关于,至于,就…而言"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
disadvantage,"n. 缺点, 不利, 坏处"
electric,"a. 电的, 导电的, 电动的
"
built-in, 安装在里面的
power-free,无
clay,"n. 泥土, 肉体, 黏土
"
powder-free,[网络] 无需洗衣粉的；无粉末；无粉
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
