infection,"n. 传染, 影响, 传染病
"
replace,"vt. 代替, 替换, 放回, 归还
"
strategic,"a. 战略的, 战略上的
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
environment,"n. 环境, 外界, 围绕
"
subsequent,"a. 后来的, 接下去的
"
abundant,"a. 丰富的, 充分的, 大量的"
abundance,"n. 丰富, 充足, 大量
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
reliable,"a. 可靠的, 可信赖的
"
enable,"vt. 使能够
"
and so forth,等等
around the corner,"在拐角处, 在附近, 即将来临"
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
distribute,"vt. 分配, 散布, 分发
"
efficiency,"n. 效率, 效能, 功效
"
on the point of,正要...的时候
foresee,"vt. 预见, 预知"
foresaw,foresee的过去式
foreseen,foresee的过去分词
civilization,"n. 文明, 教化
"
complicated,"a. 复杂的
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
irrigation,"n. 灌溉, 冲洗
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
intensify,"vt. 加强
vi. 强化"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
be confronted with,面临
aqueduct,"n. 水管, 沟渠, 导管
"
massive,"a. 大而重的, 宽大的, 宏伟的
"
desalination,
competitively,adv. 好竞争地；有竞争力地
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
in the interest of,"为了, 为了...的利益"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
innovation,"n. 改革, 创新
"
dedicate,"vt. 献出, 贡献"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
prioritize,"vt. 按优先次序列出, 优先考虑"
mostly,"adv. 大概, 大部分, 主要
"
outcome,"n. 结果, 出口"
scarcity,"n. 缺乏, 不足, 缺少
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
depend on,"依靠, 依赖"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
manufacturing,"n. 制造业
a. 制造业的"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
glacier,n. 冰川
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
fraction,"n. 小部分, 破片, 分数
"
in the form of,以…形式
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
crisis,"n. 危机, 危险期, 紧要关头
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
expansion,"n. 扩充, 开展, 膨胀
"
urbanization,"n. 都市化
"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
uncontrollable,"a. 无法控制的
"
in terms of,"用...的话, 根据, 按照, 在...方面
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
preservation,"n. 保存, 保藏, 保护
"
a matter of,"...左右, ...上下, 只是...的问题而已, 只需, 大约"
repercussion,"n. 弹回, 反响, 反射
"
shortage,"n. 不足, 缺乏
"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
water-borne, 水上
die of,"死于…,因…而死"
convenience,"n. 方便, 便利的事物, 方便的时候"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
facility,"n. 容易, 灵巧, 设备
"
care for,"喜欢, 照顾, 为...操心, 尊重"
domestic,"a. 家庭的, 国内的, 驯养的
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
at dawn,拂晓时
miss school,缺课
as a result,结果
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
prosperity,"n. 繁荣, 茂盛, 成功
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
deprive,"vt. 剥夺, 使丧失
"
awareness,"n. 意识, 认识
"
look out for,"当心…,留神…,提防…"
donate,v. 捐赠
help out,"v. 帮助…摆脱困境；救出；协助
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
acquire,"vt. 获得, 学到
"
in use,"在使用着, 在应用"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
in effect,"有效
"
contamination,"n. 污染, 污物
"
groundwater,n. 地下水
furthermore,"adv. 此外, 而且"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
come in contact with, 接触
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
emission,"n. 发射, 射出, 发行
"
sewage,"n. 脏水, 污水
"
runoff,"n. 径流(量), 决赛, 决定性竞选"
scarce,"a. 难得的, 稀罕的, 缺乏的"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
on the whole,"大体上, 基本上"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
be held accountable for,无
tighten,"vt. 勒紧, 使变紧
vi. 变紧, 绷紧"
supervision,"n. 监督, 管理
"
exploitation,"n. 开发, 开采, 剥削
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
ecological,"a. 生态学的, 主张生态保护的
"
filtration,"n. 过滤
"
rest assured,"确信无疑, 放心"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
in the meantime,"同时;当其时,在其间"
work out,"v. 作出；拟定；制定；计划一下
"
internet,"[计] 因特网, 国际互连网, 网际网络, 互连网络, 广域网"
detox,n. 戒瘾病房；戒瘾诊所
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
make waves,兴风作浪
online,[计] 联机
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
unique,"a. 独一无二的, 独特的, 稀罕的"
amazing,a. 令人惊异的
turn out,"v. 证明；原来；到场
"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
promising,"a. 有希望的, 前途有望的
"
smell the flowers,[网络] 偷得浮生半日闲；轻松一下；闻闻花香
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
criticize,"v. 批评, 吹毛求疵, 非难"
have to do with,"na. 和…有关系
"
have much to do with,与…有很大的关系
have something to do with,与...有点关系
have nothing to do with,与...无关
if anything,如果(稍)有区别的话
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
at times,"有时, 不时"
for a while,暂时
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
media,"n. 媒体
"
rewarding,"a. 有益的, 有报酬的, 报答的"
moderation,"n. 缓和, 适度, 温和
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
end up,"竖着, 结束, 死"
end up doing sth.,"结果是(做)..., 以(做)...而告终, 结果变成..., 最后发展为..."
end up in sth.,〈非正〉以…结束; 死
stay in touch with,[网络] 与……保持联系；与……保持联络；和……保持联系
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
no wonder,不足为奇的
no wonder that ..., 怪道
fall into the habit of,沾染...的习惯
get into the habit of,养成...的习惯
in the absence of,"无…时,缺少…时"
thoughtful,"a. 深思的, 体贴的"
nourish,"vt. 滋养, 使健壮, 怀有"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
be tired of,厌烦
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
sit through,"坐着捱到结束, 耐着性子看完"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
base on,"v. 根据
"
to hell with,让...见鬼去吧
to hell with sb.,让...见鬼去吧
to hell with sth.,让...见鬼去吧
complaint,"n. 诉苦, 抱怨, 控诉
"
show off,"炫耀, 卖弄, 使显眼"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
guilt,"n. 罪行, 内疚
"
app,"[计] 应用, 应用程序; 相联并行处理器"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
in an instant,马上
awesome,"a. 引起敬畏的, 可怕的"
blow up,"v. 炸掉；爆炸；充气；放大
"
be engaged to,和…订婚
strike a deal," 达成协议，与with 连用，表示""与某人达成协议"""
remind of,"v. 提醒
"
remind sb. of,"v. 提醒
"
appointment,"n. 约会, 委任的职位, 委派
"
keep up to date with,无
keep sb. up to date on sth.,无
keep sb. up to date with sth.,无
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
for one's part,"对某人来说, 就个人来说"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
give and take,"平等交换, 互让, 交换意见"
in return,作为报答
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
sidewalk,n. 人行道
lead to,"导致, 通向"
distract,"vt. 转移, 分心, 使发狂"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
cordon off, 用警戒线隔离[阻挡]
swerve,"n. 转向, 弯曲, 背离
vi. 突然转向, 转弯, 背离
vt. 使突然转向, 使转弯, 使背离"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
lane,"n. 小路, 巷, 弄, 单行道"
at one's own risk,"由自己负责
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
hope for,"希望,期望"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
in the long run,"长远, 最后"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
spill over,[经] 可用于民用的太空技术或军事技术
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
be supposed to,"应该, 被期望"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
short-term,[经] 短期
