agnostic,n. 不可知论者
paranoia,"n. 偏执狂, 多疑症
"
ethics,"n. 道德规范
"
genetics,"n. 遗传学
"
linguistics,n. 语言学
metaphysics,"n. 形而上学, 玄学, 空头理论"
mnemonics,"n. 记忆术
"
insulate,"vt. 使绝缘, 隔离
"
insularity,"n. 岛屿生活状况, 孤立, 岛国性质"
insulin,"n. 胰岛素
"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
disintegrate,"vt. (使)分解, (使)碎裂
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
integrity,"n. 正直, 廉正, 完整
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
intermittent,"a. 间歇的, 断断续续的
"
intermission,"n. 中止, 中断, 停顿, 间歇
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
intercede,"vi. 说情, 调解
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
interject,"vt. 插嘴, 突然插入"
interloper,"n. 闯入者, 好事者, 无执照营业者
"
interpolate,"v. 篡改, 插入新语句, 添写进去"
intersperse,"vt. 散布, 点缀"
judgment,"n. 裁判, 宣告, 判决书
"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
adjudicate,"v. 判决, 宣告, 裁定"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
jury,"n. 陪审团, 评判委员会
a. 应急的"
jurist,"n. 法学家, 法律学者, 法律著作家
"
perjury,"n. 伪誓, 伪证, 背信弃义
"
abjure,"vt. 发誓断绝, 公开放弃
"
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
labored,"a. 吃力的, 缓慢的, 不自然的, 矫揉造作的"
laborer,"n. 体力劳动者, 辅助工
"
laboratory,"n. 实验室, 研究室, 化工厂
"
laborious,"a. 艰苦的, 费劲的, 勤劳的"
belabor,"vt. 痛打
"
collaborate,"vi. 合作, 勾结
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
landlord,"n. 房东, 地主
"
landmark,"n. 陆标, 划时代的事, 地界标
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
landslide,"n. 山崩
"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
wasteland,"n. 荒地, 未开垦地"
lax,"a. 松的, 不严格的, 腹泻的, 松弛的
n. 腹泻, 松元音"
laxative,"a. 通便的, 轻度腹泻的
n. 通泻剂, 缓泻药"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
collective,"a. 集体的, 聚集的, 共同的
"
election,"n. 选举, 当选, 选择权
"
elective,"a. 选举的, 根据选举的, 选修的
n. 选修课程"
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
selective,"a. 选择的, 选择性的
"
lectern,n. 诵经台
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
dialect,"n. 方言, 同源语"
legislation,"n. 立法, 法律
"
legislature,"n. 立法机关, 议会, 立法院
"
legitimacy,"n. 合法, 正统, 正当
"
elevate,"vt. 举起, 提拔, 鼓舞"
elevation,"n. 海拔, 提高, 仰角
"
elevator,"n. 电梯, 升降机
"
levee,"n. 早朝, 大堤
vt. 为...筑堤"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
pipeline,"n. 管道, 传递途径
"
byline,"n. 副业, 署名报道"
delineate,"vt. 描绘...的轮廓, 描绘, 描写"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literary,"a. 文学的, 文艺的, 精通文学的
"
literati,n. 文人（literatus的复数）；文学界
alliteration,"n. 头韵
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
logical,"a. 合乎逻辑的, 合理的
"
logistics,"n. 后勤学, 后勤
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
apology,"n. 道歉, 辩护
"
apologize,"vi. 道歉, 辩解"
epilogue,"n. 结语, 尾声, 收场白
"
analogous,"a. 类似的, 相似的
"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
anthology,"n. 选集, 诗选"
astrology,"n. 占星术, 占星学"
biology,"n. 生物学
"
dermatology,"n. 皮肤医学, 皮肤病学
"
epistemology,"n. 认识论
"
genealogy,"n. 系谱, 宗谱, 家系, 世系, 血统
"
meteorology,"n. 气象学, 气象状态
"
mythology,n. 神话
neurology,"n. 神经病学
"
phenomenology,"n. 现象学, 现象论
"
zoology,"n. 动物学, 动物区系
"
loquacious,"a. 多嘴的, 好辩的, 吵闹的, 潺潺的"
colloquial,"a. 会话的, 口语的, 口语体的"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
grandiloquent,"a. 大言不惭的, 夸张的, 夸大的"
soliloquy,"n. 自言自语, 独白"
lucid,"a. 明晰的, 清澈的, 透明的, 透彻的
"
pellucid,"a. 透明的, 澄清的, 明了的
"
elucidate,"vt. 阐明, 说明"
translucent,"a. 半透明的, 透明的"
allude,"vi. 暗指, 提及"
collude,"vi. 共谋, 串通, 勾结"
delude,"vt. 迷惑, 蛊惑"
elude,"vt. 逃避, 规避, 把...难倒"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
prelude,"n. 前奏, 序幕, 序诗, 前奏曲
vi. 作为前奏
vt. 作为...的开头"
occlude,"vt. 使闭塞, 隔断, 挡住
vi. 咬合"
illusion,"n. 幻影, 错觉, 幻想
"
illusionist,"n. 幻想家, 魔术师"
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
maladroit,"a. 笨拙的, 拙劣的, 愚钝的"
malaise,"n. 不舒服
"
malapropism,n. 文字的错用
malevolent,"a. 有恶意的, 坏心肠的"
malicious,"a. 怀恶意的, 恶毒的"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
manumit,"vt. 解放, 释放"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
emancipate,"vt. 释放, 解放"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
mandatory,"a. 命令的, 托管的
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
countermand,"vt. 取消, 撤回, 下命令召回
n. 收回命令, 取消命令"
demanding,"a. 要求高的, 费力的"
reprimand,"n. 谴责, 惩戒, 非难
vt. 谴责, 惩戒, 严责"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
landmark,"n. 陆标, 划时代的事, 地界标
"
trademark,"n. 商标
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
anticlimax,"n. 突降法, 虎头蛇尾"
maximal,"a. 最大的, 最高的
"
magnate,"n. 大官, 巨头
"
magnanimous,"a. 宽宏大量的, 有雅量的
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
immemorial,"a. 太古的, 远古的, 无法追忆的
"
memorable,"a. 值得纪念的, 难忘的"
commemorate,vt. 纪念
mnemonics,"n. 记忆术
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commentary,"n. 注释, 评论, 说明
"
mentor,"n. 指导者, 良师益友"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
mercantile,"a. 商业的, 商人的
"
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
immerse,"vt. 沉浸, 使陷入
"
perimeter,"n. 周长, 周界, 边缘
"
kilometer,"n. 千米, 公里
"
odometer,n. 里程表
thermometer,"n. 温度计, 体温计
"
diameter,"n. 直径
"
symmetry,"n. 对称, 匀称
"
symmetric,"a. 对称的, 均匀的, 匀称的
"
asymmetric,"a. 不对称的, 偏位的
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
commensurate,"a. 同量的, 同等的, 相称的"
microbe,"n. 微生物, 细菌
"
microorganism,"n. 微生物, 微小动植物
"
microphone,"n. 扩音器, 麦克风
"
microscope,"n. 显微镜
"
mime,"n. 哑剧, 小丑, 滑稽戏
v. 摸拟表演
"
pantomime,"n. 手势, 哑剧, 舞剧
v. 打手势, 演哑剧"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
mimicry,"n. 模仿
"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
inimitable,"a. 无法仿效的, 独特的, 无比的"
eminent,"a. 显赫的, 杰出的, 有名的"
imminent,"a. 即将来临的, 逼近的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
preeminent,"a. 优秀的, 超群的, 卓越的"
diminish,"v. (使)减少, (使)变小"
minimal,"a. 最小的, 极微的, 最小限度的
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
minutia,"n. 细节, 琐事"
diminutive,"a. 小的, 小型的, 指小的
n. 身材极小的人, 指小词, 爱称"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
misdeed,"n. 罪行, 犯罪
"
misdemeanor,"n. 行为不检, 品行不良, 轻罪, 不端行为"
misbehave,"v. (使)行为无礼貌, (使)行为不端"
miscreant,"a. 邪恶的, 邪道的, 异端的
n. 罪大恶极的人, 恶棍, 异端"
modish,"a. 流行的, 时髦的"
outmoded,"a. 过时的, 废弃的
"
remodel,"vt. 改造, 改型, 改变"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
monocle,"n. 单片眼镜
"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
monopoly,"n. 垄断, 专卖权, 独占事业
"
monotony,"n. 单调, 缺乏变化"
monolithic,"a. 独石的, 完全统一的, 整体的
"
demote,"vt. 使降级, 使降职"
promote,"vt. 促进, 晋升, 创办, 推销
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
commotion,"n. 骚动, 暴乱
"
motility,"n. 运动性, 自动力
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
nominate,"vt. 提名, 任命, 命名
"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
denominate,vt. 命名
ignominious,"a. 可耻的, 不名誉的, 下流的"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
normalization,"n. 常态化, 正常化, 正规化
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
anomalous,"a. 不规则的, 反常的
"
enormity,"n. 暴行, 极恶, 巨大
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
pronounce,"v. 发音, 宣告, 断言"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
denounce,"vt. 告发, 抨击, 谴责
"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
enunciate,"vt. 明确地叙述, 表明
vi. 发音"
anonymity,"n. 匿名, 姓氏不明
"
synonymous,"a. 同义词的, 同义的"
pseudonym,"n. 假名, 笔名
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
disoriented,a. 无判断力的；分不清方向或目标的
origin,"n. 起源, 起因, 出身, 开端
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
outcast,"a. 被逐出的, 被遗弃的, 无家可归的
n. 被驱逐的人, 流浪者"
outing,"n. 郊游, 远足
a. 远足适用的"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
outskirts,"n. 近郊, 市郊"
outlandish,"a. 外国气派的, 偏僻的, 古怪的"
outlet,"n. 出口, 发泄方法, 市场
"
outmaneuver,"vt. 对(敌手)机动制胜, 智胜, 在谋略上胜过(敌人)"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overreach,"vt. 扩展...以上, 过度伸张, 走过头
vi. 伸得过远, 过分, 过火"
overwrought,"a. 过分劳累的, 过度紧张的, 神经质的, 过度兴奋的, 过分推敲的, 不自然的"
disparage,"vt. 蔑视, 贬损
"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
parity,"n. 同等, 同位, 平价, 奇偶性
"
comparison,"n. 比较, 对照, 比喻
"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
impartial,"a. 公平的, 不偏不倚的
"
impart,"vt. 给予, 传授, 告知"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
repartee,"n. 机敏巧妙的回答, 妙语, 机智的反驳, 巧辩, 敏捷答辩的才能"
apartment,"n. 房间, 公寓"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
impassable,"a. 不能通行的, 不可逾越的
"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
impasse,"n. 难局, 僵局, 死路, 死胡同"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
compassion,"n. 同情, 怜悯"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
impassioned,"a. 充满激情的, 狂热的, 热烈的"
dispassionate,"a. 冷静的, 不带感情的"
passivity,"n. 被动, 被动性, 无抵抗, 钝性, 被动结构
"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
apathetic,"a. 缺乏感情的, 无动于衷的, 缺乏兴趣的
"
antipathy,"n. 厌恶, 反感
"
empathy,"n. 移情作用, 共鸣
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
paucity,"n. 少数, 少量, 缺乏"
pauper,"n. 贫民, 靠救济度日者, 穷人, 乞丐
"
puerile,"a. 孩子气的, 天真的, 未成熟的
"
pusillanimous,"a. 无勇气的, 胆怯的, 优柔寡断的"
poverty,"n. 贫穷, 贫困, 缺乏
"
impoverish,"vt. 使贫穷, 耗尽...的力气"
penury,"n. 贫困, 贫穷, 拮据, 馈乏
"
spendthrift,"n. 浪费的人
a. 浪费的, 挥霍无度的"
expend,"vt. 花费, 消耗, 用光"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
personable,"a. 风度好的, 讨人喜欢的, 具有行为能力的"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
impersonate,"vt. 模仿, 扮演, 体现, 使人格化
"
diaphanous,"a. 透明的, 轻柔的"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
sycophant,"n. 奉承者, 谄媚者, 追随者
a. 拍马的, 奉承的"
emphasize,"vt. 强调, 加强语气, 着重"
emphasis,"n. 强调, 加强, 重点, 强语气"
emphatically,"adv. 强调地, 着重地"
philanthropy,"n. 慈善, 仁慈, 博爱, 慈善事业, 慈善机构(团体)"
philanthropic,"a. 慈善(事业)的, 博爱的, 乐善好施的
"
philatelist,n. 集邮家
phonetic,"a. 语音的, 语音学的, 表示语音的, 语音差异的
"
cacophony,"n. 不愉快的音调, 不协和音, 杂音"
symphony,"n. 交响乐, 交响曲"
euphonious,"a. 音响好的, 悦耳的, 声音和谐的"
microphone,"n. 扩音器, 麦克风
"
placate,"vt. 抚慰, 平息, 使和解, 怀柔"
implacable,"a. 不能安抚的, 难和解的, 不变的"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
placebo,"n. (为死者所诵的)晚祷歌, 安慰剂, 安慰的话, 使人宽慰的事
"
displace,"vt. 移置, 替换, 转移"
misplace,vt. 放错地方
replace,"vt. 代替, 替换, 放回, 归还
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
deport,"vt. 举止, 驱逐出境
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
importune,"vt. 强求, 硬要
vi. 强求, 纠缠"
opportune,"a. 恰好的, 时机适宜的, 适当的"
opportunity,"n. 机会, 时机"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
depository,"n. 仓库, 贮藏所, 受托者
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
disposed,"a. 愿意, 倾向于"
predisposition,"n. 爱好, 素质, 癖性, 天性, 倾向, 易感受性
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
transpose,"vt. 调换, 颠倒顺序, 移项
vi. 互换位置
"
juxtapose,"vt. 并置, 并列
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
superimpose,"vt. 把(一物)放在另一物的上面, 添上, 附加, 加上, 添加
"
repose,"n. 休息, 睡眠, 静止
vt. 使休息, 寄托于
vi. 休息, 长眠, 静卧, 座落, 依靠, 信赖"
precarious,"a. 不稳定的, 不安的, 危险的"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
precipitous,"a. 陡峭的, 轻率的"
premeditated,"a. 预先考虑的, 预谋的
"
premeditation,"[法] 预谋, 预先计划, 预谋犯罪"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
presumptuous,"a. 放肆的, 冒昧的, 傲慢的"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
oppression,"n. 压抑, 沉闷, 压迫手段
"
repress,"vt. 镇压, 抑制, 压制
vi. 压制"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
primer,"n. 入门书, 初级读本, 雷管, 导火线, 底漆
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
primordial,"a. 原始的, 自原始时代的
"
printing,"n. 印刷, 印刷术, 印花
"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
fingerprint,"n. 指纹
vt. 采指纹"
imprint,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
probity,"n. 诚实, 正直"
reprobate,"n. 堕落的人, 恶棍, 被神遗弃的人
a. 堕落的, 邪恶的
vt. 斥责, 非难, 拒绝"
approbation,"n. 认可, 满意
"
opprobrium,"n. 污名, 耻辱, 咒骂
"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
propriety,"n. 礼貌, 规矩, 适当
"
appropriate,"a. 适当的
"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
approval,"n. 赞成, 批准
"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
disapprove,v. 不赞成
reprove,"vt. 责备, 责骂, 非难
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
purity,"n. 纯净, 纯正, 纯粹
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
purist,n. 纯粹主义者
purebred,"a. 纯种的
n. 纯种动物"
repute,"n. 名望, 名气, 声望
vt. 认为, 以为"
reputation,"n. 名誉, 名声, 声望
"
disrepute,"n. 丧失名誉, 坏名声, 不名誉"
disreputable,"a. 名誉不好的, 不光彩的, 声名狼藉的"
dispute,"n. 争论
v. 争论"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
acquire,"vt. 获得, 学到
"
acquired,"a. 获得的, 后天的
"
acquisition,"n. 获得, 获得物
"
acquisitiveness,n. 占有欲
inquiry,"n. 质询, 探索, 调查, 询盘
"
inquisition,"n. 调查, 探究, 审理, 宗教裁判所
"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
questionable,"a. 可疑的
"
questionnaire,"n. 调查表, 问卷
"
querulous,"a. 抱怨的, 爱发牢骚的, 易怒的"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
conquest,"n. 战胜, 征服, 战利品
"
quietude,"n. 平静, 寂静"
disquiet,"vt. 打搅, 使烦恼, 使忧虑, 使不安
n. 不安, 焦虑, 不平静"
acquiesce,"vi. 默许, 默然同意"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
sequential,"a. 继续的, 后果的
"
consequence,"n. 结果, 重要性
"
consequential,"a. 作为结果的, 随之发生的, 推论的, 间接的, 重大的, 自大的, 傲慢的, 自傲的
"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
spirited,"a. 有精神的, 活泼的, 生气勃勃的"
dispirited,"a. 沮丧的, 意气消沉的, 没精打采的, 没有精神的, 垂头丧气的"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
aspirant,"n. 怀抱大志者, 野心家
a. 上进的, 有野心的"
aspiration,"n. 热望, 志向, 渴望
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
extemporize,"v. 即席演说, 即兴演奏, 当场作成"
extemporaneous,"a. 无准备的, 即席的, 临时的
"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
extensive,"a. 广的, 广泛的, 多方面的
"
distend,"v. (使)膨胀, (使)扩张"
intensify,"vt. 加强
vi. 强化"
ostensible,"a. 表面的, 假装的, 看得出的
"
ostentatious,"a. 装饰表面的, 铺张的, 夸示的, 华美的, 显眼的"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
vitality,"n. 活力, 生命力
"
vitalize,"vt. 赋予生命, 给予活力, 使有生气
"
vitiate,"vt. 使变质, 污染, 使堕落, 败坏, 使失效
"
convivial,"a. 酒宴的, 欢宴的, 欢乐的"
