foolishly,"adv. 愚笨地, 无聊地"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
incapable of doing sth.,无
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
objectivity,"n. 客观, 客观现实, 客观性
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
immigrant,"n. 移民
a. 移入的, 移民的"
settler,"n. 移民者, 解决者, 结算员
"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
affectionate,"a. 深情的, 充满情爱的"
Atlantic,"n. 大西洋
a. 大西洋的"
sojourner,"n. 旅居的人, 逗留的人"
intention,"n. 意图, 目的, 含义
"
eventually,"adv. 最后, 终于"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
kick out,"na. 踢出；解雇；踢足球出界
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
category,"n. 种类, 类项
"
in the making,"在形成中,在酝酿中"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
mightily,"adv. 强烈地, 非常地"
definition,"n. 定义, 精确度, 清晰度
"
gray area, 灰色地区
entrepreneur,"n. 企业家, 主办人
"
aide,"n. 助手, 副官
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
energetic,"a. 精力充沛的, 积极的"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
permission,"n. 许可, 允许
"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
honorably,adv. 值得尊敬地；体面地
straddle,"n. 跨坐, 观望
v. 跨坐, 两腿叉开坐, 观望"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
outcome,"n. 结果, 出口"
exist,"vi. 存在, 生存, 发生"
battle,"n. 战役
v. 战斗"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
accomplish,"vt. 完成, 达到, 实现, 使完美"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
talkative,"a. 喜欢说话的, 饶舌的, 多嘴的"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
complain,"v. 抱怨, 抗议, 控诉"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
anecdote,"n. 轶事, 奇闻"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
burst into laughter,哈哈大笑起来
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
crystallize,"vt. 使结晶, 使具体化
vi. 结晶, 具体化"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
tend to,"注意, 趋向"
wreak havoc,[网络] 肆虐；造成严重破坏；造成破坏
sociologist,"n. 社会学家
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
communication,"n. 交流, 交通, 通讯
"
divorce,"n. 离婚
vt. 与...离婚"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
amount to,"[经] 等于, 相当于"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
inequity,"n. 不公平, 不公正"
first and foremost,首要地
in short,"简而言之
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
stereotypical,a. 典型的; 带有成见的
cartoon,"n. 卡通画, 漫画
v. 画漫画"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
crisis,"n. 危机, 危险期, 紧要关头
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
advancing age,无
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
blackout,"n. 灯火管制, 暂时的意识丧失, 灯火熄灭, 删除
"
blank out,"na. 同“blank”
"
waistline,"n. 腰围
"
rolling,"a. 旋转的, 波动的, 起伏的
n. 旋转, 轰响, 动摇"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
inescapable,"a. 逃不掉的, 不可避免的"
sort of,有几分地
tend to,"注意, 趋向"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
go by,"走过, 依照, 顺便走访"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
teenager,n. 十三岁到十九岁的少年
distracted,a. 心烦意乱的
disorganized,a. 无组织的；紊乱的
decade,"n. 十年, 十"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
psychologist,"n. 心理学家
"
inefficient,"a. 无效率的, 无能的
"
processing,
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
efficiency,"n. 效率, 效能, 功效
"
athlete,"n. 运动员, 运动选手
"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
slow down,(使)慢下来
cell,"n. 单元, 细胞, 电池
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
skilled,"a. 熟练的
"
expend,"vt. 花费, 消耗, 用光"
compensate,"v. 偿还, 补偿, 付报酬"
slippage,"n. 滑移, 滑动, 滑程
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
quick-fix,"n. 速效对策, 快速解决问题的办法"
top form,竞技状态很好
gym,"n. +体育馆, 体育训练, 体育课, 体操"
versus,"prep. 对...
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
acutely,"adv. 尖锐地, 剧烈地"
fragile,"a. 易碎的, 脆的
"
boom and bust,经济繁荣与萧条的交替循环
outmode,vt. 使…过时；使…不流行
appetite,"n. 食欲, 欲望, 爱好
"
foresee,"vt. 预见, 预知"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
downturn,"n. (尤指经济方面的)衰退, 下降趋势
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
for good,"永久地, 永远地, 一劳永逸地"
insatiable,"a. 不知足的, 贪求无厌的
"
restructure,"vt. 更改结构, 重建, 调整"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
automation,"n. 自动化, 自动操作
"
threatened,"a. 受到威胁的
v. 威胁(threaten的过去分词)"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
via,"prep. 经由, 经过, 通过
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
tightly,"adv. 紧紧地, 坚固地"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
standardize,"vt. 使标准化, 使合于标准, 用标准检验
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
creativity,"n. 创造力, 创造性"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
reinvent,vt. 重新使用；彻底改造；重复发明（在不知他人已发明的情况下）
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
imagination,"n. 想像, 听觉, 想像力
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
unexpected,"a. 料想不到的, 突然的, 意外的
"
predictable,a. 可预言的
formula,"n. 客套语, 公式, 准则
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
reframe,"vt. 再构造, 重新制订, 再组织, 给...装上新框架"
innovate,"vi. 改革, 创新"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
augment,"v. 增加, 增长
"
institution,"n. 机构, 惯例, 制度
"
be prone to,"有...的倾向, 易于"
overreaction,[经] 反应过度
react,"vi. 起反应, 起作用, 反攻
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
hard-wired,硬连接
defense,"n. 防卫, 防卫物
"
millisecond,"n. 毫秒
"
accurately,"adv. 正确地, 精确地"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
neuroticism,[医] 神经过敏症
open-mindedness,[网络] 开放；开放的心；开放的心态
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
assess,"vt. 估定, 对...征税, 评定
"
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
aspect,"n. 外观, 方面, 面貌, 方向
"
stimulus,"n. 刺激, 激励, 刺激品
"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
realm,"n. 王国, 领土, 领域
"
psychologist,"n. 心理学家
"
exclusive,"a. 排外的, 独占的, 唯一的
"
logo,"n. 连合活字, 商标, 徽标
"
unconsciously,"adv. 无意识地, 无意中, 不知不觉地"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
impatience,"n. 性急, 难耐, 焦急, 急躁"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
option,"n. 选择权, 挑选, 选项
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
real estate,"不动产
"
screener,筛
attractive,"a. 吸引人的, 有魅力的
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
applicant,"n. 申请者
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
evaluation,"n. 评估, 估价, 求值
"
reliably,"adv. 可靠地, 可信赖地"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
differentiate,"v. 区别, 区分"
intermittently,adv. 间歇地
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
imaginative,"a. 想像的, 虚构的"
capacity,"n. 容量, 能力, 才能, 资格
"
temptation,"n. 诱惑, 诱惑物
"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
rise above,升到…之上; 超越…; 克服; 沾沾自喜
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
diagnosis,"n. 诊断
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
treatment,"n. 治疗, 待遇, 处理
"
isolated,"a. 孤立的, 孤零零的
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
side-by-side,"并排, 并肩"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
diagnose,v. 诊断
generate,"vt. 产生, 发生, 导致
"
liver,"n. 肝脏, 生活者, 居民
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
tumor,"n. 肿大, 肿块, 瘤, 赘生物, 肿瘤
"
lung,"n. 肺, 肺脏, 空地
"
react,"vi. 起反应, 起作用, 反攻
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
stock up,备货
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
posse,"n. 一队, 一团, 地方武装团队
"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
celebrity,"n. 名声, 名人"
babe,"n. 小孩, 天真幼稚的人"
cartoonist,n. 漫画家
name a few, 说出一些或举些例子
documentary,"n. 记录片
a. 文件的"
cope,"vi. 竞争, 应付
n. 长袍"
make up,"na. 弥补；起草；定；签订
"
insightful,"a. 有深刻见解的, 富有洞察力的"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
second opinion,(由另一位专家提出的)第二意见
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
time-saving,"adj. 节约时间的
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
regulation,"n. 规则, 管理, 调整
"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
cautiously,adv. 慎重地
miracle,"n. 奇迹, 奇事"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
fashionable,"a. 时髦的, 上流社会的, 流行的"
be stuck with,"〈俚〉被…缠住无法摆脱,遇到困难无法进行下去"
eyebrow wax,无
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
empirical,"a. 完全跟据经验的, 经验主义的
"
strategy,"n. 战略, 策略
"
psychologist,"n. 心理学家
"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
superiority,"n. 优越, 高傲
"
statistical,"a. 统计的, 统计上的, 统计学的
"
impossibility,"n. 不可能之事, 不可能
"
deep-seated, [医]深在的
amass,"vt. 积聚, 堆积"
rose-tint,无
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
self-affirming,[网络] 自我证实；自身的断定
criticise,"v. 批评, 吹毛求疵, 非难"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
hot stuff,"卓越的人,精华,优秀运动员;烈性汉,色情狂"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
version,"n. 一种描述, 版本, 译文
"
visual,"a. 视觉的
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
intuitively,[计] 直觉地
conscious,"a. 有意识的, 知觉的, 觉察的
"
deliberation,"n. 熟虑, 熟思, 审议
"
falsely,"adv. 虚伪地, 错误地, 不实地"
genuinely,adv. 真诚地；诚实地
attractiveness,"[经] 吸引性, 有利可图"
lineup,"n. 阵容, 阵形, 布阵, 一组人"
alter,v. 改变
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
flattering,"a. 谄媚的, 讨人欢喜的"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
gender,"n. 性
vt. 产生"
evidence,"n. 根据, 证据, 迹象
"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
insecurity,"n. 不安全, 不安全感
"
correspond,"vi. 符合, 通信, 相当
"
marker,"n. 作记号的人, 记分员, 书签, 纪念碑, 里程碑, 标识物, 标记
"
delusion,"n. 迷惑, 欺瞒, 错觉
"
depressed,"a. 沮丧的, 降低的
"
response,"n. 反应, 回答, 响应
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
make up for,"补偿,弥补"
self-esteem, 自尊
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
viscerally,adv. visceral（内脏的；发自肺腑的）的变形
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
cream,"n. 乳酪, 奶油, 面霜
"
intellect,"n. 智力, 出众的才华, 知识分子
"
dishonest,"a. 不诚实的
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
paradise,"n. 天堂, 乐园, 伊甸园"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
idealise,"vi.vt. 使理想化, 使观念化"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
virtually,adv. 事实上
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
unbearable,"a. 无法忍受的, 承受不住的"
subway,"n. 地铁, 地道
vi. 乘地铁"
reality,"n. 实在, 事实, 实体, 逼真
"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
rejection,"n. 拒绝, 抛弃, 驳回, 被抛弃的东西, 呕出物
"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
misinterpret,vt. 曲解
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
disruptive,"a. 分裂的, 破坏(性)的
"
inherently,"adv. 内在地, 生来地, 固有地
"
acquaintance,"n. 认识, 相识者"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
commuter,"n. 乘公共车辆上下班者, 月季票乘客
"
predict,"v. 预知, 预言, 预报"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
positive,"a. 肯定的, 积极的, 有把握的
"
band aid, 邦迪创口贴
behavioral,a. 行为的
unthinkable,"a. 不能考虑的, 不能想像的, 想像不到的, 不合理的"
summarize,"v. 概述, 总结"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
connection,"n. 连接, 关系, 前后关系
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
nonstandard,a. 不标准的
take its toll,"造成损失,造成伤亡"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
sociology,"n. 社会学
"
familial,"a. 家族的, 家庭的
"
decade,"n. 十年, 十"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
relationship,"n. 关系, 关联
"
consequence,"n. 结果, 重要性
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
disproportionately,"adv. 不匀称, 不相称"
graveyard shift,[经] 夜间轮班
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
gender,"n. 性
vt. 产生"
clerical,"n. 牧师
a. 文书的, 事务上的, 抄写员的, 牧师的"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
generate,"vt. 产生, 发生, 导致
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
dual,"a. 双重的, 双的
n. 双数"
split-shift, 交替分次轮班
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
likelihood,"n. 可能, 可能性"
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
correlation,"n. 相互关系, 相关, 关联
"
instability,"n. 不安定, 不稳定
"
interaction,"n. 交互作用, 交感
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
provider,"n. 供应者, 供养人, 伙食承办人
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
professional,"n. 专业人才
a. 专业的, 职业的"
employee,"n. 职员, 员工, 受雇人员
"
employer,"n. 雇主, 老板
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
convenience,"n. 方便, 便利的事物, 方便的时候"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
swing shift,"[经] 替班, 预备倒班"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
necessity,"n. 需要, 必需品, 必然
"
prevalent,"a. 普遍的, 流行的"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
virtually,adv. 事实上
emphasize,"vt. 强调, 加强语气, 着重"
benefit,"n. 利益
vt. 有益于
vi. 受益"
emotional,"a. 情绪的, 情感的
"
highly,"adv. 非常, 非常赞许地
"
complexity,"n. 复杂, 复杂性, 复杂的事物"
celebrate,"v. 庆祝, 祝贺, 举行"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
increasingly,"adv. 逐渐地, 渐增地"
