barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
tired,"a. 疲累的, 疲乏的, 厌倦的"
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
beginner,n. 初学者
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
university,n. 大学
college,"n. 学院, 大学, 学会"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
library,"n. 图书馆, 藏书, 库
"
bookshelf,n. 书架
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
Science,"n. 科学, 学科, 学问, 自然科学
"
Geography,"n. 地理学, 地理
"
History,[网络] 她的故事在男性主宰历史；祂的故事；历史文本上
Mathematics,"n. 数学
"
exam,"n. 考试, 测验"
examination,"n. 考试, 测验, 审查
"
homework,"n. 家庭作业, 家里做的工作
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
dictionary,"n. 字典, 词典
"
example,"n. 例子, 样本, 实例
"
language,"n. 语言, 文字, 措辞
"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
instructions,n. 指令；说明（instruction的复数形式）
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
diploma,"n. 文凭, 毕业证书
"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
cassette player,n. 卡式录音
cassette recorder,"[计] 卡型盒式记录器, 盒式录音机"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
beautiful,a. 美丽的
boring,"a. 烦人的, 无聊的, 无趣的
"
clever,"a. 聪明的, 精明的"
difficult,a. 困难的
excellent,"a. 优良的, 杰出的, 出色的"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
spelt,"spell的过去式和过去分词
"
spelt,"spell的过去式和过去分词
"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
learn,vt. 学习；认识到；得知
as well as,"也, 又"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
aeroplane,"n. 飞机
"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
ambulance,"n. 救护车
"
police car,[法] 警察巡逻车
lorry,"n. 卡车, 货车
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
airport,"n. 飞机场
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
passport,"n. 护照, 手段, 通行证
"
petrol,"n. 汽油
"
petrol station,n. 加油站
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
suitcase,n. 手提箱
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
tour guide,"旅游向导,导游"
tourist,"n. 观光客, 旅行者
a. 旅游的"
driving licence,n. 驾驶执照
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
luggage,"n. 行李, 皮箱"
mechanic,"n. 机械工, 技工
a. 手工的"
mile,"n. 英里, 很大距离
"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
motorway,n. 高速公路
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
crossroads,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
passenger,"n. 乘客, 旅客
"
railway,"n. 铁路, 轨道
"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
traffic lights,红绿灯
travel agency,"旅行社
"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
visitor,"n. 参观者, 游客, 访客
"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
arrive,"vi. 到达, 抵达"
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
crowded,"a. 拥挤的, 塞满的"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
famous,"a. 出名的, 极好的"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
countryside,"n. 乡下地方, 乡下居民"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
mountain,"n. 山, 山脉, 大堆"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
river,"n. 河, 江
"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
sea,"n. 海, 海洋, 海浪, 大量
"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
beach,n. 海滩
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
sun,"n. 太阳, 日, 日光, 阳光
vt. 晒
vi. 晒太阳"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
thunderstorm,n. 雷暴雨
grass,"n. 草, 草原, 牧场
"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
forest,"n. 森林, 林区
vt. 植树于"
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
outdoor,"a. 户外的, 屋外的, 露天的"
foggy,"a. 雾深的, 模糊的"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
