cent,"n. 分
"
apparel,"n. 衣服, 外表
vt. 使穿衣, 装饰"
apparition,"n. 鬼, 幽灵, 幻影"
transparency,"n. 透明, 透明度, 透过性, 透明物, 清晰
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
apparatus,"n. 装置, 器具, 器官
"
biparous,"a. 一产双胎的, 二枝的
"
multiparous,"a. 一胎多子的, 多产的
"
parentage,"n. 出身, 血统, 门第, 起源
"
primiparous,"a. 初产的
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
testify,"v. 证明, 作证, 声明, 表明"
testimony,"n. 证言, 证据, 声明
"
available,"a. 可利用的, 可获得的, 有效的
"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
evaluate,"vt. 评估, 评价, 赋值"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
invaluable,"a. 无价的, 价值无法衡量的"
undervalue,"vt. 低估...之价值, 低估, 看轻
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
adjudge,"vt. 宣判, 判决, 裁定给, 认为
"
judgment,"n. 裁判, 宣告, 判决书
"
prejudge,"vt. 预先判断, 对...预先作出判决"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
adjudicate,"v. 判决, 宣告, 裁定"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
requital,"n. 酬答, 还礼
"
quitclaim,"n. 放弃权利
vt. 放弃权利"
requite,"vt. 报答, 酬答, 还礼"
acquit,"vt. 无罪释放, 表现, 使履行
"
acquittal,"n. 履行, 无罪开释
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
discriminate,"v. 区别, 差别待遇"
incrimination,"n. 连累, 控告"
incriminate,"vt. 连累, 暗示...有罪, 控告
"
recriminate,"v. 反责, 反唇相讥, 反控"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
frontal,"a. 前面的, 正面的, 额的
n. 额骨, 祭坛(前面的)帏帘, (建筑物的)正面"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
forefront,"n. 最前部, 最前线"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
untouchable,"a. 达不到的, 碰不着的, 管不到的, 不可批评的, 碰不得的, 不可捉摸的, 无形的"
touched,"a. 精神不太正常的, 受感动的"
touching,"a. 动人的, 令人同情的"
touchy,"a. 易怒的, 难以取悦的, 过于敏感的"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
newscast,n. 新闻广播
recast,"vt. 重铸, 重作, 改造
n. 重铸, 改换角色"
downcast,"a. 气馁的, 沮丧的"
overcast,"a. 阴天的, 阴暗的, 愁闷的"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
appoint,"vt. 任命, 指定, 下令
"
disappoint,vt. 使失望
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
pointer,"n. 指示物, 教鞭, 暗示, 指针
"
punctuality,"n. 严守时间, 正确"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
pungent,"a. 刺激性的, 尖刻的, 苦痛的
"
numerable,"a. 可数的, 可计数的"
numerous,"a. 很多的, 数目众多的, 多数的
"
innumerable,"a. 无数的, 数不清的"
supernumerary,"a. 额外的, 多余的
n. 跑龙套的角色, 杂工, 临时演员, 多余的人/物, 冗员"
enumerate,"vt. 列举, 计算, 枚举, 数
"
central,"a. 中央的, 重要的
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
xenocentric,a. 喜爱外国之文化的
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
facet,"n. (多面体的)面, 方面, 琢面
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
deface,"vt. 损伤外观
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
memorize,"vt. 记住, 熟记, 背熟"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
memorable,"a. 值得纪念的, 难忘的"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
amnesiac,[医] 遗忘者
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
aloud,"adv. 出声地, 大声地"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
arise,"vi. 站立, 出现, 起来"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
aware,"a. 知道的, 有觉悟的"
avoid,"vt. 避免, 防止, 撤消
"
await,"vt. 等候
vi. 等待着"
abase,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑"
afresh,adv. 重新
amass,"vt. 积聚, 堆积"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
away,adv. 离去
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
amoral,"a. 不属于道德范畴的, 无从区分是非的"
apathy,"n. 无感情, 无兴趣, 冷漠
"
asocial,"a. 不合群的, 不关心他人的, 自私的
"
asymmetry,"n. 不匀称, 不对称
"
atypical,"a. 非典型的
"
arrange,"v. 安排, 排列, 达成协议
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
accelerate,"v. 加速, 促进"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accumulate,"v. 积聚, 堆积"
attain,"vt. 达到, 获得
vi. 达到"
appoint,"vt. 任命, 指定, 下令
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
affirm,"v. 断言, 确认"
applause,"n. 鼓掌, 喝彩, 赞许"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
aggravate,"vt. 使恶化, 使更严重, 加重"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
aggression,"n. 侵犯, 侵略
"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adventure,"n. 冒险, 冒险经历
v. 冒险"
adapt,"vt. 使适应, 改编
vi. 适应"
administrate,"vt. 管理, 支配"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adjacent,"a. 毗连的, 邻近的, 连接的
"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
disagree,"vi. 不一致, 不适宜
"
disappear,"vi. 消失, 不见"
dishonest,"a. 不诚实的
"
dissimilar,"a. 不同的, 相异的"
distrust,"n. 不信任
vt. 不信任"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
disobey,"v. 违反, 不服从"
disproof,"n. 反证, 反驳
"
discolor,"vi.vt. (使)变色, 污染, (使)褪色
"
discourage,"vt. 使气馁, 阻碍"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
displace,"vt. 移置, 替换, 转移"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
distend,"v. (使)膨胀, (使)扩张"
disband,"vt. 解散, 遣散
vi. 被解散"
distract,"vt. 转移, 分心, 使发狂"
disorganize,"vt. 破坏组织, 使混乱, 瓦解"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
discuss,"vt. 讨论, 论述
"
dispart,"v. 分, 分离, 分开"
discern,"v. 辨别, 看清楚, 了解"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
nonsmoking,"adj. (人)不吸烟的; (商店等公共场所)严禁吸烟的 [亦作 non-smoking, no-smoking]"
nonessential,"a. 非本质的
n. 不重要的人"
nonhuman,a. 非人类的
nonprofessional,"a. 无职业的, 无专长的"
nonprofit,"a. 非赢利的, 无利可图的
"
nonstop,"a. 直达的, 不着陆的, 不休息的
adv. 不休息地
n. 直达车, 直达行驶"
nonexistent,a. 不存在的
nonfiction,n. (非小说的)写实文学
nontraditional,"a. 不符合传统的, 非传统的"
nontoxic,a. 无毒的
nonalcoholic,a. 不含酒精的
mislead,vt. 误导
misread,"vt. 读错, 看错"
misdeed,"n. 罪行, 犯罪
"
misinterpret,vt. 曲解
misunderstand,"vt. 误解, 误会"
misapply,"vt. 误用, 滥用"
misguide,vt. 误导
misbehavior,"n. 不正当的举止, 不规矩的行为
"
miscalculate,"vt. 误算
vi. 算错"
misfortune,"n. 不幸, 灾祸, 坏运气
"
mishap,"n. 不幸之事, 灾祸, 恶运"
misjudge,v. 判断错
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
obverse,"n. (钱币、奖章等)正面, 主要的一面, 对立面
a. 正面的, 对应面的, 倒转的"
reaction,"n. 反应, 反作用, 反动
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
resent,"vt. 愤恨, 憎恶, 怨恨"
reappear,vi. 再出现
rebirth,"n. 再生, 复活, 新生"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
reexamination,"n. 重考, 再检查, 再审查
"
reprint,"n. 再版, 翻版, 重印
vt. 再版, 翻版"
recompense,"n. 报偿, 酬金, 赔偿
vt. 报偿, 赔偿, 报酬"
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
"
rearrange,"vt. 再排列, 重新整理
"
regenerate,"vt. 使再生, 重建, 革新
vi. 新生, 再生
a. 新生的, 再生的
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
retract,"v. 缩回, 收回, 取消, 撤消"
resonant,"a. 共鸣的, 反响的, 洪亮的, 共振的
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
uncommon,"a. 不寻常的, 非凡的, 罕有的
adv. 不平常地"
unequal,"a. 不相等的, 不规则的, 不能胜任的
"
unacceptable,"a. 无法接受的, 不受欢迎的
"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
uneducated,"a. 未受教育的, 无知的"
unjust,"a. 不公平的
"
unofficial,"a. 非正式的, 非官方的
"
unbearable,"a. 无法忍受的, 承受不住的"
unchangeable,"a. 不变的, 不能改变的"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
unbeatable,"a. 无敌的, 无与伦比的"
unbreakable,"a. 不会破的, 不易打碎的"
unconditional,"a. 无条件的, 无限制的, 绝对的
"
unbiased,"a. 没有偏见的
"
unavailable,"a. 得不到的, 不能利用的, 无用的
"
unavoidable,"a. 不可避免的, 不得已的, 不能作废的
"
unlimited,"a. 无限的, 不受限制的, 无条件的
"
unbutton,"vt. 解开...的钮扣
vi. 解开钮扣"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
undress,"vt. 使脱衣服, 暴露, 使卸去装饰
vi. 脱衣服"
unload,"vi. 卸货
vt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)
"
unplug,"vt. 拔开...的塞子, 拔去...的插头, 除掉...的障碍物"
unearth,"vt. 发掘, 掘出, 从洞中赶出, 揭露, 发现"
unlock,"vt. 开...的锁, 开启, 表露, 放出
vi. 被开启, 揭开, 解放
"
unpack,"vt. 从包裹中取出, 卸下, 打开
vi. 打开包裹
"
unroll,"vt.vi. 铺开, 展开, 显示, 展现"
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
unfasten,"vt. 解开, 放松"
outwear,"vt. 穿坏, 用旧, 耗尽(力气等)"
outstay,vt. 逗留得比...更久
outsize,"a. 特大的
n. 特大号"
outsit,"vt. 比(某人)坐(或逗留)得更久, 坐得超过...的时间限度"
outspend,"vt. 用钱超过(收入等), 过度消耗, 开支比...更大"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
outdoor,"a. 户外的, 屋外的, 露天的"
outflow,"n. 流出, 流出物
"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
outbreak,"n. 爆发, 暴动
"
outskirts,"n. 近郊, 市郊"
outage,"n. (水、电、煤)断供, 储运损耗
"
outbid,vt. 出高于...的价钱
outnumber,"vt. 数目超过, 比...多"
outbrave,"vt. 勇敢地面对..., 在勇气方面胜于, 压倒"
outlast,"vt. 比...长久, 从...中逃生"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
outvote,"vt. 得票多于(对方), 以票数胜过"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
overact,"v. 夸张表演, 行动过火"
overconfident,"a. 过于自信的, 自负的
"
overburden,"vt. 装载过多, 负担过多, 使过劳
"
overcharge,"v. 讨价过高, 装载过多, 过度充电, 渲染
n. 超载, 装药过多, 过度充电"
overcooked,a. 煮得过久的
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
overpraise,"vt. 过度夸奖, 过奖
n. 过奖"
overdose,"n. 配药量过多
vt. 配药过量, 使过分沉溺"
overcoat,n. 外套大衣
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
overhear,"vt. 无意中听到, 偷听"
overbridge,"n. 天桥, 旱桥"
overhang,"n. 突出部份, 悬垂部份
vt. 悬于...之上, (危险等)逼近
vi. 悬垂, 逼近"
overleap,"vt. 跳过, 看漏, 省略"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
overset,"vt. 打翻, 推翻, 使失败, 使心烦意乱
vi. 翻倒"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
upfront,"a. 正直的, 坦率的; 最前面的, 首要的; 在前面的; 预先的
adv. 在最前面; 提前支付（工资）"
upbound, 上水的
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
empathy,"n. 移情作用, 共鸣
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embattle,"vt. 列阵, 布阵, 整军备战, 严阵以待"
embody,"vt. 具体表达, 使具体化
"
empower,"vt. 授予权力, 允许, 使能够
"
emborder,"v. 加边, 镶边"
embank,"vt. 以堤围绕, 筑堤围堵, 以堤防堵挡"
embar,vt. 囚禁；阻遏
embalm,"vt. 以药物防腐, 铭记于心, 使不朽"
encourage,"vt. 鼓励, 支持, 激励
"
enact,"vt. 制定法律, 扮演, 颁布
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
endanger,"vt. 危及
"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
entrap,"vt. 骗入, 诱捕, 使陷入"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
impolite,"a. 无礼的, 粗鲁的"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
inevitable,"a. 不可避免的, 必然的
"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
impartial,"a. 公平的, 不偏不倚的
"
inability,"n. 无能, 无力"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
inaccurate,"a. 错误的, 不准确的
"
incapable,"a. 无能力的, 不能的
"
ineffectual,"a. 无效的, 无益的"
inhuman,"a. 残忍的, 无人性的, 非人类的
"
innocuous,"a. 无害的, 无伤大雅的
"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
impassion,"vt. 使激动, 激起热情"
infect,"vt. 传染, 感染
"
innovate,"vi. 改革, 创新"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
impel,"vt. 推动, 激励, 驱使, 迫使"
incite,"vt. 刺激, 激励, 引诱
"
incur,"vt. 招致, 蒙受, 遭遇
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
include,"vt. 包括, 把...算入, 包住
"
indoor,"a. 户内的, 室内的"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
implant,"vt. 深植, 灌输, 嵌入
n. 植入物, 植入管"
immigrate,"vt. 使移居入境
vi. 移入"
immerge,"vi. 浸入, 隐没, 埋头"
inflow,"n. 流入, 流入物"
impede,"vt. 妨碍, 阻碍, 阻止"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
inhale,"vt. 吸入
vi. 吸气"
inject,"vt. 注射, 注入, 使入轨
"
ingest,"vt. 摄取, 咽下, 吸取"
introduce,"vt. 介绍, 引入, 采用, 输入
"
introduction,"n. 介绍, 传入, 采用, 初步"
introvert,"n. 个性内向者
vt. 使内向, 使内弯, 内陷
vi. 内省, 内弯
a. 性格内向的"
intromit,"vt. 使进入, 插入, 干预"
protect,"vt. 防卫, 保护, 警戒
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
promote,"vt. 促进, 晋升, 创办, 推销
"
prohibit,"vt. 禁止, 阻止
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
pronounce,"v. 发音, 宣告, 断言"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
provoke,"vt. 激怒, 惹起, 诱导
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
prolong,"vt. 延长, 拖延, 拖长
"
propel,"vt. 推进, 驱使
"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
pro-slavery,"n. （美）支持奴隶制度
adj. （美）支持奴隶制度的"
pro-American,"a. 亲美的, 与美国相近似的"
pro-British,[网络] 亲英的；挺英
pronoun,n. 代词
pro-consul,n. （古罗马）地方总督；（英）殖民地总督
procurator,"n. 代理人, 行政长官, 检察官
"
prolocutor,"n. 议长, 代辩者
"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
underfoot,"adv. 在脚下, 碍事地
"
underwear,n. 内衣
underclass,n. 低年级学生
undercurrent,"n. 暗流, 潜流, 电流不足"
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
undersea,"a. 海面下的
adv. 在海面下"
underworld,"n. 下层社会, 地狱, 下流社会"
forefather,n. 祖先
forefront,"n. 最前部, 最前线"
forehead,"n. 额, 前额, 前部
"
foretell,"vt. 预言, 预告, 预示"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
foresee,"vt. 预见, 预知"
forefinger,"n. 食指
"
forerunner,"n. 先驱, 前兆"
foresight,"n. 远见, 深谋远虑
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interplay,"n. 互相作用, 互相影响
vi. 互相作用"
interrelate,v. (使)相互关联
international,"a. 国际的
n. 国别设定
"
interchange,"n. 立体交叉道, 互换
vt. 交换, 互换
vi. 交替发生"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
intercity,a. 城市间的
interstate,"a. 州际的
"
interstellar,a. 星际的
postage,"n. 邮资
"
postbag,n. 邮袋
postbox,n. 邮筒
postcard,n. 明信片
postcode,n. 邮政编码
poster,"n. 海报, 招贴, 驿马"
postman,"n. 邮递员
"
post office,"邮局
"
postal,"a. 邮政的, 邮局的
"
postdate,"vt. 填迟...的日期
n. 事后日期"
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
postwar,a. 战后的
postface,n. 刊后语
postmodern,a. 后现代的
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
posttreatment,"a. 治疗后的 
adv. 治疗后 
n. 后治疗"
supermarket,"n. 超级市场
"
superhero,n. 超级英雄
superpower,"n. 超级强权, 超级大国
"
supersonic,"a. 超声波的
"
superhighway,n. 超级高速公路
superhuman,"a. 超人的, 人类能力所不能及的"
supermodel,n. 超级名模
superfluous,"a. 多余的, 过剩的"
superexcitation,"n. 过度的兴奋, 过度的刺激
"
supersensitive,"a. 过敏的
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superstructure,"n. 上部构造, 上层建筑
"
supervise,"v. 监督, 管理, 指导"
superiority,"n. 优越, 高傲
"
superstition,"n. 迷信
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
compete,"vi. 竞争, 对抗"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
concept,"n. 观念, 概念
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
compel,"vt. 强迫, 迫使"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
commemorate,vt. 纪念
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
comprehend,"vt. 理解, 包括"
concise,"a. 简洁的, 简明的"
comparison,"n. 比较, 对照, 比喻
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
consist,"vi. 组成, 存在于, 一致"
cooperate,"vi. 合作, 协力, 配合
"
correspond,"vi. 符合, 通信, 相当
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
compassion,"n. 同情, 怜悯"
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
collaborate,"vi. 合作, 勾结
"
coexist,vi. 共存
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
declare,"v. 宣布, 声明, 申报, 断言"
definition,"n. 定义, 精确度, 清晰度
"
declaim,"v. 慷慨陈词, 演讲, 朗读"
depict,"vt. 描述, 描写"
delimit,"vt. 定界限, 划界
"
destruction,"n. 破坏, 毁灭
"
decompose,"v. 分解, (使)腐烂"
dematerialize,"v. (使)非物质化, 消失"
decentralize,"vt. 使分散, 下放(权力), 疏散(人口)
"
defame,"vt. 诽谤, 中伤, 破坏名誉
"
dehydrate,"vt. (使)脱水
"
