enable,"vt. 使能够
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
counteract,"vt. 抵消, 阻碍, 中和
"
counteraction,"n. 抵消, 反作用, 中和
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addiction,"n. 入迷, 瘾
"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
dedicate,"vt. 献出, 贡献"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
individualism,"n. 个人主义, 个人特征
"
individualistic,"a. 个人主义的, 独特的"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
domestic,"a. 家庭的, 国内的, 驯养的
"
domain,"n. 领域, 领土, 产业, 范围
"
dominate,"v. 支配, 占优势"
dominant,"a. 占优势的, 支配的
"
dominance,"n. 优势, 显性, 统治, 控制, 支配
"
predominance,"n. 主导地位, 优势"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
introduce,"vt. 介绍, 引入, 采用, 输入
"
introduction,"n. 介绍, 传入, 采用, 初步"
introductory,"a. 介绍的, 引导的, 开端的"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
misconduct,"vt. 办错, 使行为不端
n. 办错, 渎职, 通奸"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
semiconductor,"n. 半导体
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
product,"n. 产品, 结果, 乘积
"
production,"n. 制造, 生产, 产物
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
productively,adv. 有结果地；有成果地
productivity,"n. 生产力
"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
reproductive,"a. 生殖的, 再生的, 复制的
"
reproducible,"a. 可再生的, 可复写的, 能繁殖的"
reproducibility,
irreproducibility,非再生性
deduce,"vt. 推论, 演绎出
"
seduce,"vt. 唆使, 怂恿, 引诱, 诱奸
"
mislead,vt. 误导
misleading,"a. 引入歧途的, 使人误解的, 骗人的
"
durable,"a. 持久的, 耐用的"
duration,"n. 持续时间, 持续
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
monthly,"n. 月刊
a. 每月的, 每月一次的"
bimonthly,"a. 两月一次的, 每月两次的"
deadline,"n. 最后期限, 截止期限
"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
debt,"n. 债务, 罪过
"
decorate,v. 装饰
decoration,"n. 装饰, 装饰品"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
delayed,a. 定时的；延时的
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
deny,"v. 否认, 拒绝"
deploy,"v. 展开, 配置"
destiny,"n. 命运, 定数"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
detailed,"a. 详细的, 复杂的
"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
retailer,"n. 零售商人, 传播的人
"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
wholesaler,"n. 批发商
"
deteriorate,v. (使)恶化
deteriorating,"v. 恶化, 变坏( deteriorate的现在分词 )"
determine,"v. 决定, 决心"
determination,"n. 决心, 果断
"
determined,"a. 坚决的, 已下决心的"
determinism,"n. 决定论
"
predetermine,"vt. 预先决定, 预先查明
"
dilemma,"n. 困境, (进退两难的)窘境"
diligent,"a. 勤勉的, 用功的"
diligence,n. 勤奋
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
disguised,v. 假扮( disguise的过去式和过去分词 ); 化装; 伪装; 掩盖
distaste,"n. 讨厌, 嫌恶"
distasteful,"a. 味道差的, 使人不愉快的, 讨厌的"
divorce,"n. 离婚
vt. 与...离婚"
donate,v. 捐赠
donation,"n. 捐赠物, 捐款, 捐赠
"
dramatic,"a. 戏剧性的, 生动的"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
drastic,"a. 激烈的
"
drastically,"adv. 激烈地, 彻底地"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
backdrop,"n. 背景幕, 背景"
drought,"n. 干旱, 缺乏"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
drugstore,"n. 药房, 杂货店"
dwelling,"n. 住处
"
dweller,n. 居民
electrical,"a. 电的, 有关电的
"
electronic,"a. 电子的
"
electronics,"n. 电子学
"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
temptation,"n. 诱惑, 诱惑物
"
contempt,"n. 轻视, 轻蔑
"
contemptuous,"a. 轻蔑的, 鄙视的, 瞧不起人的"
contemptible,"a. 卑鄙的, 可轻蔑的, 不足挂齿的"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
equality,"n. 平等, 均匀, 相等
"
equation,"n. 相等, 等式, 平衡
"
equip,"vt. 装备, 配备
"
equipment,"n. 装备, 设备, 才能
"
adequate,"a. 适当的, 足够的
"
inadequate,"a. 不充分的, 不适当的
"
adequately,"adv. 足够地, 适当地"
eager,"a. 热心的, 渴望的, 热望的"
eagerness,n. 热心
earn,"vt. 赚得, 获得, 博得
"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
earnestness,n. 认真；诚挚；正经
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embarrassing,"a. 令人为难的, 麻烦的"
embarrassment,"n. 困难, 阻碍, 困窘
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
emphasize,"vt. 强调, 加强语气, 着重"
emphasis,"n. 强调, 加强, 重点, 强语气"
empire,"n. 帝国, 帝权"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
empirical,"a. 完全跟据经验的, 经验主义的
"
encode,"vt. 把(电文、情报等)译成密码
"
energy,"n. 精力, 精神, 活力, 能量
"
energetic,"a. 精力充沛的, 积极的"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
engagement,"n. 诺言, 约会, 婚约, 交战
"
enhance,"vt. 提高, 加强, 增加"
enhancement,"n. 提高, 美化, 增进, 增强, 增加
"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
enrollment,"n. 登记, 注册, 入伍
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
entrepreneur,"n. 企业家, 主办人
"
entrepreneurship, 企业家能力/职能; 企业家[主办人等]的身份[地位、职权、能力]
essence,"n. 实质, 本质, 香精
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
essentially,"adv. 本质上, 本来"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
esteemed,a. 受人尊敬的
ethical,"a. 伦理的, 民族的, 民族特有的
"
ethics,"n. 道德规范
"
exaggerate,"v. 夸大, 夸张"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
exaggerating,v. （使）扩大( exaggerate的现在分词 ); （使）增加; 夸大; 夸张
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
exhausted,a. 耗尽的；疲惫的
exhaustion,"n. 抽空, 耗尽, 疲惫, 筋疲力尽
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansion,"n. 扩充, 开展, 膨胀
"
explain,"v. 解释, 说明"
explanation,"n. 解释, 说明, 辩解, 表明
"
explainable,"a. 可说明的, 可辩解的, 可解释的"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
exploitation,"n. 开发, 开采, 剥削
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
internal,"a. 内在的, 国内的
"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
factual,"a. 事实的, 实际的
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
unaffected,"a. 不矫揉造作的, 自然的, 未受影响的, 未被感动的
"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
ineffective,"a. 无效的
"
effectiveness,"n. 效力
"
effectively,"adv. 有效地, 有力地, 实际上"
efficient,"a. 有效率的, 能干的"
inefficient,"a. 无效率的, 无能的
"
efficiency,"n. 效率, 效能, 功效
"
inefficiency,"n. 无效率, 无能
"
infect,"vt. 传染, 感染
"
infection,"n. 传染, 影响, 传染病
"
disinfect,"vt. 消毒
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunity,"n. 免疫, 免疫性, 免除
"
immunization,"n. 免疫
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
perfection,"n. 完美, 完成, 极端
"
imperfect,"a. 不完美的, 不完整的, 减弱的, 未完成过去时的
n. 未完成体"
perfectly,"adv. 完全地, 无瑕疵地, 完整地"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
sufficient,"a. 充分的, 足够的
"
suffice,"vi. 足够, 有能力
vt. 满足"
sufficiency,"n. 充足, 充分的数量, 自负"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
sufficiently,"adv. 足够, 充分"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
proficiency,"n. 精通, 熟练, 精练"
artificial,"a. 人造的, 假的, 非原地产的
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
deficiency,"n. 缺乏, 不足
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
feasible,"a. 能实行的, 可行的, 适宜的
"
unfeasible,"a. 不能实行的, 难实施的, 不切实际的"
fabricate,"vt. 制造, 建造, 装配, 伪造"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
fantasy,"n. 幻想, 想象的产物
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
differ,"vi. 不一致, 不同
"
different,"a. 不同的
"
difference,"n. 不同, 差异
"
differentiate,"v. 区别, 区分"
differentiation,"n. 区别, 分化, 变异
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
confer,"vt. 授予, 带来
vi. 协商"
conference,"n. 会议
"
infer,"vt. 推论出, 推断
vi. 作推论"
inference,"n. 推论
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
inferiority,"n. 自卑, 次等
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superiority,"n. 优越, 高傲
"
prefer,"vt. 宁可, 较喜欢, 提出
"
preference,"n. 偏爱, 优先, 喜爱物
"
preferable,"a. 更可取的, 更好的, 更合意的"
preferably,"adv. 更可取地, 更好地, 更合意地"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
suffering,"n. 苦难, 受苦"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
interference,"n. 冲突, 干涉
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transferable,"a. 可转移的
"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
deference,"n. 顺从, 尊重"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
profession,"n. 职业, 表白, 声明
"
professional,"n. 专业人才
a. 专业的, 职业的"
confess,"v. 承认, 坦白, 忏悔, 供认"
faith,"n. 信心, 信任, 忠实, 保证
"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
faithfulness,"n. 忠诚, 诚实, 正确"
confident,"a. 有信心的, 有把握的"
confidence,"n. 信心
"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
define,"vt. 定义, 规定, 使明确
"
definition,"n. 定义, 精确度, 清晰度
"
redefine,"vt. 重新定义
"
definite,"a. 明确的, 一定的
"
definitely,"adv. 明确无疑地, 清楚地"
indefinite,"a. 模糊的, 不确定的, 无限的
"
indefinitely,adv. 无期限地
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
financial,"a. 财政的, 金融的
"
financially,adv. 金融上；财政上
eliminate,"vt. 除去, 排除, 剔除, 消除"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
infirm,"a. 弱的, 虚弱的, 柔弱的
"
firmly,"adv. 坚固, 坚定, 断然"
affirm,"v. 断言, 确认"
affirmation,"n. 肯定, 断言, 证实
"
reaffirm,"vt. 重申, 再确认"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
confirmation,"n. 证实, 证明, 批准, 确认
"
flatter,"vt. 奉承, 阿谀, 使高兴
"
flattering,"a. 谄媚的, 讨人欢喜的"
unflattering,"a. 不奉承的, 不恭维的, 指出缺点的, 耿直的, 坦率的, 准确无误的"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
inflation,"n. 胀大, 夸张, 通货膨胀
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
flexibility,"n. 弹性, 适应性
"
inflexible,"a. 不屈曲的, 不屈挠的, 顽固的"
flexibly,"adv. 易曲地, 柔软地"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
conflicting,"a. 冲突的, 不一致的, 相矛盾的"
flu,"n. 流感, 流行性感冒"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
biofuel,[机] 生物燃料
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
flawed,a. 有缺陷的；有裂纹的；有瑕疵的
fluent,"a. 流利的, 流畅的"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influential,"a. 有影响的, 有势力的"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
fluctuation,"n. 变动, 波动, 动摇
"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
refusal,"n. 拒绝, 推却, 优先决定权
"
refutation,"n. 反驳, 辩驳, 反驳的证据
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
confusing,a. 令人困惑的；混淆的；混乱的
confused,"a. 困惑的, 混乱的"
confusedly,"adv. 受困惑地, 慌乱地, 混乱地"
confusion,"n. 混乱, 混淆, 无秩序
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
diffusion,"n. 散播, 传播, 蔓延
"
foresee,"vt. 预见, 预知"
foreseeable,"a. 可预知的, 能预测的
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
forecaster,n. 预报员
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
formation,"n. 形成, 构造, 编队
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
formally,"adv. 正式地, 形式上"
informal,"a. 非正式的, 不拘礼的, 通俗的
"
informality,n. 非正式
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
formula,"n. 客套语, 公式, 准则
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
formulation,"n. 系统陈述, 公式化, 配制
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
performer,"n. 表演者, 执行者, 完成者
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
informed,a. 见多识广的
uninformed,"a. 没有得到通知的, 未被告知的, 无知的, 不学无术的, 未受教育的, 蒙昧的
"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
misinformation,"n. 错误的消息, 误传
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
reformation,"n. 改革, 改正, 重新形成, 重新组成"
reformer,"n. 改革家, 改革运动者
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
transformer,"n. 变压器, 促使变化的人
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
conformity,"n. 遵照, 适合, 一致, 相似
"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
fortunate,"a. 幸运的, 幸福的"
fortunately,"adv. 幸运地, 幸亏"
unfortunately,"adv. 恐怕, 不幸的是"
misfortune,"n. 不幸, 灾祸, 坏运气
"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
forceful,"a. 有力的, 强烈的, 有说服力的"
forced,"a. 被迫的, 强迫的, 用力的
"
unforced,"a. 非强迫的, 自然的, 不勉强的
"
effort,"n. 努力, 成就"
effortless,"a. 容易的, 不费力气的"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
discomfort,"n. 困苦, 不适
"
enforce,"vt. 强迫, 执行, 坚持
"
enforcement,"n. 执行, 强制
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
foundation,"n. 基础, 根据, 建立
"
basis,"n. 基础, 主要成分
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
basically,"adv. 基本上, 主要地"
basics,"n. 最简单但最重要的部分, 基本, 基础训练"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
profoundly,"adv. 深深地, 深切地"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
fairness,"n. 晴朗, 光明正大, 美丽
"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
unfair,"a. 不公平的, 不正直的, 不正当的
"
unfairness,"[法] 不公平, 不公正, 不正当"
affair,"n. 事件, 事务, 恋爱事件"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
favorable,"a. 有利的, 赞许的, 良好的"
unfavorable,"a. 不宜的, 不顺利的, 反对的
"
favoritism,"n. 偏爱, 偏袒"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
unfamiliar,a. 不熟悉的
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
federal,"a. 联邦的, 联合的, 同盟的
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
digitalized,"a. 数字化的
v. 使数字化(digitalize的过去分词); 以洋地黄治疗"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
flavor,"n. 滋味, 调味品
vt. 加味于"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
forgive,"vt. 原谅, 宽恕, 免除
"
forgiveness,"n. 宽恕, 宽仁之心"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
framer,"n. 组成者, 构成者, 筹划者
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
frequency,"n. 频率, 频数
"
frequently,"adv. 频繁, 经常地"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
frustration,"n. 挫折, 顿挫
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
fundamentally,"adv. 基础, 首要, 主要, 十分重要, 基本, 根本, 原始, 基频, 基音, 基谐波"
gene,"n. 基因
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
genetically,"adv. 创始, 遗传学, 生殖, 基因, 遗传, 发生"
genetics,"n. 遗传学
"
generate,"vt. 产生, 发生, 导致
"
generation,"n. 一代, 一世, 产生
"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
genius,"n. 天才, 天赋, 精神, 神魔
"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
gifted,a. 有天才的
talent,"n. 天才, 才能, 有才干的人, 天资"
talented,"a. 天资高的, 有才能的"
genuine,"a. 真正的, 真实的, 诚恳的
"
genuinely,adv. 真诚地；诚实地
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
generally,"adv. 通常, 逐渐地, 普遍地"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generalization,"n. 一般化, 普遍化, 概括
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
gender,"n. 性
vt. 产生"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
benign,"a. 善良的, 良性的
"
oxygen,"n. 氧
"
autograph,"n. 亲笔, 亲笔签名, 手稿
vt. 亲笔签名于, 亲笔写"
biography,n. 传记
biographical,a. 传记的
autobiography,n. 自传
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
paralleled, 平行的
unparalleled,"a. 无比的, 无双的, 空前的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
paradoxically,"adv. 反论, 荒谬, 自相矛盾, 似非而可能是"
paralyze,"vt. 使瘫痪, 使麻痹
"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
geography,"n. 地理学, 地理
"
geographic,"a. 地理(学)的, 地区(性)的"
geographical,"a. 地理学的, 地理的"
geology,"n. 地质学, 地质情况"
geologist,"n. 地质学家, 地质学者"
geological,"a. 地质学的, 地质的"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
gradually,adv. 逐渐地
degrade,"v. (使)降级, (使)退化"
degrading,"a. 丧失体面的, 降低身份的, 有辱人格的
"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
ingredient,"n. 成分, 因素
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
progression,"n. 前进, 连续, 级数
"
aggress,"v. 挑畔, 侵犯, 侵略"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
aggressiveness,"n. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆"
aggressively,"adv. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆"
congress,"n. 国会, 会议, 讨论会
"
congressional,"a. 会议的, 议会的, 国会的
"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
regrettable,"a. 可悲的, 可惜的, 抱歉的"
