ambiguity,"n. 不明确, 含糊
"
gadget,"n. 小配件, 小玩意, 诡计"
a computer maniac,无
infantry,"n. 步兵, 步兵团"
wade,"vi. 跋涉
vt. 涉水
n. 跋涉, 浅滩"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
weld,"n. 焊接处, 焊接
vt. 焊接, 使密接, 使结合, 使成整体
vi. 焊牢"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
stud,"n. 装饰钮扣, 大头钉, 领扣, 种马
vt. 镶嵌, 点缀, 散布"
wince,"n. 畏缩, 退避
vi. 畏缩, 退缩, 退避"
abdomen,"n. 腹部
"
feel a pain in ...,无
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
infamous,"a. 无耻的, 不名誉的, 声名狼藉的"
fugitive,"a. 逃亡的, 短暂的, 难捉摸的
n. 逃亡者, 亡命者, 难捕捉之物"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
sloppy,"a. 泥泞的, 潮湿的, 粗心的"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
fatty,"a. 肥胖的, 脂肪的, 含脂肪的
"
herbal,"a. 草药的
"
herbal medicine,草药
amass,"vt. 积聚, 堆积"
colossal,"a. 巨大的, 巨像似的"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
"
inmate,"n. 同住者, 被收容者
"
baptize,"vt. 施洗礼, 使经受考验, 命名"
versatile,"a. 多才多艺的, 万用的, 万向的"
brag,"n. 吹牛
v. 吹牛"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
christen,"vt. 为...施洗礼, 命名"
deceased,"a. 已故的
n. 死者"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
toddler,"n. 蹒跚行走的人, 学步的小孩, 学步的幼儿, (非正式)信步走的人"
consign,"vt. 交付, 储蓄, 委托, 寄存
"
guiltless,"a. 无罪的, 无辜的, 没有...经验的, 不熟悉...的, 没有...的
"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
resumption,"n. 取回, 恢复, 再开始
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
premiere,"v. 初次公演, 首次露面
n. 初次的演出
a. 首次的, 首位的"
crucify,vt. 十字架上钉死
detention,"n. 阻止, 监禁, 拘留
"
demolish,"vt. 毁坏, 破坏, 粉碎"
debris,"n. 碎片, 残骸
"
mediation,"n. 调停, 调解, 中介
"
deploy,"v. 展开, 配置"
brigade,"n. 旅, 队
"
dismantle,"vt. 拆除...的设备, 分解, 去除覆盖物"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
soot,"n. 煤烟, 炭黑色
vt. 熏以煤烟"
dispel,"vt. 驱散, 驱逐"
longstanding,"a. 长期间的, 长期存在的"
misconception,n. 误解
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
migrant,"n. 候鸟, 移居者
"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
economize,"v. 节约, 节省, 有效地利用"
visibility,"n. 可见性, 能见度, 能见距离
"
eject,"vt. 逐放, 放逐, 喷射
"
due to ...,"由于, 应归于"
leverage,"n. 杠杆作用, 杠杆装置, 杠杆效率
"
elude,"vt. 逃避, 规避, 把...难倒"
indictment,"n. 起诉, 控告, 起诉状
"
adoration,"n. 崇拜, 爱慕"
clarinet,"n. 竖笛, 单簧管, 黑管"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
legislator,"n. 立法者, 立法官, 立法委员
"
enact,"vt. 制定法律, 扮演, 颁布
"
compliance,"n. 遵从, 顺从, 屈从
"
tactful,"a. 机智的, 老练的"
feign,"vt. 假装, 装作
vi. 作假"
allegiance,"n. 忠贞, 效忠"
guild,"n. 团体, 协会, 行业协会
"
royalist,"n. 保皇党员, 顽固分子
a. 保皇党的"
flirt,"n. 卖弄风骚的人, 急动, 急扔
vt. 忽然弹出, 轻快摆动, 挥动
vi. 调情, 玩弄, 摆动, 轻率地对待"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
affidavit,"n. 宣誓书, 书面陈述
"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
fortress,"n. 城堡, 要塞
vt. 筑要塞, 以要塞防守"
ammunition,"n. 军火, 弹药
"
greyhound,n. 快速船
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
mishap,"n. 不幸之事, 灾祸, 恶运"
wreckage,"n. 残骸, 失事, 破坏
"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
hoard,"n. 贮藏物, 密藏的金钱
v. 囤积, 贮藏"
impending,"a. 即将发生的, 迫切的, 悬空的
"
in anticipation of ...,"一想到,预料到,期待着…;抢在…之前"
camper,n. 露营者
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
pleasurable,"a. 快乐的, 愉快的, 舒适的, 心情舒畅的"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
improvise,"vt. 即席创作, 临时做"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
be adept at ...,擅长
indict,"vt. 起诉, 控告, 指控
"
atrocity,"n. 残暴, 凶恶, 暴行
"
padding,"n. 垫充, 垫塞, 填料, 废话, 虚报的费用
"
insulate,"vt. 使绝缘, 隔离
"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
amnesty,"n. 大赦, 赦免"
dissident,"a. 意见不同的, 持不同政见的
n. 意见不同的人, 持不同政见者"
statutory,"a. 法令的, 法定的, 可依法惩处的
"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
muster,"n. 召集, 集合, 检阅, 清单, 花名册, 样品
vt. 召集, 集合, 应召
vi. 集合, 集中"
courtroom,"n. 法庭, 审判室
"
uprising,"n. 起义, 升起
"
oust,"vt. 逐出, 罢黜, 剥夺, 驱逐
"
overcrowd,"vt. 容纳过多的人, 使过度拥挤"
overpopulation,"n. 人口过剩
"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
jumbo,"n. 庞然大物
a. 巨大的"
recurrent,"a. 再发生的, 定期重复的, 循环的
"
because of ...,因为
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
overload,"vt. 超载, 过载, 超过负荷
n. 超载, 负荷过多"
insurer,"n. 保险公司
"
overpay,"vt. 多付, 多给报酬
vi. 付得过多"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
censure,"n. 责难
vt. 非难, 指责"
liquidity,"n. 流动性, 流畅
"
pep,"n. 活力, 气力, 劲头, 锐气
vt. 鼓起精神, 激励, 使充满活力"
crafty,"a. 狡诈的, 诡计多端的, 巧妙的"
pervert,"vt. 使堕落, 使反常, 歪曲, 滥用, 使左右颠倒, 唆使...性变态
n. 堕落者, 行为反常者, 背教者, 性欲反常者"
pitiless,"a. 无情的, 冷酷的, 无怜悯心的"
plunder,"n. 抢夺, 掠夺品, 战利品
v. 掠夺, 抢劫, 抢夺"
loot,"n. 赃物, 洗劫, 抢夺
v. 洗劫, 抢夺"
covenant,"n. 契约, 盟约
v. 立契约, 缔结盟约"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
homestead,"n. 家园, 田产
"
livestock,"n. 家畜
"
fundraising,"n. 筹款, 募款
a. 筹款的"
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
erection,"n. 直立, 竖起, 建筑物
"
monastery,"n. 修道院, 僧侣"
prod,"n. 刺针, 刺棒, 激励话, 提醒物
vt. 戳, 刺, 刺激
vi. 戳, 刺"
anthropologist,n. 人类学家
bibliography,"n. 参考书目
"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
motherly,a. 母亲的
recharge,"vt. 再充电, 再装填, 再控告, 再袭击
vi. 再袭击
n. 再袭击, 再装填"
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
expulsion,"n. 逐出, 开除, 驱逐, 排气
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
focal,"a. 焦点的, 在焦点上的
"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
reelect,"vt. 重选, 改选"
the focal point of ...,无
brewery,"n. 啤酒厂, 酿酒厂
"
refurbish,"vt. 再磨光, 刷新"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
surveillance,"n. 监视, 监督
"
tract,"n. 大片土地, 地带, 小册子
"
resell,"vt. 再卖, 转售
"
reset,"n. 重新设定, 重新组合, 重排版
vt. 重新设定, 重置, 重新组合
vi. 重置, 清零
"
blackout,"n. 灯火管制, 暂时的意识丧失, 灯火熄灭, 删除
"
abortive,"a. 流产的, 堕胎的, 失败的
"
restart,"v. 重新开始, 重新启动
"
customer service, 客户服务
therapeutic,"a. 治疗的, 有益于健康的
"
retard,"n. 阻止, 延迟
vt. 妨碍, 延迟, 使减速
vi. 减速, 延迟"
asthma,"n. 哮喘
"
punk,"n. 废物, 小阿飞
a. 无用的, 腐朽的"
reunite,v. (使)再联合
gig,"n. 旋转物, 轻便双轮马车, 赛艇, 鱼叉, 记过, 爵士乐演奏会
vi. 乘轻便双轮马车, 乘快艇, (用鱼叉)叉鱼
vt. (用鱼叉)叉, 刺激, 记过"
militia,"n. 义勇军, 民兵组织, 国民军"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
arsenal,"n. 兵工厂, 军械库
"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
scorch,"n. 烧焦, 枯萎
v. 烧焦, 拷焦, (使)枯萎, 讽刺"
hectare,"n. 公顷
"
sear,"a. 枯萎的, 凋谢的
vt. 烤焦, 使枯萎
vi. 凋谢, 干枯"
veal,"n. 小牛肉
vt. 宰小牛"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
simulate,"vt. 模拟, 假装, 模仿
"
configuration,"n. 结构, 表面配置, 外形, 配置
"
ion,"n. 离子
"
stipulate,"v. 规定, 保证"
mandatory,"a. 命令的, 托管的
"
polytechnic,"a. 各种工艺的, 工艺教育的
n. 工艺专科学校, 理工专科学校"
subsidize,"vt. 补助, 资助, 贿赂
"
surmount,"vt. 战胜, 超越, 克服"
recourse,"n. 求援, 求助, 追索权
"
violent means,无
pageant,"n. 盛会, 游行, 虚饰, 露天表演"
televise,"v. 用电视播放, 播映"
attempted,a. 企图的；未遂的
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
transact,"vt. 办理, 处理
vi. 作交易, 谈判"
impediment,"n. 妨碍, 障碍, 阻止, 口吃
"
surveyor,n. 测量员；检验员
inadvertently,"adv. 漫不经心地, 疏忽地; 非故意地"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
artillery,"n. 火炮, 炮兵, 炮术
"
underwrite,"vt. 签名于下, 给...保险
vi. 经营保险业"
consortium,"n. 协会, 合伙, (国际性)财团
"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
innermost,"a. 内心的, 秘密的, 最深处的"
incense,"n. 香, 香气, 奉承
vi. 焚香
vt. 用香焚, 使发怒"
veto,"n. 否决权
vt. 否决, 禁止"
referendum,n. （就重大政治或社会问题进行的）全民公决，全民投票
wager,"n. 赌注, 赌博, 赌物
vt. 下赌注, 向...保证
vi. 打赌"
poker,"n. 戳的人, 拨火棍, 纸牌戏
vt. 烙制"
woo,"vt. 追求, 向...求爱, 恳求
vi. 求爱, 央求"
electorate,"n. 选民, 有选举权者, 选区
"
buildup,"n. 发展, 集结, 增强"
symmetry,"n. 对称, 匀称
"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
astound,"vt. 使惊骇, 使大惊"
archaeologist,n. 考古学家
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
groundless,"a. 无根据的, 无理由的
"
contender,"n. 参赛者, 争论者, 斗争者, 竞争者"
egocentric,"a. 自我中心的, 利己主义的
n. 利己主义者"
construe,"vt. 解释, 分析, 对...逐字直译
vi. 作句法分析
n. 直译"
outright,"a. 率直的, 完全的, 总共的, 直率的
adv. 完全地, 率直地, 立刻地, 一直向前"
defiance,"n. 蔑视, 挑战
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
preoccupied,"a. 被先占的, 入神的, 一心一意的"
covet,"v. 妄想, 垂涎"
deduce,"vt. 推论, 演绎出
"
bacterial,"a. 细菌的
"
mutation,"n. 变化, 突变, 元音变化
"
attributable,a. 可归于...的
digestive,"a. 消化的, 助消化的
n. 助消化药"
enzyme,"n. 酶
"
delude,"vt. 迷惑, 蛊惑"
deficient,"a. 不足的, 不充分的, 有缺陷的"
performing,"a. 表演的, 履行的"
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
accountability,"n. 负有责任, 可说明性
"
diagnose,v. 诊断
benign,"a. 善良的, 良性的
"
gastric,"a. 胃的
"
ulcer,"n. 溃疡, 腐烂物
"
envisage,"vt. 面对, 正视, 想象"
autonomous,"a. 自治的
"
viable,"a. 能养活的, 能生长发育的
"
in the future,"未来, 将来, 往后"
envision,"vt. 想象, 预想"
duet,n. 二重奏
alto,"n. 女低音, 男声最高音, 女低音歌手"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
erratic,"n. 古怪的人, 漂泊无定的人
a. 不稳定的, 奇怪的"
ferret,"n. 白鼬, 雪貂, 侦探
vt. 用雪貂打猎, 搜出, 驱出
vi. 搜索"
trauma,"n. 外伤, 损伤
"
debtor,"n. 债务人, 借主, 借方
"
fret,"n. 烦躁, 磨损, 焦急, 网状饰物
vi. 烦恼, 不满, 磨损
vt. 使烦恼, 腐蚀, 使磨损, 使起波纹"
installment,"n. 就职, 装设, 分期付款
"
anchorage,"n. 下锚, 锚地, 停泊税
"
wharf,"n. 码头
vt. 卸在码头上, 靠码头
vi. 靠码头, 入坞"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
overhear,"vt. 无意中听到, 偷听"
franchise,"n. 公民权, 特权, 特许经营权, 免赔额
vt. 给以特权, 给以...公民权"
safari,"n. 旅行, 旅行队, 科学考察"
preoccupy,"vt. 抢先占领, 使全神贯注"
ratify,"vt. 批准, 认可
"
proliferation,"n. 增殖, 激增
"
armament,"n. 军备, 军队, 武器
"
refute,"vt. 反驳, 驳斥；驳倒"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
presumption,"n. 专横, 放肆, 假定, 推测
"
rethink,"v. 再想, 重想"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
revere,"vt. 崇敬, 敬畏, 尊敬"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
tenure,"n. 享有, 保有期
"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
aroma,"n. 浓香, 香气
"
sesame,"n. 芝麻
"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
treachery,"n. 背叛, 变节
"
bladder,"n. 膀胱, 囊
"
throb,"n. 跳动, 搏动
vi. 博动, 抽动, 颤动"
tingle,"vi. 激动, 感到刺痛, 抖动
vt. 使感刺痛
n. 刺痛, 震颤, 耳鸣"
frosty,"a. 霜冻的, 严寒的, 冷淡的"
consul,"n. 领事, 执政官
"
defiant,"a. 挑衅的, 目中无人的"
vex,"vt. 使烦恼, 使苦恼
vi. 烦恼"
fungus,"n. 真菌, 真菌类植物
"
hog,"n. 猪, 贪婪者, 象猪般的人
v. (使)拱起"
mermaid,"n. 美人鱼, 善泳的女子"
nymph,"n. 居于山林水泽的仙女, 蛹, 美丽的少女
"
phoenix,"n. 凤凰, 不死鸟, 死而复生的人, 完人, 殊品"
predator,"n. 食肉动物, 掠夺者
"
raven,"n. 渡鸦, 掠夺
a. 乌黑的
v. 掠夺, 狼吞虎咽"
ambush,"n. 埋伏, 伏兵, 伏击
vt. 埋伏, 伏击
vi. 埋伏"
archer,"n. 弓箭手, 射箭运动员"
batsman,n. 击球手
bout,"n. 一回, 回合, 较量
"
dexterity,"n. 灵巧, 机敏"
exodus,"n. 大批的离去
"
firing,"n. 烧毁, 焚烧, 加热, 添煤
"
fray,"n. 磨损, 打架, 争论
vt. 使磨损
vi. 被磨损"
impetus,"n. 动力, 推动力, 动量
"
inertia,"n. 惯性, 惰性, 迟钝
"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
mountaineer,"n. 登山家, 山地人
vi. 登山"
racecourse,"n. 赛马场, 水道, 跑道"
tee,"n. T字形, T字形之物, 发球区, 球座, 目标
vt. 搁在球座上
a. T字形的"
yoga,n. 瑜珈
antibiotic,"n. 抗生素
a. 抗生的"
booster,"n. 向前推的人, 支持者, 后援者, 升压器
"
burnout,"n. 烧尽, 烧坏, 熄火
"
cavity,"n. 洞, 空穴, 腔
"
childbearing,"n. 分娩
"
complexion,"n. 肤色, 情况, 局面
"
diarrhea,"n. 腹泻
"
diarrhoea,n. 腹泻
extraction,"n. 抽出, 取出, 拔出术, 抽出物
"
gland,"n. 腺, 密封套
"
hype,n. 大肆宣传；皮下注射
indigestion,"n. 消化不良
"
maternity,"n. 母性, 怀孕, 妇产科医院
a. 产妇的"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
penis,"n. 阳物, 阴茎
"
piss,"vi. 小便, 下大雨, 抱怨
vt. 撒尿弄脏, 尿在...上
n. 小便"
spasm,"n. 痉挛, 抽搐, 发作
"
sperm,"n. 精液, 精虫, 鲸油, 抹香鲸
"
affinity,"n. 吸引, 姻亲关系, 类同
"
antagonism,"n. 对立, 敌对, 敌意
"
aversion,"n. 厌恶, 讨厌的事, 讨厌的人
"
brutality,"n. 残忍, 无慈悲, 野蛮的行为"
composure,"n. 镇静, 沉着"
dishonesty,"n. 不诚实
"
disquiet,"vt. 打搅, 使烦恼, 使忧虑, 使不安
n. 不安, 焦虑, 不平静"
fervor,"n. 热情, 热心, 炽热"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
foresight,"n. 远见, 深谋远虑
"
frenzy,"n. 疯狂, 狂暴, 狂怒
"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
grievance,"n. 委屈, 冤情, 苦况
"
heartache,"n. 心痛, 悲叹"
heartbreak,"n. 心碎, 伤心事"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
inducement,"n. 诱因, 动机, 吸引力, 刺激物
"
ingratitude,n. 忘恩负义
inhibition,"n. 禁止, 抑制, 压抑
"
leaning,"n. 倾斜, 倾向, 爱好"
mania,"n. 狂躁, 热衷, 狂热
"
outburst,"n. 爆发, 突发, 破裂, 暴乱"
perplexity,"n. 困惑, 混乱状态, 使人困惑的事物"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
reassurance,"n. 安心, 放心, 再保证"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
screaming,"a. 发出尖叫声的, 极滑稽的, 惊人的"
solemnity,"n. 严肃, 一本正经
"
timidity,"n. 胆小, 胆怯, 羞怯"
trance,"n. 昏睡状态, 恍惚, 着迷
vt. 使恍惚, 使发呆"
tranquility,n. 宁静
whim,"n. 一时的兴致, 冲动, 怪念头, 绞盘"
accompanist,n. 伴奏者
caricature,"n. 讽刺画, 漫画, 漫画手法
vt. 画成漫画讽刺"
handiwork,"n. 手工, 手工艺, 手工"
modernism,"n. 现代作风, 现代主义, 现代思想"
modernist,"n. 现代主义者, 现代人, 现代主义作家"
octave,"n. 八音度, 低八度音, 高八度音
"
pastel,"n. 粉蜡笔, 粉蜡笔画, 随笔
a. 彩色蜡笔的, 蜡笔画的, 柔和的, 纤弱的"
subculture,"n. 再次培养, 亚文化群
"
aesthetics,n. 美学
antonym,n. 反义词
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
baptism,"n. 浸礼, 洗礼"
cliché,无
commencement,"n. 开始, 毕业典礼
"
contemplation,"n. 注视, 沉思, 盘算
"
generality,"n. 概论, 概说, 大要
"
glossary,"n. 专业词典, 术语集, 词表
"
martyr,"n. 烈士, 受苦者, 受难者
vt. 使成为烈士, 使受苦"
mosque,n. 清真寺
nuance,n. 细微差别
orthodoxy,"n. 正统说法, 正教, 信奉正教"
parenthesis,"n. 圆括号, 插入语, 附带, 插曲"
particularity,"n. 特殊性, 特质, 个性, 细致, 苛求"
recitation,"n. 详述, 吟诵, 背诵的诗
"
reviewer,"n. 评论者, 书评作者, 评论家, 剧评家, 报刊评论家"
shorthand,"n. 速记
"
skeptic,"n. 怀疑者, 怀疑论者, 不可知论者"
synthesis,"n. 综合, 组织, 综合体
"
continuance,"n. 继续, 停留, 持续
"
countdown,"n. 倒计数
"
noonday,"n. 正午
a. 正午的"
onset,"n. 开始, 攻击, 进攻
"
outset,"n. 着手, 开头, 最初"
peacetime,"n. 平时时期, 和平"
semester,n. 学期
showdown,"n. 摊牌, 暴露, 紧要关头"
ammonia,"n. 氨水, 阿摩尼亚
"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
coral,"n. 珊瑚, 珊瑚色
"
embryo,"n. 胚胎, 胎儿, 胚芽
"
gravitation,"n. 引力, 重力, 沉下
"
iceberg,"n. 冰山, 冷冰冰的人"
lilac,"n. 丁香, 丁香花, 淡紫色
a. 淡紫色的"
manure,"n. 肥料, 粪肥
vt. 施肥于"
naturalist,n. 自然主义者
upheaval,"n. 举起, 隆起, 大变动, 剧变"
vintage,"n. 酒, 葡萄收获(期、量), 酿酒
v. 采葡萄
a. 佳酿的, 古典的, 老式的"
backup,"n. 倒车, 后退, 后援, 支持, 阻塞
vt. 做备份
a. 候补的, 支持的
"
beige,"a. 淡棕色的
n. 薄斜纹呢, 米色"
bingo,"n. 宾戈(一种赌博游戏), 烈酒"
coexistence,"n. 共存, 和平共处, 并立"
cohesion,"n. 结合, 黏聚, 内聚
"
compression,"n. 压缩, 压紧
"
concord,"n. 一致, 和睦, 协定"
confidentiality,
connector,"n. 连结者, 联系者, 连结物
"
conveyance,"n. 运输, 运输工具, 财产转让
"
eminence,"n. 显赫, 名家, 高处
"
facing,"n. 贴边, 饰面
"
fraternity,"n. 友爱, 互助会, 大学生联谊会"
furnishing,"n. 家具, 服饰品, 陈设品, 设备"
lather,"n. 肥皂泡
vt. 涂以肥皂泡"
liaison,n. 联络
magnificence,"n. 富丽堂皇, 华丽, 宏大"
millstone,"n. 磨石, 磨难, 重担"
parody,"n. 打油诗文, 诙谐的模仿诗文, 拙劣的模仿
vt. 拙劣模仿, 作模仿诗文"
pawn,"n. 典当, 抵押物, 人质, (象棋)兵, 马前卒, 工具
vt. 当掉, 以...担保"
payoff,"n. 发工资, 分赃, 贿赂, 盈利, 报酬, 报应, 结果, 高潮, 决定因素
a. 决定性的, 产生结果的, 支付的"
petticoat,"n. 衬裙, 裙子"
propriety,"n. 礼貌, 规矩, 适当
"
regulator,"n. 调整者, 校准者, 校准器, 调整器, 标准钟
"
sedan,"n. 轿车, 轿子"
selector,"n. 选择者, 选择器
"
semblance,"n. 外表, 伪装, 假象, 少量"
shipwreck,"n. 遇难船, 海难
vt. 遇海难, 毁灭, 使失事"
stopover,n. 中途停留
stoppage,"n. 停止, 中止, 阻塞, 阻碍, 堵塞, 故障, 停付, 扣除, 扣留, 停工, 罢工
"
subdivision,"n. 细分, 分部
"
tab,"n. 制表(键), 搭襻, 标号, 调整片, (易拉罐)拉环, 帐单, 标签, 制表符
"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
tint,"n. 色彩, 浅色
vt. 染色于"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
affiliation,"n. 联系, 从属关系
"
affluence,"n. 富裕, 丰富, 流注
"
appropriation,"n. 拨用, 挪用, 拨款
"
birthright,"n. 生来就有的权利, 长子继承权"
borrowing,"[经] 借款, 贷款"
bourgeois,"n. 中产阶级分子, 商人, 资产阶级
a. 中产阶级的, 平庸的
n. 九点活字"
centralization,"n. 集中, 中央集权化
"
conjunction,"n. 连接词, 联合, 结合
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
deterrent,"a. 制止的, 威慑的, 遏制的
n. 威慑力量(或因素), 制止物"
dominion,"n. 领土, 主权, 统治
"
embargo,"n. 封港令, 禁运
vt. 禁止出入港口, 禁运"
envoy,"n. 外交使节, 特使
"
influx,"n. 流入, 河口, 汇集
"
interrogation,"n. 审问, 疑问句, 问号
"
misconduct,"vt. 办错, 使行为不端
n. 办错, 渎职, 通奸"
moratorium,"n. 延期偿付, 暂停
"
outcry,"n. 尖叫, 倒彩, 强烈抗议, 喊价
vi. 喊叫
vt. 叫得比...响"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
proponent,"n. 建议者, 支持者
"
proxy,"n. 代理, 代理人, 委托书
"
rebirth,"n. 再生, 复活, 新生"
remittance,"n. 汇款
"
retrieval,"n. 取回, 恢复, 检索
"
socialization,"n. 社会化, 社会主义化"
solidarity,"n. 团结, 团结一致, 共同一致
"
speculator,"n. 投机者, 投机商人, 思索者
"
unionist,"n. 工会会员, 工联主义者
"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
ale,"n. 麦芽酒
"
carbohydrate,"n. 碳水化合物, 糖类
"
dripping,"n. 滴, 滴下物, 水滴"
fixing,"n. 固定, 稳固, 设备, 调料
"
gin,"n. 杜松子酒, 轧棉机, 陷阱
vt. 轧棉, 用陷阱捕"
malt,"n. 麦芽
a. 麦芽的, 含麦芽的, 用麦芽作的
vt. 使成麦芽, 用麦芽处理
vi. 发麦芽"
oatmeal,"n. 燕麦片, 燕麦粥
"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
allotment,"n. 分配, 拨款, 命运
"
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
discrepancy,"n. 不符合, 差异, 不相符之处
"
exaltation,"n. 提升, 提高, 得意洋洋
"
expectancy,"n. 期待, 期望的事物, 嘱望, 希望, 期望, 预期
"
fineness,
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
