evict,"vt. 逐出, 赶出, 驱逐
"
desiccate,"vt. 使干, 干贮
vi. 变干"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
pretend,"v. 假装, 伪称, 自命, 自称"
economical,"a. 节俭的, 经济的, 合算的
"
exaggerate,"v. 夸大, 夸张"
pastoral,"n. 牧歌, 田园诗
a. 牧人的, 田园生活的, 牧师的, 田园式的"
devoid,"a. 全无的, 缺乏的"
outbreak,"n. 爆发, 暴动
"
pretext,"n. 借口, 托词
v. 以...为借口"
onset,"n. 开始, 攻击, 进攻
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
competitive,"a. 竞争的
"
amenable,"a. 服从的, 会接纳的, 有义务的
"
rational,"a. 理性的, 合理的
n. 有理数"
prohibitive,"a. 禁止的, 禁止性的
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
emergence,"n. 出现, 浮现, 发生"
demolish,"vt. 毁坏, 破坏, 粉碎"
illegal,"a. 违法的, 不合规定的
"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
choral,a. 合唱队的
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
optic,"a. 眼睛的, 视觉的, 光学的
n. 镜片"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
stingy,"a. 小气的, 吝啬的, 缺乏的, 有刺的"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
ruffle,"n. 皱褶, 波纹, 生气, 混乱
vt. 弄皱, 触怒, 洗(牌), 连续轻擂(鼓)
vi. 起皱, 发脾气, 连续轻擂"
wrack,"n. 漂积海草, 失事船只, 破坏
vt. 严重伤害"
prod,"n. 刺针, 刺棒, 激励话, 提醒物
vt. 戳, 刺, 刺激
vi. 戳, 刺"
inflated,"a. 膨胀的, 充了气的, 夸张的, 通货膨胀的"
contrive,"v. 发明, 设计, 图谋"
staunch,"vt. 止住, 止血
a. 坚固的, 坚强的, 忠实的, 忠诚的, 不透水的"
affectation,"n. 假装, 做作, 矫情
"
marked,"a. 有记号的, 显著的, 醒目的
"
rationalism,"n. 合理主义, 理性论, 纯理论"
cartographer,"n. 地图制作者, 制图师"
antipathy,"n. 厌恶, 反感
"
capacious,"a. 容积大的, 广阔的, 宽敞的"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
collaboration,"n. 合作, 勾结
"
austere,"a. 严峻的, 禁欲的, 简朴的"
vegetative,"a. 植物的, 蔬菜的, 生长的, 无性繁殖的, 植物似的, 生活呆板单调的, 生长性的
"
cramp,"n. 痉挛, 腹部绞痛, 铁夹钳
a. 狭窄的, 难认的
vt. 使抽筋, 以铁箍扣紧, 束缚"
curtail,"vt. 缩减, 剥夺, 简略
"
capitulate,"vi. (有条件)投降
"
aghast,"a. 惊骇的, 吓呆的"
chastise,"vt. 责骂, 惩罚
"
fortunate,"a. 幸运的, 幸福的"
dominant,"a. 占优势的, 支配的
"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
dissemble,"v. 掩饰, 假装不知道"
habitual,"a. 习惯的, 惯常的, 平常的
"
superb,"a. 极度的, 华丽的, 极好的"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
appall,"vt. 使丧胆, 使惊骇"
liberty,"n. 自由, 特权, 许可, 冒失
"
culmination,"n. 顶点, 高潮, 最高点"
tropical,"a. 热带的, 热情的
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
terrify,"vt. 使恐惧, 恐吓"
convoke,vt. 召集...开会
amateur,"n. 业余爱好者, 外行, 爱好者
"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
aspire,"vi. 渴望, 立志于"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
gigantic,"a. 巨人般的, 巨大的"
deceitful,a. 欺诈的
momentary,"a. 瞬间的, 刹那间的"
denominate,vt. 命名
consultant,"n. 顾问, 征询意见者
"
abut,"v. 邻接, 毗邻"
mingle,v. (使)混合
homage,"n. 尊崇, 尊敬, 效忠"
enchant,"vt. 施魔法, 使入迷"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
introvert,"n. 个性内向者
vt. 使内向, 使内弯, 内陷
vi. 内省, 内弯
a. 性格内向的"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
bereft,"a. 缺少的, 丧失的, 失去亲人的
bereave的过去式和过去分词"
wield,"vt. 挥舞, 运用"
humility,"n. 谦逊, 谦虚, 谦卑"
barrister,"n. 出庭律师, 律师
"
divert,"vt. 转移, 使欢娱
vi. 转移"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
lyric,"n. 抒情诗, 歌词
a. 抒情的"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
dissent,"n. 异议
vi. 持异议, 不同意"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
demonstrate,"vt. 示范, 证明
vi. 示威"
sensibility,"n. 感性, 感觉, 情感
"
affluence,"n. 富裕, 丰富, 流注
"
circumlocution,n. 迂回的说法
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
assent,"n. 赞成
vi. 同意"
collide,"vi. 碰撞, 互撞, 抵触"
inspiring,a. 鼓舞人心的
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
restrict,"vt. 限制, 限定, 约束
"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
disturb,"vt. 扰乱, 妨碍, 使不安
"
realism,"n. 写实主义, 现实, 实在论
"
nominate,"vt. 提名, 任命, 命名
"
alter,v. 改变
synthesize,"v. 综合, 合成"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
excerpt,"n. 摘录
v. 引用, 摘录"
ardor,"n. 热忱, 热情, 情欲, 激情, 灼热
"
adumbrate,"vt. 画...的轮廓, 预示"
castigate,"vt. 惩罚, 苛评, 修订"
enormous,"a. 巨大的, 庞大的"
denounce,"vt. 告发, 抨击, 谴责
"
consistency,"n. 坚硬性, 黏稠度, 一致性
"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
medieval,"a. 中古的, 中世纪的"
displace,"vt. 移置, 替换, 转移"
vegetation,"n. 植物
"
belated,"a. 迟来的
"
comely,"a. 清秀的, 标致的, 美丽的"
clergy,"n. 牧师, 僧侣, 神职人员"
bureaucracy,"n. 官僚, 官吏
"
insightful,"a. 有深刻见解的, 富有洞察力的"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
thrash,"vt. 打, 使逆行, 胜过, 推敲, 鞭打
vi. 打谷, 痛打, 剧烈扭动, 逆行
n. 打谷, (划水)鞭状动作"
bemused,"a. 困惑的, 发呆的"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
squat,"n. 蹲, 窝
a. 蹲着的, 矮胖的
vi. 蹲下, 蹲坐, 蹲伏
vt. 使蹲下, 擅自占有"
glean,"v. 拾落穗, 收集"
disputatious,"a. 爱争论的, 好议论的, 爱争辩的"
perishable,"a. 易腐坏的, 会枯萎的, 易毁灭的, 不经久的
n. 易腐坏的东西"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
comestibles,"n. 食物, 食品; 食物( comestible的名词复数 )"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
milestone,"n. 里程碑, 里程石, 里程标"
oblivion,"n. 遗忘, (头脑的)一片空白状, 湮没, 大赦, 赦免
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
celibate,"n. 独身者, 独身主义者
a. 独身的, 独身主义的"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
divergent,"a. 有分歧的
"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
conceivable,"a. 想得到的, 可想象的, 可理解的"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
clientele,"n. 诉讼委托人, 客户
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
revere,"vt. 崇敬, 敬畏, 尊敬"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
suspension,"n. 悬挂, 暂停, 中止
"
cogent,"a. 使人首肯的, 使人信服的, 中肯切题的
"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
conventional,"a. 传统的, 习惯的, 约定的
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
malicious,"a. 怀恶意的, 恶毒的"
waver,"n. 动摇, 踌躇, 挥动者
vi. 摇摆, 颤抖, 摆动, 摇曳, 犹豫"
progression,"n. 前进, 连续, 级数
"
symphonious,"a. 和声的, 和谐的, 调和的"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
satire,"n. 讽刺文学, 讽刺"
diffusion,"n. 散播, 传播, 蔓延
"
atone,"vi. 补偿, 弥补
"
determinate,"a. 确定的, 坚决的, 决定的
"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
approbation,"n. 认可, 满意
"
stimulation,"n. 刺激, 激励, 鼓舞
"
delusion,"n. 迷惑, 欺瞒, 错觉
"
akin,"a. 同类的, 同族的, 同源的"
innovative,"a. 革新的, 创新的, 富有革新精神的"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
pathos,"n. 伤感力, 感伤, 悲怅, 同情, 偶然因素, 哀婉动人的词句"
absent-minded,"adj. 茫然的
"
absolve,"vt. 宣告...无罪, 赦免, 免除
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
ecstatic,"n. 狂喜的人
a. 狂喜的"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
bane,"n. 祸根, 毒药, 灭亡的原因, 灭亡
"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
melancholy,"n. 忧郁, 悲哀, 愁思
a. 忧郁的, 使人悲伤的, 愁思的"
glorious,a. 光荣的
cohesion,"n. 结合, 黏聚, 内聚
"
restoration,"n. 恢复, 归还, 复位
"
preference,"n. 偏爱, 优先, 喜爱物
"
fawn,"n. 小鹿
vi. 摇尾乞怜, 奉承"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
dogmatic,"a. 教条的, 武断的"
likelihood,"n. 可能, 可能性"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
linear,"a. 线的, 直线的, 线状的
"
blight,"n. 枯萎病
vt. 使染上枯萎病, 破坏
vi. 枯萎"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
archaeology,n. 考古学
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
ascent,"n. 上升, 提高, 攀登, 上坡路"
vitality,"n. 活力, 生命力
"
absence,"n. 缺席, 缺乏, 没有
"
specimen,"n. 样品, 标本, 试料
"
therapeutic,"a. 治疗的, 有益于健康的
"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
confession,"n. 承认, 坦白, 招供
"
devour,"vt. 吞食, 挥霍, 吞没"
autocratic,"a. 独裁的, 专制的"
remembrance,"n. 回想, 记忆, 纪念品, 记忆力, 问候, 致意"
constructive,"a. 建设性的, 构造上的
"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
workmanship,"n. 手艺, 技巧
"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
brag,"n. 吹牛
v. 吹牛"
indolent,"a. 懒惰的, 无痛的
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
corroborate,"vt. 巩固, 确证
"
docile,"a. 容易教的, 温顺的"
occurrence,"n. 发生, 事件, 出现
"
bustle,"n. 喧闹, 裙撑
vi. 奔忙, 喧闹
vt. 使忙碌, 催促"
forgery,"n. 伪造, 伪造罪, 伪造物
"
coincide,"vi. 一致, 符合
"
fawning,"a. 摇尾乞怜, 讨好, 奉承, 生(小鹿), 幼鹿, 小动物, 小山羊, 淡黄褐色, 浅黄褐色的"
chaffing,"a. 诙谐的, 开玩笑的, 打趣的"
concerted,"a. 商定的, 协定的, 一致的
"
imbalance,"n. 不平衡, 不均衡
"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
multifaceted,a. 多层面的
definitive,"n. 限定词
a. 限定的, 决定性的"
derive,"vt. 得自
vi. 起源"
capricious,"a. 反复无常的, 多变的, 任性的"
ownership,"n. 所有权, 物主身份
"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
eternal,"a. 永恒的, 永远的, 不灭的"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
anarchy,"n. 无政府状态, 政治混乱
"
carnivorous,"a. 食肉的
"
approval,"n. 赞成, 批准
"
enforce,"vt. 强迫, 执行, 坚持
"
primer,"n. 入门书, 初级读本, 雷管, 导火线, 底漆
"
collusion,"n. 共谋, 勾结
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
ingenuous,"a. 坦白的, 正直的, 天真的"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
leaflet,"n. 小叶, 传单
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
foresight,"n. 远见, 深谋远虑
"
biased,"a. 有偏见的
"
asperity,"n. 粗暴, 严酷, 粗糙"
aspiration,"n. 热望, 志向, 渴望
"
askance,"adv. 怀疑地, 斜眼看"
intermit,"vi. 暂时停止, 中断
vt. 使间断"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
reliant,"a. 依赖的, 信赖的"
justification,"n. 辩护, 证明正当, 释罪
"
conundrum,"n. 谜语, 难题"
competitor,"n. 竞争者
"
landlord,"n. 房东, 地主
"
enrage,"vt. 激怒, 使暴怒"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
identical,"a. 同一的, 恒等的, 完全相同的
"
implication,"n. 牵连, 含义, 暗示
"
debilitate,vt. 使衰弱
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
overt,"a. 明显的, 公然的, 蓄意的
"
conjecture,"n. 推测, 猜想, 揣摩
v. 推测, 猜想, 揣摩
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
admonition,"n. 警告, 劝告, 训诫
"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
immense,"a. 极广大的, 无边的, 非常好的"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
deficient,"a. 不足的, 不充分的, 有缺陷的"
energetic,"a. 精力充沛的, 积极的"
lingual,"a. 舌的, 舌音的, 语言的
n. 舌音"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
caste,"n. 印度的种姓制度, (排他的)社会团体"
generosity,"n. 慷慨, 宽大"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
miserly,"a. 吝啬的, 贪婪的"
ample,"a. 大量的, 充足的, 丰富的"
engrossing,"a. 引人入胜的, 非常引人注意的, 趣味无穷的, 很有趣味的
"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
colloquy,"n. 谈话, 会话, 讨论"
definite,"a. 明确的, 一定的
"
treachery,"n. 背叛, 变节
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
cessation,"n. 停止
"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
incomprehensible,"a. 不能理解的, 费解的, 无限的"
acquiesce,"vi. 默许, 默然同意"
demeanor,"行为, 品行, 举止"
beneficence,"n. 慈善, 善行, 赠物
"
determination,"n. 决心, 果断
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
rationality,"n. 合理性, 纯理性"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
abundant,"a. 丰富的, 充分的, 大量的"
misbehave,"v. (使)行为无礼貌, (使)行为不端"
timidity,"n. 胆小, 胆怯, 羞怯"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
prevalent,"a. 普遍的, 流行的"
cumulative,"a. 累积的
"
circuitous,"a. 迂回的, 间接的, 绕行的"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
browbeat,"vt. 对...吹胡子瞪眼睛, 吓唬"
composure,"n. 镇静, 沉着"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
solar,"a. 太阳的, 日光的, 源自太阳的
"
rearrange,"vt. 再排列, 重新整理
"
celerity,"n. 迅速, 快速"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
chaos,"n. 大混乱, 混沌
"
deter,"vt. 制止, 吓住, 威慑"
lethal,"a. 致命的
n. 致死因子"
plural,"n. 复数
a. 复数的, 两个以上的"
profane,"a. 世俗的, 不敬神的, 亵渎的
vt. 亵渎, 玷污"
muted,"a. 变弱了的, 变柔和了的"
paltry,"a. 不足取的, 琐碎的, 可鄙的"
cloying,a. 厌烦的；倒胃口的；因过量而厌烦的
estranged,"a. 疏远的, 分离的, 隔离的"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
dispossess,"vt. 剥夺, 使失去, 逐出
"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
inequity,"n. 不公平, 不公正"
actuate,"vt. 开动, 驱使, 激励"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
radioactive,"a. 放射性的, 有放射能的
"
instinct,"n. 本能, 直觉
a. 充满着的"
forthright,"adv. 直率地, 直接地, 马上, 立即
a. 直接的, 直率的, 坦白的
n. 直路"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
misadventure,"n. 运气不佳的遭遇
"
oblique,"a. 斜的, 倾斜的, 间接的, 不光明正大的, 躲躲闪闪的
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
atypical,"a. 非典型的
"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
ramble,"n. 漫步, 随笔
vi. 漫步, 漫谈, 漫游, 蔓延
vt. 闲逛于"
contempt,"n. 轻视, 轻蔑
"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
comparable,"a. 可比较的, 比得上的"
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
severely,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素"
codicil,"n. 遗嘱的附录, 附录
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
alleviate,"vt. 减轻, 使缓和"
diplomatic,"a. 外交的, 老练的
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
eminence,"n. 显赫, 名家, 高处
"
irresolute,"a. 无决断的, 优柔寡断的, 踌躇不定的"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
dais,"n. 台, 讲台"
apology,"n. 道歉, 辩护
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
chaste,"a. 贞洁的, 纯洁的, 朴素的"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
option,"n. 选择权, 挑选, 选项
"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
resonate,"v. (使)共鸣, (使)共振"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
disadvantage,"n. 缺点, 不利, 坏处"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
avidity,"n. 热望, 急切, 利欲心
"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
alteration,"n. 变更, 改动
"
literary,"a. 文学的, 文艺的, 精通文学的
"
introductory,"a. 介绍的, 引导的, 开端的"
indiscreet,"a. 轻率的, 欠慎重的, 不加克制的"
auspicious,"a. 吉兆的, 幸运的"
amphitheater,"n. 圆形剧场, 竞技场, 梯形看台"
cliché,无
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
ravage,"n. 破坏, 蹂躏
v. 毁坏, 破坏, 掠夺"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
unused,"a. 不用的, 不在使用的, 从未用过的"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
drastic,"a. 激烈的
"
bizarre,a. 奇异的
enhance,"vt. 提高, 加强, 增加"
satirize,"vt. 讽刺, 挖苦
vi. 写讽刺作品"
cameo,n. 刻有浮雕的宝石或贝壳
bungle,"v. 拙劣地工作, 粗制滥造, 把...搞糟
n. 粗劣, 失误, 笨拙"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
monopoly,"n. 垄断, 专卖权, 独占事业
"
inherent,"a. 固有的, 与生俱来的
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
potent,"a. 有力的, 有说服力的, 有效的
"
mistrust,"n. 不信任, 疑惑
v. 不信任, 疑惑"
territorial,"a. 领土的, 土地的, 地方的, 区域性的
n. 本土自卫队队员"
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
anathema,"n. 令人厌恶的人, 强烈的遣责, 诅咒, 咒逐, 革出教门"
evidence,"n. 根据, 证据, 迹象
"
excursion,"n. 远足, 游览圆, 短程旅行
"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
imperil,"vt. 使处于危险, 危害"
imbue,"vt. 使感染, 灌输, 使浸透"
necessity,"n. 需要, 必需品, 必然
"
zeal,"n. 热心, 热衷, 热诚"
orthodox,"a. 正统的, 传统的, 惯常的"
mischievous,"a. 淘气的, 有害的, 恶作剧的, 胡搅的"
astute,"a. 敏锐的, 狡猾的"
unawares,"adv. 出其不意地, 没想到, 不料, 不知不觉地"
blunt,"a. 钝的, 坦率的, 麻痹的"
infuse,"vt. 注入, 使充满, 泡制, 鼓舞
vi. 泡"
feign,"vt. 假装, 装作
vi. 作假"
analogy,"n. 相似, 类似
"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
itinerant,"a. 巡回的
n. 巡回者"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
luster,"n. 光彩, 荣誉, 光泽
vi. 有光泽, 发亮
vt. 使发光辉"
