Break a leg!, 祝好运；大获成功（用于祝愿演员演出成功）
give sb. a break,"na. 给(某人)一个面子
"
give sb. a dirty look,[网络] 瞪人；给了个白眼
give sb. a free hand with sth.,无
give sb. a free hand,[网络] 给予自行处理的权力；床下；放手让
give sb. a hand for sth.,无
give sb. a hand,"un. 制住；帮着干一点
"
give one a run for one's money,无
give sb. a hand with sth.,无
give sb. a hard time,[网络] 添麻烦；抱怨；使他做……非常不容易
give sb. a rough idea of sth.,无
give sb. the devil,无
give sb. hell,[网络] 挨痛骂；使人受罪；受严惩
give sb. a raw deal,无
give sb. a reputation as a sb.,无
give sb. a reputation,无
give sb. the cold shoulder,[网络] 爱理不理；冰冷的语气；冷淡对待某人
give sb. the red carpet treatment,无
give sb. the ax,[口语]；解雇(某人)，裁减(某人)，开除(某人)；削减；突然断绝和某人的关系，与…一刀两断；拒绝某人(男友或女友)，抛弃(恋人等)
give sb. the sack, 炒鱿鱼；解雇
give a good account of oneself,"v. 付清帐,为自己辩护"
give chase to ...,追赶
give chase,vi. 追赶
give of oneself,[网络] 腾出时间和力量来帮助别人；贡献自己的时间和精力；牺牲自己的时间和精力
give one one's freedom,无
give oneself up to ...,使沉湎于
give oneself up,[法] 自首
give out with sth.,无
have out with sth.,无
give sb. a big send-off,无
give sth. a lick and a promise,"马虎了事,敷衍从事"
give sb. a reputation for doing sth.,无
give ... a head start on ...,无
give ... a head start,无
give sb. some skin,无
give sb. five,[网络] 击掌表示友好；结婚纪念日一样耶
slip sb. five,无
give sb. the creeps,无
give sb. the willies, 使某人很害怕
give sb. the go-ahead,[网络] 世界银行已获准
give sb. the green light,批准
give sb. the old heave-ho,无
give sb. the heave-ho,无
give sb. the once-over,[网络] 非同一般地看某人
go a long way toward doing sth.,无
go a long way in doing sth.,无
go about doing sth.,"着手, 开始工作"
go about one's business,专心(或干、注意)自己的事；走开，去你的吧[多用于逐退多管闲事者]；不要干涉别人的事
go against the grain,违反意愿
go ahead with sth., 继续进行
go all out,全力以赴
go all the way with sb.,完全同意…的意见
go all the way,完全一致
go to bed with sb.,[网络] 与…上床来代替
go to bed,"上床, 睡觉"
go ape over ...,对…狂热
go ape,"发疯, 变得狂热"
go around in circles,[网络] 兜圈子；转圈移动；瞎忙
go in circles,[网络] 兜圈子
go astray,v. 走入歧途
go away empty-handed,无
go back on one's word,"n. 食言,违背诺言"
go bad, 变质; 坏
go bananas,"发疯,神经错乱"
go begging,行乞
go broke,破产
go cold turkey,突然完全戒除(毒瘾等)；突然完全戒掉(旧习惯或行为方式)；毫无计划地开始做某事，仓促上阵
go down fighting,无
go down in history,载入史册
go downhill,走下坡路
go Dutch,各人付自己的帐
go easy on ...,"节约,节省;宽恕;耐心对待,和善待之"
go easy,"从容不迫, 安闲"
go for broke,全力以赴
go for it, 放手向前，努力争取
go from bad to worse,每况愈下
go haywire,"杂乱不堪, 变得疯疯癫癫, 拼凑而成的, 蹩脚的"
go hog wild,[网络] 变得兴奋而狂乱，无约束；行动放肆；把A描写成B
go in one ear and out the other,"左耳进,右耳出;充耳不闻"
go into a nose dive,"陷入困境,失败;丧失信心,心灰意懒"
take a nose dive,"大跌
暴跌
下跌"
go into a tailspin,"陷入困境,失败;丧失信心,心灰意懒"
go into effect,"生效,开始实施"
take effect,"见效, 生效
"
go into sth.,"进入, 加入, 探究, 变得, 进入...状态
"
go it alone,"单干
"
go like clockwork,[网络] 非常顺利
go off the deep end,"突然发脾气, 暴跳如雷"
jump off the deep end,发脾气；[美国俚语]仓促行事；采取果断行动；=go off the deep end
go on a binge,无
go on doing sth., 继续做
go on with sth.,暂时使用
go on,"继续下去, 过去, 发生, 进行, 接近, (演员)上, (运动员)上场, 依靠, 依据, 责骂
"
go out for sth.,"努力争取,力争"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
go out of one's way to do sth.,无
go out of one's way,"特地, 不怕麻烦, 故意"
go over like a lead balloon,[网络] 遭到反对；主张和建议不受欢迎
go over one's head, 天马行空，不知所云
go over sth.,"转变, 仔细检查, 润色, 复习"
go over sth. with a fine-tooth comb,"na. 仔细检查；搜查
"
search sth. with a fine-tooth comb,无
go over with a bang,"〈美〉进行得非常顺利,非常成功"
go overboard,[网络] 被扔到船外；从船上跌落
go places,获得成功
go scot-free,[网络] 安然无恙；逍遥法外；逃之夭夭
get off scot-free,[网络] 逍遥法外
go sky high,无
go the distance,"继续跑完全程, 赛足全局等"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
go through channels,按部就班
go through the motions, 走过场; 敷衍; 糊弄
go through the roof,大声喧闹
go through with sth.,完成
go to any length,"不惜采取任何手段, 竭尽全力"
go to bat for sb.,"为…说话,替…辩护;帮助"
go to bed with the chickens,睡得很早
go to hell,"去你的,滚开,见鬼去吧"
go to the devil,"堕落, 毁灭, 滚开"
go to hell in a handbasket,迅速地堕落(或衰退)
go to pieces,"瓦解, 身体垮掉"
go to one's head,冲昏头脑；使自负，得意洋洋
go to pot,"遭破坏, 破产, 衰落, 萧条"
go to the dogs,"堕落, 毁灭"
go to the expense of doing sth.,无
go to the expense,无
go to the limit,无
go to the trouble of doing sth.,无
go to the trouble to do sth.,无
go to the trouble,"不辞劳苦, 费劲"
go to the wall,"被推开在一旁, 失败"
go to town,上城里去
go together,"互相协调, 相配, 恋爱"
go too far,"走得太远, 做的过火"
go under,"死, 失败, 屈服, 破产"
go to show,"说明,证明"
go under the knife,"接受做手术,开刀"
go up in flames,[网络] 毁于一旦；燃烧起来；付之一炬
go up in smoke,"被烧光, 化为乌有"
go whole hog,全力以赴；干脆彻底地做一件事
go without saying,理所当然
gone on,"na. 往前走；继续…下去 (with； doing)；日子过得
"
be gone on,"爱上,喜爱"
go after ...,"追逐, 追求"
go all the way to sth.,无
go all the way,完全一致
go along for the ride,"〈美口〉逢场作戏,凑凑热闹"
go along with ...,"陪...一起去, 赞同, 附和"
go along,"前进, 进行"
go at ...,[网络] 职业倾向标准测试考卷
go back,"回去, 追溯"
go by the board,"从船上落水, 落空, 被丢弃"
pass by the board,"落空,失败,输光,前功尽弃"
go chase oneself,[美国俚语]别捣乱，走开；[美国俚语] 别捣乱，走开，滚开
go fly a kite,"走开,滚开"
go for ...,"去找, 努力获取, 被认为, 主张, 拥护"
go great guns,高速高效地干
go in a body,无
go in for sth.,"参加, 追求, 从事, 赞成"
go into action,"投入战斗, 行动起来"
swing into action,积极行动起来
go into one's song and dance about sth.,无
go into orbit,"进入轨道;获胜;兴奋,发怒,失去自制能力"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
go off half-cocked, 发脾气; 轻率作出反应
Go on!,"继续下去, 过去, 发生, 进行, 接近, (演员)上, (运动员)上场, 依靠, 依据, 责骂
"
go on,"继续下去, 过去, 发生, 进行, 接近, (演员)上, (运动员)上场, 依靠, 依据, 责骂
"
go on a fishing expedition,"试探一下, 摸底"
go on and on,[网络] 继续不停；说个不停；还有反复
go on strike,"举行罢工
"
go out on strike,举行罢工
go one better,"稍稍胜过,比某人略高一筹"
do one better,无
go out in search of ...,无
go out with sb.,和…约会
go right through sb.,无
go round the bend,[英国口语]发怒，发狂
go around the bend,无
go so far as to say sth.,无
go stag, <美口>未带女伴参加交际会
go steady with sb.,与…约会外出
go steady,成为关系相当确定的情侣
go stir crazy,无
go straight,"笔直走, 正直做人
"
go the limit,赛完全局
go through sth.,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
go through the changes,无
go to Davy Jones's locker,无
go to rack and ruin,被毁灭掉
go to wrack and ruin,"濒于破产,几近荒废"
go to the bathroom,[网络] 上厕所；去洗手间；上洗手间
go to waste,"浪费掉, 白费"
go up,"上升, 兴建"
go with ...,"伴随, 与...相配"
go without sth.,没有也行
go without,没有也行
go wrong,"走错路, 出毛病, 失败"
have a ball,狂欢
have a big mouth,大声说话
have a bone to pick with sb.,"对…不满, 对…有抱怨"
have a bone to pick,"v. 与…有争执
"
have a brush with ...,与…发生冲突
have a chip on one's shoulder,v. 好斗
have a close shave,无
have a close call,无
have a narrow escape,"na. 九死一生
"
have a familiar ring,无
have a fit,大发脾气
throw a fit,大发脾气
have a go at sth.,"尝试一下,试试看"
have a go," 企图, 尝试; 抱怨"
have a good command of sth.,"能驾御,很会"
have a good head on one's shoulders,v. 有见识
have a good thing going,无
have a green thumb,[网络] 擅长园艺；善於园艺；某人很会种花种菜
have a heart,发慈悲
have a heart of gold,"心地善良,有一颗金子般善良的心"
have a heart of stone,[网络] 铁石心肠；心如铁石；铁石心肠的
have a heart-to-heart talk,无
have a heart-to-heart,[网络] 促膝谈心；S和B说了交心话；交心谈话
have a lot going for one,〈口〉有很多有利条件
have a lot going,无
have a lot of promise,无
have a lot on one's mind,无
have a low boiling point,无
have a near miss,无
have a penchant for sth.,无
have a penchant for doing sth.,无
have a price on one's head,被悬赏缉拿(或处死)
have a rough time of it,日子不好过
have a rough time,吃苦
have a screw loose,"出故障, 出毛病"
have a screw missing,无
have a snowball's chance in hell,无
have a soft spot in one's heart for ...,无
have a sweet tooth,喜欢吃甜
have a thing about ...,"对...有一种病态的惧怕, 对...十分喜欢/厌恶"
have a thing going with sb.,无
have sth. going with sb.,无
have a thing going,无
have sth. going,无
have a voice in sth.,参与
have a say in sth.,在…上有发言权
have a voice,[网络] 有一个声音；发言权；有声音
have a say,"有发言权,有理由说话"
have a way with ...,对…有办法
have a weakness for ...,"偏爱,酷爱,特别喜欢…"
have a word with sb.,和…说几句话
have an axe to grind,别有企图
have an eye for ...,很能鉴赏
have an eye on ...,[法] 注意
have one's eye on ...,[网络] 注视；看上；留心着
keep an eye on ...,"照看, 密切注视"
keep one's eye on ...,照看，照管，照顾；密切注视，监视；注意；留神
have an eye out for ...,无
have one's eye out for ...,无
keep an eye out for ...,留心〔注意〕某人〔某事物〕
keep one's eye out for ...,无
have an eye out,警觉;提防(= keep an eye out)
have one's eye out,无
keep an eye out,"注视,注意,警惕"
keep one's eye out,无
have an itchy palm,[口语]贪财，贪贿[莎士比亚语]
have an itching palm,贪财
have another think coming,"v. 〈口〉(想)错了
"
have another guess coming,"〈口〉猜错了,想错了"
have been around,阅历;世故深
have come a long way,[网络] 有很大的进展；有大幅地进展；处境己经大大地改善
have designs on ...,"抱不良企图
"
have dibs on sth.,"na. 对…有权利
"
put dibs on sth.,vt.  要求分享对 ... 的所有权
have egg on one's face,"出丑, 丢脸"
have eyes in the back of one's head,脑袋后面长有眼睛; 留意到一切而不露声色
have feet of clay,[网络] 有潜藏对策严重缺点；有某种根本的弱点或错误
have foot-in-mouth disease,无
have growing pains,无
have had enough,[网络] 厌烦；用餐完毕
have had it,"吃够了苦头, 受到了致命打击, 陈旧不堪, 损坏, 死亡, 人已过时, 无希望"
have had it up to here,无
have half a mind to do sth.,打算(做某事或说什么)；有点想(做某事或说什么)；颇有意(做或说什么)
have half a notion to do sth.,无
have it both ways,见风使舵
have it in for sb.,〈口〉想伤害某人; 想与某人过不去
have mixed feelings about ...,对 ... 抱矛盾的态度
have money to burn,有用不完的钱
have no business doing sth.,"无权(做)..., 没有权利(做)..."
have no use for ...,"不需要, 厌恶"
have no time for ...,"讨厌, 不喜欢"
have nothing to do with ...,与...无关
have one's back to the wall,处于困境(或绝境)，处境困难；(走投无路时)作困兽斗；被逼到没有退路，负隅死战；以寡敌众；陷入绝境
have one's cake and eat it too,"un. 无即为有；兼而有之
"
eat one's cake and have it too,[亦作 have one's cake and eat it too] 见cake
have one's ear to the ground,[美国口语]注意人们想的和说的(以采取相应的行动)，密切注视公共舆论动向，让(自己)获得及时的新情况和动向；敏锐；精明
keep one's ear to the ground,[美国口语]注意人们想的和说的(以采取相应的行动)，密切注视公共舆论动向，让(自己)获得及时的新情况和动向；敏锐；精明
have one's finger in the pie,无
have one's hands full with ...,无
have one's hands full,工作忙
have one's heart in the right place,心地善良
have one's heart set on sth.,"渴望,倾心于"
have one's luck run out,无
have one's nose in a book,埋头看书
have one's nose in the air, 得意洋洋
have one's work cut out,工作已经排定，工作排得满满的；十分忙碌，忙得不可开交；面临困难，面临艰巨工作
have other fish to fry,另有企图
have pull with sb.,无
have sb. on the string,无
have seen better days,有过富裕日子
have ... on one's hands,无
leave ... on one's hands,无
have ... on one's mind,惦记；挂在心上；为…担心，忧虑(某事)
have sth. against ...,认为(某事)是反对…的; 某事对…不利
keep sth. against ...,无
have sth. at one's fingertips,无
keep sth. at one's fingertips,无
have sth. at hand,无
have sth. coming,已经来了
have something up one's sleeve,有...锦囊妙计
have sth. hanging over one's head,无
have sth. in mind,"na. 记住；铭记不忘；注意
"
have sth. out with sb.,无
have sth. out,"v. 拔掉
"
have what it takes,称职
have the cards stacked against sb.,无
have the devil to pay,无
have hell to pay,无
have the shoe on the other foot,无
have too many irons in the fire,"要参加的事太多了,要办的事太多了"
have turned the corner,无
have a bad effect on ...,无
have a bad effect,无
have a bee in one's bonnet,对某事想得入了迷；死心塌地老想着某事；想入非非，胡思乱想；有古怪的想法；神志不清，神经有点儿不正常
have a blowout,无
have a case against sb.,无
build a case against sb.,无
gather a case against sb.,无
assemble a case against sb.,无
have a clean conscience about ...,无
have a clear conscience about ...,无
have a conniption,无
have a conniption fit,无
have a glass jaw,无
have a pick-me-up,无
need a pick-me-up,无
want a pick-me-up,无
have a right to do sth.,无
have the right to do sth.,无
have a scrape with ...,无
have a scrape,无
have a smoke,抽支烟
need a smoke,无
want a smoke,无
have a spaz,无
have a stroke,中风
have a whale of a time,"玩得非常痛快, 过得非常愉快"
have an accident,遭受意外
have an argument,无
have an in with sb.,无
have an in,获得当权者的宠爱
have an out,无
have bats in one's belfry,"na. 脑筋有点怪；发痴；异想天开
"
have clean hands, （对于不道德行为）清白，无可谴责; 清白无过; 清白无辜; 清清白白
have got to do sth.,必须做…
have it all over ...,比…好，优于，胜过
have no staying power,无
have none of sth.,"不同意,不允许,不买…的帐"
have nothing on ...,"未穿衣服,一丝不挂"
have one's druthers,无
have one's hand in the till,[网络] 挪用公款
have one's hands tied,[网络] 束手；无能为力；束手待毙
have one's head in the clouds,富于空想，想入非非；心不在焉；想入非非；心不在焉
have one's heart go out to sb.,无
have one's heart in one's mouth,"v. 吓得要命,焦急万分,非常地紧张,非常吃惊"
have one's heart miss a beat,无
have one's heart skip a beat,无
have one's heart set against sth.,无
have one's heart stand still,无
have one's hide,无
have one's tail between one's legs,无
have one's wits about sb.,随机应变
keep one's wits about sb.,无
have one's words stick in one's throat,无
have oneself sth.,给自己; 使自己做
have reason to do sth.,无
have reason,有道理;有理性
have rocks in one's head,[美国俚语]愚蠢；神经不正常，精神反常；发疯；神志不清
have sb. dead to rights,无
have sb. in one's pocket,"对某事稳操胜券, 探囊取物, 完全支配某人"
have ... in one's hands,无
leave ... in one's hands,无
put ... in one's hands,无
have ... in tow,无
have ... on,"v. 戏弄
"
have something doing,无
have something on,[网络] 拿着某人的把柄；抓住某人的把柄
have something going for sb.,无
have something going,无
have something going with sb.,无
have something to do with ...,与...有点关系
have sth. in common with ...,[网络] 与…有共同之处；和…有共同之处；有共同点
have sth. in common,"un. 没有共同之处；有某些共同之处
"
have sth. in hand,"v. 掌握
"
have sth. in stock,无
have sth. left,[网络] 剩余；剩下
have sth. made,[网络] 制造；已经使；有言
have sth. on file,无
have sth. on the ball,无
have sth. on the brain,[网络] 全神贯注于；念念不忘某事
have sth. stick in one's craw,无
have sth. to spare,无
have sticky fingers,[网络] 从没想过鲍勃会手脚不干净；小偷小摸；是小偷
have the advantage of sb.,胜过
have an advantage of sb.,有…的优点
have the advantage over sb.,"胜过,优于"
have an advantage over sb.,"胜过,比…优越"
have the courage of one's convictions,有勇气去做自己认为正确的事; 敢于提出自己的主张
have the feel of sth.,无
have the gift of gab,能说会道
have the right-of-way,无
have the time of one's life,na. 快活
have the wherewithal to do sth.,无
have the wherewithal,无
have them rolling in the aisles,无
have to live with sth.,无
hold all the aces,[网络] 处于支配地位；占尽上风
Hold it!," 慢着, 等等"
hold no brief for ...,"不支持,不同情,不为…辩护"
hold off doing sth.,无
hold off on doing sth.,无
hold on,"继续, 不挂断, 停止"
hold one's breath,屏息
hold one's end of the bargain up,无
hold up one's end of the bargain,无
hold one's head up,"昂首, 不垂头丧气"
hold up one's head,昂起头; 感到骄傲
hold one's own,坚持住
hold one's tongue,"住嘴, 不开口, 缄默"
hold out for ...,〈口〉(为等待更好时机)拖延时间
hold out,"na. 伸出；提出；维持；制止
"
hold out the olive branch,作出亲善友好的表示
hold sb. accountable for sth.,[网络] 进行问责；对…负责任
hold sb. accountable,无
hold sth. over one's head,无
hold up ...,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hold ... up as an example,树…为榜样
hold sth. against sb.,"v. 指责
"
hold the fort,"留守, 代管"
hold the line at ...,无
hold the line,"不挂断, 坚定不移"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hold up ...,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hold ... up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hold your horses,n. 不要着急，耐心一点
hold a meeting,举行会议
hold forth,"滔滔地说, 提供"
hold one's fire,不露真情，忍着不说
hold one's peace,闭口不说
hold out,"na. 伸出；提出；维持；制止
"
hold sb. down,"na. 压制；牵制；阻止；压低(物价等)
"
hold down sb.,"na. 压制；牵制；阻止；压低(物价等)
"
hold ... over,"na. 将…延迟；保存；期满后继续任职；期满后继续占有
"
hold tight, 揪；撴
hold on tight, 美国佛州流行朋克乐队Hey Monday于2008年发行的首张专辑，包含11首歌，女主唱Cassadee Pope.
keep a stiff upper lip,坚定不移
have a stiff upper lip,倔强，固执，顽固；顽强不屈；不叫苦；勇敢地面对灾祸；在危险(或困难)面前挺起胸膛；不气馁；不沮丧
keep a straight face,板着脸
have a straight face,无
keep abreast of sth.,保持与...并列
be abreast of sth.,保持与...并列
keep abreast,"并行
并排航行"
keep at sth.,"na. 纠缠；坚持地做
"
keep company with sb.,与...结交
keep cool,"na. 冷(藏)着；乘凉；沉住气
"
keep house,当家
keep late hours,晚睡晚起
keep on doing sth.,继续做某事；继续做
keep on,na. 继续；穿
keep one's chin up,不气馁
keep one's distance from ...,与…保持一定的距离; 对(人或事业)等冷淡
keep one's fingers crossed for ...,无
keep one's fingers crossed,希望走好运〔成功〕
keep one's mouth shut about ...,无
keep one's mouth shut, 保持沉默，一声不吭; 封起嘴巴; 钳口结舌
keep one's nose clean,不喝酒
keep one's word,守信
keep pace with ...,"并驾齐驱, 齐头并进"
keep pace," 并列：与其他人并驾齐驱, 如在比赛中"
keep sb. company,[网络] 陪伴；作伴；交往
keep sb. from doing sth.,[网络] 避免做；避免做某事；从某事中停下来
keep sb. in line, 禁止超越
keep sb. on tenterhooks,无
have sb. on tenterhooks,无
keep ... at bay,"na. 围住；不使…接近
"
hold ... at bay,"na. 使走投无路；遏制
"
keep at bay,"na. 围住；不使…接近
"
keep ... in check,"抑制,约束,制止,牵制"
hold ... in check,"制止, 控制"
keep ... in mind,"na. 记在心里；记住；注意
"
bear ... in mind,"na. 记住；铭记不忘；注意
"
keep ... out,使在外
keep out,使在外
keep ... up,"na. 支持；保持；继续；停歇
"
keep up ...,"na. 支持；保持；继续；停歇
"
keep sb. posted,[网络] 随时告知
keep sth. to oneself,"un. 强调；紧贴；秘而不宣；独自承受
"
keep sth. under one's hat,对某事物保密
keep sth. under wraps,[网络] 秘而不宣
keep tabs on ...,"记录, 监视, 看守"
keep track of ...,了解
keep the home fires burning,"操持家务,维持家庭生活"
keep the lid on sth.,"隐瞒,掩盖…"
keep the wolf from the door,"把狼拒之于门外;免于饥饿,勉强煳口"
keep to oneself,"un. 强调；紧贴；秘而不宣；独自承受
"
keep up with ...,"跟上
"
keep up,"na. 支持；保持；继续；停歇
"
keep up an act,[美国口语]做作；假装
keep up one's act,[美国口语]做作；假装
keep up with the Joneses,与邻居或朋友家比排场、比阔气
keep up,"na. 支持；保持；继续；停歇
"
keep up with the times, 与时俱进
keep the ball rolling,使不中断
keep your shirt on,"别慌,沉住气,别着急"
keep your pants on,镇静
keep a civil tongue in one's head,v. 措辞谨慎
have a civil tongue in one's head,无
keep a civil tongue,说话彬彬有礼
keep an account of sth.,"记录,记载"
keep body and soul together,仅能维持生活
keep good time,走得准
keep off sth.,"让开, 不接近"
keep off,"让开, 不接近"
keep on with sth.,继续(做某事)
keep on,na. 继续；穿
keep one's eye on the ball,v. 警惕
keep one's eyes open for ...,无
keep one's eyes peeled for ...,"仔细观看, 留意"
keep one's eyes open,"注意, 留心"
keep one's eyes peeled,"谨慎小心, 警惕"
keep one's hand in sth.,"na. 不断练习
"
keep one's hand in,"na. 不断练习
"
keep one's own counsel,不宣布自己的观点
keep one's temper,忍耐
hold one's temper,捺住性子，忍住气，不使脾气发作
keep one's weather eye open,时刻警惕;密切注视[亦作 keep a weather eye on 或 out for]；随时警惕；密切注意，留心观察
keep out of sth.,"v. 置身事外；把…挡在…外
"
stay out of sth.,不参与…;不插手;置身于…之外
keep out,使在外
stay out,呆在户外
keep quiet about ...,对 ... 保持缄默
keep still about ...,无
keep quiet,保持安静
keep still,保持不动
keep sb. in stitches,无
have sb. in stitches,无
keep ... at a distance,"un. 保持一定距离
"
keep ... at arm's length,vt.  保持一定距离(使 ... 不与 ... 亲近)
keep ... back,"na. 隐瞒；阻止；阻止向前；忍住
"
hold ... back,"na. 阻止；踌躇；隐瞒；抑制
"
keep back ...,"na. 隐瞒；阻止；阻止向前；忍住
"
hold back ...,"na. 阻止；踌躇；隐瞒；抑制
"
keep time,"会看拍子唱, 合着拍子跳"
keep watch on ..., 监视
keep watch,"守望, 值班, 放哨"
keep watch over ...,无
look after ...,"目送, 照顾, 关心"
see after ...,照顾
look as if butter wouldn't melt in one's mouth, （非正式）假装天真无邪（或极娴静），表面上一副老实样
look at sb. cross-eyed,无
look cross-eyed at sb.,无
look back on ...,"回头看,回顾,追忆"
look daggers at sb.,怒视…
look down on ...,"轻视, 看不起"
look down one's nose at ...,看不起
look for ...,"寻找, 期待"
look for ... high and low,无
look high and low for ...,[网络] 到处寻找
look for trouble,"自找麻烦, 自讨苦吃"
look forward to sth.," 期望, 盼望; 瞩望; 属望; 企"
look in on ..., 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
check in on ...,无
look in,"看望
"
check in,"登记, 报到
"
look into sth.,"窥视, 浏览, 观察
"
see into sth.,调查
check into sth., 到达并在…登记; 调查
look like a million dollars,看起来身体好极了
look like a million bucks,[网络] 满面春风；看起来光鲜亮丽
look like the cat that swallowed the canary,洋洋得意，自我陶醉
look like the cat who swallowed the canary,无
look on,"观看, 旁观, 看待"
look on at sth.,无
look on sb. as sb.,[网络] 把……看作；把看做；把当作看待
look sb. in the eye,[网络] 直视；正视
look sb. in the face,[网络] 直视
stare sb. in the face,[网络] 就在眼前
look ... over,"na. 浏览；检查；察看
"
look over ...,"na. 浏览；检查；察看
"
look ... up,"v. 查找；查阅；探望；看望
"
hunt ... up,猎取
look up ...,"v. 查找；查阅；探望；看望
"
hunt up ...,猎取
look up to sb.," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
look like ..., 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
make a beeline for ...,径直向…走去
make a break for sth., （尤指为逃跑而）冲向
make a bundle,[网络] 大赚一笔；这些人赚很多钱；大捞一笔钱
make a pile,na. 发财
make a clean breast of sth.,"[法] 坦白供认, 完全承认"
make a clean sweep of sth.,彻底扫除
make a clean sweep, [体]获全胜; 风卷荷叶; 大获全胜; 劫掠一空
make a comeback,卷土重来；东山再起；进行复辟；再度走红
make a dent in sth.,"削弱,损害;初步完成…"
make a fast buck,"赚快钱
赚大钱"
make a quick buck,无
make a federal case out of sth.,vt. 过分强调 ... 和重要性(过分夸大)
make a big deal about sth.,无
make a fuss over ...,过分关心(或体贴)
make a go of it,"〈美〉使获得成功,干好"
make a great show of sth.,无
make a hit with ...,无
make a hit,获得成功
make a killing,"爆发,突然赚取一大笔钱"
make a living,"谋生, 挣钱度日, 维持生活"
make a long story short,"长话短说, 简而言之"
make a mess of sth.,搞糟
make a mess,"制造混乱;拉屎,解大便"
make a mountain out of a molehill,"na. 夸大
"
make a name for oneself,〈非正〉使自己出名
make a name,出名
make a pass at sb.,[俚语]对(女子)作非礼举动；向(女人)献殷勤，向(女人)作过分亲昵的表示；同已婚(或已订婚)的女人调情；袭击；冲向；做出举动
make a pitch for ...,为...说好话
make a pitch,说好话
make a play for ...,"挖空心思吸引某人, 想尽办法获得某物
"
make a play,无
make a point,"立论, 得一分"
make a point of doing sth.,重视做
make a practice of sth.,经常进行
make sth. a practice,无
make a run for it,"快跑,逃之夭夭"
make a scene,当众大吵一场
create a scene,"吵架,(当众)大吵大闹"
make allowance for ...,"体谅, 估及, 为...留余地"
make allowance,"体谅, 留余地"
make an appearance,"露面,出席,到场"
make an example of sb.,"惩罚,罚一儆百"
make an exception for sb.,无
make an exception,例外
make an impression on sb., 给…留下印象
make an impression,"给…留下印象,对…起作用"
make cracks,无
make cracks about ...,无
make do with ...,设法应付
make do,"na. 用(某物)设法应付
"
make ends meet,"量入为出,使收支相抵"
make both ends meet,"量入为出
"
make fun of ...,取笑
make fun, 开玩笑; 打哈哈
make good on sth.,[网络] 兑现；让……好好表现
make good money,无
make good time,进行得顺利
make hay while the sun is shining,无
make light of sth.,轻视
make little of ...,"不重视, 不理解"
make no bones about it,[网络] 不加掩饰的发表看法；直截了当地处理问题
make no difference to sb.,对…有些[没有]关系
make no difference,没有影响
make no mistake about it,[口语]别弄错了，绝对如此，不要有半点怀疑，完全可以肯定
make no mistake,别搞错
make nothing of it,无
make oneself at home,"无拘束, 如同在自己家里一样"
make or break sb.,要么成功要么毁灭
make-or-break,要么成功要么毁灭
make points with sb.,无
make points,无
make sense out of ...,无
make short work of sth.,"迅速简便地完成/做某事, 干脆利落地迅速处理/解决某事, 除掉某物"
make fast work of sth.,无
make sb. eat crow,无
make sb. look good,无
make ... available to sb.,无
make ... tick,无
make one's blood boil, “火冒三丈”，“怒发冲冠”; 热血沸腾
make one's blood run cold, 害怕得发抖
make one's hair stand on end, 令人发指
make ... up,"na. 弥补；起草；定；签订
"
make up ...,"na. 弥补；起草；定；签订
"
make sb. the scapegoat,无
make sb. the scapegoat for sth.,无
make one's head swim,无
make one's head spin,[网络] 晕头转向；眩晕
make one's mind up,无
make up one's mind,"下决心, 接受, 承认"
make one's mouth water,使某人垂涎
make one's position clear,无
make sth. from scratch,无
make it up to sb.,"na. 赎
"
make ... out,"na. 理解；发现；起草；证明
"
make out ...,"na. 理解；发现；起草；证明
"
make something out of nothing,无
make sth. to order,[经] 定制
make the best of sth.,充分利用
make the fur fly,引起骚乱
make the feathers fly,引起争吵
make the dust fly,做得卖力
make the grade,"成功, 爬上陡坡"
make the most of sth.,尽量利用
make tracks for,〈非正〉动身(去某处)
make tracks somewhere,无
make up for lost time,补回丢失的时间
make up for sth.,"补偿,弥补"
make up,"na. 弥补；起草；定；签订
"
make up with sb., 与…和解
make use of ...,使用
make waves,兴风作浪
make way for ...,"v. 让路
"
make way,"na. 进步
"
make a check out to sb.,无
make out a check to sb.,无
make a check out,无
make out a check,无
make a day of doing sth.,无
make a day of it,花了一整天时间做它
make a face at sb.,无
make faces at sb.,[网络] 对…做鬼脸
make a face,做鬼脸
make faces, 扮鬼脸; 做鬼脸; 挤眉弄眼
make a fool out of sb.,无
make an ass of sb.,v. 愚弄
make a note of sth.,"记录,把…记录下来"
make a nuisance of oneself,"惹人讨厌,惹人厌烦"
make a silk purse out of a sow's ear,变废为宝[常用于否定句]；把劣材制成美器；把顽劣的人改造为好人
make an appointment with sb.,v. 与某人约会
