according to,"根据, 按照；取决于；据…所说"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
tram,"n. 电车轨道, 煤车, 纬纱, 纬丝
vt. 用煤车运载
vi. 乘电车"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
transparent,"a. 透明的, 显然的, 清晰的
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
triangle,"n. 三角形, 三个一组, 三角关系
"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
troublesome,"a. 麻烦的, 令人讨厌的"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
truth,"n. 事实, 实情
"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
Turkey,"n. 火鸡, 无用的家伙, 土耳其"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
typewriter,n. 打字机
typical,"a. 典型的, 象征性的
"
typhoon,n. 台风
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
unemployment,"n. 失业, 失业人数
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
unfortunately,"adv. 恐怕, 不幸的是"
union,"n. 联盟, 联合, 结合, 工会
"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
unique,"a. 独一无二的, 独特的, 稀罕的"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
upward,"a. 向上的
adv. 以上"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
urgent,"a. 紧急的, 急迫的, 催逼的
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
vague,"a. 含糊的, 不清楚的, 茫然的"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
vanish,"vi. 消失, 不见, 成为零"
variety,"n. 多样, 种类, 变种, 杂耍
"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
vase,"n. 花瓶, 瓶"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
version,"n. 一种描述, 版本, 译文
"
vertical,"a. 垂直的, 直立的
"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
via,"prep. 经由, 经过, 通过
"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
victim,"n. 受害人, 牺牲者, 牺牲品
"
vinegar,"n. 醋, 尖酸刻薄
vt. 加醋于"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
visa,"n. 签证
vt. 签发"
visual,"a. 视觉的
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
vocabulary,"n. 词汇(量), 词汇表
"
volcano,n. 火山
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
waist,"n. 腰部, 腰
"
wallet,"n. 皮夹
"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸
vi. 结网, 形成网
vt. 织蜘蛛网于, 使落入圈套"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
wealthy,"a. 富有的, 丰裕的, 充分的"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
wheat,n. 小麦
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
whenever,"conj. 每当
adv. 不论何时, 每逢"
whichever,"pron. 无论那一个, 任何一个"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
willing,"a. 乐意的, 自愿的, 甘愿的"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
within,"n. 内部, 里头
adv. 在内部, 在内心里
prep. 在...之内"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
wooden,"a. 木制的, 呆笨的, 木然的"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
worldwide,a. 全世界的
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
worth,"n. 价值, 财产
a. 值...的, 值得的"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
wrist,"n. 手腕, 腕关节
"
writing,"n. 书写, 著作, 笔迹, 作品
"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
youth,"n. 年轻, 青年时代, 青年们, 青春
"
zero,"n. 零, 零点, 零度, 无, 乌有, 最低点
a. 零的, 没有的
vt. 调零, 对(炮火等)作协调校正
"
zip,"n. 尖啸声, 拉链, 活力
vt. 给...以速度, 使增加活力, 拉(拉链)
vi. 有力而迅速地行动, 嘘嘘地响, 拉拉链"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abdomen,"n. 腹部
"
abundance,"n. 丰富, 充足, 大量
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
accordingly,"adv. 相应地, 因此, 于是"
acrobat,"n. 表演特技者, 杂技演员"
additional,"a. 附加的, 另外的, 额外的
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adjective,"n. 形容词
a. 形容词的, 从属的"
adjoin,"v. 邻接, 毗连"
advent,"n. 来到, 来临"
adverb,n. 副词
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aesthetic,"a. 美学的, 审美的, 有美感的"
afterward,"adv. 然后, 后来"
agony,"n. 极大的痛苦, 挣扎
"
agreeable,"a. 令人愉快的, 同意的
"
conditioning,"n. 调节, 条件作用, 整修
"
aisle,"n. 走廊, 侧廊, 过道
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
amiable,"a. 亲切的, 和蔼可亲的
"
amid,"prep. 在其间, 在其中
"
amplifier,"n. 扩大的人(物), 放大器, 扩音器
"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
analogue,"n. 类似物, 相似情况
"
analytic,"a. 分析的, 善于分析的, 解析的
"
angel,"n. 天使, 守护神, 善人"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
antenna,"n. 天线, 触须, 触角
"
apologize,"vi. 道歉, 辩解"
appal,"vt. 使惊骇, 使吓坏"
apparatus,"n. 装置, 器具, 器官
"
applause,"n. 鼓掌, 喝彩, 赞许"
appliance,"n. 器械, 用具, 应用
"
applicable,"a. 合适的, 可应用的
"
appraisal,"n. 评价, 估价
"
approval,"n. 赞成, 批准
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
arrogant,"a. 自大的, 傲慢的"
artery,"n. 动脉, 干道, 要道
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
ascertain,"vt. 确定, 查明
"
ashore,"adv. 向岸, 在岸上"
assassinate,"vt. 暗杀, 行刺
"
assign,"vt. 分配, 指派, 赋值
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
assurance,"n. 保证, 把握, 信心, 保险
"
auction,"n. 拍卖
vt. 拍卖"
audio,"a. 音频的, 声音的
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditorium,"n. 听众席, 礼堂
"
augment,"v. 增加, 增长
"
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的
"
automation,"n. 自动化, 自动操作
"
autonomy,"n. 自治, 自治权
"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
avert,"vt. 转开, 避免, 防止"
aviation,"n. 航空, 航空学, 飞行术
"
await,"vt. 等候
vi. 等待着"
awe,"n. 敬畏
vt. 使敬畏"
axe,"n. 斧, 斧头
vt. 削减(人员、经费、计划、机构等)"
axis,"n. 轴
"
badge,"n. 徽章, 标记
"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
banner,"n. 旗帜
a. 显著的, 特别好的"
barely,adv. 几乎不
barn,"n. 谷仓
"
barrel,"n. 桶
vt. 装入桶内"
barren,"a. 不育的, 贫瘠的
n. 荒地"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
beforehand,adv. 预先
beloved,"a. 心爱的
n. 心爱的人"
benign,"a. 善良的, 良性的
"
bet,"n. 打赌, 赌注
v. 打赌"
beverage,"n. 饮料
"
beware,"v. 小心, 谨防"
bibliography,"n. 参考书目
"
bizarre,a. 奇异的
blackmail,"n. 勒索
vt. 勒索"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
blend,"vt. 混合
n. 混合"
bloody,"a. 血腥的, 嗜杀的, 有血的"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
brandy,"n. 白兰地酒
"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
breakdown,"n. 崩溃, 故障
"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
briefcase,n. 公事包
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
bronze,"n. 青铜, 铜像
a. 青铜色的"
brook,"n. 小溪
vt. 容忍"
brow,"n. 眉毛, 额
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
bull,"n. 公牛
"
bullet,"n. 子弹
"
bulletin,"n. 公告, 布告, 公报
"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
bureau,"n. 局, 办公处
"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
calcium,"n. 钙
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
cannon,"n. 大炮, 加农炮
v. 炮轰"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
canvas,"n. 帆布, 画布, 油画
"
capitalism,"n. 资本主义
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
carbohydrate,"n. 碳水化合物, 糖类
"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
cargo,"n. 货物
"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
cashier,"n. 出纳员
"
cemetery,"n. 墓地, 公墓
"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
certainty,"n. 确定, 确实的事情
"
champagne,"n. 香槟酒, 香槟酒色
"
chap,"n. 小伙子, 颌, 龟裂
v. 皲裂"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
cherish,"vt. 珍爱, 怀有, 爱护"
cherry,"n. 樱桃, 樱桃树, 樱桃色
"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
chin,"n. 下巴, 颏
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
Christ,"n. 基督, 救世主"
cigaret,"n. 纸烟, 卷烟, 香烟"
circumference,"n. 圆周, 周缘, 胸围
"
civilize,"vt. 使开化, 使文明
vi. 变文明"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
classification,"n. 分类, 分级
"
clergy,"n. 牧师, 僧侣, 神职人员"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
coalition,"n. 结合体, 结合, 联合
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
cocaine,"n. 可卡因, 古柯碱
"
cognitive,"a. 认知的, 认识的"
cohesive,"a. 黏合在一起的
"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
coincide,"vi. 一致, 符合
"
collide,"vi. 碰撞, 互撞, 抵触"
colonel,"n. 陆军上校, 长官"
combination,"n. 组合, 合并, 联合
"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
commemorate,vt. 纪念
commence,"v. (使)开始, 得学位"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
Commonwealth, 共同财富
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
compassion,"n. 同情, 怜悯"
compatible,"a. 能共处的, 可并立的, 适合的
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
complaint,"n. 诉苦, 抱怨, 控诉
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complication,"n. 复杂化, 复杂情况
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
comprehend,"vt. 理解, 包括"
comprise,"vt. 包含, 构成"
compute,"v. 计算, 估算
n. 计算, 估算"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
concentration,"n. 集中, 专心
"
concerning,"prep. 关于
"
concise,"a. 简洁的, 简明的"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
confess,"v. 承认, 坦白, 忏悔, 供认"
confidence,"n. 信心
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
confusion,"n. 混乱, 混淆, 无秩序
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conquest,"n. 战胜, 征服, 战利品
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
consecutive,"a. 连续的, 联贯的
"
consequently,adv. 所以
console,"vt. 安慰, 藉慰
n. 控制台
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
conspicuous,"a. 显著的, 显眼的, 出众的"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
continual,"a. 持续不断的, 继续的
"
continuous,"a. 连续的, 继续的, 连续不断的
"
contradiction,"n. 反驳, 矛盾
"
contrive,"v. 发明, 设计, 图谋"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
conviction,"n. 定罪, 信服, 坚信
"
cooperative,a. 合作的；合作社的
cop,"n. 警官
vt. 抓住"
copper,"n. 铜, 警察
"
cord,"n. 绳索, 束缚
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
correspondence,"n. 相符, 通信, 信件
"
corridor,"n. 走廊, 回廊, 人口密集地带"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
costume,"n. 装束, 服装"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
county,"n. 县, 郡"
coupon,"n. 息票, 赠券
"
courtesy,"n. 礼貌, 谦恭, 好意
"
coward,"n. 懦弱的人, 胆小的人"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
