coda,"n. 尾音, 乐章结尾部, 结尾段"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
surcharge,"n. 装载过多, 超载, 追加罚款, 附加税
vt. 使装载过多, 追加罚款, 收附加税"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
diverge,"vi. 分歧, 岔开
vt. 使岔开"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
disgorge,"vt. 吐出, 流注, 被迫交出
vi. 呕吐"
scourge,"n. 鞭, 苦难根源, 灾祸
vt. 鞭打, 痛斥, 蹂躏"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
subterfuge,"n. 遁辞, 借口, 托辞
"
deluge,"n. 大洪水, 泛滥
vt. 使泛滥"
cache,"n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器
vt. 隐藏, 窖藏
"
panache,"n. 羽饰, 夸示, 假威风, 炫耀"
cliche,"n. 陈腔滥调, 凸印版
a. 陈腐的"
pastiche,"n. 模仿作品, 东拼西凑的杂烩"
gauche,"a. 缺乏社经验的, 笨拙的, 粗鲁的, 无礼的, 偏转的"
catastrophe,"n. 大灾难, 大祸
"
loathe,"vt. 厌恶, 憎恶"
lithe,a. 柔软的
blithe,"a. 愉快的, 高兴的"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
hie,"vt. 使急行, 催促"
rookie,n. 新手
belie,"vt. 掩饰, 与...不符, 使失望"
bonhomie,"n. 愉快, 温和, 和蔼"
stymie,"n. (喻)困难的境地
vt. 使(球)处于困难的位置, 使为难, 使处困境, 妨碍, 阻挠, 阻碍"
camaraderie,n. 友情；同志之爱
slake,"vt. 消除, 使清凉, 熄灭
"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
forsake,"vt. 放弃, 断念, 抛弃
"
spike,"n. 长钉, 鞋钉, 钉状物, 尖峰状物, 穗
vt. 以大钉钉牢, 用尖物刺穿, 阻止, 弃置不用
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
stoke,"v. 司炉, (使)大吃"
evoke,"vt. 唤起, 引起, 召(魂)
"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
convoke,vt. 召集...开会
provoke,"vt. 激怒, 惹起, 诱导
"
yoke,"n. 轭, 牛轭, 束缚
vt. 给...上轭, 连接, 结合, 使匹配
vi. 结合, 匹配
"
bale,"n. 包, 捆, 货物, 灾难
vt. 打包, 捆包"
hale,"a. 强壮的, 矍铄的, 健壮的
vt. 猛拉, 拖曳"
finale,"n. 结局, 最后乐章, 终曲"
rationale,"n. 基本原理
"
chorale,n. 赞美诗
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
imperturbable,"a. 沉着的, 泰然自若的, 镇静的"
implacable,"a. 不能安抚的, 难和解的, 不变的"
impeccable,"a. 无懈可击的, 勿容置疑的, 无瑕疵的, 不会做坏事的"
irradicable,a. 不能根除的
applicable,"a. 合适的, 可应用的
"
amicable,"a. 友善的, 友好的
"
despicable,"a. 可鄙的, 卑劣的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
dependable,"a. 可信任的, 可靠的, 可信赖的"
agreeable,"a. 令人愉快的, 同意的
"
malleable,"a. 有延展性的, 可锻的
"
permeable,"a. 有渗透性的, 能透过的
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
ineffable,"a. 无法形容的, 不可言喻的, 避讳的"
unimpeachable,"a. 无懈可击的, 无可指责的, 无过失的"
imperishable,"a. 不灭的, 不朽的"
appreciable,"a. 可感知的, 可评估的"
pliable,"a. 易弯的, 柔顺的, 圆通的"
amiable,"a. 亲切的, 和蔼可亲的
"
friable,"a. 易碎的, 易成粉末的, 脆弱的
"
viable,"a. 能养活的, 能生长发育的
"
unassailable,"a. 攻不破的, 不容置疑的, 无懈可击的
"
estimable,"a. 可尊敬的, 可估计的"
inalienable,"a. 不能让与的, 不能转售的, 不能夺取的, 不可分割的"
amenable,"a. 服从的, 会接纳的, 有义务的
"
tenable,"a. 可守的, 站得住(脚)的, 合理的, 成立的"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
interminable,"a. 无限的, 冗长的"
unexceptionable,"a. 无懈可击的, 极好的, 完美无缺的"
personable,"a. 风度好的, 讨人喜欢的, 具有行为能力的"
palpable,"a. 可感知的, 明显的, 触摸得到的
"
culpable,"a. 该责备的, 有罪的
"
unflappable,"a. 不慌张的, 镇定的"
arable,"a. 适于耕种的, 可耕的"
considerable,"a. 相当的, 可观的, 重要的"
ponderable,"a. 可估量的, 可称量的, 有重量的
n. 值得估量的事物"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
deplorable,"a. 可叹的, 悲惨的, 凄惨的"
favorable,"a. 有利的, 赞许的, 良好的"
inexorable,"a. 无情的, 冷酷的"
impenetrable,"a. 不能通过的, 不可理喻的, 费解的, 顽固的"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
palatable,"a. 美味的, 好吃的, 可口的
"
redoubtable,"a. 可怕的, 厉害的, 可敬的"
tractable,"a. 驯服的, 易于管教的
"
ineluctable,"a. 不可避免的, 无法逃避的"
inimitable,"a. 无法仿效的, 独特的, 无比的"
inevitable,"a. 不可避免的, 必然的
"
potable,"a. 适于饮用的
n. 饮料"
immutable,"a. 不可变的, 不变的, 不能变的"
scrutable,"a. 可解读的, 可以了解的"
equable,"a. 平静的, 变动小的"
babble,"vi. 牙牙学语, 喋喋不休
vt. 唠叨, 吐露
n. 儿语, 胡言乱语, 嘈杂声
"
dabble,"vi. 玩水, 拨弄, 涉猎
vt. 溅湿"
rabble,"n. 乌合之众, 暴民, 下层社会, 长柄耙
vt. 聚众闹事, 用拨火棍搅动"
nibble,"n. 少量食物, 细咬, 轻咬, 啃
v. 一点一点地咬, 细咬, 吹毛求疵
"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
quibble,"n. 遁词, 双关语
vi. 吹毛求疵, 争吵, 说模棱两可的话
vt. 对...诡辩"
gobble,"n. 火鸡叫声
vt. 狼吞虎咽
vi. 贪食, 咯咯叫"
hobble,"vi. 蹒跚
vt. 使跛行, 阻碍
n. 跛行"
wobble,"n. 摆动, 摇晃, 不稳定, 抖动
vi. 摇晃, 摇摆, 游移不定
vt. 使摇摆, 使颤动"
feeble,"a. 微弱的, 衰弱的, 无效的
"
invincible,"a. 不能征服的, 无敌的"
irascible,"a. 易怒的, 暴躁的"
edible,"n. 食品, 食物
a. 可食用的"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
incorrigible,"a. 无药可救的, 积习难改的
n. 不可救药的人"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
intangible,"a. 难以明了的, 无形的
"
fungible,"a. 可取代的, 代替的
n. 代替物"
indelible,"a. 难以消除的, 不能拭除的, 难忘的"
fallible,"a. 易错的, 可能犯错的"
foible,"n. 弱点, 缺点"
insensible,"a. 不知的, 昏迷的, 无知觉的, 冷淡的
"
ostensible,"a. 表面的, 假装的, 看得出的
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
compatible,"a. 能共处的, 可并立的, 适合的
"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
incontrovertible,"a. 无争论余地的, 无疑的, 明白的
"
combustible,"a. 易燃的, 燃烧性的, 易动激情的
n. 易燃物, 可燃物"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
amble,"n. 马的缓行步态, 缓行漫步
vi. 马缓行, 从容漫步"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
ramble,"n. 漫步, 随笔
vi. 漫步, 漫谈, 漫游, 蔓延
vt. 闲逛于"
dissemble,"v. 掩饰, 假装不知道"
bumble,"vi. 结结巴巴地说, 犯大错, 踉跄, 跌倒"
fumble,"n. 摸索, 笨拙的行动, 漏球
vt. 摸索, 乱摸, 笨拙的处理, 漏接(球)
vi. 摸索, 笨手笨脚, 漏球"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
mumble,"n. 喃喃而语, 咕哝
v. 喃喃而语, 咕哝"
grumble,"n. 怨言, 满腹牢骚
vi. 抱怨, 发牢骚, 发隆隆声
vt. 抱怨"
ennoble,"vt. 授予爵位, 使高贵"
garble,"vt. 断章取义, 混淆
"
warble,"n. 用颤音唱的歌, 鸟啭, 颤声
v. 鸟鸣, 用柔和的颤声唱"
voluble,"a. 流利的, 健谈的, 易旋转的, 缠绕的"
debacle,"n. 崩溃, 大失败"
manacle,"n. 手铐, 束缚
vt. 给...上手铐, 束缚"
pinnacle,"n. 小尖塔, 尖峰, 高峰, 极点
vt. 造小尖塔, 置于尖顶上"
saddle,"n. 鞍, 马鞍, 车座, 鞍状物
vt. 装以马鞍, 使负担
vi. 跨上马鞍"
waddle,"vi. 摇摇摆摆地走, 蹒跚而行
n. 蹒跚"
meddle,"vi. 干涉, 干预, 擅自摸弄
"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
mollycoddle,"n. 女性化的男人, 娇生惯养的人, 伪善的人
vt. 溺爱, 娇养"
befuddle,"vt. 使昏沉, 使迷惑, 使糊涂"
wheedle,"vt. 以甜言蜜语诱惑, 用甜言蜜语骗
vi. 用甜言蜜语哄骗"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
bridle,"n. 马勒, 约束
"
kindle,"vt. 点燃, 使着火, 引起, 照亮
vi. 着火, 激动, 发亮"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
swindle,"n. 骗取, 欺诈, 骗局
v. 骗取, 诈取"
doodle,"vi. 涂鸦, 混时间
n. 傻子"
dawdle,"v. 游手好闲, 混日子"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
waffle,"vi. 胡扯, 闲聊
n. 华夫饼干, 胡扯
"
muffle,"n. 低沉的声音, 拳击手套, 唇鼻部, 围巾, 头巾
vt. 围裹, 抑制, 发低沉的声音"
ruffle,"n. 皱褶, 波纹, 生气, 混乱
vt. 弄皱, 触怒, 洗(牌), 连续轻擂(鼓)
vi. 起皱, 发脾气, 连续轻擂"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
boggle,"vi. 犹豫, 踌躇, 吃惊, 搪塞
vt. 搞坏
n. 犹豫, 吃惊"
goggle,"n. 眼睛瞪视, 护目镜
a. 突出的, 瞪眼的
vi. 瞪眼看, 眼珠转动
vt. 使瞪眼, 使眼珠转动"
inveigle,vt. 诱骗；诱使
mangle,"vt. 乱砍, 损坏, 轧布
n. 轧布机"
wrangle,"vi. 争论, 口角
vt. 辩驳, 放牧
n. 口角, 吵嘴"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
entangle,"vt. 使纠缠, 卷入, 使混乱"
mingle,v. (使)混合
commingle,v. 混合
bungle,"v. 拙劣地工作, 粗制滥造, 把...搞糟
n. 粗劣, 失误, 笨拙"
labile,"a. 不安定的, 易发生变化的
"
facile,"a. 容易的, 灵巧的, 温和的"
domicile,"n. 住所, 住宅
v. (使)定居"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
fragile,"a. 易碎的, 脆的
"
simile,"n. 明喻, 明喻说法"
rile,"vt. 搅浑, 惹怒, 使焦急"
sterile,"a. 不毛的, 不孕的, 无菌的, 贫瘠的, 无效的, 枯燥的
"
puerile,"a. 孩子气的, 天真的, 未成熟的
"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
versatile,"a. 多才多艺的, 万用的, 万向的"
tactile,"a. 触觉的, 有触觉的
"
ductile,"a. 易延展的, 韧性的, 易教导的
"
motile,"a. 能动的, 运动表象型的
n. 运动表象型"
futile,"a. 无用的, 琐细的, 不重要的"
guile,"n. 狡猾, 狡计"
beguile,vt. 诱骗
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
"
servile,"a. 奴隶的, 奴性的, 卑屈的"
shackle,"n. 桎梏, 束缚物
vt. 加枷锁, 束缚"
ramshackle,"a. 象要倒的, 摇晃的, 放荡的"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
heckle,"vt. 诘问, 以麻梳梳理, 激烈质问
n. 针排"
fickle,"a. 变幻无常的, 浮燥的, 薄情的"
trickle,"n. 滴, 细流
vi. 滴, 细细地流
vt. 使滴, 使小量流动
"
rankle,"vi. 化脓, 怨恨
vt. 使怨恨"
hyperbole,n. 夸张法
condole,"vi. 哀悼, 慰问, 吊唁"
cajole,"vt. 以甜言蜜语哄骗, 勾引"
rigmarole,"n. 冗长的废话, 繁琐费时的手续
a. 冗长的, 无条理的"
console,"vt. 安慰, 藉慰
n. 控制台
"
disciple,"n. 弟子, 门徒"
rumple,"v. 弄皱, 弄得乱七八糟
n. 皱纹, 皱褶"
crumple,"vt. 弄皱, 压皱
vi. 崩溃, 变皱"
supple,"a. 柔软的, 逢迎的, 顺从的
vt. 使柔软, 使顺从"
scruple,"n. 踌躇, 犹豫, 微量
vi. 踌躇, 有顾忌"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
dismantle,"vt. 拆除...的设备, 分解, 去除覆盖物"
disgruntle,vt. 使不高兴
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
apostle,"n. 基督十二使徒之一, 早期基督教传士"
bustle,"n. 喧闹, 裙撑
vi. 奔忙, 喧闹
vt. 使忙碌, 催促"
rustle,"n. 沙沙声, 瑟瑟声, 飒飒声, 急忙
vi. 发出沙沙声
vt. 使飒飒作响"
mettle,"n. 气质, 耐力, 勇气"
nettle,"n. 荨麻
vt. 以荨麻刺, 激怒"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
mottle,"vt. 使呈杂色
n. 杂色, 斑点"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
embezzle,"vt. 盗用, 挪用
"
guzzle,"v. 狂饮, 暴食, 喝酒化掉(钱)"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
acme,"n. 顶点, 极度, 最高点
"
sublime,"a. 高尚的, 壮观的, 卓越的
v. 提高, (使)变高尚, (使)纯化, (使)升华
n. 庄严, 崇高, 顶点"
mime,"n. 哑剧, 小丑, 滑稽戏
v. 摸拟表演
"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
noisome,"a. 有害的, 恶臭的, 有毒的, 可厌的, 令人不快的"
winsome,"a. 引人注目的, 迷人的, 可爱的"
cumbersome,"a. 笨重的, 麻烦的, 累赘的"
lissome,"a. 柔软的, 敏捷的"
bane,"n. 祸根, 毒药, 灭亡的原因, 灭亡
"
urbane,a. 彬彬有礼的
hurricane,"n. 飓风, 暴风, 暴风雨"
arcane,"a. 神秘的, 晦涩难解的"
mundane,"a. 现世的, 世俗的, 宇宙的"
profane,"a. 世俗的, 不敬神的, 亵渎的
vt. 亵渎, 玷污"
germane,"a. 关系密切的, 有关的, 同样的, 恰当的, 贴切的
"
inane,"a. 空虚的, 愚蠢的, 空洞的
n. 空洞乏物"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
serene,"a. 宁静的, 沉着的, 安详的, 晴朗的
n. 晴朗, 平静"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
saturnine,"a. 沉默寡言的, 阴沉的, 铅中毒的
"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
repine,"vi. 抱怨, 发牢骚, 向往"
opine,"v. 想, 以为"
supine,"a. 仰卧的, 掌心向上的, 懒散的
"
saccharine,"a. 糖的, 含糖的, 产糖的, 极甜的, 过甜的, 太甜的, 奉承的, 讨好的, 和颜悦色的
n. 糖精"
elephantine,"a. 象的, 巨大的, 粗笨的"
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
byzantine,"a. 拜占庭帝国的, 拜占庭式的"
serpentine,"a. 蛇的, 层层卷绕的, 阴险的, 迂回的
n. 蛇纹石, 弯弯曲曲之物
vi. 蜿蜒
vt. 使迂回曲折地行进"
libertine,"n. 放荡者, 玩乐者, 浪子, 自由思想家
a. 放荡的"
predestine,"vt. 预定, 注定"
clandestine,"a. 偷偷摸摸的
"
philistine,"n. 庸人, 门外汉, 仇敌, 俗气的人
a. 俗气的, 无教养的"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
sanguine,"a. 血红色的, 满怀希望的, 乐观的
n. 血红色, 红粉笔
vt. 用血沾污, 血染"
condone,"vt. 赦, 宽恕
"
hone,"n. 磨刀石, 抱怨, 想念
vt. 用磨刀石磨, 磨练"
drone,"n. 雄蜂, 懒惰者, 嗡嗡的声音, 无人驾驶飞机(或船)
vi. 嗡嗡作声, 混日子
vt. 低沉地说"
chaperone,"n. 年长女伴
vt. 伴护"
atone,"vi. 补偿, 弥补
"
jejune,"a. 贫弱的, 不毛的, 无味干燥的, 不成熟的"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
prune,"n. 洋李, 李子干, 深紫红色, 傻瓜
vt. 修剪, 砍掉, 删除
vi. 删除, 删节"
importune,"vt. 强求, 硬要
vi. 强求, 纠缠"
opportune,"a. 恰好的, 时机适宜的, 适当的"
attune,"vt. 为乐器调音, 使协调, 使合拍"
anodyne,"n. 止痛药, 镇痛剂
a. 止痛的"
agape,"a. 张口发呆的, 目瞪口呆的
adv. 张口发呆地, 目瞪口呆地"
shipshape,"a. 整洁干净的, 整整齐齐的
adv. 整洁地, 整齐地"
jape,"n. 戏言, 笑料, 嘲弄
vi. 开玩笑
vt. 嘲弄"
gripe,"n. 紧握, 柄, 把手, 控制
vt. 抓紧, 抱住, 使肠痛, 激怒
vi. 肠绞痛, 抱怨"
trope,"n. 转义, 比喻"
dupe,"n. 傻瓜, 易受骗的人
vt. 欺骗, 愚弄"
archetype,n. 原型
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
prototype,"n. 原型
"
threadbare,"a. 衣服磨薄了的, 穿旧了的, 衣着褴褛的, 俗套的, 乏味的"
snare,"n. 陷阱, 诱惑, 圈套
vt. 以陷阱捕获, 诱惑"
macabre,"a. 以死亡为主题的, 可怕的"
mediocre,"a. 不好不坏的, 通常, 平凡的"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
sere,"a. 干枯的
n. 演替系列"
austere,"a. 严峻的, 禁欲的, 简朴的"
revere,"vt. 崇敬, 敬畏, 尊敬"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
doctrinaire,"n. 空论家, 纯理论家, 教条主义者
a. 空谈理论的, 脱离实际的"
dire,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
backfire,"n. 逆火, 回火, 放火
vi. 放逆火, 预先放火, 发生意外"
mire,"n. 泥沼, 泥泞
vt. 使陷于泥泞, 使陷入困境
vi. 掉进泥坑"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
acquire,"vt. 获得, 学到
"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
sinecure,"n. 闲职
"
epicure,"n. 美食家, 讲究饮食的人"
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
transfigure,"vt. 使变形, 使改观, 美化"
abjure,"vt. 发誓断绝, 公开放弃
"
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
immure,"vt. 监禁, 禁闭"
inure,"vt. 使习惯于
vi. 生效"
censure,"n. 责难
vt. 非难, 指责"
reassure,"vt. 使...安心, 向...再保证
"
caricature,"n. 讽刺画, 漫画, 漫画手法
vt. 画成漫画讽刺"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
stature,"n. 身材, 身高, 高度
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
conjecture,"n. 推测, 猜想, 揣摩
v. 推测, 猜想, 揣摩
"
stricture,"n. 狭窄, 指责, 束缚
"
divestiture,"n. 剥夺, 脱衣
"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
overture,"n. 主动表示, 事件的开端, 序言, 提议, 提案, 初步交涉
vt. 提议, 为...奏前奏曲"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
suture,"n. 缝合, 缝合处, 缝合线
vt. 缝合"
abase,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑"
debase,"vt. 贬低, 降低"
showcase,"n. 陈列橱
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
blasé,无
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
malaise,"n. 不舒服
"
imprecise,"a. 不严密的, 不精确的, 不明确的"
exorcise,"vt. 驱邪, 除怪"
paradise,"n. 天堂, 乐园, 伊甸园"
enfranchise,"vt. 给予自治权, 给予选举权, 解放
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
surmise,"n. 推测, 猜测
v. 推测, 臆测"
despise,vt. 轻视
apprise,vt. 通知
improvise,"vt. 即席创作, 临时做"
repulse,"n. 击退, 拒绝
vt. 厌恶, 击退, 拒绝"
incense,"n. 香, 香气, 奉承
vi. 焚香
vt. 用香焚, 使发怒"
pretense,"n. 借口, 虚假, 伪装"
verbose,"a. 用字多的, 冗长的, 累赘的
"
metamorphose,"vt. 使变形, 使变态, 使变质
vi. 变形, 变质"
grandiose,"a. 宏伟的, 壮丽的, 夸张的
"
lachrymose,"a. 爱哭的, 悲哀的"
footloose,"a. 自由自在的, 能做所要做的, 不受束缚的"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
repose,"n. 休息, 睡眠, 静止
vt. 使休息, 寄托于
vi. 休息, 长眠, 静卧, 座落, 依靠, 信赖"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
discompose,"vt. 使不安, 使烦乱, 使烦恼"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
morose,"a. 郁闷的, 孤僻的"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
relapse,"n. 回复, 故态复萌, 复发
vi. 故态复萌, 再陷邪道, 再度堕落"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
terse,"a. 简洁的, 扼要的"
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
averse,"a. 不愿意的, 反对的"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
remorse,"n. 懊悔, 良心不安, 自责, 同情
"
largesse,"n. 慷慨的赠与, 慷慨赠与物, 慷慨的赏钱"
finesse,"n. 策略, 手段, (桥牌中的)飞牌
v. 用计谋处理, 出小牌"
applause,"n. 鼓掌, 喝彩, 赞许"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
disabuse,"vt. 解迷惑, 使省悟"
defuse,"vt. 去掉...的引信, 平息"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
suffuse,"vt. 遍布, 弥漫, 充满"
infuse,"vt. 注入, 使充满, 泡制, 鼓舞
vi. 泡"
recluse,"a. 隐遁的, 偏僻的
n. 隐遁者, 遁世者"
douse,"vt. 插入水中, 浇(或洒、泼)水在...上, 熄(灯、火等), 平息
vi. 浸泡
n. 泼洒"
espouse,"vt. 支持, 赞成, 嫁, 娶
"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
carouse,"n. 喧闹的酒会或宴会
vi. 痛饮, 畅饮"
ruse,"n. 计策, 谋略, 诡计
"
peruse,"vt. 熟读, 精读, 阅读, 仔细研究"
abstruse,"a. 难解的, 深奥的"
obtuse,"a. 钝的, 不锋利的, 愚钝的
"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
reprobate,"n. 堕落的人, 恶棍, 被神遗弃的人
a. 堕落的, 邪恶的
vt. 斥责, 非难, 拒绝"
