find out,"na. 查出；发现；看清…的面目；识破
"
refer to,"v. 查阅；提到
"
a succession of,"一系列,一连串,接连不断的"
no longer,不再
race against,与…竞赛
race with,与…竞赛
to a great extent,在很大程度上
out of fashion,"不合时尚,不时兴的,过时"
worth doing sth., 值得做；物有所值
in decline,在下降
judge from,根据〔由〕…作出判断
in public,当众
cut out,"na. 割掉；除去；剪下；开辟
"
discriminate against,歧视
put in place,"n. 安装
"
have a bone to pick with ...,"对…不满, 对…有抱怨"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
sweep through," （使）扫过…, （使）掠过…, （使）迅速传遍于…"
go forth,"向前去, 被发表"
intend to,"打算(做)..., 想要(做)..."
tend to,"注意, 趋向"
be likely to,"有可能…,很可能…"
attach importance to sth.,重视
attach significance to sth.,无
stem from,"起源于,出自,出身于…"
introduction to ...,[网络] 介绍；入门；引言
be rooted in,深植于
belong to,属于
due to,"由于, 应归于"
immune from,无
prior to,"在前, 居先
"
short of,"缺乏, 达不到, 除...以外"
be supposed to do sth., 应当，应该
ought to,应该
conform to,"符合, 遵照"
center around,集中围绕
center on," 以…为中心; 重点在于…, 主要与…有关"
center upon,无
play a role in,在...起作用
recall doing sth.,无
be desperate for, 极渴望
stare at,"凝视, 盯住"
turn the corner,"拐弯, 转危为安"
in due course,"及时地, 在适当时
"
base on,"v. 根据
"
at least,"至少
"
carry on,"继续开展, 行为愚蠢(或越轨)
"
linger on,"停留,存留,逗留,拖延"
set in,"na. 固定；停当；涨潮；进来
"
log in,[计] 注册
log on,"[计] 注册, 登录, 登录入网"
in vain,"徒然
"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
in return,作为报答
in contrast,"比较起来, 相反地, 而"
by contrast,"对比起来, 与之相比, 相反地"
with caution,小心地
with delight,"高兴地, 乐意地"
according to,"根据, 按照；取决于；据…所说"
fail to, 未能…
refuse to,拒绝
be accustomed to,习惯于
threaten to,无
complain about,抱怨
compare with,"比较…,跟…相比,比得上…"
depend on,"依靠, 依赖"
infer from,从…中推导出
be to blame,该受责备
lose interest in,对…失去兴趣
associate with,"v. 与…联系
"
have influence upon,无
have influence on,[网络] 对某物施加影响；对……产生影响；有影响
have effect upon,无
have effect on,对…有影响
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be reliant on,"信赖,依靠"
take ... into consideration,"v. 顾及
"
be faced with,"面对,面临着…"
begin to do sth., 开始做某事
plan to do sth.,[网络] 计划做某事；打算做；计划干某事
be available to,可被...利用或得到的
seem to,似乎，好象；看起来
impose on,"v. 强迫；欺骗
"
introduce ... to ...,[网络] 介绍；介绍给；向……介绍
contribute to,捐献
set an example for,[网络] 为……树立榜样；为某人树立榜样；为……建立表率
sense of responsibility, 责任感
take a toll on, 夺去
make improvement,无
on the road to,"un. 在旅途中；要；在…过程中
"
admit ... to,准许进入
admit ... into,允许(某人)进入…
suggestion on,无
be prepared for,为…作好了准备
get prepared for,无
at the end of,"在…末尾,在…结束时"
by this means,用这种方法
be angry at,发怒
be fatal to,对…危害极大
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
distract one's attention,无
interfere in,"干预,干涉,介入"
be distinct from,与…不同
a sort of,"一种,某种,勉强称得上的…"
at first glance," 一看就, 初看, 乍看起来"
deprive ... of,"un. 剥夺
"
make compromises,妥协
live off,"以...为食料, 靠...生活"
be skeptical of,无
become skeptical of,无
be skeptical about,无
become skeptical about,无
gain control over,无
get control over,无
have control over,能控制...
in store,"贮藏着, 保存着, 准备着, 将要发生
"
come in,"进来, 到达, 流行起来, 当选, 到手
"
between jobs,[网络] 失业；待业中；工作之间
pass through,"通过..., 透过..., 穿过..., 流过..."
on the rise,"在上涨, 在增长"
be located in,"坐落于..., 位于..."
in no time,立刻
conclude from,从…中得出; 推断
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
live by,靠…为生
encounter with,偶然遇见，偶然碰到(朋友等)；遭逢(敌人等)；遭遇(危险等)；与…冲突
cut corners,抄近路
for free,免费地
fair play,"公平比赛, 公平条件
"
meet one's need,满足某人的需要
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get ahead,"领先, 走在前面, 进步, 获得成功"
in any case,无论如何
bring ... under control, 置于…控制之下，把…控制住; 收服; 制伏; 制服
get ... under control,无
in agreement with,"同意,与…一致"
wear away,"磨损, 流逝, 消磨, 虚度"
by means of,依靠
be resistant to,"抵抗...的, 对...有耐药力的"
in light of,"按照, 根据"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
in a manner,"在某种意义上,有几分,多多少少,可以说"
take pains,"尽力, 耐心"
put a premium on,"奖励, 鼓励, 重视"
place a premium on,"诱发,鼓励"
set a premium on,无
add to,"na. 增加
"
on loan,"出借,借出,供出借"
on loan from,无
push aside,"v. 推开
"
take apart,"na. 分解；拆分；剖析
"
at best,"na. 充其量也不过
"
sit up,"坐起, 端坐, 熬夜, 诧异"
bad debt,[会计] 坏帐；[会计] 呆帐
resign from,辞职
detach from,使从…分离(或分开、脱离、拆开)
cut across,抄近路通过
speak for,"代表...讲话, 要求得到, 订购"
elite school,[网络] 名校；各大名校；精英学校
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
break away,"突然离开, 脱离, 放弃"
break away from,"摆脱,脱离"
let ... in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
at the thought of,一想起
be wrapped up in,"被包藏于, 埋头于, 与...有关系"
box office,"票房, 票房收入"
be crucial to,[网络] 对……至关重要；决定性的；重要的
stick up for,"支持, 维护"
by mistake,由于差错
not have a leg to stand on,"(论点等)站不住脚, 对行为无合理的解释等"
fall behind,"落在后面, 拖欠"
take care," 当心, 小心; 坚持到底"
for ever,"永远, 老是"
so as to,"使得, 以致"
fall apart,"崩溃, 土崩瓦解"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
sit on,"为...的一员, 开会讨论, 审理, 拖延, 管教
"
in the world,在世界上
as regards sb.,"关于, 至于"
as regards sth.,"关于, 至于"
step up,"v. 加紧；走上前；登上；增加
"
for sure,确实
in case,万一
just in case, 以防万一
date back to,"始于,可以追溯到…"
put forth,"放出, 发表, 颁布, 提出, 发挥, 起航"
tie down,"v. 束缚
"
on thin ice,如履薄冰
be stuck in, 困于，停止不前，动弹不得
be fascinated with,无
switch off,"切断
"
spell out,"na. 详细说明；【印】正式拼写
"
virtual currency, 虚拟货币
move up,"向前移动, 上升
"
tear apart,"v. 弄乱；撕破
"
be soft on,"爱上
钟情于
对......温柔"
back down,"放弃要求, 取消前言"
keep up,"na. 支持；保持；继续；停歇
"
in the eyes of,在...心目中
fasten ... to,"系〔拴, 扣〕在…上"
fasten ... onto,"纠缠,紧抓不放,牢牢地固定在…"
set about sth.,"开始, 散布
"
set about doing sth.,[网络] 着手做某事；开始做；着手干
reach a consensus, 达成共识
shift from ... to ...,无
fail at,无
a version of,无
sit out,"na. “sit through”的变体
"
sit through,"坐着捱到结束, 耐着性子看完"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
less than," 小于, 决不; 以内; 没有; 不足"
in the small hours, 凌晨
sooner or later,迟早
more or less,或多或少
what is more,而且
have faith in,"na. 相信
"
at the cost of,以...为代价
vote for,"[法] 赞成, 投票赞成, 选举"
by hand,用手
take effect,"见效, 生效
"
be liable for,"有...责任, 有...义务"
bed down,"安排(人/动物)舒服地睡觉, 使自己舒服地睡觉"
snatch at,抓取
pour into,[化] 注入
every so often,"时常, 常常, 不时"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
scream at,朝…大叫大嚷; 责备
start over, 重新开始
stick by,忠于
strive to, 力图；力求
come off,"发生, 举行, 表现, 结果"
make a complaint,抱怨
talk over,"na. 商谈；说服
"
fill in,"na. 填充；填写；同“fill”
"
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
take away,"adj. 买回去的
"
be tolerant of,"忍耐,容忍,对…有忍耐力"
straight away, 立即; 马上
not in the least,"绝对不, 一点也不"
rush through,"匆忙做完,草草完成;掠过"
come down to,"流传下来;压缩为,归结为,简化为"
out of condition,"健康状况不好, 保存得不好"
package deal,"一揽子交易
"
suitable for,适合...的
suitable to,无
keep one's eyes open,"注意, 留心"
keep one's ears open,留心听
prejudice against,使对…抱有偏见
root cause,[网络] 根本原因；根源；问题根源
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
as far as sb. be concerned,"就…来说, 就…而论"
pay back,"na. 偿还；报答；向…报复；付还
"
bond with sb.,无
hand in,"na. 交进
"
come under,"归入, 遭受"
drive away," 驱车离开; 把…驱开, 赶走; 祛"
buy up,"na. 囤积；整批收购；购进(其他公司)
"
be in the grip of sth.,"na. 被…支配
"
stop over,[经] 中途停留
stop over at,v. 中途在…停留
stop over in,无
for the time being,暂时
feel like sth.," 摸起来像是…, 有…的感觉; 想要…"
feel like doing sth.,想要(做)...
have an advantage over,"胜过,比…优越"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
time after time,"多次, 反复, 不断地"
attuned to,[网络] 协调
behind the scenes,"在后台, 在幕后
"
in memory of,纪念...
take cover,"隐蔽, 躲藏"
in search of,寻找
tear into,"洞穿, 猛攻"
around the world,"全世界,遍及全世界,世界各地"
sit back,"不采取行动, 向后靠着坐"
take after,"像, 学样
"
do justice to,"公平对待, 适当处理"
distinguish ... from,"v. 区别,识别"
wish for,"盼望, 企求"
walk up,"沿...走, 走上"
wash up,"洗手洗脸, 洗餐具"
no other than,"na. 就是；只有
"
on record,"记录在案, 在历史记录中
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
go up,"上升, 兴建"
win over,"na. 争取过来
"
go into,"进入, 加入, 探究, 变得, 进入...状态
"
count for ...,"有价值,起作用"
take steps to do sth.,[网络] 着手落实；采取措施做某事；采取步骤做某事
spring up,出现
abide by, 遵守; 信守; 忠于（某人）; 接受
couple ... with ..., 与…连接在一起
in quest of,为了追求...
seek out,"搜出, 挑出"
search through,把…仔细搜寻一遍
tell the truth,说实话
waste away, 变得衰弱[消瘦]; 铄
the advent of,(重要人物或事件)…的出现(或到来)
benefit from,从…获利
warn of,"na. 警告(某人)有危险
"
at the height of,在…最盛的时候
fall for," 上当, 听信; 爱上"
a series of,"一系列..., 一批..."
above all,"尤其是, 首先"
eminent scholar,无
train of thought,[医] 思潮
agree on,"就…取得一致意见,商定"
enroll in,"登记,报名参加"
watch out,"密切注意, 当心, 戒备, 提防"
watch out for,"戒备, 提防, 密切注意"
engage in,"使从事于, 参加"
exchange for,用…换取
on impulse,一时冲动
for the most part,在极大程度上
a majority of,"大部分,大多数"
the majority of,大多数...
in order to, 为了…
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
switch on,"v. 打开；接通；参见
"
by far,显然
point of view,"观点
"
superior to, [医]adj.优于，胜于
on the surface,表面上
draw out,"na. 抽出；拔出；掏出；提出
"
the bulk of,"大半,大多数,大部分"
exclude ... from,[网络] 把…排斥于…之外；把……排除在外；同上但是使用档案
set a threshold for,无
designate ... as ...,把…称为；指定，定为；选派；任命；指定
real estate,"不动产
"
at the mercy of,受...支配
to the core,直至核心
take part in,"参与, 参加
"
be aware of,知道
burn out,"烧坏, 烧掉, 烧尽
"
back and forth,来回地
get the best of,"战胜,胜过,佔了…的上风;克服,克制"
in conflict, 有矛盾; 不一致
confine ... to ...,"v. 限于
"
specialize in,专门研究...
count on,"依靠, 指望"
the same as,"与...相同, 与...一致"
come to,"谈到, 被...继承, 苏醒, 停止"
over time,[计] 超时
fierce competition, 竞争激烈
show up,"na. 显眼；揭发；嘲笑；露面
"
restore one's bearings,无
suffer from,"忍受, 遭受
"
come in handy,派得上用场
make money,"挣钱
"
call forth,"引起, 使产生, 使起作用"
there and then,"当时当地, 当场就"
on the whole,"大体上, 基本上"
for one thing,首先
start with,从...开始
be characterized by,"具有...的特性, 其特性为..."
adhere to,"执着于,坚持,粘附于,信奉…"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
a variety of,"各种各样的..., 种种..."
get ready,准备好
flesh out,"na. 充实；使…具体化
"
far from,"远离, 远非"
as often as,每当
embark on,"从事, 着手"
embark upon,"开始,从事,着手"
at the expense of,"归...付费, 在损害...的情况下
"
in action,"在活动, 在运转"
close to,"接近于, 靠近于"
lead up to,"带到, 导致, 作为...的准备"
together with,"和, 加之"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
stay with,与...并驾齐驱
that is,(作插入语)那就是
that is to say,"就是, 即, 换句话说"
take into account,"na. 考虑
"
take ... into account,"na. 考虑
"
in the short term,短期内
throw into,投身于
all but,"几乎, 差一点"
earn one's living,"谋生, 维持生活"
treat to,[网络] 款待；招待；请客
beyond dispute,"没有争论余地, 无疑地
"
slip in,悄悄溜入；偷偷溜进去
saturate ... with,使饱和
cope with,"与...竞争, 应付, 处理"
crack down," 采取严厉措施, 制裁; 打击"
crack down on,"制裁, 镇压"
live in,住进
stay put,"装牢, 留在原处不动"
be fond of,"喜爱, 爱好"
to be fair, 公平地说
even if,即使
even though,"虽然, 尽管"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
do without,没有...也可以
come about,"发生, 改变方向"
comment on,评论
a number of,许多的
by nature,天生地
bring out,"na. 公布；说出；出版；上演
"
make no difference,没有影响
to say nothing of,"更不待言, 以及"
obstacle to,[网络] 纪念碑；障碍；的障碍
at length,"最后, 详细地"
apart from,除了...之外
more often than not,"多半, 通常"
in particular,特别
nothing but,只
appeal to,[法] 诉诸...
on paper,"以书面形式, 在名义上"
in relation to,"关于, 涉及"
with relation to,"关于, 涉及, 有关"
in spite of,不管
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
from the bottom up,从下到上
from time to time,有时
put pen to paper,落笔
under ... conditions, [法]下列情形
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
over the years,"在这几年中, 在那几年中"
if only,只要
agree with,"同意…,与…意见一致;适应…"
boast of,吹嘘;引以自豪地拥有
boast about,自夸
enthusiasm for,"热爱…,热心于"
view ... as ...,"把...看作..., 认为...是..."
at random,"胡乱地, 随便地
"
in a row,"成一长行, 连续, 一连串"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
historical prejudice,无
slacken off, 松懈下来; 变迟缓; 松驰; 减弱
follow through,坚持到底
thanks to,由于
be tied to,"被束缚于…,与…紧密联系在一起"
in combination with,与...结合
arouse controversy,无
with respect to,"关于..., 至于...
"
occur to,…发生在; 被想起〔到〕
in contact with,与...在接触中
be forced to, 被迫做某事; 不得已; 迫不得已; 只好
combine with,与...结合
extract ... from,从…中提取
by and large,"大体上, 基本上"
formal education,正规教育
be suited for,适合…
and so on,等等
and so forth,等等
pay rise,[网络] 加薪；涨工资；增加工资
pay raise,[网络] 加薪；增加工资；调高薪资
be open to,"对...开放, 愿接受...的"
within reason, 在合理范围内; 不过分
click on, 点击鼠标
of course,当然
in the process of,在...的过程中
lie down,躺下
decorate ... with ...,"v. 装饰以
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
arrive on the job,无
be equal to,"胜任, 相等, 合适"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
side effect,"副作用
"
either ... or ...,adv. 不是…就是…，…或…，要么…要么…
on the side,"作为兼职, 另外"
drop by,随便访问
drop in,顺便走访
be proficient in,"熟练, 精通"
be equivalent to,"[计] 等价的, 等效的, 等值的"
to the point,"中肯, 扼要"
straight up,"真的,确实"
in business,"在营业,在生产,在做生意"
dream up,"na. 凭空想出；凭空捏造出
"
be at a standstill,停顿着
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
as to,"根据,按照,依照;关于,至于,就…而言"
lump together,把…合在一起(考虑)
put up,"adj. 预先商定的
"
bring together, 使相合[连接]; 使相识;  使坐在一起;  使会面
in keeping with,"与...一致
"
burst into,"闯入, 开出, 突然出现"
no more than,na. 某乙也不
financial assistance,[网络] 财政资助；经济援助；经济资助
as well,也
store away,"储存某物, 收起某物; 把…记在心里"
in common,共有
academic community,高等教育界;学术界;高等学校的全体师生员工
learn about,"学习,听说,得悉,了解"
integrate into,与…成为一体
integrate with,使与...结合
conflict with,"战斗, 冲突"
take to,"na. 嗜好；开始；参加；逃入
"
as well as,"也, 又"
at hand,"在手边, 在附近, 即将到来"
press for,"na. 催逼；(时间)迫促；(资金)短少
"
bear in mind,"na. 记住；铭记不忘；注意
"
keep in mind,"na. 记在心里；记住；注意
"
no matter how,不管如何
no matter what, 无论如何，不管怎样
no matter when,无论何时；不管何时
be made of,由...所组成
multiply by,"v. 乘
"
neither ... nor,[网络] 既不……也不；两者都不；均不
break down,"v. 分解；抛锚；分析；划分
"
in pursuit of, 追求，寻求
build up,"树立, 增进, 增大, 堵塞
"
gain profit,"获得利益,利润"
make profit,利
owe ... to,"v. 由于；把…归功于
"
decline in,在…方面逐渐衰弱(或败落)
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
all over,"全部结束, 到处, 浑身"
take ... as,"把...看作是..., 把...当作是..."
out of the way,"不挡道, 不恰当, 异常, 偏僻
"
act on,"按...行动, 作用于
"
stay out of,不参与…;不插手;置身于…之外
work through, （使）逐渐通过[穿过]; 完成; 解决; 闯过
soak up,"v. 吸取
"
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
"
beef up,"v. 加强
"
access to,有权使用
neglect of,疏忽
out of date,"过时的, 废弃的
"
a handful of,"一小撮,少数"
economic crisis,[经] 经济危机
be married to sb.,"和…结婚,嫁给"
at all costs,不惜任何代价
serve as,"被用作..., 充当..., 起...的作用"
know of,"知道,了解,听说过…"
know about,"知道,了解,听说过…"
the more ... the more,越…越…
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
subscribe to,"预订, 同意, 订阅"
be preferable to,比…更可取
a matter of,"...左右, ...上下, 只是...的问题而已, 只需, 大约"
ever since,从那时到现在
be conscious of,意识到...
have little use for,无
have no use for,"不需要, 厌恶"
transform ... into, 把…转变成…
give birth to,产生
easy game,"容易捕获的猎物,容易受骗的人,轻信的人"
put down to,[网络] 归因于；说…因而起；归因为
come to light,"na. 显露
"
civil servant,n. 文职人员; 公务员; 公仆; 联合国等机构的行政人员
give off,"na. 发散(水蒸气等)
"
bear out,"na. 证明
"
on the net,[网络] 在网上；网上资讯；网络上
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
multitudes of,[网络] 众多
pave the way for,为...铺平道路
take ... to heart, 以。。。为重
stock up,备货
spare no effort,"不遗余力, 尽力"
stick at,"迟疑, 犹豫, 坚持"
at will,"随意, 任意"
at all events,无论如何
not so much ... as,"conj. 甚至不
"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
call on,"号召, 呼吁, 约请, 访问"
call upon," 号召, 拜访; 省视"
come around,"来, 前来, 过访, 顺便来访, 笼络, 诱骗"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
make use of,使用
at sb.'s disposal,无
on the occasion of,值此...之际
be ready for,为…作好准备
as a matter of fact,事实上
at the latest,最迟
start out,"出发, 动身"
life sentence,n. 无期徒刑的判决
in a form,无
on short notice,一俟通知(马上就...)
single out, 挑选; 抉
better off, 比较富裕; 情况好转
fight off,"击退, 排斥, 避免"
burst upon,突然来到
burst on,突然来到
stop by,顺便访问
no wonder,不足为奇的
splash out,"溅出;随意花钱,大肆挥霍"
stand up for,"支持
"
take on oneself,承担
take upon oneself,"na. 负担；毅然
"
tidy away,"un. 把(某物)收藏起来:
"
for purpose of,为…的目的
for the purpose of, 为了，因…起见; 借以
on sale,"廉售的, 拍卖的"
wash out,"v. 洗掉
"
fit for, 给…量尺寸以便做…; 适于， 适合
fit to,[计] 调整到
night and day,夜以继日
get going,"na. 采取行动；出去；使某人发怒
"
in comparison with,与...比较
in competition with,[网络] 与…竞争；在与…竞争之中；与……比赛
sit in on,"列席, 旁听"
slip up,"疏忽
"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
take shape,"成形, 形成, 具体化"
at a loss,"困惑, 亏本地"
think out,"na. 想透；想出
"
think through,"na. 仔细考虑；全面考虑
"
turn a deaf ear,"对…根本不听,对…置若罔闻"
turn a deaf ear to,置若罔闻
warm to,"同情, 爱好"
on the hour,准点地
hand over,交出；移交
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
roll in,"蜂拥而来
"
win out,"获胜,完成,摆脱"
win through,"历尽千辛万苦获得成功,终于获胜"
be irrelevant to, 与。。。不相干，不切题
seem irrelevant to,无
differ in,在…方面不同
in cash,[经] 用现金
to begin with,首先
to start with,"作为开始, 首先"
put to use,"使用, 利用"
beyond one's ability,无
in the heart of,在…中心
cast aside,"na. 抛弃
"
take against,反对
show off,"炫耀, 卖弄, 使显眼"
bet on,v. 打赌
in broad daylight,"在大白天, 公开地"
work off,"v. 渐渐消除
"
keep a hold on,无
wall in, 筑墙围住
sleep off,"na. 睡过(时候)；睡掉(忧愁等)
"
stick out for,坚持索取
would sooner,"倒愿意…,宁愿…"
in high spirit,无
come and go,来来往往
on condition,接通条件
on condition that,"若是…, 以…为条件"
last but not least,最后但并不是最不重要的(一点)
come to nothing,终未实现
file for,"申请,报名参加"
be skilled at,擅长...
fight back,"抵抗, 回击"
have difficulty,有困难
have difficulty in,对…有困难
hold one's own,坚持住
drop to,下降到;跌到
talk sb. out of,[网络] 劝阻；说服某人不做某事；强迫同意或决定不做
come to life,苏醒
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
"
grow out of,"长得与...不相称, 因长大而丢弃"
inject into,把…注入身体; 给…添加
talk sb. into doing sth.,无
at worst,"adv. 无论怎样坏
"
at the worst,"在最坏的情况下, 充其量"
pass on,"na. “pass away”的变体；递；传达；通过
"
take root,"生根, 扎根"
top up,"n. 补充的饮料；收入补贴
v. 装满；充值
adj. 附加的
"
you bet,"你可确信, 的确, 当然"
tear at,撕扯
behind someone's back,背着(某人)
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
enter on,"正式开始, 着手, 开始考虑, 占有"
enter upon," 开始, 着手"
on line,"[经] (与主机)联机, 在线, 机内"
walk out,"罢工, 领出(某人), 退席
"
shut up,"关闭, 监禁, 住口, 保藏"
meet up, 偶然地碰到
meet up with sb.,偶遇
on purpose,"故意
"
equate with,[网络] 把…等同；看作相同；同等
be worthwhile to,无
keep up with,"跟上
"
tangle with,"v. 吵架, 争论"
be relevant to,与...有关
under ... circumstances,[网络] 即期
stand up to,"经得起..., 勇敢地面对, 抵抗"
close by,在附近
lie in,"在于..., 分娩, 睡懒觉"
cast about for sth.,四处寻找，设法找到；设法；筹划
cast around for sth.,＝ cast about (for)
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
so long,再见
take a hand in,"参与,介入"
have a hand in,"插手..., 参加, 分担"
count ... in,"na. 算入
"
give rise to,"引起, 使发生"
take a chance,冒险
start up,"突然站起, 突然出现, 发动, 开动"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
talk back,"顶嘴, 反驳"
take note," 重视, 注意"
take note of,注意到
take one's time,从容不迫
turn in,"v. 向里弯曲
"
for short,"简称, 缩写"
to perfection,完全地
be bound up with,与...有密切关系
close down,"关闭, 歇业, 停止播音"
upward of," 多于, 超过"
retreat from,"放弃, 退出"
be disappointed at,对…感到失望
convenient to do,无
if anything,如果(稍)有区别的话
on the move,"在活动中, 在发展, 活跃"
tear down,"na. 拆毁；扯下；猛冲
"
stand down,"离开证人席, 退出, 顺潮航行
"
be ignorant of,不知道
count as,"当成,算作"
on the point of,正要...的时候
reckon ... as,"〈非正〉被认作…, 被看作…"
reckon ... to be,无
hint at,暗示
come into effect,"开始生效
"
go into effect,"生效,开始实施"
in the matter of,"就...而论
"
think better of,"重新考虑后决定不做, 经考虑...改变主意
"
do one's best,尽全力
try one's best,尽力
use up,"na. 用完；耗尽
"
think highly of,"认为…很了不起,对…评价很高,非常看重"
think poorly of,"低估, 评价低"
now and then,偶尔
come by,"从旁边走过, 得到"
in words,口头上
abound in sth.,v. 富于; 盛产
abound with sth.,"充满,有大量的…,盛产…"
stand off,"疏远, 离岸, 避开
"
be content with,以...为满足
vote sb. in,"选出, 选举
"
tune in,收听
tune in to sth., 调谐，收听；收到
be proud of,"自豪, 高兴"
burn down,"烧成平地, 火力减弱
"
argue for,"支持,为支持…而辩论"
speculate about,思考关于…
speculate on,"考虑, 推测"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
spread out," 伸展, 延长; 分散; 铺设; 衍"
a train of,一连串
die out,"熄灭, 平息, 消失"
what is worse, 更糟的是
turn into,[网络] 了解
sit by,"坐在旁边, 守护照料, 无动于衷"
keep abreast of,保持与...并列
be abreast of,保持与...并列
fall victim to, 成为…的牺牲品
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
in the way,挡道
up to the minute,最新的
grip on,[网络] 握住
be opposed to,"反对..., 与...相对"
go by,"走过, 依照, 顺便走访"
on occasion,有时
tide over,"v. 帮…度过难关
"
sleep through,睡过头
acquaint with,"na. 把(事实)告知(某人)
"
last hurrah,最后的努力
take exception to,"反对
"
for certain,肯定地
step aside,避开
space out,隔开
in use,"在使用着, 在应用"
in abundance,"充足的, 很丰盛"
hardly ... when,一…就…
hardly ... before,一…就…
be in debt,"na. 借着…的钱
"
give credit to sb. for ...,无
turn a blind eye to,熟视无睹
rest with,取决于
watch over,"监督, 保护, 照管
"
on no account,决不
think over,"v. 仔细考虑
"
fill with,"v. 充满
"
out of doors,户外
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
tear away from,无
run wild,放肆
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
for anything,无论如何
not for anything,[网络] 绝不；决不；根本不
stick together,"团结友爱, 互相支持"
talk sense,"说话有道理
"
drag sb. down,"na. 挣工资；赚(钱)
"
drag sth. down,"na. 挣工资；赚(钱)
"
operate on,对...施手术
lead into,把…带入; 导致; (道路等)通向
hear from,"接到...的信, 受...批评"
on the table,"在桌面上, 公开地, 被提交讨论的"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
keep a close watch on,"密切注意, 关注"
cheer sb. on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer on sb.,"un. 欢呼；喝采；高呼加油:；为某人打气
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
vote against,[法] 投票反对
scale down,按比例减少；按比例缩小
distinguish between ... and ...,无
come into use,开始被使用
buy out,na. 出钱使某人出让地位
equip with, 装备，配备
keep one's word,守信
dry out," （使）变干, （使）干涸; <非正>（使）戒（酒、毒等）; 晾干"
have a good time,过得快乐
at intervals,"不时, 相隔一定距离"
time out,n. [体]暂停比赛时间; [计]超时
in the long run,"长远, 最后"
take action,"采取行动, 提出诉讼"
touch down,"攻方持球触地得分, (飞机着陆过程中)触地"
avail oneself of,利用；趁(机会)，借此(机会)
not ... at all,一点也不
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
think up,"na. 想出；〔口语〕发明
"
tear ... away,"na. 撕掉；扯开；飞跑
"
play off against,完成同其他优胜者的平分比赛; (使)相互争斗以坐收渔利
see to,"负责, 注意"
in the interest of,"为了, 为了...的利益"
circulate to,无
time and again,反复地
time and time again, 一再
throw out,"na. 投出；拒绝；否决(议案)；派出
"
be central to,"是…的核心,对…是重要的"
prepare against,"为对付…做好准备,防备…"
bring into, 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
