wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
humanism,"n. 人本主义, 人文主义, 人道主义
"
post-modernism,n. 后现代主义; 后现代派
multi-culture,多元文化
pluralistic culture,无
cultural diversity,文化多样性
preserve and cherish,无
absorb its essence and discard its dross,无
promote cultural development positively,无
splendid and glorious cultural heritage,无
splendid and glorious cultural legacy,无
splendid and glorious cultural relics,无
keep pace with times,无
cross-cultural communication,[网络] 跨文化交流；跨文化交际；跨文化沟通
cultural difference,文化差异
cultural tradition,文化传统
human civilization,[网络] 人类文明；人类文明史；文明历史上
spiritual civilization, [法]精神文明
mainstream culture, [医]主流文化
interpretation of classics,无
popular culture,通俗文化
the pervasive advertisements on TV,无
idol worship,[网络] 偶像崇拜；偶像崇拜话题；拜偶像
web addiction,无
Internet addiction,网络成瘾
virtual life,"虚拟人生
虚拟生活"
making friends online,无
chatting on the Internet,无
online gossip,无
online shopping,线上购物
group buying,[网络] 团购；团购模式；团购揪团
group purchase,组合购买
the Internet supervision,无
the Internet violence,无
irresponsible remarks,无
buy lottery tickets,无
online games,[网络] 网络游戏；线上游戏；在线游戏
digital products,[网络] 数码产品；数字产品；数码云计算平台
text message, 正文消息
mobile phone subscription,无
self-dependence,n. 自力更生
dote,"vi. 昏聩, 溺爱"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
only child, 独生子
fierce competition, 竞争激烈
boomerang kids,[网络] 归巢族；归巢小孩；归巢族或回力棒世代
NEET,"n. 啃老族（=Not in Education, Employment or Training）"
Not currently engaged in Education,无
Employment or Training,无
reap without sowing,无
make constant efforts,无
never give up, [体]不服输精神
never stop making progress,无
achieve success, 获得成功
innovation,"n. 改革, 创新
"
diligence,n. 勤奋
striving spirit,[网络] 奋斗精神
outlook on life,人生观
world outlook,世界观
world view,n. 世界观
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
patience,"n. 耐性, 忍耐"
prudence,"n. 审慎, 慎重, 精明, 节俭"
self-confidence,自信
modesty,"n. 谦逊, 质朴, 羞怯"
lack of confidence,"缺乏自信
缺乏信心"
exaggerate difficulties,无
overestimate difficulties,无
underestimate one's abilities,无
teamwork,"n. 协同作业, 协力
"
team spirit,"n. 合作精神, 团队精神"
cooperate with others,无
joint efforts, 共同的努力
cooperative efforts,无
help each other, 互相帮助；互助
keep optimistic,无
pessimism,"n. 悲观, 悲观情绪, 悲观主义
"
be pessimistic,无
positive attitude,正向态度、积极态度
benevolence,"n. 善意, 慈悲, 善行
"
physical health, [医]体格健康，机体保健
mental health, 心理健康
psychological health, [医]心理卫生，心理保健
mental fitness,无
psychological fitness,无
health concern,无
sub-health,不完全健康的状况
public health,[医] 公共卫生
public hygiene, 公共卫生
state of mind," 心境, 心情, 思想状态; 神思; 心神; 心气"
physical exercises,n. 体操
well-balanced diet,"un. 匀衡饮食
"
junk food,"n. 垃圾食品, 无营养食品"
go on a diet,"用规定食谱, 节食"
provide medical services,无
sacrifice health,无
short-term economic benefits,无
total tobacco ban,无
illness,"n. 疾病, 恶意
"
disease,"n. 疾病, 弊病
"
chronic disease,[医] 慢性病
infectious disease,[医] 传染病
alcoholism,"n. 酗酒, 酒精中毒
"
cancer,"n. 癌, 恶性肿瘤
"
reform of medical system,无
generation gap,n. 代沟
bridge the gap,"弥合分歧,消除差距"
mutual understanding,[法] 互相谅解
misunderstanding,"n. 误会, 误解
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
take care of,"照顾
"
look after,"目送, 照顾, 关心"
mistreat,"vt. 虐待
"
maltreat,"vt. 虐待, 滥用
"
ill-treat,v. 虐待
aging society,"老人社会；高龄化社会, 高龄化社会　"
population aging,无
old people,[网络] 老人；老年人；旧人
aged people, [医]老年人
the old, 老人
the aged,"年老者,老人"
the elders,[网络] 长者会；长老；元老集团
the elderly,"老年人, 长者"
senior citizens,老人(尤指退休者)
practice filial piety,无
public morality,风纪
traditional virtues, 传统美德
duty,"n. 责任, 关税, 职务, 尊敬
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
sense of responsibility, 责任感
shoulder one's duties,无
assume one's duties,无
undertake one's duties,无
shoulder one's responsibilities,无
assume one's responsibilities,无
undertake one's responsibilities,无
avoid one's duties,无
shirk one's duties,无
shun one's duties,无
avoid one's responsibilities,无
shirk one's responsibilities,无
shun one's responsibilities,无
devote,"vt. 投入于, 献身"
devotion,"n. 热爱, 投入"
dedicate,"vt. 献出, 贡献"
dedication,"n. 奉献, 献身, 献辞
"
selfless devotion,无
the crisis of trust,无
the corruption of public morality,无
the lack of moral sense,无
immoral behaviors,无
Project Hope,n. 希望工程
China Red Cross Foundation,无
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
donate,v. 捐赠
donation,"n. 捐赠物, 捐款, 捐赠
"
poor rural areas,无
start schooling,无
drop out of school,n. 退学; 停学
finish school,完成学业
to respect the old and care for the young,无
spit everywhere,无
make noise, 噪
talk loudly,[网络] 大声说话；大声谈话；大声讲话
empty promise,[网络] 口惠；空洞的承诺；假意的允诺
false promise,无
fake commodities, 假冒伪劣
dishonest behavior,无
honesty,"n. 诚实, 公正, 正直"
academic corruption,无
plagiarism,"n. 剽窃, 抄袭, 剽窃物
"
food safety,食品安全
construction quality,[化] 工程质量
drainage oil,无
poisonous milk powder,无
infant formula,[网络] 婴儿配方奶粉；婴儿奶粉；婴儿配方食品
food additives,[化] 食品添加剂
unaffordable prices of medicines,无
excessive growth, [法]过度增长; 徒长
illegal ads,无
unfair competition,[经] 不公平竞争
compete for benefits,无
address symptoms but not root causes,无
administration department, 行政部
supervision department,无
merchant,"n. 商人, 店主
a. 商业的, 商人的"
manufacturer,"n. 制造业者, 厂商
"
enterprise operator,无
authorities concerned,无
take bribes,受贿
disregard of laws,无
shift the blame onto ...,无
consumers' rights and interests,无
unqualified expert,无
perform one's tasks fairly and effectively,无
provide polite and hospitable services,无
corruption phenomenon,无
bus lane,n. （街道上的）公共汽车专用车道
odd-and-even license plate rule,无
morning and evening peak,无
traffic jam,"塞车, 交通阻塞"
traffic congestion,"[计] 通信量拥挤, 信息量拥挤, 交通拥塞"
heavy traffic,"[计] 通信业务拥挤, 通信业务繁忙"
rush hour,"n. （上, 下班的）高峰期"
public transport network,[交] 公共交通线路网
traffic restrictions based on the last digit of license plate numbers,无
traffic control,交通管理
car-free day,无
traffic accident,[医] 交通事故
private car,私人汽车
develop public transport,无
drunk drive,无
drive under the influence of alcohol,无
driver,"n. 驾驶员, 驱动器, 驱动程序
"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
economic crisis,[经] 经济危机
financial crisis,"[经] 财政危机, 金融危机"
financial turmoil,金融动荡
financial meltdown,[网络] 金融风暴；金融危机；金融崩盘
recession,"n. 后退, 凹处, 衰退, 归还
"
bleeding economy,无
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
sluggish economy,萧条的经济
lose one's job, 失业; 丢饭碗
be unemployed,无
be redundant,无
job losses mount,无
unemployment climb,无
unemployment,"n. 失业, 失业人数
"
seek employment,[法] 找职业
job seeker,n. 求职者
a tough job market,无
confidence slump,无
economic recovery,"[经] 经济采收率, 经济恢复, 复生"
the crisis's fallout,无
face the crisis,无
meet the crisis,无
fight the crisis,无
confidence reconstruction,无
contain declines,无
slow down declines,无
affordable housing project,无
comfortable housing project,无
cost-cutting, 成本削减
generate new employment,无
stimulate consumer spending,无
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
turnaround,"n. 转向, 回车道, 转变
"
proactive fiscal policy,n. 积极财政政策
refrain from laying off employees,无
cut the salaried work force,无
structural adjustment,结构调整
stimulus package,[网络] 经济刺激方案；经济刺激一揽子计划；刺激计划
stimulus plan,无
career guidance,生计辅导，生涯辅导
propel domestic demand,无
drive domestic demand,无
expand domestic demand,无
infrastructure construction, 基础设施
tax relief,n. 税收减除; 免税
practice economy,实行节约
moderately loose monetary policy,无
government bailout,[网络] 政府救援；政府打救；政府救助
government's vow to do sth.,无
the market economy system,无
economic globalization, 经济全球化
international economic organization,无
advancements in science and technology,无
multinational,"a. 多国的, 跨国公司的
n. 跨国公司"
private enterprise,"n. 私人企业, 民营企业"
automobile industry, 汽车工业
real estate industry,[网络] 房地产业；地产行业；房地产产业
telecommunication industry,[网络] 电信业；电信产业；通信产业
domestic brand,本国商标
national brand,(产品等)全国性商标厂牌
Chinese brand,[网络] 中国品牌；国产品牌；中国名牌
market share, 市场占有率
market portion,无
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
corporation,"n. 公司, 合作, 法人团体
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
personnel,"n. 人员, 人事部门, 人事科(处)
"
job satisfaction," 工作满意度; 工作满足感, 工作乐趣"
work pressure, 工作压力
working pressure,工作压力;使用压力
improve welfare and treatment,无
attract foreign investment, 对外招商
legal protection,[计] 合法保护
profound social and economic impact,无
the reform and opening-up,[网络] 改革开放
social security system,社会安全体系
unemployment,"n. 失业, 失业人数
"
housing problem,住房问题
public infrastructure,[网络] 公共基础设施；公共建设；公共基础建设
skyscraper,"n. 摩天楼, 三角形天帆"
sustainable urban development,无
urbanization,"n. 都市化
"
