a case in point,恰当的例子
plug in,"v. 插入；插插头；插上
"
point out,"na. 指出
"
polish off,"na. “polish away”的变体
"
portion out,"un. 分配:
"
pour out,"v. 倾吐；诉说
"
prevail on,"说服, 诱使"
prevail upon,"说服,劝说好"
prevail over,胜过
prevent from,"阻止, 妨碍"
previous to,"在...前, 在...先, 在...以前"
prior to,"在前, 居先
"
profit by,从…中得到好处.得益于…
profit from,得益于
provide for,"v. 为…作准备
"
pull apart,"na. 扯断(索子等)；劝开(吵闹)
"
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
pull over,"靠岸, 开到路边"
pull through,"(使)渡过难关, (使)恢复健康"
pull together,齐心协力
pull up,"v. 拔起；使…停下
"
push into,"推进,推动(做某事)"
put ... aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put into effect,"使生效, 执行...
"
put off,"na. 延期；辩解
"
put out,"v. 扑灭；熄灭；放出；伸出
"
put through,"na. 经受；测试；试验；使…通过
"
put to death,"杀死
"
put up,"adj. 预先商定的
"
put up with,"忍受, 容忍
"
puzzle out,"na. 解决(难题等)
"
quite a number of,相当多的
rail at,"责骂,挑剔,抱怨"
rail against,"责骂,挑剔,抱怨"
range over,"包括,涉及;在…徘徊"
rather than,与其...不如...
react against,反抗
react on,起作用于
react upon,无
reaction against,无
reckon on,"指望, 依赖"
reckon with,"和...算帐, 认真对付"
refer to,"v. 查阅；提到
"
regardless of,"不注意, 不关心"
rely on,"依赖, 依靠"
rely upon, 信赖，依赖
remark on,"评论, 议论"
remark upon,"v. 评论；批评
"
remind sb. of ...,"v. 提醒
"
resistant to, [医]adj.有抵抗力的，耐药的
resolve into,[网络] 使分解为；归结为；还原成
resort to,"诉诸于, 采取
"
respond to ...,"答复,响应,对…作出反应"
result from,"由...产生
"
result in,"导致
"
rid sb. of sth.,"除去, 摆脱"
rise above,升到…之上; 超越…; 克服; 沾沾自喜
rob of,"v. 抢走
"
rope in,"na. 诱入圈套
"
round the clock,连续一整天
rule out,"na. 排除
"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run out,"na. 耗尽；用光；过有效期；失效
"
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
"
run through,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
scale down,按比例减少；按比例缩小
scrape by, 靠…勉强度日
scrape through,勉强通过
scrape together,"积蓄,凑集,勉强凑足"
scrape up,"积攒, 拼凑到"
screw up,"na. 拧紧；钉上；卷成螺丝状；扭歪(嘴,脸等)
"
see about,"查询, 留意于, 料理"
see out,"na. “see through”的变体
"
see red,火冒三丈
see that,"注意,必须做到,保证"
see to it that,务必做到; 保证
see to,"负责, 注意"
seize on,"抓住, 占有"
seize upon,"抓住,利用"
sell off,"na. (打折扣)销完；卖清(存货)
"
sell out,"卖完, 出卖, 背叛
"
sell up,"卖完, 为还债而变卖"
send away,"发送, 打发走, 解雇"
send for,na. 派人去叫
send in,"na. 拿出；提出；递(名片)；送
"
set a good example,"做模范,树立榜样"
set about,"开始, 散布
"
set apart,"使分离, 留出"
set aside,"na. 搁置；拨出；驳回
"
set back,"na. 阻碍；延迟；〈非正式〉花费
"
set down,"na. 记入；登记；定；设
"
set free,"释放
"
set foot in,进入
set in,"na. 固定；停当；涨潮；进来
"
set one's heart on,"决心要…, 决心做…"
set out,"n. 开始；出发；动身；准备
"
set the pace,"领先, 起领头作用"
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
settle for,满足于
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
"
settle into, 有头绪，上正轨
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
settle up,"付清, 了结"
sew up,"na. 缝拢；缝合；把…缝入；缝进
"
shade in,[网络] 渐渐调和；渐变
shade into,v. 渐渐变为
shake down,"na. (将果实从树上)摇下来；摇下去；摇平(米谷等)
"
shake off,"na. 抛弃(坏习惯)；摆脱(坏朋友)；推开；拆开
"
shed light on sth.,"为...提供线索, 对...透露情况, 使...清楚地显出, 阐明..."
show off,"炫耀, 卖弄, 使显眼"
shut in,"na. 监禁；围住；遮住；迫近
"
shut off,"na. 阻断；使隔开
"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
shut up,"关闭, 监禁, 住口, 保藏"
side by side,"并排, 并肩"
sign in,"签到, 签收
"
sign on,"签约雇用, 开始广播"
sign up,"签约参加工作, 签约雇用"
single out, 挑选; 抉
sink in,"完全被弄懂, 渗入, 透入"
sit around,"坐着不干, 袖手旁观"
sit back,"不采取行动, 向后靠着坐"
sit out,"na. “sit through”的变体
"
sit through,"坐着捱到结束, 耐着性子看完"
sit up,"坐起, 端坐, 熬夜, 诧异"
size up,"估计, 合格"
sketch out,"v. 拟订出
"
sleep through,睡过头
slip up,"疏忽
"
slow down,(使)慢下来
slow up,(使)慢下来
smooth over,"na. “smooth away”的变体
"
snap at,"抓, 咬, 厉声说"
snap out of,"un. 怒气冲冲；震飞
"
snap up,"na. 咬住；突然插嘴
"
so far,迄今为止
soak up,"v. 吸取
"
something of,"在某种意义上, 在某种程度上"
sooner or later,迟早
sound ... out,"v. 试探；打听
"
spark off," 导致, 为…的直接原因"
speak for,"代表...讲话, 要求得到, 订购"
speak highly of,赞扬
speak out,"大胆地说, 大声地说"
speak up,"更大声地说, 大胆说出, 无保留地说出"
specialize in,专门研究...
speed up,"加速
"
spell out,"na. 详细说明；【印】正式拼写
"
spin out,"na. 拖延；使(钱等)勉强再维持一段时间；磨度过；使汽车作回形滑行
"
spit out,"na. 同“spit”
"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
spread out," 伸展, 延长; 分散; 铺设; 衍"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand in for,"替代,暂代,代理"
stand out,"突出, 坚持抵抗"
stand up for,"支持
"
stand up to,"经得起..., 勇敢地面对, 抵抗"
start off,"na. 动身
"
start on,开始
start out,"出发, 动身"
stay put,"装牢, 留在原处不动"
steam up,"促进, 使发怒, 使有蒸汽"
steer clear of,"避开, 绕开"
stem from,"起源于,出自,出身于…"
stick to,粘住
stick with, 继续做; 跟着…; 插满
straight away, 立即; 马上
straight off," 立即, 马上; 痛痛快快"
straighten out,"na. 弄(得到)澄清；(得到)解决；同“straighten”
"
stream into,无
submit to,"un. 使某人忍受某事:
"
substitute for,"代替…,替换…,取代…"
stuff with,把…塞满
swear by,"对...发誓, 信赖"
swear in,"na. 使宣誓就职
"
switch off,"切断
"
switch on,"v. 打开；接通；参见
"
take a chance,冒险
take a fancy to,喜欢
take a stand,採取某种立场
take account of,考虑
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take after,"像, 学样
"
take cover,"隐蔽, 躲藏"
take effect,"见效, 生效
"
take exception to,"反对
"
take an interest in ...,对...感兴趣
have an interest in ...,对…有兴趣
feel an interest in ...,无
take an interest in ...,对...感兴趣
take no interest in ...,对…不[不太]感兴趣
have no interest in ...,对…不[不太]感兴趣
feel no interest in ...,对…不[不太]感兴趣
take no interest in ...,对…不[不太]感兴趣
take into account,"na. 考虑
"
take ... into account,"na. 考虑
"
take into consideration,"v. 顾及
"
take sth. into one's confidence,向…吐露心事; 以…为心腹
take it easy,"从容, 不紧张"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take one's breath away,[网络] 令人咋舌；大为惊讶；目瞪口呆
take over,"na. 接管；继承
"
take the blame,承担过错
take ... to heart, 以。。。为重
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
tear down,"na. 拆毁；扯下；猛冲
"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell sth. apart,分辨
tell sb. apart,分辨
tender for,"投标
"
thanks to,由于
think back to,回想，回忆；重新思考(往事)
think better of,"重新考虑后决定不做, 经考虑...改变主意
"
think through,"na. 仔细考虑；全面考虑
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw light on,"照亮,阐明,使理解,启迪"
throw light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
throw a light on,无
throw a light upon,vt. 阐明(有助于说明)
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
thumb through,翻查
tire out,"na. 使疲倦到极度
"
to a certain extent,在某种程度上
to begin with,首先
to date,迄今为止
to death,极度
to excess,过度
to start with,"作为开始, 首先"
to the best of one's ability,尽自己最大努力
to the contrary,相反地
tone up,增强
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
trace back to,可追溯到；追溯到…的起源(或来由)；找出根源；追查到，追究到
trail away, 散去; （声音）逐渐变弱
trail off,"减弱, 缩小"
turn a deaf ear,"对…根本不听,对…置若罔闻"
turn away,"v. 转变方向
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn one's back on,"背弃, 抛弃"
turn out,"v. 证明；原来；到场
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn the corner,"拐弯, 转危为安"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
under any circumstances,"在任何情况下,无论如何"
under no circumstances,"在任何情况下都不,决不"
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
vary from, 不同
wait on,"服侍, 招待, 拜访, 焦急地等待"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
weigh down,"na. 使负重担；压迫
"
what if,如果…那又怎么样?即使…那又有什么关系?
wind up,"na. 解散(公司等)；终止；卷紧；绕紧
"
with regard to,关于
in regard to,"关于
"
with respect to,"关于..., 至于...
"
without prejudice,"[法] 无偏见, 无损, 无偏袒的裁决"
without prejudice to,"不使...受损害
"
word for word,逐字地
work off,"v. 渐渐消除
"
wrap up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
"
a range of, 一系列; 一些; 一套
access to,有权使用
accuse sb. of doing sth.,无
adapt oneself to,使(自己)适应于(某种环境)；使(自己)习惯于(某事)；使(自己)对…通融
all night long,整夜
all over,"全部结束, 到处, 浑身"
amuse sb. by doing sth.,无
apply to,[计] 应用于
argue with,和…辩论
arrange for,"为…作安排,安排某人做…"
attach to,"v. 连接在…上；归于
"
attitude toward,vt. 对。。。的态度，意见
attitude towards,态度，看法
attract attention,"na. 惹眼
"
attract one's attention,无
balance between A and B,无
be absorbed in,"全神贯注于, 专心于"
be accused of, [法]被起诉
be advisable to,无
be annoyed with sb.,被(某人)烦扰
be applicable to,(适)用于
be away from, 远离；从…离开; 距离
be aware of,知道
be beneficial to,有益于
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be certain of,确信
be characterized by,"具有...的特性, 其特性为..."
be conscious of,意识到...
be content with,以...为满足
be designed to,[网络] 被设计用于做；目的是；被设计作
be doubtful about,无
be enthusiastic about,对…热心
be envious of,"忌妒, 羡慕"
be essential to,对…必要的
be essential for,[网络] 对……至关重要；对……很必要；对…很重要
be inferior to,"劣于..., 比...差"
be in the mood,心情舒畅，来劲儿
be not in the mood,无
be in the mood for sth.,无
be not in the mood for sth.,无
be in the mood to do sth.,无
be not in the mood to do sth.,无
be involved in, 涉及，专心; 卷入
be keen to do sth.,想做
be loyal to,忠于...
be meant to,"有意要,打算"
be opposed to,"反对..., 与...相对"
be popular with sb.,为...所喜欢
be relevant to,与...有关
be reluctant to,"勉强…,不情愿…"
be remarkable for,因…而引人注意
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
"
be skeptical about,无
be stuck with,"〈俚〉被…缠住无法摆脱,遇到困难无法进行下去"
be suitable for,"适合…,适用于…"
be supposed to,"应该, 被期望"
be sure of,"确信..., 肯定..., 对...有把握"
be to blame,该受责备
begin with,"以…开始,首先"
benefit from,从…获利
beyond expression,无法表达
by design,"故意地, 蓄意地"
chase after,"追赶, 追逐"
claim for, 要求支付…的费用; 声称[宣布]…属于
combine with,与...结合
come on to,"开始,兴盛"
command of,[网络] 掌握；对…精通；国家需要更多精通英语的人
commit suicide,[法] 自杀
communicate with,通话
compete against,与…竞争
compete with,与…竞争
compete in,v. 参加…比赛（竞赛）
compose oneself to do sth.,无
concentrate on,"集中, 全神贯注于"
concentrate on sth.,"集中, 全神贯注于"
concentrate on doing sth.,无
conclude from,从…中得出; 推断
conclude ... with ...,与…商谈; 以…结束
confess to sth.,"承认, 坦白; 〈宗〉向…忏悔"
confess to doing sth.,无
convert to,[计] 转换至
convince sb. of,"na. 使(人)承认
"
cooperate with sb.,与...合作
cooperate with sb. in doing sth.,无
credit card,
cut away,"切掉, 砍掉"
devote oneself to,"献身于, 专心于"
discourage sb. from doing,无
distinguish ... from ...,"v. 区别,识别"
distract from,"v. 分散,使分心"
dozens of,"几十个,数十个;许多…"
draw away,"拉开, 引开, 离开"
drive out," 开车出去; 驱逐, 驱散; 撵; 祛除"
economic recession,[经] 经济衰退
elaborate on,详细说明
be opposed to,"反对..., 与...相对"
equip with, 装备，配备
even so,虽然如此
exist in, 存在于…中
fail to, 未能…
fall into,"落入, 陷于, 开始, 分成, 属于, 注入"
fight for, 为…而战斗[竞争]; 争取; 争夺
fit into,适合
for an instant,"短时间,瞬时间,剎那间"
for the purpose of, 为了，因…起见; 借以
free of charge,"免费
"
frighten away," 吓跑, 吓走"
gather up,"收集起, 蜷曲, 概括"
get into the habit of,养成...的习惯
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
a glimpse at,无
go back to,回去
go on strike,"举行罢工
"
hand round,传递; 分发给众人
have access to,可以获得;进入
have an acquaintance with sb.,无
have an advantage over,"胜过,比…优越"
have an effect on,(对…)有影响〔产生效果〕
have an insight into sth.,"了解,熟悉;看透,识破"
give an insight into sth.,无
have confidence in,"信任,信赖 in confidence 秘密地,私下,暗中"
have faith in,"na. 相信
"
have no idea, 不知道，不了解; 没谱儿
have trouble with,"与...有纠纷, 有...的病痛"
hold to,"na. “Hold fast”的变体
"
hold true,"适用, 有效
"
impress with,"v. 深深打动
"
impress sb. with,"v. 深深打动
"
in an instant,马上
in hot water,"处于困境,遇着麻烦;处于水深火热"
inform sb. of,"v. 通知关于
"
inform sb. about,将…告知(某人)
in that,"既然, 因为"
in the form of,以…形式
in the process of,在...的过程中
in the shape of,以...的形式
in this way,这样
infer from,从…中推导出
influence on ...,对…有影响
influence with ...,无
influence upon ...,无
inspire sb. with sth.,[网络] 激励；以……激励
inspire sth. in sb.,激发; 激起; 唤起
interpret ... as ...,把…看做；把…理解为
isolate ... from ...,使与…隔离；使与…分离；使孤立
be isolated from ..., 绝缘
just as,正象
keep a record of,"记录,记载,把…记下来"
keep one's distance,保持疏远
kill two birds with one stone,一箭双雕;一石二鸟
lag behind,落后(于...)
lay the foundation for,"给…打下基础,为…奠定基础"
lock away,"na. 锁起来
"
lose one's nerve,"不知所措, 慌张"
make a bargain with,与…做交易；与…达成协议
make a fortune,"发财,致富"
make a mess of,搞糟
make a profit,"获利,得益,赚钱"
make an appointment,与…约定
make mention of,提到
make one's acquaintance of sb.,无
make sense of,搞清...的意思
measure up to,"符合, 达到"
mistake sb. for sb.,错认
no more than,na. 某乙也不
note down,"un. 记录
"
on one's own behalf,无
on the edge of,"濒于, 几乎, 在边缘"
on the instant,"立即, 马上"
optional course,选修课
pass down,"un. 过；一闪即逝；下达
"
pay for,付...款
peer at,凝视
persist for,无
pile up,"堆积, 积累, 搁浅, 撞毁"
plunge into,"投入, 跳入"
polish up,"na. 完成；〔口语〕改善；同“polish”
"
pop up,突然站起(或跳起)
pour down," 流下, （雨）倾盆而下; 向下倾注; 倾泻而下; 奔泻"
pour into,[化] 注入
praise for,[网络] 称赞；因…表扬某人；因某事称赞某人
prohibit from,"禁止, 阻止"
propose to do,[网络] 打算；打算做某事；建议做
propose to doing,无
protect against, 保护，保卫
provide with,"v. 供给；供应
"
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put right,"使恢复正常, 纠正错误"
qualify for,有资格
queue for,无
queue up for,排队等候…
read through,"把...从头看到尾
"
register with,"向…登记,给…留下印象"
relate with,把…同…联系起来 connect sth in thought or meaning
require of,对…的要求
root in,来源于
run a fever,发烧
rush off, 仓促跑掉
save on,"节省,节约"
see eye to eye," 完全一致, 有相同的看法"
sense of responsibility, 责任感
shake one's belief,无
show respect for,[网络] 对…表示尊重；尊敬；尊敬某人
speak well of,说...好话
stake ... on,"stake on
把(钱等)押在…上，用…打赌：
I would stake all my money on the chess with you.
我可以用我所有的钱跟你赌这盘棋。
冒…的风险去做(某事)；以…担保：
If you had taken my advice,you wouldn't have made such a bad mistake. I can stake my life on that.
如果你听了我的劝告，你就不会犯下这样的大错了，事情绝对是这样。"
stay up,不睡觉
step out,"以步测量
"
strive for,"奋斗, 争取"
suffer from,"忍受, 遭受
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take occasion to,乘机
tend to,"注意, 趋向"
the ability for sth.,无
the ability in doing sth.,无
the ability to do sth.,无
tidy up,整理
to some extent,在某种程度上
twist one's ankle,无
under discussion,在讨论中
warn sb. of,"na. 警告(某人)有危险
"
with the exception of,"除...以外
"
a multitude of,"大批的,大量的,许许多多的…"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
acquaint with,"na. 把(事实)告知(某人)
"
act on,"按...行动, 作用于
"
adhere to,"执着于,坚持,粘附于,信奉…"
all at once,"突然, 同时
"
amount to,"[经] 等于, 相当于"
appeal to ... for,[网络] 求助于
apply for,"申请,请求,要求…"
approach to, 接近
argue against,"反对,为反对…而辩论"
ascribe to,"v. 把…归于
"
ask around, 到处打听
assert oneself,坚持自己的权利
associate ... with,"v. 与…联系
"
at a premium,"在票面价值以上, 非常珍贵
"
at every turn,"事事, 经常"
at length,"最后, 详细地"
at risk,"un. 担风险
"
attend to, 处理; 注意; 听取; 致力于
at the time of ...,在...的时候
at the time that ...,无
at will,"随意, 任意"
at the outset,"开始,起初"
from the outset,从一开始
attach importance to,重视
attract attention,"na. 惹眼
"
available for,适用，宜于；有效
back and forth,来回地
back out,"停止不干, 食言
"
bear up,"承受, 使振作, 始终忠于, 驶向下风"
be abundant in,"富于,有很多"
be adapted to,"v. 适合于；适应
"
be addicted to,沉迷于…
be adequate for,无
be at issue,[网络] 在争论中，不和的；待裁决的；成为讨论的焦点
be beyond question,无
be beyond all question,无
be blind to,"对…视而不见,看不懂"
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be cautious about,无
be comparable with,"与...可比较的, 比得上...的"
be comparable to,"与...可比较的, 比得上...的"
be composed of ...,由...组成
be critical of,不满
be deficient in,缺乏，欠缺…，在…方面有所不足
be dissatisfied with,对…不满意
be doomed to,注定要…
be exclusive of,"除去,不包括…"
be familiar to,对…熟悉的
be fit to,[网络] 适合
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be implicit in,无
be in danger, 遇险；出险
be in danger of,有危险
be in embryo,无
be in place,[网络] 在适当的地位；在位；合适
be in one's shoes,无
be inclined to,"倾向于..., 有...的趋势"
be indicative of,"表示..., 提示..., 指示..., 暗示..."
be instrumental in,[网络] 在某方面起到关键作用；在某方面起作用
be intent on,"一心想,专心于,坚持要"
be irrespective of,无
be isolated from, 绝缘
be nervous about,无
be off the track,无
be on the alert,注意;提防;警戒
be open to,"对...开放, 愿接受...的"
be optimistic about, 对于…感到乐观; 看好
be prone to,"有...的倾向, 易于"
be reluctant to,"勉强…,不情愿…"
be sensitive to,"敏感, 灵敏"
be stuck in, 困于，停止不前，动弹不得
be susceptible to,"易患..., 对...敏感"
be stuck in, 困于，停止不前，动弹不得
be susceptible to,"易患..., 对...敏感"
be suspicious of,怀疑
be tolerant of,"忍耐,容忍,对…有忍耐力"
be unaware of,"不知道, 不注意"
be unfamiliar with,"不熟悉…,对…很陌生"
be weary of,"厌烦, 不耐烦"
be worthy of,"值得,应得到"
behave oneself,"使举止规矩, 使运转正常"
beyond description,"无法形容,难以名状"
blame sb. for sth.,[网络] 因……责备；责怪；因…怪罪
break away from,"摆脱,脱离"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
brim over, 满而溢出; 盈溢; 漫溢
brim over with,满溢
brood on,"郁郁而思,沉思冥想"
brood over,"郁郁而思,沉思冥想"
brood about,无
build up,"树立, 增进, 增大, 堵塞
"
but for,要不是
buzz around," <俚>匆忙而紧张地行动, 乱哄哄地跑来跑去"
buzz about, 闹哄哄地跑来跑去
by the name of,名叫...
by analogy,用类推的方法
by heart,"凭记忆, 记住"
by means of,依靠
by nature,天生地
by reason of,"由于, 因为"
by the same token,出于同样原因
by virtue of,"依靠, 由于
"
call about,"来打听…,打电话询问"
carve out,开辟
carve up,"na. 切成几份
"
cast light on,"使显得非常清楚, 阐明, 使人了解"
cast light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
check with,与...相符合
clamp down,"取缔, 强行压制"
clamp down on,压制; 取缔
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
cling to,"依附, 依靠, 坚持"
coincide with,符合
collide with,冲突
come apart,"分开, 分裂"
come away,脱开
come away from,离开
come between,"在...中间, 离间"
come by,"从旁边走过, 得到"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come in contact with, 接触
come in for,"遭到, 受到"
come into existence,"开始存在, 成立"
come off,"发生, 举行, 表现, 结果"
come out with,"发表, 出版, 说出, 提出, 把...投入市场销售"
come over,"过来
"
come to grief,"遭到不幸, 遭难, 失败"
come to one's senses,"苏醒过来, 醒悟"
come up against,突然碰到
come up with,"赶上, 提出"
comply with,照做
conceive of,想象
confer on,"un. 授给
"
confide in,信任
conform to,"符合, 遵照"
conform with,与…一致
cook up,"v. 伪造
"
cool off,"变凉, 平静下来"
cope with,"与...竞争, 应付, 处理"
correlate to,相互关联
correlate with,与…相关
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
"
crash down,哗啦一声〔咔嚓〕倒下〔摔下〕
crash into,闯入
contribute to,捐献
count on,"依靠, 指望"
cut into,打断
cut short,"na. 打断(讲话)；使停止；缩减；从简
"
dash off,na. 飞出；急忙离开；一气写成
date back to,"始于,可以追溯到…"
dedicate to,献身
defend ... from,保卫
deprive of,"un. 剥夺
"
descend from,从…下来;是…的后裔
descend on,袭击
descend to,转而提到
detach from,使从…分离(或分开、脱离、拆开)
deviate from,"偏离…,背离…;放弃…"
die from,"[法] 由于...而死, 死于"
die out,"熄灭, 平息, 消失"
dig down,"挖下, 掘倒, 掏腰包"
differentiate between,区分(两者); 对人待遇不公
disapprove of,"不赞成,不同意"
discriminate against,歧视
discriminate between,找出…之间的微小区别; 对…进行分辨; 对…待遇不公
dispense with,"免除, 省却, 无需"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
do a bunk,"〈俚〉逃之夭夭,溜之大吉"
doze off,不知不觉地睡着了
drag on,"n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
n. (Dragon)人名；(匈)德劳贡；(英、法、芬、罗、匈)德拉贡"
drag out,"na. “drag on”的变体
"
draw attention to sth.,"un. 促使…注意
"
draw one's attention to sth.,无
drive away," 驱车离开; 把…驱开, 赶走; 祛"
drop in,顺便走访
drown out,na. (洪水)把(人)赶跑；把(另一声音)压倒
dry out," （使）变干, （使）干涸; <非正>（使）戒（酒、毒等）; 晾干"
dwell on,"细想, 详述"
dwell upon,凝思;详细论述;仔细研究
earn a living,"谋生,挣钱,自食其力"
eat up,"吃光, 耗尽, 吞灭"
ebb and flow,"潮起潮落,起伏,涨落,盛衰"
endow with,赋予
enroll in,"登记,报名参加"
enroll on,无
err on the side of,[网络] 宁失之；在…做过了头；过分表现
exempt from,"v. 使…免除
"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
fall prey to,[网络] 成为……的牺牲品；深受…之害；受害
fall short of,"没有达到标准, 不够, 不足"
fall on,"落在…之上;攻击,袭击"
fall upon," 开始行动, 进攻"
feed back," 反作用, 反馈"
feel the pinch,"感到拮据, 手头紧"
fetch up,"使停止, 引起, 回想起, 弥补, 到达, 呕吐"
fight down,克服
fight off,"击退, 排斥, 避免"
file for,"申请,报名参加"
finish off,"na. 同“finish”；完成；用完；吃完
"
finish up,"结束, 完成, 用光"
fit as a fiddle,非常健康
flatter oneself,"自信, 自想, 自以为"
flick through,"浏览,翻阅"
foul up,"弄脏, 污染, 搞糟"
free from,"na. 无…的
"
from scratch," <非正>从头做起, 从零开始"
gain momentum,[网络] 势头增大；深入发展；发展加快
gather momentum,[网络] 不断兴起
gamble away,赌光
get at, 得到; 找到; 责备; 暗示
get away,"离开, 逃脱, 起跑, 出发"
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get the best of,"战胜,胜过,佔了…的上风;克服,克制"
have the best of,胜过
give rein to,"对...放任, 使...自由发挥"
give free rein to,对…放任；使…自由发挥；放纵；不加约束；放松缰绳，让马自由行走
give away,"na. 赠送；分发；放弃；露马脚
"
give priority to,"给…以优先权,优先考虑…"
give shape to,"把…明确表达出来,使形成,使具体化,使有固定的形状"
give vent to,"发泄, 吐露"
glare at,怒视
gleam with,表露某种情感
go ahead,前进
go downhill,走下坡路
go in,"走进, 放得进, 参加"
go into action,"投入战斗, 行动起来"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
go through with,完成
go to extremes,走极端
go to pieces,"瓦解, 身体垮掉"
go with,"伴随, 与...相配"
grieve for,哀悼
grieve over,哀悼
grope for,探索
grope around,= grope about
hang around,"闲荡, 闲逛, 转悠, 观望, 等待, 聚在...临近, 缠(人), 与...泡在一起"
harmonize with,无
hate one's guts,对one恨之入骨
have a bearing on,对…有影响;与…有关
have one's hands full,工作忙
here and there,"各处, 到处, 四处"
hinge on,"靠...转动, 以...为转移"
hinge upon,vi. 随……而定
hold in check,"制止, 控制"
hold sth. in check,"制止, 控制"
hold in contempt,"na. 蔑视
"
hold sb. to ransom,无
hunt down,"穷追直至抓获
"
hush up,"na. 掩盖
"
I dare say,"我想, 大概"
idle around,虚度时光; 在…附近闲逛
interfere with,"干涉,干扰,妨碍"
immerse in,将…浸在(水中); 使(自己)专心于〔沉浸于〕…
in a sense,在某种意义上
in abundance,"充足的, 很丰盛"
in accord with,与...一致
in accordance with,"与...一致, 依照"
in agreement with,"同意,与…一致"
in all probability,很可能
in and out,"进进出出, 弯弯曲曲"
in any way,以任何方式
in black and white,用白纸黑字地写下来
in bulk,"散装, 大批
"
in collaboration with,与...合作
in confidence,"na. 秘密地
"
in default of,"因缺少
"
in essence,"本质上, 实质上
"
in hot pursuit,穷追
in need of,"需要...时, 如果需要..."
in operation,"运转着, 生效
"
in practice,"在实践中, 实际上, 熟练"
in pursuit of, 追求，寻求
in quest of,为了追求...
in response to,"回答..., 响应..., 对...有反应
"
in stock,"现有, 在贮存中
"
in the short term,短期内
in the case of,在...的情况
in the dark,"在黑暗中, 秘密地, 不知道
"
in the grip of,在…的支配下；受…控制
in the main,大体上
in the meantime,"同时;当其时,在其间"
in the midst of,在...之中
in the vicinity, 左近
in the vicinity of,"在邻近
"
in the way of,在…方面;在…过程中;作为…;阻碍…
in theory, 理论上
in tow,"拖着, 在一起"
in transit,"在运输中
"
in vogue,[经] 正在流行
in the circumstances,既然这样
under the circumstances,"在这些情况下, 在此情况下"
indulge in,沉湎于
inflict on,"un. 遭受
"
inflict upon,使…受痛苦;给…以(打击、惩罚)
inherent in,"adj. 固有
"
