preceding,"a. 在前的, 前面的
"
explorer,"n. 探险家, 探测者, 勘探器
"
inventor,"n. 发明家
"
relentless,"a. 无情的, 冷酷的, 残酷的"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
aristocracy,"n. 贵族, 上层社会, 知识界杰出分子
"
hearth,"n. 炉床, 灶台, 炉边
"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
provoke,"vt. 激怒, 惹起, 诱导
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
maturity,"n. 成熟, 完备, 到期
"
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
homeland,"n. 本国, 故国"
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
diagnose,v. 诊断
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
westward,"n. 朝西的方向
a. 向西的
adv. 向西的"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manifest destiny,n. 19世纪中后期; 被美国人广泛持有的一种信条：扩张美国在北美洲的领土; 扩大美国政治; 经济
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
immigrant,"n. 移民
a. 移入的, 移民的"
cope,"vi. 竞争, 应付
n. 长袍"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
unhelpful,"a. 不起帮助作用的, 无用的, 无益的, 不予帮助的, 不予合作的"
colony,"n. 殖民地, 移民队
"
sportsman,"n. 运动员, 冒险家"
separation,"n. 分离, 分居, 缺口, 退职
"
infinitely,"adv. 无限地, 无数地, 庞大地"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
cynicism,n. 犬儒主义
despondency,"n. 失去勇气, 失望"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
spearmint,"n. 留兰香, 绿薄荷
"
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
wrapper,"n. 包装者, 包裹者, 包装物, 覆盖物, 外包烟叶, 包纸, 书的封皮, 妇女晨衣
"
crisis,"n. 危机, 危险期, 紧要关头
"
mid-life crisis,[网络] 中年危机
unfulfilled,"[法] 未实现的, 未履行的, 未完成的"
fetishize,"v. 盲目迷恋, 以…为偶像"
fetish,"n. 物神, 偶像, 迷信
"
fevered,"a. 发烧的, 激动的, 激昂的"
cheerleader,n. 啦啦队长
diner,n. 用餐者
icon,"n. 画像, 肖像, 偶像, 图标, 像标
"
au pair,"a. <法>平等的, 互惠的"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
loft,"n. 阁楼, 鸽房, 楼上
vt. 储存于阁楼上
vi. 将球高击"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
barn,"n. 谷仓
"
occurrence,"n. 发生, 事件, 出现
"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
each and every one,无
for want of sth.,"因缺乏…,由于…不足"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
all on one's own,无
set in,"na. 固定；停当；涨潮；进来
"
in all,"总共
"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
desirable,"a. 令人想望的, 可取的"
repayment,"n. 付还, 偿还, 报复, 付还的钱
"
preferable,"a. 更可取的, 更好的, 更合意的"
unwell,"a. 不舒服的, 生病的, 身体不好的"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
mobility,"n. 可动性, 流动性, 机动性
"
expectancy,"n. 期待, 期望的事物, 嘱望, 希望, 期望, 预期
"
life expectancy,
proportionately,"adv. 成比例地, 相称地"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
heavily,"adv. 很重地, 严重地, 难以忍受地"
albeit,"conj. 尽管, 虽然"
agreeable,"a. 令人愉快的, 同意的
"
upstate,"a. 偏僻的, 州的北部的
n. 州的北部
adv. 在州的北部"
demeanor,"行为, 品行, 举止"
internship,"n. 实习医师的职务
"
congressman,"n. 国会议员, 众议院议员
"
partnership,"n. 合伙, 合股, 合作关系
"
razor-sharp,"a. 锋利的, 犀利的"
intellect,"n. 智力, 出众的才华, 知识分子
"
senator,"n. 参议员, (某些大学的)理事
"
democrat,"n. 民主人士, 民主主义者, 民主党党员
"
capitol,"n. 国会大厦, 州议会大厦, 朱比特神庙"
democratic,"a. 民主的
"
credibility,"n. 可信用, 确实性, 可靠
"
voter,"n. 选民, 投票人
"
corruption,"n. 腐败, 堕落, 贪污
"
emission,"n. 发射, 射出, 发行
"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
election,"n. 选举, 当选, 选择权
"
nomination,"n. 提名, 任命, 提名权"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
orchestra,"n. 管弦乐队, 乐队演奏处"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
stellar,"a. 星的, 似星的, 星球的, 主要的"
sophisticated,"a. 复杂的, 久经世故的
"
diplomat,"n. 外交官, 有外交手腕的人
"
hall of fame,名人纪念馆;杰出人物
power broker,"[法] 政治掮客, 权力掮客"
heaving,v. 举起（重物）；举起抛出；使起伏；恶心（heave的ing形式）
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
shrug,"n. 耸肩
v. 耸肩"
whatsoever,pron. 无论什么
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
effortless,"a. 容易的, 不费力气的"
superiority,"n. 优越, 高傲
"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
nostril,"n. 鼻孔
"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
intimidate,"vt. 威胁, 恐吓
"
intimidated,"v. 恐吓; 威胁
a. 害怕的; 受到威胁的"
impatient,"a. 不耐烦的, 着急的, 急切的"
heady,"a. 顽固的, 任性的, 性急的, 猛烈的"
swirl,"n. 漩涡, 涡动
vt. 使成漩涡
vi. 打漩, 盘绕, 眩晕"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
icy,"a. 冰的, 冰冷的, 冷淡的, 滑溜的"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
applause,"n. 鼓掌, 喝彩, 赞许"
classless,a. 无阶级的
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
laughable,"a. 可笑的, 有趣的"
humility,"n. 谦逊, 谦虚, 谦卑"
flurry,"n. 疾风, 飓风, 慌张
vt. 使恐慌, 使激动
vi. 慌张"
waive,"vt. 不坚持要求, 放弃, 推迟考虑, 丢弃
"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
deputy,n. 副手，代理人
donation,"n. 捐赠物, 捐款, 捐赠
"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
chief of staff,参谋长；司令；办公室主任
absolutely,"adv. 完全地, 绝对地, 确确实实地"
track down,"追捕到
"
think on one's feet,[网络] 用脚思考；随机应变；反应敏捷
know sth. inside out,[网络] 知根知底；指有较深入的了解
in the running for,无
curl one's lip,撇嘴
compatriot,"n. 同国人
a. 同国的, 同胞的"
competitor,"n. 竞争者
"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
dwell,"vi. 居住, 居住(于), 存在(于)"
investment,"n. 投资
"
telex,"n. 用户直通电报, 电传打字机
"
management,"n. 经营, 支配, 管理
"
successor,"n. 继承者, 接任者
"
nominate,"vt. 提名, 任命, 命名
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
versus,"prep. 对...
"
prevail,"vi. 获胜, 流行, 盛行
"
collectivist,n. 集体主义者
housemate,n. 住在同一所房子里的人
anthropology,"n. 人类学
"
lifelong,"a. 终身的, 毕生的"
loyalty,"n. 忠贞, 忠诚, 忠实
"
dependence,"n. 依赖, 依存, 信赖
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
individualist,"n. 个人主义者, 利己主义者"
nuclear family,[法] 基本家庭
nucleus,"n. 核心, 核子, 原子核, 起点
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
membership,"n. 会员的资格, 全体会员, 会员数目
"
playmate,"n. 玩伴, 游伴"
enable,"vt. 使能够
"
infrequently,"adv. 很少发生, 不常发生, 罕见, 稀罕, 偶有, 不寻常"
on behalf of,"代表...
"
dwell on,"细想, 详述"
dwell upon,凝思;详细论述;仔细研究
so far,迄今为止
so good,[网络] 很好；一切顺利；真好
be born into,[网络] 出身于；出生於；出生在…的家庭
stand on one's own feet,"独立自主, 自立"
stand on one's own two feet,"un. 独立；自食其力
"
technically,"adv. 技术上, 学术上, 专门地"
unplanned,"a. 无计划的, 未经筹划的, 意外的, 在计划外的"
appalling,"a. 骇人的, 令人震惊的"
hygienic,"a. 卫生学的, 卫生的, 促进健康的, 清洁的
"
merciless,"a. 无慈悲心的, 残忍的"
horrendously,adv. 骇人听闻地；可怕地
overcrowded,"a. 挤满的; 过度拥挤的
v. 拥挤(overcrowd的过去式和过去分词)"
ashore,"adv. 向岸, 在岸上"
promptly,"adv. 敏捷地, 迅速地"
detention,"n. 阻止, 监禁, 拘留
"
detention centre,"[法] 拘留中心, 集中营, 感化中心"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
asylum,"n. 庇护, 收容所
"
immigrant,"n. 移民
a. 移入的, 移民的"
immigration,"n. 移民, 移居
"
ambivalent,"a. 矛盾的, 模棱两可的
"
hostility,"n. 敌意, 敌对, 反对"
standstill,"n. 停止, 停顿
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
citizenship,"n. 国籍, 市民权, 市民的身份
"
comparatively,"adv. 比较地, 相对地"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
starry,"a. 星光照耀的, 多星的, 星形的, 明亮的"
overhear,"vt. 无意中听到, 偷听"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
loiter,"v. 闲荡, 虚度, 徘徊"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
mince,"n. 切碎物
vt. 切碎, 矫揉做作地说
vi. 碎步走, 装腔作势"
mince pie,n. 肉馅饼
attic,"n. 阁楼, 顶楼
"
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
dagger,"n. 匕首
vt. 用剑刺"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
soundly,"adv. 完全地, 健全地, 坚牢地"
creaky,a. 嘎吱嘎吱的
reddish,"a. 微红的, 略带红色的"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
pail,"n. 桶, 提桶"
steadily,"adv. 稳定地, 无变化地, 有规则地"
froth,"n. 泡, 泡沫, 琐物
vt. 使生泡沫
vi. 发泡, 吹泡"
fragrant,"a. 芬香的, 馥郁的, 愉快的"
latch,"n. 门闩
vi. 上闩, 抓住, 占有
vt. 闩上
"
stool,"n. 凳子, 大便, 粪便, 厕所
vi. 长新枝
vt. 引诱, 诱捕"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
footstep,"n. 脚步, 脚步声, 足迹"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
bathrobe,n. 浴衣
brooch,"n. 胸针, 领针"
genuinely,adv. 真诚地；诚实地
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
beloved,"a. 心爱的
n. 心爱的人"
tiptoe,"n. 脚尖
vi. 用脚尖走
adv. 踮着脚
a. 踮着脚走的, 偷偷摸摸的"
take sth. for granted, 信以为然
trance,"n. 昏睡状态, 恍惚, 着迷
vt. 使恍惚, 使发呆"
celebration,"n. 庆祝, 庆典"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
essentially,"adv. 本质上, 本来"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
justified,"a. 有道理的, 合乎情理的
"
extent,"n. 范围, 程度, 区域
"
undergo,"vt. 遭受, 经历, 忍受
"
rider,"n. 骑手, (文件后的)附件, 扶手
"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
anomaly,"n. 不规则, 反常事物, 畸形
"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
skulduggery,"n. 欺骗, 欺诈, 作假"
mundane,"a. 现世的, 世俗的, 宇宙的"
indigenous,"a. 本土的, 国产的, 固有的
"
untouched,"a. 未触摸过的, 未改变的, 未受影响的"
festive,"a. 庆祝的, 喜庆的, 欢乐的"
blindly,"adv. 轻率地, 盲目地"
decadence,n. 颓废
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
youngster,"n. 小孩, 年轻人, 少年
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
zeal,"n. 热心, 热衷, 热诚"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
goodness,"n. 仁慈, 善良"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
to some extent,在某种程度上
to a certain extent,在某种程度上
to a limited extent,无
for good or bad,无
get a feel for sth.,[网络] 熟悉；得一种感觉；获得对某事的直觉印象
at one with,与…意见一致
shut one's eyes and ears to,无
reunion,"n. 团圆, 重聚
"
onwards,"adv. 向前, 在前面"
skull,"n. 头盖骨, 头脑, 好学生
"
morbid,"a. 致病的, 病态的, 疾病的, 可怕的
"
papier-mâché,无
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
offering,"n. 提供, 奉献物, 牲礼, 上市的股票(或证券等)
"
marigold,"n. 万寿菊, 金盏花
"
incense,"n. 香, 香气, 奉承
vi. 焚香
vt. 用香焚, 使发怒"
graveside,n. 坟墓边
festivities,"n. 欢庆, 庆祝活动, 庆典( festivity的名词复数 ); 过节"
altar,"n. 圣坛, 祭坛"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
fireman,"n. 救火队员, 消防队员
"
elevator,"n. 电梯, 升降机
"
firefighter,n. <美>消防队员
turnout,"n. 聚集的人群, 出席者, 产量
"
turnout coat,无
raring,"a. 渴望的, 急切的"
bearing,"n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育
"
dent,"n. 凹痕
vt. 使凹下, 削弱
vi. 塌陷"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
berserk,"a. 狂暴的, 疯的
adv. 狂暴地, 疯地"
rumble,"n. 隆隆声, 辘辘声
vi. 发隆隆声, 辘辘响
vt. 使隆隆响, 低沉地说"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
runaway,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
rockslide,n. 岩滑(堆)
fleetingly,"adv. 飞快地, 疾驰地"
bagel,n. 百吉饼（先蒸后烤的发面圈）；[俚]（体育比赛中）零蛋
firehouse,n. 消防站
shorthand,"n. 速记
"
fumble,"n. 摸索, 笨拙的行动, 漏球
vt. 摸索, 乱摸, 笨拙的处理, 漏接(球)
vi. 摸索, 笨手笨脚, 漏球"
flashpoint,n. （尤指政治动乱的）爆发点; 政治动乱地区；危险地区
postscript,"n. 附言
"
aftermath,"n. 结果, 后果
"
massive,"a. 大而重的, 宽大的, 宏伟的
"
battalion,"n. 营, 军队, 集团"
commander,"n. 司令官, 指挥官"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
evacuate,"v. 疏散, 撤出, 排泄"
amid,"prep. 在其间, 在其中
"
rubble,"n. 粗石, 碎砖, 粗石堆"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
chaotic,"a. 混乱的, 无秩序的
"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
heroism,"n. 英勇, 勇敢事迹, 豪侠行为"
immediate,"a. 立即的, 直接的, 接近的
"
best-seller,"畅销书, 畅销书作者
"
gratitude,n. 感激之情
tribute,"n. 贡物, 礼物, 颂辞"
decent,"a. 有分寸的, 得体的, 大方的"
trustworthy,"a. 可信赖的
"
comrade,"n. 同志, 伙伴"
testimony,"n. 证言, 证据, 声明
"
leadership,"n. 领导能力, 领导阶层"
come from nowhere,无
come out of nowhere, [体]突然成功
sweat like pigs,无
raring to go,"na. 巴不得马上开始做某事
"
make a dent,引起注意
to a man,无一例外地
all over the place,到处
pick up on sth.,"na. 同…熟悉起来
"
down the road,[网络] 只要沿着这条路；将来；在路上
make it through sth.,[网络] 度过难关；熬过；你的爱带我度过难关
steel oneself,"锻鍊自己,鎚鍊自己,使自己变得冷酷无情"
steel oneself against sth.,[网络] 钢铁自己反对
on the scene,"[法] 当场, 在出事地点"
on the scene of,无
out of action,"失去作用, 停止活动"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
syndicate,"n. 企业联合, 辛迪加, 财团
v. 联合成辛迪加"
homeless,"a. 无家的, 无养主的"
uncommon,"a. 不寻常的, 非凡的, 罕有的
adv. 不平常地"
dominate,"v. 支配, 占优势"
suffragist,"n. 参政权扩大论者, 妇女参政权论者"
longtime,"a. (已持续)长时间的,为时甚久的
adv. 长久"
correspondent,"n. 通讯记者, 通信者
"
stub,"n. 断肢, 烟蒂, 树桩, 残余, 存根
vt. 连根拔除, 踩熄
"
toe,"n. 足趾, 趾部, 脚趾
vt. 以趾踏触, 用脚尖走
vi. 动脚尖"
fishbowl,n. 玻璃鱼缸
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
humane,"a. 有人情的, 人道的, 仁慈的"
selfless,"a. 不顾自己的, 无私的"
naysayer,"n. 拒绝者, 否认者, 老是唱反调的人
"
ascribe,"vt. 归因于, 归咎于
"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
delegate,"n. 代表
vt. 委派...为代表"
genius,"n. 天才, 天赋, 精神, 神魔
"
adviser,"n. 顾问, 劝告者, 指导教师
"
assembly,"n. 与会者, 集会, 装配, 组件
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
foremost,"a. 最初的, 最重要的
adv. 在最前"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
additionally,"adv. 另外, 此外"
superlative,"a. 最上的, 无比的, 过度的
n. 最好的人(物), 最高程度, 最高级"
throng,"n. 群, 人群, 群集, 众多
a. 拥挤的
vi. 群集, 蜂拥
vt. 在...群集, 使拥塞"
admirer,"n. 钦佩者, 仰慕者, 求爱者"
parliament,"n. 国会, 议会
"
resurgent,"a. 复生的, 复活的
n. 复活者"
slum,"n. 贫民窟
vi. 访问贫民区"
par,"n. 标准, 票面价值, 平均数量, 同等水平
a. 票面的, 平常的, 标准的, 平价的
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
induct,"vt. 引导, 使入门, 引入, 使就职"
come into one's own,"得到自己该得的东西, 盛行起来
"
win over,"na. 争取过来
"
let down,"na. 使失望；放下；丢面子
"
ride the storm,[网络] 勇敢面对危机
on a par with,"与…相等,与…一样"
inhabit,"vt. 居住于, 占据, 栖息"
shadowy,"a. 有影的, 暗黑的, 朦胧的, 虚幻的"
mythology,n. 神话
superhuman,"a. 超人的, 人类能力所不能及的"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
demigod,"n. 半神半人, 小神, 受崇拜的人"
trickery,"n. 欺骗, 欺诈, 诡计
"
bravery,n. 勇敢
selflessness,n. 忘我；无私
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
tragic,"a. 悲惨的, 悲剧的"
countless,"a. 数不尽的, 无数的"
Romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
geek,n. 做低级滑稽表演的人
lord,"n. 统治者, 阁下, 上帝
vi. 称王, 作威作福
vt. 使成贵族"
fearless,"a. 大胆的, 勇敢的, 无畏的"
hobbit,n. （英国作家J R R Tolkien笔下的）
unsung,"a. 未被唱颂的, 未赞颂的"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
subterranean,"a. 地下的, 秘密的
n. 地下室, 地下工作者"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
backstreet,"n. （贫穷地区的）后街小巷
a. 偷偷摸摸的；非法的"
alleyway,"n. 小巷, 窄街, 走廊"
apocryphal,"a. 伪的, 不足凭信的"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
credible,"a. 可信的, 可靠的
"
factual,"a. 事实的, 实际的
"
storytelling,"n. 说故事, 说谎话"
improbable,"a. 不大可能的, 不象发生的, 荒谬可笑的
"
durable,"a. 持久的, 耐用的"
hitchhiker,n. 搭便车的旅行者
hitchhike,"vi. 搭便车
vt. 要求(搭便车)"
embellishment,"n. 装饰, 润色, 修饰"
alligator,"n. 短吻鳄
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
mythology,n. 神话
morality,"n. 道德, 教训, 品行
"
cautionary,a. 警告的
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
kidney,"n. 肾, 个性
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
appropriately,"adv. 适当的, 恰如其分的, 恰当的, 合适的"
nobly,"adv. 华丽地, 高尚地, 豪爽地"
courageously,adv. 勇敢地
orally,"adv. 口头, 口语, 口述, 口, 用口发声, 口部"
recognizable,"a. 可认识的, 可承认的, 可识别的
"
warning,"n. 警告, 预告, 预兆, 通知
"
dire,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
exclamation,"n. 惊呼, 激烈言词, 惊叹词"
exclamation mark,"感叹号
"
rumour,"n. 谣言, 传闻
vt. 谣传"
speculation,"n. 沉思, 推测, 投机
"
fictitious,"a. 假想的, 编造的, 虚伪的
"
hoax,"vt. 欺骗, 哄骗, 愚弄
n. 愚弄人, 恶作剧"
deliberately,adv. 故意地
misleading,"a. 引入歧途的, 使人误解的, 骗人的
"
benign,"a. 善良的, 良性的
"
intention,"n. 意图, 目的, 含义
"
creation,"n. 创造, 创作物, 发明
"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
hapless,"a. 倒霉的, 不幸的"
fairy,"n. 仙女, 精灵
a. 仙女的"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
untrue,"a. 不真实的, 不正确的, 不忠实的
"
by word of mouth,口头地
drop sb. off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
leave sth. behind,"na. 遗留；留下；追过；留在后头
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
narcissus,n. 水仙
nymph,"n. 居于山林水泽的仙女, 蛹, 美丽的少女
"
contrive,"v. 发明, 设计, 图谋"
detain,"vt. 扣留, 扣押, 耽搁
"
goddess,"n. 女神, 美女, 受崇拜的女性"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
