act on,"按...行动, 作用于
"
responsible to,[网络] 有责任于；对…有反应；向某人负责
run wild,放肆
revolve around," 旋转, 绕转; 环绕"
rallying cry,n. 战斗口号
rumor has it,[网络] 流言蜚语；当真爱碰上八卦；据传言说
scrape through,勉强通过
search for,搜查
seek to,vt. 设法; 企图，试图
show sympathy for,无
show up,"na. 显眼；揭发；嘲笑；露面
"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
slow down,(使)慢下来
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
stay away from,不在，外出；走开；不接近，不打扰；避开
stick to,粘住
subscribe to,"预订, 同意, 订阅"
suffer from,"忍受, 遭受
"
sum up,"na. 〈口〉概括；总结
"
similar to, 跟。。。类似得，与。。。同样的; 如同
so far,迄今为止
so long as,只要
as long as,只要...
so that,所以
such as,"例如..., 像这种的"
scale down,按比例减少；按比例缩小
search for,搜查
seize on,"抓住, 占有"
send on,"na. 转送；转寄(信等)；预送；先送
"
separate from,"把...和...分开, 把...和...区分开, 使...从...离析"
set off,"na. 分；分割；划开；区划
"
set out,"n. 开始；出发；动身；准备
"
shut up,"关闭, 监禁, 住口, 保藏"
side with,"同意, 站在...的一边"
sign up,"签约参加工作, 签约雇用"
sit on,"为...的一员, 开会讨论, 审理, 拖延, 管教
"
sit up,"坐起, 端坐, 熬夜, 诧异"
size up,"估计, 合格"
smell of,有...的气味
sort out,"na. 清理
"
speak of,"谈到..., 论及..."
speak out,"大胆地说, 大声地说"
speak up,"更大声地说, 大胆说出, 无保留地说出"
speed up,"加速
"
spell out,"na. 详细说明；【印】正式拼写
"
spread out," 伸展, 延长; 分散; 铺设; 衍"
spread over,"na. 〈英〉(根据特殊需要而作的)部分工时调整
"
spring up,出现
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
stand in,"代演员站位, 使花费"
stand out,"突出, 坚持抵抗"
stand up for,"支持
"
stand up to,"经得起..., 勇敢地面对, 抵抗"
start off,"na. 动身
"
start out,"出发, 动身"
start up,"突然站起, 突然出现, 发动, 开动"
start with,从...开始
stay out,呆在户外
stay out of,不参与…;不插手;置身于…之外
stay up,不睡觉
stay with,与...并驾齐驱
stem from,"起源于,出自,出身于…"
step in,"走进, 干涉, 作短时间的非正式访问"
step out,"以步测量
"
step up,"v. 加紧；走上前；登上；增加
"
stick around,逗留
stick together,"团结友爱, 互相支持"
stick with, 继续做; 跟着…; 插满
stir up,"v. 转播；重播；搅拌；煽动
"
stop by,顺便访问
stop off,"中途停留
"
stop short,突然停止
straight away, 立即; 马上
strive for,"奋斗, 争取"
strive to, 力图；力求
submit to,"un. 使某人忍受某事:
"
succeed in,在...方面成功
suffer from,"忍受, 遭受
"
supply to,向…提供〔供应〕…
sweep into,把…扫入…; 昂然走进
switch off,"切断
"
switch on,"v. 打开；接通；参见
"
switch to,"切换到
"
safe and sound,安然无恙的
second-rate,二等的
short of,"缺乏, 达不到, 除...以外"
side effect,"副作用
"
so as to,"使得, 以致"
so-called,adj. 所谓的
something of,"在某种意义上, 在某种程度上"
sooner or later,迟早
sort of,有几分地
stand-point,[科技] 观点
state-owned, 国营的; 国有的
step by step,逐步地
stock option,[法] 股票特权
success in,…的成功
suitable for,适合...的
superior to, [医]adj.优于，胜于
shell out,"交付, 支付"
shrug off,na. (耸肩)表示轻蔑
snap up,"na. 咬住；突然插嘴
"
sniff out,"na. 闻出；〈非正式〉发现
"
soak up,"v. 吸取
"
stake out,"na. “stake off”的变体
"
steer clear of,"避开, 绕开"
strike out,"na. 打去；打出(火花等)；涂去；拟出
"
stumble across,偶然发现
swarm into,涌入
self-contradictory,adj. 自相矛盾的；前后矛盾的
silver lining,n. （不幸或失望中的）一线希望
slot machine,[机] 自动售贷机
stand a chance of,有…的希望
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take pride in,以...为傲
tend to,"注意, 趋向"
thirst for,"渴望, 热望"
trifle with,玩弄
turn out,"v. 证明；原来；到场
"
take measures,採用措施
take place,"na. 发生；举行
"
take the lead,"为首, 带头"
take account of,考虑
take after,"像, 学样
"
take apart,"na. 分解；拆分；剖析
"
take ... as,"把...看作是..., 把...当作是..."
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take care of,"照顾
"
take down,"na. 扯下；卷起；记下；卸下
"
take hold, （如通过抓握来）夺取; 扎根
take note of,注意到
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take over,"na. 接管；继承
"
take part in,"参与, 参加
"
take the place of,"代替
"
take to,"na. 嗜好；开始；参加；逃入
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk back,"顶嘴, 反驳"
talk down to,用高人一等的口气对人说话
talk into,"na. 说服(某人)做…
"
talk over,"na. 商谈；说服
"
team up,"合作, 协作"
tear at,撕扯
tear down,"na. 拆毁；扯下；猛冲
"
tell off,"na. 数清；分派(工作)；【罕】编号；谴责
"
think about,"考虑, 回想"
think back to,回想，回忆；重新思考(往事)
think better of,"重新考虑后决定不做, 经考虑...改变主意
"
think highly of,"认为…很了不起,对…评价很高,非常看重"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think of ... as ...,把...看作
think over,"v. 仔细考虑
"
think up,"na. 想出；〔口语〕发明
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw oneself into,积极从事
throw out,"na. 投出；拒绝；否决(议案)；派出
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
tie up,"na. 绑；系；包扎；(船只)系泊
"
tire out,"na. 使疲倦到极度
"
toss out," 丢弃, 扔掉"
touch down,"攻方持球触地得分, (飞机着陆过程中)触地"
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch up,"na. 润色；完成；用鞭等轻轻打(马)；轻轻打痛
"
trace to,"上溯, 追查到"
track down,"追捕到
"
trade off,"na. 卖出
"
triumph over,"击败, 成功, 得胜"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try to,试图/努力(做)...
turn away,"v. 转变方向
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,[网络] 了解
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn round,"转身, 转变, 改变意见, 采取新政策
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
turn up,"v. 朝上翻；出现
"
take a chance,冒险
take action,"采取行动, 提出诉讼"
take care," 当心, 小心; 坚持到底"
take effect,"见效, 生效
"
take ... for granted, 信以为然
take heart,振作
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take one's time,从容不迫
take pains,"尽力, 耐心"
take root,"生根, 扎根"
take shape,"成形, 形成, 具体化"
take steps,[经] 采取措施
take turns,"轮流, 依次"
thanks to,由于
that is,(作插入语)那就是
the same as,"与...相同, 与...一致"
think-tank,智囊团
thousands of,"成千上万,数千,许许多多"
to a certain extent,在某种程度上
to be fair, 公平地说
to begin with,首先
to be sure,"诚然, 固然, 哎呀"
to date,迄今为止
to death,极度
to excess,过度
to ... extent,达到某种程度
together with,"和, 加之"
to one's knowledge,[网络] 据某人所知；据…所知；就某人所知
too ... to,[网络] 太……而不能；太……以致不能；用法
to some extent,在某种程度上
to the extent of,达到…程度;在…范围内
to the limit of,无
to the point,"中肯, 扼要"
to the point of,达到...的成度
turn a deaf ear to,置若罔闻
take stock of,"盘点存货; 检查, 评估"
thumb through,翻查
tune in,收听
take its toll,"造成损失,造成伤亡"
take one's cue from,从...处得到暗示
take the initiative,带头
take the plunge,冒险尝试
throw one's weight around,"滥用权势, 仗势欺人, 摆起架子指使人
"
to one's heart's content,尽兴地
used to,"过去经常(做)..., 过去有规律地发生"
use up,"na. 用完；耗尽
"
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under fire,受攻击
under pressure,在压力强制下
under way,"进行中, 在行进"
up in the air,悬而未决
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
up to date,"最近的, 最新的
"
usher in,"na. 迎接(来客)；传报
"
view ... as,"把...看作..., 认为...是..."
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
ward off,"v. 挡开；架开
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
with regard to,关于
would rather,"倒愿意…,宁愿…"
wait for,"na. 等；等待
"
wait on,"服侍, 招待, 拜访, 焦急地等待"
walk out,"罢工, 领出(某人), 退席
"
walk up,"沿...走, 走上"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
warn of,"na. 警告(某人)有危险
"
wash out,"v. 洗掉
"
wash up,"洗手洗脸, 洗餐具"
waste away, 变得衰弱[消瘦]; 铄
watch out,"密切注意, 当心, 戒备, 提防"
watch out for,"戒备, 提防, 密切注意"
wear away,"磨损, 流逝, 消磨, 虚度"
wear off,"逐渐减弱, 消失, 磨损, 耗损"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
win over,"na. 争取过来
"
wish for,"盼望, 企求"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work off,"v. 渐渐消除
"
work out,"v. 作出；拟定；制定；计划一下
"
work through, （使）逐渐通过[穿过]; 完成; 解决; 闯过
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
work with,"与…共事,与…协作"
wrap up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
"
well-balanced, [体]匀称
well-known, 众所周知的; 出名的
well-meaning," 出于好心的, 好心好意的, 善意的（但常事与愿违）"
what is more,而且
whether or not,"无论…与否,不管是不是"
with respect to,"关于..., 至于...
"
word for word,逐字地
wade through,"跋涉通过,趟水穿过,吃力地通过,费力地读完"
whip up,"na. 鞭(马等)飞跑；督促；集合(听众等)；抓住
"
wind up,"na. 解散(公司等)；终止；卷紧；绕紧
"
when it comes to,当提到…
you bet,"你可确信, 的确, 当然"
