small talk,闲聊
terrify,"vt. 使恐惧, 恐吓"
wrinkled,"a. 具皱的, 有皱纹的"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
emotion,"n. 情绪, 激动, 强烈的情感
"
fiancée,无
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
burn out,"烧坏, 烧掉, 烧尽
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contrast with,"和...相对照, 与...形成对比"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
throw oneself on ...,依赖
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
make a sound,发出声音
again and again,"再三地, 反复地"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
gene,"n. 基因
"
identical,"a. 同一的, 恒等的, 完全相同的
"
beneficial,"a. 有益的, 受益的
"
by mistake,由于差错
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
treat ... as,[网络] 对待；当作；当做
imaginary,"a. 想像的, 虚构的, 假想的"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
incredible,a. 难以置信的
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
bacteria,"pl. 细菌
"
embryo,"n. 胚胎, 胎儿, 胚芽
"
enzyme,"n. 酶
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
organism,"n. 生物, 有机体, 社会组织
"
stem cell,n. 干细胞
upbringing,n. 教养
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
make-up,"na. 弥补；起草；定；签订
"
genetics,"n. 遗传学
"
transparent,"a. 透明的, 显然的, 清晰的
"
twisting,"[医] 扭转, 捩转"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
pea,"n. 豌豆, 似豌豆的东西"
procedure,"n. 程序, 过程, 手续
"
unzip,"vi. 拉开拉链
vt. 拉开"
a sequence of,"一个…的序列,一系列…"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
be identical to,与...相同
identical to, 与…相同
controversial,"a. 争论的, 论争的, 被议论的"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
optional,"a. 可选择的, 随意的
"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
exceptional,"a. 例外的, 异常的, 特别的"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
regulation,"n. 规则, 管理, 调整
"
handy,"a. 便利的, 敏捷的, 容易取得的
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
rely on,"依赖, 依靠"
biodiversity,n. 生物多样性
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
analyse,"vt. 分析, 细察, 分解
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
saliva,"n. 唾液, 唾沫, 涎
"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
fingernail,n. 手指甲
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
as follows,如下
sci-fi,"adj. 同“science fiction”
"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
knock out,"na. 敲出；敲空；使屈服；使无用
"
get out of control, 失去控制
as far as we know,[网络] 据我们所知；正如我方所知；据我选所知
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
break down,"v. 分解；抛锚；分析；划分
"
arise,"vi. 站立, 出现, 起来"
vice versa,"反之亦然
"
bring ... back to life,"使复活, 给…以活力"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
vengeful,"a. 复仇心重的, 报复的"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
declare war on,"宣战, 发动进攻"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
make a breakthrough,"使出现突破,取得突破"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
survivor,"n. 生还者, 幸存者
"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
beach,n. 海滩
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
commander,"n. 司令官, 指挥官"
eventually,"adv. 最后, 终于"
heroism,"n. 英勇, 勇敢事迹, 豪侠行为"
artillery,"n. 火炮, 炮兵, 炮术
"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
pick up,"v. 拾起；探出；重新开始
"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
shocked,a. 震撼的；震惊的
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
condemn,"vt. 判刑, 责备, 谴责
"
war memorial,n. 战争纪念碑
nationality,"n. 国籍, 国家, 民族性
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
backpack,"n. 远足用的背包；双肩背包, 背包"
afterwards,"adv. 然后, 后来"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
chaos,"n. 大混乱, 混沌
"
senseless,"a. 无感觉的, 无意识的, 不省人事的"
courage,"n. 勇气, 胆量"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
memorable,"a. 值得纪念的, 难忘的"
to one's astonishment,使(某人)吃惊的是...
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
baggage,"n. 行李
"
bedding,"n. 被褥, 寝具, 床上用品, 基床
"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
razor,"n. 剃刀
vt. 剃"
scissors,"pl. 剪刀
"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
stockings,"n. 丝袜；长袜, 球袜"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
barbershop,n. 理发店
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
chin,"n. 下巴, 颏
"
moustache,"n. 髭, 小胡子, 触须"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
sharpener,"n. 研磨者, 卷笔刀, 研磨工具"
unload,"vi. 卸货
vt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)
"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
carrot,"n. 胡萝卜
"
cheers,"interj. 干杯, 再见"
liberation,"n. 释放, 解放
"
constitution,"n. 构成, 宪法, 体格
"
vinegar,"n. 醋, 尖酸刻薄
vt. 加醋于"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
statesman,n. 政治家
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
encourage,"vt. 鼓励, 支持, 激励
"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
strategy,"n. 战略, 策略
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
peacekeeper,n. (交战国间的)停火执行者(或小组)
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
disagreement,"n. 不合, 争论, 不一致
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
