species,"n. 种, 类, 外形
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
slightly,"adv. 些微地, 苗条地"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
cot,"n. 行军床, 小屋, (家畜等的)棚, (家畜等的)栏
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
dissolve,"v. 溶解, 解散"
explosion,"n. 爆发, 激增, 爆炸(声)
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
gravity,"n. 地心引力, 重力
"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
nestle,"vi. 舒适地坐定, 挨靠, 偎依
vt. 抱, 安置"
pebble,"n. 小圆石, 小鹅卵石, 水晶透镜, 碎石花纹
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
petroleum,"n. 石油
"
prairie,"n. 大草原, 草甸"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
reflective,"a. 反射的, 反映的, 沉思的"
remarkable,"a. 不平常的, 值得注意的, 显著的"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
tectonic,"a. 构造的, 建筑的
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
wooden,"a. 木制的, 呆笨的, 木然的"
autobiography,n. 自传
container,"n. 容器, 集装箱
"
continuous,"a. 连续的, 继续的, 连续不断的
"
dine,"vi. 用正餐, 进餐
vt. 宴请"
entertainment,"n. 娱乐, 款待, 娱乐表演"
expense,"n. 费用, 代价, 开支, 损失
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
freshwater,"a. 江河湖泊的, 淡水的"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
inner,"a. 内部的, 内心的
n. 内部"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
linguistic,"a. 语言的, 语言学的
"
linguistics,n. 语言学
medieval,"a. 中古的, 中世纪的"
moreover,"adv. 而且, 此外"
nitrogen,"n. 氮
"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
photosynthesis,"n. 光合作用
"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
reduction,"n. 减少, 缩影, 变化
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
zinc,"n. 锌
vt. 镀锌于"
abundance,"n. 丰富, 充足, 大量
"
accurate,"a. 正确的, 精确的
"
awareness,"n. 意识, 认识
"
colonial,"a. 殖民的, 殖民地的
"
complicated,"a. 复杂的
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
enhance,"vt. 提高, 加强, 增加"
epoch,"n. 新纪元, 时代, 时期"
exposure,"n. 暴露, 揭发, 揭露
"
foundation,"n. 基础, 根据, 建立
"
frequency,"n. 频率, 频数
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
investment,"n. 投资
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
settler,"n. 移民者, 解决者, 结算员
"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
tendency,"n. 趋向, 倾向
"
totally,adv. 完全地
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
variability,"n. 易变, 变化性, 变异性
"
wavelength,"n. 波长
"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
ballet,n. 芭蕾舞
circumstance,"n. 环境, 状况, 事件"
cultivate,"vt. 培养, 耕作"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
destruction,"n. 破坏, 毁灭
"
diameter,"n. 直径
"
empire,"n. 帝国, 帝权"
gazelle,n. 瞪羚
intensity,"n. 强烈, 紧张, 强度
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
necessarily,"adv. 必然地, 必须地, 必要地"
niche,"n. 壁龛
vt. 放入壁龛, 安顿"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
orchestra,"n. 管弦乐队, 乐队演奏处"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
session,"n. 期间, 开庭期, 会议, 学期
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
underwater,"a. 在水中的
adv. 在水下"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
decorative,a. 装饰性的
derive,"vt. 得自
vi. 起源"
distinct,"a. 清楚的, 显著的, 不同的"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
eruption,"n. 爆发, 喷出物, 出疹
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
glaciation,"n. 冻结成冰, 冰川作用"
immediate,"a. 立即的, 直接的, 接近的
"
inhabit,"vt. 居住于, 占据, 栖息"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
lichen,"n. 青苔, 地衣, 苔藓病
"
occasionally,"adv. 有时候, 偶而"
paleontologist,n. 古生物学者
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
popularity,"n. 名声, 受大众欢迎, 流行"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
specifically,"adv. 特定地, 明确地, 按特性"
velocity,"n. 速度, 迅速
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
amnesia,"n. 健忘症, 记忆缺失
"
assumption,"n. 假定, 自负, 担任, 假装
"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
dean,"n. 院长, 主持牧师
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
encode,"vt. 把(电文、情报等)译成密码
"
ensure,"vt. 确定, 保证, 担保, 保护
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
govern,"v. 统治, 支配, 管理"
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
historian,"n. 历史学家, 记事者"
investigate,"v. 调查, 审查"
kinetoscope,"n. 活动电影放映机
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
output,"n. 输出, 产品, 产量
"
pastoralist,"n. 田园诗的作者, 田园剧的作者, 放牧者, 畜牧者"
portray,"vt. 描绘, 描写, 描绘...的肖像"
possibility,"n. 可能性, 可能的事
"
precise,"a. 精确的, 严谨的, 明确的
"
prediction,"n. 预言, 预报
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
quartz,"n. 石英
"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
sodium,"n. 钠
"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
undergo,"vt. 遭受, 经历, 忍受
"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
accumulation,"n. 积聚, 累积, 积聚物
"
category,"n. 种类, 类项
"
celebrity,"n. 名声, 名人"
ceremony,"n. 典礼, 仪式, 礼节
"
combination,"n. 组合, 合并, 联合
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
cooperation,"n. 合作, 协力, 配合
"
elsewhere,adv. 在别处
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
imagination,"n. 想像, 听觉, 想像力
"
intend,"vt. 计划, 打算, 意思是
"
livestock,"n. 家畜
"
mantle,"n. 斗篷, 罩子, 披风
vt. 罩住, 覆盖
vi. 覆盖, 脸红"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
mussel,"n. 贻贝, 珠蚌
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
ratio,"n. 比, 比率
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
thesis,"n. 论题, 论文"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
virus,"n. 病毒, 滤过性病毒, 毒害
"
volcano,n. 火山
westward,"n. 朝西的方向
a. 向西的
adv. 向西的"
accomplish,"vt. 完成, 达到, 实现, 使完美"
aluminum,"n. 铝
"
artificial,"a. 人造的, 假的, 非原地产的
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
composer,"n. 作曲家, 作家, 调停者"
dirt,"n. 污垢, 泥土
"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
emergence,"n. 出现, 浮现, 发生"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
fluctuation,"n. 变动, 波动, 动摇
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
microscopic,"a. 显微镜的, 用显微镜可见的, 微观的, (非正式)极微小的, 细微的
"
mislead,vt. 误导
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
molecule,"n. 分子, 些微
"
prehistoric,"a. 历史以前的, 史前的"
regularly,"adv. 有规则地, 一丝不苟地, 正式地"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
spore,"n. 孢子
vi. 长孢子"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
vitamin,"n. 维生素
"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
arid,"a. 干燥的, 不毛的"
arrange,"v. 安排, 排列, 达成协议
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
bleach,"vt. 漂白
vi. 变白
n. 漂白, 漂白剂"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
decoration,"n. 装饰, 装饰品"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
entirely,"adv. 完全, 全然, 一概"
expedition,"n. 远征, 探险队, 迅速"
flipper,"n. 鳍状肢, (潜水用)脚蹼
"
hieroglyph,"n. 象形文字, 图画文字"
inclusion,"n. 包含, 内含物
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
investigation,"n. 调查, 审查
"
limitation,"n. 限制, 缺陷, 限额
"
motivation,"n. 动机, 刺激, 推动
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
peasant,"n. 农夫, 乡下人"
pellet,"n. 颗粒状物, 小子弹, 小药丸
vt. 使成颗粒, 使成团, 用子弹打"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
pollutant,"n. 污染物质
"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
productive,"a. 能生产的, 有生产价值的, 多产的
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
regional,"a. 地方的, 地域性的
"
registration,"n. 登记, 挂号, 注册
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
scarce,"a. 难得的, 稀罕的, 缺乏的"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
weapon,"n. 武器, 兵器
vt. 武装"
aggression,"n. 侵犯, 侵略
"
auditorium,"n. 听众席, 礼堂
"
calcium,"n. 钙
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
complexity,"n. 复杂, 复杂性, 复杂的事物"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
correspond,"vi. 符合, 通信, 相当
"
dynasty,"n. 朝代, 王朝"
ecology,"n. 生态学, 社会生态学
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
galley,"n. 战舰, 军舰"
indicator,"n. 指示器, 指示剂, 指标
"
invertebrate,"a. 无脊椎的, 无骨气的
n. 无脊椎动物, 无骨气的人"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
machinery,"n. 机器, 机械装置, 机构
"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
motif,"n. 主题, 基调, 动机, 基本图案
"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
opus,n. 作品
ore,"n. 矿石
"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
productivity,"n. 生产力
"
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
seasonal,"a. 季节的, 依照季节的, 周期性的
"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
skull,"n. 头盖骨, 头脑, 好学生
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
transformation,"n. 变形, 变质, 变化, 改革, 变换
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
zebra,n. 斑马
accuracy,"n. 精确, 正确
"
altitude,"n. 高度, 海拔, 高处
"
anthropologist,n. 人类学家
colleague,"n. 同事, 同僚"
collision,"n. 碰撞, 冲突, 抵触
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
efficiency,"n. 效率, 效能, 功效
"
exaggerate,"v. 夸大, 夸张"
exception,"n. 例外, 除外, 异议
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
frontier,"n. 边界, 边境
"
gypsum,"n. 石膏
vt. 用石膏处理"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
hence,"adv. 因此, 从此"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
input,"n. 输入, 输入电路
vt. 输入
"
instructor,"n. 教员, 讲师
"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
plentiful,"a. 许多的, 丰富的, 丰饶的"
preparation,"n. 准备, 预备, 预习
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
shortage,"n. 不足, 缺乏
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
anthropology,"n. 人类学
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
canyon,"n. 峡谷, 海底悬崖"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
deadline,"n. 最后期限, 截止期限
"
displacement,"n. 换置, 移位, 移动, 取代
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
electron,"n. 电子
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
highland,"n. 高地, 苏格兰高地"
impressive,"a. 给人深刻印象的, 威严的"
infantile,"a. 婴儿的, 幼稚的, 初期的
"
interpretation,"n. 解释, 演出, 翻译
"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
pollen,"n. 花粉
vt. 传授花粉给"
porosity,"n. 多孔性, 有孔性
"
preservation,"n. 保存, 保藏, 保护
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
reclamation,"n. 开垦, 教化
"
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
"
reproductive,"a. 生殖的, 再生的, 复制的
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
reverberation,"n. 反响, 混响, 反射
"
rite,"n. 仪式, 典礼, 惯例, 礼拜式"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
snail,"n. 蜗牛, 行动迟缓的人, 脑筋迟钝的人, 蜗形凸轮
vt. (蜗牛般)缓慢地打发(时间)
vi. 缓慢移动"
sociology,"n. 社会学
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
cease,"n. 停止
v. 停止, 终了"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
corridor,"n. 走廊, 回廊, 人口密集地带"
creation,"n. 创造, 创作物, 发明
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
equally,"adv. 相等地, 同样地, 平等地"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
fiction,"n. 小说, 虚构故事
"
forth,"adv. 往前, 以后, 向外"
fragment,"n. 碎片, 破片, 片段
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
gasoline,"n. 汽油
"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
implication,"n. 牵连, 含义, 暗示
"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
income,"n. 收入, 收益, 流入
"
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
jellyfish,"n. 水母, 海蜇, 意志薄弱的人
"
lately,"adv. 近来, 最近"
lava,"n. 熔岩, 火山岩
"
manner,"n. 样子, 礼貌, 风格
"
measurement,"n. 尺寸, 度量, 度量单位
"
myth,"n. 神话, 虚构的事, 虚构的人"
neolithic,a. 新石器时代的
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
oceanic,"a. 海洋的, 产于海洋的, 在海洋中生活的, 广阔的"
parlor,"n. 客厅, 会客室, 小店
a. 客厅的"
peter,"vi. 逐渐消失, 逐渐减少"
potentially,"adv. 可能地, 潜在地"
