accustomed,"a. 惯常的, 习惯了的"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
strife,"n. 争吵, 竞争, 冲突"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
turmoil,"n. 骚动, 混乱"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
version,"n. 一种描述, 版本, 译文
"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
wrath,"n. 愤怒, 激怒, 愤怒的举动, (自然现象等)严酷"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
affiliated,a. 有关连的；附属的
aggressive,"a. 侵略的, 挑畔的, 进取的
"
allegedly,adv. 依其申述
aloft,"adv. 在高处, 在上"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
ambivalent,"a. 矛盾的, 模棱两可的
"
assorted,"a. 各种各样的, 分类的"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
austere,"a. 严峻的, 禁欲的, 简朴的"
avant-garde,"n. 前卫; 先锋
adj. 前卫的"
benevolent,"a. 善意的, 慈善的"
bewildered,"a. 困惑的; 晕眩的; 混乱的; 不知所措的
v. 使困惑"
bizarre,a. 奇异的
blatant,"a. 喧嚣的, 吵闹的, 俗丽的, 炫耀的"
blue-chip,"n. 蓝筹股（稳而值钱的股票）, 稳当可靠的财产"
capricious,"a. 反复无常的, 多变的, 任性的"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
compatible,"a. 能共处的, 可并立的, 适合的
"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
complacent,"a. 满足的, 自满的, 得意的"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
conspicuous,"a. 显著的, 显眼的, 出众的"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
daunting,a. 使人畏缩的
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
enigmatic,"a. 费解的, 谜一般的, 高深莫测的"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
exuberant,"a. 繁茂的, 丰富的, 生气勃勃的
"
exultant,"a. 非常高兴的, 欢欣的"
fanatic,"n. 狂热者, 盲信
a. 狂热的, 盲信的"
feasible,"a. 能实行的, 可行的, 适宜的
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
fervent,"a. 热的, 炎热的, 热心的"
forthcoming,"a. 即将来临的
n. 来临"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
frantic,"a. 狂乱的, 疯狂的"
full-fledged,"adj. 羽毛丰满的；发育充分的；有充分资格的
"
furious,"a. 狂怒的, 激烈的, 吵闹的"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
giddy,"a. 眼花的, 头晕的
v. (使)眼花, (使)眩晕"
gorgeous,"a. 华丽的, 灿烂的"
heady,"a. 顽固的, 任性的, 性急的, 猛烈的"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
incessant,"a. 不断的, 不绝的, 无尽的"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
indignant,"a. 愤怒的, 愤慨的"
inherent,"a. 固有的, 与生俱来的
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
lethal,"a. 致命的
n. 致死因子"
lucrative,"a. 有利益的, 获利的, 合算的"
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
malicious,"a. 怀恶意的, 恶毒的"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
mundane,"a. 现世的, 世俗的, 宇宙的"
optional,"a. 可选择的, 随意的
"
perennial,"a. 常年的, 长期的, 反复的
"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
poised,"a. 平衡的, 均衡的, [表]作好准备的, (褒)沉着的, 泰然自若的, 自信的"
precarious,"a. 不稳定的, 不安的, 危险的"
predominant,"a. 占主导地位的, 卓越的
"
prestigious,a. 享有声望的
presumably,"adv. 推测上, 大概"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
resurgent,"a. 复生的, 复活的
n. 复活者"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
sentimental,"a. 感伤的, 感情用事的"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
simmering,"v. 炖, 慢煮( simmer的现在分词 ); 充满势将爆发的（怒气等）"
simplistic,a. 过分简单化的
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
speculative,"a. 思索性的, 投机的, 推测的
"
sporadic,"a. 偶尔发生的, 零星发生的, 分散的
"
sprawling,"a. 蔓生的, 不规则地伸展的"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
sublime,"a. 高尚的, 壮观的, 卓越的
v. 提高, (使)变高尚, (使)纯化, (使)升华
n. 庄严, 崇高, 顶点"
subsequent,"a. 后来的, 接下去的
"
tantalizing,"a. 逗引性的, 干着急的"
tedious,"a. 沉闷的, 冗长乏味的"
tentative,"n. 试验
a. 试验性的, 暂时的"
thrilling,"a. 毛骨悚然的, 令人兴奋的, 令人发抖的"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
tumultuous,"a. 吵闹的, 纷乱的, 骚乱的
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
untapped,"a. 塞子未开的, 未利用的"
vaunted,"a. 自夸的, 大肆吹嘘的, 自负的"
versatile,"a. 多才多艺的, 万用的, 万向的"
viable,"a. 能养活的, 能生长发育的
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
with a vengeance,"猛烈地, 极度地"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
accelerate,"v. 加速, 促进"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accumulate,"v. 积聚, 堆积"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
afflict,"vt. 使苦恼, 折磨"
alleviate,"vt. 减轻, 使缓和"
annihilate,"vt. 消灭, 废止"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
assassinate,"vt. 暗杀, 行刺
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
backfire,"n. 逆火, 回火, 放火
vi. 放逆火, 预先放火, 发生意外"
banish,"vt. 驱逐, 消除
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
bode,"v. 预示
bide的过去式"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
capitalize,"vt. 以大写字母写, 使资本化, 估计...的价值
"
capitalize on,利用
circumvent,"vt. 绕行, 陷害, 包围, 智取"
cite,"vt. 引用, 引证, 表彰
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
collaborate,"vi. 合作, 勾结
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
comprehend,"vt. 理解, 包括"
comprise,"vt. 包含, 构成"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
confiscate,"vt. 没收, 把...充公, 查抄
a. 被没收的"
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
conjure up,"na. 念咒召来；使现出
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
covet,"v. 妄想, 垂涎"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
crave,"v. 渴望, 热望, 恳求"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
crunch,"v. 嘎吱嘎吱的咬嚼, 压碎, 嘎吱嘎吱地踏过
n. 咬碎, 咬碎声"
cultivate,"vt. 培养, 耕作"
defect,"n. 缺点
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
denounce,"vt. 告发, 抨击, 谴责
"
deploy,"v. 展开, 配置"
depreciate,"vi. 贬值
vt. 降价, 贬低"
derail,"vt. 使出轨
n. 脱轨器
"
derive,"vt. 得自
vi. 起源"
deter,"vt. 制止, 吓住, 威慑"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
diminish,"v. (使)减少, (使)变小"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
disclose,"vt. 揭露, 透露
"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
dissolve,"v. 溶解, 解散"
distract,"vt. 转移, 分心, 使发狂"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
embody,"vt. 具体表达, 使具体化
"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
envision,"vt. 想象, 预想"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
erupt,"vi. 爆发
vt. 喷出"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
evaluate,"vt. 评估, 评价, 赋值"
evoke,"vt. 唤起, 引起, 召(魂)
"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
feature in,(使)在…中起重要作用；(使)在…中占重要位置
foresee,"vt. 预见, 预知"
foreshadow,"vt. 成为前兆, 预示"
forgo,"vt. 摒绝, 放弃"
forego,"vt. 放弃, 在...之前, 居先"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
fret,"n. 烦躁, 磨损, 焦急, 网状饰物
vi. 烦恼, 不满, 磨损
vt. 使烦恼, 腐蚀, 使磨损, 使起波纹"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
harass,"vt. 使困扰, 使烦恼, 折磨"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
heap sth. on sb.,[网络] 对大加；堆积
hobble,"vi. 蹒跚
vt. 使跛行, 阻碍
n. 跛行"
ignite,"vt. 点燃, 使灼热, 使兴奋"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
immerse,"vt. 沉浸, 使陷入
"
immerse oneself,无
imply,"vt. 暗示, 意味
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
indulge in,沉湎于
inflict,"vt. 施以, 加害, 使承受
"
instill,"vt. 滴注, 慢慢地灌输"
intervene,"vi. 插入, 调停, 干涉
"
intimidate,"vt. 威胁, 恐吓
"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
locate,"vt. 找出, 设于, 位于
vi. 定居"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
loot,"n. 赃物, 洗劫, 抢夺
v. 洗劫, 抢夺"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
moonlight,"n. 月光
a. 有月光的, 月夜的"
mourn,"v. 哀悼, 忧伤, 服丧"
multiply,"v. 繁殖, 乘, 增加
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
phase in,"na. 逐步采用
"
phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
prod,"n. 刺针, 刺棒, 激励话, 提醒物
vt. 戳, 刺, 刺激
vi. 戳, 刺"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
provoke,"vt. 激怒, 惹起, 诱导
"
prowl,"n. 潜行, 徘徊, 悄悄踱步
vi. 潜行以觅食, 徘徊
vt. 徘徊"
quell,"vt. 压制, 平息, 减轻"
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
repent,"vi. 后悔, 懊悔, 忏悔
vt. 后悔
a. 匍匐生根的"
restrain,"vt. 抑制, 阻止, 束缚
"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
savor,"n. 滋味, 气味, 食欲
vi. 有...的滋味
vt. 加调味品于, 使有风味, 尝到"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
seduce,"vt. 唆使, 怂恿, 引诱, 诱奸
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
shun,"vt. 避开, 规避, 避免"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
snap up,"na. 咬住；突然插嘴
"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
strangle,"vt. 勒死, 扼死, 压制, 使窒息, 抑制
vi. 被扼死, 被绞死, 窒息而死"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
subsidize,"vt. 补助, 资助, 贿赂
"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
surpass,"vt. 超越, 凌驾, 胜过"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
tamper,"vi. 干预, 拨弄, 贿赂, 损害, 篡改
vt. 篡改
n. 捣棒, 打夯机, 填塞者"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
tug,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索
v. 用力拉"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
unravel,"vt. 阐明, 解决, 解开
vi. 散开"
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
vanish,"vi. 消失, 不见, 成为零"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
anecdote,"n. 轶事, 奇闻"
antidote,"n. 解毒剂, 解毒药
"
arbitration,"n. 仲裁, 公断
"
arrogance,"n. 傲慢态度, 自大"
assets,"n. 资产
"
autonomy,"n. 自治, 自治权
"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
blockbuster,n. 巨型炸弹
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
capacity,"n. 容量, 能力, 才能, 资格
"
casualty,"n. 意外事故, 伤亡, 受害者
"
celebrity,"n. 名声, 名人"
censorship,"n. 检查制度
"
chunk,"n. 大块, 矮胖的人(或物)
"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
cliche,"n. 陈腔滥调, 凸印版
a. 陈腐的"
consolation,"n. 安慰, 令人安慰的事物
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
conviction,"n. 定罪, 信服, 坚信
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
curfew,"n. 晚钟, 打晚钟时刻, 宵禁
"
delinquency,"n. 行为不良, 失职
"
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
dilemma,"n. 困境, (进退两难的)窘境"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
disruption,"n. 分裂, 崩溃, 瓦解"
dissident,"a. 意见不同的, 持不同政见的
n. 意见不同的人, 持不同政见者"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
expertise,"n. 专家意见, 专门技术
"
fiasco,"n. 惨败, 大失败"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
franchise,"n. 公民权, 特权, 特许经营权, 免赔额
vt. 给以特权, 给以...公民权"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
frenzy,"n. 疯狂, 狂暴, 狂怒
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
guise,"n. 相似, 外观, 伪装
v. 穿戴, 伪装"
guru,"n. 古鲁(印度教导师)
"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
guts,"n. 飞碟游戏（比赛双方每组5人, 相距15码, 互相掷接飞碟）；内脏；狭道；[口语]贪食者（gut的复数）"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
heed,"n. 注意, 留心
v. 注意, 留心"
hegemony,"n. 霸权, 领导权, 支配权, 拥有支配权的政府
"
heyday,"n. 全盛期
interj. 嘿"
