able,"a. 能干的, 能够的"
atmosphere,"n. 大气, 空气, 气氛
"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
indeed,"adv. 的确, 实在, 真正地, 甚至"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
electric,"a. 电的, 导电的, 电动的
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
handy,"a. 便利的, 敏捷的, 容易取得的
"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
fluent,"a. 流利的, 流畅的"
insurance,"n. 保险, 保险业, 保险费
"
literature,"n. 文学, 文艺, 著作
"
literary,"a. 文学的, 文艺的, 精通文学的
"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
ceremony,"n. 典礼, 仪式, 礼节
"
arise,"vi. 站立, 出现, 起来"
citizen,"n. 市民, 公民
"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
analyse,"vt. 分析, 细察, 分解
"
analyze,"vt. 分析, 细察, 分解
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
awful,"a. 可怕的, 庄严的, 虔敬的"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
divorce,"n. 离婚
vt. 与...离婚"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
fever,"n. 发烧, 发热, 热病
"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
greeting,"n. 祝贺, 问候"
handwriting,n. 笔迹
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
humour,"n. 幽默, 诙谐, 情绪, 体液
vt. 使满足, 迁就"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
accurate,"a. 正确的, 精确的
"
architect,"n. 建筑师, 设计者, 缔造者"
alcohol,"n. 酒精, 酒
"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
calculate,"v. 计算, 预测, 计划, 打算"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
composition,"n. 作文, 创作, 组成
"
detective,"n. 侦探
a. 侦探的"
dictation,"n. 听写, 口述, 命令"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
flu,"n. 流感, 流行性感冒"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
misunderstand,"vt. 误解, 误会"
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
fiction,"n. 小说, 虚构故事
"
a,"第一个字母 A; 一个; 第一的
art. "
an,art. 一
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
AD,"n. 【网】打成平局后得分 = advantage. ad in (打成平局后)发球人得分
abbr. 〈外(=Anno Domini)公元
prep. 达；根据
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
Africa,n. 非洲
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
afternoon,"n. 午后, 下午"
afterwards,"adv. 然后, 后来"
again,"adv. 再一次, 又, 到原处"
against,"prep. 反对, 对着, 倚靠"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
ago,adv. 以前
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
AIDS,"n. 爱滋病(获得性免疫缺陷综合征)
"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
aircraft,"n. 航空器, 飞机
"
airplane,"n. 飞机
"
airport,"n. 飞机场
"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
almost,"adv. 几乎, 差不多"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
along,"adv. 平行地, 向前
prep. 沿着"
aloud,"adv. 出声地, 大声地"
already,"adv. 已经, 早已"
also,"adv. 也, 并且, 同样地"
although,"conj. 虽然, 尽管"
altogether,"adv. 完全地, 总而言之"
always,"adv. 总是, 始终"
am,"be的单数第一人称
"
a.m.,"abbr. 调幅；振幅调制；议员（威尔士议会成员）
"
A.M.,"abbr. 调幅；振幅调制；议员（威尔士议会成员）
"
AM,"abbr. 调幅；振幅调制；议员（威尔士议会成员）
"
America,"n. 美洲, 美国"
among,prep. 在...之中
and,"conj. 和, 与
"
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
animal,"n. 动物
"
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
any,"a. 任何的
pron. 任何"
anybody,"pron. 任何人
n. 重要人物"
anyhow,"adv. 无论如何, 至少"
anyone,pron. 任何人
anything,pron. 任何事
anyway,"adv. 无论如何, 至少"
anywhere,adv. 无论何处
apple,"n. 苹果, 家伙
"
area,"n. 区域, 面积, 范围, 空地
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
army,"n. 军队, 陆军"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
arrive,"vi. 到达, 抵达"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
Asia,n. 亚洲
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
at,"prep. 在, 向, 对
"
athlete,"n. 运动员, 运动选手
"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
autumn,"n. 秋天, 成熟期"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
away,adv. 离去
baby,"n. 婴孩
"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
backwards,adv. 向后
bad,"a. 坏的
n. 坏
adv. 坏地"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
banana,n. 香蕉
bank,"n. 银行, 堤, 岸
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
basket,"n. 篮, 篮子
vt. 装入篮"
basketball,n. 篮球
BC,abbr. 公元前（Before Christ）
be,"v. 是, 表示, 在
"
beach,n. 海滩
bean,"n. 豆子
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
beautiful,a. 美丽的
beauty,"n. 美, 美人"
because,conj. 因为
become,"vi. 变成, 变得
vt. 适合"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
bedroom,n. 卧室
bee,"n. 蜜蜂, 聚会"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
beer,"n. 啤酒
"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
beg,"v. 乞求, 乞讨, 请求"
begin,"v. 开始
"
behind,"adv. 在后地
prep. 在...背后"
believe,v. 相信
bell,"n. 铃, 钟
"
below,"prep. 在下面
adv. 在下面"
beside,prep. 在旁边
besides,"prep. 除...之外
adv. 而且, 此外"
between,prep. 在...之间
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
bicycle,n. 自行车
bike,"n. 自行车, 脚踏车"
big,"a. 大的, 重要的
adv. 大量地"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
birth,"n. 出生, 起源
"
birthday,n. 生日
birthplace,n. 诞生地
biscuit,"n. 饼干
"
black,"n. 黑色, 黑颜料
a. 黑色的"
blackboard,n. 黑板
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
blouse,n. 宽松的上衣
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
boat,"n. 船
vi. 乘船
vt. 以船运"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
born,"a. 天生的
bear的过去分词"
borrow,"vt. 借, 借入, 借用
vi. 借
"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
both,"a. 两者的
adv. 两者都
pron. 两者"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
boy,"n. 男孩
"
brain,"n. 脑
vt. 打碎脑部"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
breakfast,n. 早餐
breath,"n. 呼吸, 气息, 瞬间
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
broken,"a. 坏掉的, 打破的, 断掉的
break的过去分词"
brother,n. 兄弟
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
build,"v. 建立, 建筑
n. 构造, 体格"
building,"n. 建筑物, 建筑
"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
bury,"vt. 埋葬, 埋藏"
bus,"n. 公共汽车
"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
businessman,"n. 商人, 实业家, 工商业家"
businesswoman,"n. 商人, 办理实务的人, 经商者"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
but,"prep. 除了
conj. 但是
adv. 仅仅"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
bye-bye,"睡觉,床铺,再见"
cabbage,"n. 卷心菜
"
cafe,"n. 咖啡馆, 酒店"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
camel,"n. 骆驼, 打捞浮筒"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
cancer,"n. 癌, 恶性肿瘤
"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
car,"n. 汽车, 客车
"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
carrot,"n. 胡萝卜
"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
cash,"n. 现金
vt. 兑现"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
century,"n. 世纪, 百年"
certain,"a. 确定的, 某一个的, 必然的
"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
chalk,"n. 粉笔, 白垩
vt. 用粉笔写, 记录"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
chicken,"n. 小鸡, 鸡肉"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
child,"n. 孩子, 产物, 追随者
"
childhood,"n. 孩童时期
"
chocolate,"n. 巧克力
a. 巧克力制的"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
chopsticks,n. 筷子
Christmas,[网络] 圣诞；基督的弥撒
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
cigarette,"n. 香烟, 纸烟"
cinema,"n. 电影院, 电影"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
city,"n. 城市, 市
"
classmate,n. 同班同学
classroom,n. 教室
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
clever,"a. 聪明的, 精明的"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
clone,"n. 无性系
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
cloth,"n. 布料, 织品, 布
"
clothes,n. 衣服
clothing,n. 衣服
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
coal,"n. 煤, 木炭
v. 加煤"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
coffee,"n. 咖啡, 咖啡色
"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
computer,"n. 电脑, 电子计算机
"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
continent,"n. 大陆, 洲
a. 自制的"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
could,"aux. 可以, 能"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
cow,"n. 母牛, 母兽
vt. 威胁"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
cruel,"a. 残酷的, 令人极痛苦的
"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
dad,"n. 爸爸, 爹爹"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
danger,"n. 危险, 威胁
"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
daughter,"n. 女儿
a. 女儿的"
day,"n. 天, 日子, 白天, 工作日
"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
deaf,"a. 聋的
"
dear,"n. 亲爱的人
a. 亲爱的, 昂贵的, 严重的, 急迫的
interj. 啊
adv. 深爱地, 高价地"
debt,"n. 债务, 罪过
"
decide,"v. 决定, 判决"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
deer,n. 鹿
degree,"n. 程度, 度数, 学位, 度
"
delicious,a. 美味的
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
desk,"n. 书桌, 办公桌, 工作台"
diamond,"n. 钻石, 菱形
"
diary,"n. 日记
"
dictionary,"n. 字典, 词典
"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
dinner,"n. 晚餐, 正餐, 宴会"
do,"v. 做, 进行, 完成"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
doll,"n. 洋娃娃, 无头脑的美丽女人"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
door,n. 门
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
downstairs,"n. 楼下
a. 楼下的
adv. 在楼下"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
dumpling,"n. 面团布丁, 团子"
during,prep. 在...的时候
duty,"n. 责任, 关税, 职务, 尊敬
"
DVD,abbr. 数字化视频光盘（Digital Video Disk）
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
early,"a. 早的, 早熟的
adv. 很早, 初"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
eat,"v. 吃, 腐蚀"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
elephant,n. 象
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
enjoy,"vt. 享受, 喜欢, 欣赏
"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
envelope,"n. 信封, 封套, 封袋
"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
eraser,n. 擦子
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
Europe,n. 欧洲
