enable,"vt. 使能够
"
axis,"n. 轴
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
enforce,"vt. 强迫, 执行, 坚持
"
endow,"vt. 捐赠, 捐助, 赋予
"
enhance,"vt. 提高, 加强, 增加"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
ensure,"vt. 确定, 保证, 担保, 保护
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
authorize,"vt. 授权, 批准, 委托
"
authorise,vt. 授权；批准；允许；委任（等于authorize）
authoritative,"a. 权威性的, 官方的, 命令式的
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
certify,"v. 证明, 保证"
console,"vt. 安慰, 藉慰
n. 控制台
"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
classify,"vt. 分类, 归类, 分等
"
notify,"vt. 通知, 通告, 报告
"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
testify,"v. 证明, 作证, 声明, 表明"
testimony,"n. 证言, 证据, 声明
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
subsidy,"n. 补助金, 津贴
"
subsidiary,"n. 子公司, 附件, 辅助者
a. 辅助的, 次要的, 津贴的"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
recipe,"n. 食谱, 处方, 秘诀
"
permission,"n. 许可, 允许
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
incredible,a. 难以置信的
inevitable,"a. 不可避免的, 必然的
"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
exquisite,"a. 精致的, 细腻的, 敏锐的"
intermittent,"a. 间歇的, 断断续续的
"
infectious,"a. 有传染性的, 易传染的
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
powerful,"a. 有力的, 有权力的, 强大的
"
influential,"a. 有影响的, 有势力的"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansive,"a. 扩张性的, 使扩大的, 广阔的
"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
overload,"vt. 超载, 过载, 超过负荷
n. 超载, 负荷过多"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
constrain,"vt. 强迫, 限制, 关押"
detain,"vt. 扣留, 扣押, 耽搁
"
prolong,"vt. 延长, 拖延, 拖长
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
compulsory,"a. 被强制的, 强迫的, 义务的
"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
convention,"n. 大会, 协定, 惯例, 约定
"
integrity,"n. 正直, 廉正, 完整
"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
temperament,"n. 气质, 性格, 性情
"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
destiny,"n. 命运, 定数"
fate,"n. 命运, 运气
vt. 注定"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
"
rely,"vi. 信赖, 依赖, 信任"
reliable,"a. 可靠的, 可信赖的
"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
unity,"n. 一致, 联合, 单一(性), 个体
"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
instruct,"vt. 教, 教育, 命令, 通知
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
educate,"vt. 教育, 培养, 训练"
create,"vt. 创造, 建造, 引起, 任命"
invent,"vt. 发明, 创作, 虚构
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
resemble,"vt. 相似, 类似"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
ridiculous,"a. 荒谬的, 可笑的"
harmony,"n. 协调, 和睦, 调和
"
alliance,"n. 联盟, 联合
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
federation,"n. 联邦, 联合, 联盟
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
rival,"n. 对手, 竞争者
a. 竞争的"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
mislead,vt. 误导
deceive,"v. 欺骗, 行骗"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
presumably,"adv. 推测上, 大概"
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
previous,"a. 早先的, 前面的, 过急的
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
agenda,"pl. 议程, 日常工作事项
"
bulletin,"n. 公告, 布告, 公报
"
timetable,n. 时间表
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
decorate,v. 装饰
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
worthless,"a. 无价值的, 无益的, 无足轻重的
"
invaluable,"a. 无价的, 价值无法衡量的"
trait,"n. 特征, 特性, 一笔, 少许"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
continual,"a. 持续不断的, 继续的
"
continuous,"a. 连续的, 继续的, 连续不断的
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
provided,"conj. 倘若, 以...为条件"
sake,"n. 目的, 缘故, 理由"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
attain,"vt. 达到, 获得
vi. 达到"
acquire,"vt. 获得, 学到
"
assign,"vt. 分配, 指派, 赋值
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
awkward,"a. 笨拙的, 棘手的"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcely,"adv. 简直不, 一定不, 仅仅"
shortage,"n. 不足, 缺乏
"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
enrich,"vt. 使富足, 使肥沃"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
exemplify,"vt. 例证, 例示
"
promote,"vt. 促进, 晋升, 创办, 推销
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
visual,"a. 视觉的
"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
visualise,"vt. 使可见, 使具体化, 使具形象
vt.vi. 设想, 想象
vi. 显现"
envisage,"vt. 面对, 正视, 想象"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
outlook,"n. 观点, 景色, 前途, 了望
"
horizon,"n. 地平线, 眼界, (天)视地平"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exposure,"n. 暴露, 揭发, 揭露
"
legal,"a. 法律的, 法定的, 合法的
"
illegal,"a. 违法的, 不合规定的
"
rational,"a. 理性的, 合理的
n. 有理数"
addition,"n. 加法, 增加的人(或物)
"
additional,"a. 附加的, 另外的, 额外的
"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
tradition,"n. 传说, 传统, 交付
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
product,"n. 产品, 结果, 乘积
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
prosperity,"n. 繁荣, 茂盛, 成功
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
energetic,"a. 精力充沛的, 积极的"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
dignity,"n. 尊严, 高贵
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustration,"n. 例证, 插图
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
precise,"a. 精确的, 严谨的, 明确的
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
accurate,"a. 正确的, 精确的
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adapt,"vt. 使适应, 改编
vi. 适应"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
determination,"n. 决心, 果断
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
definitive,"n. 限定词
a. 限定的, 决定性的"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
persuasion,"n. 说服, 信念, 派别, 说服力"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
convince,"vt. 说服, 使相信
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
embody,"vt. 具体表达, 使具体化
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
timid,"a. 胆小的, 羞怯的"
intimidate,"vt. 威胁, 恐吓
"
threat,"n. 恐吓, 恶兆, 威胁
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
tedious,"a. 沉闷的, 冗长乏味的"
compatible,"a. 能共处的, 可并立的, 适合的
"
concise,"a. 简洁的, 简明的"
comparable,"a. 可比较的, 比得上的"
comparative,"a. 比较的, 相对的
n. 对手"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
compete,"vi. 竞争, 对抗"
competitive,"a. 竞争的
"
cooperate,"vi. 合作, 协力, 配合
"
multitude,"n. 多数, 群众"
latitude,"n. 纬度, 范围
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
longitude,"n. 经度, 经线
"
coincidence,"n. 巧合, 同时发生
"
occurrence,"n. 发生, 事件, 出现
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
symmetry,"n. 对称, 匀称
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
accelerate,"v. 加速, 促进"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
incentive,"n. 动机
a. 激励的"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
elevate,"vt. 举起, 提拔, 鼓舞"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
reside,"vi. 住, 居留, 属于
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
residential,"a. 住宅的, 与居住有关的
"
dwell,"vi. 居住, 居住(于), 存在(于)"
inhabit,"vt. 居住于, 占据, 栖息"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
shrug,"n. 耸肩
v. 耸肩"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
grope,"v. 摸索
n. 摸索"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
strive,"vi. 努力, 奋斗, 斗争"
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
abundant,"a. 丰富的, 充分的, 大量的"
ample,"a. 大量的, 充足的, 丰富的"
numerous,"a. 很多的, 数目众多的, 多数的
"
innumerable,"a. 无数的, 数不清的"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
distinguish,"v. 区别, 辨别"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
abolish,"vt. 废止, 革除, 消灭
"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
erase,"vt. 抹去, 擦掉
"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
ignite,"vt. 点燃, 使灼热, 使兴奋"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
evaluate,"vt. 评估, 评价, 赋值"
assess,"vt. 估定, 对...征税, 评定
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
appraisal,"n. 评价, 估价
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
reputation,"n. 名誉, 名声, 声望
"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
reservation,"n. 保留, 预定, 保留品, 保留地
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
exclaim,"v. 大叫, 呼喊, 大声叫"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
recite,"v. 背诵, 朗读, 叙述"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
