aha,interj. 啊哈
subsequently,"adv. 后来, 随后"
sweatband,n. 防汗带
teammate,n. 队友
tryout,"n. 试验, 试用, 选拔赛"
varsity,n. 大学运动代表队；大学
yearbook,n. 年鉴
be bound up with,与...有密切关系
be up against,面临
come in for criticism,[网络] 挨批评
come in for blame,无
go for,"去找, 努力获取, 被认为, 主张, 拥护"
in shape,"在外形上, 处于良好状态"
dawn on,被理解
dawn on someone,[网络] 恍然大悟
go well with,在…进展顺利
sign up,"签约参加工作, 签约雇用"
strike someone as,使某人产生…的感觉；给某人以…的印象
accordingly,"adv. 相应地, 因此, 于是"
armored,a. 装甲的
armoured,a. 装甲的
assess,"vt. 估定, 对...征税, 评定
"
definitive,"n. 限定词
a. 限定的, 决定性的"
denominator,"n. 分母, 命名者
"
disaster,"n. 灾祸, 不幸, 彻底失败"
exposure,"n. 暴露, 揭发, 揭露
"
fraction,"n. 小部分, 破片, 分数
"
hypochondria,"[医] 疑病[症], 季肋部"
hypochondriac,"n. 疑病症患者, 忧郁症患者
"
inconvenience,"n. 不便, 困难
vt. 使感不便, 使感困难"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
injury,"n. 伤害, 侮辱
"
miner,"n. 矿工, 开矿机, 坑道工兵
"
multiply,"v. 繁殖, 乘, 增加
"
neurotic,"n. 神经症患者
a. 神经质的, 神经症的"
numerator,"n. 分子, 计算者, 计算的东西"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
physician,"n. 医师, 内科医师, 解除痛苦者
"
probability,"n. 可能性, 或然率, 几率, 概率
"
ratio,"n. 比, 比率
"
risky,a. 危险的
riskiness,"n. 富有冒险性的事, 危险"
rob,"v. 抢夺, 抢掠, 剥夺"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
symptom,"n. 症状, 征候, 征兆
"
versus,"prep. 对...
"
all manner of,各种各类的
end up,"竖着, 结束, 死"
feed on,"以...为食, 以...为能源"
in question,"正被讨论, 可怀疑
"
may well,"很有理由,大有可能;不妨"
on the strength of,"依赖..., 凭借..., 在...的鼓励下"
reduce ... to,[网络] 下降至；减少到；使处于，使成为
AIDS,"n. 爱滋病(获得性免疫缺陷综合征)
"
catastrophic,"a. 悲惨的, 灾难的"
costly,"a. 昂贵的, 奢华的, 费用大的"
deficit,"n. 赤字, 不足额
"
disproportionately,"adv. 不匀称, 不相称"
enormously,"adv. 非常地, 巨大地"
funding,[经] 债务转期
hence,"adv. 因此, 从此"
immediacy,"n. 直接, 目前, 迫切需要的事物"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
incubation,"n. 抱蛋, 孵化, 酝酿
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
killer,"n. (非正式)杀人者, 屠杀者, 猛兽, 致死(疾病), 杀手, 止痛药, 限制器, 瞄准器
"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
lesser,"a. 较少的, 较小的, 次要的"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
payable,"a. 可付的, 到期的, 应付的, 有利益的
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
piper,"n. 吹笛者, 风笛手, 管乐器吹奏者, 管道安装工, 幼鸽"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
preoccupation,"n. 抢先占据, 先人之见, 入神
"
principally,"adv. 主要地, 大部分"
radiation,"n. 辐射
"
reassessment,[经] 重新估价
repeatedly,"adv. 重复地, 再三地"
seriousness,"n. 严肃, 认真, 严重性"
short-sighted, [医]近视的
specifically,"adv. 特定地, 明确地, 按特性"
terror,"n. 恐怖, 可怕的人
"
understandable,a. 可以理解的
strike terror into someone's heart,"使某人胆战心惊；使某人胆战心惊 [亦作 strike terror into the heart of someone, strike terror into (或 in) someone]"
strike fear into someone's heart,无
bring something under control,vt.  置于 ... 控制之下； 把 ... 控制住
bear in mind,"na. 记住；铭记不忘；注意
"
make sense,有意义
in this light,[网络] 这样说来；从这一角度看；考虑到此
by virtue of,"依靠, 由于
"
adventurous,"a. 喜欢冒险的, 有进取心的, 危险的"
alpine,"a. 高山的, 高山生长的"
ambition,"n. 野心, 志向"
ankle,"n. 踝
"
bungee,n. 橡皮筋；蹦极；松紧绳
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
capitalize,"vt. 以大写字母写, 使资本化, 估计...的价值
"
chord,"n. 弦, 和音
"
client,"n. 客户, 顾客, 委托人
"
cord,"n. 绳索, 束缚
"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
fatality,"n. 不幸, 厄运, 致命性, 死亡者, 厄运, 天命"
glacier,n. 冰川
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
lawsuit,"n. 诉讼
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
mountaineer,"n. 登山家, 山地人
vi. 登山"
mundane,"a. 现世的, 世俗的, 宇宙的"
parachute,"n. 降落伞
vi. 跳伞"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
qualified,"a. 有资格的
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
sanitize,"vt. 对...采取卫生措施, 消毒, 使无害
"
seeker,"n. 搜索者, 探求者
"
ski,"n. 滑雪橇
vi. 滑雪"
statistics,"n. 统计学, 统计资料
"
suburbia,"n. 都市的郊区, 郊区居民, 郊区居民所特有的风俗习惯"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
typically,adv. 代表性地；作为特色地
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
wrist,"n. 手腕, 腕关节
"
capitalize on,利用
range from something to something,无
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
short cut,"n. 近路, 捷径"
strike a chord,引起共鸣
adequate,"a. 适当的, 足够的
"
commencement,"n. 开始, 毕业典礼
"
crucial,"a. 决定性的, 重要的, 严厉的
"
deadline,"n. 最后期限, 截止期限
"
erase,"vt. 抹去, 擦掉
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
fantasy,"n. 幻想, 想象的产物
"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
forgiving,"a. 宽大的, 容许有错误的"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
garrulous,"a. 饶舌的, 多嘴的, 喋喋不休的"
informed,a. 见多识广的
mediocre,"a. 不好不坏的, 通常, 平凡的"
midterm,"a. 中期的
n. 期中考试"
painless,"a. 无痛的, 不痛的
"
parlous,"a. 危险的, 不易对付的, 精明的, 麻烦的
adv. 非常地, 极度地"
preparatory,"a. 预备性的, 准备性的
n. 预科"
presentation,"n. 赠与, 描述, 介绍
"
pretense,"n. 借口, 虚假, 伪装"
quitter,"n. 轻易放弃的人, 懦夫, 逃避责任的人
"
slipshod,"a. 破烂的, 马虎的, 潦草的"
supposedly,"adv. 想象上, 看上去像, 被认为是, 恐怕, 按照推测"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
unchallenging,[网络] 不寻常的
unimaginative,"a. 缺乏想象力的, 无趣的"
unlearn,"vt. 使忘掉, 从脑中扫除掉, 抛掉以前的想法"
act out,"v. 演出
"
be rid of,摆脱
by no means,决不
get down to,开始认真考虑
look back on,"回头看,回顾,追忆"
take a close look,"v. 仔细看过
"
take a close look at,"v. 仔细观察
"
administrator,"n. 管理人, 行政官
"
arcane,"a. 神秘的, 晦涩难解的"
bizarre,a. 奇异的
chilling,"[计] 冷却, 致冷"
contented,"a. 满足的, 心安的"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
demented,"a. 发狂的, 精神错乱的
"
desperation,n. 绝望
downhill,"a. 下坡的
adv. 下坡, 向下"
exhilarating,"a. 令人喜欢的, 使人愉快的, 爽快的"
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
glaze,"n. 釉, 上光, 光滑面
vt. 装以玻璃, 上釉于
vi. 变得光滑, (目光)变呆滞"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
kneel,vi. 跪下
leisurely,"a. 悠闲的, 从容的
adv. 从容地, 悠闲地"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
precursor,"n. 先驱者, 前导, 前兆
"
realization,"n. 实现, 领悟, 实得
"
regurgitate,"v. (使)回涌, (使)回流, (使)反胃"
rotten,"a. 腐烂的, 恶臭的, 堕落的, 风化的, 虚弱的
"
scrunch,"vt. 碾碎, 缩紧
vi. 嘎吱地响, 蜷缩
n. 嘎嘎响声"
sidewalk,n. 人行道
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
against all odds,尽管很困难
cough up,"na. “cough out”的变体；同“cough”
"
do something from memory,无
glaze over,（指眼睛）呆滞
in session,"在开会, 在开庭, 在上课
"
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
"
sit around,"坐着不干, 袖手旁观"
sure enough,"果然, 果真"
attain,"vt. 达到, 获得
vi. 达到"
avoidable,"a. 可避免的
"
beneficial,"a. 有益的, 受益的
"
brag,"n. 吹牛
v. 吹牛"
breezy,"a. 有微风的, 通风好的, 活泼的"
calculus,n. 结石；微积分学
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
definite,"a. 明确的, 一定的
"
dismal,"a. 阴沉的, 凄凉的, 令人忧郁的
n. 低落的情绪, 沼泽"
disposition,"n. 性情, 处置, 处理, 布置
"
downfall,"n. 衰败, 大雨"
elude,"vt. 逃避, 规避, 把...难倒"
enrage,"vt. 激怒, 使暴怒"
halfway,"a. 中途的, 不彻底的, 部分的
adv. 半路地, 在中途, 在半途"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
impunity,"n. 不受惩罚, 无事, 无患
"
inhabit,"vt. 居住于, 占据, 栖息"
lousy,"a. 污秽的, 恶心的, 生虱的"
merciless,"a. 无慈悲心的, 残忍的"
motivated,"a. 有动机的, 目的明确的"
nag,"n. 老马, 驽马, 劣等竞赛马, 唠叨
v. 不断地唠叨, 恼人"
nicety,"n. 美好, 准确, 精密, 拘泥细节, 纤细"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
sin,"n. 罪, 犯罪, 过失, 失礼
v. 犯"
stocking,"n. 长袜
"
sufficient,"a. 充分的, 足够的
"
tongue-lash,"vt. 严厉责备, 大骂"
transgression,"n. 违反, 犯罪
"
unaccustomed,"a. 不习惯的, 不惯的, 异乎惯例的, 不寻常的"
unearned,"a. 非劳动所得的, 通过投资赚得的, 不配的
"
be unaccustomed to,不习惯于
cast out,驱逐
chase away," 赶走, 驱逐"
draw closer,[网络] 临近；走近；更靠近
draw nearer,无
intrude upon,"侵犯,侵佔,佔用"
intrude on,[网络] 侵犯；间接地侵犯；干涉
intrude into,闯入
prey on,"捕食, 掠夺"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
biochemical,"a. 生物化学的
"
brink,"n. 边缘, 陡岸"
chronobiology,"n. [生]时间生物学, 生物钟学"
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
desynchronise,v. 失去共时性
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
Hispanic,adj. 西班牙的
humankind,n. 人类
humidity,"n. 湿气, 潮湿, 湿度
"
inborn,a. 天生的；先天的
industrialise,vi.vt. (使)工业化
internal,"a. 内在的, 国内的
"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
perceptual,"a. 知觉的, 有知觉的"
reshape,"vt. 改造, 使成新的形状, 打开新局面
vt. 整形
vi. 整形
"
resynchronise,[网络] 同步化
robot,"n. 机械人, 自动机械, 机械般工作的人
"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
synchronise,"vi. (使)同时发生, (使)整步, (使)同步, (使)同速进行
vt. 使在时间上一致, 校准, 把钟表拨至相同的时间, 把...并列对照"
synchroniser,同步器
synchronisation,n. 同步
thereby,adv. 因此
timepiece,"n. 时钟, 钟"
tyranny,"n. 专制, 暴政
"
unclock,无
unison,"n. 调和, 和谐, 一致, 齐唱, 齐奏
a. 共同做的, 同声的"
wristwatch,n. 手表
adjust to,[计] 调整至
insist on,"坚持, 坚决要求"
summon up,"振作, 鼓起"
think of ... as ...,把...看作
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
briefly,"adv. 简短地, 扼要地, 简明地, 简单地"
conception,"n. 观念, 概念
"
consistently,"adv. 坚固, 坚实, 一致, 始终如一, 连贯
"
drummer,"n. 鼓手, 旅行推销员
"
inaccurate,"a. 错误的, 不准确的
"
informal,"a. 非正式的, 不拘礼的, 通俗的
"
latecomer,n. 迟到者
oversimplify,v. (使)过分地单纯化
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
superb,"a. 极度的, 华丽的, 极好的"
terribly,"adv. 可怕地, 甚为, 非常"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
vagueness,"n. 含糊, 暧昧"
attribute to,"na. 认为(成功)是(努力)的结果
"
break for,无
in all honesty,[网络] 老实说；毫无隐瞒
keep pace with,"并驾齐驱, 齐头并进"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
agriculturist,n. 农学家
consciously,adv. 自觉地；有意识地
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
distortion,"n. 扭曲, 变形, 曲解
"
embassy,"n. 大使馆, 大使馆全体人员
"
explicit,"a. 详述的, 清楚的, 直言的"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
interval,"n. 间隔, 距离, 间歇, 间隙
"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
reluctantly,"adv. 不情愿地, 勉强地"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
unreasonable,"a. 不合理的, 过度的, 不切实际的
"
urgency,"n. 紧急, 催促
"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
be subject to,"受支配, 从属于, 可以...的, 常遭受..."
call on,"号召, 呼吁, 约请, 访问"
cool one's heels,空等
in effect,"有效
"
in question,"正被讨论, 可怀疑
"
loud and clear,[网络] 响亮；声音清晰响亮；声音很大，听得很清楚
sick and tired of, （非正式）对…十分厌倦，无法容忍
to the effect,大意是…，带有那个意思
adaptable,"a. 能适应的, 适合的, 可修改的"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
atomic,"a. 原子的, 原子能的
"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
blacksmith,"n. 铁匠
"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
disastrous,"a. 损失惨重的, 悲伤的"
emotionally,adv. 在情绪上
ethic,"n. 道德规范, 伦理"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
experimentation,"n. 实验, 试验, 实验法
"
geometrically,"adv. 用几何学, 几何学上"
icebox,"n. 冷藏库, 冰箱, 冷冻室
"
innovation,"n. 改革, 创新
"
objectivity,"n. 客观, 客观现实, 客观性
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
prosperity,"n. 繁荣, 茂盛, 成功
"
revolutionise,"vt. 使革命化, 彻底改革, 彻底改变"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
catch one's breath,"喘息, 屏息"
have something in mind,[网络] 有些主意；有一些想法；心里有什么想法
have somebody in mind,无
out of the ordinary,"不平常的, 非凡的"
to be exact, 精确地说
alphabetical,"a. 依字母顺序的, 字母的"
centimeter,"n. 厘米
"
correlation,"n. 相互关系, 相关, 关联
"
delicately,adv. 优美地；微妙地；精致地
evaluator,"[计] 计算多项式, 求值子, 鉴别程序, 鉴别器"
experimental,"a. 实验的, 根据实验的
"
holograph,"n. 亲笔文件
a. 亲笔的"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
manipulation,"n. 操作, 处理
"
measurement,"n. 尺寸, 度量, 度量单位
"
molecular,"a. 分子的, 由分子组成的
"
programmer,"n. 程序员
"
requirement,"n. 需求, 必要条件, 要求
"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
resonate,"v. (使)共鸣, (使)共振"
tab,"n. 制表(键), 搭襻, 标号, 调整片, (易拉罐)拉环, 帐单, 标签, 制表符
"
temperamental,"a. 气质的, 性格的, 易兴奋的"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
a touch of,有一点
a touch of something,无
get in the way,"挡住去路,障碍,碍事"
keep tabs on,"记录, 监视, 看守"
keep something to oneself,无
on grounds of,"以...为理由, 以...为借口, 根据..."
on the grounds of, 以…为理由，根据
pick out,"na. 挑选；掘出；闻出；领会
"
anti-freeze,adj. 防冻
apprehensively,adv. 担心地
badge,"n. 徽章, 标记
"
brochure,"n. 小册子, 小册"
calamity,"n. 灾难, 不幸事件"
Celsius,a. 摄氏的
cremate,"vt. 烧成灰, 火葬"
cryonics,n. 人体冷冻学
cryonicist,[网络] 胆小鬼
deterioration,"n. 恶化, 衰退, 退化
"
disconcerting,"a. 困惑的, 不安的, 尴尬的
v. 使不安( disconcert的现在分词); 使为难; 使慌张; 使窘迫"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
embryo,"n. 胚胎, 胎儿, 胚芽
"
equate,"vt. 使相等, 视为平等
vi. 等同"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
facilitation,"[医] 容易化, 助长, 接通[作用]"
flask,"n. 细颈瓶, 烧瓶, 小水瓶
"
glycerin,"n. 甘油, 丙三醇
"
irreparable,"a. 不能修补的, 不能挽回的
"
liken,"vt. 比喻, 比拟"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
lovingly,"adv. 钟爱地, 亲切地"
nitrogen,"n. 氮
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
rationality,"n. 合理性, 纯理性"
reanimate,"vt. 使复活, 鼓舞, 鼓励
"
reconstitute,"vt. 重新组成, 重新设立
"
resuscitation,"n. 复生, 复兴
"
rocker,"n. 摇的人, 摇杆
"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
sperm,"n. 精液, 精虫, 鲸油, 抹香鲸
"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
suspension,"n. 悬挂, 暂停, 中止
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
be off one's rocker,无
be short of,"缺乏..., ...不足"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
equate ... with ...,[网络] 把…等同；看作相同；同等
hold somebody in high regard,无
hold something in high regard,无
in ... condition,"健康状况好, 保存得好"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
bard,"n. 吟游诗人, 诗人"
breathlessly,"adv. 气喘地, 屏息地"
brogue,"n. 土腔, 拷花皮鞋"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
clout,"n. 敲击, 破布
vt. 打补钉"
commentary,"n. 注释, 评论, 说明
"
flunk,"n. 失败, 不及格
vi. 失败, 考试不及格, 放弃
vt. 使不及格"
fumble,"n. 摸索, 笨拙的行动, 漏球
vt. 摸索, 乱摸, 笨拙的处理, 漏接(球)
vi. 摸索, 笨手笨脚, 漏球"
gravely,"adv. 重大地, 严肃地, 庄重地"
hardware,"n. 硬件, 五金器具, 零件
"
idiom,"n. 习语, 成语, 惯用语法, 方言"
illustrious,"a. 著名的, 辉煌的, 明亮的"
indignantly,adv. 愤怒地
instructor,"n. 教员, 讲师
"
memento,"n. 纪念物, 令人回忆的东西"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
mumble,"n. 喃喃而语, 咕哝
v. 喃喃而语, 咕哝"
mustache,"n. 髭, 胡子"
pasteboard,"n. 厚纸, 纸板, 纸牌
a. 纸板做的, 不结实的"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
"
posterity,"n. 子孙, 后裔
"
primly,"adv. 循规蹈矩地, 整洁地"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
sidle,"v. 横着走, 悄悄贴近, 侧身而行
n. 侧走, 挨近"
simpleton,"n. 笨蛋, 傻子"
straggly,"a. 蔓延的, 散落的, 散乱的"
surmise,"n. 推测, 猜测
v. 推测, 臆测"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
temporal,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
transference,"n. 转移, 调动, 转让
"
untouched,"a. 未触摸过的, 未改变的, 未受影响的"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
wring,"n. 扭绞, 拧, 挤
vt. 拧, 绞, 扭, 勒索, 折磨, 使痛苦
vi. 蠕动, 扭动, 绞, 扭, 感到痛苦"
bone up on,"认真学,专心致志地学努力研读"
go mad,"生气,发火;发疯,发狂"
help out,"v. 帮助…摆脱困境；救出；协助
"
on account of,由于
polish up,"na. 完成；〔口语〕改善；同“polish”
"
think highly of,"认为…很了不起,对…评价很高,非常看重"
toss off,"na. 一口喝干(酒)；敏捷地做好
"
absence,"n. 缺席, 缺乏, 没有
"
accusation,"n. 控告, 指控, 指责
"
affidavit,"n. 宣誓书, 书面陈述
"
agony,"n. 极大的痛苦, 挣扎
"
ale,"n. 麦芽酒
"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
asylum,"n. 庇护, 收容所
"
baseless,a. 无根据的
behold,"vt. 看到, 注视
vi. 看"
bitterly,"adv. 怨恨地, 悲痛地, 残酷地"
blackmail,"n. 勒索
vt. 勒索"
bribery,"n. 贿赂行为, 行贿, 受贿
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
candidacy,"n. 候选人的地位, 候选资格
"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
corruption,"n. 腐败, 堕落, 贪污
"
corruptionist,"n. 行贿的人, 舞弊政治家"
deceased,"a. 已故的
n. 死者"
delirium,"n. 精神错乱, 说谵语状态, 狂热
"
democratic,"a. 民主的
"
disgraceful,"a. 可耻的, 不名誉的"
disheartening,"a. 使人沮丧的
v. dishearten（使泄气）的现在分词形式"
drunken,a. 酒醉的
dub,"vt. 配音, 轻点, 授予称号, 击
n. 一下击鼓声, 笨蛋"
falsehood,"n. 谎言, 虚假(性)
"
filthy,"a. 污秽的, 丑恶的"
gubernatorial,"a. 州长的, 统治者的"
heartless,"a. 无情的, 无勇气的"
incite,"vt. 刺激, 激励, 引诱
"
infamous,"a. 无耻的, 不名誉的, 声名狼藉的"
inmate,"n. 同住者, 被收容者
"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
kangaroo,"n. 袋鼠
"
liar,n. 说谎者
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
listlessly,"adv. 无精打采地, 冷淡地"
lunatic,"n. 疯人, 癫狂者, 愚蠢的人
a. 疯癫的, 愚蠢的, 丧心病狂的, 精神错乱的"
nominate,"vt. 提名, 任命, 命名
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
