a bit,一点儿；有一点儿
have a word with,和…说几句话
have an appetite for,爱好
have an effect on,(对…)有影响〔产生效果〕
have an eye for,很能鉴赏
have an impact on,对…有影响
have desire to do,无
have difficulty in,对…有困难
have difficulty with, 与…有分歧；感到困难
have faith in,"na. 相信
"
have fun in,"玩得开心
有乐趣"
have fun with, 玩得开心
have to," 不得不, 只好; 只得; 必须; 不得已"
have got to,"必须, 不得不"
have ... in common,"un. 没有共同之处；有某些共同之处
"
have influence on,[网络] 对某物施加影响；对……产生影响；有影响
have an influence on,对...有影响
have sb. do,[网络] 妈妈说话；迫使某人做某事；对你妈妈说话
have sth. do,[网络] 妈妈说话；迫使某人做某事；对你妈妈说话
have sb. doing,无
have sth. doing,无
have something to do with,与...有点关系
have sth. done,[网络] 现在完成时；所做的每一件事；表示做了不必做的事
have sth. on one's mind,惦记；挂在心上；为…担心，忧虑(某事)
have sth. in stock,无
have sth. to do,[网络] 不得不做某事；必须做某事；应该做什么事
have to," 不得不, 只好; 只得; 必须; 不得已"
have trouble doing,[网络] 做某事有困难；做……有困难；做某事有麻烦
have trouble in doing,无
have words with,和某人吵架
hear about,"听说,听到过"
hear of,"na. 听说；获悉；收到…的消息；知道
"
hear from,"接到...的信, 受...批评"
hear out,"v. 听完
"
heart and soul,全心全意地
help oneself,自用
help oneself to,自用
help ... out,"v. 帮助…摆脱困境；救出；协助
"
help sb. with,"v. 帮助
"
here you are,"你已经到了,你要的东西在这儿!"
hit on,"忽然想到,碰巧遇见,到达"
hit upon, 偶然发现
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold down,"na. 压制；牵制；阻止；压低(物价等)
"
hold on,"继续, 不挂断, 停止"
hold one's breath,屏息
hold out,"na. 伸出；提出；维持；制止
"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
how about," …怎么样, …怎么办"
how far,"(离...)多远, 到什么程度, 到什么范围"
how long, 多久; 多长
how many, 几何；几；多少；几多
how much,"多少, 什么价钱, 到什么程度"
how often, 多久，多常
how old, 几岁
how soon, 多快， 多久以后
hundreds of,"几百..., 许许多多..."
hunt for,搜寻
hurry into,(使)匆忙进入…; (使)赶快〔匆忙〕开始从事〔做〕…
hurry up,"赶快, 匆匆完成"
if only,只要
if possible,如果可能的话
impress on,"v. 给…深刻印象；盖印于
"
impress ... with,"v. 深深打动
"
improve on,改进
improve upon,vt. 改进
in a dilemma,"陷入困境,处境尴尬,进退两难"
in a flash,"一刹那间, 瞬间, 即刻"
in a hurry,匆忙
in a rush,"急急忙忙地,匆匆地"
in a moment,立刻
in a nutshell,"简括地说, 一句话"
in a row,"成一长行, 连续, 一连串"
in a way,"在某种程度上, 稍稍"
in a whisper,"轻声地,窃窃私语地,嘀咕着"
in whispers,无
in a word,总之
in accordance with,"与...一致, 依照"
in addition,另外
in advance,"预先
"
in agreement with,"同意,与…一致"
in aid of,"为援助,以援救…"
in all,"总共
"
in amazement,"吃惊地,惊讶地"
in answer to,"回答, 响应"
in any case,无论如何
in appreciation of,"感激
欣赏"
in battle, 在战斗中，在战争中
in brief,"简言之, 以简洁的形式"
in case,万一
in case of,"假设, 万一"
in cash,[经] 用现金
in celebration of,为庆祝...
in charge,"主管, 看管, 在...看管下"
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
in common,共有
in company, 一同，一起
in comparison with,与...比较
in comparison to,"与…比较,与…相比"
in conclusion,最后
in ... condition,"健康状况好, 保存得好"
in confidence,"na. 秘密地
"
in contrast to,"与...形成对照, 而..."
in control,"控制, 管理, 负责"
in control of,控制住
in danger,在危险中
in debt,"un. 背上了债；负债；欠款
"
in demand,"[经] 销路好, 有需要"
in detail,详细地
in disguise,乔装着
in effect,"有效
"
in English, 用英语
in error,错误地
in exchange, [财]在兑换中
in existence,"存在, 现有"
in face of,"面对,在…面前;不顾,即使"
in the face of,面对
in fact,"事实上
"
in favor of,"赞同, 有利于"
in force,"大规模地, 有效的
"
in front,在前面
in front of,在...前面
in future,[法] 将来
in general,大多数
in hand,"na. 现有；(工作)正在进行；控制住
"
in harmony, 谐; 合拍; 和和睦睦
in harmony with,"与...协调, 与...一致"
in honor of,"为向…表示敬意,为庆祝…为纪念…"
in hospital,[网络] 住院；在医院；生病住院
in line,"un. 把话说死；排队；循规蹈矩；一列的
"
in memory of,纪念...
in nature,"na. 现在存在；事实上；究竟
"
in need,"在急需时,在贫困时,在危难中"
in need of,"需要...时, 如果需要..."
in no case,决不
in no hurry,不慌不忙
in no time,立刻
in one's opinion,"na. 据某人意见
"
in one's view, 依某人看来
in one's sight,[网络] 照某人的眼光看来；在视线内
in one's turn,轮到某人
in order,"整齐, 状况良好, 适宜"
in order that,"为了,以便"
in order to, 为了…
in other words,换句话说
in pairs,"成双地, 成对地"
in part,部分地
in particular,特别
in peace,"平静地,安静地,和睦地"
in person,"亲自, 外貌上
"
in place,"na. 得其所；适当的
"
in place of,"代替
"
in possession of,"获得,弄到,佔有,佔领…"
in practice,"在实践中, 实际上, 熟练"
in praise of,为赞扬
in preference to,优先于...
in private,"私下, 秘密地"
in public,当众
in rags,"穿着破衣服,衣衫褴褛"
in reality,"实际上, 事实上"
in recognition of,[法] 为酬谢
in relief, 浮雕一般，鲜明地，显著地; 阳
in response to,"回答..., 响应..., 对...有反应
"
in return,作为报答
in ruins,成为一片废墟
in search of,寻找
in season,"当令, 及时, 及早"
in shape,"在外形上, 处于良好状态"
in short,"简而言之
"
in sight,被看到
in silence,沉默着
in some case,[网络] 在某种情况下；在某些方面
in spite of,不管
in store,"贮藏着, 保存着, 准备着, 将要发生
"
in sum,总言之
in support of,"支持, 支援"
in surprise,惊异地
in terms of,"用...的话, 根据, 按照, 在...方面
"
in that case, 如果是那样的话
in the abstract,"抽象地, 理论上"
in the area of,在…方面
in the balance, 悬而未决，犹豫; 在危急状态中
in the beginning," 起初, 首先"
in the charge of,"由…保管,在…的率领下"
in the company of,在...陪同下
in the course of,"在...期间
"
in the distance,在远处
in the end,"最后, 终于"
in the flesh,"以肉体形式, 亲自"
in the form of,以…形式
in the front of,在最前面; 在最重要的位置
in the future,"未来, 将来, 往后"
in the history of,无
in the hope of,怀着希望
in the least,丝毫
in the long run,"长远, 最后"
in the meantime,"同时;当其时,在其间"
in the middle of,"在...当中, 在...的中途, 在...中央"
in the mood for,"有…的兴致,想做…"
in the open air,在户外
in the way,挡道
in one's way,"挡道的, 妨碍人的, 使人不便的, (英)近在咫尺, 在场"
in the world,在世界上
in theory, 理论上
in this way,这样
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in total,"总共, 总计
"
in trouble,"处于不幸中, 在监禁中"
in turn,"na. 挨次
"
in use,"在使用着, 在应用"
in vain,"徒然
"
in view of,"考虑到, 由于
"
in want of,"需要,缺少"
increase ... to,增长到…
infer from,从…中推导出
inferior to, 次于，劣于; 不如; 不及
insist on,"坚持, 坚决要求"
insist upon,"坚持(做)..., 坚决要求(做)..."
insist that,无
instead of,代替
join hands,"会战,合作,联合行动"
join in,"参加, 加入"
join the army, 参军; 当兵
join up,"参军, 联合起来"
jot down,"v. 草草记下
"
judge by,根据〔由〕…作出判断
judge from,根据〔由〕…作出判断
judging by,根据…来判断
judging from,根据…来判断
jump in,投入
jump the queue,"插队, 获得优惠待遇"
just a minute,请等一会儿
just a moment, 等一会儿
just about,"几乎, 正是"
just now,刚刚
just so,正是如此
just then," 就在这时候, 那时候; 方才"
keep a record,保持记录
keep a record of,"记录,记载,把…记下来"
keep an eye on,"照看, 密切注视"
keep an eye out,"注视,注意,警惕"
keep an eye out for,留心〔注意〕某人〔某事物〕
keep at,"na. 纠缠；坚持地做
"
keep away,防范
keep away from,(使)远离，(使)不接近；(使)不在
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
keep fit,"保持健康,健身"
keep from,"na. 避开；禁止；抑制；隐瞒
"
keep ... from,"na. 避开；禁止；抑制；隐瞒
"
keep ... in mind,"na. 记在心里；记住；注意
"
keep in touch,保持联络
keep in touch with,与...保持联络
keep it up, 继续下去，不松劲
keep off,"让开, 不接近"
keep on doing,继续做某事；继续做
keep one's balance,保持平衡
keep one's eyes on,"注视,监视"
keep one's head,保持冷静
keep one's promise,遵守诺言
keep a promise,"遵守诺言, 履行诺言
"
keep one's word,守信
keep out,使在外
keep pace with,"并驾齐驱, 齐头并进"
keep to,"v. 坚持；固守
"
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"跟上
"
kick off,"踢脱, 中线开球"
kill off,"na. 消灭
"
kill time,消磨时间
kind of," <口>稍微, 有点儿, 有几分"
knock about,n. 武打戏的表演
knock around,"漫游; 四处走动; 殴打; 在肉体〔精神〕上虐待; 接连打击, 毁坏; 活着; 放着无人理睬"
knock at,"敲,击,叩"
knock on, 敲击; <非正>（使）增加; 不停地工作; 取消
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
knock into,撞上
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
"
knock out,"na. 敲出；敲空；使屈服；使无用
"
knock over,"na. 弄倒；屈服；死；逮捕
"
knock up,"na. 〈英口〉(使)筋疲力尽；赶做；敲起；(在板球赛中)很快得分
"
know about,"知道,了解,听说过…"
know of,"知道,了解,听说过…"
know ... by heart,[网络] 记在心中；能背上来
know ... from,"v. 辨识；区别
"
lack of, 缺乏
land on one's feet,"交好运, 脱离困境"
last but not least,最后但并不是最不重要的(一点)
later on,稍后
laugh at,"嘲笑, 漠视, 因...发笑"
laugh one's head off,狂笑
lay aside,"na. 保存；放在一边；丢弃；留着
"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay eggs,[俚语](飞机) 投弹
lay off,"na. 辞退；停止；暂停
"
lay out,"n. 布局；设计；规划；安排
"
lay up,"贮存, 搁置, 卧床
"
lead a ... life,"过活,过日子"
lead the way,"带路, 示范"
lead to,"导致, 通向"
lead up to,"带到, 导致, 作为...的准备"
learn about,"学习,听说,得悉,了解"
learn of,"听说..., 获悉..."
learn ... by heart,"na. 记住；熟记
"
learn from,向...学习
least of all,最不
leave a message,给某人留个信
leave ... alone, 置于不顾
leave aside,"v. 不考虑
"
leave behind,"na. 遗留；留下；追过；留在后头
"
leave for,"un. 到…地方去；去某地:
"
leave off,"停止, 不再穿"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
leave school,"退学, 离校, 放学回家"
lend sth. to sb.,"un. 贡献:
"
less than," 小于, 决不; 以内; 没有; 不足"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let down,"na. 使失望；放下；丢面子
"
let go,"v. 放手；解雇；松手；忽视
"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let out,[网络] 阿尔都塞思想的全部整体
let sb. do sth.,无
let up,"减小, 停止"
lie down,躺下
lie in,"在于..., 分娩, 睡懒觉"
lie to,顶风停住
lie with,是...的权利/义务
lift up,举起
link ... to ..., 与…连接， 联系
link up," （使）连接, （使）结合, （使）合并; 贯通; 连贯; 沟通"
link up with,(使)与…衔接
listen to,听
little by little,渐渐
live by,靠…为生
live in,住进
live on,"继续生活, 以...为主食, 靠...生活"
live through,"度过, 经受过"
live up to,"实践, 做到"
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
"
log in,[计] 注册
log on,"[计] 注册, 登录, 登录入网"
long after,很久以后
long before,在...以前很久
long for,渴望
look about,"四处寻找, 考虑, 察看"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
look about for,寻找(某人或某物)
look around for,到处寻找
look after,"目送, 照顾, 关心"
look ahead,"向前看, 着眼未来"
look as if,看起来好像…
look at,"看, 考虑, 着眼于"
look away, 不再看（某人或某物）
look away from,"v. 视线避开
"
look back on,"回头看,回顾,追忆"
look down on,"轻视, 看不起"
look down upon, 蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过
look for,"寻找, 期待"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look in,"看望
"
look in on, 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
look in at,"v. 看
"
look into,"窥视, 浏览, 观察
"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look on,"观看, 旁观, 看待"
look upon," 看作, 显得不错; 看待"
look on ... as,[网络] 把……看作；把看做；把当作看待
look upon ... as, 当做；看成；看做
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
look out for,"当心…,留神…,提防…"
look over,"na. 浏览；检查；察看
"
look the same, 看起来很象
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
look to,"照看, 注意, 指望"
look up,"v. 查找；查阅；探望；看望
"
look up and down,"v. 上下打量着
"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
lose control, 失去自制能力; 沉不住气
lose control of,失控
lose face,"丢脸, 失去自尊与别人的信任, 失去尊严/影响力/名望"
lose heart,丧失勇气
lose interest in,对…失去兴趣
lose balance,"v. 摔倒
"
lose one's balance,"失去平衡, 心慌意乱"
lose one's head,"被砍头, 不知所措"
lose one's heart to,"心被...俘去, 爱上..."
lose one's life,"na. 死；丢了性命
"
lose one's sight,失明
lose one's temper,发脾气
lose one's voice,说不出话来，嗓子哑了
lose one's way,迷路
lose out,"(比赛)输掉, 失败"
lose sight of,"不再看见, 忽略, 忘记"
lose touch with,和…失去联系
lose weight,体重减轻
lots of,"许多的..., 大量的..."
major in,"主修, 专攻"
make a bet,打赌
make a choice,"挑选,选择"
make a deal, 成交；达成交易
make a decision,作决定
make a difference,"有区别,有很大关系"
make a face,做鬼脸
make a fire,生火
build a fire,"n. 起火,生火"
make a life,[网络] 谋生；生活；如何生活
make a living,"谋生, 挣钱度日, 维持生活"
make one's living,"谋生, 挣钱度日, 维持生活"
make a mistake,犯错误
make a name,出名
make a name for ...,无
make a noise,"发出声响,发出噪音,吵闹;名噪一时,轰动一时"
make a note of,"记录,把…记录下来"
make a plan for,"v. 为…制定计划
"
make plans for,无
make a promise,允许
make a record, 录制唱片，录音
make a speech,"发言,发表演说"
make believe,"假装
"
make contact with,与...联系
make do,"na. 用(某物)设法应付
"
make ends meet,"量入为出,使收支相抵"
make both ends meet,"量入为出
"
make effort, 作出努力
make for,"走向, 有利于, 倾向于"
make friends, 交朋友
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make it,"及时抵达, 做成"
make of ...,"na. “make certain”的变体
"
make one's fortune,发财；发迹，在社会上获得地位
make one's way,"前进, 行进, 成功, 发迹"
make one's way to,到...去
make one's way towards ...,无
make out,"na. 理解；发现；起草；证明
"
make peace with,"v. 和…和好
"
make one's peace with,言归于好
make progress,取得进步/展
make sb. do sth.,"na. 用(某物)设法应付
"
make sb.'s acquaintance,无
make sense,有意义
make sense of,搞清...的意思
make sure,确定
make the acquaintance of, 拜识
make the best of,充分利用
make the most of,尽量利用
make to sb.'s own measure,无
make up,"na. 弥补；起草；定；签订
"
make up for,"补偿,弥补"
make up one's mind,"下决心, 接受, 承认"
make use of,使用
manage to, 达成，设法
mark out,"规划, 使注定要"
masses of,"大量的,众多的"
match up to,"与…相配,适合…"
match up with, [体]与
mean to do, 打算做；有意做
meet with,"偶遇, 遭受"
millions of,"成千上万的..., 无数的..."
mind out,"注意,当心"
mind your own business,自管自吧
miss out,"省掉, 遗漏, 漏述"
mistake ... for ...,错认
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
mix with sb.,和...混合
model after,仿照…制作; 使仿效
model on,仿照…制作
more and more,越来越多
more or less,或多或少
more ... than ...,"比...多, 超出预料, 很, 绰绰"
more than,"比...多, 超出预料, 很, 绰绰"
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
move in,"生活于, 迁入"
move off,"离开, 死, 畅销"
move on,继续前进
move out,"搬出, 出发"
much less,更不
much the same,"[经] 几乎相同, 大致一样"
much too,"太,过分,非常"
must have done,"na. 必然；must = should 或 would surely
"
name after, 以…的名字起名
narrow escape, 九死一生，幸免于难; 真玄啊
near by,"在…附近,接近,靠近"
needless to say,"不用说, 当然, 不出所料"
needn't have done,无
neither ... nor ...,[网络] 既不……也不；两者都不；均不
nervous about,无
be nervous about,无
never do,绝对不行，绝不可以
never mind,"没关系, 不用担心"
next to,几乎
no doubt,无疑地
no less than,正如
no longer,不再
no matter,"无论, 没关系"
no more,不再
no more than,na. 某乙也不
no problem, 不麻烦;  没什么;  没事儿; 非常容易
no sooner ... than ...,[网络] 一……就；不早于；刚…就
no use,"没用, 没有用"
no way,"无论如何也不,决不"
no wonder,不足为奇的
none but,只有
not all,并非所有的
not always,不一定
not usually,无
not as ... as,无
not so ... as, 不及，不像
not ... at all,一点也不
not ... but ...,"虽然,但并非不…"
not in the least,"绝对不, 一点也不"
not likely,[网络] 不可能；不太可能；不见得
not more than,"至多, 不超过, 不比...更"
not only ... but ...,无
not only ... but also ...,[网络] 不仅……而且；不但而且；两个不仅……而且
not really,[网络] 也不是；不完全是；不怎么好
not ... till,无
not ... until,直到...才...
not to mention,不必提及
note down,"un. 记录
"
nothing but,只
now and then,偶尔
every now and then,"常常, 不时地"
now that,"既然..., 由于..."
numbers of, 一些，若干，许多
large numbers of,"大量的..., 许多..."
great numbers of,无
object to,"反对,不赞成"
occur to,…发生在; 被想起〔到〕
of all time," 一直, 始终；有史以来"
of course,当然
of one's own,属于某人自己的
of the moment,此刻
off duty,下班的
on account of,由于
on all fours,"匍匐, 完全一致
"
on and on,继续不停地
on average, 平均起来
on behalf of,"代表...
"
on board,"在船/车/飞机上, 在公共交通车辆上
"
on business,因公
on condition that,"若是…, 以…为条件"
on contact,"联系
接触"
in contact,接触
on contact with,无
in contact with,与...在接触中
on duty,"值班, 上班
"
on earth,"在世上, 究竟"
on end,"竖着, 连续地"
on fire,"起火, 非常激动"
on foot,"na. 步行；在进行中；徒步
"
on good terms with,与某人关系好
on guard,"na. 看守；值班
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
on holiday,"na. 在休假中
"
on occasion,有时
on offer,"削价出售的, 供出售的
"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
on one's part,至于某人，对某人来说；在某人方面
on one's way,"un. 无法；在路上；快要出头了
"
on the way," 在途中, 接近; <口>（孩子）已成胎而尚未出生; 沿途; 沿路"
on one's way to,无
on the way to,在去...的路上
on principle,根据原则
on purpose,"故意
"
on sale,"廉售的, 拍卖的"
on second thought,"进一步考虑后,重新思考后,转念一想"
on second thoughts,经再次考虑，重新考虑后；经再次考虑，重新考虑后；经过重新考虑之后，再仔细考虑以后
on show,"陈列着, 展览着"
on sight,"一见, 一见就"
on the alert,"警惕着, 防备着
"
on the basis of,以...为基础
on the brink of,"在…边缘,濒于,接近,几乎,差点"
on the contrary,"正相反
"
on the decline,没落
on the increase,正在增长
on the one hand ...,在一方面
on the other,[网络] 在时间的另一边；另一只手死亡；另一方面就是对中国的
on the other hand,另一方面
on the phone, <口>在打电话，在接电话
on the point of,正要...的时候
on the radio,"从收音机中,用无线电,通过广播"
over the radio,"从收音机中,用无线电,通过广播"
on the rise,"在上涨, 在增长"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
on the stage, 在舞台上；现阶段
on the tip of one's tongue,"na. (想说的话)已到舌尖；险些讲出
"
on the wall,"在流浪, 失业"
on the way out,即将灭亡
on the whole,"大体上, 基本上"
on time,"准时
"
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
once again,再一次
once in a blue moon,千载难逢地
once in a while,偶尔
once more,再一次
once upon a time,从前
one after another,"接连地
"
one by one,一个接一个
one day,有一天
only if,只要...就
only to,"不料竟会…,没想到会…"
only too,"非常, 实在, 完全"
open the floor,无
open up,"na. (打)开；割开；开发(资源)；揭示
"
operate on,对...施手术
or else,否则
or rather,"更确切地说,说得更确切点"
or so,"大约, 或许, ...左右"
other than,"不同于, 除了"
ought to,应该
out of breath,上气不接下气
out of control,"不受控制, 失去控制
"
out of date,"过时的, 废弃的
"
out of order,"次序颠倒, 不整齐
"
out of place,"不在合适位置, 不合适"
out of question,毫无疑问
out of respect,无
out of sight,"在看不见的地方, 极度"
out of the question,"不知底细
"
out of work,"失业, 机器有毛病
"
over and over,"反复, 再三"
over and over again,反复地; 再三地
over the years,"在这几年中, 在那几年中"
owe ... to,"v. 由于；把…归功于
"
owing to,"由于..., 因为..."
pack up,"打包, 整理, 收工, 结束"
participate in,"参加, 参与, 分享"
pass away,"去世, 停止, 离去, 消逝"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass down,"un. 过；一闪即逝；下达
"
pass off as,"冒充成;诈称为;把…假装成…：

He passed himself off as a wealthy man.
他把自己装成一个有钱的人。"
pass on,"na. “pass away”的变体；递；传达；通过
"
pass out,"v. 昏倒；分发；主要用于英式英语
"
pass through,"通过..., 透过..., 穿过..., 流过..."
pass up,"na. 绝交；放过；不理；上
"
pay a visit,进行访问
pay a visit to,"访问,拜访,出诊"
pay attention,专心
pay attention to,注意
pay back,"na. 偿还；报答；向…报复；付还
"
pay for,付...款
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pay up,"全部付清, 按时付款, (在勒索下)出钱
"
perform an operation,"作…手术,给…动手术"
persist in,"坚持, 固执于"
persuade sb. to do sth.,无
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
pile up,"堆积, 积累, 搁浅, 撞毁"
play a joke on,戏弄某人；对…恶作剧；开…的玩笑
play jokes on,v. 戏弄
play a part in,"在…中扮演角色,在…中起作用"
play a role in,在...起作用
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
plenty of,许多的
point at, （把…）对准，指向; 针对; 指画
point out,"na. 指出
"
point to,指向
polish up,"na. 完成；〔口语〕改善；同“polish”
"
pour in,"大量流入,源源而来"
pour out,"v. 倾吐；诉说
"
prefer to,"un. 较喜欢；宁愿:
"
prefer to do rather than do,无
prefer to do rather than to do,无
prepare for,[网络] 准备；为…作准备；为…做准备
prevent ... from,"阻止, 妨碍"
protect ... against, 保护，保卫
protect ... from,保护
prove to be, 成为
provide sth. for sb.,"v. 为…作准备
"
provide sth. to sb.,[网络] 提供给
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
pull over,"靠岸, 开到路边"
pull round,复原
pull through,"(使)渡过难关, (使)恢复健康"
pull up,"v. 拔起；使…停下
"
push ahead with,"推动, 推进"
push for,奋力争取
push on,"na. 费力地前进；赶快完成任务等
"
push one's way through,无
push over,把...推倒
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
put an end to,"结束, 终止"
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put back,"v. 放回；推迟
"
put by,"na. 积蓄；避开(人,质问等)；搁在一边；同“put aside ”
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forth,"放出, 发表, 颁布, 提出, 发挥, 起航"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put in place,"n. 安装
"
put ... in prison, [法]收监; 囚禁; 关押
put ... into,"na. 插入；注入；(船)入港
"
put into practice,"na. 实行
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put one's finger,无
put one's foot in one's mouth,v. 做错
put one's hands on,触，摸；(轻易)找到
put out,"v. 扑灭；熄灭；放出；伸出
"
put pressure on,对…施加压力
put pressure upon,无
put ... to ...,[网络] 靠岸；放在一起；放到
put through,"na. 经受；测试；试验；使…通过
"
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
put up,"adj. 预先商定的
"
put up with,"忍受, 容忍
"
puzzle about,对…迷惑不解;胡乱翻寻
puzzle over, 苦苦思考
quantities of,"大量的,许多…"
quarrel with sb. about sth.,无
queue up,排队等候
quite a few,相当多的
rain cats and dogs,下倾盆大雨
raise money,"筹钱
"
raise one's eyebrows,表示惊讶或轻蔑
range from ... to,"从...到...(不等), 范围从...到..."
rather than,与其...不如...
rather too,稍微...一点
reach out, （使）伸出
reach out to,[网络] 接触；把手伸向；联系
react against,反抗
react to,作出反应
read out,"na. 大声读；【自动化】读出
"
realize one's dream,无
reckon on,"指望, 依赖"
recognize ... as,[网络] 认出是；承认是；认为是
recommend doing sth.,[网络] 建议做某事；推荐做某事；建议干
recommend that,[网络] 建议；从句；建议说
recover from,"恢复知觉, 恢复"
refer to,"v. 查阅；提到
"
refer to ... as,"v. 提交；归类；称谓
"
reflect on,"深思, 反省, 导致, 招致非议"
refuse to do sth.,[网络] 拒绝做某事；拒绝去做某事；拒绝干某事
regard ... as,把...认作
regardless of,"不注意, 不关心"
regret doing sth., 对做过的事表示遗憾、后悔
relate to,"na. 有关联；与…有关；理解
"
relieve from,使从(不愉快的境况)中解脱出来; 将某人免职
rely on,"依赖, 依靠"
remark on,"评论, 议论"
remark upon,"v. 评论；批评
"
remember doing sth., 记着已经做过的事
remind sb. of sth.,"v. 提醒
"
remind sb. to do sth.,无
remind sb. not to do sth.,无
replace ... with,"取代, 以...代替, 替换为
"
remove ... from ...,从...除去
resign from,辞职
resign oneself to,使听从于
respond to ...,"答复,响应,对…作出反应"
result from,"由...产生
"
result in,"导致
"
retire from,从…隐退
return to,回复到...
rid ... of,"除去, 摆脱"
ride on,"乘, 骑, 依靠"
right away,立刻
right now,就在此时
ring back," 回电话, 再打电话"
ring off,挂断电话
ring out,"鸣钟送别, 打卡下班"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
"
rise to one's feet,站起来
rise up against,无
risk doing sth.,[网络] 冒险做某事；做某事是有风险的；冒做某事的风险
risk one's life,拼死
rob sb. of sth.,"v. 抢走
"
roll in,"蜂拥而来
"
roll over,"na. 滚动；使滚；〔美棒球〕得分；同“roll”
"
roll up,"na. 卷起(袖子)；包卷；积贮；缩成圆球
"
round up,"na. 弄成圆球；使数目恰好；使成一个整数；赶在一块儿
"
rule out,"na. 排除
"
run across,"偶遇, 跑着穿过"
run after,"追捕, 追求, 照顾"
run away,"潜逃
"
run for,竞选
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,用完
run over,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过
"
run through,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
rush to, （使某人）急速去; 奔; 奔赴
safe and sound,安然无恙的
save sb.'s life,无
say hello to,"向某人问候,和某人打招唿"
say yes,"(常与to连用)同意,答应"
scores of,大量的
search for,搜查
second only to,仅次于
second to none,首屈一指
see about,"查询, 留意于, 料理"
see fit,"认为合适,看着办"
see off,"na. 送行；送别；告别；赶走
"
see through,"na. 看穿；看透；识破；办好某事
"
see to,"负责, 注意"
see to it that,务必做到; 保证
seeing that,"conj. 鉴于, 既然"
seek after,"寻找, 追求, 探索"
seek for,"寻找, 追求, 探索"
seek out,"搜出, 挑出"
seize on,"抓住, 占有"
seize upon,"抓住,利用"
sell at,以…价格出售
sell for,卖(多少钱)
sell off,"na. (打折扣)销完；卖清(存货)
"
sell out,"卖完, 出卖, 背叛
"
send away,"发送, 打发走, 解雇"
send for,na. 派人去叫
send forth,"寄发, 发出, 放出, 长出"
send in,"na. 拿出；提出；递(名片)；送
"
send off,"na. 寄出；发出；送走；打发
"
send out,"na. “send forth”的变体
"
send up,"发出, 射出, 呈交, 使上升"
