tedious,"a. 沉闷的, 冗长乏味的"
exceedingly,"adv. 极端地, 极度地, 非常"
convey,"vt. 传达, 运输, 转让
"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
formula,"n. 客套语, 公式, 准则
"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
thrilled,"a. 非常兴奋的; 极为激动的
vt. “thrill”的过去式和过去分词"
indifferent to, 对…无兴趣；对…不关心；对…不在乎
be inclined to do sth., 倾向于做
take the initiative,带头
make contact,[电] 接触点
make contact with sb.,与...联系
a bunch of,"一束,一串,一群"
chip in,"插嘴, 捐助, 下赌注"
go Dutch,各人付自己的帐
go Dutch with sb.,无
whip out,"冲出,突然拿出,厉声说出"
thrive on,靠吃…而繁衍兴旺
slide into,不知不觉陷入
in the pit of one's stomach,[网络] 在内心深处；锥心之痛
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
recession,"n. 后退, 凹处, 衰退, 归还
"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
nasty,"a. 污秽的, 下流的, 险恶的"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
depiction,"n. 描写, 叙述"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
appetite,"n. 食欲, 欲望, 爱好
"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
shortage,"n. 不足, 缺乏
"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
derive,"vt. 得自
vi. 起源"
nourish,"vt. 滋养, 使健壮, 怀有"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
explicit,"a. 详述的, 清楚的, 直言的"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
scattered,"a. 分散的, 散乱的
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
well-being,n. 健康; 幸福; 保持良好状态
ingredient,"n. 成分, 因素
"
hinder,"a. 后面的
v. 阻碍, 打扰"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
input,"n. 输入, 输入电路
vt. 输入
"
option,"n. 选择权, 挑选, 选项
"
administration,"n. 行政, 管理, 政府机关
"
ego,"n. 自我
"
urgent,"a. 紧急的, 急迫的, 催逼的
"
urgently,adv. 急切地；迫切地；紧急地
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
legal,"a. 法律的, 法定的, 合法的
"
choppy,"a. 猛地一动一停的, 突变的
"
refer to,"v. 查阅；提到
"
do one's utmost,竭力
no shortage of,不缺少
derive sth. from sth.,"得自, 由来, 衍生"
put off,"na. 延期；辩解
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take stock,"清点存货
"
take stock of sth.,"盘点存货; 检查, 评估"
consult with sb.,"协商, 商量"
on track,"un. 离题；正常
"
get into trouble,"na. 遇到麻烦；卷入纠纷；受责备；未结婚而怀孕
"
get in one's way,"挡路,妨碍"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
corporation,"n. 公司, 合作, 法人团体
"
installment,"n. 就职, 装设, 分期付款
"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
vitamin,"n. 维生素
"
artificial,"a. 人造的, 假的, 非原地产的
"
rod,"n. 竿, 笞鞭, 小枝
"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
calculator,"n. 计算者, 计算器
"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
output,"n. 输出, 产品, 产量
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
accordance,"n. 一致, 和谐"
gravity,"n. 地心引力, 重力
"
crisis,"n. 危机, 危险期, 紧要关头
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
autonomous,"a. 自治的
"
shrug,"n. 耸肩
v. 耸肩"
prohibit,"vt. 禁止, 阻止
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
blend,"vt. 混合
n. 混合"
dissolve,"v. 溶解, 解散"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
isolated,"a. 孤立的, 孤零零的
"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
procedure,"n. 程序, 过程, 手续
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
illusion,"n. 幻影, 错觉, 幻想
"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
staggeringly,adv. 难以置信地; 令人震惊地; 摇晃地; 蹒跚地
feel entitled to sth.,无
be entitled to sth.,[法] 有资格或权利...
feel entitled to do sth.,无
be entitled to do sth.,无
urge sb. to do sth.,[网络] 急切做；急切盼望；迫不及待做某事
filter out,[化] 滤出
in despair,绝望地
let ... down,"na. 使失望；放下；丢面子
"
shrug off,na. (耸肩)表示轻蔑
lose interest in,对…失去兴趣
tear at,撕扯
out of the question,"不知底细
"
care about,担心
bring ... into, 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
suffer from,"忍受, 遭受
"
access to,有权使用
rival,"n. 对手, 竞争者
a. 竞争的"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
vessel,"n. 船, 容器, 脉管
"
genius,"n. 天才, 天赋, 精神, 神魔
"
conviction,"n. 定罪, 信服, 坚信
"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
exception,"n. 例外, 除外, 异议
"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
conquest,"n. 战胜, 征服, 战利品
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
enlightening,"a. 有启发作用的, 使人领悟的"
publication,"n. 出版物, 出版, 公布
"
irrational,"n. 无理数
a. 无理性的, 不合理的"
investigate,"v. 调查, 审查"
investigation,"n. 调查, 审查
"
marshal,"n. 元帅, 陆空军高级将官, 典礼官, 执法官
vt. 整理, 引领, 统率
vi. 排列, 各就各位"
behavioral,a. 行为的
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
session,"n. 期间, 开庭期, 会议, 学期
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
visual,"a. 视觉的
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
underneath,"adv. 在下面
prep. 在...的下面"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
delegate,"n. 代表
vt. 委派...为代表"
prune,"n. 洋李, 李子干, 深紫红色, 傻瓜
vt. 修剪, 砍掉, 删除
vi. 删除, 删节"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
prejudiced,a. 怀偏见的
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
respective,"a. 分别的, 各自的"
impose sth. on sb.,"v. 强迫；欺骗
"
be featured in,无
profit from,得益于
revolve around," 旋转, 绕转; 环绕"
be exhausted from,无
come in handy,派得上用场
be attached to ...,"附属于, 喜爱"
pay a big price to do sth.,无
be measured in sth.,无
make an effort to do sth.,努力(做)...
haste,"n. 匆忙, 急忙"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
hint,"n. 暗示, 提示
v. 暗示, 示意"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
distribute,"vt. 分配, 散布, 分发
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
provoke,"vt. 激怒, 惹起, 诱导
"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
category,"n. 种类, 类项
"
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
enforce,"vt. 强迫, 执行, 坚持
"
enforced,a. 强制执行的；实施的
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
rely,"vi. 信赖, 依赖, 信任"
implication,"n. 牵连, 含义, 暗示
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
abundance,"n. 丰富, 充足, 大量
"
overabundance,"n. 过于丰富(或充足), 过多"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
subtraction,"n. 减少
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
penetrating,"a. 敏锐的, 尖锐的, 伸入很深的, 了解透彻的
"
selfish,"a. 自私的, 利己主义的, 自我中心的"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
property,"n. 财产, 所有权, 性质, 属性
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
trademark,"n. 商标
"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
maximizer,n. 达到极大
dominate,"v. 支配, 占优势"
circular,"a. 圆形的, 循环的, 间接的
"
concerning,"prep. 关于
"
lest,"conj. 以免, 唯恐, 免得"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
overwhelming,"a. 压倒性的, 无法抵抗的"
controversy,"n. 论争, 辩论, 论战, 争论
"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
whatsoever,pron. 无论什么
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
withstand,"vt. 抵住, 顶住, 经得起"
specify,"vt. 详列, 指定, 说明
"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
rush into,仓促行动
in haste,匆忙
out of control,"不受控制, 失去控制
"
settle for,满足于
be dissatisfied with,对…不满意
be depressed about,无
struggle to do sth.,奋斗； 挣扎
when it comes to,当提到…
turn out,"v. 证明；原来；到场
"
turn out to be,"结果是, 原来是, 证明是"
belong to,属于
administrative,"a. 管理的, 行政的
"
administrative assistant,[网络] 行政助理；行政协理；行政前台
attorney,"n. 代理人, 律师
"
employee,"n. 职员, 员工, 受雇人员
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
disposed,"a. 愿意, 倾向于"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
public sector," 公共部门, 公共成分"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
mumps,"n. 流行性腮腺炎, 愠怒
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
bystander,"n. 旁观者, 目击者
"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
symbolic,"a. 象征的, 符号的
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
hierarchical,"[计] 分级的, 分层的, 层次的"
diplomatic,"a. 外交的, 老练的
"
diplomatically,"adv. 在外交上, 靠外交途径, 凭外交手腕"
discrimination,"n. 差别, 岐视, 辨别力
"
petroleum,"n. 石油
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
acre,n. 英亩
county,"n. 县, 郡"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
cashier,"n. 出纳员
"
auction,"n. 拍卖
vt. 拍卖"
concession,"n. 特许, 让步, 认可
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
extent,"n. 范围, 程度, 区域
"
vice-,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
weapon,"n. 武器, 兵器
vt. 武装"
infer,"vt. 推论出, 推断
vi. 作推论"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
offense,"n. 犯罪, 伤感情, 攻击"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composed,"a. 镇静的, 沉着的"
headquarters,"n. 总部, 司令部, 总部人员
"
identical,"a. 同一的, 恒等的, 完全相同的
"
cooperative,a. 合作的；合作社的
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
dispute,"n. 争论
v. 争论"
consultant,"n. 顾问, 征询意见者
"
vague,"a. 含糊的, 不清楚的, 茫然的"
vaguely,"adv. 含糊地, 暧昧地"
be disposed to do sth.,"有意,愿意;倾向于"
on both counts,在这两方面都…
take over,"na. 接管；继承
"
take liberties with sb.,过于随意
feel at ease with sb.,无
make a concession to,对...让步
make concessions to,无
to some extent,在某种程度上
come down to,"流传下来;压缩为,归结为,简化为"
burst into,"闯入, 开出, 突然出现"
take exception to sth.,"反对
"
stem from,"起源于,出自,出身于…"
domestic,"a. 家庭的, 国内的, 驯养的
"
disgusting,a. 令人厌恶的
condemn,"vt. 判刑, 责备, 谴责
"
duration,"n. 持续时间, 持续
"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
calendar,"n. 日历, 日程表
vt. 列入表中
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
conscience,"n. 良心
"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
wrinkled,"a. 具皱的, 有皱纹的"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
therapy,"n. 治疗
"
fragment,"n. 碎片, 破片, 片段
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
comprise,"vt. 包含, 构成"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
lawn,"n. 草地, 草坪, 上等细麻布
"
journalism,"n. 新闻业, 报章杂志
"
resemble,"vt. 相似, 类似"
ounce,"n. 盎司, 少量, 雪豹
"
oven,"n. 烤箱, 灶, 子宫
"
protein,"n. 蛋白质
a. 蛋白质的"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
democratic,"a. 民主的
"
democratically,"adv. 民主地, 民主主义地"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
tolerate,"vt. 宽容, 容许, 有耐力"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
exert,"vt. 发挥, 运用, 施以影响
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
oppress,"vt. 压迫, 压抑, 使烦恼"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
dignity,"n. 尊严, 高贵
"
heat up," 变热; 加[煮]热…; 沸腾, 使变得激烈; 馏"
busy oneself with,"为…而忙碌,忙于…"
crawl into bed,无
crawl out of bed,无
overflow with,充满着
fuss over,"对…感到焦虑,担心…"
not in all conscience,无
not in good conscience,无
think of sb. as,把...看作
think of sth. as,把...看作
be comprised of,由…组成
an ounce of,无
be unique in,无
substitute sth. for sth.,"代替…,替换…,取代…"
give sb. five,[网络] 击掌表示友好；结婚纪念日一样耶
give sb. a five,无
rumor,"n. 谣言, 传闻
vt. 谣传"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
residency,"n. 住处
"
bloodshed,n. 流血
surgical,"a. 外科的, 外科医生的, 手术上的
n. 外科病例, 外科病房, 外科手术"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
transplantation,"n. 移植, 移民, 移植术
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
senator,"n. 参议员, (某些大学的)理事
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
hatred,"n. 憎恨, 仇恨, 憎恶
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
slogan,"n. 呐喊声, 标语, 口号"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
eternal,"a. 永恒的, 永远的, 不灭的"
optional,"a. 可选择的, 随意的
"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
infection,"n. 传染, 影响, 传染病
"
diagnose,v. 诊断
diagnostic,"a. 诊断的, 有助于诊断的, 特征的
n. 诊断, 病的征候, 诊断法
"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
unappreciative,"a. 不赏识的, 不欣赏的"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
surgery,"n. 外科, 手术, 手术室, 换球术"
defective,"a. 有缺陷的, 欠缺的
n. 有缺陷的人, 不完全变化词"
gene,"n. 基因
"
