disastrous,"a. 损失惨重的, 悲伤的"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
vertical,"a. 垂直的, 直立的
"
viewpoint,n. 观点
clinical,"a. 临床的, 门诊部的
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
mixture,"n. 混合, 混淆, 混合物
"
conscience,"n. 良心
"
pretend,"v. 假装, 伪称, 自命, 自称"
generally,"adv. 通常, 逐渐地, 普遍地"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
extent,"n. 范围, 程度, 区域
"
hardware,"n. 硬件, 五金器具, 零件
"
strategic,"a. 战略的, 战略上的
"
similarly,"adv. 相像地, 类似于"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
indicative,"a. 指示的, 象征的, 表示...的
"
evaluate,"vt. 评估, 评价, 赋值"
mayor,"n. 市长
"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
opportunity,"n. 机会, 时机"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
commemorate,vt. 纪念
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
ignorance,"n. 无知, 愚味
"
nourish,"vt. 滋养, 使健壮, 怀有"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
criterion,"n. 标准, 准则, 规范
"
unique,"a. 独一无二的, 独特的, 稀罕的"
credentials,"n. 信任状, 国书, 文件, 身份证明, 证书
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
axis,"n. 轴
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
rumour,"n. 谣言, 传闻
vt. 谣传"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
category,"n. 种类, 类项
"
ensure,"vt. 确定, 保证, 担保, 保护
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
fragrance,"n. 芬芳, 香味"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
constrain,"vt. 强迫, 限制, 关押"
allegedly,adv. 依其申述
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
leftist,"n. 左翼的人, 左派
a. 左派的"
elasticity,"n. 弹力, 弹性
"
mediator,"n. 调停者, 传递者, 基督
"
gland,"n. 腺, 密封套
"
debris,"n. 碎片, 残骸
"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
overt,"a. 明显的, 公然的, 蓄意的
"
detach,"vt. 使分离, 分遣
"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
assertive,"a. 武断的, 过分自信的
"
snapshot,"n. 快照, 抽点打印
"
glaze,"n. 釉, 上光, 光滑面
vt. 装以玻璃, 上釉于
vi. 变得光滑, (目光)变呆滞"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
lesbian,"a. 女同性恋的
n. 女同性恋者"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
beak,"n. 鸟嘴, 喙
"
futile,"a. 无用的, 琐细的, 不重要的"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
ass,"n. 驴, 傻瓜, 笨蛋, 屁股
"
barometer,"n. 气压计
"
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
"
alley,"n. 小路, 巷"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
morale,"n. 士气, 道德"
devastate,"vt. 毁坏
"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
"
peck,"n. 配克(英美干量单位), 啄痕, 啄食, 许多
vt. 啄, 啄食, 琢, 凿成, 扔
vi. 啄, 吹毛求疵, 啄食, 勉强吃
"
practitioner,"n. 从业者, 开业者
"
cockpit,"n. 驾驶员座舱, 战场"
asylum,"n. 庇护, 收容所
"
auditorium,"n. 听众席, 礼堂
"
flirt,"n. 卖弄风骚的人, 急动, 急扔
vt. 忽然弹出, 轻快摆动, 挥动
vi. 调情, 玩弄, 摆动, 轻率地对待"
socket,"n. 窝, 穴, 插座, 眼窝
vt. 插进插座
"
gaol,"n. 监禁, 监狱
vt. 监禁"
urine,"n. 小便, 尿
"
idol,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论"
afloat,"a. 飘浮着的, 在海上的, 浸满水的, 在进行中的
adv. 飘浮着, 在海上, 浸满水, 在进行中"
assorted,"a. 各种各样的, 分类的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
centimetre,"n. 厘米, 公分"
transistor,"n. 晶体管
"
illusion,"n. 幻影, 错觉, 幻想
"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
ingredient,"n. 成分, 因素
"
feasible,"a. 能实行的, 可行的, 适宜的
"
petroleum,"n. 石油
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
eagle,"n. 鹰, 鹰状标饰"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
investment,"n. 投资
"
reputation,"n. 名誉, 名声, 声望
"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
pronounce,"v. 发音, 宣告, 断言"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
consideration,"n. 考虑, 原因
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
unload,"vi. 卸货
vt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
embassy,"n. 大使馆, 大使馆全体人员
"
majority,"n. 多数, 大半
"
appointment,"n. 约会, 委任的职位, 委派
"
triangle,"n. 三角形, 三个一组, 三角关系
"
assumption,"n. 假定, 自负, 担任, 假装
"
affair,"n. 事件, 事务, 恋爱事件"
tendency,"n. 趋向, 倾向
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
instinct,"n. 本能, 直觉
a. 充满着的"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
solitude,"n. 孤独, 单独, 孤寂"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
systematic,"a. 有系统的, 分类上的, 体系的
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
adequate,"a. 适当的, 足够的
"
silicon,"n. 硅
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
radar,"n. 雷达, 无线电探测器
"
provoke,"vt. 激怒, 惹起, 诱导
"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
intuition,"n. 直觉, 直觉的知识"
proficiency,"n. 精通, 熟练, 精练"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
bacterium,"n. 细菌
"
intensify,"vt. 加强
vi. 强化"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
sin,"n. 罪, 犯罪, 过失, 失礼
v. 犯"
exaggerate,"v. 夸大, 夸张"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
psychological,"a. 心理学的, 精神上的, 心灵的
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
enhance,"vt. 提高, 加强, 增加"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
tragic,"a. 悲惨的, 悲剧的"
quantify,"vt. 定量, 用数量表示, 测量"
rectangular,"a. 成直角的
"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
stump,"n. 残株, 树桩, 烟蒂, 讲演台
vt. 砍断, 挑战, 难住
vi. 蹒跚而走"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
erroneous,"a. 错误的, 不正确的
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
cohesion,"n. 结合, 黏聚, 内聚
"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
tactful,"a. 机智的, 老练的"
speculative,"a. 思索性的, 投机的, 推测的
"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
onward,"a. 向前的, 前进的
adv. 向前, 前进, 在先"
planetary,"a. 行星的, 流浪的, 迁移不定的, 地球上的, 现世的"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
judiciary,"a. 司法的, 法院的, 法官的
n. 司法部, 司法系统, 法官"
inclusive,"a. 包含的, 包括的"
jeopardise,"vt. 使受危险, 危及, 危害
"
wed,"vt. 与...结婚, 使结合
vi. 结婚"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
comprehend,"vt. 理解, 包括"
footprint,"n. 足迹
"
Olympic,"a. 奥林匹亚的, 奥林匹斯山的, 强有力的, 巨大的"
narrate,"v. 说故事, 说明, 叙述"
negate,"vt. 否定, 否认, 取消
"
apprentice,"n. 学徒, 生手
vt. 使做学徒"
zip,"n. 尖啸声, 拉链, 活力
vt. 给...以速度, 使增加活力, 拉(拉链)
vi. 有力而迅速地行动, 嘘嘘地响, 拉拉链"
cricket,"n. 蟋蟀, 板球"
turtle,n. 海龟
mammal,"n. 哺乳动物
"
beetle,"n. 甲虫, 大槌
vi. 快速移动
vt. 捶"
dinosaur,n. 恐龙
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
gravitation,"n. 引力, 重力, 沉下
"
antonym,n. 反义词
psychiatry,"n. 精神病学, 精神病治疗
"
diesel,"n. 内燃机, 柴油机, 柴油"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
fuck,"vt. 与...性交, 欺骗, 诅咒
vi. 性交
n. 性交, 些微, 杂种
interj. 他妈的, 混帐"
foe,"n. 仇敌, 反对者, 敌人, 对手"
deadlock,"n. 僵局, 停顿
v. (使)停顿, (使)相持不下
"
underwear,n. 内衣
envelop,"vt. 包封, 遮盖, 包围
n. 信封"
besiege,"vt. 围攻, 包围"
jack,"n. 插座, 千斤顶, 男人
vt. 抬起, 提醒, 扛举, 增加, 提高, 放弃
a. 雄的
"
lucrative,"a. 有利益的, 获利的, 合算的"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
item,"n. 项目, 条款, 一则, 项
"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
parliament,"n. 国会, 议会
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
monthly,"n. 月刊
a. 每月的, 每月一次的"
boundary,"n. 边界, 分界线
"
carrier,"n. 运送者, 邮递员, 带菌者
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
invitation,"n. 邀请, 请柬, 引诱
"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
quantity,"n. 量, 数量, 总量
"
engagement,"n. 诺言, 约会, 婚约, 交战
"
require,"vt. 需要, 命令, 要求
"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
functional,"a. 功能的
"
aspiration,"n. 热望, 志向, 渴望
"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
equation,"n. 相等, 等式, 平衡
"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
compute,"v. 计算, 估算
n. 计算, 估算"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
hint,"n. 暗示, 提示
v. 暗示, 示意"
analysis,"n. 分析
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
elegant,"a. 优雅的, 端庄的, 高雅的"
moisture,"n. 湿气, 水分, 降雨
"
confusion,"n. 混乱, 混淆, 无秩序
"
carbon,"n. 碳, 副本, 复写纸
"
speculate,"vi. 深思, 推测, 投机
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
sophisticated,"a. 复杂的, 久经世故的
"
resemblance,"n. 相似处, 类似, 肖像"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
controversial,"a. 争论的, 论争的, 被议论的"
entity,"n. 实体, 实存物, 存在
"
facility,"n. 容易, 灵巧, 设备
"
artificial,"a. 人造的, 假的, 非原地产的
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
statue,"vt. 以雕像装饰
n. 雕像"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
plentiful,"a. 许多的, 丰富的, 丰饶的"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
receptor,"n. 受体, 感觉器官
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
divert,"vt. 转移, 使欢娱
vi. 转移"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
merger,"n. 合并, 归并
"
dismissal,"n. 免职, 解雇
"
humane,"a. 有人情的, 人道的, 仁慈的"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
fixture,"n. 固定(状态), 固定物, 设备
"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
ulcer,"n. 溃疡, 腐烂物
"
subsistence,"n. 生存, 生活
"
hasty,"a. 匆匆的, 轻率的, 性怠的"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
venerable,"a. 庄严的, 值得尊敬的"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
discrete,"a. 不连续的, 离散的
"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
cholesterol,"n. 胆固醇
"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
cardboard,"n. 薄纸板
"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
stammer,"v. 口吃, 结结巴巴地说
n. 口吃, 结巴"
lass,"n. 少女, 爱人, 情妇"
longevity,"n. 长命, 长寿, 寿命
"
stewardess,"n. 空中小姐, 女管理人, 女管家"
necklace,n. 项链
marathon,"n. 马拉松, 耐力的考验"
satire,"n. 讽刺文学, 讽刺"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
"
hockey,"n. 冰球, 曲棍球"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
tact,"n. 机智, 手法, 老练
"
cub,"n. 幼兽, 年轻人"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
renown,"n. 名声, 声望
vt. 使有声望"
intrude,"vi. 闯入, 侵入
vt. 强加于"
berry,"n. 浆果
vi. 采集浆果"
shrimp,"n. 虾, 小虾, 矮子
vi. 捕小虾"
errand,"n. 任务, 差使, 使命"
sinister,"a. 不吉利的, 凶恶的, 左边的
"
negligent,"a. 疏忽的, 粗心的, 不在意的"
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
envoy,"n. 外交使节, 特使
"
brandy,"n. 白兰地酒
"
payroll,"n. 工资名单, 饷金名单, 发放的工资总额
"
trauma,"n. 外伤, 损伤
"
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
accordance,"n. 一致, 和谐"
commodity,"n. 农产品, 商品, 有用的物品
"
apparently,"adv. 表面上, 清楚地, 显然地"
belief,"n. 信念, 相信, 信仰"
downfall,"n. 衰败, 大雨"
timber,"n. 木材, 木料
vt. 用木材建造"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
ridiculous,"a. 荒谬的, 可笑的"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
consumption,"n. 消费, 消费量, 痨病
"
composition,"n. 作文, 创作, 组成
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
conclusion,"n. 结论, 结尾, 推论
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
yoga,n. 瑜珈
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
treaty,"n. 条约, 谈判
"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
disease,"n. 疾病, 弊病
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
harmony,"n. 协调, 和睦, 调和
"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
