able,"a. 能干的, 能够的"
library,"n. 图书馆, 藏书, 库
"
liberty,"n. 自由, 特权, 许可, 冒失
"
borrow,"vt. 借, 借入, 借用
vi. 借
"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
china,"n. 中国, 瓷器
a. 中国的"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
dish,"n. 盘子, 碟, 菜肴
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
bold,"a. 大胆的
n. 粗体
"
courage,"n. 勇气, 胆量"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
hero,"n. 英雄, 超越常人者, 男主角"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
breakout,"n. 爆发, 越狱, 突围
"
damage,"n. 损害, 伤害
v. 损害"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
breakfast,n. 早餐
lunch,n. 午餐
supper,n. 晚餐
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
restaurant,"n. 餐馆, 饭店"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
hotel,"n. 旅馆, 客栈"
inn,"n. 旅馆, 客栈
vi. 住旅馆"
eat,"v. 吃, 腐蚀"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
thirsty,"a. 口渴的, 渴望的, 干燥的"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
tea,"n. 茶, 茶叶
"
breath,"n. 呼吸, 气息, 瞬间
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
pathway,"n. 路径, 途径
"
road,"n. 路, 道路, 公路, 途径, 方法
"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
street,"n. 街道, 马路, 街区
a. 街道的"
bring,"vt. 带来, 产生, 促使, 提出
vi. 生产"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
broom,"n. 扫帚, 金雀花
vt. 扫除"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
build,"v. 建立, 建筑
n. 构造, 体格"
building,"n. 建筑物, 建筑
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
candle,"n. 蜡烛
vt. 对着光检查"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
bush,"n. 矮树丛
"
forest,"n. 森林, 林区
vt. 植树于"
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
wooden,"a. 木制的, 呆笨的, 木然的"
woolen,"n. 毛制品
a. 羊毛的, 羊毛制的, 毛织的"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
diamond,"n. 钻石, 菱形
"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
carbon,"n. 碳, 副本, 复写纸
"
coal,"n. 煤, 木炭
v. 加煤"
tin,"n. 锡, 马口铁, 罐头
vt. 在...镀锡于
a. 锡制的
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
freedom,"n. 自由, 坦率, 特权
"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
goods,"n. 货物
"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
shopkeeper,"n. 零售商, 店主, 老板"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
storekeeper,n. 店主
booth,"n. 亭, 摊棚
"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
dealer,"n. 经销商, 商人
"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
commerce,"n. 商业, 商务, 贸易
"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
treatment,"n. 治疗, 待遇, 处理
"
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
tent,"n. 帐篷, 帷幕, 住处, 塞条, 塞子
vi. 住帐蓬, 宿营, 暂时居住
vt. 用帐篷遮盖, 使住帐篷, 用塞条嵌入"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
furniture,"n. 家具, 帆具"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
cape,"n. 岬, 海角, 披肩, 斗蓬"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
overcoat,n. 外套大衣
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
shirt,"n. 衬衫, 内衣, 汗衫"
jeans,"n. 工装裤, 牛仔裤"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
hat,"n. 帽子
vt. 给...戴帽子"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
cloth,"n. 布料, 织品, 布
"
clothe,"vt. 给...穿衣, 盖上, 赋予"
clothes,n. 衣服
clothing,n. 衣服
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
carefree,"a. 无忧无虑的, 不负责的"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
career,"n. 事业, 生涯, 成功
"
employment,"n. 雇用, 职业, 工作
"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
barber,n. 理发师
correspondent,"n. 通讯记者, 通信者
"
physician,"n. 医师, 内科医师, 解除痛苦者
"
salesman,"n. 售货员, 推销员
"
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
worker,"n. 工人, 劳动者
"
workmate,"n. 共同工作者, 同事"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labored,"a. 吃力的, 缓慢的, 不自然的, 矫揉造作的"
laboured,"a. 吃力的, 缓慢的, 不自然的, 矫揉造作的"
laborious,"a. 艰苦的, 费劲的, 勤劳的"
laborsaving,"a. 节省劳力的, 省力气的"
laboursaving,a. 省劳力的
cash,"n. 现金
vt. 兑现"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
currency,"n. 货币, 通货, 流通, 通用
"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
salary,"n. 薪水
vt. 给...加薪"
income,"n. 收入, 收益, 流入
"
earn,"vt. 赚得, 获得, 博得
"
wallet,"n. 皮夹
"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
priceless,"a. 无价的, 极贵重的"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
costly,"a. 昂贵的, 奢华的, 费用大的"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
worth,"n. 价值, 财产
a. 值...的, 值得的"
dear,"n. 亲爱的人
a. 亲爱的, 昂贵的, 严重的, 急迫的
interj. 啊
adv. 深爱地, 高价地"
darling,"n. 亲爱的, 可爱的人, 可爱的物
a. 可爱的, 亲爱的"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
saving,"n. 存款, 挽救, 节约
a. 搭救的, 节约的, 保留的, 补偿的
prep. 除...之外"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
wastage,"n. 浪费, 浪费量, 废物
"
cancer,"n. 癌, 恶性肿瘤
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
disease,"n. 疾病, 弊病
"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
illness,"n. 疾病, 恶意
"
temperature,"n. 温度, 发烧, 热度
"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
patience,"n. 耐性, 忍耐"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
healthy,"a. 健康的, 有益健康的, 卫生的
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
example,"n. 例子, 样本, 实例
"
palace,"n. 宫, 宫殿, 华丽大厦"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
cottage,"n. 小屋, 茅舍"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
housework,"n. 家事, 家务"
housewife,"n. 主妇, 家庭妇女"
kitchen,"n. 厨房, 全套炊具
"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
chimney,"n. 烟囱, 灯罩
"
smog,"n. 烟雾
"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
bee,"n. 蜜蜂, 聚会"
cattle,"n. 牛, 家畜
"
cow,"n. 母牛, 母兽
vt. 威胁"
ox,n. 牛
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
rat,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
cock,"n. 公鸡, 雄禽, 龙头, 头目, 锥形小干草堆
vt. 使耸立, 使竖起, 堆成锥形小干草堆
vi. 大摇大摆地走, 翘起"
hen,"n. 母鸡, 雌禽"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
goose,"n. 鹅, 雌鹅, 鹅肉, 弯把熨斗
vt. 与...性交, 突然加大油门, 使生色, 喝倒彩"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
zebra,n. 斑马
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
goat,"n. 山羊, 替罪羊, 色鬼"
sheep,"n. 羊, 胆小者"
frog,"n. 青蛙
"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
panda,"n. 大熊猫, 小熊猫"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
elephant,n. 象
tiger,"n. 老虎, 虎, 凶暴的人"
dinosaur,n. 恐龙
monster,"n. 怪物, 恶人, 巨物
"
pet,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气
a. 宠爱的, 表示亲昵的, 养着观赏的, 特别珍爱的, 格外的
vt. 宠爱, 溺爱, 抚摸
vi. 拥抱, 爱抚, 生气, 发脾气"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
cell,"n. 单元, 细胞, 电池
"
nucleus,"n. 核心, 核子, 原子核, 起点
"
organism,"n. 生物, 有机体, 社会组织
"
cent,"n. 分
"
penny,"n. 便士, 一分, 小钱, 点滴
"
per,"prep. 每一, 通过, 经, 按照
"
percent,"n. 百分比, 百分数, 部分
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
o'clock,"n. ...点钟, 钟头"
third,"num. 第三, 三分之一
"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
chairman,"n. 主席, 会长
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
vice-president,"副总裁, 副总统
"
ex-president,n. 前总统
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
mayor,"n. 市长
"
headmaster,"n. (中小学)校长, 监工"
manager,"n. 经理, 管理员, 管理器
"
vice-manager, 副经理
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
management,"n. 经营, 支配, 管理
"
government,"n. 政府, 内阁
"
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
office,"n. 办公室, 部, 公职, 职责
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
chalk,"n. 粉笔, 白垩
vt. 用粉笔写, 记录"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
classroom,n. 教室
classmate,n. 同班同学
professor,n. 教授
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
teacher,"n. 教师, 老师, 导师"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
untaught,unteach的过去式和过去分词
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
student,"n. 学生, 研究者, 学者"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
learn,vt. 学习；认识到；得知
educate,"vt. 教育, 培养, 训练"
education,"n. 教育, 训练, 教育学
"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
lesson,"n. 课, 课业, 教训"
homework,"n. 家庭作业, 家里做的工作
"
semester,n. 学期
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
holiday,"n. 假日, 假期, 节日
vi. 度假"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
happen,"vi. 发生, 发生, 恰巧"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
lottery,"n. 奖券, 彩票, 运气
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
conversation,"n. 会话, 说话, 交谈
"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
talkative,"a. 喜欢说话的, 饶舌的, 多嘴的"
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
speaker,"n. 说话人, 讲演者, 发言人, 喇叭, 扬声器
"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
chart,"n. 图表, 海图
vt. 制成图表
"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
selection,"n. 选择, 选文, 精选品
"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
hall,"n. 门厅, 走廊, 会堂"
bible,n. 圣经
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
Christmas,[网络] 圣诞；基督的弥撒
Marxist,"a. 马克思主义的
n. 马克思主义者"
god,"n. 上帝, 神像, 偶像
vt. 使神化"
Thanksgiving,n. 感谢
godlike,"a. 似神的, 庄严的"
bless,"vt. 祝福, 祈佑, 使神圣化"
heaven,"n. 天堂, 上帝, 天空"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
hell,"n. 地狱, 邪恶势力, 苦境, 阴间, 毁坏, 训斥
vi. 狂饮, 飞驰"
cinema,"n. 电影院, 电影"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
movie,n. 电影
theater,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
opera,n. 歌剧
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
direction,"n. 方向, 指导, 趋势
"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
actor,"n. 男演员, 行动者
"
actress,n. 女演员
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
performative,a. 
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
citizen,"n. 市民, 公民
"
citizenry,"n. 市民
"
citizenship,"n. 国籍, 市民权, 市民的身份
"
city,"n. 城市, 市
"
town,"n. 城镇, 市, 镇
"
townsfolk,"n. 镇民, 市民, 城里生长的人, 城镇居民"
peasant,"n. 农夫, 乡下人"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
person,"n. 人, 人身, 人称
"
humanist,"n. 人道主义者, 人文学者"
inhuman,"a. 残忍的, 无人性的, 非人类的
"
mankind,"n. 人类, 男性"
Negro,"n. 黑人
a. 黑人的"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
manly,"a. 象男人的, 强壮的, 适于男人的"
manpower,"n. 人力
"
woman,"n. 女人, 妇女, 女仆
a. 女用的, 女性的, 妇女的
vt. 贬称...为女人, 使成女人腔"
population,"n. 人口, 人口数
"
populous,"a. 人口多的, 人口稠密的"
boy,"n. 男孩
"
