abolish,"vt. 废止, 革除, 消灭
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
formulation,"n. 系统陈述, 公式化, 配制
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
transformation,"n. 变形, 变质, 变化, 改革, 变换
"
transformer,"n. 变压器, 促使变化的人
"
uniformly,"adv. 一样, 一致, 相同, 一直不变, 一贯, 始终如一, 均质, 一律, 均匀
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
misfortune,"n. 不幸, 灾祸, 坏运气
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
profoundly,"adv. 深深地, 深切地"
profundity,"n. 深度, 深奥, 深刻, 深厚"
fraction,"n. 小部分, 破片, 分数
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
fragile,"a. 易碎的, 脆的
"
fragility,"n. 脆弱, 虚弱
"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confrontation,n. 对抗；对质；面对
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
frustrating,a. 令人沮丧的
frustration,"n. 挫折, 顿挫
"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
refugee,"n. 难民, 流亡者
"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
perfumery,"n. 香料类, 香水(总称), 香料制造业"
perfumer,"n. 香料制造人, 香水调配者, 香料商, 香水喷雾器"
confusion,"n. 混乱, 混淆, 无秩序
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
diffusion,"n. 散播, 传播, 蔓延
"
refute,"vt. 反驳, 驳斥；驳倒"
refutable,"a. 可驳倒的
"
refutation,"n. 反驳, 辩驳, 反驳的证据
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
engagement,"n. 诺言, 约会, 婚约, 交战
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
garment,"n. 衣服, 衣装, 外表"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
degenerative,"a. 退步的, 退化的, 变质的
"
degeneration,"n. 退化, 恶化, 堕落
"
generate,"vt. 产生, 发生, 导致
"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generalization,"n. 一般化, 普遍化, 概括
"
generosity,"n. 慷慨, 宽大"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
geneticist,"n. 遗传学家
"
genetics,"n. 遗传学
"
homogeneous,"a. 同种的, 同质的, 齐性的
"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
regenerative,"a. 再生的, 更生的, 更新的
"
regenerate,"vt. 使再生, 重建, 革新
vi. 新生, 再生
a. 新生的, 再生的
"
geographical,"a. 地理学的, 地理的"
geography,"n. 地理学, 地理
"
geology,"n. 地质学, 地质情况"
geologist,"n. 地质学家, 地质学者"
geological,"a. 地质学的, 地质的"
geometrical,"a. 几何学的, 几何的
"
geometry,"n. 几何学
"
glossary,"n. 专业词典, 术语集, 词表
"
glossarist,"n. 注解者, 专业词典编纂者"
diagnose,v. 诊断
diagnosis,"n. 诊断
"
ignorance,"n. 无知, 愚味
"
agreeable,"a. 令人愉快的, 同意的
"
disagreement,"n. 不合, 争论, 不一致
"
gracious,"a. 亲切的, 慈善的"
degrade,"v. (使)降级, (使)退化"
degradation,"n. 降格, 堕落, 退化
"
gradient,"n. 倾斜度, 梯度, 坡度, 斜率
a. 渐升的, 渐降的, 步行的"
bibliography,"n. 参考书目
"
biography,n. 传记
biographic,"a. 传记的, 传记体的"
gramophone,n. 留声机
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
photography,"n. 摄影, 摄影术
"
photographer,"n. 摄影师, 摄影者"
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
aggravate,"vt. 使恶化, 使更严重, 加重"
aggravation,"n. 恶化, 加重, 恼怒
"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
aggregation,"n. 集合, 聚合, 集合体
"
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
congregation,"n. 集合, 聚集
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
guardian,"n. 看守者, 监护人, 保护人
a. 保护的"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
habitable,"a. 适于居住的, 可居住的"
inhabit,"vt. 居住于, 占据, 栖息"
inhabitant,"n. 居民, 居住者
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
harmony,"n. 协调, 和睦, 调和
"
haughty,"a. 傲慢的, 骄傲的, 崇高的"
haughtily,"adv. 傲慢地, 骄傲地"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adhesive,"a. 粘着的, 涂有粘性物质的
n. 粘合剂, 橡皮膏"
adhesion,"n. 附着, 粘着, 支持, 追随
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
cohesive,"a. 黏合在一起的
"
coherence,"n. 黏合(性), 连贯性, 一致性
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
"
inherent,"a. 固有的, 与生俱来的
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
prohibition,"n. 禁令, 禁止"
prohibit,"vt. 禁止, 阻止
"
historian,"n. 历史学家, 记事者"
horrify,"vt. 使恐惧, 使震惊"
horrifying,a. 令人恐惧的；使人惊骇的
hospitality,"n. 款待, 亲切, 殷勤"
hospitable,"a. 好客的, 招待周到的"
hostage,"n. 人质, 抵押品
"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hostility,"n. 敌意, 敌对, 反对"
humanitarian,"n. 人道主义者, 博爱者, 基督凡人论者
a. 人道主义的, 博爱的, 凡人论的"
humanitarianism,"n. 人道主义, 博爱主义"
humanity,"n. 人性, 人类, 博爱"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
humiliation,"n. 耻辱, 丢脸, 谦卑"
identical,"a. 同一的, 恒等的, 完全相同的
"
identification,"n. 识别, 身份证明, 认同
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
idiot,"n. 白痴, 极蠢之人
"
idiotic,"a. 白痴的, 愚蠢的, 呆头呆脑的"
ignite,"vt. 点燃, 使灼热, 使兴奋"
ignition,"n. 点火, 点燃
"
imaginative,"a. 想像的, 虚构的"
imaginable,"a. 可想像的, 可能的"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
imperialist,"n. 帝国主义者, 皇帝统治的拥护者, 皇帝派的人
a. 帝国主义的"
imperialism,"n. 帝国主义, 帝制
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
insulate,"vt. 使绝缘, 隔离
"
insulator,"n. 绝缘体, 从事绝缘工作的工人
"
insulation,"n. 绝缘；隔离, 孤立"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
peninsular,a. 半岛的
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integration,"n. 综合, 与环境协调的行为, 集成
"
integrity,"n. 正直, 廉正, 完整
"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
ambition,"n. 野心, 志向"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initiation,"n. 开始, 指引, 入会
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adjacency,"n. 邻接, 邻接物
"
eject,"vt. 逐放, 放逐, 喷射
"
inject,"vt. 注射, 注入, 使入轨
"
injection,"n. 注射, 注射剂
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
rejection,"n. 拒绝, 抛弃, 驳回, 被抛弃的东西, 呕出物
"
subjective,"a. 主观的, 个人的
"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
rejoicing,"n. 欣喜, 高兴, 欢欣之事"
adjoin,"v. 邻接, 毗连"
adjoining,"a. 邻接的, 毗连的
"
conjunction,"n. 连接词, 联合, 结合
"
junction,"n. 连接, 会合处, 交叉点
"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
adjustable,"a. 可调节的
"
adjustment,"n. 调整, 调节, 校正
"
justification,"n. 辩护, 证明正当, 释罪
"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acknowledgement,"n. 承认, 确认, 感谢, 收到的通知
"
collaboration,"n. 合作, 勾结
"
collaborate,"vi. 合作, 勾结
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elaboration,"n. 苦心经营, 精巧
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
latitude,"n. 纬度, 范围
"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
dilution,"n. 冲淡, 淡度, 稀度, 稀释物, 冲淡物, 稀释
"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
delegate,"n. 代表
vt. 委派...为代表"
delegation,"n. 代表团, 派遣代表团, 代表的地位(或权力)
"
diligent,"a. 勤勉的, 用功的"
diligence,n. 勤奋
elegant,"a. 优雅的, 端庄的, 高雅的"
elegance,"n. 高雅, 典雅, 优雅"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
elite,"n. 精华, 精锐, 中坚分子"
intellect,"n. 智力, 出众的才华, 知识分子
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intelligent,"a. 聪明的, 智能的, 了解的"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
selection,"n. 选择, 选文, 精选品
"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
allege,"vt. 宣称, 主张, 提出, 断言
"
legend,"n. 传说, 传奇文学, 图例
"
legendary,"a. 传说的, 传奇中说的, 传奇般的, 传说中的, 著名的"
legislation,"n. 立法, 法律
"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
dilemma,"n. 困境, (进退两难的)窘境"
alleviate,"vt. 减轻, 使缓和"
alleviation,"n. 减轻, 缓和, 镇痛物
"
elevate,"vt. 举起, 提拔, 鼓舞"
elevation,"n. 海拔, 提高, 仰角
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
leverage,"n. 杠杆作用, 杠杆装置, 杠杆效率
"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
deliberation,"n. 熟虑, 熟思, 审议
"
deliberately,adv. 故意地
elicit,"vt. 引出, 推导出, 引起"
lieutenant,"n. 中尉, 助理人员, 副官"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
enlightenment,"n. 启迪, 教化"
twilight,"n. 暮光, 曙光, 黎明, 黄昏, 微光, 朦胧状态
a. 微明的"
alignment,"n. 队列, 结盟, 校正
"
linear,"a. 线的, 直线的, 线状的
"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
liner,"n. 班机, 划线者, 定期船, 衬里
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
illiteracy,"n. 文盲, 无知"
literacy,"n. 读写能力, 识字, 精通文学"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literary,"a. 文学的, 文艺的, 精通文学的
"
allocate,"vt. 分派, 分配
"
allocation,"n. 配置, 分配, 拨给
"
locality,"n. 地方, 所在, 位置
"
location,"n. 位置, 场所, 特定区域
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
locomotion,"n. 运动, 移动, 旅行
"
analogue,"n. 类似物, 相似情况
"
analogous,"a. 类似的, 相似的
"
analogy,"n. 相似, 类似
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
slogan,"n. 呐喊声, 标语, 口号"
longevity,"n. 长命, 长寿, 寿命
"
longitude,"n. 经度, 经线
"
prolong,"vt. 延长, 拖延, 拖长
"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
eloquence,"n. 口才, 雄辩术, 雄辩
"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
lubricant,"a. 润滑的
n. 润滑物, 润滑油, 润滑剂"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustration,"n. 例证, 插图
"
delusion,"n. 迷惑, 欺瞒, 错觉
"
delude,"vt. 迷惑, 蛊惑"
illusion,"n. 幻影, 错觉, 幻想
"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
disillusion,"n. 觉醒, 幻灭
vt. 使醒悟, 使幻想破灭"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illumination,"n. 照明, 阐明, 启发
"
illuminator,"n. 启发者, 反射镜, 集光镜"
luminous,"a. 发光的, 明亮的
"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
luxurious,"a. 豪华的, 奢侈的, 放纵的"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
analyst,"n. 分析者, 精神分析学家
"
analytic,"a. 分析的, 善于分析的, 解析的
"
analytical,"a. 分析的, 善于分析的, 解析的
"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
paralyse,"vt. 使麻痹, 使瘫痪, 使无力, 使气馁, 终止
"
magistrate,"n. 长官, 法官, 推事
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
magnification,"n. 扩大, 放大率, 放大的复制品
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
malice,"n. 恶意, 蓄意害人, 怨恨
"
malicious,"a. 怀恶意的, 恶毒的"
mammal,"n. 哺乳动物
"
mansion,"n. 大厦, 宅邸"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manifestation,"n. 显示, 证明, 示威运动
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
manipulation,"n. 操作, 处理
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automation,"n. 自动化, 自动操作
"
pneumatic,"a. 充气的, 空气的, 有气胎的, 气动的, 灵魂的
n. 充气轮胎"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
mechanics,"n. 机械学, 结构, 力学
"
mechanical,"a. 机械的, 机械性的, 力学的
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
mediation,"n. 调停, 调解, 中介
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
midst,"n. 中间
prep. 在...中间"
meditation,"n. 沉思, 冥想"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
commemorate,vt. 纪念
commemoration,"n. 纪念, 纪念物, 庆典"
memorize,"vt. 记住, 熟记, 背熟"
memorization,"n. 凭记忆, 暗记"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
commend,"vt. 嘉奖, 委托给, 推荐"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
commentary,"n. 注释, 评论, 说明
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergence,"n. 出现, 浮现, 发生"
immerse,"vt. 沉浸, 使陷入
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
metallic,"a. 金属的, 含金属的, 产生金属的
"
metallurgy,"n. 冶金学, 冶金术
"
metallurgical,"a. 冶金的, 冶金学的
"
metallurgist,"n. 冶金家, 冶金学者
"
barometer,"n. 气压计
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
measurement,"n. 尺寸, 度量, 度量单位
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
perimeter,"n. 周长, 周界, 边缘
"
symmetry,"n. 对称, 匀称
"
symmetrical,"a. 对称的, 匀称的
"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
metropolis,"n. 大都市, 重要中心, 首府
"
migrate,"vi. 移动, 移往, 随季节而移居
"
migration,"n. 移民, 移往, 移动
"
emigrate,"v. (使)移居, (使)移民"
emigrant,"n. 移民, 侨民
a. 移民的, 移居的"
immigrate,"vt. 使移居入境
vi. 移入"
immigration,"n. 移民, 移居
"
migrant,"n. 候鸟, 移居者
"
militant,a. 好战的
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
administration,"n. 行政, 管理, 政府机关
"
diminish,"v. (使)减少, (使)变小"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
minimal,"a. 最小的, 极微的, 最小限度的
"
minimum,"a. 最小的, 最低的
n. 最小值
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
dominate,"v. 支配, 占优势"
domination,"n. 支配, 控制, 管辖"
dominant,"a. 占优势的, 支配的
"
predominant,"a. 占主导地位的, 卓越的
"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
miser,"n. 守财奴, 吝啬鬼, (石油工程上用的)锥钻头"
miserly,"a. 吝啬的, 贪婪的"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
miserable,a. 悲惨的；痛苦的；卑鄙的
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
committee,"n. 委员会
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
dismission,"n. 免职, 解雇,不予考虑"
emission,"n. 发射, 射出, 发行
"
emissive,"a. 发射的, 放射性的"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
intermittent,"a. 间歇的, 断断续续的
"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
permissible,"a. 可允许的, 可容许程度的
"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
permission,"n. 许可, 允许
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
promising,"a. 有希望的, 前途有望的
"
transmission,"n. 传输, 传送, 变速器
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
transmitter,"n. 传送者, 传达人, (疾病的)传播者
"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
mobbish,"a. 暴徒似的, 暴乱的
"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
mobilization,"n. 动员, 调动, 活动法
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
commodity,"n. 农产品, 商品, 有用的物品
"
moderately,"adv. 适当地, 适度地, 中庸地"
moderation,"n. 缓和, 适度, 温和
"
modesty,"n. 谦逊, 质朴, 羞怯"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
modification,"n. 修正, 修饰, 修改
"
modulate,"vt. 调整, 使转调, 控制
vi. 转调, 调制"
modulation,"n. 调制, 调节, 语调
"
module,"n. 组件, 模数
"
molecular,"a. 分子的, 由分子组成的
"
momentary,"a. 瞬间的, 刹那间的"
momentarily,"adv. 暂时地, 立刻, 随时地"
momentum,"n. 动力, 动量
"
sermon,"n. 说教, 启示, 布道"
sermonize,"v. 说教, 布道, 说大道理与人听"
sermonizer,"n. 布道者, 训诫者"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
monk,"n. 修道士, 僧侣, 和尚"
monkish,"a. 僧侣的, 修道院士的, 苦行僧般的"
monstrous,"a. 巨大的, 畸形的, 怪异的
"
morality,"n. 道德, 教训, 品行
"
moralize,"vt. 教化, 使有德行
vi. 说教"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
immortal,"n. 不朽人物, 神仙
a. 永远的, 不死的, 长久的"
immortality,"n. 不朽, 不灭的声望"
immortalize,"vt. 使不灭, 使名垂千古"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
mortgagee,"n. 承受抵押人
"
mortgagor,"n. 抵押人, 出押人
"
motel,n. 汽车旅馆
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
motivation,"n. 动机, 刺激, 推动
"
promotion,"n. 晋级, 创建, 增进
"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
mounting,"n. 装备, 衬托纸, 舞台效果, 上马
"
mountainous,"a. 多山的, 如山的, 巨大的"
ammunition,"n. 军火, 弹药
"
community,"n. 社区, 公众, 共有, 共同体
"
communal,"a. 公有的, 公社的
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunity,"n. 免疫, 免疫性, 免除
"
municipal,"a. 市政的, 自治区的, 内政的
"
municipality,"n. 自治区, 市当局, 市民
"
amusement,"n. 兴味, 娱乐, 消遣
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
commuter,"n. 乘公共车辆上下班者, 月季票乘客
"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
commonality,"n. 共同特性, 平民百姓"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
commonsense,"a. 有常识的, 一望而知的, 明明白白的"
commonwealth,n. 共和国；联邦；国民整体
kidnap,"vt. 绑架, 诱拐, 拐骗
"
kidnapper,"n. 拐子, 绑架者
"
interconnect,vt. 使互相连接
interconnection,"n. 互相连络
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
negligence,"n. 疏忽, 粗心大意, 忽视
"
negligent,"a. 疏忽的, 粗心的, 不在意的"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
neutron,"n. 中子
"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
nominate,"vt. 提名, 任命, 命名
"
nomination,"n. 提名, 任命, 提名权"
autonomy,"n. 自治, 自治权
"
autonomous,"a. 自治的
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
normalization,"n. 常态化, 正常化, 正规化
"
normalize,"vt. 使常态化, 使合标准, 使合规格
"
denote,"vt. 指示, 表示"
denotation,"n. 指示, 表示, 符号"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
notation,"n. 记号, 符号表示法, 注释
"
notify,"vt. 通知, 通告, 报告
"
notification,"n. 通知, 通告, 告示
"
