precise,"a. 精确的, 严谨的, 明确的
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
worth,"n. 价值, 财产
a. 值...的, 值得的"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
mop,"n. 拖把, 鬼脸
vt. 用拖把洗擦, 擦, 拭
vi. 做鬼脸
"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
universe,"n. 宇宙, 星系, (思想等)范围"
sincerely,adv. 真诚地
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
variety,"n. 多样, 种类, 变种, 杂耍
"
decision,"n. 决定, 决心, 决断
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
amusement,"n. 兴味, 娱乐, 消遣
"
healthy,"a. 健康的, 有益健康的, 卫生的
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
grandparent,n. 祖父母
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
liberate,"vt. 解放, 释放, 使自由
"
prefer,"vt. 宁可, 较喜欢, 提出
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
unemployment,"n. 失业, 失业人数
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
cruel,"a. 残酷的, 令人极痛苦的
"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
diamond,"n. 钻石, 菱形
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
accuracy,"n. 精确, 正确
"
opening,"n. 开始, 口子, 穴, 揭幕
a. 开始的"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
deliberately,adv. 故意地
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
dustbin,n. 垃圾箱
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
gravity,"n. 地心引力, 重力
"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
insist,"v. 坚持, 坚决主张, 强调"
elegant,"a. 优雅的, 端庄的, 高雅的"
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
offshore,"a. 海面的, 吹向海面的, 近海的
adv. 向海面"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
arrange,"v. 安排, 排列, 达成协议
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
avenue,"n. 大街, 途径, 林荫路"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
forgetful,"a. 健忘的, 易忘的"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
preparation,"n. 准备, 预备, 预习
"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
unbelievable,a. 难以置信的
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
inventor,"n. 发明家
"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
appendix,"n. 附录, 附加物, 阑尾
"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
existence,"n. 存在, 生存
"
rewrite,"vt. 重写, 改写, 改写新闻, 书面答复
vi. 修改旧作
n. 改写的作品
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
invention,"n. 发明, 创作能力, 虚构的故事
"
attitude,"n. 态度, 看法, 姿势
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
ample,"a. 大量的, 充足的, 丰富的"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
misunderstand,"vt. 误解, 误会"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
hardworking,"a. 苦干的, 不辞辛劳的"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
stainless,"a. 无瑕疵的, 不锈的
"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
prairie,"n. 大草原, 草甸"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
carrier,"n. 运送者, 邮递员, 带菌者
"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
pen-friend,n. 笔友
awkward,"a. 笨拙的, 棘手的"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
connection,"n. 连接, 关系, 前后关系
"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
hopeless,"a. 无希望的, 绝望的, 不可救药的"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
unique,"a. 独一无二的, 独特的, 稀罕的"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
sausage,"n. 香肠, 腊肠"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
subjective,"a. 主观的, 个人的
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
analysis,"n. 分析
"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
fried,a. 油炸的
symptom,"n. 症状, 征候, 征兆
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
sneaker,"n. 鬼鬼祟祟做事的人, 卑鄙者, 帆布胶底运动鞋"
independence,"n. 独立, 自立, 自主
"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
mixture,"n. 混合, 混淆, 混合物
"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
discussion,n. 讨论
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
remain,"vi. 保持, 逗留, 剩余
"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
foggy,"a. 雾深的, 模糊的"
right-wing,"右翼,保守派;右边锋"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
shelf,"n. 架子, 搁板
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
aspect,"n. 外观, 方面, 面貌, 方向
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
ripe,"a. 成熟的, 熟练的, 成年的
"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
recipe,"n. 食谱, 处方, 秘诀
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
discuss,"vt. 讨论, 论述
"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
learn,vt. 学习；认识到；得知
climate,"n. 气候, 社会趋势, 气候区
"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
theme,"n. 主题, 话题, 题目"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
unless,"conj. 除非
prep. 除...之外"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
exhibition,"n. 表现, 展览会, 展览品
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
accumulate,"v. 积聚, 堆积"
background,"n. 背景, 背景资料
"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
million,"n. 百万, 无数
num. 百万"
embassy,"n. 大使馆, 大使馆全体人员
"
scold,"n. 好骂街的人, 责骂
v. 责骂"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
turnoff,"n. 岔开, 岔道, 关闭"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
dawn,"n. 破晓, 黎明
vi. 破晓"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
diploma,"n. 文凭, 毕业证书
"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
mentally,"adv. 心理上, 精神上, 智力上
"
traditional,"a. 传统的, 惯例的
"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
organization,"n. 组织, 结构, 团体, 体制
"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
arrow,"n. 箭, 箭状物, 箭头记号"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
evaluate,"vt. 评估, 评价, 赋值"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
tongue,"n. 舌, 语言能力, 讲话方式, 语言
vt. 舔, 斥责, 发...的音
vi. 使用舌头, 吹管乐器"
diagram,n. 图表；图解
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
settler,"n. 移民者, 解决者, 结算员
"
eggplant,n. 茄子
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
ban,"n. 禁令
vt. 禁止, 取缔"
forgive,"vt. 原谅, 宽恕, 免除
"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
growth,"n. 生长, 栽培, 增长
"
equality,"n. 平等, 均匀, 相等
"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
avoid,"vt. 避免, 防止, 撤消
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
relationship,"n. 关系, 关联
"
calculate,"v. 计算, 预测, 计划, 打算"
coincidence,"n. 巧合, 同时发生
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
anniversary,n. 周年纪念
abundant,"a. 丰富的, 充分的, 大量的"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
begin,"v. 开始
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
westerner,"n. 西方人, 西洋人"
motivation,"n. 动机, 刺激, 推动
"
extremely,"adv. 极端地, 非常地"
decrease,"n. 减少, 减少量
v. 减少"
countryside,"n. 乡下地方, 乡下居民"
chaos,"n. 大混乱, 混沌
"
instruct,"vt. 教, 教育, 命令, 通知
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
dinosaur,n. 恐龙
chips,n. 炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
conventional,"a. 传统的, 习惯的, 约定的
"
disappear,"vi. 消失, 不见"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
amazing,a. 令人惊异的
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
success,"n. 成功, 成就, 胜利"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
fortnight,n. 两星期
immigration,"n. 移民, 移居
"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
zebra,n. 斑马
symphony,"n. 交响乐, 交响曲"
fantasy,"n. 幻想, 想象的产物
"
religion,"n. 宗教, 信仰
"
require,"vt. 需要, 命令, 要求
"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
petrol,"n. 汽油
"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
fingernail,n. 手指甲
awful,"a. 可怕的, 庄严的, 虔敬的"
unsafe,"a. 不安全的, 不安稳的, 危险的
"
network,"n. 网络, 广播网, 网状物
"
selfish,"a. 自私的, 利己主义的, 自我中心的"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
married,"a. 已婚的, 婚姻的
"
washroom,n. 盥洗室
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
tobacco,"n. 烟草, 香烟
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
decoration,"n. 装饰, 装饰品"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
clone,"n. 无性系
"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
modem,"n. 调制解调器
"
symbol,"n. 符号, 象征, 代号, 信条
"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
hide-and-seek,藏猫猫
bureaucratic,"a. 官僚的
"
conference,"n. 会议
"
skateboard,n. 溜冰板
rebuild,"vt. 改建, 重建, 改造
vi. 重建"
adapt,"vt. 使适应, 改编
vi. 适应"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
consequence,"n. 结果, 重要性
"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
abolish,"vt. 废止, 革除, 消灭
"
frontier,"n. 边界, 边境
"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
nowhere,"adv. 无处, 到处都无"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
include,"vt. 包括, 把...算入, 包住
"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
pretend,"v. 假装, 伪称, 自命, 自称"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
fibre,"n. 纤维, 构造, 纤维制品
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
heroine,"n. 巾帼英雄, 烈妇, 女主角
"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
