finale,"n. 结局, 最后乐章, 终曲"
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
articulation,"n. 关节, 接合, 连贯, 发音, 表达
"
chiefly,adv. 主要地
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
treasury,"n. 国库, 宝库, 财政部, 国库券
"
trappings,"n. 马饰, 服饰, 礼服, 装饰品, 外部标志"
dagger,"n. 匕首
vt. 用剑刺"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
thicket,"n. 丛林, 草丛"
conceptualize,"vt. 使概念化
"
revolver,"n. 左轮手枪
"
sweatshirt,n. 园领长袖运动衫
determinant,"n. 决定物, 决定因素
a. 决定性的
"
sanity,"n. 神智健全, 头脑清楚, 通情达理
"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
construe,"vt. 解释, 分析, 对...逐字直译
vi. 作句法分析
n. 直译"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
suggested,a. 建议的；暗示的
burglar,"n. 窃贼
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
scoff,"n. 嘲笑, 愚弄, 笑柄, 食品
v. 嘲笑, 嘲弄, 贪吃, 狼吞虎咽地吃"
throng,"n. 群, 人群, 群集, 众多
a. 拥挤的
vi. 群集, 蜂拥
vt. 在...群集, 使拥塞"
prep,"n. (英)(非正式)准备功课, 预备学校, 预料
a. (美)(非正式)预备的, 准备的
vi. 进预备学校, 进行预备训练, 自修, 自我训练
vt. 预备, 给病人作手术前的准备, 准备"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
specificity,"n. 特异性, 专一性, 特殊性, 特性, 特征
"
booze,"vi. 豪饮
n. 酒, 酒宴"
perennial,"a. 常年的, 长期的, 反复的
"
campfire,"n. 营火, 营火会"
fervor,"n. 热情, 热心, 炽热"
Taiwanese,a. 台湾人的；台湾的
veggie,n. 素食者
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
abduction,"n. 诱拐, 绑架, 外展
"
overlapping,
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变"
subtlety,"n. 微妙, 精明"
clerical,"n. 牧师
a. 文书的, 事务上的, 抄写员的, 牧师的"
ooze,"n. 渗流, 分泌物
v. 渗出, 泄漏"
mommy,n. 妈咪
cavern,"n. 巨穴, 洞窟, 深处
vt. 放于山洞中, 挖空"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
hem,"n. 边缘, 折边, 哼声
vt. 缝边, 包围, 关闭
vi. 做折边, 发哼声
interj. 哼"
prowess,"n. 英勇, 勇敢, 超凡技术"
involuntary,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的
"
dugout,"n. 防空壕, 独木舟"
steaming,[化] 通入蒸汽
antisocial,"不爱社交的, 反社会的, 有害于公众利益的
"
astonished,a. 吃惊的
spearhead,"n. 矛尖, 先锋队, 先头部队
vt. 做先锋, 带头"
padded,a. 有装填垫料的；脚底有厚肉的
hamstring,"n. 后腿腱
vt. 切断腿腱使成跛腿, 使瘫痪"
Argentine,"n. 银, 银白色金属, 银白色鱼鳞, 阿根廷人
a. 银的, 银色的, 阿根廷的"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
multiculturalism,n. 多元文化
shortcut,"n. 捷径, 最短路线
"
quad,"n. 铅块, 监狱, 四方院子, 四胞胎, 四胞胎中的一个孩子, 成套的四件东西
"
man,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
"
simulated,"a. 模仿的
"
magistrate,"n. 长官, 法官, 推事
"
truce,"n. 停战, 休战
vi. 停战, 休止
vt. 以休战结束"
threatening,"a. 胁迫的, 危险的
"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
scowl,"n. 愁容, 阴沉脸色
vi. 皱眉, 绷着脸
vt. 怒视"
timer,"n. 计时员, 计时器
"
beak,"n. 鸟嘴, 喙
"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
mistakenly,"adv. 错误地, 被误解地"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
"
verification,"n. 证实, 查证, 证明属实
"
shallot,n. 葱
wake-up,"na. 同“wake”；叫醒；醒来；振作起来
"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
sweetie,"n. 情人, 爱人, 甜食"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
locality,"n. 地方, 所在, 位置
"
diffusion,"n. 散播, 传播, 蔓延
"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
chatter,"n. 饶舌, 啁啾, 喋喋不休
vi. 喋喋不休地谈, (鸟)啭鸣"
misty,"a. 有雾的, 模糊的, 笼罩着雾的"
collage,n. 拼贴画
underside,"n. 下面, 下侧, 底面"
splendor,"n. 光辉, 壮丽, 显赫"
falling,"a. 落下的, 坠落的, 下降的
"
relational,"a. 有关系的, 有联系的, 亲属的, 有亲属关系的
"
perjury,"n. 伪誓, 伪证, 背信弃义
"
hanger,"n. 挂钩, 吊架, 衣架, 挂衣钩
"
shingle,"n. 墙面板, 小招牌"
knowingly,"adv. 会意地, 心照不宣地, 故意地, 有意地, 老练地
"
canister,"n. 罐, 筒, 霰弹
"
reassuring,"a. 安心的, 可靠的, 鼓励的"
strikingly,"adv. 显著地, 惊人地, 引人注目地"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
pedagogical,"a. 教师的, 教学法的, 适宜于教师的"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
bumper,"n. 缓冲器, 满杯
a. 大胜利的"
refute,"vt. 反驳, 驳斥；驳倒"
spontaneously,"adv. 自发, 一时冲动, 出自自然, 不依赖人工, 自然产生, 本能, 自动, 自然而优雅"
crank,"a. 不稳的, 脾气暴燥的, 易怒的
n. 曲柄, 奇想
vt. 装曲柄
vi. 转动曲柄"
pee,"n. (英)便士, 小便
vi. 小便"
sympathize,"vi. 同情, 怜悯, 同意, 体谅"
iris,"n. 虹膜, 鸢尾属植物, 虹, 虹彩
"
showroom,"n. 陈列室
"
stillness,"n. 静止, 沉静"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
neglected,"a. 被忽视的, 未被好好照管的
"
onslaught,"n. 突击, 猛击, 猛攻"
garner,"n. 谷仓, 积蓄
vt. 储存, 贮藏"
schoolchild,n. 学童
militarily,adv. 在军事上
blah,n. 废话
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
eminent,"a. 显赫的, 杰出的, 有名的"
richly,"adv. 富裕地, 丰富地, 充分地"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
realistically,"adv. 写实地, 逼真地, 现实地"
decorated,"a. 装饰的, 修饰的"
backseat,"n. 后座, 次要位置"
pastime,"n. 消遣, 娱乐, 游戏"
third-party,n. 第三方
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
sinner,"n. 罪人, 不知礼仪的人, 无赖
"
ferry,"n. 渡船, 渡口
"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
vaccination,"n. 接种疫苗, 种痘
"
pebble,"n. 小圆石, 小鹅卵石, 水晶透镜, 碎石花纹
"
housekeeper,"n. 主妇, 女管家"
blister,"n. 水疱
"
institutionalize,"vt. 使制度化, 使成为惯常的行为, 使一成不变, 把...送进疯人院"
hindsight,"n. 枪的表尺, 事后聪明"
sputter,"n. 喷溅声, 劈啪声, 语无伦次
vi. 唾沫飞溅, 结结巴巴地讲, 发劈啪声
vt. 喷出, 飞溅出, 气急败坏地说"
budge,"vi. 微微移动
vt. 推动
n. 羔羊皮"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
jut,"n. 尖端, 突出部分
v. (使)突出, 伸出"
incorrectly,adv. 错误地；不适当地
usable,"a. 可用的, 方便使用的, 能用的"
imposition,"n. 征收, 课税, 强加, 欺骗
"
methane,"n. 甲烷, 沼气
"
biotech,n. 生物技术
whereabouts,"n. 下落, 所在之处
adv. 在何处"
bedding,"n. 被褥, 寝具, 床上用品, 基床
"
raging,"a. 愤怒的, 狂暴的, 猛烈的, 使极痛的"
peacekeeper,n. (交战国间的)停火执行者(或小组)
imperialism,"n. 帝国主义, 帝制
"
rebellious,"a. 造反的, 反抗的
"
throttle,"n. 节流阀, 节气阀, 喉咙
vt. 扼喉咙, 使窒息, 压制, 使节流
vi. 窒息, 节流, 减速"
shrinking,[医] 皱缩
illumination,"n. 照明, 阐明, 启发
"
sliver,"n. 裂片, 薄片, 梳毛
vt. 切成长片
vi. 剖开, 分裂"
discreet,"a. 小心的, 慎重的"
uniformly,"adv. 一样, 一致, 相同, 一直不变, 一贯, 始终如一, 均质, 一律, 均匀
"
newsroom,"n. 新闻编辑部, 报刊阅览室, 售报处"
allusion,"n. 提及, 暗指"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
garnish,"n. 装饰, 装饰品
vt. 装饰"
divergent,"a. 有分歧的
"
swivel,"n. 转环, 旋转轴承, 转椅座架
v. (使)旋转"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
certain,"a. 确定的, 某一个的, 必然的
"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
binary,"a. 由两部分组成的, 二进位的, 二元的
"
dated,"a. 有日期的, 陈旧的"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
Dane,n. 丹麦人
antioxidant,"n. 抗氧化剂, 防老化剂
"
thorn,"n. 刺, 棘, 荆棘"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
blackout,"n. 灯火管制, 暂时的意识丧失, 灯火熄灭, 删除
"
cop,"n. 警官
vt. 抓住"
inward,"a. 内心的, 向内的, 本来的
"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
topping,"a. 极好的, 主要的, 一流的
n. 除顶部, 修剪树稍, 剪落之小树枝"
pricey,"a. 昂贵的, 价格高的"
ignition,"n. 点火, 点燃
"
grandma,"n. 奶奶, 外婆"
Arabian,"a. 阿拉伯的, 阿拉伯人的"
murderous,"a. 凶狠的, 杀人的, 致命的
"
heady,"a. 顽固的, 任性的, 性急的, 猛烈的"
restored,a. 精力充沛的；精力恢复的
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
bookshelf,n. 书架
fad,"n. 时尚
"
espionage,"n. 间谍活动
"
prenatal,"a. 出生以前的, 孕期的
"
censored,"a. 受审查的, 被删剪的
v. 删剪（书籍、电影等中被认为犯忌、违反道德或政治上危险的内容）( censor的过去式和过去分词 )"
condone,"vt. 赦, 宽恕
"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
bulldozer,"n. 推土机
"
mentor,"n. 指导者, 良师益友"
contemplation,"n. 注视, 沉思, 盘算
"
graphite,"n. 石墨
"
hitch,"n. 猛拉, 急推, 蹒跚, 故障
vt. 猛拉, 系住
vi. 蹒跚, 被钩住"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
gulp,"vt. 吞, 大口大口地吸气, 吸收, 抑制
vi. 吞咽
n. 吞咽
"
subdued,"a. 屈服的, 被抑制的, 减弱的, 柔和的"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
community-based,[网络] 社区化；以社区为基础；基于社区
ethos,n. 气质；民族精神；社会思潮
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
homecoming,"n. 归国, 省亲回家, 同学会"
gaping,a. 多洞穴的
rationality,"n. 合理性, 纯理性"
bloated,"a. 发胀的, 浮肿的, 傲慢的"
woodland,"n. 林区, 林地"
homogeneous,"a. 同种的, 同质的, 齐性的
"
headset,"n. (一副)耳机
"
profitability,"n. 收益性, 利益率
"
dementia,"n. 痴呆
"
sociological,"a. 社会的, 社会学的"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
speaking,"n. 谈话, 演说
a. 讲话的, 适于说的, 讲某种语言的"
pertaining,a. 附属的；与…有关的
iced,a. 冰冷的；装冰的；冰冻的
bogus,"a. 假的, 伪造的
"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
titanium,"n. 钛
"
seismic,a. 地震的
spree,"n. 戏耍, 喧闹, 宴会, 狂饮
vi. 狂欢, 狂饮"
masculinity,"n. 男子气, 刚毅, 大丈夫气概
"
flair,"n. 鉴别力, 才能, 天资, 资质, 眼光"
delve,"v. 探究, 查考
n. 坑, 穴"
handcuff,"vt. 给...戴上手铐
n. 手铐"
inland,"a. 内陆的, 国内的
n. 内地"
troll,"vi. 滚动, 参加轮唱, 曳绳钓鱼
vt. 使转动, 轮唱, 高唱, 用曳绳钓(鱼)
n. 转动, 轮唱, 钓绳"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
unpublished,a. 未公开出版的；未发表过的
giddy,"a. 眼花的, 头晕的
v. (使)眼花, (使)眩晕"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
cashier,"n. 出纳员
"
afloat,"a. 飘浮着的, 在海上的, 浸满水的, 在进行中的
adv. 飘浮着, 在海上, 浸满水, 在进行中"
galley,"n. 战舰, 军舰"
purée,无
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
fella,"n. 小伙子；[俚]伙伴, 伙计"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
itinerary,"n. 旅程, 旅行指南, 游记
a. 巡回的, 旅程的"
overrun,"n. 蔓延, 风行一时, 超过限度
vt. 蔓延, 蹂躏, 超过, 泛滥
vi. 泛滥, 超载限度
"
jig,"n. 吉格快步舞, 快步舞曲, 带锤子的钓钩, 夹具
v. 乱跳, 加工用钩钓鱼, 选筛
"
hepatitis,"n. 肝炎
"
ecologist,n. 生态学者
swirl,"n. 漩涡, 涡动
vt. 使成漩涡
vi. 打漩, 盘绕, 眩晕"
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
insistent,"a. 坚持的, 迫切的"
disturbed,a. 混乱的
economical,"a. 节俭的, 经济的, 合算的
"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
imaginable,"a. 可想像的, 可能的"
covenant,"n. 契约, 盟约
v. 立契约, 缔结盟约"
gush,"n. 涌出, 滔滔不绝地讲话
v. 涌出, 迸出, 滔滔不绝的讲话"
wildflower,n. 野花
flipping,adj .讨厌之极的
infinity,"n. 无限大, 无限
"
full-scale,
dichotomy,"n. 两分, 分裂, 二分法
"
nibble,"n. 少量食物, 细咬, 轻咬, 啃
v. 一点一点地咬, 细咬, 吹毛求疵
"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
boycott,"n. 联合抵制
vt. 联合抵制"
high-rise,高层建筑
astonishment,"n. 惊异, 惊愕, 使人惊异的事物"
convent,"n. 女修道会
"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
ghostly,"a. 幽灵的, 影子似的, 精神的"
stylist,"n. 文体学家, 时装设计师"
corpus,"n. (事物的)主体, 文集, 本金, 语料库
"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
mini,"n. 同类中的极小者, 微型汽车, 超短裙
a. 微型的"
expulsion,"n. 逐出, 开除, 驱逐, 排气
"
undocumented,"a. 无正式文件的, 无事实证明的"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
tinker,"n. 补锅匠, 会做各种修补活计的人
vi. 做焊锅匠, 笨拙的修补
vt. 修补"
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
contextual,"a. 上下文的, 前后关系的"
quartet,"n. 四重奏
"
barricade,"n. 路障, 障碍
vt. 设路障于, 阻碍"
build,"v. 建立, 建筑
n. 构造, 体格"
taint,"n. 污点, 耻辱, 感染
vt. 污染, 使腐败, 沾染, 腐蚀"
truthful,"a. 说真话的, 诚实的, 真实的, 如实的
"
homelessness,n. 无家可归
concerted,"a. 商定的, 协定的, 一致的
"
trample,"n. 践踏(声), 蹂躏
v. 践踏, 无视"
dummy,"n. 傀儡, 假人, 仿制品
a. 虚设的, 假的, 名义上的"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
subversive,"a. 从事颠覆的, 破坏性的
n. 破坏分子, 颠覆分子"
bog,"n. 沼泽
vt. 使陷于泥沼
vi. 陷于泥沼"
rut,"n. 辙迹, 凹槽, 常规, 惯例, 发情期
vi. 交尾, 发情
vt. 挖槽于"
riding,"n. 骑, 乘车, 乘, 骑术, 骑马"
madden,"vt. 使发狂, 激怒
vi. 发狂, 发怒"
timid,"a. 胆小的, 羞怯的"
landslide,"n. 山崩
"
fieldwork,"n. 野战工事, 野外工作
"
deduct,"vt. 扣除, 减去
"
rummage,"v. 仔细翻寻, 仔细搜查, 检查出
n. 仔细翻找, 查出的物件"
academia,"n. 学术界, 学术生涯"
tandem,"adv. 一前一后地, 纵排地
a. 纵排的, 串联的
n. 纵列两匹马拉的马车, 前后纵列的两匹马, 串座双人自行车"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
urgently,adv. 急切地；迫切地；紧急地
penalize,"vt. 处刑, 对...处罚(刑), 使不利
"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
improperly,[计] 不适当地
destabilize,vt. 使动摇
edgy,"a. 刀口锐利的, 尖利的, 急躁的"
wrongly,"adv. 错误地, 不恰当地, 不正确地, 不正直地, 不公正地"
semantic,"a. 语义的
"
wrestler,n. 摔跤选手
away,adv. 离去
upstream,"adv. 向上游, 逆流地
a. 向上游的, 逆流而上的"
entourage,"n. 全体随行人员, 陪同人员"
borrowing,"[经] 借款, 贷款"
cross-cultural,跨文化的
two-day,[网络] 两天的
re-examine,"v. 再考试；再审查
"
accompaniment,"n. 伴随物, 附加物, 伴奏"
ax,"n. 斧头
vt. 用斧削或砍, 削减"
obligate,"vt. 使负义务, 强使, 使感激, 施恩惠于
a. 有责任的, 必须的"
ambush,"n. 埋伏, 伏兵, 伏击
vt. 埋伏, 伏击
vi. 埋伏"
creepy,"a. 爬行的, 令人毛骨悚然的"
Croatian,"a. 克罗地亚的, 克罗地亚语的, 克罗地亚人的
n. 克罗地亚人, 克罗地亚语"
Anglo,n. 英国人
incorporation,"n. 包含, 结合, 编入, 团体组织
"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
neutrino,"n. 中微子
"
birdie,n. 小鸟
six-month,[网络] 六个月
clarification,"n. 澄清, 净化
"
deference,"n. 顺从, 尊重"
felon,"n. 重罪犯, 恶棍, 瘭疽
"
pro-life,反对节育的
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
recourse,"n. 求援, 求助, 追索权
"
sunscreen,n. (防晒油中的)遮光剂
janitor,"n. 守卫, 门警, 管理人
"
purport,"n. 意义, 要旨, 目的
vt. 意味着, 声称, 打算"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
medically,"adv. 医学, 医疗, 医术, 内科, 医药"
kernel,"n. 核心, 中心, 精髓, 内核
"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
corroborate,"vt. 巩固, 确证
"
deserving,"a. 该受的, 有功的, 值得...的
n. 功过, 赏罚"
incite,"vt. 刺激, 激励, 引诱
"
hamlet,"n. 小村, 部落"
impatience,"n. 性急, 难耐, 焦急, 急躁"
remodel,"vt. 改造, 改型, 改变"
artificially,"adv. 人工地, 人为地, 不自然地"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
ex-husband,n. 前夫
anarchy,"n. 无政府状态, 政治混乱
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
roadblock,"n. 障碍, 障碍物"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
quicker,a. 快些（quick的形容词比较级）
discriminatory,"a. 有辨识力的, 有差别的"
coerce,"vt. 强制, 强迫"
eyepiece,"n. (接)目镜
"
axe,"n. 斧, 斧头
vt. 削减(人员、经费、计划、机构等)"
primate,"n. 大主教, 灵长目动物
"
cumin,"n. 莳萝, 土茴香子
"
assertive,"a. 武断的, 过分自信的
"
immortal,"n. 不朽人物, 神仙
a. 永远的, 不死的, 长久的"
yolk,"n. 蛋黄, 卵黄
"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
parchment,"n. 羊皮纸, 毕业文凭, 学位证书"
noticeably,"adv. 显而易见, 值得注意, 重要, 显著"
oats,"n. 燕麦, 燕麦属植物, 燕麦粥, 麦片粥"
terrorize,"vt. 使惊恐, 恐吓
vi. 实施恐怖统治"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
oily,"a. 油的, 油滑的, 油嘴的
"
maternity,"n. 母性, 怀孕, 妇产科医院
a. 产妇的"
flagship,n. 旗舰
wreak,"vt. 发泄(怒火), 报仇
"
ASCII,"美国信息交换标准码
"
recurrent,"a. 再发生的, 定期重复的, 循环的
"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
acutely,"adv. 尖锐地, 剧烈地"
seventy-five,"num. 七十五
n. 七十五, 七十五毫米口径大炮"
unsuccessfully,adv. 无用；失败地
tabloid,"n. 小报, 小型画报, 药片, 文摘
a. 轰动性的, 扼要的, 缩略的, 小报式的"
palate,"n. 腭, 味觉, 趣味, 爱好
"
connotation,"n. 含蓄, 内涵"
campsite,n. 营地
depressive,"a. 压抑的, 压下的, 沉闷的
"
rented,a. 租用的
whack,"vt. 猛击, 重打, 削减
vi. 重击
n. 重击, 重打"
washer,"n. 洗衣人, 垫圈, 洗衣机
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
seminal,"a. 精液的, 种子的, 生殖的
"
bidder,"n. 出价人, 投标人
"
after-school,放学后
skeletal,"a. 骨骼的, 框架的
"
menacing,"a. 恐吓的, 威胁的
"
debilitating,v. 使（人或人的身体）非常虚弱( debilitate的现在分词 )
rainforest,[生态]雨林
relieved,"a. 宽慰的, 解除的, 减轻的"
geopolitical,[计] 地理的
customize,"vt. 定制, 按规格改制, 定做
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
caveat,"n. 中止诉讼程序的申请, 警告
"
arithmetic,"n. 算术, 算术知识
"
spore,"n. 孢子
vi. 长孢子"
patterned,a. 被组成图案的
targeted, [医]定向的
folklore,"n. 民俗学, 民间风俗, 民间传说"
bustling,"a. 熙熙攘攘的, 忙乱的"
publicist,"n. 国际法学家, 政治评论家, 政治作家, 广告员
"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
subvert,"vt. 推翻, 颠覆, 毁灭
"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
gruesome,"a. 可怕的, 令人毛骨悚然的, 阴森的"
trickle,"n. 滴, 细流
vi. 滴, 细细地流
vt. 使滴, 使小量流动
"
redirect,"vt. 重新寄送, 使改道, 使改方向
"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
measurable,"a. 可测量的, 不久的, 重要的"
quarterly,"a. 季度的, 按季度的, 每季的
adv. 按季, 每三个月, 每季一次
n. 季刊"
aw,"int. 哦！噢！（表示抗议, 厌恶, 讨厌等）"
hospitalization,"n. 医院收容, 住院治疗
"
wad,"n. 小软团, 小软块, 一卷, 填料, 大量
vt. 揉成一团, 填塞"
liter,"n. 公升
"
ravine,"n. 峡谷, 冲沟, 溪谷"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
tributary,"a. 支流的, 纳贡的, 从属的, 辅助的
n. 支流, 纳贡者, 属国"
stately,"a. 庄严的, 宏伟的"
audition,"n. 听, 听力, 试听
"
penchant,"n. 爱好, 嗜好"
quicken,"vt. 加快, 激发, 使有生气, 鼓舞, 使复活
vi. 加快, 变活跃, 进入胎动期"
repressive,"a. 压抑的, 抑制的, 镇压的"
abnormality,"n. 反常, 畸形, 变态
"
