background,"n. 背景, 背景资料
"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
in honor,"na. 道义上
"
in honor of,"为向…表示敬意,为庆祝…为纪念…"
Labor Day,劳动节
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
look forward,"vt.& vi. （高兴地）盼望, 期待; [体]向前平看"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
Mother's Day,"na. (美国和加拿大的)母亲节
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
New Year's Day,元旦
New Year's Eve,"na. 除夕
"
occur,"vi. 发生, 被想到, 存在"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
reception,"n. 接待, 接受, 招待会
"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
samba,"n. 桑巴舞
vi. 跳桑巴舞"
shrine,"n. 圣地, 神龛, 庙
vt. 将...置于神龛内"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
streamer,"n. 横幅, 饰带, 流光, 通栏标题"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
Thanksgiving,n. 感谢
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
Valentine's Day,n. 情人节（每年2月14日）
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
audio,"a. 音频的, 声音的
"
automobile,"n. 汽车
"
bored,a. 无聊的；烦人的；无趣的
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
cinema,"n. 电影院, 电影"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
common cold,[医] 感冒
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
communication,"n. 交流, 交通, 通讯
"
consequence,"n. 结果, 重要性
"
consider,"v. 考虑, 思考, 认为"
construction site, 工地
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
disadvantage,"n. 缺点, 不利, 坏处"
donate,v. 捐赠
environment,"n. 环境, 外界, 围绕
"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
first class,第一堂课
flying,"a. 飞的, 飘扬的, 飞速的
n. 飞行, 飞花"
high-paying,[网络] 高工资的；高薪职位
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
instead,"adv. 作为替代, 反而"
jet airplane,= jet plane
leader,"n. 领导者, 社论, 指挥, 领袖, 领唱者, 前导字符
"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
may,"n. 五月
aux. 愿能, 可以, 愿意"
might,"n. 力量, 权力
aux. 可能, 也许"
multiplex,"a. 多样的, 许多的, 多路传输的
v. 多路传输"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
ocean liner,"远洋班轮
"
postal system,邮政系统
railroad,"n. 铁路, 铁路公司
vt. 铺设铁路, 用铁路运输
vi. 在铁路工作"
reality game,无
soon,"adv. 不久, 早, 快, 宁可"
space flight,"太空飞行,宇航"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
tax,"n. 税, 税款, 重负, 会费
vt. 课以税, 使负重荷, 斥责"
tear down,"na. 拆毁；扯下；猛冲
"
3-D,abbr. 三维的（three dimensional）
unexpected,"a. 料想不到的, 突然的, 意外的
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
accountant,"n. 会计人员, 会计师
"
activity,"n. 活动, 行动, 活跃, 活力
"
architect,"n. 建筑师, 设计者, 缔造者"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
artist,"n. 艺术家, 画家"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
attitude,"n. 态度, 看法, 姿势
"
bad-tempered,"adj. 暴躁的
"
bilingual,a. 双语的
bookkeeper,"n. 簿记员
"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
break into,"破门而入, 侵占
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
co-worker,"n. 共同工作者
"
creative,"a. 有创造力的, 创作的, 产生的"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
cruise ship, 大型游轮
decision,"n. 决定, 决心, 决断
"
diaper,"n. 尿布
"
director,"n. 主管, 导演, 董事
"
entertainment director,无
disorganized,a. 无组织的；紊乱的
do sth. for a living,[网络] 为了生计而做；做…谋生；尽你一切努力
door-to-door, 门到门
employer,"n. 雇主, 老板
"
excursion,"n. 远足, 游览圆, 短程旅行
"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
forgetful,"a. 健忘的, 易忘的"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
hardworking,"a. 苦干的, 不辞辛劳的"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
impatient,"a. 不耐烦的, 着急的, 急切的"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
level-headed,adj. 头脑冷静的；清醒的
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
make a decision,作决定
make a mistake,犯错误
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
marine biologist,"n. 海洋生物学家
"
marketing,"n. 行销, 买卖
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
moody,"a. 心情不稳的, 郁郁寡欢的, 喜怒无常的"
novelist,n. 小说家
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
personnel,"n. 人员, 人事部门, 人事科(处)
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
product,"n. 产品, 结果, 乘积
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
recent,"a. 最近的, 近代的, 最新的
"
reliable,"a. 可靠的, 可信赖的
"
reporter,"n. 记者, 报告者
"
requirement,"n. 需求, 必要条件, 要求
"
résumé,无
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
songwriter,n. 流行歌曲的作者
stock market,"股票市场
"
stockbroker,n. 股票经纪人
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
to and fro,来回
toward,"prep. 向, 对于, 为了
a. 即将来临的, 进行中的"
unfriendly,adv. 不友善地
agricultural,"a. 农业的
"
battle,"n. 战役
v. 战斗"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
cattle,"n. 牛, 家畜
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
cultivate,"vt. 培养, 耕作"
currency,"n. 货币, 通货, 流通, 通用
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
electronics industry,电子工业；电子业
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
hair salon,美发廊
high-definition,[电] 高精度
landmark,"n. 陆标, 划时代的事, 地界标
"
lobster,n. 龙虾
lowland,"n. 低地, 苏格兰低地
a. 低地的"
make up,"na. 弥补；起草；定；签订
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
microchip,"n. 微型集成电路片, 微片, 芯片
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
officially,"adv. 作为公务员, 职务上, 官方地"
opera,n. 歌剧
oyster,"n. 牡蛎, 蚝, 沉默者"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
playwright,n. 剧作家
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
radium,"n. 镭
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
sheep,"n. 羊, 胆小者"
snow-capped,a. 积雪盖顶的
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
textile industry,纺织工业
travel agent,"旅行代理人
"
variety,"n. 多样, 种类, 变种, 杂耍
"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
accomplishment,"n. 成就, 完成"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
author,"n. 作家, 作家的著作, 创始人
"
be on one's way, 在旅途中
be out,"不在,公开"
be out of,"没有,脱离危险"
billionaire,n. 亿万富翁
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
coincidentally,adv. 巧合地；一致地
ending,"n. 终止, 终了, 收场
"
face down,"压倒, 降服"
face up,[化] 面朝上
fortunately,"adv. 幸运地, 幸亏"
generally,"adv. 通常, 逐渐地, 普遍地"
get a chance,无
have a chance, 有机会；有希望
kayak,n. 爱斯基摩人划子
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
luckily,"adv. 幸运地, 幸亏, 侥幸"
mining company,[网络] 矿业公司；采矿公司；寻宝公司
miraculously,"adv. 超自然, 非凡, 不可思议, 令人惊叹, 象奇迹一样, 奇迹般, 能创造奇迹"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
modeling,"n. 模特儿职业, 立体感
"
modeling career,无
mud,"n. 泥, 诽谤
vt. 弄脏"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
role,"n. 角色, 职责, 任务
"
sadly,"adv. 悲痛地, 悲惨地, 悲伤地, 说来遗憾"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
snowboard,n. 滑雪板
software,"n. 软件
"
strangely,"adv. 奇妙地, 奇怪地, 不可思议地"
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
surprisingly,"adv. 使人惊奇, 出人意外, 惊人, 令人惊讶"
tiny,"a. 很少的, 微小的"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
unexpectedly,"adv. 想不到的, 突然的, 意外的, 出乎意料的"
unfortunately,"adv. 恐怕, 不幸的是"
unlucky,"a. 不吉利的, 不祥的, 不幸的"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
acting,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
amaze,vt. 使吃惊
amuse,"vt. 消遣, 娱乐, 使发笑"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
annoy,"vt. 使恼怒, 骚扰"
be based on,"以…为基础,以…为根据"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
bizarre,a. 奇异的
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
by mistake,由于差错
category,"n. 种类, 类项
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
comedy,"n. 喜剧, 有趣的事情"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
critic,"n. 批评家, 鉴定家"
director,"n. 主管, 导演, 董事
"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
disgusting,a. 令人厌恶的
documentary,"n. 记录片
a. 文件的"
drama,"n. 戏剧, 戏剧艺术"
dreadful,a. 可怕的
dumb,"a. 哑的, 不说话的, 无声音的
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
excite,"vt. 刺激, 使兴奋, 激励"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
fantasy,"n. 幻想, 想象的产物
"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
get left,"被遗弃, 被击败"
get left behind,无
hilarious,"a. 喜不自禁的, 欢闹的, 引人发笑的"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
horror,"n. 惊骇, 恐怖, 惨状
"
iceberg,"n. 冰山, 冷冰冰的人"
in a row,"成一长行, 连续, 一连串"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
mania,"n. 狂躁, 热衷, 狂热
"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
mayor,"n. 市长
"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
mystery,"n. 秘密, 神秘, 奥秘"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
photography,"n. 摄影, 摄影术
"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
remind,"vt. 提醒, 使想起"
ridiculous,"a. 荒谬的, 可笑的"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
science fiction," 科幻, 科学幻想小说; 科幻小说"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
silly,"a. 愚蠢的, 糊涂的"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
society,n. 社会；社交界；交往；社团
special effect,n. 特殊效果
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
stupid,"a. 愚蠢的, 麻木的"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
take place,"na. 发生；举行
"
talented,"a. 天资高的, 有才能的"
thriller,"n. 使人激动的东西, 使人毛骨悚然的东西, 使人毛骨悚然的小说"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
village,"n. 村庄
a. 乡村的, 村庄的"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
annoyed,a. 恼怒的；烦闷的
bike rack,[网络] 自行车架；脚踏车停放架；自行车支架图片
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
confused,"a. 困惑的, 混乱的"
could,"aux. 可以, 能"
disgusted,a. 厌恶的；厌烦的
embarrassed,a. 尴尬的；窘迫的
exist,"vi. 存在, 生存, 发生"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
from,"prep. 从, 来自, 根据"
from side to side,左右摇晃
frustrated,"a. 失意的, 挫败的；泄气的"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
go away,走开
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
hard hat, 安全帽
have to," 不得不, 只好; 只得; 必须; 不得已"
have got to,"必须, 不得不"
irritated,"a. 被激怒的, 生了气的, 变粗的, 因刺激而发炎的, 发红的"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
lane,"n. 小路, 巷, 弄, 单行道"
leash,"n. (拴狗颈的)皮带
vt. 以皮带束缚, 束缚"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
nervous,"a. 神经紧张的, 不安的, 神经的
"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
parking ticket,[法] 违反停车规则的传票
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
perhaps,"adv. 也许, 大概"
permission,"n. 许可, 允许
"
possibly,"adv. 可能, 也许"
prohibition,"n. 禁令, 禁止"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
regulation,"n. 规则, 管理, 调整
"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
seat belt,安全带
situation,"n. 情形, 境遇, 位置
"
speed limit,[电] 速度限制
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
turn out,"v. 证明；原来；到场
"
twirl,"vt. (使)快速转动, 捻弄
n. 转动, 万能钥匙, 旋转的东西"
warning,"n. 警告, 预告, 预兆, 通知
"
wastepaper basket,"un. 字纸篓
"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
advice column,"n. （报刊上的）答读者问专栏, 答疑解惑专栏"
afford,"vt. 买得起, 足以, 给予"
ashamed,"a. 惭愧的, 羞耻的"
break down,"v. 分解；抛锚；分析；划分
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
businessman,"n. 商人, 实业家, 工商业家"
campsite,n. 营地
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
confess,"v. 承认, 坦白, 忏悔, 供认"
counselor,"n. 顾问, 参事, 法律顾问"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
deny,"v. 否认, 拒绝"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
divorce,"n. 离婚
vt. 与...离婚"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
flat tire,"车胎爆了,车胎跑气"
garage sale,宅前旧货出售
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
honesty,"n. 诚实, 公正, 正直"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
immediately,"adv. 直接地, 立刻, 立即"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
owner,"n. 拥有者, 物主, 所有人
"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
predicament,"n. 处境, 穷境, 困局"
radio talk show,广播谈话节目
repair shop,[化] 修配车间
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
shoplift,vi.vt. 入店偷窃商品
shopping problem,无
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
spank,"vt. 打, 拍击, 飞跑
vi. 飞跑
n. 拍打, 一巴掌"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
apology,"n. 道歉, 辩护
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
criticism,"n. 批评, 评论, 非难
"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
fly in,"用飞机运来,乘飞机到达"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
have the flu, 得了流感，患流感
