anyone,pron. 任何人
opening,"n. 开始, 口子, 穴, 揭幕
a. 开始的"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
headmaster,"n. (中小学)校长, 监工"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
guest,"n. 客人, 来宾, 旅客
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
daytime,"n. 白天, 日间"
Ted,vt. 翻晒
Vince,"n. 文斯（男子名, Vincent的昵称）"
Steen,a. [俚]许许多多的（等于umpteen）
Jake,"a. 满意的, 上等的
n. 乡下佬, 家伙"
Susan,n. 苏珊（女子名）
meeting,"n. 会议, 会面
"
video,"n. 影像, 电视
a. 图像的, 电视的"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
potato chips,n. 马铃薯片; 炸土豆片( potato chip的名词复数 )
chocolate,"n. 巧克力
a. 巧克力制的"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
taxi,"n. 出租车
vi. 乘出租车
vt. 用出租车送"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
keep ... to oneself,"un. 强调；紧贴；秘而不宣；独自承受
"
teenager,n. 十三岁到十九岁的少年
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
unless,"conj. 除非
prep. 除...之外"
certainly,adv. 确定地
wallet,"n. 皮夹
"
mile,"n. 英里, 很大距离
"
angry,"a. 生气的, 愤怒的"
understanding,"n. 理解, 谅解
"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
himself,"pron. 他自己, 他亲自"
careful,"a. 小心的, 谨慎的"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
in half,"分成两半,平分"
halfway,"a. 中途的, 不彻底的, 部分的
adv. 半路地, 在中途, 在半途"
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
Karen,n. 凯伦（人名）；克伦邦（缅甸邦名）
Ben,"n. 内室
"
Michael,[网络] 迈克尔
Laura,n. 劳拉（女子名）
Mills,n. 米尔斯（人名）
Robert,[法] 警察
Hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
