economy,"n. 经济, 理财, 节约
"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
pollster,"n. 民意调查人, 民意测验经办人"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
take a toll, 产生负面影响；造成损失
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
measurement,"n. 尺寸, 度量, 度量单位
"
measurable,"a. 可测量的, 不久的, 重要的"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
treasury,"n. 国库, 宝库, 财政部, 国库券
"
treasurer,"n. 会计, 出纳员, 司库
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
leisurely,"a. 悠闲的, 从容的
adv. 从容地, 悠闲地"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
termination,"n. 终止, 结束, 结果, 词尾
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
argument,"n. 争论, 论证, 论据, 自变量
"
argumentation,"n. 争论, 辩论, 论证, 论据
"
argumentative,"a. 好辩的, 引起争论的, 论证式的
"
arguable,"a. 可辩论的, 可论证的
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
concerned,"a. 关心的, 有关的, 参与的, 担心的"
concerning,"prep. 关于
"
discern,"v. 辨别, 看清楚, 了解"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
during,prep. 在...的时候
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
durable,"a. 持久的, 耐用的"
durability,"[计] 耐久性, 耐用性, 持久性"
duration,"n. 持续时间, 持续
"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
mindset,n. 心态；倾向；习惯；精神状态
remind,"vt. 提醒, 使想起"
reminder,"n. 提醒的人, 暗示
"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
possibility,"n. 可能性, 可能的事
"
possibly,"adv. 可能, 也许"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
impossibility,"n. 不可能之事, 不可能
"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
probability,"n. 可能性, 或然率, 几率, 概率
"
probably,"adv. 大概, 或许"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
arise,"vi. 站立, 出现, 起来"
uprising,"n. 起义, 升起
"
sunrise,"n. 日出, 黎明, 拂晓"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
comprise,"vt. 包含, 构成"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
runner,"n. 跑步者, 赛跑者, 送信人, 走私船, 操作者, 滑槽
"
running,"n. 赛跑, 流出, 运转
a. 流动的, 跑着的, 连续的"
runway,"n. 跑道, 河床, 过道
"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
stunning,"a. 打昏迷的, 弄得人昏头昏脑的, 令人震惊的"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
greenhouse,n. 温室
spouse,n. 配偶
career,"n. 事业, 生涯, 成功
"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
cheerful,"a. 快活的, 高兴的, 兴高采烈的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
groundless,"a. 无根据的, 无理由的
"
grounding,"n. 基础教学, 基础训练
"
groundbreaking,"a. 开创性的, 突破性的"
background,"n. 背景, 背景资料
"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
surroundings,"n. 环境, 周围的事物
"
expect,"vt. 预期, 盼望, 期待"
expectation,"n. 期待, 指望, 展望
"
expectancy,"n. 期待, 期望的事物, 嘱望, 希望, 期望, 预期
"
unexpected,"a. 料想不到的, 突然的, 意外的
"
aspect,"n. 外观, 方面, 面貌, 方向
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
inspection,"n. 检验, 检查, 视察
"
inspector,"n. 检查员, 巡视员
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prospective,"a. 预期的, 将来的
"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
respectful,"a. 表示尊敬的, 有礼貌的, 谦恭的"
respective,"a. 分别的, 各自的"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
irrespective,"a. 不顾的, 无关的, 没关系的"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
retrospective,"a. 回顾的, 怀旧的, 在后面的
n. 回顾展"
introspect,"vt.vi. 进行反省
"
introspection,"n. 内省, 反省
"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
spectator,"n. 观众, 目击者, 旁观者"
spectrum,"n. 光谱, 范围, 系列
"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
layman,"n. 俗人, 门外汉, 凡人
"
lay-off,"na. 辞退；停止；暂停
"
layout,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
clay,"n. 泥土, 肉体, 黏土
"
promote,"vt. 促进, 晋升, 创办, 推销
"
promotion,"n. 晋级, 创建, 增进
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
emotion,"n. 情绪, 激动, 强烈的情感
"
emotional,"a. 情绪的, 情感的
"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
artist,"n. 艺术家, 画家"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
artistically,"adv. 富有艺术地, 在艺术上"
artifact,"n. 人工制品
"
artificial,"a. 人造的, 假的, 非原地产的
"
artery,"n. 动脉, 干道, 要道
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
include,"vt. 包括, 把...算入, 包住
"
inclusion,"n. 包含, 内含物
"
inclusive,"a. 包含的, 包括的"
including,"prep. 包含, 包括
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conclusion,"n. 结论, 结尾, 推论
"
conclusive,"a. 决定性的, 确定性的, 最后的
"
delude,"vt. 迷惑, 蛊惑"
delusion,"n. 迷惑, 欺瞒, 错觉
"
exclude,"vt. 除外, 排除, 排斥
"
exclusion,"n. 排除, 除外, 逐出
"
exclusive,"a. 排外的, 独占的, 唯一的
"
allude,"vi. 暗指, 提及"
allusion,"n. 提及, 暗指"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majority,"n. 多数, 大半
"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
majestic,"a. 宏伟的, 庄严的"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
expense,"n. 费用, 代价, 开支, 损失
"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
dispensable,"a. 不是必要的, 可有可无的"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
compensate,"v. 偿还, 补偿, 付报酬"
compensation,"n. 补偿, 赔偿金, 工资
"
compensatory,"a. 赔偿的, 补偿的, 代偿的
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
pensioner,"n. 领取抚恤金者, (英国剑桥大学的)自费生, 为金钱所收买的人, 帮佣
"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
priceless,"a. 无价的, 极贵重的"
iceberg,"n. 冰山, 冷冰冰的人"
nicety,"n. 美好, 准确, 精密, 拘泥细节, 纤细"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
degree,"n. 程度, 度数, 学位, 度
"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
agreement,"n. 同意, 合约, 协议
"
agreeable,"a. 令人愉快的, 同意的
"
disagree,"vi. 不一致, 不适宜
"
disagreement,"n. 不合, 争论, 不一致
"
decree,"n. 法令, 判决, 天意
vt. 颁布, 判决
vi. 发布命令"
discreet,"a. 小心的, 慎重的"
discrepancy,"n. 不符合, 差异, 不相符之处
"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
tipping point,n. 卸载点; 1。引爆点、临界点、时间窗、价格点、量变到质变的分界点
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
enrich,"vt. 使富足, 使肥沃"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
thorough,"a. 十分的, 彻底的"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
pin ... on,"un. 让某人对某事负责；将责任推到某人身上:
"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
dough,"n. 生面团
"
drought,"n. 干旱, 缺乏"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
positive,"a. 肯定的, 积极的, 有把握的
"
not least,"在一定程度上, 相当重要地"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composition,"n. 作文, 创作, 组成
"
composer,"n. 作曲家, 作家, 调停者"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
opposition,"n. 反对, 敌对, 相反, 在野党
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
imposition,"n. 征收, 课税, 强加, 欺骗
"
imposing,"a. 令人难忘的, 壮丽的, 威风的"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
proposal,"n. 提议, 计划, 求婚
"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
purposeful,"a. 有目的的
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
supposition,"n. 想像, 推测, 推想
"
supposed,"a. 想象上的, 假定的, 被信以为真的
"
supposedly,"adv. 想象上, 看上去像, 被认为是, 恐怕, 按照推测"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
disposition,"n. 性情, 处置, 处理, 布置
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exposure,"n. 暴露, 揭发, 揭露
"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
leverage,"n. 杠杆作用, 杠杆装置, 杠杆效率
"
elevate,"vt. 举起, 提拔, 鼓舞"
elevation,"n. 海拔, 提高, 仰角
"
elevator,"n. 电梯, 升降机
"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
aircraft,"n. 航空器, 飞机
"
airline,"n. 航线, 航线的设备, 航空公司"
airplane,"n. 飞机
"
airbag,[机] 空气囊
airtime,电影或电视节目开始的时间
airway,"n. 空中航线, 风道
"
aisle,"n. 走廊, 侧廊, 过道
"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aerobics,n. 有氧运动法；增氧健身法
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
populous,"a. 人口多的, 人口稠密的"
population,"n. 人口, 人口数
"
congratulate,"vt. 祝贺, 庆贺"
congratulation,"n. 祝贺, 恭喜"
congratulatory,"a. 庆祝的, 祝贺的"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
emulation,"n. 效法, 竞争
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
buy into,出钱入(某组织或企业)
regulation,"n. 规则, 管理, 调整
"
regulatory,"a. 受控制的, 统制的, 调整的
"
regulator,"n. 调整者, 校准者, 校准器, 调整器, 标准钟
"
deregulate,[法] 解除管制
deregulation,"n. 撤消(价格等的)管制规定, 解除控制"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
manipulation,"n. 操作, 处理
"
manipulative,"a. 处理的, 巧妙处理的, 操纵的"
insulate,"vt. 使绝缘, 隔离
"
insulation,"n. 绝缘；隔离, 孤立"
insulator,"n. 绝缘体, 从事绝缘工作的工人
"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
lighter,"n. 点火者, 点灯工人, 打火机, 驳船
vt. 以驳船搬运"
lighten,"vt. 照亮, 点亮, 减轻, 使轻松, 闪出
vi. 发亮, 打闪, 变轻"
lighting,"n. 照明, 照明设备, 舞台灯光"
lightly,"adv. 轻轻地, 少许, 不费力地"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
enlightenment,"n. 启迪, 教化"
enlightening,"a. 有启发作用的, 使人领悟的"
enlightened,"a. 有知识的, 进步的, 文明的"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
twilight,"n. 暮光, 曙光, 黎明, 黄昏, 微光, 朦胧状态
a. 微明的"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
sunlight,"n. 日光
"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
slightly,"adv. 些微地, 苗条地"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
delightful,"a. 令人愉快的, 可爱的"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
racial,"a. 人种的, 种族的
"
racism,"n. 种族主义, 种族偏见
"
racist,"n. 种族主义者
"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
graceful,a. 优美的
gracious,"a. 亲切的, 慈善的"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
currently,"adv. 现在, 当前, 一般, 普通
"
currency,"n. 货币, 通货, 流通, 通用
"
concurrent,"n. 同时发生的事件
a. 同时发生的, 一致的
"
occur,"vi. 发生, 被想到, 存在"
occurrence,"n. 发生, 事件, 出现
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
recurrence,"n. 再现, 再发生, 反复, 循环
"
recurring,
incur,"vt. 招致, 蒙受, 遭遇
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
notation,"n. 记号, 符号表示法, 注释
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
notebook,"n. 笔记本, 手册, 期票簿"
noteworthy,"a. 值得注目的, 显著的"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
take hold, （如通过抓握来）夺取; 扎根
streak,"n. 条理, 斑纹, 倾向
vt. 加条纹
vi. 变成条纹, 飞跑"
notional,"a. 概念的, 想像的
"
connotation,"n. 含蓄, 内涵"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
notify,"vt. 通知, 通告, 报告
"
opt out, [计]撤退
notification,"n. 通知, 通告, 告示
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
notoriety,"n. 恶名, 臭名, 声名狼藉"
denote,"vt. 指示, 表示"
denotation,"n. 指示, 表示, 符号"
donate,v. 捐赠
donation,"n. 捐赠物, 捐款, 捐赠
"
donor,"n. 捐赠人
"
evident,"a. 显然的, 明显的"
evidence,"n. 根据, 证据, 迹象
"
inevitable,"a. 不可避免的, 必然的
"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
envious,"a. 嫉妒的, 羡慕的"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
pant,"n. 喘息, 悸动
vi. 喘息, 渴望
vt. 气喘吁吁地说"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
hiding,"n. 隐匿, 隐藏之事, 隐匿之所, 痛打
"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
glider,"n. 滑翔员, 滑翔机"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
collide,"vi. 碰撞, 互撞, 抵触"
collision,"n. 碰撞, 冲突, 抵触
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
institutional,"a. 制度的, 公共机构的, 学会的
"
constitute,"vt. 构成, 组成, 任命
"
constitution,"n. 构成, 宪法, 体格
"
constitutional,"a. 宪法的, 立宪的, 体质的
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
constituency,"n. 选民, 顾客, 读者
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
substitution,"n. 代替, 替换, 代替物
"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
singular,"n. 单数
a. 异常的, 单一的"
singularity,"n. 奇异, 突出, 稀有
"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
treatment,"n. 治疗, 待遇, 处理
"
treaty,"n. 条约, 谈判
"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
repetitive,"a. 重复的, 反复性的"
repeatedly,"adv. 重复地, 再三地"
threat,"n. 恐吓, 恶兆, 威胁
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
tourism,"n. 观光业, 游览
"
tourist,"n. 观光客, 旅行者
a. 旅游的"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
flour,"n. 面粉, 粉沫, 碎粉
"
consider,"v. 考虑, 思考, 认为"
considerable,"a. 相当的, 可观的, 重要的"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
considering,"prep. 就...而论
conj. 考虑到"
consideration,"n. 考虑, 原因
"
preside,"vi. 统辖, 当主人, 主持
"
reside,"vi. 住, 居留, 属于
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
residential,"a. 住宅的, 与居住有关的
"
subsidy,"n. 补助金, 津贴
"
