excessive,"a. 过度的, 过多的, 极端的
"
emission,"n. 发射, 射出, 发行
"
receptionist,n. 接待员
debate,"n. 辩论, 讨论
v. 争论, 辩论"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
virtually,adv. 事实上
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
factual,"a. 事实的, 实际的
"
likable,a. 可爱的
contain,"vt. 包含, 容纳, 控制
vi. 自制"
efficiency,"n. 效率, 效能, 功效
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
coupon,"n. 息票, 赠券
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
irreplaceable,"a. 不能调换的, 不能代替的
"
arrogant,"a. 自大的, 傲慢的"
anecdote,"n. 轶事, 奇闻"
imaginative,"a. 想像的, 虚构的"
capacity,"n. 容量, 能力, 才能, 资格
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
inflation,"n. 胀大, 夸张, 通货膨胀
"
volcano,n. 火山
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
personalized,a. 个人化的；个性化的
funeral,"n. 葬礼, 出殡"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
voluntarily,"adv. 自愿地, 以自由意志"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
despair,"n. 绝望, 失望
vi. 绝望"
achievement,"n. 完成, 成就, 功业"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
perspiration,"n. 汗, 流汗, 努力
"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
intern,"n. 实习生, 被拘留者
vi. 作实习医师(教师、实习生)
vt. 拘留, 扣留"
distribute,"vt. 分配, 散布, 分发
"
correspondingly,"adv. 相应地, 相对地"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
creature,"n. 人, 动物, 创造物, 生物"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
apparently,"adv. 表面上, 清楚地, 显然地"
nominate,"vt. 提名, 任命, 命名
"
extent,"n. 范围, 程度, 区域
"
accurate,"a. 正确的, 精确的
"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
stressful,"a. 着重, 强调, 重读, 使受应力"
standpoint,"n. 立场, 观点"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
foreground,"n. 前景, 最显著的位置
"
comically,adv. 滑稽地；诙谐地
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
federal,"a. 联邦的, 联合的, 同盟的
"
senator,"n. 参议员, (某些大学的)理事
"
residential,"a. 住宅的, 与居住有关的
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
safari,"n. 旅行, 旅行队, 科学考察"
fiber,"n. 纤维, 构造, 纤维制品
"
artificial,"a. 人造的, 假的, 非原地产的
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
origin,"n. 起源, 起因, 出身, 开端
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
transaction,"n. 交易, 办理, 学报, 和解协议
"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
ironical,"a. 讽刺的, 用反语的"
competition,"n. 竞争, 竞赛
"
outsource,vt. 把…外包
comparable,"a. 可比较的, 比得上的"
crime,"n. 犯罪, 罪行, 罪恶
"
knit,"v. 编织, 结合"
facet,"n. (多面体的)面, 方面, 琢面
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
vaguely,"adv. 含糊地, 暧昧地"
demanding,"a. 要求高的, 费力的"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
aircraft,"n. 航空器, 飞机
"
cargo,"n. 货物
"
thriving,"a. 兴旺的, 旺盛的, 繁荣的"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
cautious,"a. 谨慎的, 小心的"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
lawn,"n. 草地, 草坪, 上等细麻布
"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
celebrity,"n. 名声, 名人"
cater,"v. 提供饮食及服务, 投合, 迎合"
decease,"n. 死亡
vi. 死亡"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
enable,"vt. 使能够
"
masterpiece,"n. 杰作, 名著"
nourishment,"n. 滋养品, 养料, 营养
"
leaflet,"n. 小叶, 传单
"
tobacco,"n. 烟草, 香烟
"
erase,"vt. 抹去, 擦掉
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
registration,"n. 登记, 挂号, 注册
"
educational,"a. 教育的, 教育性的"
reduction,"n. 减少, 缩影, 变化
"
deficiency,"n. 缺乏, 不足
"
association,"n. 协会
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
available,"a. 可利用的, 可获得的, 有效的
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
replace,"vt. 代替, 替换, 放回, 归还
"
cognitive,"a. 认知的, 认识的"
technological,"a. 技术的
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
innovation,"n. 改革, 创新
"
reflexive,"a. 反射的, 折回的, 折转的, 内省的, 反省的, 反身的
n. 反身代词, 反身动词"
capability,"n. 能力, 性能, 约束力
"
throne,"n. 王座, 君主"
eliminate,"vt. 除去, 排除, 剔除, 消除"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
marked,"a. 有记号的, 显著的, 醒目的
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
continually,"adv. 不断地, 频繁地"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
enhance,"vt. 提高, 加强, 增加"
ridiculous,"a. 荒谬的, 可笑的"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
database,"n. 数据库
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
costly,"a. 昂贵的, 奢华的, 费用大的"
prosperity,"n. 繁荣, 茂盛, 成功
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
enormous,"a. 巨大的, 庞大的"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
accustomed,"a. 惯常的, 习惯了的"
consumption,"n. 消费, 消费量, 痨病
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
undertaking,"n. 事业, 企业, 保证
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
headquarters,"n. 总部, 司令部, 总部人员
"
dispute,"n. 争论
v. 争论"
initially,"adv. 最初, 开头"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
spectator,"n. 观众, 目击者, 旁观者"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
entirely,"adv. 完全, 全然, 一概"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
contempt,"n. 轻视, 轻蔑
"
malnourished,"a. 营养失调的, 营养不良的"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
preparatory,"a. 预备性的, 准备性的
n. 预科"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
prohibit,"vt. 禁止, 阻止
"
affordable,[计] 普及型
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
vendor,"n. 小贩, 卖主, 自动售货机
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
comedy,"n. 喜剧, 有趣的事情"
dedicate,"vt. 献出, 贡献"
partially,"adv. 部分地, 一部分地, 不公平地"
superstition,"n. 迷信
"
rug,"n. 小块地毯, 揭露某人"
awkwardly,adv. 笨拙地；无技巧地
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
calculate,"v. 计算, 预测, 计划, 打算"
explore,"v. 探险, 探测, 探究"
siren,"n. 女海妖, 妖女, 警报器, 汽笛, 迷人的美女
a. 诱惑的
vi. 响着警报器前进"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
optimal,"a. 最佳的, 最理想的
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
attain,"vt. 达到, 获得
vi. 达到"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
cultivate,"vt. 培养, 耕作"
outdated,"a. 旧式的, 落伍的, 过时的"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
category,"n. 种类, 类项
"
questionnaire,"n. 调查表, 问卷
"
economics,"n. 经济学
"
outlet,"n. 出口, 发泄方法, 市场
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
evasive,"a. 逃避的, 回避的, 托辞的
"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
vertical,"a. 垂直的, 直立的
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
evident,"a. 显然的, 明显的"
confidence,"n. 信心
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
electronic,"a. 电子的
"
commerce,"n. 商业, 商务, 贸易
"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
rightful,"a. 合法的, 正直的, 恰当的
"
underneath,"adv. 在下面
prep. 在...的下面"
decent,"a. 有分寸的, 得体的, 大方的"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
defense,"n. 防卫, 防卫物
"
obesity,"n. 肥胖
"
manufacturer,"n. 制造业者, 厂商
"
numerous,"a. 很多的, 数目众多的, 多数的
"
disruptive,"a. 分裂的, 破坏(性)的
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
declare,"v. 宣布, 声明, 申报, 断言"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
decisive,"a. 决定性的, 坚定的, 果断的"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
singular,"n. 单数
a. 异常的, 单一的"
sustainability,"n. 持续性, 能维持性, 永续性"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
countdown,"n. 倒计数
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
lately,"adv. 近来, 最近"
restrain,"vt. 抑制, 阻止, 束缚
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
colonial,"a. 殖民的, 殖民地的
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
incredible,a. 难以置信的
technician,"n. 技师
"
supervisor,"n. 管理者, 监督者, 指导者, 视导员
"
unity,"n. 一致, 联合, 单一(性), 个体
"
partnership,"n. 合伙, 合股, 合作关系
"
diversity,"n. 差异, 多样性
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
dwell,"vi. 居住, 居住(于), 存在(于)"
finalize,"vt. 使结束, 定稿
vi. 定局"
compensate,"v. 偿还, 补偿, 付报酬"
imprison,"vt. 使下狱, 关闭, 拘禁, 限制
"
sophisticated,"a. 复杂的, 久经世故的
"
detect,"vt. 发现, 察觉, 探测
"
dignified,"a. 有尊严的, 高尚的"
resourceful,"a. 资源丰富的, 策略的, 机智的
"
optimism,"n. 乐观主义, 乐观, 乐天
"
tenderness,"n. 柔软, 亲切, 柔和, 敏感, 易触痛
"
install,"vt. 安装, 安置, 使就职
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
civilization,"n. 文明, 教化
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
statistics,"n. 统计学, 统计资料
"
demonstrate,"vt. 示范, 证明
vi. 示威"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
upbringing,n. 教养
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
alter,v. 改变
priority,"n. 优先权, 优先
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
modular,"a. 模数的, 有标准组件的
"
option,"n. 选择权, 挑选, 选项
"
eventually,"adv. 最后, 终于"
hood,"n. 头巾, 兜帽, 覆盖, 强盗
vt. 罩上, 覆盖"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
considerable,"a. 相当的, 可观的, 重要的"
Twitter,"n. 啁啾, 唧唧喳喳声
vi. 啭, 啁啾, 颤抖
vt. 嘁嘁喳喳地讲, 抖动"
laughter,"n. 笑, 笑声
"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
scum,"n. 浮渣, 糟粕, 浮藻, 熔渣, 不起好作用的人
vt. 撇去(浮沫)
vi. 产生泡沫"
underlying,"a. 在下面的
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
sightseer,n. 观光客
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
poise,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码
vt. 使平衡, 使悬着, 保持...姿势
vi. 平衡, 悬着, 准备好"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
soundness,"n. 完全坚固, 稳固, 公正
"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
disproportionately,"adv. 不匀称, 不相称"
facility,"n. 容易, 灵巧, 设备
"
utilize,vt. 利用
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
assembly,"n. 与会者, 集会, 装配, 组件
"
assistance,"n. 协助, 援助
"
diagnose,v. 诊断
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
qualification,"n. 资格, 条件, 限制
"
exclude,"vt. 除外, 排除, 排斥
"
embarrassing,"a. 令人为难的, 麻烦的"
cease,"n. 停止
v. 停止, 终了"
self-consciousness,自我意识；自觉意识
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
ancestor,"n. 祖先, 祖宗"
procedure,"n. 程序, 过程, 手续
"
soak,"n. 浸, 湿透, 大雨
vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉
vi. 浸泡, 渗透"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
under-master,[网络] 未成年人
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
garbage,"n. 垃圾, 废物
"
grocery,"n. 食品杂货店, 食品杂货业"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
lawsuit,"n. 诉讼
"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
consist,"vi. 组成, 存在于, 一致"
property,"n. 财产, 所有权, 性质, 属性
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
predict,"v. 预知, 预言, 预报"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
infect,"vt. 传染, 感染
"
notify,"vt. 通知, 通告, 报告
"
expense,"n. 费用, 代价, 开支, 损失
"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
feedback,"n. 反馈, 反应
"
transmission,"n. 传输, 传送, 变速器
"
illustrative,"a. 说明的, 解说的, 作例证的"
literary,"a. 文学的, 文艺的, 精通文学的
"
outperform,vt. 胜过；做得比……好
collide,"vi. 碰撞, 互撞, 抵触"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
destination,"n. 目的地, 目标, 目的
"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
recruitment,"n. 新兵征召
"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
ethnic,"a. 人种的, 种族的
"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
subjunctive,"n. 假设法
a. 假设法的, 虚拟语气的"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
accordingly,"adv. 相应地, 因此, 于是"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
coincide,"vi. 一致, 符合
"
