flashcard,n. 教学用的抽认卡
calculator,"n. 计算者, 计算器
"
be used for,用于…
scoop,"n. 铲子, 勺子, 穴, 口, 独家新闻
vt. 汲取, 舀取, 挖空, 抢先报道"
adjustable,"a. 可调节的
"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
battery,"n. 电池, 殴打
"
operate,"v. 操作, 运转, 动手术, 活动"
battery-operated, [医]用电池做电源的
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
bulb,"n. 球茎, 电灯泡
"
light bulb,n. 灯泡
microwave,"n. 微波
"
microwave oven,[网络] 微波炉
crispy,"a. 卷曲的, 松脆的, 易碎的, 干脆的, 干净利落的, 生气勃勃的"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
by mistake,由于差错
chef,n. 厨师
sprinkle,"vt. 洒, 散置, 撒, 点缀
vi. 洒, 撒, 下小雨
n. 洒, 撒, 散置, 小雨, 少量"
by accident,偶然
beverage,"n. 饮料
"
according to,"根据, 按照；取决于；据…所说"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
legend,"n. 传说, 传奇文学, 图例
"
Shen Nong,神农
bush,"n. 矮树丛
"
fall into,"落入, 陷于, 开始, 分成, 属于, 注入"
remain,"vi. 保持, 逗留, 剩余
"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
mixture,"n. 混合, 混淆, 混合物
"
in this way,这样
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊
"
flying,"a. 飞的, 飘扬的, 飞速的
n. 飞行, 飞花"
bakery,n. 面包店
Bridgeport,n. 布里奇波特（地名）
Connecticut,n. 康涅狄格
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
cookie,"n. 饼干, 小甜点
"
abacus,"n. 算盘
"
binoculars,"n. 双目镜, 双筒镜
"
century,"n. 世纪, 百年"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
indoors,adv. 在户内
create,"vt. 创造, 建造, 引起, 任命"
wooden,"a. 木制的, 呆笨的, 木然的"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
knock into,撞上
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
basket,"n. 篮, 篮子
vt. 装入篮"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
hoop,"n. 箍, 铁环, 呼呼声
vt. 加箍于, 包围
vi. 发呼呼声"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
below,"prep. 在下面
adv. 在下面"
backboard,"n. 后挡板, 背板, 脊骨矫正板, 篮板"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
towards,"prep. 向, 对于, 为了"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
Berlin,[网络] 柏林
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
popularity,"n. 名声, 受大众欢迎, 流行"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
risen,"a. 升起的, 复活的
rise的过去分词"
worldwide,a. 全世界的
association,"n. 协会
"
equipment,"n. 装备, 设备, 才能
"
Chelsea Lanmon,无
Jayce Coziar,无
Jamie Ellsworth,无
Julie Thompson,无
Crum,床；box<俚>卧室
James Naismith,[网络] 奈史密斯；詹姆斯·奈史密斯；詹姆士奈史密斯
by the time,"到…的时候,截至"
gotten,get的过去分词
oversleep,v. (使)睡过头
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
on time,"准时
"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
broke,"a. 一文不名的
break的过去式"
break down,"v. 分解；抛锚；分析；划分
"
fool,"n. 愚人, 受骗者, 奶油拌水果
vt. 愚弄, 欺骗, 浪费
vi. 干傻事, 开玩笑, 游荡
a. 傻的"
costume,"n. 装束, 服装"
embarrassed,a. 尴尬的；窘迫的
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
show up,"na. 显眼；揭发；嘲笑；露面
"
exhausted,a. 耗尽的；疲惫的
April Fool's Day,n. 愚人节(4月1日)
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
Mars,[网络] 马尔斯
convincing,"a. 使人信服的, 有力的, 令人心悦诚服的"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
set off,"na. 分；分割；划开；区划
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
hoax,"vt. 欺骗, 哄骗, 愚弄
n. 愚弄人, 恶作剧"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
fled,v. 消逝；逃走（flee的过去分词）
spaghetti,n. 意大利面条
farmer,"n. 农夫, 农场主
"
sell out,"卖完, 出卖, 背叛
"
girlfriend,n. 女朋友
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
get married, 结婚; 结亲; 成家立室
ending,"n. 终止, 终了, 收场
"
embarrassing,"a. 令人为难的, 麻烦的"
a piece of,"一块..., 一片..."
Orson Welles,奥森·威尔斯
Halloween,n. 万圣节前夕（10月31日夜）
Holland,[网络] 荷兰
Qomolangma,[网络] 珠穆朗玛峰；西藏珠穆朗玛峰；珠峰
restroom,n. 洗手间；休息室；更衣室；厕所
shampoo,"n. 洗头, 洗发剂
vt. 洗头, 洗发"
drugstore,"n. 药房, 杂货店"
cafe,"n. 咖啡馆, 酒店"
department,"n. 部门, 系, 机关
"
department store,"百货公司
"
escalator,"n. 电动扶梯, 自动扶梯
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
oak,"n. 橡树, 橡木
a. 橡木制的"
uncrowded,"a. 不拥挤的,宽敞的"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
water slide,水滑道
clown,"n. 小丑, 乡下人"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
organized,"a. 有组织的, 组织起来的"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
alright,a. 没问题的
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
certain,"a. 确定的, 某一个的, 必然的
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
hand in,"na. 交进
"
Dean,"n. 院长, 主持牧师
"
Sunville,无
Killeen,"n. (Killeen)人名；(英)基利恩
角叉菜"
Valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
West,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
shake,"n. 摇动, 震动
vt. 摇动, 动摇, 使震动, 挥舞
vi. 震动, 发抖, 动摇"
shake hands, 握手; 搹
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
kiss,"n. 吻
vt. 吻
vi. 接吻"
Cali,abbr. 中国照明电器协会（China Association of Lighting Industry）
Colombia,n. 哥伦比亚
relaxed,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的"
drop by,随便访问
Lausanne,"洛桑[瑞士西部城市,在日内瓦湖北岸]"
Switzerland,n. 瑞士
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
after all,毕竟
towards,"prep. 向, 对于, 为了"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
Peru,n. 秘鲁
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
napkin,"n. 餐巾, 餐巾纸, 尿布"
make noise, 噪
make a noise,"发出声响,发出噪音,吵闹;名噪一时,轰动一时"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
go out of one's way to do sth.,无
make sb. feel at home,无
manner,"n. 样子, 礼貌, 风格
"
table manners,"餐桌上的礼貌,用餐的规矩"
be used to,习惯于
get used to,习惯于...
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
gradually,adv. 逐渐地
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
unfamiliar,a. 不熟悉的
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
rubbish,"n. 废物, 垃圾, 胡说"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
chatline,n. 聊天热线；青少年热线交谈服务
online,[计] 联机
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
mostly,"adv. 大概, 大部分, 主要
"
abbreviation,"n. 缩写词, 缩写, 缩短, 节略"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
homophone,n. 同音异形异义字
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
symbol,"n. 符号, 象征, 代号, 信条
"
punctuation,"n. 标点, 标点符号
"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
emotion,"n. 情绪, 激动, 强烈的情感
"
emoticon,"n. 表情符号, 表情图示"
colon,"n. 冒号, 结肠
"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
beside,prep. 在旁边
e-mail, 电子函政
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
learn ... by oneself,无
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
pleased,"a. 高兴的, 喜欢的, 满足的"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
normally,"adv. 正规地, 合规则, 正常地"
whose,pron. 谁的
Teresa,n. 特里萨（女名）
Lopez,n. 洛佩斯（姓氏）
Marc,[地物] Ｍ弧
LeBlanc,[地名] 勒勃朗 ( 法 )
lagoon,"n. 环礁湖, 近海岸的浅水区, 泻湖, 咸水湖"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
therefore,"adv. 因此, 所以"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
lighting,"n. 照明, 照明设备, 舞台灯光"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
endangered,a. 有生命危险的；濒临灭绝的
slogan,"n. 呐喊声, 标语, 口号"
mysterious,"a. 神秘的, 难解的, 不可思议的"
shiny,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的"
skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
product,"n. 产品, 结果, 乘积
"
lookout,"n. 注意, 前途, 了望台, 景色
"
beauty,"n. 美, 美人"
toothpaste,"n. 牙膏
"
stardust,"n. 星团, 幻觉"
advertising,"n. 广告业, 广告
a. 广告的
"
pros and cons,n. 利弊; 正反两方面; 优缺点; 赞成和反对的理由
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
aim at,"v. 目的在于
"
specifically,"adv. 特定地, 明确地, 按特性"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
for instance,"例如
"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
confusing,a. 令人困惑的；混淆的；混乱的
misleading,"a. 引入歧途的, 使人误解的, 骗人的
"
truth,"n. 事实, 实情
"
at times,"有时, 不时"
to start with,"作为开始, 首先"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
home-made,家庭制造；家里做的
schoolbag,n. 书包
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
saying,"n. 叙述, 话, 说, 言论"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
bathing,"n. 游泳, 洗海水澡"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
bathing suit,n. 游泳衣
towel,"n. 手巾, 毛巾
v. 擦干身子"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
guidebook,"n. 指南, 手册, 要览"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
refrigerator,"n. 电冰箱, 冷藏库
"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
suitcase,n. 手提箱
get back to sb.,"回到…,继续…"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
anyway,"adv. 无论如何, 至少"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
hit,"n. 打击, 打, 冲撞, 讽刺
vt. 打, 打击, 碰撞, 打中, 袭击, 偶然碰上
vi. 打, 打中, 打击, 碰撞, 偶然碰上
"
appear,"vi. 出现, 显得, 来到
"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
lead singer,"n. 主唱, 领唱"
some day,来日
be off,"离开,取消,竣工,变坏"
poem,"n. 诗, 诗般美的事物"
cupboard,"n. 食橱, 碗柜, 餐具柜"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
ancestor,"n. 祖先, 祖宗"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
homeland,"n. 本国, 故国"
government,"n. 政府, 内阁
"
so far,迄今为止
southern,"n. 南方人, 男风
a. 向南方的, 来自南方的"
villager,n. 村民
thanks to,由于
strongly,"adv. 强有力地, 坚强地, 激烈地"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
Crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
Elise,n. 伊莉斯（女子名）
Mariah,n. 玛丽亚（女子名）
Carey,n. 凯里（等于Cary）
manatee,n. 海牛
furry,"a. 毛皮的, 盖着毛皮的, 似毛皮的"
enormous,"a. 巨大的, 庞大的"
playful,"a. 爱打趣的, 多趣的, 开玩笑的, 嬉戏的"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
gray,"n. 灰色, 暗淡
a. 灰色的, 灰白的, 面色苍白的, 年老的, 老练的, 阴沉的
v. (使)变灰色"
spotted,"a. 有斑点的, 斑纹的, 弄污了的"
kangaroo,"n. 袋鼠
"
chimpanzee,"n. 黑猩猩
"
cheetah,n. 猎豹
mangrove,n. 红树属树木
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
underwater,"a. 在水中的
adv. 在水下"
vegetation,"n. 植物
"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
polluted,"a. 被污染的, 被玷污的, (美)(非正式)喝得烂醉的"
present progressive, 现在进行时
present simple, 一般现在时
infinitive,"n. 不定式
a. 不定式的"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
present perfect,现在完成时
suitable,"a. 适当的, 相配的
"
tiny,"a. 很少的, 微小的"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
disgusted,a. 厌恶的；厌烦的
educate,"vt. 教育, 培养, 训练"
care for,"喜欢, 照顾, 为...操心, 尊重"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
expression,"n. 表达, 表现, 词语, 措辞
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
built,build的过去式和过去分词
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
pull,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引
vi. 拉, 拖, 拔, 有吸引力
n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
recently,adv. 最近
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
society,n. 社会；社交界；交往；社团
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
Winterbourne,n. 间歇河(指冬季多雨时节才有水流而夏季干涸的河)
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
certainly,adv. 确定地
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
national flag,[法] 国旗
