abdomen,"n. 腹部
"
outbreak,"n. 爆发, 暴动
"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
outlet,"n. 出口, 发泄方法, 市场
"
outlook,"n. 观点, 景色, 前途, 了望
"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
overwhelming,"a. 压倒性的, 无法抵抗的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paralyze,"vt. 使瘫痪, 使麻痹
"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precise,"a. 精确的, 严谨的, 明确的
"
predecessor,"n. 前任, 先辈, 前身
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
prestige,"n. 声望, 威望, 威信
"
pretext,"n. 借口, 托词
v. 以...为借口"
prevalent,"a. 普遍的, 流行的"
priority,"n. 优先权, 优先
"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
proficiency,"n. 精通, 熟练, 精练"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
promising,"a. 有希望的, 前途有望的
"
propel,"vt. 推进, 驱使
"
prophet,"n. 预言者, 先知, 提倡者"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
provoke,"vt. 激怒, 惹起, 诱导
"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
repression,"n. 抑制, 压抑, 制止
"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
resent,"vt. 愤恨, 憎恶, 怨恨"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
revenue,"n. 收入, 岁入, 税收, 税务局
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
sensation,"n. 感觉, 轰动
"
setback,"n. 挫折, 退步, 逆流"
simplify,"vt. 单一化, 简单化"
simultaneous,"a. 同时的, 同时发生的
"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
slogan,"n. 呐喊声, 标语, 口号"
solemn,"a. 严肃的, 郑重的, 庄严的"
sophisticated,"a. 复杂的, 久经世故的
"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
speciality,"n. 专长, 擅长, 特种技能, 详细说明, 特性, 特产, 专业
"
speculate,"vi. 深思, 推测, 投机
"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
suffice,"vi. 足够, 有能力
vt. 满足"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
superb,"a. 极度的, 华丽的, 极好的"
superfluous,"a. 多余的, 过剩的"
supersonic,"a. 超声波的
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
symmetry,"n. 对称, 匀称
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
symphony,"n. 交响乐, 交响曲"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
symptom,"n. 症状, 征候, 征兆
"
synthesis,"n. 综合, 组织, 综合体
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
tedious,"a. 沉闷的, 冗长乏味的"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
tentative,"n. 试验
a. 试验性的, 暂时的"
testimony,"n. 证言, 证据, 声明
"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
therapy,"n. 治疗
"
thermometer,"n. 温度计, 体温计
"
threshold,"n. 门槛, 入口, 开端, 阈
"
tolerate,"vt. 宽容, 容许, 有耐力"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transcend,"vt. 超越, 胜过"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
tropical,"a. 热带的, 热情的
"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
unanimous,"a. 意见一致的, 无异议的"
undergo,"vt. 遭受, 经历, 忍受
"
underlying,"a. 在下面的
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
utilize,vt. 利用
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
velvet,"n. 天鹅绒
a. 天鹅绒的"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
versatile,"a. 多才多艺的, 万用的, 万向的"
version,"n. 一种描述, 版本, 译文
"
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
withstand,"vt. 抵住, 顶住, 经得起"
wretched,"a. 可怜的, 不幸的, 卑鄙的"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
zeal,"n. 热心, 热衷, 热诚"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
alliance,"n. 联盟, 联合
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
aspect,"n. 外观, 方面, 面貌, 方向
"
assess,"vt. 估定, 对...征税, 评定
"
astonish,vt. 使惊讶
bonus,"n. 奖金, 红利
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
candidate,"n. 候选人, 投考者
"
capitalism,"n. 资本主义
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
committee,"n. 委员会
"
communication,"n. 交流, 交通, 通讯
"
community,"n. 社区, 公众, 共有, 共同体
"
comparison,"n. 比较, 对照, 比喻
"
competitive,"a. 竞争的
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
confusion,"n. 混乱, 混淆, 无秩序
"
conquest,"n. 战胜, 征服, 战利品
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
consequence,"n. 结果, 重要性
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
constitution,"n. 构成, 宪法, 体格
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
conventional,"a. 传统的, 习惯的, 约定的
"
convince,"vt. 说服, 使相信
"
correspondent,"n. 通讯记者, 通信者
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
currency,"n. 货币, 通货, 流通, 通用
"
curriculum,"n. 课程
"
democratic,"a. 民主的
"
deputy,n. 副手，代理人
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
diagram,n. 图表；图解
dilemma,"n. 困境, (进退两难的)窘境"
diploma,"n. 文凭, 毕业证书
"
disastrous,"a. 损失惨重的, 悲伤的"
discourage,"vt. 使气馁, 阻碍"
disposition,"n. 性情, 处置, 处理, 布置
"
distinct,"a. 清楚的, 显著的, 不同的"
diversion,"n. 转移
"
elementary,"a. 初步的, 基本的
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
engagement,"n. 诺言, 约会, 婚约, 交战
"
entrepreneur,"n. 企业家, 主办人
"
epoch,"n. 新纪元, 时代, 时期"
equality,"n. 平等, 均匀, 相等
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
ethnic,"a. 人种的, 种族的
"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
excessive,"a. 过度的, 过多的, 极端的
"
exclusive,"a. 排外的, 独占的, 唯一的
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
expectation,"n. 期待, 指望, 展望
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
explicit,"a. 详述的, 清楚的, 直言的"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exquisite,"a. 精致的, 细腻的, 敏锐的"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
federation,"n. 联邦, 联合, 联盟
"
frontier,"n. 边界, 边境
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
genius,"n. 天才, 天赋, 精神, 神魔
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
gravity,"n. 地心引力, 重力
"
guideline,"n. 指导路线, 方针, 指标
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
humanity,"n. 人性, 人类, 博爱"
impressive,"a. 给人深刻印象的, 威严的"
indignation,"n. 愤怒, 愤慨, 义愤"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
instrument,"n. 工具, 手段, 仪器
"
insurance,"n. 保险, 保险业, 保险费
"
intelligence,"n. 智力, 情报, 信息
"
investment,"n. 投资
"
legacy,"n. 祖先传下来之物, 遗赠物
"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
monument,"n. 纪念碑, 纪念物, 石碑"
occurrence,"n. 发生, 事件, 出现
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
panorama,"n. 全景, 全貌, 概论, 范围"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
parasite,"n. 寄生生物, 寄生虫, 食客
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
pastime,"n. 消遣, 娱乐, 游戏"
patriotic,"a. 爱国的, 有爱国心的
"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
patron,"n. 赞助人, 顾客, 保护人
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
ponder,"v. 沉思, 考虑"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
poverty,"n. 贫穷, 贫困, 缺乏
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
preside,"vi. 统辖, 当主人, 主持
"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
profession,"n. 职业, 表白, 声明
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
prohibit,"vt. 禁止, 阻止
"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
prototype,"n. 原型
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
psychology,"n. 心理学, 心理状态
"
realm,"n. 王国, 领土, 领域
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
redundant,"a. 多余的, 过多的, 冗长的
"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
refute,"vt. 反驳, 驳斥；驳倒"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
reluctant,"a. 不情愿的, 勉强的
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
restrain,"vt. 抑制, 阻止, 束缚
"
restrict,"vt. 限制, 限定, 约束
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
rival,"n. 对手, 竞争者
a. 竞争的"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
rumor,"n. 谣言, 传闻
vt. 谣传"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
seminar,"n. 研究班, 专题讨论会
"
senate,"n. 参议院, 立法机构, 评议会"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
session,"n. 期间, 开庭期, 会议, 学期
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
simulate,"vt. 模拟, 假装, 模仿
"
siren,"n. 女海妖, 妖女, 警报器, 汽笛, 迷人的美女
a. 诱惑的
vi. 响着警报器前进"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
