technology,"n. 技术, 工业技术, 术语
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
publicly,"adv. 公然地, 以公众名义"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
react,"vi. 起反应, 起作用, 反攻
"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
segregation,"n. 隔离, 偏析, 被隔离的部分, 种族隔离
"
selective,"a. 选择的, 选择性的
"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
smoky,"a. 冒烟的, 满是烟的, 熏脏的, 烟灰色的"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
stressful,"a. 着重, 强调, 重读, 使受应力"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
talented,"a. 天资高的, 有才能的"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
ton,"n. 吨
"
toxic,"a. 有毒的, 中毒的
"
trillion,"n. 大量
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
youth,"n. 年轻, 青年时代, 青年们, 青春
"
abundant,"a. 丰富的, 充分的, 大量的"
accustom,vt. 使习惯于
adolescence,"n. 青春期
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
ageing,"n. 变老, 成熟
"
aging,"n. 老化, 变陈
"
approximately,"adv. 大约, 大致, 近于
"
arrangement,"n. 排列, 整齐, 安排
"
assert,"vt. 主张, 坚称, 断言
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
bacteria,"pl. 细菌
"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
businessman,"n. 商人, 实业家, 工商业家"
chart,"n. 图表, 海图
vt. 制成图表
"
checkout,"n. 结帐台
"
circus,"n. 马戏团, 马戏, 竞技场"
civil,"a. 市民的, 公民的, 有礼貌的
"
classify,"vt. 分类, 归类, 分等
"
clinical,"a. 临床的, 门诊部的
"
clone,"n. 无性系
"
collaborate,"vi. 合作, 勾结
"
communal,"a. 公有的, 公社的
"
competitiveness,[经] 竞争
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conscious,"a. 有意识的, 知觉的, 觉察的
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
consistently,"adv. 坚固, 坚实, 一致, 始终如一, 连贯
"
cord,"n. 绳索, 束缚
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
counsellor,"n. 顾问, 辅导员, 律师"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
definition,"n. 定义, 精确度, 清晰度
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
deteriorate,v. (使)恶化
developer,"n. 开发者
"
dioxide,"n. 二氧化物
"
distinction,n. 区别
distinctive,"a. 有特色的, 出众的"
distribution,"n. 分配
"
doll,"n. 洋娃娃, 无头脑的美丽女人"
dweller,n. 居民
elimination,"n. 除去, 消除, 消灭
"
evaluate,"vt. 评估, 评价, 赋值"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
ferry,"n. 渡船, 渡口
"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
fitness,"n. 适合, 合宜, 合理, 恰当, 健康
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
frighten,"vt. 使惊吓
vi. 惊恐"
hacker,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
historic,"a. 历史上著名的, 有历史性的"
historically,adv. 历史上地；从历史观点上说
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
immediately,"adv. 直接地, 立刻, 立即"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
inefficient,"a. 无效率的, 无能的
"
innovate,"vi. 改革, 创新"
install,"vt. 安装, 安置, 使就职
"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
interpretation,"n. 解释, 演出, 翻译
"
intuitive,a. 直觉的
legend,"n. 传说, 传奇文学, 图例
"
legislator,"n. 立法者, 立法官, 立法委员
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
migrant,"n. 候鸟, 移居者
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
monetary,"a. 货币的, 金钱的
"
municipal,"a. 市政的, 自治区的, 内政的
"
nationwide,"a. 全国性的
"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
obviously,"adv. 显而易见地, 明显地"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
overuse,"vt. 使用过度
n. 过度使用, 任意驱使"
pacific,"n. 太平洋
a. 太平洋的, 太平洋沿岸的, 爱好和平的, 安静的, 平息的"
parenting,n. 父母对子女的养育
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
persist,"vi. 坚持, 固执, 持续, 坚称
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
poorly,"adv. 贫穷地, 不充分地, 贫乏地
a. 身体不舒服的"
portray,"vt. 描绘, 描写, 描绘...的肖像"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
possibly,"adv. 可能, 也许"
predator,"n. 食肉动物, 掠夺者
"
predominantly,"adv. 主要地, 显著地, 大多数地, 突出地"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
propel,"vt. 推进, 驱使
"
publication,"n. 出版物, 出版, 公布
"
quantitative,"a. 数量的, 定量的
"
recipe,"n. 食谱, 处方, 秘诀
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
selection,"n. 选择, 选文, 精选品
"
senator,"n. 参议员, (某些大学的)理事
"
serving,"n. 服务, 招待, 上菜, 一份食物"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
socio-economic,"adj. 社会与经济的；社经的
"
specifically,"adv. 特定地, 明确地, 按特性"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
stimulation,"n. 刺激, 激励, 鼓舞
"
subsequently,"adv. 后来, 随后"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
testify,"v. 证明, 作证, 声明, 表明"
testimony,"n. 证言, 证据, 声明
"
totally,adv. 完全地
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
transparent,"a. 透明的, 显然的, 清晰的
"
treaty,"n. 条约, 谈判
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
undergo,"vt. 遭受, 经历, 忍受
"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
unity,"n. 一致, 联合, 单一(性), 个体
"
urgency,"n. 紧急, 催促
"
visual,"a. 视觉的
"
willingness,"n. 乐意, 心甘情愿, 愿意"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
agenda,"pl. 议程, 日常工作事项
"
aggravate,"vt. 使恶化, 使更严重, 加重"
altitude,"n. 高度, 海拔, 高处
"
anniversary,n. 周年纪念
architecture,"n. 建筑学, 建筑式样
"
artificial,"a. 人造的, 假的, 非原地产的
"
bachelor,"n. 单身汉, 学士
"
bacon,"n. 熏猪肉
"
ballet,n. 芭蕾舞
bankruptcy,"n. 破产者
"
beverage,"n. 饮料
"
breath,"n. 呼吸, 气息, 瞬间
"
bury,"vt. 埋葬, 埋藏"
capability,"n. 能力, 性能, 约束力
"
capitalist,"n. 资本家, 资本主义者
a. 资本主义的"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
catastrophic,"a. 悲惨的, 灾难的"
cattle,"n. 牛, 家畜
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
certification,"n. 证明
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
chronically,"adv. 慢性地, 长期地, 习惯性地"
chunk,"n. 大块, 矮胖的人(或物)
"
citation,"n. 引用, 引证, 引用文
"
classical,"a. 古典的, 正统派的, 经典的
"
collaborative,"a. 合作的, 协作的"
collective,"a. 集体的, 聚集的, 共同的
"
colonial,"a. 殖民的, 殖民地的
"
comparable,"a. 可比较的, 比得上的"
complexity,"n. 复杂, 复杂性, 复杂的事物"
composition,"n. 作文, 创作, 组成
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
consultant,"n. 顾问, 征询意见者
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contributor,"n. 贡献者, 捐助者, 赠送者, 投稿者
"
cube,"n. 立方体, 立方
"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
dean,"n. 院长, 主持牧师
"
decent,"a. 有分寸的, 得体的, 大方的"
declaration,"n. 宣告, 说明, 宣布
"
dedicate,"vt. 献出, 贡献"
deem,"v. 认为, 相信"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
democracy,"n. 民主政治, 民主主义
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
disadvantaged,"a. 社会地位低下的, 生活条件差的, 被剥夺了基本权利的
"
disruption,"n. 分裂, 崩溃, 瓦解"
distribute,"vt. 分配, 散布, 分发
"
drastic,"a. 激烈的
"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
effectiveness,"n. 效力
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
enforce,"vt. 强迫, 执行, 坚持
"
enthusiasm,"n. 巨大的热情, 热心"
entirely,"adv. 完全, 全然, 一概"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
ethnic,"a. 人种的, 种族的
"
excellence,"n. 优秀, 卓越, 优点"
exclude,"vt. 除外, 排除, 排斥
"
explosion,"n. 爆发, 激增, 爆炸(声)
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
financially,adv. 金融上；财政上
formulate,"vt. 用公式表示, 明确叙述, 制订
"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
globalisation,"n. 全球化, =globalization"
handful,"n. 少数, 一把, 棘手事"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
hesitant,"a. 迟疑的, 踌躇的, 犹豫不定的"
hint,"n. 暗示, 提示
v. 暗示, 示意"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
illegal,"a. 违法的, 不合规定的
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
incredibly,adv. 不能相信地
independence,"n. 独立, 自立, 自主
"
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
inertia,"n. 惯性, 惰性, 迟钝
"
inevitably,adv. 不可避免地
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
inquire,"v. 询问, 问明, 查究"
insurer,"n. 保险公司
"
intensely,adv. 强烈地; 极度; 剧烈地
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intimidating,"vt. 恐吓, 威胁( intimidate的现在分词)"
intolerance,"n. 不宽容, 偏狭, 不容许相反的言论
"
irreversible,"a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
lawmaker,n. 立法者
lawsuit,"n. 诉讼
"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
lifelong,"a. 终身的, 毕生的"
managerial,"a. 管理的
"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
metric,"a. 公尺的, 公制的, 计量的
"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
millennium,"n. 千禧年, 一千年"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
negotiator,"n. 磋商者, 交涉者, 议定者
"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
nutritionist,"n. 营养学家
"
on-screen,"adj. 屏幕上的；荧屏的；影视的；扮演的
"
optimism,"n. 乐观主义, 乐观, 乐天
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
oven,"n. 烤箱, 灶, 子宫
"
overwork,"n. 过度操劳的工作, 额外工作
v. (使)工作过度, 使过分劳累"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
petroleum,"n. 石油
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
politically,adv. 政治上
pollutant,"n. 污染物质
"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
prevalent,"a. 普遍的, 流行的"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
questionnaire,"n. 调查表, 问卷
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
ranking,"n. 等级, 地位
a. 上级的, 头等的, 超群的"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
registration,"n. 登记, 挂号, 注册
"
reinforcement,"n. 加强, 增援, 补充, 援军, 加固物
"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
representation,"n. 表示法, 表现, 陈述, 代表
"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
restrict,"vt. 限制, 限定, 约束
"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
sake,"n. 目的, 缘故, 理由"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
satellite,"n. 人造卫星
"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
separation,"n. 分离, 分居, 缺口, 退职
"
sewage,"n. 脏水, 污水
"
sharply,"adv. 锐利地, 严厉地, 厉害地
"
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
simultaneous,"a. 同时的, 同时发生的
"
situate,"vt. 使位于, 使处于"
slacker,"n. 懒惰虫, 逃避兵役者"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
strive,"vi. 努力, 奋斗, 斗争"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
supposedly,"adv. 想象上, 看上去像, 被认为是, 恐怕, 按照推测"
sustainably,adv. 支撑得住；能保持住地
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
technologically,adv. 技术上地；科技地
temporarily,"adv. 暂时, 一时, 临时"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
trader,"n. 商人, 商船
"
trait,"n. 特征, 特性, 一笔, 少许"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
underlie,"vt. 位于...之下, 成为...的基础"
unrealistic,"a. 不切实际的, 幻想的"
untreated,[化] 未经处理的
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
vocational,"a. 职业的
"
acceptable,"a. 可接受的, 合意的, 可忍受的"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
aisle,"n. 走廊, 侧廊, 过道
"
allocate,"vt. 分派, 分配
"
ambition,"n. 野心, 志向"
amendment,"n. 修订, 改善, 改良, 改正
"
arguably,adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地
aspiration,"n. 热望, 志向, 渴望
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
badge,"n. 徽章, 标记
"
barrel,"n. 桶
vt. 装入桶内"
bizarre,a. 奇异的
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
breakthrough,"n. 突破
"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
bureaucracy,"n. 官僚, 官吏
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
cater,"v. 提供饮食及服务, 投合, 迎合"
certify,"v. 证明, 保证"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
civic,"a. 市的, 市民的, 公民的
"
colony,"n. 殖民地, 移民队
"
compensation,"n. 补偿, 赔偿金, 工资
"
competence,"n. 胜任, 职称, 能力
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
confrontation,n. 对抗；对质；面对
consensus,"n. 合意, 一致, 同感
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
continuous,"a. 连续的, 继续的, 连续不断的
"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
cosy,"a. 温暖舒适的
n. 保暖套"
cozy,"a. 舒适的, 安逸的, 惬意的
n. (茶壶等的)保暖罩, 舒适的座位
vt. 以假话使安心"
cultivation,"n. 教化, 培养, 耕作
"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
debris,"n. 碎片, 残骸
"
dedication,"n. 奉献, 献身, 献辞
"
defend,"vt. 防护, 辩护, 防卫
"
deficiency,"n. 缺乏, 不足
"
density,"n. 密度
"
deprive,"vt. 剥夺, 使丧失
"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
distinct,"a. 清楚的, 显著的, 不同的"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
drone,"n. 雄蜂, 懒惰者, 嗡嗡的声音, 无人驾驶飞机(或船)
vi. 嗡嗡作声, 混日子
vt. 低沉地说"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
elevate,"vt. 举起, 提拔, 鼓舞"
endless,"a. 不停的, 无穷尽的, 无尽的
"
endorsement,"n. 支持, 认可, 背书
"
enforcement,"n. 执行, 强制
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
ethical,"a. 伦理的, 民族的, 民族特有的
"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
extensive,"a. 广的, 广泛的, 多方面的
"
faith,"n. 信心, 信任, 忠实, 保证
"
favourable,"a. 有用的, 良好的, 赞成的, 顺利的
"
favorable,"a. 有利的, 赞许的, 良好的"
feasible,"a. 能实行的, 可行的, 适宜的
"
fertility,"n. 肥沃, 丰饶, 生产力
"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
groundbreaking,"a. 开创性的, 突破性的"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
hurricane,"n. 飓风, 暴风, 暴风雨"
hypothesis,"n. 假设
"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
impressive,"a. 给人深刻印象的, 威严的"
inadequate,"a. 不充分的, 不适当的
"
incidentally,"adv. 伴随地, 偶然, 顺便"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
incur,"vt. 招致, 蒙受, 遭遇
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
inevitable,"a. 不可避免的, 必然的
"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
instruct,"vt. 教, 教育, 命令, 通知
"
instrument,"n. 工具, 手段, 仪器
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
intrinsic,"a. 本质的, 原有的, 真正的
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
