a bit of,一点
stay healthy,保持健康
stay up,不睡觉
step by step,逐步地
stick to,粘住
stop doing sth.,[网络] 停止做某事；停止正在做的事；停止正在做的事情
stop ... from ...,阻止某事发生
study for,为准备(考试等)而努力学习
succeed in,在...方面成功
such a fine day,无
suffer from,"忍受, 遭受
"
sum up,"na. 〈口〉概括；总结
"
surf the Internet, 网上冲浪
take a deep breath,"na. 行深呼吸
"
take a message for sb., 给。。。捎个信儿
take a ride,"乘车,骑马"
take after,"像, 学样
"
take one's seat,就座
take part in,"参与, 参加
"
take an active part in,积极参加...
take a risk,"冒险
"
take a vacation,度假
take action,"采取行动, 提出诉讼"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take an exam,[网络] 参加考试；应试；进行考试
take an interest in,对...感兴趣
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take care," 当心, 小心; 坚持到底"
take care of,"照顾
"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
take different routes,无
take exercise,"做体操,做健身活动"
take hold of,握住
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take it easy,"从容, 不紧张"
take notes,作笔记
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take one's advice,无
take one's temperature,量体温
take one's time,从容不迫
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take out of,"na. 除去；要赔偿；报仇
"
take place,"na. 发生；举行
"
take pride in,以...为傲
take sb.'s place,[网络] 解构发生；就位
take medicine,"na. 吃药
"
take sth. with sb.,[网络] 携带；随身携带；带上
take the place of,"代替
"
take sb. seriously,"na. 重视；认真(想)；当真
"
take sth. seriously,"na. 重视；认真(想)；当真
"
take ... to ...,"na. 嗜好；开始；参加；逃入
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk about," 讨论, 谈论; 考虑（做…）; 唠; 话"
talk to sb., 同（某人）谈话; 责骂
talk with sb.,"与...交谈, 想说服"
teach oneself, 自学
teach sb. a lesson,[网络] 给…一个教训；给以教训；教训一顿
tell a lie,说谎话
tell a story,讲故事
tell ... from ..., 辨别
tell the truth,说实话
thanks for sth., 多亏
thank sb. for sth.,[网络] 感谢；为……感谢；就…而感谢
thanks to,由于
the key to, 关键是（在于）
the same as,"与...相同, 与...一致"
think about,"考虑, 回想"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think up,"na. 想出；〔口语〕发明
"
thousands of,"成千上万,数千,许许多多"
three times a day,每日三次
throw about,"到处扔, 舞动"
throw around,[网络] 乱扔
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
tidy up,整理
tie up,"na. 绑；系；包扎；(船只)系泊
"
to be honest,"老实说,说实在的"
to one's disappointment,令(某人)失望的是...
to one's joy,无
to one's surprise,使某人惊奇的是
to some extent,在某种程度上
to start with,"作为开始, 首先"
to tell the truth,说实话
too much,"太多, 太高"
too ... to ...,[网络] 太……而不能；太……以致不能；用法
treat ... as ...,[网络] 对待；当作；当做
treat with,"un. 谈判；磋商:
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
try one's best,尽力
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try to do sth., 试着做某事; 尽力做某事
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn ... into ...,[网络] 了解
turn left,"向左转,向左拐弯"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn out,"v. 证明；原来；到场
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn up,"v. 朝上翻；出现
"
up and down,"上下地, 到处"
upside down,[网络] 机腹朝上；颠倒；上的姿势
use up,"na. 用完；耗尽
"
used to be, 过去是
used to do sth., 过去常常做某事
wait for,"na. 等；等待
"
wait in line,排队等候
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
walk down,"通过散步消除
"
want to do sth.,[网络] 想做某事；想要做某事；想要作某事
want sb. to do sth.,[网络] 想做某事；想要做某事；想要作某事
warn sb. of sth.,"na. 警告(某人)有危险
"
wash up,"洗手洗脸, 洗餐具"
watch a match,无
watch out for,"戒备, 提防, 密切注意"
watch TV, 看电视
welcome to ..., 欢迎…
what if,如果…那又怎么样?即使…那又有什么关系?
what's more,[网络] 而且；另外；更重要的是
what's up,[网络] 这是怎么回事
wish sb. to do sth., 希望做…
with difficulty,"困难地, 艰难地"
with great care, 小心翼翼地
with one voice,异口同声地
with one's own eyes, 亲眼
with pleasure,"愉快地, 愿意"
with the help of ...,"借助于…,在…的帮助下"
with the purpose of ...,为了...
without permission,"未经许可
"
work as ...,"担任,从事"
work on,"继续工作, 设法说服, 影响"
wonder if ...,[网络] 想知道是否；不知道；怀疑是否
work for ...,"为…工作,致力于…"
work out,"v. 作出；拟定；制定；计划一下
"
worry about,"焦虑..., 为...而操心/担心"
would like to do sth.,[网络] 愿意做某事；想要做；想做
would love to do sth.,无
would rather ... than ...,"宁愿,与其…不如…"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
write to sb.,给…写信
year after year,"年复一年地, 年年, 每年"
year by year,"年年, 每年"
