fresher,n. 大学一年级生
not necessarily," 未必, 不一定; 不见得"
more or less,或多或少
turn to,"转向, 变成, 求助于, 起劲地开始行动"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
circulation,"n. 流通, 循环, 发行量
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
cover price,[网络] 标价；保费；入场费
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
vicious circle,"恶性循环, 循环论证
"
predate,"vt. 倒填...的日期, 把...的日期填早, 在日期上早于, 在日期上先于
"
readership,"n. 读者, 读者人数"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
advertiser,"n. 做广告者, 广告客户
"
outlet,"n. 出口, 发泄方法, 市场
"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
remorselessly,"adv. 冷酷地, 无悔意地"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
bureau,"n. 局, 办公处
"
tabloid,"n. 小报, 小型画报, 药片, 文摘
a. 轰动性的, 扼要的, 缩略的, 小报式的"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
connotation,"n. 含蓄, 内涵"
downmarket,"a. （商品或服务）价廉质次的, 下品的, 低档的"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
website,n. 网站（全球资讯网的主机站）
reassurance,"n. 安心, 放心, 再保证"
feedback,"n. 反馈, 反应
"
deny,"v. 否认, 拒绝"
environmental,"a. 周围的, 环境的
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
billion,"num. 十亿, 十亿个"
annually,"adv. 一年一次, 每年
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
furthermore,"adv. 此外, 而且"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
polluter,"n. 污染者, 污染物质"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
laptop,[计] 膝上型的
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
wrapping,"n. 用于包裹的材料
"
takeaway,"a. 外吃的, 外卖的
n. 外卖食品的餐馆, 外卖食品的商店"
swat,"vt. 用力打下去, 重拍
n. 用劲打击, 长打, 全垒打"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
exploitation,"n. 开发, 开采, 剥削
"
lifestyle,n. 生活方式
commentator,"n. 评论员, 实况广播员, 注释者, 时事评论员"
dumb,"a. 哑的, 不说话的, 无声音的
"
smarten,"vt. 使潇洒, 使整洁
vi. 变潇洒, 变强烈"
integrity,"n. 正直, 廉正, 完整
"
impartiality,"n. 公平, 无私, 不偏
"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
prestige,"n. 声望, 威望, 威信
"
moreover,"adv. 而且, 此外"
meaningful,a. 意味深长的
armchair,n. 扶手椅
in print,"已出版, 在销售中"
rely on,"依赖, 依靠"
close down,"关闭, 歇业, 停止播音"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
turn back,"na. 同“turn down ”
"
put away,"v. 把…收起来；储存
"
remind sb. of,"v. 提醒
"
that is,(作插入语)那就是
that is to say,"就是, 即, 换句话说"
publication,"n. 出版物, 出版, 公布
"
broadsheet,n. 大幅单(或双)面印刷品
avid,"a. 渴望的, 急切的, 劲头十足的"
Swedish,"n. 瑞典人, 瑞典语
a. 瑞典的, 瑞典人的, 瑞典语的"
traveller,"n. 旅行者
"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
stupidity,"n. 愚蠢, 糊涂事
"
surroundings,"n. 环境, 周围的事物
"
unpleasant,"a. 使人不愉快的, 使人厌恶的, 煞风景的"
elderly,"a. 过了中年的, 稍老的"
lately,"adv. 近来, 最近"
tiresome,"a. 累人的, 烦人的"
financial,"a. 财政的, 金融的
"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
rural,"a. 乡下的, 田园的, 乡村风味的
"
elsewhere,adv. 在别处
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
unimaginable,"a. 不能想象的, 不可思议的"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
astonishment,"n. 惊异, 惊愕, 使人惊异的事物"
olive,"n. 橄榄, 橄榄树, 橄榄色, 橄榄枝
a. 黄绿色的, 黄褐色的, 橄榄色的"
herb,"n. 药草, 香草
"
comparison,"n. 比较, 对照, 比喻
"
unfamiliar,a. 不熟悉的
imagination,"n. 想像, 听觉, 想像力
"
realization,"n. 实现, 领悟, 实得
"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
by choice,出于选择
time to spare,无
money to spare,无
room to spare,无
the like of,像…这样的人〔东西〕
the likes of, <口>像…这样的人[事物]
push your way through,无
in comparison with,与...比较
in comparison to,"与…比较,与…相比"
duel,"n. 决斗, 斗争
vi. 决斗"
Lithuanian,"n. 立陶宛人
a. 立陶宛的, 立陶宛人的, 立陶宛语的"
spa,"n. 矿泉, 温泉浴场, 矿泉治疗地
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
pothole,n. 壶穴
amusingly,"adv. 有趣地, 好笑地"
highway,"n. 公路, 大道, 捷径
"
properly,"adv. 适当地, 相当地"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
sleepy,"a. 困乏的, 欲睡的"
council,"n. 会议, 委员会
"
diplomatic,"a. 外交的, 老练的
"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
mayor,"n. 市长
"
fame,"n. 名望, 名声, 传说"
farewell,"n. 辞别, 再见, 再会
interj. 再会"
unfortunately,"adv. 恐怕, 不幸的是"
rival,"n. 对手, 竞争者
a. 竞争的"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
dead end,"闭塞不通的一头, 死胡同
"
squash,"n. 挤压, 压碎的东西, 南瓜属植物, 拥挤的人群
vt. 压扁, 镇压, 压制
vi. 被压扁, 发溅泼声, 挤入"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
set off,"na. 分；分割；划开；区划
"
come to a halt,"停住,停下来"
draw to a halt,无
no sooner ... than,[网络] 一……就；不早于；刚…就
in reverse,"在背面,在反面,反过来"
be as good as one's word,说话算数
as usual,照常
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
in turn,"na. 挨次
"
sure enough,"果然, 果真"
fall out,"脱落, 离队, 争吵, 结果是
"
ecotourism,n. 生态旅游
thoughtful,"a. 深思的, 体贴的"
economic,"a. 经济上的, 实用的, 节省的
"
guidebook,"n. 指南, 手册, 要览"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
transferable,"a. 可转移的
"
belongings,"n. 财产, 所有物, 相关事物
"
wristwatch,n. 手表
jewellery,"n. 宝石, 贵重饰物, 珠宝, 宝石饰物, 受珍视的人/物, 宝贝, 有价值的人/物"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
souvenir,n. 纪念品
economy,"n. 经济, 理财, 节约
"
community,"n. 社区, 公众, 共有, 共同体
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
delightful,"a. 令人愉快的, 可爱的"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
unbearable,"a. 无法忍受的, 承受不住的"
necessity,"n. 需要, 必需品, 必然
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
soulless,"a. 没有精神的, 没有灵魂的, 泄气的"
heartless,"a. 无情的, 无勇气的"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
unworthy,"a. 不值得的, 不相称的"
fate,"n. 命运, 运气
vt. 注定"
entirely,"adv. 完全, 全然, 一概"
liar,n. 说谎者
doubter,n. 抱怀疑态度的人；不信宗教的人；怀疑论者
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
earnestness,n. 认真；诚挚；正经
sincerity,"n. 诚实, 真实, 诚心诚意"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
face to face,面对面
delight in,"喜爱,以…为乐"
be unworthy of,[网络] 辜负，亏负；辱没；不值得
set sb. free,"释放
"
have faith in,"na. 相信
"
in sb.'s eyes,无
interfere with,"干涉,干扰,妨碍"
servitude,"n. 奴隶状态, 惩役, 地役权
"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
valentine,"n. 情人, 情人节礼物"
satin,"n. 缎子
a. 绸缎做的, 缎子一般的, 光滑的"
undress,"vt. 使脱衣服, 暴露, 使卸去装饰
vi. 脱衣服"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
wobble,"n. 摆动, 摇晃, 不稳定, 抖动
vi. 摇晃, 摇摆, 游移不定
vt. 使摇摆, 使颤动"
truthful,"a. 说真话的, 诚实的, 真实的, 如实的
"
cute,"a. 可爱的, 聪明的, 伶俐的
"
kissogram,n. 带吻电报
possessive,"n. 所有格
a. 所有的, 占有的"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
platinum,"n. 白金, 铂, 银灰色
"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
lethal,"a. 致命的
n. 致死因子"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
embroider,"vt. 刺绣, 镶边, 装饰
vi. 绣花"
enwrought,"a. 刺绣的, 嵌入的, 织入的"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
investigate,"v. 调查, 审查"
poetry,"n. 诗, 韵文, 诗歌艺术"
Persian,"n. 波斯人, 波斯语"
traditionally,adv. 传统上；传说上；习惯上
matchmaker,"n. 火柴制造者, 媒人, 安排比赛的人"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
miai,n. 相亲(日本青年男女于婚前在父母陪同下互相见面的一种习俗)
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
alter,v. 改变
carve,"v. 雕刻, 切开"
padlock,"n. 挂锁, 关闭, 禁止进入"
lucchetti d'amore,无
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
quitter,"n. 轻易放弃的人, 懦夫, 逃避责任的人
"
winner,"n. 胜利者, 优胜者
"
bulldog,n. 喇叭狗
loser,"n. 失败者, 遗失者
"
comedian,n. 喜剧演员
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
unattainable,"a. 难到达的, 不可得到的"
physically,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
mentally,"adv. 心理上, 精神上, 智力上
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
bombard,"vt. 炮击, 攻击, 轰击
n. 射石炮"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
maxim,"n. 格言, 座右铭
"
psychologist,"n. 心理学家
"
specifically,"adv. 特定地, 明确地, 按特性"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
extremely,"adv. 极端地, 非常地"
unlikely,a. 不太可能的
Olympic,"a. 奥林匹亚的, 奥林匹斯山的, 强有力的, 巨大的"
medalist,"n. 奖章获得者, 奖章设计者, 奖章制作者, 勋章制作者, 奖章搜集者, 勋章搜集者"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
ailment,"n. 病痛, 疾病
"
indigestion,"n. 消化不良
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
protein,"n. 蛋白质
a. 蛋白质的"
inflammation,"n. 怒火, 发火, 燃烧, 发炎
"
killer,"n. (非正式)杀人者, 屠杀者, 猛兽, 致死(疾病), 杀手, 止痛药, 限制器, 瞄准器
"
diabetes,"n. 糖尿病, 多尿症
"
reluctance,"n. 不情愿, 勉强
"
emotional,"a. 情绪的, 情感的
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
melancholy,"n. 忧郁, 悲哀, 愁思
a. 忧郁的, 使人悲伤的, 愁思的"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
passivity,"n. 被动, 被动性, 无抵抗, 钝性, 被动结构
"
reassess,"vt. 再评价, 再摊派, 再课税"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
species,"n. 种, 类, 外形
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
aspiration,"n. 热望, 志向, 渴望
"
glorious,a. 光荣的
career,"n. 事业, 生涯, 成功
"
up to a point,[网络] 在一定程度上；在某种程度上；不完全如此
give up on, 不再相信，不再信任
at any cost,无论如何
at all costs,不惜任何代价
in the face of,面对
in the long term,长远地
in the middle term,无
in the short term,短期内
look back,"回顾, 三心二意
"
what if,如果…那又怎么样?即使…那又有什么关系?
set a goal,[网络] 设定目标；制定目标；树立目标
set yourself a goal,无
set sb. a goal,[网络] 设定目标；制定目标；树立目标
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
on the positive side,无
on the negative side,无
in ... terms,"在谈判,在协商;明确地,措词严密地"
in terms of ...,"用...的话, 根据, 按照, 在...方面
"
slow down,(使)慢下来
earn a living,"谋生,挣钱,自食其力"
make a living,"谋生, 挣钱度日, 维持生活"
grow out of,"长得与...不相称, 因长大而丢弃"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
brainpower,"n. 智能, 智囊"
researcher,n. 研究人员
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
cognitive,"a. 认知的, 认识的"
infection,"n. 传染, 影响, 传染病
"
limb,"n. 四肢, 枝干, 翼, 边缘
vt. 切断...之手足"
density,"n. 密度
"
metabolism,"n. 新陈代谢, 变态
"
calorie,n. 卡路里（热量单位）
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
efficient,"a. 有效率的, 能干的"
digestion,"n. 消化力, 领悟
"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
cholesterol,"n. 胆固醇
"
enhance,"vt. 提高, 加强, 增加"
concentration,"n. 集中, 专心
"
agility,"n. 敏捷, 灵活, 机敏"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
demonstrate,"vt. 示范, 证明
vi. 示威"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immune system, 免疫系统
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
enthusiasm,"n. 巨大的热情, 热心"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
clench,"n. 牢牢抓住, 钉紧, 敲弯钉尖
vt. 紧握, 牢牢地抓住, 确定, 敲弯
vi. 握紧, 钉牢"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
sandal,"n. 凉鞋, 拖鞋, 檀香木
vt. 穿以便鞋"
variation,"n. 变更, 变化, 变种, 变奏
"
gravel,"n. 砂砾, 碎石
"
uphill,"a. 上坡的, 向上的
adv. 往上坡, 向上地"
cobblestones,"n. 圆石, 鹅卵石( cobblestone的复数形式 )"
acupressure,[医] 针压法
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
pedometer,"n. 步数计, 步程计
"
measurement,"n. 尺寸, 度量, 度量单位
"
motivation,"n. 动机, 刺激, 推动
"
far-reaching,adj. 影响深远的; 有广泛影响的
bullet,"n. 子弹
"
magic bullet,n. [医]魔术弹; 妙招; 灵丹妙药
destructive,"a. 毁灭性的, 破坏的, 有害的
"
lose weight,体重减轻
all of a sudden,突然
build up,"树立, 增进, 增大, 堵塞
"
come and go,来来往往
go back to doing sth.,无
fit into,适合
without a second thought,"na. 不假思索；想都没想；立即
"
rarely,"adv. 很少地, 罕有地"
cope,"vi. 竞争, 应付
n. 长袍"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
sauna,n. 桑拿浴
inhabitant,"n. 居民, 居住者
"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
essence,"n. 实质, 本质, 香精
"
chimney,"n. 烟囱, 灯罩
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
toxin,"n. 毒素
"
Finnish,"n. 芬兰语
a. 芬兰的, 芬兰人的, 芬兰语的"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
