absence,"n. 缺席, 缺乏, 没有
"
sealer,
seasonal,"a. 季节的, 依照季节的, 周期性的
"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
seasonable,"a. 适合于季节的, 合于时宜的, 应时的
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
sediment,"n. 沉淀物, 沉积
"
sedimentation,"n. 沉淀, 沉积
"
seminar,"n. 研究班, 专题讨论会
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
seniority,"n. 长辈, 老资格
"
sensation,"n. 感觉, 轰动
"
sensationalism,"n. 故意使用的煽情手段, 耸人听闻的题材, 耸人听闻的手法, 危言耸听, 哗众取宠"
sensational,"a. 使人感动的, 非常好的"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
sensitize,"vt. 使敏感, 使具有感光性
vi. 变得敏感"
sensitivity,"n. 敏感, 灵敏度
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
sequential,"a. 继续的, 后果的
"
session,"n. 期间, 开庭期, 会议, 学期
"
settler,"n. 移民者, 解决者, 结算员
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
shallowly,adv. 浅浅地; 不深地; 肤浅地; 浅薄地
shallowness,n. 浅；肤浅
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
sheltered,"a. 受庇护的, 受保护的"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
shrinkage,"n. 收缩, 收缩量, 减低
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
silence,"n. 沉默, 无声, 静寂, 湮没, 无声息
vt. 使缄默
interj. 安静"
similarity,"n. 类似, 类似处
"
similar,"a. 相似的, 类似的
n. 相似的东西"
similarly,"adv. 相像地, 类似于"
situated,"a. 位于...的, 坐落在...的, 处于某种境地的
"
situate,"vt. 使位于, 使处于"
situation,"n. 情形, 境遇, 位置
"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
skeletal,"a. 骨骼的, 框架的
"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
sketchy,"a. 概略的, 草草完成的"
sketchbook,"n. 写生簿, 素描簿, 短文集, 随笔集"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
sophisticated,"a. 复杂的, 久经世故的
"
sophistication,"n. 诡辩, 老于世故, 复杂(性)
"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
species,"n. 种, 类, 外形
"
specimen,"n. 样品, 标本, 试料
"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
spectacularly,adv. 引人注目地；壮观地
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
sponsorship,"n. 发起, 倡议, 主办, 保证人的地位, 教父的地位, 教母的地位"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
sprayer,"n. 喷水车, 喷枪, 喷雾器
"
spray gun,"喷枪
"
statistics,"n. 统计学, 统计资料
"
statistical,"a. 统计的, 统计上的, 统计学的
"
statistician,"n. 统计员, 统计学家
"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
stimulation,"n. 刺激, 激励, 鼓舞
"
stimulus,"n. 刺激, 激励, 刺激品
"
stimulating,"a. 刺激的, 有刺激性的"
stimulant,"a. 兴奋性的, 激励的, 鼓舞的
n. 兴奋剂, 酒精饮料"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
strategy,"n. 战略, 策略
"
strategic,"a. 战略的, 战略上的
"
strategist,n. 战略家
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
stretcher,"n. 担架, 延伸器
"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
stringy,"a. 线, 绳的, 纤维的, 粘性的"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
stripper,"n. 剥...的人, 刮毛器, 折卸器, 剥皮器, 露天矿矿工, 低产井, 枯竭井
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
subsequent,"a. 后来的, 接下去的
"
subsequently,"adv. 后来, 随后"
subsidy,"n. 补助金, 津贴
"
subsidize,"vt. 补助, 资助, 贿赂
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
substantially,"adv. 实质上, 本质上, 大体上"
substantiate,"vt. 使实体化, 证实
"
substantive,"a. 表示实在的, 有实质的, 独立存在的, 大量的, 重大的, 坚实的, 名词的
n. 名词性实词, 名词"
suburb,"n. 市郊住宅区, 郊区, 边缘"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
summarize,"v. 概述, 总结"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
supplementary,"a. 补足的, 补充的, 追加的
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
talent,"n. 天才, 才能, 有才干的人, 天资"
talented,"a. 天资高的, 有才能的"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
temperance,"n. 节欲, 戒酒, 禁酒, 节制
"
temperately,adv. 适度地；有节制地
temporal,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
temporarily,"adv. 暂时, 一时, 临时"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
therapy,"n. 治疗
"
therapist,"n. 治疗学家
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
thriving,"a. 兴旺的, 旺盛的, 繁荣的"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
trait,"n. 特征, 特性, 一笔, 少许"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
transformation,"n. 变形, 变质, 变化, 改革, 变换
"
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
trekker, 背包客
tremendous,"a. 巨大的, 非常的, 可怕的"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
uncertainly,adv. 没把握地；犹豫地；不确定地
underlie,"vt. 位于...之下, 成为...的基础"
underlying,"a. 在下面的
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
undertaker,"n. 承担者, 承办人, 企业家, 承办丧葬者, 殡仪员
"
undertaking,"n. 事业, 企业, 保证
"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
validity,"n. 有效性, 正确性
"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
vanished,"n. 销声匿迹, 无影无踪（美国电视连续剧剧名）"
vegetation,"n. 植物
"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
vegetative,"a. 植物的, 蔬菜的, 生长的, 无性繁殖的, 植物似的, 生活呆板单调的, 生长性的
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
venue,"n. 犯罪地点, 审判地, 发生地点"
vertical,"a. 垂直的, 直立的
"
vertically,adv. 垂直地
vessel,"n. 船, 容器, 脉管
"
via,"prep. 经由, 经过, 通过
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
visibility,"n. 可见性, 能见度, 能见距离
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
voluntarily,"adv. 自愿地, 以自由意志"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
vulnerability,"n. 易受伤, 易受责难, 易受伤部位
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
wipe off,"v. 揩揩
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
wipe up,"v. 擦干净
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
adversely,"adv. 不利, 有害, 相反, 逆, 敌对, 逆向"
ailment,"n. 病痛, 疾病
"
ailing,"a. 生病的
"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
alcohol,"n. 酒精, 酒
"
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
alienate,"vt. 使疏远, 离间, 转让
"
alienation,"n. 疏远, 离间, 转让
"
amass,"vt. 积聚, 堆积"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
anxiously,"adv. 忧虑地, 不安地"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approval,"n. 赞成, 批准
"
approved,a. 被认可的；经过检验的
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
authentic,"a. 可靠的, 可信的, 真正的
"
authenticity,"n. 可靠性, 真实性
"
authenticate,"vt. 证明可信, 证实为真, 使具法律效力
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automate,"vt.vi. (使)自动化
"
automatically,"adv. 自动地, 机械地"
autonomy,"n. 自治, 自治权
"
autonomous,"a. 自治的
"
beforehand,adv. 预先
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
captivity,"n. 囚禁, 被关
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
ceremony,"n. 典礼, 仪式, 礼节
"
ceremonial,"n. 仪式
a. 正式的"
circular,"a. 圆形的, 循环的, 间接的
"
circulate,"v. (使)流通, (使)循环, (使)传播"
circulation,"n. 流通, 循环, 发行量
"
clarity,"n. 清楚, 明晰
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
classification,"n. 分类, 分级
"
classify,"vt. 分类, 归类, 分等
"
clientele,"n. 诉讼委托人, 客户
"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
committed,"a. 献身于某种事业的
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
concretely,adv. 具体地
concreteness, 具体性
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
confidentiality,
confirmation,"n. 证实, 证明, 批准, 确认
"
confirmed,"a. 被证实的, 根深蒂固的, 坚定的
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confrontation,n. 对抗；对质；面对
consensus,"n. 合意, 一致, 同感
"
consolidation,"n. 巩固, 团结, 合并, 加强
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
constitute,"vt. 构成, 组成, 任命
"
constitution,"n. 构成, 宪法, 体格
"
convention,"n. 大会, 协定, 惯例, 约定
"
conventional,"a. 传统的, 习惯的, 约定的
"
correspond,"vi. 符合, 通信, 相当
"
correspondence,"n. 相符, 通信, 信件
"
corresponding,"a. 相当的, 一致的, 通信的
"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
craftsman,"n. 工匠, 技工, 手艺人"
criterion,"n. 标准, 准则, 规范
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
curious,"a. 好奇的, 求知的, 古怪的"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
deliberately,adv. 故意地
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
deliberation,"n. 熟虑, 熟思, 审议
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
digestible,"a. 可消化的, 易消化的, 可摘要的
"
digestion,"n. 消化力, 领悟
"
digestive,"a. 消化的, 助消化的
n. 助消化药"
discrepancy,"n. 不符合, 差异, 不相符之处
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
dismissal,"n. 免职, 解雇
"
dismissive,a. 轻视的
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
dispenser,"n. 分配者, 药剂师, 配药员, 分配器
"
displace,"vt. 移置, 替换, 转移"
displacement,"n. 换置, 移位, 移动, 取代
"
district,"n. 区域, 地方
"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
drainage,"n. 排水
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
duplication,"n. 副本, 复制
"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
emission,"n. 发射, 射出, 发行
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
enclosure,"n. 附件, 围墙, 围绕
"
enclosed,"a. 被附上的
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
erection,"n. 直立, 竖起, 建筑物
"
evident,"a. 显然的, 明显的"
evidence,"n. 根据, 证据, 迹象
"
evidently,"adv. 明显地, 根据现有证据来看"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessive,"a. 过度的, 过多的, 极端的
"
exaggerate,"v. 夸大, 夸张"
exaggerated,"a. 夸大的, 夸张的, 言过其实的"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
exert,"vt. 发挥, 运用, 施以影响
"
exertion,"n. 努力, 发挥, 运用
"
explicit,"a. 详述的, 清楚的, 直言的"
explicitness,n. 直言不讳；明确性
explicitly,adv. 明确地；明白地
faith,"n. 信心, 信任, 忠实, 保证
"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
fantasy,"n. 幻想, 想象的产物
"
fantasize,"vt.vi. 想象, 出现幻想, 产生幻想, 使幻想化, 幻想"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
fertility,"n. 肥沃, 丰饶, 生产力
"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
fertiliser,[化] 肥料
fertilize,"vt. 施肥, 使丰饶, 使受精"
fertilise,"vt. 使肥沃, 施肥于, 使多产, 使丰富, 使受精"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
fluidity,"n. 流动性, 流质, 流状
"
fragment,"n. 碎片, 破片, 片段
"
fragmentary,"a. 碎片的, 碎屑的, 片断的, 断片的, 碎块的, 不完全的, 不连续的, 不完整的"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
genre,"n. 类型, 流派"
generic,"a. 属类的, 一般的
"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
govern,"v. 统治, 支配, 管理"
government,"n. 政府, 内阁
"
governmental,"a. 政治的, 统治上的, 政府的
"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
grandeur,"n. 庄严, 伟大, 壮丽"
handout,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
hardship,"n. 艰难, 辛苦, 苦难
"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
humpback,"n. 驼背(者), 细鳞大马哈鱼
"
identification,"n. 识别, 身份证明, 认同
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identifiable,"a. 可辨认的
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
imagery,"n. 肖像, 比喻, 雕刻
"
immense,"a. 极广大的, 无边的, 非常好的"
immensity,"n. 广大, 无边, 巨物"
immensely,"adv. 无限地, 广大地, 庞大地"
impair,"vt. 损害, 减少, 削弱
"
inevitable,"a. 不可避免的, 必然的
"
inevitably,adv. 不可避免地
informative,"a. 提供消息的, 见闻广博的"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
informed,a. 见多识广的
inspection,"n. 检验, 检查, 视察
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
inspector,"n. 检查员, 巡视员
"
instinct,"n. 本能, 直觉
a. 充满着的"
instinctive,"a. 本能的, 天生的, 直觉的
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
intention,"n. 意图, 目的, 含义
"
intend,"vt. 计划, 打算, 意思是
"
intentional,"a. 故意的, 与目的有关的
"
intersection,"n. 交集, 十字路口, 交叉点
"
kit,"n. 装备, 工具箱, 成套工具
"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
limitation,"n. 限制, 缺陷, 限额
"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
logo,"n. 连合活字, 商标, 徽标
"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
loosely,"adv. 松弛地, 宽松地, 不紧"
marvellous,"a. 奇异的, 神奇的, 奇迹般的, 惊人的, 不可思议的, 绝妙的, 妙极的"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
mitigate,"vt. 温和, 缓和, 减轻
"
mitigation,"n. 缓和, 减轻
"
moisture,"n. 湿气, 水分, 降雨
"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
moisten,"vt. 弄湿
vi. 变潮湿"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
nourish,"vt. 滋养, 使健壮, 怀有"
nourishing,"a. 有营养的, 滋养多的"
nourishment,"n. 滋养品, 养料, 营养
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obligatory,"a. 义务的, 必须的, 强制性的
"
officially,"adv. 作为公务员, 职务上, 官方地"
office,"n. 办公室, 部, 公职, 职责
"
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
opt,vi. 选择
option,"n. 选择权, 挑选, 选项
"
optional,"a. 可选择的, 随意的
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
origin,"n. 起源, 起因, 出身, 开端
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
originality,"n. 创意, 新奇, 独创能力, 原始"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
overview,"n. 概述, 概观, 总的看法
"
passport,"n. 护照, 手段, 通行证
"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
patently,"adv. 明显地, 公然地"
payable,"a. 可付的, 到期的, 应付的, 有利益的
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
persuasion,"n. 说服, 信念, 派别, 说服力"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
photography,"n. 摄影, 摄影术
"
photographic,"a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
photographer,"n. 摄影师, 摄影者"
pitched,a. 斜的；人字形的
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
plantation,"n. 种植园, 大农场, 植树造林, 新开垦地
"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
prefrontal,"a. 前额的
"
prehistoric,"a. 历史以前的, 史前的"
preservation,"n. 保存, 保藏, 保护
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
preserver,"n. 保护者, 保存者, 防腐物, 防护物
"
preservative,"a. 有助于保存的, 有保存力的
n. 预防药, 防腐剂"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
profoundly,"adv. 深深地, 深切地"
prolong,"vt. 延长, 拖延, 拖长
"
prolonged,"a. 延续的, 长时间的"
prolongation,"n. 延伸, 延长, 延长部分
"
punishment,"n. 处罚, 刑罚, 惩罚
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
recruitment,"n. 新兵征召
"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
refundable,"a. 可偿还的, 可归还的"
relevance,n. 中肯；关联；相关性
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
reluctant,"a. 不情愿的, 勉强的
"
reluctance,"n. 不情愿, 勉强
"
