appropriate,"a. 适当的
"
panacea,"n. 万能药, 灵丹妙药
"
sinew,"n. 肌肉, 精力, 体力, 力量的源泉, 腱
vt. 赋予力量, 加强"
euphemism,"n. 委婉说法, 委婉语"
decease,"n. 死亡
vi. 死亡"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
holocaust,"n. 大屠杀, 大火灾, 毁灭, 大规模烧杀"
shroud,"n. 尸衣, 寿衣, 覆盖物, (船的)横桅索
vt. 包以尸衣, 遮蔽, 隐藏, 覆盖"
entwine,"v. (使)缠住, (使)盘绕, (使)纠缠"
monotone,"a. 单调的
n. 单调"
monotony,"n. 单调, 缺乏变化"
drone,"n. 雄蜂, 懒惰者, 嗡嗡的声音, 无人驾驶飞机(或船)
vi. 嗡嗡作声, 混日子
vt. 低沉地说"
legendary,"a. 传说的, 传奇中说的, 传奇般的, 传说中的, 著名的"
hearsay,"n. 传闻, 谣言"
icon,"n. 画像, 肖像, 偶像, 图标, 像标
"
logo,"n. 连合活字, 商标, 徽标
"
notation,"n. 记号, 符号表示法, 注释
"
advent,"n. 来到, 来临"
upcoming,"a. 即将来临的, 即将出现的"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
deem,"v. 认为, 相信"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
impasse,"n. 难局, 僵局, 死路, 死胡同"
beguile,vt. 诱骗
captivate,"vt. 迷住, 迷惑"
enthral,"vt. 迷住, 奴役, 使做奴隶, 吸引住"
enthrall,"vt. 迷惑, 奴役, 迷住"
gravitate,"vi. 被重力吸引, 沉下, 下降
vt. 使受重力吸引"
artifice,"n. 诡计, 技巧, 巧妙"
fuddle,"vt. 灌醉, 使烂醉, 使迷糊
vi. 狂饮
n. 烂醉"
hallucinate,vt. 使产生幻觉
belie,"vt. 掩饰, 与...不符, 使失望"
mesmerise,"vt. 对...施催眠术, 使目瞪口呆, 使入迷"
mesmerize,"vt. 施催眠术, 迷住, 迷惑
"
infatuated,"a. 迷恋着的, 昏头昏脑的"
disenchant,vt. 使清醒
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
trance,"n. 昏睡状态, 恍惚, 着迷
vt. 使恍惚, 使发呆"
giddy,"a. 眼花的, 头晕的
v. (使)眼花, (使)眩晕"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
anesthesia,"n. 麻醉, 麻木
"
anaesthesia,"n. 麻木, 麻醉
"
blackout,"n. 灯火管制, 暂时的意识丧失, 灯火熄灭, 删除
"
sedative,"a. 使安静的, 使镇静的
n. 镇静剂"
hibernate,"vi. 过冬, 冬眠, 避寒"
dormant,"a. 睡眠状态的, 静止的
"
hangover,"n. 宿醉, 残留物, 遗物
"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
drowse,"n. 瞌睡
vi. 打瞌睡
vt. 使瞌睡"
cerebral,"a. 脑的, 大脑的
"
muse,"n. 沉思, 冥想
v. 沉思, 冥想, 若有所思地凝望或说"
brainwash,"n. 洗脑
vt. 对人洗脑"
ingrained,"a. 根深蒂固的, 彻底的, 深染的"
inveterate,"a. 根深的, 成癖的, 积习的
"
wean,"vt. 使断奶, 使丢弃, 使断念
n. 小儿"
lucid,"a. 明晰的, 清澈的, 透明的, 透彻的
"
ambivalent,"a. 矛盾的, 模棱两可的
"
faraway,"a. 遥远的, 恍惚的, 出神的"
rapt,"a. 全神贯注的, 入迷的, 出神的
rap的过去式和过去分词"
preoccupied,"a. 被先占的, 入神的, 一心一意的"
immerse,"vt. 沉浸, 使陷入
"
engross,"vt. 用大字体书写, 独占(市场), 使全神贯注
"
centralise,"vt. 形成中心, 把统治权集中于中央, 把...集中起来, 成为...的中心, 集中"
centralize,"vt. 集聚, 集中, 施行中央集权
vi. 集中"
heed,"n. 注意, 留心
v. 注意, 留心"
revel,"n. 作乐, 狂欢
vi. 狂欢作乐, 陶醉, 着迷
vt. 耗费"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
wallow,"vi. 打滚, 沉迷, 颠簸
n. 打滚, 泥坑, 堕落"
frolic,"n. 嬉戏
vi. 嬉戏
a. 嬉戏的, 欢乐的"
fete,"n. 庆祝, 祭祀, 节日
vt. 宴请, 招待"
festive,"a. 庆祝的, 喜庆的, 欢乐的"
jubilant,"a. 欢呼的, 喜洋洋的"
exult,"vi. 非常高兴, 欢欣"
whoop,"n. 大叫, 呐喊, 一点点
vi. 叫喊, 鸣叫
vt. 高声说, 唤起"
partake,"vt. 参与, 分担, 分享
vi. 分享, 参与, 带有"
communion,"n. 共享, 交流, 恳谈, 宗教教派"
aggrieved,"a. 受委屈的, 权利受到不法侵害的"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
woe,"n. 悲哀, 悲痛, 苦痛"
bemoan,"vt. 哀悼, 惋惜, 认为遗憾, 哀叹"
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
snivel,"vi. 流鼻涕, 哭泣
n. 流鼻涕, 哭泣, 假哭"
wail,"n. 恸哭, 哀号, 嚎啕, 呼啸(声)
vi. 恸哭, 呼啸, 悲叹, 哀号, 嚎啕"
bawl,"n. 大叫声
v. 大叫"
remorse,"n. 懊悔, 良心不安, 自责, 同情
"
rue,"n. 懊悔, 后悔, 芸香
v. 后悔, 悲伤, 懊悔"
compunction,"n. 良心的责备, 后悔, 悔恨"
repentance,"n. 后悔, 悔改
"
heartrending,"a. 令人心碎的, 悲惨的"
heartwarming,"a. 暖人心房的, 感人的"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
downhearted,"a. 垂头丧气的, 无精打采的, 沮丧的"
hearten,"vt. 使振作, 激励
vi. 振作"
demoralise,"vt. 使士气低落, 使陷入混乱, 使丧失功能, 使道德败坏, 使丧失自尊"
demoralize,"vt. 使道德败坏, 使堕落, 挫折锐气"
vitalize,"vt. 赋予生命, 给予活力, 使有生气
"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
liven,"vt. 使高兴, 使快活
vi. 快活起来"
enliven,"vt. 使活泼, 使生动"
impel,"vt. 推动, 激励, 驱使, 迫使"
prod,"n. 刺针, 刺棒, 激励话, 提醒物
vt. 戳, 刺, 刺激
vi. 戳, 刺"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
exhort,"v. 劝诫, 忠告"
canvass,"n. 细查, 讨论, 游说
vt. 彻底检查, 向...拉票或拉生意, 讨论
vi. 游说"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
dissuade,"vt. 劝阻
"
grandiose,"a. 宏伟的, 壮丽的, 夸张的
"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
resplendent,"a. 辉煌的, 灿烂的"
august,"n. 八月
a. 威严的, 令人敬畏的"
regal,"a. 帝王的, 适于帝王的"
tawdry,"a. 廉价而俗丽的
n. 廉价而俗丽之物"
sumptuous,"a. 奢侈的, 华丽的"
deluxe,"a. 高级的, 豪华的
adv. 豪华地"
chic,"n. 漂亮, 别致的款式
a. 漂亮的, 别致的"
funky,"a. 畏缩的, 怯懦的, 恶臭的"
fad,"n. 时尚
"
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
banal,"a. 平凡的, 陈腐的"
humdrum,"a. 平凡的, 单调的, 令人厌烦的
n. 平凡, 单调, 无聊
vi. 单调令味地进行"
interminable,"a. 无限的, 冗长的"
archaic,"a. 古体的, 过时的, 古老的, 古代的
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
defunct,"a. 死的, 不能使用的
n. 死者"
dilapidated,"a. 破坏的；荒废的, 要塌似的"
threadbare,"a. 衣服磨薄了的, 穿旧了的, 衣着褴褛的, 俗套的, 乏味的"
frivolous,"a. 轻佻的, 妄动的, 琐碎的
"
flippant,"a. 轻率的, 没礼貌的, 嘴碎的"
flighty,"a. 轻浮的, 轻狂的, 心情浮动的"
ostentatious,"a. 装饰表面的, 铺张的, 夸示的, 华美的, 显眼的"
pedantic,"a. 卖弄学问的, 学究式的, 假装学者的"
flaunt,"n. 炫耀, 飘扬
v. 炫耀, 飘扬"
sparingly,"adv. 节约地, 爱惜地, 吝惜地, 少量地, 贫乏地"
dissociate,"v. 把...分开, 分离, 游离, 分裂"
disunite,"vt. 使分离, 使不和"
bisect,"v. 分成两部份, 对分"
dole,"n. 救济品, 失业救济金
vt. 发放救济"
muster,"n. 召集, 集合, 检阅, 清单, 花名册, 样品
vt. 召集, 集合, 应召
vi. 集合, 集中"
syndicate,"n. 企业联合, 辛迪加, 财团
v. 联合成辛迪加"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
conflate,vt. 合并；异文合并
amalgamate,"v. 使汞齐化, 合并"
ensemble,"n. 全体, 合唱曲, (女人的)全套服装
"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
bewitch,"vt. 施魔法于, 蛊惑, 使着迷"
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
exorcise,"vt. 驱邪, 除怪"
exorcize,"vt. 拔除, 除怪, 驱邪, 从...驱除妖魔, (用咒语)驱除(妖魔)"
demon,n. 魔鬼
crook,"n. 钩, 弯曲部分, 坏蛋
vt. 使弯曲, 诈骗
vi. 弯曲"
dandy,"n. 花花公子
a. 服装浮华的, 极好的"
sniffle,"vi. 吸着鼻子说话, 抽鼻涕
n. 抽鼻子"
nuzzle,"v. 将鼻插入, 用鼻掘, 蜷卧"
spew,"vi. 呕吐, 喷涌
vt. 呕出, 喷
n. 呕吐物, 喷涌物"
gush,"n. 涌出, 滔滔不绝地讲话
v. 涌出, 迸出, 滔滔不绝的讲话"
squirt,"v. 喷出, 溅迸, 注射
n. 水枪, 注射器, 喷出"
spout,"n. 喷口, 从喷口流出的水, 水落管, 水龙卷
vt. 喷出, 喷射, 滔滔不绝说出, 典押
vi. 喷射, 高谈阔论"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
infiltrate,"vt. 使浸润, 使潜入, 使渗入
vi. 渗入
n. 渗透物"
impregnate,"vt. 使怀孕, 使肥沃, 使充满, 灌输
a. 怀孕的, 充满的"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
simmer,"vt. 煨
vi. 炖, 内心充满
n. 即将沸腾的状态, 即将发作"
inundate,"vt. 浸水, 泛滥, 淹没, 使充满"
spatter,"vt. 溅, 中伤
vi. 飞溅
n. 溅, 少量"
slop,"n. 外衣, 工作服, 泥浆, 污水, 过分热情, 口若悬河
vi. 溅出, 踏着泥泞前进
vt. 使溢出, 使溅出, 弄脏"
seep,"vi. 渗出, 渗流, 漏
n. 小泉, 水陆两用吉普车"
dribble,"vi. 流口水, 滴下
vt. 使滴下, 运球
n. 点滴, 口水, 少量"
inflow,"n. 流入, 流入物"
influx,"n. 流入, 河口, 汇集
"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
imbue,"vt. 使感染, 灌输, 使浸透"
implant,"vt. 深植, 灌输, 嵌入
n. 植入物, 植入管"
instil,"vt. 滴注, 逐渐灌输, 不断灌输
"
instill,"vt. 滴注, 慢慢地灌输"
inculcate,"vt. 反复灌输, 谆谆教诲"
inoculate,"vt. 接种, 嫁接
"
abduct,"vt. 诱拐, 绑架, 使外展
"
seduce,"vt. 唆使, 怂恿, 引诱, 诱奸
"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
entice,"vt. 诱骗, 引诱, 怂恿"
instigate,"vt. 教唆, 怂恿, 煽动
"
elicit,"vt. 引出, 推导出, 引起"
snare,"n. 陷阱, 诱惑, 圈套
vt. 以陷阱捕获, 诱惑"
shanghai,"n. 上海, 浦东鸡
a. 上海的, 上海时行的, 上海风格的
vt. 拐骗, 胁迫"
shortchange,"vt. 少找零钱, 欺骗"
defraud,"vt. 欺骗
"
decoy,"n. 圈套, 诱骗
vt. 诱骗"
cajole,"vt. 以甜言蜜语哄骗, 勾引"
mope,"vi. 忧郁, 闲荡
vt. 使忧郁
n. 忧郁的人"
forlorn,"a. 孤独的, 悲惨的, 凄凉的"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
dire,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
abominable,"a. 讨厌的, 令人憎恶的"
allergy,"n. 变应性, 反感, 厌恶
"
ailing,"a. 生病的
"
morbid,"a. 致病的, 病态的, 疾病的, 可怕的
"
housebound,a. 闭门不出的
moribund,"a. 垂死的
n. 垂死的人"
avid,"a. 渴望的, 急切的, 劲头十足的"
desirous,"a. 想要的, 想望的, 渴望的"
expectant,"n. 预期者, 期待者, 候选人
a. 预期的, 期待的"
crave,"v. 渴望, 热望, 恳求"
hanker,"vi. 渴望, 热切希望"
itch,"n. 痒, 渴望, 疥疮
vi. 发痒, 渴望"
ardent,"a. 热心的, 激动的, 燃烧般的
"
fervent,"a. 热的, 炎热的, 热心的"
zest,"n. 兴趣, 热情, 风味, 热心
vt. 给...调味"
mania,"n. 狂躁, 热衷, 狂热
"
sultry,"a. 闷热的, 粗暴的, 放荡的, 激烈的"
frenetic,"a. 发狂的, 狂热的
n. 发狂者"
rabid,"a. 猛烈的, 热烈的, 急进的, 狂怒的, 偏激的, 疯狂的
"
torrid,"a. 晒热的, 酷热的, 炎热的"
lyric,"n. 抒情诗, 歌词
a. 抒情的"
empathy,"n. 移情作用, 共鸣
"
apathy,"n. 无感情, 无兴趣, 冷漠
"
snub,"n. 冷落, 怠慢, 斥责, 制止
a. 制动用的, 短而扁的
vt. 冷落, 怠慢, 制止, 使...停住, 掐灭"
lukewarm,"a. 微温的, 不热的, 不热情的
"
inadvertent,"a. 漫不经心的, 非故意的"
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
estrange,"vt. 使疏远, 离间, 使离开"
divisive,"a. 区分的, 制造分裂的, 造成不和的"
concord,"n. 一致, 和睦, 协定"
rapport,"n. 关系, 融洽, 一致
"
amicable,"a. 友善的, 友好的
"
amiable,"a. 亲切的, 和蔼可亲的
"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
nicely,"adv. 漂亮地, 谨慎地, 恰好地"
fraternal,"a. 兄弟的, 兄弟似的, 友爱的"
kinship,"n. 亲属关系
"
courtship,"n. 求爱, 求婚, 求爱时期"
kindred,"n. 家族, 相似, 亲戚关系
a. 同族的, 同类的, 血缘的"
henpecked,"a. 怕老婆的, 惧内的, 老婆当家的"
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
filial,"a. 子女的, 当做子女的, 孝顺的
"
coddle,"vt. 娇养, 溺爱, 用文火煮(蛋)"
dote,"vi. 昏聩, 溺爱"
pamper,"vt. 放纵, 使吃饱, 使过量"
cuddle,"n. 搂抱, 拥抱
vt. 抚抱, 抱着睡, 拥抱
vi. 依偎, 依偎着躺在一起"
enfold,"vt. 包进, 拥抱"
nestle,"vi. 舒适地坐定, 挨靠, 偎依
vt. 抱, 安置"
fondle,"vt. 爱, 爱抚, 溺爱
vi. 爱抚"
satiate,"vt. 使饱足, 使厌腻, 充分满足
a. 饱足的, 厌腻的"
insatiable,"a. 不知足的, 贪求无厌的
"
antipathy,"n. 厌恶, 反感
"
detest,"vt. 厌恶, 憎恨"
loathe,"vt. 厌恶, 憎恶"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
repugnant,"a. 讨厌的, 不愉快的, 厌恶的, 不一致的, 矛盾的, 反对的
"
solace,"n. 安慰, 安慰之物
vt. 安慰, 抚慰, 给与安慰, 使轻松"
mollify,"vt. 平息, 缓和, 减轻, 使变软"
conciliate,"vt. 安抚, 说服, 博得...的支持, 调和
"
pacify,"vt. 使平静, 安慰, 绥靖, 使服从"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
entrust,"vt. 信托, 交托, 委托
"
confide,"vt. 吐露, 委托
vi. 信赖"
confidant,"n. 心腹朋友, 知己"
impart,"vt. 给予, 传授, 告知"
divulge,"vt. 泄露, 透露"
stealth,"n. 秘密行动, 秘密, 鬼祟
"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
clandestine,"a. 偷偷摸摸的
"
underhand,"a. 秘密的, 低手的, 偷偷摸摸的
"
ulterior,"a. 隐秘不明的, 在特定界限以外的, 将来的, 隐蔽的
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
tacit,"a. 沉默寡言的, 不苟言笑的, 缄默的"
palpable,"a. 可感知的, 明显的, 触摸得到的
"
stricture,"n. 狭窄, 指责, 束缚
"
censure,"n. 责难
vt. 非难, 指责"
reprove,"vt. 责备, 责骂, 非难
"
slag,"n. 熔渣, 矿渣, 无足轻重的人
vt. 使变成熔渣
vi. 变熔渣"
heckle,"vt. 诘问, 以麻梳梳理, 激烈质问
n. 针排"
cross-examine, 反诘
interrogate,"vt. 质问, 讯问, 审问
vi. 质问, 讯问"
inquisition,"n. 调查, 探究, 审理, 宗教裁判所
"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
finicky,"a. 过分注意的, 过分周到的, 过分讲究的"
censorious,"a. 爱批判的, 挑剔的"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
austere,"a. 严峻的, 禁欲的, 简朴的"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
punitive,"a. 刑罚的, 惩罚性的
"
pinpoint,"n. 极小之物, 针尖, 立锥之地, 精确位置
vt. 精确地找到, 准确地轰炸, 刺穿, 准确描述, 使突出, 强调
a. 针尖的, 极微的, 精确的, 详尽的, 精确定位的"
din,"n. 喧嚣
v. 絮絮不休地说, 喧闹"
iterate,"vt. 反复说, 重复
"
nag,"n. 老马, 驽马, 劣等竞赛马, 唠叨
v. 不断地唠叨, 恼人"
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
pester,"vt. 不断打扰, 纠缠"
badger,"n. 獾, 獾皮毛
vt. 纠缠"
quizzical,"a. 戏弄的, 探询的, 古怪的"
harp,"n. 竖琴
vi. 弹奏竖琴, 不停地说"
gripe,"n. 紧握, 柄, 把手, 控制
vt. 抓紧, 抱住, 使肠痛, 激怒
vi. 肠绞痛, 抱怨"
querulous,"a. 抱怨的, 爱发牢骚的, 易怒的"
repine,"vi. 抱怨, 发牢骚, 向往"
begrudge,"vt. 嫉妒, 羡慕, 勉强允给, 吝惜"
reprimand,"n. 谴责, 惩戒, 非难
vt. 谴责, 惩戒, 严责"
harangue,"n. 演讲, 热烈讨论, 长篇大论, 夸夸其谈
vt. 向...夸夸其谈地讲话"
tirade,n. 激烈的长篇演说
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
momentum,"n. 动力, 动量
"
momentous,"a. 重大的, 重要的"
pivotal,"a. 枢轴的, 关键的, 起中心作用的"
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
immaterial,"a. 非物质的, 无形的, 精神的
"
menial,"a. 适合仆人做的, 卑微的
n. 仆人"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
allay,"vt. 使平静, 使缓和"
mitigate,"vt. 温和, 缓和, 减轻
"
alleviate,"vt. 减轻, 使缓和"
deaden,"vt. 使减弱, 使麻木
vi. 减弱"
buffer,"n. 缓冲器, 缓冲区
vt. 缓冲
"
decelerate,v. (使)减速
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
apace,"adv. 快速地, 急速地"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
flit,"n. 掠过, 迁徙
vi. 掠过, 迁徙"
whizz,"n. 飕飕声, 精明的人, 专家
v. (使)飕飕作声"
budge,"vi. 微微移动
vt. 推动
n. 羔羊皮"
velocity,"n. 速度, 迅速
"
levity,"n. 轻率, 轻浮, 不稳定"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
accrue,"vi. 自然增加, 产生
"
upsurge,"vi. 高涨, 涌起
n. 增长, 高潮"
quadruple,"a. 四倍的, 四重的, 四部分组成的
n. 四倍
vt. 使成四倍
vi. 成为四倍"
thud,"n. 砰的一声, 重击
vi. 砰的一声掉下, 嘭的一声"
flop,"n. 砰然落下, 拍击声, 失败
vi. 笨重地摔, 猛落
vt. 笨拙地抛下
adv. 噗通"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
augment,"v. 增加, 增长
"
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
uplift,"n. 抬起, 道德的向上, 精神的高涨
vt. 提高, 抬起
vi. 上升"
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
emboss,"vt. 浮雕, 加以浮饰, 装饰
"
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
sunken,"a. 沉没的, 下凹的
sink的过去分词"
dent,"n. 凹痕
vt. 使凹下, 削弱
vi. 塌陷"
indent,"n. 契约, 订货单, 凹痕
vi. 切割成锯齿状
vt. 缩排, 定货, 印凹痕
"
hump,"n. 驼背, 圆形隆起物, 鸵峰
vi. 隆起, 急速行进, 努力
vt. 使弓起, 使烦恼, 使努力干"
vault,"n. 拱顶, 窖, 地下室, 撑竿跳, 穹窿
vt. 做成圆拱形, 撑竿跳过
vi. 成穹状弯曲, 跳跃"
zenith,n. 顶点；最高点；顶峰
climactic,"a. 顶点的, 高潮的"
precipitous,"a. 陡峭的, 轻率的"
append,"vt. 附加, 增补, 盖章
"
drape,"n. 布帘, 褶皱
vt. 用布帘覆盖, 披上
vi. 成褶皱状"
dangle,"vi. 摇晃地悬挂着, 追求
vt. 使摇晃地悬挂
n. 悬垂"
sag,"vi. 下垂, 倾斜, 萎靡, 萧条, 变得乏味
vt. 使下垂
n. 下垂, 倾斜, 萧条
"
plummet,"n. 测深锤, 铅坠
vi. 垂直落下"
plumb,"n. 铅锤, 垂直
a. 垂直的
vt. 使垂直, 探测
vi. 成垂直"
relent,"vi. 变宽厚, 变温和, 动怜悯之心"
remit,"vt. 宽恕, 赦免, 免除, 汇出, 缓解, 减轻, 把...提交, 使恢复原状, 推迟
vi. 缓解, 汇款
n. 移交的事物"
remission,"n. 宽恕, 豁免, 免罪, 缓和, 减轻
"
unremitting,"a. 不懈的, 不断的, 坚忍的, 持续的
"
sufferance,"n. 容许, 默认, 默许
"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
magnanimous,"a. 宽宏大量的, 有雅量的
"
philanthropic,"a. 慈善(事业)的, 博爱的, 乐善好施的
"
titanic,"a. 四价钛的
"
sizeable,"a. 相当大的, 可观的"
measurable,"a. 可测量的, 不久的, 重要的"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
mammoth,"n. 猛犸, 庞然大物
a. 猛犸似的, 巨大的"
resounding,"a. 响亮的, 轰动的"
hefty,"a. 重的, 肌肉发达的"
serviceable,"a. 有用的, 耐用的
"
flimsy,"a. 易坏的, 脆弱的, 浅薄的
n. 易损坏的东西(或材料), 薄纸, 描图用薄纸, 薄纸稿纸"
tinny,"a. 锡的, 含锡的, 像锡的"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
meagre,"a. 瘦的, 不毛的, 贫乏的, 贫弱的, 少量的, 力量不够的, 质不高的, 量不足的"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
devoid,"a. 全无的, 缺乏的"
destitute,"a. 穷困的, 缺乏的"
shortfall,"n. 不足, 不足量
"
fecund,"a. 生殖力旺盛的, 多产的, 丰饶的, 肥沃的"
opulent,"a. 富裕的, 豪华的, 奢侈的, 丰富的, 大量的"
suffice,"vi. 足够, 有能力
vt. 满足"
leeway,"n. 风压差, 风压角, 可容许的误差, 余地"
populous,"a. 人口多的, 人口稠密的"
depopulate,v. (使)人口减少
popularise,"vt.vi. 使通俗化, 使受欢迎, 使大众化, 使普及, 宣传, 推广"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
complexion,"n. 肤色, 情况, 局面
"
transfigure,"vt. 使变形, 使改观, 美化"
transmute,"vt. 使变形, 使变质
vi. 变形, 变质"
transpose,"vt. 调换, 颠倒顺序, 移项
vi. 互换位置
"
transfuse,"vt. 输血, 充满
"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
"
transpire,"vt. 使蒸发, 使排出
vi. 蒸发, 散发, 泄露"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
airlift,"n. 空运, 空中补给线, 空运物资
vt. 空运"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
swap,"n. 以货易货
v. 交换, 替换, 交易
"
reciprocate,"vt. 回报, 互换, 交换, 报答, 使往复运动
vi. 往复运动, 回报, 互换, 酬答"
reshuffle,"vt. 重新洗牌, 改组, 撤换
n. 重新洗牌, 改组, 撤换"
reorient,"vt. 使适应, 再调整"
shunt,"vt. 使转轨, 使分流, 回避讨论, 推延
vi. 转向一边, 转轨, 往返
n. 转轨, 分流"
veer,"vi. 转向
vt. 使转向
n. 转向"
swivel,"n. 转环, 旋转轴承, 转椅座架
v. (使)旋转"
twirl,"vt. (使)快速转动, 捻弄
n. 转动, 万能钥匙, 旋转的东西"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
inexorable,"a. 无情的, 冷酷的"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
resurrect,"vi. 复活
vt. 使复活, 复兴, 恢复, 盗掘"
rejuvenate,"vt. 使年轻, 使复原, 使恢复精神
vi. 返老还童, 复原"
reinstate,"vt. 使复原, 使恢复, 使复立"
restitution,"n. 归还, 偿还, 赔偿
"
recoup,"vt. 偿还, 赔偿, 补偿, 扣除
vi. 补偿损失"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
relapse,"n. 回复, 故态复萌, 复发
vi. 故态复萌, 再陷邪道, 再度堕落"
afresh,adv. 重新
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
retrievable,"a. 可取回的, 可恢复的, 可挽回的"
