abscissa,"n. 横坐标
"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
photosynthesis,"n. 光合作用
"
pollen,"n. 花粉
vt. 传授花粉给"
pollinate,vt. 对...授粉
protoplasm,"n. 原生质
"
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
runner,"n. 跑步者, 赛跑者, 送信人, 走私船, 操作者, 滑槽
"
species,"n. 种, 类, 外形
"
spinach,"n. 菠菜, 货币, 胡说八道"
squash,"n. 挤压, 压碎的东西, 南瓜属植物, 拥挤的人群
vt. 压扁, 镇压, 压制
vi. 被压扁, 发溅泼声, 挤入"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
sugarcane,"n. 甘蔗, 糖蔗"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
unicellular,"a. 单细胞的
"
vegetation,"n. 植物
"
alluvial,"a. 冲积的
"
arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
aseismic,"无地震的, 耐震的"
clay,"n. 泥土, 肉体, 黏土
"
delta,"n. 三角洲, 希腊字母的第四个字
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
domain,"n. 领域, 领土, 产业, 范围
"
epicenter,"n. 震中, 中心"
equator,"n. 赤道
"
Eurasian,"n. 欧亚混血儿
a. 欧亚的, 欧亚人的"
geography,"n. 地理学, 地理
"
geology,"n. 地质学, 地质情况"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
latitude,"n. 纬度, 范围
"
leeway,"n. 风压差, 风压角, 可容许的误差, 余地"
limestone,"n. 石灰石
"
longitudinal,"a. 经度的, 经线的, 纵的
"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
magma,"n. 岩浆, 糊剂, 乳浆剂
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
meteorite,"n. 陨星
"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
prairie,"n. 大草原, 草甸"
ranch,"n. 大牧场
v. 经营牧场"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
salinity,"n. 盐性, 盐度
"
seismic,a. 地震的
seismology,n. 地震学
semi-arid, 半干燥的
slant,"n. 倾斜, 斜面, 观点, 偏见, 歪曲
a. 倾斜的
v. (使)倾斜"
solar,"a. 太阳的, 日光的, 源自太阳的
"
stratigraphy,"n. 地层学, 地层情况
"
theodolite,n. 经纬仪
topographical,"a. 地形的, 地形学的, 地形测量的"
topsoil,"n. 上层土, 表层土"
transatlantic,"a. 横渡大西洋的, 大西洋彼岸的, 美国的"
tributary,"a. 支流的, 纳贡的, 从属的, 辅助的
n. 支流, 纳贡者, 属国"
tropical,"a. 热带的, 热情的
"
Yare,[网络] 你吧
terrain,"n. 地带, 地区, 地形, 领域, 范围"
zoning,"n. 分区制
"
enact,"vt. 制定法律, 扮演, 颁布
"
enforce,"vt. 强迫, 执行, 坚持
"
investigate,"v. 调查, 审查"
judgment,"n. 裁判, 宣告, 判决书
"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
lawsuit,"n. 诉讼
"
legacy,"n. 祖先传下来之物, 遗赠物
"
legislature,"n. 立法机关, 议会, 立法院
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
liability,"n. 责任, 债务, 倾向
"
lien,"n. 留置权, 扣押权
"
litigant,"a. 诉讼的
n. 诉讼当事人, 诉讼关系人"
malpractice,"n. 不当治疗, 不端行为, 渎职
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
ordinance,"n. 法令, 条例, 圣餐礼
"
parole,"n. 假释, 誓言, 释放宣言
vt. 宣誓后释放, 使假释出狱"
penalize,"vt. 处刑, 对...处罚(刑), 使不利
"
perpetrate,"vt. 做(恶), 犯(罪), 胡说, 恶劣地做
"
plaintiff,"n. 原告, 起诉人
"
probate,"n. 遗嘱查验, 遗嘱查讫证
vt. 查验, 处以缓刑"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
purge,"n. 净化, 清除, 泻药
v. (使)净化, 清除, (使)通便
"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
recoup,"vt. 偿还, 赔偿, 补偿, 扣除
vi. 补偿损失"
respondent,"a. 回答的, 应答的, 反射的
n. 应答者, 被告"
sentinel,"n. 哨兵, 标记
vt. 警戒, 守卫
"
session,"n. 期间, 开庭期, 会议, 学期
"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
superintendent,"n. 监督人, 主管人, 主日学校校长
"
tribunal,"n. 法庭, 法官席, 裁决
"
vendor,"n. 小贩, 卖主, 自动售货机
"
subterfuge,"n. 遁辞, 借口, 托辞
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
practitioner,"n. 从业者, 开业者
"
defendant,"n. 被告
"
bilingual,a. 双语的
clause,"n. 子句, 条款
"
conjunction,"n. 连接词, 联合, 结合
"
countable,"a. 能算的, 可计算的
n. 可数的东西, 可数名词"
dialect,"n. 方言, 同源语"
etymology,"n. 语源, 语源学"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
idiomatic,"a. 符合语言习惯的, 惯用的, 有许多习语的"
infinitive,"n. 不定式
a. 不定式的"
lingo,"n. 外国话, 隐语
"
linguistics,n. 语言学
lyrical,"a. 抒情诗调的, 有抒情味的, 感情丰富的"
methodology,"n. 方法学, 方法论
"
non-verbal,adj. 非用言语的
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
parenthetical,"a. 作为插入语的, 作为附带说明的, 作为附加注解的, 放在括号里的, (喻)插曲的"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
polygraph,"n. 多种波动记录仪, 复写器, 多产作家, 测谎器
"
poststructuralism,n. 后结构主义
punctuation,"n. 标点, 标点符号
"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
syllable,"n. 音节
vt. 分成音节
"
synonymous,"a. 同义词的, 同义的"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
transitive,"a. 及物的
n. 及物动词"
typology,"n. 象征论, 象征主义, 类型学
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
morphology,"n. 形态学, 词法, 形态
"
terminology,"n. 术语, 术语学
"
anthology,"n. 选集, 诗选"
autobiography,n. 自传
composition,"n. 作文, 创作, 组成
"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
fiction,"n. 小说, 虚构故事
"
pornography,"n. 色情描写, 黄色书刊, 色情画, 色情照片, 色情文学
"
mythology,n. 神话
amino acid,n. [生化] 氨基酸
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
ankle,"n. 踝
"
antibiotic,"n. 抗生素
a. 抗生的"
antidote,"n. 解毒剂, 解毒药
"
appendix,"n. 附录, 附加物, 阑尾
"
bacteria,"pl. 细菌
"
biofeedback,[化] 生物反馈
biological,"a. 生物学的
"
biota,"n. 生物区
"
bloodstream,n. 血流
bronchial,"a. 支气管, 细支气管
"
carcass,"n. 尸体
"
chordate,"a. 具有脊索的, 脊索动物门的
n. 脊索动物"
chromosome,"n. 染色体
"
clavicle,"n. 锁骨
"
crest,"n. 冠, 饰毛, 头盔的顶部
vi. 到达绝顶
vt. 加以顶饰"
cytology,"n. 细胞学
"
cytoplasm,"n. 细胞质
"
embryo,"n. 胚胎, 胎儿, 胚芽
"
enzyme,"n. 酶
"
fetal,"a. 胎儿的, 胎的
"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
fungi,"pl. 真菌, 突然发生而迅速生长的东西
"
gene,"n. 基因
"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
gland,"n. 腺, 密封套
"
hereditary,"a. 世袭的, 遗传的
"
admiral,"n. 舰队司令, 海军上将, 旗舰"
ammunition,"n. 军火, 弹药
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
battalion,"n. 营, 军队, 集团"
demobilization,"n. 复员, 遣散
"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
fortress,"n. 城堡, 要塞
vt. 筑要塞, 以要塞防守"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
martial,"a. 战争的, 军事的, 尚武的, 威武的
"
militancy,n. 战斗性
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
rear-echelon, 后方梯队
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
samurai,n. 武士
sheathe,"vt. 插入鞘, 覆盖"
sniper,n. 狙击兵
strategic,"a. 战略的, 战略上的
"
strategy,"n. 战略, 策略
"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
warrior,"n. 战士, 勇士, 武士, 鼓吹战争的人, 战斗, 尚武"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
baptism,"n. 浸礼, 洗礼"
Buddha,n. 佛陀
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
doctrine,"n. 教条, 学说
"
dogma,n. 教条
Islam,n. 伊斯兰教
mosque,n. 清真寺
mundane,"a. 现世的, 世俗的, 宇宙的"
parable,"n. 寓言, 隐晦的比较"
parish,"n. 教区, 堂区
"
Puritan,"n. 清教徒
a. 清教徒的"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
aeronautics,"n. 航空学, 飞行术
"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
asteroid,"n. 小行星, 海盘车
a. 星状的"
astronaut,"n. 太空旅行者, 宇航员
"
astronomer,n. 天文学家
aviation,"n. 航空, 航空学, 飞行术
"
black hole,n. 黑洞
celestial,"a. 天的, 天国的, 天空的
"
comet,n. 彗星
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
envelope,"n. 信封, 封套, 封袋
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
neutron star,n. 中子星
planetary,"a. 行星的, 流浪的, 迁移不定的, 地球上的, 现世的"
spherical,"a. 球的, 球面的, 球状的, 天体的
"
supernova,n. 超新星
carol,"n. 颂歌, 欢乐的歌
v. 歌颂, 欢唱"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
choreography,"n. 舞蹈艺术, 舞台舞蹈"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
concerto,n. 协奏曲
debut,"n. 初次登台, 开张
v. 初次登台"
ethnomusicology,n. 人种音乐学
finale,"n. 结局, 最后乐章, 终曲"
foreshorten,"vt. 照透视法缩短, 缩短"
instrument,"n. 工具, 手段, 仪器
"
orchestra,"n. 管弦乐队, 乐队演奏处"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
rendition,"n. 译文, 施舍, 表演
"
repertory,"n. 仓库, 库存, 储备, 保留剧目轮演"
rhythmic,"a. 有韵律的, 有节奏的"
rhythmical,"a. 有韵律的, 有节奏的
"
statue,"vt. 以雕像装饰
n. 雕像"
calligraphy,"n. 笔迹, 书法"
apolitical,a. 不关心政治的
autonomy,"n. 自治, 自治权
"
bipartisan,a. 两党连立的
bureaucrat,"n. 官僚作风的人, 官僚, 官僚主义者
"
franchise,"n. 公民权, 特权, 特许经营权, 免赔额
vt. 给以特权, 给以...公民权"
municipal,"a. 市政的, 自治区的, 内政的
"
NATO,"abbr. North Atlantic Treaty Organization 北大西洋公约组织(简称北约)[亦作 Nato, 参较 Warsaw Treaty Organization]"
North Atlantic Treaty Organization,"北大西洋公约组织, 北约组织
"
non-partisan,"a. 超党的, 无党派的"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
polyarchy,n. 多头政治
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
suffrage,"n. 投票, 选举权, 参政权, 代祷
"
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
totalitarian,"a. 极权主义的
n. 极权主义者"
archaeology,n. 考古学
climatology,"n. 气候学
"
demography,"n. 人口统计学
"
empirical,"a. 完全跟据经验的, 经验主义的
"
ethics,"n. 道德规范
"
graphics,"n. 制图法, 制图学, 图解算法, 图形显示
"
iconography,"n. 图像材料, 图示法, 肖像研究
"
qualitative,"a. 性质的, 质的, 定性的"
tentative,"n. 试验
a. 试验性的, 暂时的"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
analytical,"a. 分析的, 善于分析的, 解析的
"
conceptual,"a. 概念的
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
applied,"a. 应用的
"
hygiene,"n. 卫生保健, 卫生学, 保健法
"
antifreeze,"n. 防冻剂
"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
apparatus,"n. 装置, 器具, 器官
"
apparel,"n. 衣服, 外表
vt. 使穿衣, 装饰"
appliance,"n. 器械, 用具, 应用
"
chisel,"n. 凿子
v. 凿, 刻, 雕凿, 欺骗"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
equipment,"n. 装备, 设备, 才能
"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
latch,"n. 门闩
vi. 上闩, 抓住, 占有
vt. 闩上
"
microwave,"n. 微波
"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
phonograph,"n. 留声机, 电唱机
vi. 用留声机灌音, 用留声机放音"
pliers,"n. 钳子
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
plywood,"n. 夹板, 合板
"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
pottery,"n. 陶器, 陶器厂
"
receptor,"n. 受体, 感觉器官
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
sickle,n. 镰刀
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
throttle,"n. 节流阀, 节气阀, 喉咙
vt. 扼喉咙, 使窒息, 压制, 使节流
vi. 窒息, 节流, 减速"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
wrapper,"n. 包装者, 包裹者, 包装物, 覆盖物, 外包烟叶, 包纸, 书的封皮, 妇女晨衣
"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
apologist,"n. 辩护者, 教义辩护文作者
"
arbitrator,"n. 仲裁人, 公断者
"
artisan,"n. 工匠, 技工
"
attorney,"n. 代理人, 律师
"
authorship,"n. 原作者, 根源, 原创造者"
bandit,n. 强盗
benefactor,"n. 恩人, 捐助者, 施主
"
burglar,"n. 窃贼
"
cartographer,"n. 地图制作者, 制图师"
celebrity,"n. 名声, 名人"
chef,n. 厨师
clerical,"n. 牧师
a. 文书的, 事务上的, 抄写员的, 牧师的"
comedian,n. 喜剧演员
consultant,"n. 顾问, 征询意见者
"
contractor,"n. 立契约的人, 承包商
"
courier,"n. 送快信的人, 伴游服务员
"
distributor,"n. 分发者, 分布者, 散布者, 分配者, 销售者, 分配器, 配电盘, 自动拆版机
"
donor,"n. 捐赠人
"
dropout,"n. 退学学生, 中途退学
"
emperor,"n. 皇帝, 君主"
entrepreneur,"n. 企业家, 主办人
"
entrepreneurship, 企业家能力/职能; 企业家[主办人等]的身份[地位、职权、能力]
executioner,"n. 刽子手
"
gourmet,n. 美食家
gymnast,n. 体操运动员
gynecologist,"n. 妇科医生
"
historian,"n. 历史学家, 记事者"
hypnotist,"n. 催眠术士
"
signature,"n. 签字, 识别标志, 调号
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
victor,"n. 胜利者
a. 胜利的"
architect,"n. 建筑师, 设计者, 缔造者"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
auditorium,"n. 听众席, 礼堂
"
baroque,"n. 巴罗克风格, 巴罗克式
a. 巴罗克式的, 绮靡的, 以俗艳标新立异的"
basement,"n. 地下室, 墙脚
"
buttress,"n. 拱壁, 扶壁, 支持物
vt. 支持, 以扶壁支撑"
cathedral,n. 大教堂
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
cornerstone,"n. 奠基石, 基础"
pantheon,"n. 众神庙, 万神殿, 罗马万神殿"
tectonic,"a. 构造的, 建筑的
"
tubular,"a. 管状的
"
threshold,"n. 门槛, 入口, 开端, 阈
"
congested,"a. 拥挤的, 堵塞的
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automobile,"n. 汽车
"
braking,v. 制动系统；刹车；制动（brake的现在分词）
chaise,n. 轻便马车
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
diesel,"n. 内燃机, 柴油机, 柴油"
freeway,n. 高速公路
gasoline,"n. 汽油
"
headlight,"n. 前灯, 桅灯
"
navigation,"n. 航行, 航海, 导航
"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
reef,"n. 暗礁, 礁, 缩帆
v. 缩(帆)"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
sedan,"n. 轿车, 轿子"
steerage,"n. 统舱, 掌舵, 操纵, 管理"
supersonic,"a. 超声波的
"
windshield,"n. 挡风玻璃
"
bakery,n. 面包店
barrel,"n. 桶
vt. 装入桶内"
basketry,n. 篮子编织技艺
beverage,"n. 饮料
"
bookkeeping,"n. 簿记
"
boomerang,"n. 回飞镖, 飞去归来器"
booth,"n. 亭, 摊棚
"
bottleneck,"n. 瓶颈
"
bouquet,"n. 花束
"
brewery,"n. 啤酒厂, 酿酒厂
"
brine,"n. 盐水, 海水, 海
vt. 用浓盐水处理"
buoy,"n. 浮标, 航标, 救生圈
vt. 使浮起, 鼓励"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cache,"n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器
vt. 隐藏, 窖藏
"
camcorder,n. 摄录像机；便携式摄像机
candidate,"n. 候选人, 投考者
"
canopy,"n. 天篷, 遮篷, 苍穹
vt. 用天蓬遮盖"
canvas,"n. 帆布, 画布, 油画
"
censorship,"n. 检查制度
"
census,"n. 户口普查
vt. 实施统计调查"
commuter,"n. 乘公共车辆上下班者, 月季票乘客
"
container,"n. 容器, 集装箱
"
cork,"n. 软木塞, 软木树, 软木
"
detergent,"n. 清洁剂
"
domesticity,"n. 专心于家务, 恋家, 家庭生活"
fiberglass,"n. 玻璃纤维, 玻璃丝
"
funnel,"n. 漏斗, 漏斗状的东西, 烟囱
"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
insurance,"n. 保险, 保险业, 保险费
"
ceremonious,"a. 讲究仪式的, 隆重的"
braise,"vt. 炖, 蒸"
palatable,"a. 美味的, 好吃的, 可口的
"
cater,"v. 提供饮食及服务, 投合, 迎合"
caviar,"n. 鱼子酱
"
chocolate,"n. 巧克力
a. 巧克力制的"
clam,"n. 蛤, 沉默寡言的人
vi. 捞蛤"
culinary,"a. 厨房的, 烹调用的"
dietary,"a. 饮食的
n. 规定食物"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
dine,"vi. 用正餐, 进餐
vt. 宴请"
dough,"n. 生面团
"
edible,"n. 食品, 食物
a. 可食用的"
ingest,"vt. 摄取, 咽下, 吸取"
oatmeal,"n. 燕麦片, 燕麦粥
"
processed food,加工食品(如经过杀菌处理等)
recipe,"n. 食谱, 处方, 秘诀
"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
sweetener,"n. 代糖, 甜料
"
boldface,"n. 黑体字, 粗体铅字"
portfolio,"n. 皮包, 公文包, 部长职务, 有价证券财产目录, 艺术代表作选辑
"
brochure,"n. 小册子, 小册"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
compendium,"n. 纲要, 概略
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
contraction,"n. 收缩, 缩写式, 害病
"
contractual,"a. 契约的
"
convention,"n. 大会, 协定, 惯例, 约定
"
diploma,"n. 文凭, 毕业证书
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
guideline,"n. 指导路线, 方针, 指标
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
memoir,"n. 传记, 实录, 追思录, 回忆录, 自传
"
memorandum,"n. 备忘录, 外交备忘录, 交易备忘录
"
notification,"n. 通知, 通告, 告示
"
pamphlet,"n. 小册子, 活页文选"
paperwork,n. 文书工作
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
protocol,"n. 草案, 礼仪, 协议
v. 拟定
"
referendum,n. （就重大政治或社会问题进行的）全民公决，全民投票
version,"n. 一种描述, 版本, 译文
"
civic,"a. 市的, 市民的, 公民的
"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilization,"n. 文明, 教化
"
compatriot,"n. 同国人
a. 同国的, 同胞的"
congregation,"n. 集合, 聚集
"
congress,"n. 国会, 会议, 讨论会
"
denationalization,"[法] 剥夺国籍, 剥夺国民权利"
electorate,"n. 选民, 有选举权者, 选区
"
inhabitant,"n. 居民, 居住者
"
lot,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
mainstream,n. 主流
monarch,"n. 帝王, 统治者, 元首
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
mason,"n. 泥瓦匠, 共济会会员
vt. 用砖瓦砌成"
gregarious,"a. 社交的, 群居的"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
committee,"n. 委员会
"
corporation,"n. 公司, 合作, 法人团体
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
faction,"n. 小派系, 内讧
"
federal,"a. 联邦的, 联合的, 同盟的
"
guild,"n. 团体, 协会, 行业协会
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
entitled,a. 有资格的；给与名称的
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
epochal,"a. 新纪元的, 划时代的"
era,"n. 时代, 纪元, 时期"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
medieval,"a. 中古的, 中世纪的"
millennium,"n. 千禧年, 一千年"
outdated,"a. 旧式的, 落伍的, 过时的"
outmoded,"a. 过时的, 废弃的
"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
desegregation,n. 废止种族隔离
gypsy,"n. 吉卜赛人, 吉卜赛语
a. 象吉卜赛人的
vi. 流浪"
enslave,"vt. 奴役, 束缚, 使受控制, 征服"
ethnic,"a. 人种的, 种族的
"
ethnicity,n. 种族划分
ethnocentric,"种族[民族]中心主义的, 种族[民族, 集团]优越感的"
ethnographic,a. 人种志的
ethnology,"n. 人种学
"
interracial,"a. 人种间的, 人种混合的"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
racist,"n. 种族主义者
"
tribal,"a. 部落的, 宗族的"
Spaniard,n. 西班牙人
clan,"n. 氏族, 宗族, 集团
"
ancestor,"n. 祖先, 祖宗"
forebear,"n. 祖先, 祖宗"
fraternal,"a. 兄弟的, 兄弟似的, 友爱的"
kinship,"n. 亲属关系
"
lineage,"n. 血统, 直系
"
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
maternal,"a. 母亲的, 母系的, 母方的
"
matrilineal,"a. 母系的
"
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的
"
paternity,"n. 父亲身份, 父系血统, 创始人(身份), 来源, 出处
"
patriarchal,"a. 家长的, 族长的, 由族长统治的
"
patrilineal,"a. 父系的, 父子相传的
"
spouse,n. 配偶
cargo,"n. 货物
"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
importation,"n. 进口, 输入品
"
dwelling,"n. 住处
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
habitation,"n. 居住, 住所"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
locale,"n. 现场, 场所
"
refinery,"n. 精炼厂
"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
roller coaster, 过山车
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
sewage,"n. 脏水, 污水
"
sewer,"n. 下水道, 阴沟, 裁缝师
vt. 用下水道排, 铺设下水道于"
hockey,"n. 冰球, 曲棍球"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
